depth,sector,condition,rg_similarity,composite_coherence,binding_persistence,recursive_internal_stability,assembly_reproducibility,bounded_composite_drift,composite_gain,classification
512,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
768,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1024,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1536,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2048,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
3072,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4096,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6144,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8192,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12288,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16384,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24576,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.9203,0.92,0.91,0.93,COMPOSITE-STABLE
8388608,Antisymmetry,RecursiveAssemblyHierarchy,0.96,0.9495,0.9002,0.8948,0.92,0.8997,0.919,COMPOSITE-STABLE
16777216,Antisymmetry,RecursiveAssemblyHierarchy,0.9152,0.8897,0.8772,0.8549,0.8839,0.8484,0.8756,COMPOSITE-BOUNDED
33554432,Antisymmetry,RecursiveAssemblyHierarchy,0.8206,0.8001,0.7781,0.7541,0.766,0.7621,0.7664,COMPOSITE-BOUNDED
1,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
48,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
64,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
80,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
96,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
128,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
160,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
192,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
256,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
320,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
512,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
768,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1024,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1536,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2048,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
3072,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4096,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6144,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8192,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12288,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16384,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24576,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,Antisymmetry,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,Antisymmetry,CompositeTransportStability,0.96,0.9474,0.94,0.93,0.9062,0.9061,0.93,COMPOSITE-STABLE
8388608,Antisymmetry,CompositeTransportStability,0.9433,0.9443,0.9143,0.9091,0.9127,0.8984,0.9208,COMPOSITE-STABLE
16777216,Antisymmetry,CompositeTransportStability,0.9022,0.8807,0.8642,0.8508,0.8395,0.8465,0.8639,COMPOSITE-BOUNDED
33554432,Antisymmetry,CompositeTransportStability,0.7972,0.7926,0.7704,0.7511,0.7726,0.7682,0.7879,COMPOSITE-PARTIAL
1,Antisymmetry,NullBindingControl,0.7556,0.6911,0.7033,0.6748,0.6483,0.6532,0.6774,COMPOSITE-DEGRADING
2,Antisymmetry,NullBindingControl,0.7256,0.7108,0.7033,0.6774,0.6855,0.6629,0.6587,COMPOSITE-PARTIAL
4,Antisymmetry,NullBindingControl,0.7469,0.6782,0.6862,0.6678,0.6675,0.6679,0.6844,COMPOSITE-DEGRADING
6,Antisymmetry,NullBindingControl,0.7278,0.6904,0.6822,0.6766,0.6665,0.647,0.6882,COMPOSITE-DEGRADING
8,Antisymmetry,NullBindingControl,0.7394,0.6994,0.6835,0.6882,0.6726,0.6431,0.6906,COMPOSITE-DEGRADING
12,Antisymmetry,NullBindingControl,0.728,0.7074,0.6703,0.6951,0.6582,0.6516,0.6709,COMPOSITE-PARTIAL
16,Antisymmetry,NullBindingControl,0.7551,0.703,0.6795,0.6894,0.6496,0.6718,0.6639,COMPOSITE-PARTIAL
20,Antisymmetry,NullBindingControl,0.7217,0.6951,0.6979,0.661,0.6789,0.6467,0.6785,COMPOSITE-DEGRADING
24,Antisymmetry,NullBindingControl,0.7329,0.7128,0.7021,0.6583,0.658,0.6432,0.6837,COMPOSITE-PARTIAL
32,Antisymmetry,NullBindingControl,0.7567,0.7146,0.6672,0.6759,0.6706,0.6661,0.6747,COMPOSITE-PARTIAL
40,Antisymmetry,NullBindingControl,0.7299,0.6903,0.6953,0.6849,0.6798,0.6693,0.6922,COMPOSITE-DEGRADING
48,Antisymmetry,NullBindingControl,0.7272,0.6776,0.6803,0.6586,0.6564,0.6452,0.6904,COMPOSITE-DEGRADING
64,Antisymmetry,NullBindingControl,0.7216,0.7003,0.681,0.6697,0.6727,0.669,0.6596,COMPOSITE-PARTIAL
80,Antisymmetry,NullBindingControl,0.7236,0.685,0.7027,0.671,0.6724,0.6626,0.6584,COMPOSITE-DEGRADING
96,Antisymmetry,NullBindingControl,0.7505,0.6844,0.6907,0.678,0.6621,0.6523,0.6818,COMPOSITE-DEGRADING
128,Antisymmetry,NullBindingControl,0.7293,0.6942,0.6902,0.6766,0.6498,0.6364,0.6909,COMPOSITE-DEGRADING
160,Antisymmetry,NullBindingControl,0.7171,0.7129,0.7037,0.6676,0.6784,0.6476,0.692,COMPOSITE-PARTIAL
192,Antisymmetry,NullBindingControl,0.7348,0.6774,0.6674,0.6948,0.6778,0.6535,0.6746,COMPOSITE-DEGRADING
256,Antisymmetry,NullBindingControl,0.7342,0.7036,0.7007,0.6786,0.6497,0.6545,0.6556,COMPOSITE-PARTIAL
320,Antisymmetry,NullBindingControl,0.7363,0.7011,0.6948,0.6869,0.6811,0.661,0.6576,COMPOSITE-PARTIAL
512,Antisymmetry,NullBindingControl,0.7381,0.6988,0.693,0.6674,0.6719,0.6435,0.6846,COMPOSITE-DEGRADING
768,Antisymmetry,NullBindingControl,0.7528,0.7067,0.6695,0.6933,0.6786,0.6712,0.6562,COMPOSITE-PARTIAL
1024,Antisymmetry,NullBindingControl,0.7257,0.6784,0.6834,0.6679,0.6646,0.6609,0.662,COMPOSITE-DEGRADING
1536,Antisymmetry,NullBindingControl,0.7343,0.6816,0.6721,0.6789,0.6613,0.658,0.6871,COMPOSITE-DEGRADING
2048,Antisymmetry,NullBindingControl,0.7404,0.6961,0.6901,0.6678,0.6485,0.6616,0.6628,COMPOSITE-DEGRADING
3072,Antisymmetry,NullBindingControl,0.7459,0.6849,0.7023,0.6679,0.6794,0.6375,0.6905,COMPOSITE-DEGRADING
4096,Antisymmetry,NullBindingControl,0.7498,0.6793,0.6945,0.6813,0.6558,0.6441,0.6741,COMPOSITE-DEGRADING
6144,Antisymmetry,NullBindingControl,0.7392,0.7046,0.7043,0.6903,0.6619,0.6584,0.6641,COMPOSITE-PARTIAL
8192,Antisymmetry,NullBindingControl,0.7323,0.6813,0.6994,0.6932,0.6833,0.6606,0.6744,COMPOSITE-DEGRADING
12288,Antisymmetry,NullBindingControl,0.7388,0.7133,0.7045,0.6574,0.6803,0.6528,0.685,COMPOSITE-PARTIAL
16384,Antisymmetry,NullBindingControl,0.7255,0.698,0.6867,0.6693,0.6564,0.6608,0.6713,COMPOSITE-DEGRADING
24576,Antisymmetry,NullBindingControl,0.7201,0.6833,0.6803,0.6559,0.6581,0.6603,0.6667,COMPOSITE-DEGRADING
32768,Antisymmetry,NullBindingControl,0.7544,0.6848,0.6813,0.6767,0.6617,0.6471,0.6758,COMPOSITE-DEGRADING
65536,Antisymmetry,NullBindingControl,0.7401,0.6883,0.6942,0.682,0.6461,0.6545,0.6703,COMPOSITE-DEGRADING
131072,Antisymmetry,NullBindingControl,0.7436,0.6889,0.6679,0.6899,0.6802,0.6563,0.6913,COMPOSITE-DEGRADING
262144,Antisymmetry,NullBindingControl,0.7179,0.7041,0.7014,0.6846,0.6607,0.6618,0.6618,COMPOSITE-PARTIAL
524288,Antisymmetry,NullBindingControl,0.7515,0.6745,0.6895,0.6851,0.6639,0.6587,0.6833,COMPOSITE-DEGRADING
1048576,Antisymmetry,NullBindingControl,0.722,0.6893,0.6796,0.6523,0.6746,0.6374,0.6658,COMPOSITE-DEGRADING
2097152,Antisymmetry,NullBindingControl,0.7246,0.686,0.6766,0.6544,0.6597,0.6454,0.6462,COMPOSITE-DEGRADING
4194304,Antisymmetry,NullBindingControl,0.7146,0.6654,0.6786,0.6542,0.6632,0.6207,0.6521,COMPOSITE-DEGRADING
8388608,Antisymmetry,NullBindingControl,0.6969,0.6473,0.6603,0.6276,0.6089,0.5995,0.6236,COMPOSITE-DEGRADING
16777216,Antisymmetry,NullBindingControl,0.6492,0.6183,0.5889,0.5822,0.6047,0.5918,0.597,COMPOSITE-DEGRADING
33554432,Antisymmetry,NullBindingControl,0.571,0.5359,0.538,0.5423,0.5348,0.5084,0.5204,COMPOSITE-FAILED
1,Neutral,CompositeBindingEmergence,0.96,0.96,0.9066,0.9116,0.9025,0.8725,0.9153,COMPOSITE-STABLE
2,Neutral,CompositeBindingEmergence,0.9458,0.9273,0.9285,0.93,0.9025,0.8934,0.9176,COMPOSITE-STABLE
4,Neutral,CompositeBindingEmergence,0.9467,0.9507,0.9186,0.93,0.8838,0.8658,0.9115,COMPOSITE-STABLE
6,Neutral,CompositeBindingEmergence,0.9448,0.9319,0.9167,0.93,0.9031,0.8973,0.9044,COMPOSITE-STABLE
8,Neutral,CompositeBindingEmergence,0.9423,0.9414,0.94,0.914,0.8843,0.875,0.9269,COMPOSITE-STABLE
12,Neutral,CompositeBindingEmergence,0.96,0.9415,0.9094,0.93,0.9103,0.9038,0.8991,COMPOSITE-STABLE
16,Neutral,CompositeBindingEmergence,0.9421,0.9292,0.9087,0.9155,0.9062,0.8709,0.9153,COMPOSITE-STABLE
20,Neutral,CompositeBindingEmergence,0.96,0.96,0.94,0.9287,0.896,0.8691,0.8961,COMPOSITE-STABLE
24,Neutral,CompositeBindingEmergence,0.9444,0.9498,0.9161,0.9121,0.9063,0.8903,0.9111,COMPOSITE-STABLE
32,Neutral,CompositeBindingEmergence,0.9472,0.9572,0.9304,0.9201,0.8912,0.8893,0.93,COMPOSITE-STABLE
40,Neutral,CompositeBindingEmergence,0.9582,0.9459,0.9284,0.9138,0.9109,0.8722,0.9202,COMPOSITE-STABLE
48,Neutral,CompositeBindingEmergence,0.96,0.9541,0.9355,0.9285,0.9053,0.8841,0.9044,COMPOSITE-STABLE
64,Neutral,CompositeBindingEmergence,0.96,0.9439,0.9391,0.9233,0.901,0.8768,0.9071,COMPOSITE-STABLE
80,Neutral,CompositeBindingEmergence,0.9514,0.9264,0.9097,0.93,0.8804,0.8993,0.9005,COMPOSITE-STABLE
96,Neutral,CompositeBindingEmergence,0.96,0.9599,0.9132,0.9027,0.9038,0.881,0.9277,COMPOSITE-STABLE
128,Neutral,CompositeBindingEmergence,0.96,0.9436,0.914,0.93,0.8797,0.8987,0.9067,COMPOSITE-STABLE
160,Neutral,CompositeBindingEmergence,0.96,0.9268,0.9265,0.9086,0.8825,0.877,0.9064,COMPOSITE-STABLE
192,Neutral,CompositeBindingEmergence,0.9481,0.9535,0.94,0.9197,0.9067,0.8857,0.9116,COMPOSITE-STABLE
256,Neutral,CompositeBindingEmergence,0.96,0.946,0.9219,0.9214,0.8787,0.8973,0.927,COMPOSITE-STABLE
320,Neutral,CompositeBindingEmergence,0.96,0.9408,0.9203,0.93,0.8942,0.9019,0.9152,COMPOSITE-STABLE
512,Neutral,CompositeBindingEmergence,0.96,0.9289,0.94,0.9077,0.9105,0.8715,0.9006,COMPOSITE-STABLE
768,Neutral,CompositeBindingEmergence,0.96,0.9394,0.9212,0.921,0.8843,0.9026,0.914,COMPOSITE-STABLE
1024,Neutral,CompositeBindingEmergence,0.9546,0.9563,0.9187,0.9213,0.9038,0.8945,0.907,COMPOSITE-STABLE
1536,Neutral,CompositeBindingEmergence,0.96,0.9293,0.94,0.9093,0.8988,0.869,0.911,COMPOSITE-STABLE
2048,Neutral,CompositeBindingEmergence,0.9585,0.9563,0.9179,0.93,0.8868,0.8845,0.9147,COMPOSITE-STABLE
3072,Neutral,CompositeBindingEmergence,0.96,0.9378,0.9303,0.9012,0.8872,0.8666,0.9023,COMPOSITE-STABLE
4096,Neutral,CompositeBindingEmergence,0.9491,0.9274,0.9353,0.9008,0.8963,0.8839,0.9167,COMPOSITE-STABLE
6144,Neutral,CompositeBindingEmergence,0.96,0.9402,0.9172,0.9052,0.8801,0.8997,0.9112,COMPOSITE-STABLE
8192,Neutral,CompositeBindingEmergence,0.9443,0.9419,0.9159,0.93,0.8835,0.8846,0.9042,COMPOSITE-STABLE
12288,Neutral,CompositeBindingEmergence,0.96,0.9596,0.9195,0.9275,0.8861,0.8991,0.8986,COMPOSITE-STABLE
16384,Neutral,CompositeBindingEmergence,0.9462,0.96,0.9265,0.9039,0.8862,0.869,0.8984,COMPOSITE-STABLE
24576,Neutral,CompositeBindingEmergence,0.9497,0.9498,0.9056,0.9103,0.8977,0.8788,0.9084,COMPOSITE-STABLE
32768,Neutral,CompositeBindingEmergence,0.96,0.9469,0.9349,0.9138,0.9017,0.8934,0.9213,COMPOSITE-STABLE
65536,Neutral,CompositeBindingEmergence,0.96,0.9342,0.916,0.9201,0.8783,0.8795,0.9041,COMPOSITE-STABLE
131072,Neutral,CompositeBindingEmergence,0.9559,0.96,0.923,0.9085,0.9088,0.8658,0.9096,COMPOSITE-STABLE
262144,Neutral,CompositeBindingEmergence,0.9459,0.9589,0.94,0.9273,0.8974,0.8848,0.8994,COMPOSITE-STABLE
524288,Neutral,CompositeBindingEmergence,0.9389,0.955,0.94,0.9257,0.8807,0.8699,0.9146,COMPOSITE-STABLE
1048576,Neutral,CompositeBindingEmergence,0.9514,0.9526,0.9053,0.9037,0.9019,0.8871,0.9007,COMPOSITE-STABLE
2097152,Neutral,CompositeBindingEmergence,0.9453,0.914,0.9044,0.8964,0.8836,0.8887,0.9078,COMPOSITE-STABLE
4194304,Neutral,CompositeBindingEmergence,0.9481,0.9079,0.9056,0.8874,0.8731,0.8513,0.9003,COMPOSITE-STABLE
8388608,Neutral,CompositeBindingEmergence,0.8892,0.9022,0.8799,0.8747,0.8483,0.825,0.8434,COMPOSITE-STABLE
16777216,Neutral,CompositeBindingEmergence,0.8413,0.8232,0.8335,0.7999,0.8094,0.7949,0.8126,COMPOSITE-BOUNDED
33554432,Neutral,CompositeBindingEmergence,0.759,0.7598,0.7262,0.7325,0.6952,0.6892,0.7407,COMPOSITE-PARTIAL
1,Neutral,RecursiveBoundStatePersistence,0.96,0.9071,0.94,0.93,0.8828,0.8813,0.8908,COMPOSITE-STABLE
2,Neutral,RecursiveBoundStatePersistence,0.96,0.941,0.94,0.9119,0.8905,0.889,0.9,COMPOSITE-STABLE
4,Neutral,RecursiveBoundStatePersistence,0.96,0.9407,0.94,0.9296,0.9117,0.8899,0.8918,COMPOSITE-STABLE
6,Neutral,RecursiveBoundStatePersistence,0.96,0.926,0.94,0.93,0.8758,0.88,0.9051,COMPOSITE-STABLE
8,Neutral,RecursiveBoundStatePersistence,0.96,0.9184,0.94,0.9167,0.8767,0.8986,0.923,COMPOSITE-STABLE
12,Neutral,RecursiveBoundStatePersistence,0.96,0.9103,0.94,0.9021,0.8798,0.9024,0.9119,COMPOSITE-STABLE
16,Neutral,RecursiveBoundStatePersistence,0.96,0.9126,0.9313,0.9147,0.8956,0.8776,0.9092,COMPOSITE-STABLE
20,Neutral,RecursiveBoundStatePersistence,0.96,0.9198,0.94,0.9266,0.8796,0.9017,0.894,COMPOSITE-STABLE
24,Neutral,RecursiveBoundStatePersistence,0.96,0.929,0.94,0.9215,0.8861,0.8656,0.9151,COMPOSITE-STABLE
32,Neutral,RecursiveBoundStatePersistence,0.96,0.9418,0.9332,0.9097,0.8779,0.8901,0.9084,COMPOSITE-STABLE
40,Neutral,RecursiveBoundStatePersistence,0.96,0.9386,0.94,0.9248,0.9151,0.8762,0.9186,COMPOSITE-STABLE
48,Neutral,RecursiveBoundStatePersistence,0.96,0.9087,0.9395,0.909,0.906,0.884,0.9205,COMPOSITE-STABLE
64,Neutral,RecursiveBoundStatePersistence,0.96,0.9089,0.9285,0.9128,0.8962,0.8976,0.9134,COMPOSITE-STABLE
80,Neutral,RecursiveBoundStatePersistence,0.96,0.9114,0.9352,0.9002,0.8845,0.8749,0.9047,COMPOSITE-STABLE
96,Neutral,RecursiveBoundStatePersistence,0.9543,0.9262,0.9321,0.9133,0.9057,0.902,0.9174,COMPOSITE-STABLE
128,Neutral,RecursiveBoundStatePersistence,0.96,0.9208,0.932,0.9202,0.9075,0.8871,0.9162,COMPOSITE-STABLE
160,Neutral,RecursiveBoundStatePersistence,0.9558,0.9393,0.94,0.93,0.8998,0.8848,0.9167,COMPOSITE-STABLE
192,Neutral,RecursiveBoundStatePersistence,0.96,0.9238,0.94,0.9047,0.9101,0.8862,0.8966,COMPOSITE-STABLE
256,Neutral,RecursiveBoundStatePersistence,0.9487,0.9142,0.927,0.9072,0.9049,0.902,0.9001,COMPOSITE-STABLE
320,Neutral,RecursiveBoundStatePersistence,0.951,0.9392,0.9363,0.8987,0.8887,0.9035,0.9182,COMPOSITE-STABLE
512,Neutral,RecursiveBoundStatePersistence,0.96,0.9365,0.9296,0.9026,0.8905,0.9018,0.9034,COMPOSITE-STABLE
768,Neutral,RecursiveBoundStatePersistence,0.96,0.9139,0.9319,0.9266,0.8903,0.8888,0.9156,COMPOSITE-STABLE
1024,Neutral,RecursiveBoundStatePersistence,0.96,0.938,0.94,0.9167,0.8879,0.896,0.9051,COMPOSITE-STABLE
1536,Neutral,RecursiveBoundStatePersistence,0.9576,0.9135,0.94,0.9233,0.8939,0.8848,0.8933,COMPOSITE-STABLE
2048,Neutral,RecursiveBoundStatePersistence,0.96,0.9288,0.9352,0.93,0.8837,0.8727,0.9179,COMPOSITE-STABLE
3072,Neutral,RecursiveBoundStatePersistence,0.96,0.9346,0.9292,0.9074,0.8906,0.888,0.9228,COMPOSITE-STABLE
4096,Neutral,RecursiveBoundStatePersistence,0.96,0.9189,0.9329,0.93,0.8902,0.8784,0.9053,COMPOSITE-STABLE
6144,Neutral,RecursiveBoundStatePersistence,0.96,0.9453,0.928,0.9097,0.9024,0.8924,0.8939,COMPOSITE-STABLE
8192,Neutral,RecursiveBoundStatePersistence,0.96,0.9391,0.9379,0.9124,0.9115,0.8979,0.9103,COMPOSITE-STABLE
12288,Neutral,RecursiveBoundStatePersistence,0.96,0.9429,0.94,0.9254,0.9048,0.9024,0.8923,COMPOSITE-STABLE
16384,Neutral,RecursiveBoundStatePersistence,0.9471,0.9274,0.94,0.9299,0.8915,0.8735,0.901,COMPOSITE-STABLE
24576,Neutral,RecursiveBoundStatePersistence,0.96,0.9416,0.94,0.9254,0.897,0.8685,0.8906,COMPOSITE-STABLE
32768,Neutral,RecursiveBoundStatePersistence,0.96,0.918,0.94,0.93,0.8851,0.8926,0.8979,COMPOSITE-STABLE
65536,Neutral,RecursiveBoundStatePersistence,0.9521,0.938,0.94,0.9111,0.9067,0.8737,0.895,COMPOSITE-STABLE
131072,Neutral,RecursiveBoundStatePersistence,0.946,0.9427,0.94,0.8963,0.8865,0.8917,0.9069,COMPOSITE-STABLE
262144,Neutral,RecursiveBoundStatePersistence,0.9596,0.9218,0.94,0.9143,0.8993,0.9025,0.8947,COMPOSITE-STABLE
524288,Neutral,RecursiveBoundStatePersistence,0.9488,0.9083,0.9244,0.9009,0.8786,0.8872,0.9151,COMPOSITE-STABLE
1048576,Neutral,RecursiveBoundStatePersistence,0.9568,0.9325,0.9208,0.8981,0.8777,0.8667,0.9111,COMPOSITE-STABLE
2097152,Neutral,RecursiveBoundStatePersistence,0.9358,0.8963,0.94,0.9054,0.8652,0.8742,0.8866,COMPOSITE-BOUNDED
4194304,Neutral,RecursiveBoundStatePersistence,0.9421,0.8878,0.9324,0.8879,0.88,0.8519,0.8874,COMPOSITE-BOUNDED
8388608,Neutral,RecursiveBoundStatePersistence,0.9233,0.8785,0.9039,0.8738,0.8566,0.8466,0.865,COMPOSITE-BOUNDED
16777216,Neutral,RecursiveBoundStatePersistence,0.843,0.8231,0.8235,0.8153,0.8012,0.7933,0.8167,COMPOSITE-BOUNDED
33554432,Neutral,RecursiveBoundStatePersistence,0.7615,0.7404,0.7639,0.7172,0.6991,0.7026,0.7215,COMPOSITE-PARTIAL
1,Neutral,InternalCoherenceStability,0.9469,0.9507,0.9272,0.93,0.9133,0.8721,0.8927,COMPOSITE-STABLE
2,Neutral,InternalCoherenceStability,0.96,0.9364,0.8981,0.93,0.9122,0.8829,0.9026,COMPOSITE-STABLE
4,Neutral,InternalCoherenceStability,0.9597,0.9415,0.9006,0.93,0.9168,0.8915,0.9066,COMPOSITE-STABLE
6,Neutral,InternalCoherenceStability,0.956,0.9423,0.9202,0.9204,0.9153,0.8839,0.9008,COMPOSITE-STABLE
8,Neutral,InternalCoherenceStability,0.9538,0.9205,0.9212,0.93,0.8967,0.8884,0.9043,COMPOSITE-STABLE
12,Neutral,InternalCoherenceStability,0.9477,0.9539,0.9065,0.93,0.8907,0.8875,0.925,COMPOSITE-STABLE
16,Neutral,InternalCoherenceStability,0.96,0.9353,0.9338,0.93,0.92,0.8981,0.9112,COMPOSITE-STABLE
20,Neutral,InternalCoherenceStability,0.96,0.9533,0.9341,0.93,0.9168,0.8695,0.8902,COMPOSITE-STABLE
24,Neutral,InternalCoherenceStability,0.96,0.9185,0.9039,0.93,0.8963,0.8656,0.9134,COMPOSITE-STABLE
32,Neutral,InternalCoherenceStability,0.952,0.9492,0.9159,0.93,0.9073,0.8914,0.9017,COMPOSITE-STABLE
40,Neutral,InternalCoherenceStability,0.96,0.9484,0.9302,0.93,0.92,0.8922,0.9084,COMPOSITE-STABLE
48,Neutral,InternalCoherenceStability,0.959,0.9307,0.9179,0.93,0.9047,0.875,0.9138,COMPOSITE-STABLE
64,Neutral,InternalCoherenceStability,0.96,0.9305,0.9315,0.93,0.92,0.8729,0.9132,COMPOSITE-STABLE
80,Neutral,InternalCoherenceStability,0.9561,0.9209,0.914,0.93,0.9065,0.8697,0.8985,COMPOSITE-STABLE
