depth,sector,condition,rg_similarity,semantic_coherence,relational_meaning_persistence,semantic_transport_alignment,recursive_semantic_stability,semantic_reproduction_index,abstraction_semantic_gain,classification
20,Antisymmetry,NullSemanticControl,0.7844,0.7887,0.7707,0.7924,0.7594,0.738,0.766,SEMANTIC-PARTIAL
24,Antisymmetry,NullSemanticControl,0.7948,0.7989,0.79,0.7914,0.7782,0.7341,0.7739,SEMANTIC-PARTIAL
32,Antisymmetry,NullSemanticControl,0.777,0.7788,0.783,0.7734,0.758,0.7318,0.7691,SEMANTIC-PARTIAL
40,Antisymmetry,NullSemanticControl,0.7862,0.7709,0.7454,0.7731,0.7412,0.7367,0.7522,SEMANTIC-PARTIAL
48,Antisymmetry,NullSemanticControl,0.7462,0.7537,0.7367,0.7379,0.7111,0.7216,0.7465,SEMANTIC-PARTIAL
64,Antisymmetry,NullSemanticControl,0.7368,0.749,0.724,0.7396,0.7085,0.7138,0.7165,SEMANTIC-PARTIAL
80,Antisymmetry,NullSemanticControl,0.7043,0.7139,0.6999,0.73,0.6805,0.6616,0.694,SEMANTIC-DEGRADING
96,Antisymmetry,NullSemanticControl,0.7061,0.6814,0.6854,0.705,0.6621,0.669,0.6801,SEMANTIC-DEGRADING
128,Antisymmetry,NullSemanticControl,0.6807,0.6729,0.6602,0.6511,0.6281,0.6304,0.6478,SEMANTIC-DEGRADING
160,Antisymmetry,NullSemanticControl,0.6365,0.6188,0.616,0.6413,0.5961,0.6077,0.6082,SEMANTIC-DEGRADING
192,Antisymmetry,NullSemanticControl,0.6068,0.6045,0.5807,0.5944,0.5633,0.5679,0.5691,SEMANTIC-DEGRADING
256,Antisymmetry,NullSemanticControl,0.5399,0.5468,0.5473,0.5585,0.5246,0.531,0.5215,SEMANTIC-FAILED
320,Antisymmetry,NullSemanticControl,0.5079,0.5113,0.4886,0.494,0.4809,0.4684,0.4889,SEMANTIC-FAILED
512,Antisymmetry,NullSemanticControl,0.4145,0.402,0.3984,0.4085,0.3864,0.3881,0.3961,SEMANTIC-FAILED
768,Antisymmetry,NullSemanticControl,0.328,0.3208,0.3233,0.3295,0.3186,0.3098,0.3172,SEMANTIC-FAILED
1024,Antisymmetry,NullSemanticControl,0.2743,0.2662,0.2697,0.2708,0.2655,0.256,0.2622,SEMANTIC-FAILED
1536,Antisymmetry,NullSemanticControl,0.2007,0.2036,0.2026,0.2057,0.1909,0.1896,0.196,SEMANTIC-FAILED
2048,Antisymmetry,NullSemanticControl,0.1662,0.1623,0.1621,0.164,0.1524,0.153,0.158,SEMANTIC-FAILED
3072,Antisymmetry,NullSemanticControl,0.1193,0.113,0.1137,0.116,0.112,0.1123,0.1156,SEMANTIC-FAILED
4096,Antisymmetry,NullSemanticControl,0.0917,0.0883,0.087,0.0911,0.0884,0.0836,0.0873,SEMANTIC-FAILED
6144,Antisymmetry,NullSemanticControl,0.0623,0.0607,0.0619,0.062,0.0592,0.0606,0.0599,SEMANTIC-FAILED
8192,Antisymmetry,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
12288,Antisymmetry,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Antisymmetry,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Antisymmetry,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Neutral,SemanticRelationExtraction,0.9527,0.9383,0.93,0.8974,0.8875,0.9,0.9193,SEMANTIC-STABLE
2,Neutral,SemanticRelationExtraction,0.96,0.9355,0.9142,0.9053,0.8971,0.8938,0.92,SEMANTIC-STABLE
4,Neutral,SemanticRelationExtraction,0.96,0.9273,0.93,0.8918,0.8841,0.9,0.9151,SEMANTIC-STABLE
6,Neutral,SemanticRelationExtraction,0.9447,0.9242,0.9255,0.9155,0.91,0.8984,0.8889,SEMANTIC-STABLE
8,Neutral,SemanticRelationExtraction,0.96,0.9156,0.9248,0.92,0.91,0.9,0.8928,SEMANTIC-STABLE
12,Neutral,SemanticRelationExtraction,0.9501,0.9299,0.9076,0.9122,0.8703,0.8685,0.9103,SEMANTIC-STABLE
16,Neutral,SemanticRelationExtraction,0.9314,0.9234,0.904,0.8923,0.8955,0.8696,0.8807,SEMANTIC-STABLE
20,Neutral,SemanticRelationExtraction,0.9495,0.9222,0.8985,0.8641,0.8854,0.8728,0.8638,SEMANTIC-BOUNDED
24,Neutral,SemanticRelationExtraction,0.9128,0.8994,0.883,0.8569,0.8527,0.8673,0.8865,SEMANTIC-BOUNDED
32,Neutral,SemanticRelationExtraction,0.8975,0.9088,0.8758,0.861,0.8669,0.8467,0.8748,SEMANTIC-BOUNDED
40,Neutral,SemanticRelationExtraction,0.9168,0.8591,0.8519,0.8427,0.8476,0.8552,0.8667,SEMANTIC-BOUNDED
48,Neutral,SemanticRelationExtraction,0.8763,0.8773,0.8415,0.834,0.815,0.8271,0.8525,SEMANTIC-BOUNDED
64,Neutral,SemanticRelationExtraction,0.8618,0.8321,0.8483,0.8091,0.7889,0.8048,0.8138,SEMANTIC-BOUNDED
80,Neutral,SemanticRelationExtraction,0.84,0.8288,0.8046,0.8017,0.7843,0.7912,0.805,SEMANTIC-BOUNDED
96,Neutral,SemanticRelationExtraction,0.8148,0.7807,0.7766,0.7839,0.7693,0.7556,0.7786,SEMANTIC-PARTIAL
128,Neutral,SemanticRelationExtraction,0.7605,0.7598,0.7317,0.7334,0.713,0.7068,0.7163,SEMANTIC-PARTIAL
160,Neutral,SemanticRelationExtraction,0.7448,0.7183,0.6993,0.6875,0.7,0.6877,0.695,SEMANTIC-DEGRADING
192,Neutral,SemanticRelationExtraction,0.6897,0.6913,0.6711,0.6677,0.6573,0.6505,0.6491,SEMANTIC-DEGRADING
256,Neutral,SemanticRelationExtraction,0.6345,0.6158,0.6128,0.5941,0.5876,0.6048,0.5984,SEMANTIC-DEGRADING
320,Neutral,SemanticRelationExtraction,0.5884,0.5666,0.5816,0.5667,0.5491,0.5596,0.555,SEMANTIC-DEGRADING
512,Neutral,SemanticRelationExtraction,0.4773,0.462,0.4603,0.4471,0.45,0.445,0.451,SEMANTIC-FAILED
768,Neutral,SemanticRelationExtraction,0.3767,0.3784,0.3671,0.3692,0.3572,0.3556,0.3652,SEMANTIC-FAILED
1024,Neutral,SemanticRelationExtraction,0.314,0.3138,0.3046,0.2964,0.2934,0.2909,0.297,SEMANTIC-FAILED
1536,Neutral,SemanticRelationExtraction,0.237,0.2348,0.2336,0.2258,0.2241,0.218,0.2214,SEMANTIC-FAILED
2048,Neutral,SemanticRelationExtraction,0.1934,0.1877,0.1815,0.1775,0.178,0.1765,0.1828,SEMANTIC-FAILED
3072,Neutral,SemanticRelationExtraction,0.1383,0.1324,0.1284,0.1261,0.1266,0.1294,0.1271,SEMANTIC-FAILED
4096,Neutral,SemanticRelationExtraction,0.1071,0.1029,0.1025,0.1007,0.0988,0.0993,0.0984,SEMANTIC-FAILED
6144,Neutral,SemanticRelationExtraction,0.0718,0.0715,0.069,0.0676,0.0696,0.0677,0.0676,SEMANTIC-FAILED
8192,Neutral,SemanticRelationExtraction,0.0552,0.0552,0.0536,0.0522,0.0522,0.052,0.0525,SEMANTIC-FAILED
12288,Neutral,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Neutral,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Neutral,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Neutral,RelationalMeaningPersistenceAnalysis,0.9567,0.9359,0.9259,0.9056,0.8978,0.891,0.9185,SEMANTIC-STABLE
2,Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.8953,0.92,SEMANTIC-STABLE
4,Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.9263,0.92,0.91,0.8845,0.92,SEMANTIC-STABLE
6,Neutral,RelationalMeaningPersistenceAnalysis,0.9589,0.94,0.9275,0.92,0.8975,0.9,0.9138,SEMANTIC-STABLE
8,Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.932,0.9131,0.9161,0.91,0.8821,0.8941,SEMANTIC-STABLE
12,Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.917,0.9176,0.9011,0.9002,0.8731,0.92,SEMANTIC-STABLE
16,Neutral,RelationalMeaningPersistenceAnalysis,0.9546,0.9345,0.9109,0.9174,0.8887,0.8873,0.9051,SEMANTIC-STABLE
20,Neutral,RelationalMeaningPersistenceAnalysis,0.9518,0.93,0.9107,0.899,0.8721,0.8905,0.887,SEMANTIC-STABLE
24,Neutral,RelationalMeaningPersistenceAnalysis,0.9123,0.9141,0.8946,0.8849,0.8637,0.8614,0.8932,SEMANTIC-BOUNDED
32,Neutral,RelationalMeaningPersistenceAnalysis,0.9214,0.9134,0.9041,0.8819,0.8663,0.8534,0.8635,SEMANTIC-STABLE
40,Neutral,RelationalMeaningPersistenceAnalysis,0.8882,0.9041,0.8896,0.8652,0.8659,0.827,0.8755,SEMANTIC-BOUNDED
48,Neutral,RelationalMeaningPersistenceAnalysis,0.8955,0.8837,0.8789,0.8409,0.8432,0.8141,0.8314,SEMANTIC-BOUNDED
64,Neutral,RelationalMeaningPersistenceAnalysis,0.8651,0.8603,0.8427,0.833,0.7976,0.7974,0.8147,SEMANTIC-BOUNDED
80,Neutral,RelationalMeaningPersistenceAnalysis,0.8295,0.8315,0.8263,0.7858,0.8017,0.7789,0.7871,SEMANTIC-BOUNDED
96,Neutral,RelationalMeaningPersistenceAnalysis,0.8147,0.7958,0.7974,0.7738,0.7761,0.7586,0.7781,SEMANTIC-PARTIAL
128,Neutral,RelationalMeaningPersistenceAnalysis,0.789,0.7749,0.7543,0.745,0.7368,0.727,0.7249,SEMANTIC-PARTIAL
160,Neutral,RelationalMeaningPersistenceAnalysis,0.7319,0.7174,0.7156,0.7121,0.6873,0.678,0.7046,SEMANTIC-PARTIAL
192,Neutral,RelationalMeaningPersistenceAnalysis,0.7093,0.6849,0.6826,0.6759,0.6672,0.6502,0.663,SEMANTIC-DEGRADING
256,Neutral,RelationalMeaningPersistenceAnalysis,0.6429,0.6313,0.6233,0.6151,0.6146,0.5912,0.608,SEMANTIC-DEGRADING
320,Neutral,RelationalMeaningPersistenceAnalysis,0.6064,0.5745,0.5692,0.5535,0.5625,0.5457,0.5593,SEMANTIC-DEGRADING
512,Neutral,RelationalMeaningPersistenceAnalysis,0.4806,0.4657,0.4772,0.4503,0.4491,0.4408,0.4675,SEMANTIC-FAILED
768,Neutral,RelationalMeaningPersistenceAnalysis,0.3776,0.3707,0.3747,0.3614,0.3649,0.3552,0.3652,SEMANTIC-FAILED
1024,Neutral,RelationalMeaningPersistenceAnalysis,0.3232,0.3176,0.3159,0.3039,0.297,0.2942,0.3072,SEMANTIC-FAILED
1536,Neutral,RelationalMeaningPersistenceAnalysis,0.2397,0.2384,0.2309,0.2319,0.2273,0.2218,0.2228,SEMANTIC-FAILED
2048,Neutral,RelationalMeaningPersistenceAnalysis,0.1941,0.1904,0.1845,0.1796,0.1767,0.1775,0.1841,SEMANTIC-FAILED
3072,Neutral,RelationalMeaningPersistenceAnalysis,0.1381,0.1355,0.1319,0.1318,0.1277,0.1275,0.1281,SEMANTIC-FAILED
4096,Neutral,RelationalMeaningPersistenceAnalysis,0.1045,0.1031,0.1043,0.0992,0.1015,0.0979,0.1021,SEMANTIC-FAILED
6144,Neutral,RelationalMeaningPersistenceAnalysis,0.0737,0.071,0.0702,0.0689,0.069,0.0673,0.0701,SEMANTIC-FAILED
8192,Neutral,RelationalMeaningPersistenceAnalysis,0.0567,0.055,0.0542,0.0526,0.0521,0.0531,0.0523,SEMANTIC-FAILED
12288,Neutral,RelationalMeaningPersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Neutral,RelationalMeaningPersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Neutral,RelationalMeaningPersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Neutral,SemanticTransportCoherence,0.96,0.94,0.9228,0.92,0.9073,0.8868,0.92,SEMANTIC-STABLE
2,Neutral,SemanticTransportCoherence,0.96,0.94,0.93,0.9179,0.91,0.8795,0.92,SEMANTIC-STABLE
4,Neutral,SemanticTransportCoherence,0.9516,0.94,0.93,0.92,0.8957,0.8989,0.9044,SEMANTIC-STABLE
6,Neutral,SemanticTransportCoherence,0.9529,0.936,0.93,0.92,0.8966,0.8741,0.9134,SEMANTIC-STABLE
8,Neutral,SemanticTransportCoherence,0.9559,0.9219,0.905,0.92,0.8959,0.8883,0.8877,SEMANTIC-STABLE
12,Neutral,SemanticTransportCoherence,0.9477,0.9066,0.9181,0.92,0.9048,0.8765,0.8943,SEMANTIC-STABLE
16,Neutral,SemanticTransportCoherence,0.9458,0.9088,0.9107,0.9123,0.8804,0.8673,0.876,SEMANTIC-STABLE
20,Neutral,SemanticTransportCoherence,0.9343,0.9212,0.9191,0.8982,0.8582,0.8512,0.8838,SEMANTIC-STABLE
24,Neutral,SemanticTransportCoherence,0.9353,0.8852,0.8918,0.9086,0.8485,0.8699,0.8616,SEMANTIC-BOUNDED
32,Neutral,SemanticTransportCoherence,0.9183,0.9038,0.8847,0.875,0.8576,0.8529,0.8693,SEMANTIC-BOUNDED
40,Neutral,SemanticTransportCoherence,0.8786,0.885,0.8622,0.8742,0.8318,0.8137,0.8338,SEMANTIC-BOUNDED
48,Neutral,SemanticTransportCoherence,0.8833,0.8773,0.844,0.8454,0.8284,0.809,0.8254,SEMANTIC-BOUNDED
64,Neutral,SemanticTransportCoherence,0.8642,0.8514,0.8358,0.8251,0.8131,0.7857,0.8114,SEMANTIC-BOUNDED
80,Neutral,SemanticTransportCoherence,0.8415,0.8202,0.7925,0.8244,0.776,0.7738,0.7763,SEMANTIC-PARTIAL
96,Neutral,SemanticTransportCoherence,0.8171,0.8004,0.7898,0.7817,0.7572,0.7567,0.7615,SEMANTIC-PARTIAL
128,Neutral,SemanticTransportCoherence,0.7738,0.7694,0.7343,0.742,0.7208,0.722,0.7365,SEMANTIC-PARTIAL
160,Neutral,SemanticTransportCoherence,0.7318,0.7278,0.6972,0.721,0.6796,0.6903,0.6998,SEMANTIC-DEGRADING
192,Neutral,SemanticTransportCoherence,0.6961,0.676,0.6904,0.6759,0.6563,0.6623,0.6546,SEMANTIC-DEGRADING
256,Neutral,SemanticTransportCoherence,0.6326,0.6238,0.6323,0.6149,0.591,0.6026,0.603,SEMANTIC-DEGRADING
320,Neutral,SemanticTransportCoherence,0.5857,0.583,0.5709,0.5732,0.541,0.553,0.5686,SEMANTIC-DEGRADING
512,Neutral,SemanticTransportCoherence,0.4765,0.47,0.4653,0.4649,0.4549,0.4385,0.4434,SEMANTIC-FAILED
768,Neutral,SemanticTransportCoherence,0.3738,0.3684,0.3718,0.3632,0.3581,0.3483,0.3604,SEMANTIC-FAILED
1024,Neutral,SemanticTransportCoherence,0.3129,0.3131,0.3086,0.303,0.2953,0.2878,0.2957,SEMANTIC-FAILED
1536,Neutral,SemanticTransportCoherence,0.2372,0.2349,0.23,0.227,0.2244,0.2212,0.2294,SEMANTIC-FAILED
2048,Neutral,SemanticTransportCoherence,0.1897,0.1841,0.1856,0.1813,0.1774,0.1743,0.183,SEMANTIC-FAILED
3072,Neutral,SemanticTransportCoherence,0.1323,0.1341,0.1336,0.1311,0.1289,0.1274,0.1282,SEMANTIC-FAILED
4096,Neutral,SemanticTransportCoherence,0.1039,0.1018,0.1008,0.1003,0.097,0.0963,0.1017,SEMANTIC-FAILED
6144,Neutral,SemanticTransportCoherence,0.0729,0.0726,0.069,0.0712,0.0672,0.0661,0.0691,SEMANTIC-FAILED
8192,Neutral,SemanticTransportCoherence,0.0552,0.0553,0.0534,0.0545,0.0517,0.0516,0.0538,SEMANTIC-FAILED
12288,Neutral,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Neutral,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Neutral,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Neutral,RecursiveSemanticTransformationTracking,0.9593,0.94,0.93,0.91,0.91,0.8854,0.92,SEMANTIC-STABLE
2,Neutral,RecursiveSemanticTransformationTracking,0.955,0.94,0.93,0.9109,0.9065,0.8876,0.9181,SEMANTIC-STABLE
4,Neutral,RecursiveSemanticTransformationTracking,0.9387,0.9207,0.9083,0.92,0.91,0.8801,0.899,SEMANTIC-STABLE
6,Neutral,RecursiveSemanticTransformationTracking,0.9366,0.9394,0.9214,0.9125,0.9018,0.8803,0.9132,SEMANTIC-STABLE
8,Neutral,RecursiveSemanticTransformationTracking,0.9588,0.94,0.9227,0.9187,0.8994,0.8895,0.92,SEMANTIC-STABLE
12,Neutral,RecursiveSemanticTransformationTracking,0.9468,0.9223,0.9204,0.9123,0.8941,0.885,0.894,SEMANTIC-STABLE
16,Neutral,RecursiveSemanticTransformationTracking,0.942,0.914,0.8794,0.8821,0.8857,0.8654,0.884,SEMANTIC-BOUNDED
20,Neutral,RecursiveSemanticTransformationTracking,0.934,0.9022,0.8983,0.8752,0.9051,0.8816,0.8692,SEMANTIC-BOUNDED
24,Neutral,RecursiveSemanticTransformationTracking,0.9151,0.906,0.8773,0.8801,0.8682,0.8391,0.8872,SEMANTIC-BOUNDED
32,Neutral,RecursiveSemanticTransformationTracking,0.9028,0.8677,0.872,0.845,0.872,0.8585,0.875,SEMANTIC-BOUNDED
40,Neutral,RecursiveSemanticTransformationTracking,0.8941,0.8501,0.8411,0.8602,0.8535,0.8229,0.8491,SEMANTIC-BOUNDED
48,Neutral,RecursiveSemanticTransformationTracking,0.8937,0.8636,0.8432,0.8424,0.8553,0.8171,0.8505,SEMANTIC-BOUNDED
64,Neutral,RecursiveSemanticTransformationTracking,0.8577,0.8487,0.8274,0.8201,0.8084,0.795,0.8044,SEMANTIC-BOUNDED
80,Neutral,RecursiveSemanticTransformationTracking,0.8394,0.8211,0.8089,0.799,0.8067,0.7818,0.8051,SEMANTIC-BOUNDED
96,Neutral,RecursiveSemanticTransformationTracking,0.7905,0.7944,0.7926,0.7718,0.776,0.7563,0.7547,SEMANTIC-PARTIAL
128,Neutral,RecursiveSemanticTransformationTracking,0.7755,0.7337,0.7328,0.7434,0.7497,0.711,0.7184,SEMANTIC-PARTIAL
160,Neutral,RecursiveSemanticTransformationTracking,0.7312,0.7091,0.6994,0.6997,0.7048,0.6717,0.6879,SEMANTIC-DEGRADING
192,Neutral,RecursiveSemanticTransformationTracking,0.685,0.6789,0.6811,0.6663,0.6694,0.6572,0.6763,SEMANTIC-DEGRADING
256,Neutral,RecursiveSemanticTransformationTracking,0.6322,0.6306,0.6214,0.6049,0.6078,0.5861,0.6029,SEMANTIC-DEGRADING
320,Neutral,RecursiveSemanticTransformationTracking,0.5894,0.5723,0.5773,0.5502,0.5645,0.5537,0.5678,SEMANTIC-DEGRADING
512,Neutral,RecursiveSemanticTransformationTracking,0.472,0.4656,0.4506,0.4574,0.4607,0.4414,0.4584,SEMANTIC-FAILED
768,Neutral,RecursiveSemanticTransformationTracking,0.3733,0.3744,0.3689,0.3589,0.3694,0.3611,0.368,SEMANTIC-FAILED
1024,Neutral,RecursiveSemanticTransformationTracking,0.3187,0.3068,0.3081,0.2952,0.3077,0.291,0.3011,SEMANTIC-FAILED
1536,Neutral,RecursiveSemanticTransformationTracking,0.2382,0.2256,0.2245,0.2253,0.2286,0.216,0.2285,SEMANTIC-FAILED
2048,Neutral,RecursiveSemanticTransformationTracking,0.1866,0.1862,0.1815,0.1763,0.1817,0.1793,0.1781,SEMANTIC-FAILED
3072,Neutral,RecursiveSemanticTransformationTracking,0.135,0.1317,0.1305,0.1278,0.1295,0.1267,0.1266,SEMANTIC-FAILED
4096,Neutral,RecursiveSemanticTransformationTracking,0.1039,0.1025,0.0988,0.0986,0.0996,0.0985,0.098,SEMANTIC-FAILED
6144,Neutral,RecursiveSemanticTransformationTracking,0.0708,0.0711,0.0682,0.07,0.0708,0.0679,0.0678,SEMANTIC-FAILED
8192,Neutral,RecursiveSemanticTransformationTracking,0.0547,0.0531,0.053,0.0521,0.0536,0.0509,0.0529,SEMANTIC-FAILED
12288,Neutral,RecursiveSemanticTransformationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Neutral,RecursiveSemanticTransformationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Neutral,RecursiveSemanticTransformationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Neutral,AbstractionToSemanticsMapping,0.9515,0.9317,0.93,0.9159,0.9084,0.8938,0.92,SEMANTIC-STABLE
2,Neutral,AbstractionToSemanticsMapping,0.9442,0.94,0.93,0.92,0.8957,0.9,0.92,SEMANTIC-STABLE
4,Neutral,AbstractionToSemanticsMapping,0.955,0.9212,0.9224,0.8989,0.8959,0.8884,0.92,SEMANTIC-STABLE
6,Neutral,AbstractionToSemanticsMapping,0.93,0.9334,0.925,0.8991,0.9079,0.8793,0.92,SEMANTIC-STABLE
8,Neutral,AbstractionToSemanticsMapping,0.96,0.9145,0.9217,0.9124,0.8921,0.8786,0.92,SEMANTIC-STABLE
12,Neutral,AbstractionToSemanticsMapping,0.9376,0.9159,0.8867,0.8891,0.9013,0.8831,0.92,SEMANTIC-BOUNDED
16,Neutral,AbstractionToSemanticsMapping,0.9067,0.9215,0.8959,0.9058,0.8705,0.8583,0.901,SEMANTIC-BOUNDED
20,Neutral,AbstractionToSemanticsMapping,0.9263,0.9046,0.9013,0.8713,0.8722,0.8628,0.8991,SEMANTIC-STABLE
24,Neutral,AbstractionToSemanticsMapping,0.9223,0.8765,0.8879,0.8854,0.8523,0.845,0.876,SEMANTIC-BOUNDED
32,Neutral,AbstractionToSemanticsMapping,0.8915,0.863,0.8716,0.8547,0.869,0.8565,0.8644,SEMANTIC-BOUNDED
40,Neutral,AbstractionToSemanticsMapping,0.8976,0.8749,0.8772,0.8647,0.8275,0.8479,0.8814,SEMANTIC-BOUNDED
48,Neutral,AbstractionToSemanticsMapping,0.8712,0.8629,0.8421,0.847,0.8189,0.8017,0.873,SEMANTIC-BOUNDED
64,Neutral,AbstractionToSemanticsMapping,0.8452,0.8429,0.8269,0.8012,0.8211,0.787,0.815,SEMANTIC-BOUNDED
80,Neutral,AbstractionToSemanticsMapping,0.8208,0.8039,0.787,0.8056,0.7817,0.7796,0.8167,SEMANTIC-PARTIAL
96,Neutral,AbstractionToSemanticsMapping,0.808,0.7961,0.7828,0.7606,0.7561,0.7543,0.7856,SEMANTIC-PARTIAL
128,Neutral,AbstractionToSemanticsMapping,0.7454,0.7516,0.7515,0.7233,0.7124,0.7248,0.7481,SEMANTIC-PARTIAL
160,Neutral,AbstractionToSemanticsMapping,0.7342,0.7163,0.7147,0.6933,0.6893,0.6785,0.7069,SEMANTIC-PARTIAL
192,Neutral,AbstractionToSemanticsMapping,0.6873,0.6887,0.6832,0.6528,0.6545,0.6619,0.6744,SEMANTIC-DEGRADING
256,Neutral,AbstractionToSemanticsMapping,0.6334,0.6246,0.6079,0.6015,0.6015,0.5902,0.6184,SEMANTIC-DEGRADING
320,Neutral,AbstractionToSemanticsMapping,0.5825,0.5776,0.5712,0.5699,0.5634,0.5539,0.5666,SEMANTIC-DEGRADING
512,Neutral,AbstractionToSemanticsMapping,0.4626,0.4645,0.4643,0.4537,0.4446,0.4434,0.4623,SEMANTIC-FAILED
768,Neutral,AbstractionToSemanticsMapping,0.3828,0.3723,0.3692,0.3621,0.3571,0.3514,0.3753,SEMANTIC-FAILED
1024,Neutral,AbstractionToSemanticsMapping,0.3148,0.3133,0.3099,0.3051,0.2941,0.2996,0.3022,SEMANTIC-FAILED
1536,Neutral,AbstractionToSemanticsMapping,0.2295,0.2304,0.2263,0.2212,0.218,0.2183,0.2256,SEMANTIC-FAILED
2048,Neutral,AbstractionToSemanticsMapping,0.1875,0.1841,0.1844,0.1804,0.1783,0.1742,0.1804,SEMANTIC-FAILED
3072,Neutral,AbstractionToSemanticsMapping,0.134,0.1325,0.129,0.126,0.1275,0.125,0.1319,SEMANTIC-FAILED
4096,Neutral,AbstractionToSemanticsMapping,0.1032,0.1013,0.1019,0.1012,0.1,0.0972,0.1007,SEMANTIC-FAILED
6144,Neutral,AbstractionToSemanticsMapping,0.0721,0.0703,0.0708,0.0692,0.0692,0.0677,0.0713,SEMANTIC-FAILED
8192,Neutral,AbstractionToSemanticsMapping,0.0552,0.0531,0.053,0.0536,0.0531,0.0506,0.0546,SEMANTIC-FAILED
12288,Neutral,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Neutral,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Neutral,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Neutral,SemanticReproductionDynamics,0.9515,0.94,0.93,0.9062,0.9006,0.8994,0.92,SEMANTIC-STABLE
2,Neutral,SemanticReproductionDynamics,0.931,0.94,0.93,0.92,0.91,0.9,0.9082,SEMANTIC-STABLE
4,Neutral,SemanticReproductionDynamics,0.9409,0.94,0.93,0.92,0.8979,0.9,0.9114,SEMANTIC-STABLE
6,Neutral,SemanticReproductionDynamics,0.9258,0.9286,0.9139,0.9142,0.91,0.8941,0.92,SEMANTIC-STABLE
8,Neutral,SemanticReproductionDynamics,0.9293,0.9122,0.9033,0.92,0.9055,0.8908,0.884,SEMANTIC-STABLE
12,Neutral,SemanticReproductionDynamics,0.9169,0.9191,0.9021,0.9144,0.8821,0.9,0.8914,SEMANTIC-STABLE
16,Neutral,SemanticReproductionDynamics,0.9401,0.9025,0.8908,0.8852,0.9023,0.8716,0.8702,SEMANTIC-BOUNDED
20,Neutral,SemanticReproductionDynamics,0.9046,0.9071,0.8866,0.9003,0.8764,0.899,0.8994,SEMANTIC-BOUNDED
24,Neutral,SemanticReproductionDynamics,0.9152,0.8833,0.8876,0.8747,0.8712,0.8784,0.8903,SEMANTIC-BOUNDED
32,Neutral,SemanticReproductionDynamics,0.8895,0.8678,0.8585,0.8795,0.8796,0.8792,0.8557,SEMANTIC-BOUNDED
40,Neutral,SemanticReproductionDynamics,0.8866,0.8585,0.8488,0.8326,0.8594,0.8431,0.8551,SEMANTIC-BOUNDED
48,Neutral,SemanticReproductionDynamics,0.8506,0.8627,0.849,0.8517,0.8392,0.8468,0.854,SEMANTIC-BOUNDED
64,Neutral,SemanticReproductionDynamics,0.8505,0.8225,0.8127,0.7998,0.8116,0.8096,0.7995,SEMANTIC-BOUNDED
80,Neutral,SemanticReproductionDynamics,0.8118,0.8133,0.7898,0.7937,0.8051,0.7993,0.7779,SEMANTIC-PARTIAL
96,Neutral,SemanticReproductionDynamics,0.7917,0.7917,0.7627,0.7777,0.7857,0.7683,0.7623,SEMANTIC-PARTIAL
128,Neutral,SemanticReproductionDynamics,0.7622,0.7479,0.728,0.722,0.7346,0.7212,0.7347,SEMANTIC-PARTIAL
160,Neutral,SemanticReproductionDynamics,0.7067,0.6957,0.7032,0.7054,0.6953,0.6916,0.6953,SEMANTIC-DEGRADING
