depth,sector,condition,rg_similarity,geometric_coherence,relational_metric_stability,topology_persistence,spatial_transport_alignment,locality_geometry_consistency,recursive_spatialization_gain,classification
1,Projection,NullGeometryControl,0.7493,0.7236,0.7153,0.7126,0.6946,0.6707,0.7152,GEOMETRY-PARTIAL
2,Projection,NullGeometryControl,0.7763,0.7442,0.726,0.7174,0.6813,0.6849,0.6952,GEOMETRY-PARTIAL
4,Projection,NullGeometryControl,0.7613,0.733,0.7053,0.6886,0.7115,0.6694,0.6895,GEOMETRY-PARTIAL
6,Projection,NullGeometryControl,0.7835,0.7424,0.7079,0.6858,0.7065,0.6826,0.7228,GEOMETRY-PARTIAL
8,Projection,NullGeometryControl,0.7505,0.7449,0.7272,0.7022,0.7099,0.6951,0.7222,GEOMETRY-PARTIAL
12,Projection,NullGeometryControl,0.7772,0.7412,0.6988,0.7048,0.7007,0.6985,0.696,GEOMETRY-PARTIAL
16,Projection,NullGeometryControl,0.7634,0.7175,0.7192,0.7021,0.7124,0.6777,0.6909,GEOMETRY-PARTIAL
20,Projection,NullGeometryControl,0.786,0.7306,0.7178,0.6989,0.6866,0.6909,0.6947,GEOMETRY-PARTIAL
24,Projection,NullGeometryControl,0.7836,0.7372,0.7275,0.7221,0.6908,0.6965,0.7044,GEOMETRY-PARTIAL
32,Projection,NullGeometryControl,0.7492,0.7432,0.7067,0.7251,0.7058,0.6972,0.7208,GEOMETRY-PARTIAL
40,Projection,NullGeometryControl,0.7769,0.7315,0.6999,0.6963,0.6922,0.6897,0.6914,GEOMETRY-PARTIAL
48,Projection,NullGeometryControl,0.7543,0.7413,0.7294,0.6894,0.6791,0.6665,0.694,GEOMETRY-PARTIAL
64,Projection,NullGeometryControl,0.7539,0.7157,0.6972,0.6912,0.7151,0.6828,0.7255,GEOMETRY-PARTIAL
80,Projection,NullGeometryControl,0.7796,0.7348,0.7207,0.7026,0.6956,0.6763,0.7049,GEOMETRY-PARTIAL
96,Projection,NullGeometryControl,0.7715,0.715,0.6987,0.688,0.6921,0.6695,0.695,GEOMETRY-PARTIAL
128,Projection,NullGeometryControl,0.7591,0.7221,0.7127,0.6963,0.6763,0.6709,0.7088,GEOMETRY-PARTIAL
160,Projection,NullGeometryControl,0.7742,0.7453,0.7011,0.7252,0.6805,0.6986,0.7097,GEOMETRY-PARTIAL
192,Projection,NullGeometryControl,0.7558,0.7356,0.7141,0.6975,0.7068,0.6785,0.6988,GEOMETRY-PARTIAL
256,Projection,NullGeometryControl,0.7615,0.7258,0.7212,0.6908,0.6943,0.6938,0.7076,GEOMETRY-PARTIAL
320,Projection,NullGeometryControl,0.7641,0.7283,0.7315,0.7014,0.6857,0.6938,0.7062,GEOMETRY-PARTIAL
512,Projection,NullGeometryControl,0.7721,0.7395,0.7256,0.6993,0.679,0.6717,0.6993,GEOMETRY-PARTIAL
768,Projection,NullGeometryControl,0.7696,0.7075,0.7268,0.7239,0.6868,0.667,0.6875,GEOMETRY-PARTIAL
1024,Projection,NullGeometryControl,0.7751,0.7372,0.7142,0.69,0.7003,0.6962,0.7067,GEOMETRY-PARTIAL
1536,Projection,NullGeometryControl,0.757,0.7306,0.7064,0.7051,0.6788,0.6737,0.6904,GEOMETRY-PARTIAL
2048,Projection,NullGeometryControl,0.7779,0.7348,0.7132,0.6857,0.6846,0.6788,0.6909,GEOMETRY-PARTIAL
3072,Projection,NullGeometryControl,0.7672,0.7257,0.7208,0.6967,0.6788,0.6637,0.7118,GEOMETRY-PARTIAL
4096,Projection,NullGeometryControl,0.7454,0.711,0.7178,0.7039,0.7076,0.6941,0.6901,GEOMETRY-PARTIAL
6144,Projection,NullGeometryControl,0.7567,0.7317,0.709,0.6964,0.6793,0.6683,0.6831,GEOMETRY-PARTIAL
8192,Projection,NullGeometryControl,0.7563,0.7104,0.6946,0.6948,0.7035,0.6809,0.7069,GEOMETRY-PARTIAL
12288,Projection,NullGeometryControl,0.7716,0.7052,0.7147,0.6775,0.6706,0.6954,0.7024,GEOMETRY-PARTIAL
16384,Projection,NullGeometryControl,0.7708,0.7028,0.6985,0.6877,0.6746,0.6774,0.6765,GEOMETRY-PARTIAL
24576,Projection,NullGeometryControl,0.7629,0.6994,0.7097,0.6705,0.6865,0.6709,0.6754,GEOMETRY-DEGRADING
32768,Projection,NullGeometryControl,0.7413,0.6887,0.706,0.7003,0.692,0.6525,0.6745,GEOMETRY-DEGRADING
65536,Projection,NullGeometryControl,0.7205,0.663,0.6731,0.6809,0.6385,0.6388,0.6556,GEOMETRY-DEGRADING
131072,Projection,NullGeometryControl,0.6821,0.6333,0.6414,0.6195,0.6002,0.6039,0.6245,GEOMETRY-DEGRADING
262144,Projection,NullGeometryControl,0.6207,0.5624,0.5798,0.5477,0.5499,0.5454,0.5554,GEOMETRY-DEGRADING
1,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.9089,0.93,GEOMETRY-STABLE
32768,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.9261,0.92,0.9026,0.93,GEOMETRY-STABLE
65536,Antisymmetry,EmergentDistanceMetricAnalysis,0.96,0.9357,0.9137,0.9223,0.9051,0.8747,0.9286,GEOMETRY-STABLE
131072,Antisymmetry,EmergentDistanceMetricAnalysis,0.9248,0.9007,0.876,0.8704,0.8672,0.8454,0.8565,GEOMETRY-STABLE
262144,Antisymmetry,EmergentDistanceMetricAnalysis,0.805,0.7937,0.7888,0.7696,0.7662,0.7511,0.7659,GEOMETRY-PARTIAL
1,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Antisymmetry,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Antisymmetry,RecursiveTopologyFormation,0.96,0.9365,0.94,0.93,0.92,0.8966,0.9265,GEOMETRY-STABLE
65536,Antisymmetry,RecursiveTopologyFormation,0.96,0.943,0.9156,0.9166,0.9174,0.9016,0.9141,GEOMETRY-STABLE
131072,Antisymmetry,RecursiveTopologyFormation,0.9257,0.8554,0.8564,0.8938,0.8695,0.8493,0.8573,GEOMETRY-BOUNDED
262144,Antisymmetry,RecursiveTopologyFormation,0.8245,0.7729,0.7913,0.7899,0.7753,0.7534,0.7662,GEOMETRY-PARTIAL
1,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.9386,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.9268,0.92,0.91,0.93,GEOMETRY-STABLE
65536,Antisymmetry,RelationalGeometricCoherenceMapping,0.96,0.9347,0.8997,0.9186,0.9033,0.9058,0.9176,GEOMETRY-STABLE
131072,Antisymmetry,RelationalGeometricCoherenceMapping,0.8986,0.8943,0.852,0.8752,0.8504,0.8465,0.8435,GEOMETRY-BOUNDED
262144,Antisymmetry,RelationalGeometricCoherenceMapping,0.8181,0.8005,0.775,0.7639,0.7472,0.7581,0.7539,GEOMETRY-BOUNDED
1,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
65536,Antisymmetry,TransportInducedSpatialPersistence,0.96,0.9171,0.9042,0.894,0.92,0.8962,0.9125,GEOMETRY-STABLE
131072,Antisymmetry,TransportInducedSpatialPersistence,0.9217,0.876,0.8702,0.8491,0.858,0.8335,0.8563,GEOMETRY-BOUNDED
262144,Antisymmetry,TransportInducedSpatialPersistence,0.8099,0.7815,0.7667,0.7745,0.7779,0.7557,0.7803,GEOMETRY-PARTIAL
1,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
