depth,sector,condition,rg_similarity,localization_coherence,packet_persistence,bounded_transport_stability,recursive_identity_retention,interference_confinement_strength,localization_gain,classification
20,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
24,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
32,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
40,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
48,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
64,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
80,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
96,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
128,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
160,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
192,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
256,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
320,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
512,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
768,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
1024,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
1536,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
2048,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
3072,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
4096,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
6144,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
8192,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
12288,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
16384,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
24576,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
32768,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
65536,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
131072,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
262144,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
524288,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,LOCALIZATION-STABLE
1048576,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.9557,0.94,0.93,0.92,0.9007,0.93,LOCALIZATION-STABLE
2097152,Antisymmetry,LocalizationStabilityPerturbation,0.96,0.948,0.9085,0.9102,0.9106,0.8689,0.93,LOCALIZATION-STABLE
4194304,Antisymmetry,LocalizationStabilityPerturbation,0.8947,0.8909,0.8627,0.8409,0.8671,0.8419,0.8628,LOCALIZATION-BOUNDED
8388608,Antisymmetry,LocalizationStabilityPerturbation,0.8167,0.7737,0.7805,0.7611,0.7556,0.759,0.7941,LOCALIZATION-PARTIAL
1,Antisymmetry,NullLocalizationControl,0.7474,0.6774,0.679,0.6742,0.6476,0.6433,0.6796,LOCALIZATION-DEGRADING
2,Antisymmetry,NullLocalizationControl,0.7453,0.6915,0.6946,0.661,0.646,0.6457,0.6914,LOCALIZATION-DEGRADING
4,Antisymmetry,NullLocalizationControl,0.7525,0.6921,0.6975,0.6681,0.6674,0.6702,0.6738,LOCALIZATION-DEGRADING
6,Antisymmetry,NullLocalizationControl,0.7357,0.6801,0.6877,0.6936,0.6722,0.6396,0.6779,LOCALIZATION-DEGRADING
8,Antisymmetry,NullLocalizationControl,0.7478,0.6983,0.6781,0.6768,0.6577,0.6445,0.6842,LOCALIZATION-DEGRADING
12,Antisymmetry,NullLocalizationControl,0.7499,0.7147,0.6694,0.6913,0.6773,0.658,0.6919,LOCALIZATION-PARTIAL
16,Antisymmetry,NullLocalizationControl,0.7269,0.7125,0.6954,0.6907,0.6503,0.6433,0.6811,LOCALIZATION-PARTIAL
20,Antisymmetry,NullLocalizationControl,0.7211,0.7107,0.6794,0.6877,0.6691,0.663,0.6866,LOCALIZATION-PARTIAL
24,Antisymmetry,NullLocalizationControl,0.7481,0.6919,0.676,0.6569,0.6738,0.6694,0.679,LOCALIZATION-DEGRADING
32,Antisymmetry,NullLocalizationControl,0.7402,0.6934,0.6934,0.6727,0.6684,0.6662,0.6625,LOCALIZATION-DEGRADING
40,Antisymmetry,NullLocalizationControl,0.7238,0.7076,0.6728,0.6927,0.6617,0.6603,0.6614,LOCALIZATION-PARTIAL
48,Antisymmetry,NullLocalizationControl,0.7241,0.6805,0.6809,0.6599,0.6566,0.6569,0.6723,LOCALIZATION-DEGRADING
64,Antisymmetry,NullLocalizationControl,0.7449,0.7077,0.6949,0.6927,0.684,0.6486,0.6653,LOCALIZATION-PARTIAL
80,Antisymmetry,NullLocalizationControl,0.7197,0.6882,0.6923,0.6833,0.6577,0.6512,0.685,LOCALIZATION-DEGRADING
96,Antisymmetry,NullLocalizationControl,0.7221,0.6876,0.668,0.671,0.6851,0.6537,0.6558,LOCALIZATION-DEGRADING
128,Antisymmetry,NullLocalizationControl,0.7431,0.711,0.6786,0.6598,0.6536,0.667,0.6772,LOCALIZATION-PARTIAL
160,Antisymmetry,NullLocalizationControl,0.7514,0.6975,0.6949,0.6826,0.6761,0.6396,0.6677,LOCALIZATION-DEGRADING
192,Antisymmetry,NullLocalizationControl,0.717,0.6764,0.6707,0.6744,0.671,0.667,0.6671,LOCALIZATION-DEGRADING
256,Antisymmetry,NullLocalizationControl,0.7174,0.714,0.6833,0.6675,0.6709,0.6588,0.6707,LOCALIZATION-PARTIAL
320,Antisymmetry,NullLocalizationControl,0.7563,0.6997,0.6766,0.6803,0.6637,0.6506,0.6769,LOCALIZATION-DEGRADING
512,Antisymmetry,NullLocalizationControl,0.7285,0.7121,0.6829,0.6841,0.6519,0.6561,0.6618,LOCALIZATION-PARTIAL
768,Antisymmetry,NullLocalizationControl,0.7389,0.7067,0.6701,0.6716,0.6846,0.6603,0.6687,LOCALIZATION-PARTIAL
1024,Antisymmetry,NullLocalizationControl,0.7174,0.6988,0.7014,0.6711,0.6691,0.6692,0.6763,LOCALIZATION-DEGRADING
1536,Antisymmetry,NullLocalizationControl,0.7208,0.6818,0.6685,0.6757,0.6572,0.6747,0.6715,LOCALIZATION-DEGRADING
2048,Antisymmetry,NullLocalizationControl,0.7438,0.6983,0.6952,0.6793,0.6763,0.6407,0.6939,LOCALIZATION-DEGRADING
3072,Antisymmetry,NullLocalizationControl,0.7385,0.6847,0.6915,0.6607,0.6537,0.6465,0.6641,LOCALIZATION-DEGRADING
4096,Antisymmetry,NullLocalizationControl,0.7339,0.6785,0.6659,0.6564,0.6559,0.665,0.6855,LOCALIZATION-DEGRADING
6144,Antisymmetry,NullLocalizationControl,0.7288,0.6824,0.6668,0.6663,0.6706,0.6716,0.6788,LOCALIZATION-DEGRADING
8192,Antisymmetry,NullLocalizationControl,0.73,0.7112,0.6997,0.6649,0.6467,0.6752,0.6616,LOCALIZATION-PARTIAL
12288,Antisymmetry,NullLocalizationControl,0.7462,0.688,0.6695,0.6641,0.668,0.6665,0.6823,LOCALIZATION-DEGRADING
16384,Antisymmetry,NullLocalizationControl,0.7424,0.6793,0.704,0.6659,0.6643,0.6545,0.6889,LOCALIZATION-DEGRADING
24576,Antisymmetry,NullLocalizationControl,0.749,0.6953,0.6985,0.6695,0.6559,0.6541,0.6685,LOCALIZATION-DEGRADING
32768,Antisymmetry,NullLocalizationControl,0.7495,0.7008,0.6798,0.6806,0.6554,0.6397,0.6852,LOCALIZATION-PARTIAL
65536,Antisymmetry,NullLocalizationControl,0.746,0.6787,0.6729,0.6781,0.6602,0.6491,0.6707,LOCALIZATION-DEGRADING
131072,Antisymmetry,NullLocalizationControl,0.7368,0.6841,0.6963,0.6738,0.6439,0.655,0.6762,LOCALIZATION-DEGRADING
262144,Antisymmetry,NullLocalizationControl,0.7264,0.6876,0.6981,0.676,0.6724,0.6568,0.6615,LOCALIZATION-DEGRADING
524288,Antisymmetry,NullLocalizationControl,0.742,0.6697,0.6787,0.6526,0.6597,0.6301,0.6756,LOCALIZATION-DEGRADING
1048576,Antisymmetry,NullLocalizationControl,0.7278,0.6647,0.6531,0.6668,0.6466,0.6341,0.6515,LOCALIZATION-DEGRADING
2097152,Antisymmetry,NullLocalizationControl,0.6933,0.6382,0.6326,0.6279,0.617,0.6223,0.6491,LOCALIZATION-DEGRADING
4194304,Antisymmetry,NullLocalizationControl,0.6603,0.5982,0.605,0.6115,0.5888,0.582,0.5821,LOCALIZATION-DEGRADING
8388608,Antisymmetry,NullLocalizationControl,0.5727,0.5428,0.5405,0.5372,0.5431,0.504,0.5388,LOCALIZATION-FAILED
1,Neutral,LocalizedPacketEmergence,0.9469,0.96,0.9155,0.9131,0.8945,0.9076,0.8965,LOCALIZATION-STABLE
2,Neutral,LocalizedPacketEmergence,0.9446,0.9406,0.94,0.9048,0.8855,0.8842,0.908,LOCALIZATION-STABLE
4,Neutral,LocalizedPacketEmergence,0.96,0.9541,0.9175,0.9191,0.8983,0.8758,0.8924,LOCALIZATION-STABLE
6,Neutral,LocalizedPacketEmergence,0.951,0.9486,0.9375,0.9031,0.907,0.895,0.889,LOCALIZATION-STABLE
8,Neutral,LocalizedPacketEmergence,0.96,0.9338,0.94,0.9001,0.8879,0.9093,0.8886,LOCALIZATION-STABLE
12,Neutral,LocalizedPacketEmergence,0.96,0.9596,0.9178,0.9029,0.9055,0.8766,0.8931,LOCALIZATION-STABLE
16,Neutral,LocalizedPacketEmergence,0.96,0.9353,0.9139,0.9253,0.9018,0.8939,0.8907,LOCALIZATION-STABLE
20,Neutral,LocalizedPacketEmergence,0.96,0.9585,0.9223,0.8966,0.8787,0.91,0.9202,LOCALIZATION-STABLE
24,Neutral,LocalizedPacketEmergence,0.9467,0.9382,0.9312,0.9201,0.9092,0.9018,0.886,LOCALIZATION-STABLE
32,Neutral,LocalizedPacketEmergence,0.96,0.9287,0.94,0.93,0.8868,0.8861,0.8906,LOCALIZATION-STABLE
40,Neutral,LocalizedPacketEmergence,0.9575,0.9345,0.94,0.9136,0.9125,0.9067,0.9144,LOCALIZATION-STABLE
48,Neutral,LocalizedPacketEmergence,0.956,0.9463,0.94,0.9161,0.8979,0.8852,0.8912,LOCALIZATION-STABLE
64,Neutral,LocalizedPacketEmergence,0.9594,0.9503,0.94,0.9101,0.9068,0.8828,0.8957,LOCALIZATION-STABLE
80,Neutral,LocalizedPacketEmergence,0.9453,0.9582,0.9065,0.9244,0.9014,0.9018,0.923,LOCALIZATION-STABLE
96,Neutral,LocalizedPacketEmergence,0.942,0.9286,0.9148,0.9298,0.9074,0.91,0.9059,LOCALIZATION-STABLE
128,Neutral,LocalizedPacketEmergence,0.9507,0.9481,0.9098,0.9012,0.8882,0.8894,0.9205,LOCALIZATION-STABLE
160,Neutral,LocalizedPacketEmergence,0.9593,0.9514,0.9069,0.93,0.8963,0.8979,0.9117,LOCALIZATION-STABLE
192,Neutral,LocalizedPacketEmergence,0.96,0.9571,0.907,0.912,0.8879,0.9022,0.8981,LOCALIZATION-STABLE
256,Neutral,LocalizedPacketEmergence,0.9447,0.9447,0.9287,0.9227,0.8776,0.8865,0.891,LOCALIZATION-STABLE
320,Neutral,LocalizedPacketEmergence,0.9548,0.9372,0.9281,0.9022,0.9098,0.8893,0.8986,LOCALIZATION-STABLE
512,Neutral,LocalizedPacketEmergence,0.9521,0.9313,0.9188,0.93,0.8788,0.8791,0.9077,LOCALIZATION-STABLE
768,Neutral,LocalizedPacketEmergence,0.9503,0.938,0.9153,0.9253,0.8784,0.8876,0.9251,LOCALIZATION-STABLE
1024,Neutral,LocalizedPacketEmergence,0.9573,0.9348,0.937,0.9043,0.8976,0.8886,0.9086,LOCALIZATION-STABLE
1536,Neutral,LocalizedPacketEmergence,0.96,0.9427,0.9347,0.93,0.9094,0.8904,0.9083,LOCALIZATION-STABLE
2048,Neutral,LocalizedPacketEmergence,0.95,0.9329,0.9341,0.9249,0.8768,0.91,0.8948,LOCALIZATION-STABLE
3072,Neutral,LocalizedPacketEmergence,0.96,0.9393,0.94,0.93,0.9115,0.8998,0.898,LOCALIZATION-STABLE
4096,Neutral,LocalizedPacketEmergence,0.9533,0.96,0.9085,0.9211,0.9127,0.8793,0.9152,LOCALIZATION-STABLE
6144,Neutral,LocalizedPacketEmergence,0.944,0.9413,0.9268,0.9171,0.8851,0.8774,0.9119,LOCALIZATION-STABLE
8192,Neutral,LocalizedPacketEmergence,0.96,0.9334,0.94,0.9099,0.8938,0.91,0.8903,LOCALIZATION-STABLE
12288,Neutral,LocalizedPacketEmergence,0.96,0.96,0.9243,0.9086,0.8772,0.8929,0.9244,LOCALIZATION-STABLE
16384,Neutral,LocalizedPacketEmergence,0.9554,0.951,0.94,0.9204,0.9141,0.8803,0.8877,LOCALIZATION-STABLE
24576,Neutral,LocalizedPacketEmergence,0.952,0.959,0.9056,0.917,0.9099,0.878,0.9039,LOCALIZATION-STABLE
32768,Neutral,LocalizedPacketEmergence,0.96,0.9368,0.9332,0.93,0.893,0.9077,0.9119,LOCALIZATION-STABLE
65536,Neutral,LocalizedPacketEmergence,0.96,0.9481,0.9117,0.9075,0.8907,0.91,0.8877,LOCALIZATION-STABLE
131072,Neutral,LocalizedPacketEmergence,0.96,0.9466,0.94,0.898,0.8826,0.878,0.889,LOCALIZATION-STABLE
262144,Neutral,LocalizedPacketEmergence,0.9551,0.9536,0.9058,0.8996,0.8822,0.8875,0.906,LOCALIZATION-STABLE
524288,Neutral,LocalizedPacketEmergence,0.9587,0.9361,0.908,0.8925,0.8868,0.8902,0.8947,LOCALIZATION-STABLE
1048576,Neutral,LocalizedPacketEmergence,0.928,0.9028,0.9017,0.8843,0.8697,0.8521,0.8719,LOCALIZATION-STABLE
2097152,Neutral,LocalizedPacketEmergence,0.9093,0.8806,0.8769,0.8424,0.8222,0.8464,0.834,LOCALIZATION-BOUNDED
4194304,Neutral,LocalizedPacketEmergence,0.8562,0.8374,0.8253,0.8118,0.7878,0.7791,0.8136,LOCALIZATION-BOUNDED
8388608,Neutral,LocalizedPacketEmergence,0.7698,0.7593,0.7421,0.7226,0.7237,0.6939,0.7075,LOCALIZATION-PARTIAL
1,Neutral,RecursiveLocalizationPersistence,0.9575,0.9274,0.94,0.8935,0.9196,0.899,0.9168,LOCALIZATION-STABLE
2,Neutral,RecursiveLocalizationPersistence,0.96,0.9406,0.94,0.9223,0.9042,0.8787,0.9051,LOCALIZATION-STABLE
4,Neutral,RecursiveLocalizationPersistence,0.96,0.9239,0.94,0.9166,0.894,0.8983,0.9215,LOCALIZATION-STABLE
6,Neutral,RecursiveLocalizationPersistence,0.96,0.9373,0.9324,0.9149,0.9063,0.8904,0.93,LOCALIZATION-STABLE
8,Neutral,RecursiveLocalizationPersistence,0.96,0.922,0.94,0.9039,0.8957,0.8761,0.9192,LOCALIZATION-STABLE
12,Neutral,RecursiveLocalizationPersistence,0.96,0.9171,0.9341,0.901,0.9165,0.8716,0.924,LOCALIZATION-STABLE
16,Neutral,RecursiveLocalizationPersistence,0.96,0.9189,0.9318,0.893,0.8966,0.8842,0.9023,LOCALIZATION-STABLE
20,Neutral,RecursiveLocalizationPersistence,0.96,0.9069,0.94,0.9109,0.8896,0.8686,0.9164,LOCALIZATION-STABLE
24,Neutral,RecursiveLocalizationPersistence,0.9523,0.9273,0.94,0.9152,0.8893,0.9008,0.9282,LOCALIZATION-STABLE
32,Neutral,RecursiveLocalizationPersistence,0.96,0.9381,0.94,0.9078,0.92,0.8854,0.9274,LOCALIZATION-STABLE
40,Neutral,RecursiveLocalizationPersistence,0.96,0.942,0.9296,0.895,0.92,0.8702,0.8964,LOCALIZATION-STABLE
48,Neutral,RecursiveLocalizationPersistence,0.96,0.9403,0.94,0.8935,0.9018,0.8895,0.9085,LOCALIZATION-STABLE
64,Neutral,RecursiveLocalizationPersistence,0.96,0.9162,0.9273,0.8874,0.903,0.8701,0.919,LOCALIZATION-STABLE
80,Neutral,RecursiveLocalizationPersistence,0.9492,0.9338,0.94,0.8953,0.8992,0.8869,0.9264,LOCALIZATION-STABLE
96,Neutral,RecursiveLocalizationPersistence,0.9554,0.9324,0.9278,0.901,0.9053,0.9028,0.9121,LOCALIZATION-STABLE
128,Neutral,RecursiveLocalizationPersistence,0.96,0.923,0.9271,0.8889,0.9055,0.8722,0.9053,LOCALIZATION-STABLE
160,Neutral,RecursiveLocalizationPersistence,0.96,0.938,0.9294,0.9096,0.8995,0.8944,0.9083,LOCALIZATION-STABLE
192,Neutral,RecursiveLocalizationPersistence,0.96,0.935,0.94,0.904,0.89,0.8671,0.8965,LOCALIZATION-STABLE
256,Neutral,RecursiveLocalizationPersistence,0.9592,0.9302,0.94,0.9142,0.9141,0.9041,0.93,LOCALIZATION-STABLE
320,Neutral,RecursiveLocalizationPersistence,0.96,0.9253,0.94,0.9148,0.9008,0.8925,0.93,LOCALIZATION-STABLE
512,Neutral,RecursiveLocalizationPersistence,0.96,0.9106,0.94,0.922,0.8882,0.8877,0.903,LOCALIZATION-STABLE
768,Neutral,RecursiveLocalizationPersistence,0.96,0.9212,0.94,0.9006,0.9054,0.8979,0.9158,LOCALIZATION-STABLE
1024,Neutral,RecursiveLocalizationPersistence,0.96,0.909,0.94,0.9143,0.8889,0.8959,0.9137,LOCALIZATION-STABLE
1536,Neutral,RecursiveLocalizationPersistence,0.9586,0.9197,0.94,0.9168,0.92,0.8766,0.9176,LOCALIZATION-STABLE
2048,Neutral,RecursiveLocalizationPersistence,0.96,0.918,0.94,0.9177,0.8896,0.8721,0.9157,LOCALIZATION-STABLE
3072,Neutral,RecursiveLocalizationPersistence,0.96,0.9284,0.94,0.8879,0.92,0.885,0.9163,LOCALIZATION-STABLE
4096,Neutral,RecursiveLocalizationPersistence,0.96,0.9201,0.9265,0.8965,0.9189,0.8749,0.9248,LOCALIZATION-STABLE
6144,Neutral,RecursiveLocalizationPersistence,0.96,0.9347,0.94,0.8898,0.8931,0.9022,0.9131,LOCALIZATION-STABLE
8192,Neutral,RecursiveLocalizationPersistence,0.96,0.9151,0.9315,0.9031,0.902,0.8671,0.93,LOCALIZATION-STABLE
12288,Neutral,RecursiveLocalizationPersistence,0.9514,0.9249,0.932,0.8952,0.8923,0.9027,0.9116,LOCALIZATION-STABLE
16384,Neutral,RecursiveLocalizationPersistence,0.9551,0.9242,0.94,0.908,0.8908,0.8696,0.9261,LOCALIZATION-STABLE
24576,Neutral,RecursiveLocalizationPersistence,0.9583,0.94,0.9333,0.9093,0.92,0.8837,0.93,LOCALIZATION-STABLE
32768,Neutral,RecursiveLocalizationPersistence,0.96,0.929,0.9336,0.9217,0.9069,0.8653,0.9166,LOCALIZATION-STABLE
65536,Neutral,RecursiveLocalizationPersistence,0.96,0.9131,0.94,0.8978,0.9178,0.8866,0.8949,LOCALIZATION-STABLE
131072,Neutral,RecursiveLocalizationPersistence,0.9445,0.9295,0.9306,0.9133,0.9112,0.8907,0.8955,LOCALIZATION-STABLE
262144,Neutral,RecursiveLocalizationPersistence,0.96,0.907,0.94,0.9062,0.8803,0.892,0.9253,LOCALIZATION-STABLE
524288,Neutral,RecursiveLocalizationPersistence,0.96,0.9191,0.9109,0.8838,0.8756,0.8677,0.9049,LOCALIZATION-STABLE
1048576,Neutral,RecursiveLocalizationPersistence,0.9175,0.913,0.9047,0.8666,0.8691,0.8656,0.8995,LOCALIZATION-STABLE
2097152,Neutral,RecursiveLocalizationPersistence,0.9073,0.8611,0.8739,0.8571,0.8395,0.8139,0.8677,LOCALIZATION-BOUNDED
4194304,Neutral,RecursiveLocalizationPersistence,0.85,0.8016,0.8437,0.8042,0.7857,0.7677,0.7944,LOCALIZATION-BOUNDED
8388608,Neutral,RecursiveLocalizationPersistence,0.7712,0.7467,0.7377,0.7326,0.7225,0.6917,0.7332,LOCALIZATION-PARTIAL
1,Neutral,ConstructiveInterferenceConfinement,0.96,0.9276,0.9021,0.9032,0.8816,0.91,0.9111,LOCALIZATION-STABLE
2,Neutral,ConstructiveInterferenceConfinement,0.96,0.9277,0.9324,0.8936,0.9001,0.9023,0.9227,LOCALIZATION-STABLE
4,Neutral,ConstructiveInterferenceConfinement,0.96,0.9282,0.9255,0.9217,0.8859,0.8964,0.9187,LOCALIZATION-STABLE
6,Neutral,ConstructiveInterferenceConfinement,0.9506,0.9349,0.8964,0.9228,0.8795,0.9094,0.9109,LOCALIZATION-STABLE
8,Neutral,ConstructiveInterferenceConfinement,0.9484,0.919,0.8969,0.8996,0.879,0.9082,0.9071,LOCALIZATION-STABLE
12,Neutral,ConstructiveInterferenceConfinement,0.9553,0.9381,0.9124,0.9066,0.9083,0.8976,0.9127,LOCALIZATION-STABLE
16,Neutral,ConstructiveInterferenceConfinement,0.96,0.9529,0.9051,0.8864,0.8942,0.91,0.9197,LOCALIZATION-STABLE
20,Neutral,ConstructiveInterferenceConfinement,0.9512,0.9319,0.9311,0.8895,0.889,0.91,0.9182,LOCALIZATION-STABLE
24,Neutral,ConstructiveInterferenceConfinement,0.96,0.954,0.932,0.8914,0.9086,0.9077,0.9226,LOCALIZATION-STABLE
32,Neutral,ConstructiveInterferenceConfinement,0.96,0.9433,0.9293,0.9132,0.886,0.91,0.9202,LOCALIZATION-STABLE
40,Neutral,ConstructiveInterferenceConfinement,0.96,0.9185,0.9243,0.9202,0.877,0.8965,0.93,LOCALIZATION-STABLE
48,Neutral,ConstructiveInterferenceConfinement,0.9571,0.9206,0.9008,0.9218,0.8968,0.91,0.9209,LOCALIZATION-STABLE
64,Neutral,ConstructiveInterferenceConfinement,0.96,0.9507,0.9042,0.8937,0.8837,0.9014,0.9239,LOCALIZATION-STABLE
80,Neutral,ConstructiveInterferenceConfinement,0.96,0.937,0.9059,0.9253,0.915,0.9025,0.93,LOCALIZATION-STABLE
96,Neutral,ConstructiveInterferenceConfinement,0.96,0.9256,0.902,0.9185,0.8931,0.9031,0.9237,LOCALIZATION-STABLE
128,Neutral,ConstructiveInterferenceConfinement,0.96,0.9449,0.9147,0.9029,0.9128,0.91,0.9289,LOCALIZATION-STABLE
160,Neutral,ConstructiveInterferenceConfinement,0.96,0.9199,0.9283,0.9254,0.9032,0.8975,0.93,LOCALIZATION-STABLE
192,Neutral,ConstructiveInterferenceConfinement,0.9517,0.9546,0.9094,0.9047,0.8862,0.8996,0.93,LOCALIZATION-STABLE
256,Neutral,ConstructiveInterferenceConfinement,0.96,0.9433,0.9059,0.9206,0.8948,0.91,0.896,LOCALIZATION-STABLE
320,Neutral,ConstructiveInterferenceConfinement,0.9483,0.9494,0.9352,0.8985,0.885,0.9053,0.93,LOCALIZATION-STABLE
512,Neutral,ConstructiveInterferenceConfinement,0.949,0.9219,0.9231,0.8964,0.9067,0.91,0.924,LOCALIZATION-STABLE
768,Neutral,ConstructiveInterferenceConfinement,0.9591,0.9406,0.8976,0.8883,0.8807,0.91,0.9009,LOCALIZATION-STABLE
1024,Neutral,ConstructiveInterferenceConfinement,0.9423,0.932,0.9216,0.8877,0.8873,0.91,0.93,LOCALIZATION-STABLE
1536,Neutral,ConstructiveInterferenceConfinement,0.96,0.946,0.9338,0.9136,0.885,0.91,0.93,LOCALIZATION-STABLE
2048,Neutral,ConstructiveInterferenceConfinement,0.96,0.9303,0.9325,0.9086,0.8914,0.91,0.9288,LOCALIZATION-STABLE
3072,Neutral,ConstructiveInterferenceConfinement,0.96,0.951,0.9188,0.8954,0.8814,0.8961,0.8966,LOCALIZATION-STABLE
4096,Neutral,ConstructiveInterferenceConfinement,0.96,0.9241,0.9194,0.8873,0.895,0.91,0.93,LOCALIZATION-STABLE
6144,Neutral,ConstructiveInterferenceConfinement,0.96,0.9297,0.9276,0.8998,0.9058,0.91,0.9166,LOCALIZATION-STABLE
8192,Neutral,ConstructiveInterferenceConfinement,0.96,0.928,0.9108,0.9077,0.883,0.8989,0.93,LOCALIZATION-STABLE
12288,Neutral,ConstructiveInterferenceConfinement,0.9465,0.9372,0.9077,0.887,0.8815,0.91,0.9206,LOCALIZATION-STABLE
16384,Neutral,ConstructiveInterferenceConfinement,0.96,0.941,0.9204,0.8954,0.8982,0.91,0.923,LOCALIZATION-STABLE
24576,Neutral,ConstructiveInterferenceConfinement,0.9423,0.9462,0.9189,0.8925,0.9013,0.91,0.9135,LOCALIZATION-STABLE
32768,Neutral,ConstructiveInterferenceConfinement,0.96,0.9532,0.9005,0.8966,0.8793,0.91,0.8979,LOCALIZATION-STABLE
65536,Neutral,ConstructiveInterferenceConfinement,0.9502,0.9172,0.9301,0.9209,0.8819,0.91,0.93,LOCALIZATION-STABLE
131072,Neutral,ConstructiveInterferenceConfinement,0.96,0.9317,0.9064,0.897,0.8931,0.8966,0.911,LOCALIZATION-STABLE
262144,Neutral,ConstructiveInterferenceConfinement,0.96,0.913,0.9137,0.8925,0.884,0.9056,0.8901,LOCALIZATION-STABLE
524288,Neutral,ConstructiveInterferenceConfinement,0.9389,0.901,0.9174,0.892,0.892,0.9077,0.9202,LOCALIZATION-STABLE
1048576,Neutral,ConstructiveInterferenceConfinement,0.9274,0.9193,0.8917,0.8927,0.8587,0.8842,0.8721,LOCALIZATION-STABLE
2097152,Neutral,ConstructiveInterferenceConfinement,0.9129,0.8758,0.8605,0.8448,0.8431,0.8442,0.8546,LOCALIZATION-BOUNDED
4194304,Neutral,ConstructiveInterferenceConfinement,0.8533,0.8268,0.8255,0.8058,0.7872,0.8064,0.8121,LOCALIZATION-BOUNDED
8388608,Neutral,ConstructiveInterferenceConfinement,0.7736,0.7422,0.7138,0.7058,0.7077,0.7315,0.7271,LOCALIZATION-PARTIAL
1,Neutral,BoundedPropagationCoherence,0.9547,0.9442,0.9195,0.93,0.8888,0.89,0.93,LOCALIZATION-STABLE
2,Neutral,BoundedPropagationCoherence,0.96,0.9395,0.911,0.9272,0.9101,0.896,0.93,LOCALIZATION-STABLE
