depth,sector,condition,rg_similarity,cross_scale_alignment,fragmentation_suppression,closure_extension_gain,drift_compensation_efficiency,recursive_coherence_retention,classification
8,Neutral,AdaptiveCrossScaleComp,0.693,0.7048,0.005,0.0917,0.6739,0.6634,DRIFT-COMPENSATED
12,Neutral,AdaptiveCrossScaleComp,0.6216,0.6312,0.005,0.0827,0.5968,0.6005,DRIFT-PARTIAL
16,Neutral,AdaptiveCrossScaleComp,0.5592,0.5644,0.005,0.071,0.5417,0.5422,DRIFT-PARTIAL
20,Neutral,AdaptiveCrossScaleComp,0.502,0.52,0.005,0.0658,0.5015,0.4969,DRIFT-PARTIAL
24,Neutral,AdaptiveCrossScaleComp,0.468,0.4824,0.005,0.0726,0.4556,0.4511,DRIFT-DEGRADING
28,Neutral,AdaptiveCrossScaleComp,0.4283,0.4524,0.005,0.0566,0.4292,0.4234,DRIFT-DEGRADING
32,Neutral,AdaptiveCrossScaleComp,0.4074,0.4156,0.005,0.0552,0.406,0.3975,DRIFT-DEGRADING
40,Neutral,AdaptiveCrossScaleComp,0.3595,0.3635,0.005,0.0461,0.3478,0.3415,DRIFT-DEGRADING
48,Neutral,AdaptiveCrossScaleComp,0.3176,0.3314,0.005,0.0413,0.3172,0.3172,DRIFT-FAILED
1,Neutral,FragmentationSuppression,0.8284,0.8117,0.005,0.0754,0.7921,0.8152,DRIFT-CORRECTED
2,Neutral,FragmentationSuppression,0.7759,0.7937,0.005,0.0817,0.7858,0.7806,DRIFT-COMPENSATED
4,Neutral,FragmentationSuppression,0.7534,0.7553,0.005,0.0642,0.7338,0.7177,DRIFT-COMPENSATED
6,Neutral,FragmentationSuppression,0.6835,0.7066,0.005,0.0625,0.6607,0.6692,DRIFT-COMPENSATED
8,Neutral,FragmentationSuppression,0.64,0.6612,0.005,0.0553,0.6342,0.6381,DRIFT-PARTIAL
12,Neutral,FragmentationSuppression,0.5953,0.5869,0.005,0.0523,0.5637,0.5719,DRIFT-PARTIAL
16,Neutral,FragmentationSuppression,0.5368,0.5455,0.005,0.0592,0.5335,0.5343,DRIFT-PARTIAL
20,Neutral,FragmentationSuppression,0.4931,0.4961,0.005,0.0519,0.4852,0.4766,DRIFT-DEGRADING
24,Neutral,FragmentationSuppression,0.4609,0.4531,0.005,0.0523,0.4329,0.4507,DRIFT-DEGRADING
28,Neutral,FragmentationSuppression,0.4213,0.4226,0.005,0.042,0.4171,0.4174,DRIFT-DEGRADING
32,Neutral,FragmentationSuppression,0.389,0.3938,0.005,0.0336,0.3769,0.388,DRIFT-DEGRADING
40,Neutral,FragmentationSuppression,0.3478,0.3462,0.005,0.0387,0.3371,0.3392,DRIFT-FAILED
48,Neutral,FragmentationSuppression,0.3013,0.312,0.005,0.0296,0.3055,0.2987,DRIFT-FAILED
1,Neutral,DelayedCoherenceReinforcement,0.8167,0.8226,0.005,0.1037,0.8091,0.8494,DRIFT-CORRECTED
2,Neutral,DelayedCoherenceReinforcement,0.7961,0.8018,0.005,0.1133,0.7854,0.7919,DRIFT-COMPENSATED
4,Neutral,DelayedCoherenceReinforcement,0.7297,0.7711,0.005,0.0943,0.7353,0.7386,DRIFT-COMPENSATED
6,Neutral,DelayedCoherenceReinforcement,0.6932,0.7184,0.005,0.1046,0.6873,0.705,DRIFT-COMPENSATED
8,Neutral,DelayedCoherenceReinforcement,0.6517,0.683,0.005,0.0988,0.6412,0.6856,DRIFT-COMPENSATED
12,Neutral,DelayedCoherenceReinforcement,0.6006,0.6032,0.005,0.0857,0.5725,0.6137,DRIFT-PARTIAL
16,Neutral,DelayedCoherenceReinforcement,0.5324,0.5387,0.005,0.0703,0.52,0.5577,DRIFT-PARTIAL
20,Neutral,DelayedCoherenceReinforcement,0.5001,0.5042,0.005,0.0622,0.4954,0.5114,DRIFT-PARTIAL
24,Neutral,DelayedCoherenceReinforcement,0.4471,0.4705,0.005,0.0547,0.4553,0.4575,DRIFT-DEGRADING
28,Neutral,DelayedCoherenceReinforcement,0.4157,0.4352,0.005,0.0641,0.404,0.4224,DRIFT-DEGRADING
32,Neutral,DelayedCoherenceReinforcement,0.402,0.4066,0.005,0.0532,0.3918,0.4021,DRIFT-DEGRADING
40,Neutral,DelayedCoherenceReinforcement,0.3448,0.3513,0.005,0.0465,0.3437,0.3514,DRIFT-FAILED
48,Neutral,DelayedCoherenceReinforcement,0.3059,0.3148,0.005,0.048,0.3087,0.3205,DRIFT-FAILED
1,Neutral,NullCorrectionControl,0.6171,0.6834,0.0991,-0.0447,0.649,0.6262,DRIFT-PARTIAL
2,Neutral,NullCorrectionControl,0.6118,0.632,0.108,-0.0407,0.6174,0.6285,DRIFT-PARTIAL
4,Neutral,NullCorrectionControl,0.5799,0.5862,0.1106,-0.0449,0.5666,0.5825,DRIFT-PARTIAL
6,Neutral,NullCorrectionControl,0.5401,0.5758,0.1039,-0.0189,0.5392,0.5453,DRIFT-PARTIAL
8,Neutral,NullCorrectionControl,0.5185,0.5312,0.1048,-0.0208,0.5237,0.5035,DRIFT-PARTIAL
12,Neutral,NullCorrectionControl,0.4665,0.488,0.1144,-0.0164,0.4654,0.4568,DRIFT-DEGRADING
16,Neutral,NullCorrectionControl,0.4065,0.4369,0.1317,-0.02,0.4332,0.415,DRIFT-DEGRADING
20,Neutral,NullCorrectionControl,0.3726,0.3993,0.137,-0.0211,0.3972,0.3709,DRIFT-DEGRADING
24,Neutral,NullCorrectionControl,0.3494,0.3644,0.1403,-0.0209,0.3607,0.3517,DRIFT-FAILED
28,Neutral,NullCorrectionControl,0.3208,0.3469,0.1447,-0.0248,0.3347,0.3318,DRIFT-FAILED
32,Neutral,NullCorrectionControl,0.3011,0.324,0.1461,-0.0124,0.3104,0.3097,DRIFT-FAILED
40,Neutral,NullCorrectionControl,0.2596,0.2804,0.1407,-0.0164,0.2725,0.2677,DRIFT-FAILED
48,Neutral,NullCorrectionControl,0.2337,0.2475,0.1713,-0.0151,0.2483,0.2461,DRIFT-FAILED
1,Projection-Antisymmetry,BaselineDrift,0.7719,0.7535,0.0613,0.043,0.7489,0.7512,DRIFT-COMPENSATED
2,Projection-Antisymmetry,BaselineDrift,0.7403,0.7442,0.0612,0.0517,0.739,0.7471,DRIFT-COMPENSATED
4,Projection-Antisymmetry,BaselineDrift,0.6918,0.6845,0.0555,0.0326,0.6574,0.677,DRIFT-COMPENSATED
6,Projection-Antisymmetry,BaselineDrift,0.6765,0.6496,0.0466,0.0337,0.6357,0.6547,DRIFT-COMPENSATED
8,Projection-Antisymmetry,BaselineDrift,0.643,0.6102,0.051,0.0457,0.5997,0.5977,DRIFT-PARTIAL
12,Projection-Antisymmetry,BaselineDrift,0.5667,0.5466,0.0575,0.0393,0.5376,0.5405,DRIFT-PARTIAL
16,Projection-Antisymmetry,BaselineDrift,0.5029,0.5025,0.0652,0.0323,0.5012,0.4957,DRIFT-PARTIAL
20,Projection-Antisymmetry,BaselineDrift,0.4786,0.4558,0.0573,0.0318,0.4441,0.4651,DRIFT-DEGRADING
24,Projection-Antisymmetry,BaselineDrift,0.4242,0.4271,0.064,0.0317,0.4022,0.4108,DRIFT-DEGRADING
28,Projection-Antisymmetry,BaselineDrift,0.3987,0.3997,0.0668,0.0161,0.3885,0.3846,DRIFT-DEGRADING
32,Projection-Antisymmetry,BaselineDrift,0.375,0.3686,0.0744,0.0208,0.3583,0.3636,DRIFT-DEGRADING
40,Projection-Antisymmetry,BaselineDrift,0.3253,0.3227,0.083,0.0163,0.3225,0.3258,DRIFT-FAILED
48,Projection-Antisymmetry,BaselineDrift,0.2886,0.296,0.0682,0.0157,0.2776,0.279,DRIFT-FAILED
1,Projection-Antisymmetry,DynamicScaleAlignment,0.8351,0.8336,0.005,0.1031,0.7996,0.7871,DRIFT-CORRECTED
2,Projection-Antisymmetry,DynamicScaleAlignment,0.8204,0.8205,0.005,0.099,0.7874,0.7874,DRIFT-CORRECTED
4,Projection-Antisymmetry,DynamicScaleAlignment,0.7585,0.7825,0.005,0.1064,0.7446,0.7368,DRIFT-COMPENSATED
6,Projection-Antisymmetry,DynamicScaleAlignment,0.6921,0.7072,0.005,0.0779,0.7085,0.6976,DRIFT-COMPENSATED
8,Projection-Antisymmetry,DynamicScaleAlignment,0.6732,0.6705,0.005,0.0863,0.6397,0.6343,DRIFT-COMPENSATED
12,Projection-Antisymmetry,DynamicScaleAlignment,0.5919,0.6057,0.005,0.0845,0.6028,0.5877,DRIFT-PARTIAL
16,Projection-Antisymmetry,DynamicScaleAlignment,0.5497,0.5571,0.005,0.0679,0.5292,0.5311,DRIFT-PARTIAL
20,Projection-Antisymmetry,DynamicScaleAlignment,0.4931,0.5112,0.005,0.0544,0.4827,0.4831,DRIFT-DEGRADING
24,Projection-Antisymmetry,DynamicScaleAlignment,0.4506,0.4736,0.005,0.0619,0.4531,0.4493,DRIFT-DEGRADING
28,Projection-Antisymmetry,DynamicScaleAlignment,0.4354,0.445,0.005,0.0483,0.4237,0.4243,DRIFT-DEGRADING
32,Projection-Antisymmetry,DynamicScaleAlignment,0.3914,0.4066,0.005,0.0562,0.391,0.3878,DRIFT-DEGRADING
40,Projection-Antisymmetry,DynamicScaleAlignment,0.3529,0.3654,0.005,0.0426,0.3401,0.3462,DRIFT-DEGRADING
48,Projection-Antisymmetry,DynamicScaleAlignment,0.3114,0.322,0.005,0.043,0.3128,0.3097,DRIFT-FAILED
1,Projection-Antisymmetry,RecursiveSyncRefresh,0.8276,0.8201,0.0116,0.0908,0.7968,0.8002,DRIFT-CORRECTED
2,Projection-Antisymmetry,RecursiveSyncRefresh,0.7998,0.8153,0.005,0.0817,0.7975,0.785,DRIFT-COMPENSATED
4,Projection-Antisymmetry,RecursiveSyncRefresh,0.7498,0.7408,0.0088,0.0947,0.7385,0.7468,DRIFT-COMPENSATED
6,Projection-Antisymmetry,RecursiveSyncRefresh,0.6852,0.7162,0.005,0.0825,0.6924,0.6981,DRIFT-COMPENSATED
8,Projection-Antisymmetry,RecursiveSyncRefresh,0.6501,0.6494,0.005,0.0768,0.6463,0.6421,DRIFT-COMPENSATED
12,Projection-Antisymmetry,RecursiveSyncRefresh,0.6023,0.6041,0.0061,0.0665,0.5725,0.5907,DRIFT-PARTIAL
16,Projection-Antisymmetry,RecursiveSyncRefresh,0.5355,0.5518,0.005,0.0643,0.5201,0.5305,DRIFT-PARTIAL
20,Projection-Antisymmetry,RecursiveSyncRefresh,0.4928,0.4956,0.0074,0.047,0.4755,0.4812,DRIFT-DEGRADING
24,Projection-Antisymmetry,RecursiveSyncRefresh,0.4598,0.4577,0.0093,0.0582,0.4418,0.4431,DRIFT-DEGRADING
28,Projection-Antisymmetry,RecursiveSyncRefresh,0.4231,0.4266,0.0094,0.0414,0.4076,0.4224,DRIFT-DEGRADING
32,Projection-Antisymmetry,RecursiveSyncRefresh,0.3924,0.3923,0.0115,0.0503,0.3954,0.3832,DRIFT-DEGRADING
40,Projection-Antisymmetry,RecursiveSyncRefresh,0.3452,0.3564,0.013,0.0408,0.3454,0.3424,DRIFT-FAILED
48,Projection-Antisymmetry,RecursiveSyncRefresh,0.3062,0.3087,0.0114,0.0386,0.3038,0.3086,DRIFT-FAILED
1,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.8533,0.8701,0.005,0.133,0.8392,0.8338,DRIFT-CORRECTED
2,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.8133,0.8179,0.005,0.1054,0.8187,0.7937,DRIFT-CORRECTED
4,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.7789,0.7715,0.005,0.1066,0.7543,0.7506,DRIFT-COMPENSATED
6,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.7351,0.7482,0.005,0.1,0.7171,0.7105,DRIFT-COMPENSATED
8,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.6792,0.6921,0.005,0.0968,0.6837,0.6546,DRIFT-COMPENSATED
12,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.6135,0.6164,0.005,0.0907,0.5902,0.6075,DRIFT-PARTIAL
16,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.5527,0.5668,0.005,0.0752,0.5462,0.5301,DRIFT-PARTIAL
20,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.5041,0.5316,0.005,0.0812,0.4938,0.4949,DRIFT-PARTIAL
24,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.4679,0.4767,0.005,0.0623,0.462,0.455,DRIFT-DEGRADING
28,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.4258,0.4493,0.005,0.0559,0.4248,0.4167,DRIFT-DEGRADING
32,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.3964,0.4221,0.005,0.0583,0.3948,0.4002,DRIFT-DEGRADING
40,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.3592,0.3726,0.005,0.0573,0.3549,0.3518,DRIFT-DEGRADING
48,Projection-Antisymmetry,AdaptiveCrossScaleComp,0.3244,0.3298,0.005,0.0426,0.3223,0.3111,DRIFT-FAILED
1,Projection-Antisymmetry,FragmentationSuppression,0.8144,0.8048,0.005,0.0942,0.8046,0.7881,DRIFT-CORRECTED
2,Projection-Antisymmetry,FragmentationSuppression,0.8061,0.7761,0.005,0.0827,0.7554,0.7663,DRIFT-CORRECTED
4,Projection-Antisymmetry,FragmentationSuppression,0.7216,0.7241,0.005,0.0688,0.727,0.7041,DRIFT-COMPENSATED
6,Projection-Antisymmetry,FragmentationSuppression,0.6788,0.685,0.005,0.0632,0.6844,0.6911,DRIFT-COMPENSATED
8,Projection-Antisymmetry,FragmentationSuppression,0.6589,0.6659,0.005,0.0607,0.6364,0.6531,DRIFT-COMPENSATED
12,Projection-Antisymmetry,FragmentationSuppression,0.5898,0.5823,0.005,0.064,0.5744,0.5758,DRIFT-PARTIAL
16,Projection-Antisymmetry,FragmentationSuppression,0.5389,0.5465,0.005,0.062,0.5144,0.5168,DRIFT-PARTIAL
20,Projection-Antisymmetry,FragmentationSuppression,0.4973,0.4888,0.005,0.0539,0.4841,0.4741,DRIFT-DEGRADING
24,Projection-Antisymmetry,FragmentationSuppression,0.4439,0.4489,0.005,0.0424,0.448,0.4437,DRIFT-DEGRADING
28,Projection-Antisymmetry,FragmentationSuppression,0.4214,0.4097,0.005,0.0402,0.4139,0.4011,DRIFT-DEGRADING
32,Projection-Antisymmetry,FragmentationSuppression,0.3991,0.3862,0.005,0.035,0.3732,0.3785,DRIFT-DEGRADING
40,Projection-Antisymmetry,FragmentationSuppression,0.3398,0.341,0.005,0.0321,0.3331,0.3288,DRIFT-FAILED
48,Projection-Antisymmetry,FragmentationSuppression,0.3026,0.3109,0.005,0.029,0.3082,0.2958,DRIFT-FAILED
1,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.8072,0.8404,0.005,0.1182,0.8094,0.8485,DRIFT-CORRECTED
2,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.7948,0.794,0.005,0.1138,0.773,0.7942,DRIFT-COMPENSATED
4,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.7349,0.752,0.005,0.1029,0.7225,0.7716,DRIFT-COMPENSATED
6,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.6897,0.713,0.005,0.0859,0.688,0.7079,DRIFT-COMPENSATED
8,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.6688,0.6821,0.005,0.0806,0.6476,0.669,DRIFT-COMPENSATED
12,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.6067,0.5941,0.005,0.0896,0.5888,0.6167,DRIFT-PARTIAL
16,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.5323,0.5411,0.005,0.069,0.5167,0.5476,DRIFT-PARTIAL
20,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.489,0.4922,0.005,0.0715,0.4875,0.4984,DRIFT-DEGRADING
24,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.4668,0.4705,0.005,0.0657,0.4543,0.4671,DRIFT-DEGRADING
28,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.435,0.42,0.005,0.0553,0.4096,0.4268,DRIFT-DEGRADING
32,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.3963,0.3949,0.005,0.0527,0.3773,0.4018,DRIFT-DEGRADING
40,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.3492,0.3458,0.005,0.0419,0.3367,0.35,DRIFT-FAILED
48,Projection-Antisymmetry,DelayedCoherenceReinforcement,0.3161,0.3195,0.005,0.0446,0.2996,0.3213,DRIFT-FAILED
1,Projection-Antisymmetry,NullCorrectionControl,0.6201,0.6617,0.1057,-0.0468,0.653,0.6159,DRIFT-PARTIAL
2,Projection-Antisymmetry,NullCorrectionControl,0.6173,0.661,0.1094,-0.0459,0.6423,0.6253,DRIFT-PARTIAL
4,Projection-Antisymmetry,NullCorrectionControl,0.562,0.5941,0.0998,-0.0385,0.5703,0.5611,DRIFT-PARTIAL
6,Projection-Antisymmetry,NullCorrectionControl,0.5393,0.5582,0.1166,-0.0339,0.5483,0.534,DRIFT-PARTIAL
8,Projection-Antisymmetry,NullCorrectionControl,0.5189,0.5437,0.1016,-0.0346,0.5266,0.5054,DRIFT-PARTIAL
12,Projection-Antisymmetry,NullCorrectionControl,0.4573,0.4844,0.108,-0.0177,0.4746,0.4588,DRIFT-DEGRADING
16,Projection-Antisymmetry,NullCorrectionControl,0.4118,0.4347,0.1193,-0.0193,0.4311,0.4161,DRIFT-DEGRADING
20,Projection-Antisymmetry,NullCorrectionControl,0.3781,0.3953,0.1204,-0.0169,0.3964,0.3792,DRIFT-DEGRADING
24,Projection-Antisymmetry,NullCorrectionControl,0.3564,0.3744,0.1415,-0.0193,0.3525,0.3461,DRIFT-DEGRADING
28,Projection-Antisymmetry,NullCorrectionControl,0.3188,0.339,0.1478,-0.0225,0.3421,0.3217,DRIFT-FAILED
32,Projection-Antisymmetry,NullCorrectionControl,0.2951,0.3267,0.1536,-0.0114,0.3081,0.3112,DRIFT-FAILED
40,Projection-Antisymmetry,NullCorrectionControl,0.2606,0.2783,0.1359,-0.0219,0.2739,0.2741,DRIFT-FAILED
48,Projection-Antisymmetry,NullCorrectionControl,0.2377,0.2493,0.1631,-0.0099,0.2427,0.2447,DRIFT-FAILED
1,Projection-Neutral,BaselineDrift,0.7863,0.7655,0.0565,0.0416,0.7384,0.7398,DRIFT-COMPENSATED
2,Projection-Neutral,BaselineDrift,0.7485,0.7414,0.0512,0.0519,0.7054,0.7461,DRIFT-COMPENSATED
4,Projection-Neutral,BaselineDrift,0.6981,0.6783,0.0616,0.0407,0.6863,0.6989,DRIFT-COMPENSATED
6,Projection-Neutral,BaselineDrift,0.6683,0.636,0.0562,0.0434,0.6273,0.6302,DRIFT-COMPENSATED
8,Projection-Neutral,BaselineDrift,0.6188,0.6057,0.0496,0.0265,0.5911,0.5911,DRIFT-PARTIAL
12,Projection-Neutral,BaselineDrift,0.5702,0.5622,0.0481,0.0344,0.5528,0.5583,DRIFT-PARTIAL
16,Projection-Neutral,BaselineDrift,0.5114,0.5149,0.0649,0.0293,0.4939,0.4845,DRIFT-PARTIAL
20,Projection-Neutral,BaselineDrift,0.4593,0.4627,0.0614,0.0342,0.4478,0.4561,DRIFT-DEGRADING
24,Projection-Neutral,BaselineDrift,0.4383,0.4215,0.0655,0.0257,0.4183,0.4242,DRIFT-DEGRADING
28,Projection-Neutral,BaselineDrift,0.4035,0.3882,0.0711,0.0271,0.3798,0.3939,DRIFT-DEGRADING
32,Projection-Neutral,BaselineDrift,0.3796,0.3746,0.0627,0.0149,0.3541,0.37,DRIFT-DEGRADING
40,Projection-Neutral,BaselineDrift,0.3384,0.3235,0.0785,0.0235,0.318,0.3254,DRIFT-FAILED
48,Projection-Neutral,BaselineDrift,0.2917,0.2863,0.0726,0.0155,0.2794,0.2918,DRIFT-FAILED
1,Projection-Neutral,DynamicScaleAlignment,0.8506,0.8457,0.005,0.0936,0.8165,0.7867,DRIFT-CORRECTED
2,Projection-Neutral,DynamicScaleAlignment,0.8143,0.8011,0.005,0.0905,0.774,0.7787,DRIFT-CORRECTED
4,Projection-Neutral,DynamicScaleAlignment,0.7559,0.7487,0.005,0.0993,0.7429,0.7301,DRIFT-COMPENSATED
6,Projection-Neutral,DynamicScaleAlignment,0.7242,0.7357,0.005,0.0881,0.681,0.7026,DRIFT-COMPENSATED
8,Projection-Neutral,DynamicScaleAlignment,0.6668,0.6694,0.005,0.0843,0.6616,0.6538,DRIFT-COMPENSATED
12,Projection-Neutral,DynamicScaleAlignment,0.5872,0.6235,0.005,0.0847,0.575,0.5784,DRIFT-PARTIAL
16,Projection-Neutral,DynamicScaleAlignment,0.5464,0.5538,0.005,0.0654,0.5373,0.5228,DRIFT-PARTIAL
20,Projection-Neutral,DynamicScaleAlignment,0.4952,0.518,0.005,0.0573,0.4912,0.486,DRIFT-DEGRADING
24,Projection-Neutral,DynamicScaleAlignment,0.4671,0.4784,0.005,0.0542,0.45,0.4463,DRIFT-DEGRADING
28,Projection-Neutral,DynamicScaleAlignment,0.4257,0.4447,0.005,0.057,0.4249,0.4123,DRIFT-DEGRADING
32,Projection-Neutral,DynamicScaleAlignment,0.3923,0.4093,0.005,0.0437,0.3993,0.3899,DRIFT-DEGRADING
40,Projection-Neutral,DynamicScaleAlignment,0.3553,0.3525,0.005,0.0398,0.3432,0.3465,DRIFT-DEGRADING
48,Projection-Neutral,DynamicScaleAlignment,0.3181,0.3198,0.005,0.0349,0.3109,0.3004,DRIFT-FAILED
1,Projection-Neutral,RecursiveSyncRefresh,0.8259,0.814,0.0084,0.1048,0.7965,0.8213,DRIFT-CORRECTED
2,Projection-Neutral,RecursiveSyncRefresh,0.8049,0.7879,0.005,0.0875,0.767,0.7863,DRIFT-CORRECTED
4,Projection-Neutral,RecursiveSyncRefresh,0.7561,0.7376,0.0096,0.0977,0.7402,0.7401,DRIFT-COMPENSATED
6,Projection-Neutral,RecursiveSyncRefresh,0.6828,0.7069,0.0056,0.0805,0.6993,0.7076,DRIFT-COMPENSATED
8,Projection-Neutral,RecursiveSyncRefresh,0.6616,0.6537,0.005,0.075,0.6535,0.6437,DRIFT-COMPENSATED
12,Projection-Neutral,RecursiveSyncRefresh,0.5933,0.5871,0.005,0.0661,0.5893,0.6,DRIFT-PARTIAL
16,Projection-Neutral,RecursiveSyncRefresh,0.5447,0.5494,0.005,0.0669,0.52,0.5443,DRIFT-PARTIAL
20,Projection-Neutral,RecursiveSyncRefresh,0.4829,0.4899,0.0055,0.0632,0.4933,0.4903,DRIFT-DEGRADING
24,Projection-Neutral,RecursiveSyncRefresh,0.4451,0.453,0.0082,0.0453,0.4512,0.461,DRIFT-DEGRADING
28,Projection-Neutral,RecursiveSyncRefresh,0.4245,0.426,0.005,0.0432,0.4112,0.4279,DRIFT-DEGRADING
32,Projection-Neutral,RecursiveSyncRefresh,0.3967,0.3875,0.005,0.0453,0.3932,0.385,DRIFT-DEGRADING
40,Projection-Neutral,RecursiveSyncRefresh,0.3506,0.3574,0.005,0.0416,0.3457,0.3409,DRIFT-DEGRADING
48,Projection-Neutral,RecursiveSyncRefresh,0.3069,0.3162,0.005,0.0378,0.3052,0.3045,DRIFT-FAILED
1,Projection-Neutral,AdaptiveCrossScaleComp,0.8409,0.874,0.005,0.1235,0.8212,0.8277,DRIFT-CORRECTED
2,Projection-Neutral,AdaptiveCrossScaleComp,0.8248,0.8531,0.005,0.1119,0.8108,0.8021,DRIFT-CORRECTED
4,Projection-Neutral,AdaptiveCrossScaleComp,0.7513,0.7855,0.005,0.1183,0.7449,0.7301,DRIFT-COMPENSATED
6,Projection-Neutral,AdaptiveCrossScaleComp,0.7117,0.7419,0.005,0.1154,0.7235,0.6933,DRIFT-COMPENSATED
8,Projection-Neutral,AdaptiveCrossScaleComp,0.6884,0.6971,0.005,0.1108,0.6814,0.65,DRIFT-COMPENSATED
12,Projection-Neutral,AdaptiveCrossScaleComp,0.5991,0.6265,0.005,0.086,0.595,0.6001,DRIFT-PARTIAL
16,Projection-Neutral,AdaptiveCrossScaleComp,0.5601,0.5582,0.005,0.0796,0.5464,0.5484,DRIFT-PARTIAL
20,Projection-Neutral,AdaptiveCrossScaleComp,0.5199,0.526,0.005,0.0727,0.4941,0.4924,DRIFT-PARTIAL
24,Projection-Neutral,AdaptiveCrossScaleComp,0.4756,0.4837,0.005,0.0734,0.4705,0.4579,DRIFT-DEGRADING
28,Projection-Neutral,AdaptiveCrossScaleComp,0.4443,0.4371,0.005,0.0569,0.4381,0.4324,DRIFT-DEGRADING
32,Projection-Neutral,AdaptiveCrossScaleComp,0.3992,0.4059,0.005,0.0532,0.3997,0.3876,DRIFT-DEGRADING
40,Projection-Neutral,AdaptiveCrossScaleComp,0.3553,0.3651,0.005,0.0509,0.3612,0.3517,DRIFT-DEGRADING
48,Projection-Neutral,AdaptiveCrossScaleComp,0.3259,0.32,0.005,0.0464,0.3173,0.3068,DRIFT-FAILED
1,Projection-Neutral,FragmentationSuppression,0.7984,0.8005,0.005,0.0739,0.8027,0.7965,DRIFT-COMPENSATED
2,Projection-Neutral,FragmentationSuppression,0.7698,0.7732,0.005,0.0751,0.7852,0.7612,DRIFT-COMPENSATED
4,Projection-Neutral,FragmentationSuppression,0.7516,0.7467,0.005,0.0733,0.7094,0.7161,DRIFT-COMPENSATED
6,Projection-Neutral,FragmentationSuppression,0.6901,0.7046,0.005,0.0752,0.6661,0.6732,DRIFT-COMPENSATED
8,Projection-Neutral,FragmentationSuppression,0.6501,0.6667,0.005,0.0667,0.6514,0.6336,DRIFT-COMPENSATED
12,Projection-Neutral,FragmentationSuppression,0.576,0.5899,0.005,0.0682,0.5623,0.5709,DRIFT-PARTIAL
16,Projection-Neutral,FragmentationSuppression,0.5411,0.5218,0.005,0.0641,0.5122,0.5112,DRIFT-PARTIAL
20,Projection-Neutral,FragmentationSuppression,0.4861,0.4863,0.005,0.0533,0.4767,0.4828,DRIFT-DEGRADING
24,Projection-Neutral,FragmentationSuppression,0.4553,0.4577,0.005,0.0387,0.4302,0.4379,DRIFT-DEGRADING
28,Projection-Neutral,FragmentationSuppression,0.4206,0.4232,0.005,0.0428,0.3999,0.4027,DRIFT-DEGRADING
32,Projection-Neutral,FragmentationSuppression,0.3886,0.399,0.005,0.0453,0.3822,0.3811,DRIFT-DEGRADING
40,Projection-Neutral,FragmentationSuppression,0.3372,0.3508,0.005,0.0311,0.3397,0.3394,DRIFT-FAILED
48,Projection-Neutral,FragmentationSuppression,0.3045,0.3017,0.005,0.0365,0.3046,0.2999,DRIFT-FAILED
1,Projection-Neutral,DelayedCoherenceReinforcement,0.8418,0.835,0.005,0.1099,0.8161,0.8355,DRIFT-CORRECTED
2,Projection-Neutral,DelayedCoherenceReinforcement,0.7882,0.8099,0.005,0.1125,0.7726,0.7898,DRIFT-COMPENSATED
4,Projection-Neutral,DelayedCoherenceReinforcement,0.7503,0.7671,0.005,0.0997,0.7302,0.7513,DRIFT-COMPENSATED
6,Projection-Neutral,DelayedCoherenceReinforcement,0.6887,0.7166,0.005,0.1007,0.6864,0.7145,DRIFT-COMPENSATED
8,Projection-Neutral,DelayedCoherenceReinforcement,0.6607,0.6654,0.005,0.1019,0.6513,0.6692,DRIFT-COMPENSATED
12,Projection-Neutral,DelayedCoherenceReinforcement,0.6023,0.6141,0.005,0.074,0.569,0.6172,DRIFT-PARTIAL
16,Projection-Neutral,DelayedCoherenceReinforcement,0.5336,0.5392,0.005,0.0653,0.5185,0.5532,DRIFT-PARTIAL
20,Projection-Neutral,DelayedCoherenceReinforcement,0.4886,0.5074,0.005,0.0634,0.4913,0.5041,DRIFT-DEGRADING
24,Projection-Neutral,DelayedCoherenceReinforcement,0.4555,0.4616,0.005,0.0592,0.4462,0.4606,DRIFT-DEGRADING
