depth,sector,condition,rg_similarity,self_reference_fidelity,reflexive_coherence,self_simulation_alignment,reflexive_stabilization_gain,recursive_self_persistence,self_model_adaptation_strength,classification
4,Antisymmetry,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Antisymmetry,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Antisymmetry,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Antisymmetry,SelfModelExtraction,0.96,0.94,0.93,0.92,0.9082,0.9,0.9189,SELF-REF-STABLE
16,Antisymmetry,SelfModelExtraction,0.96,0.94,0.93,0.9192,0.91,0.9,0.92,SELF-REF-STABLE
20,Antisymmetry,SelfModelExtraction,0.945,0.94,0.93,0.8906,0.9079,0.8931,0.9079,SELF-REF-STABLE
24,Antisymmetry,SelfModelExtraction,0.9366,0.9307,0.9009,0.9085,0.8718,0.8778,0.9018,SELF-REF-STABLE
32,Antisymmetry,SelfModelExtraction,0.9192,0.9006,0.8834,0.8602,0.8446,0.8509,0.8769,SELF-REF-BOUNDED
40,Antisymmetry,SelfModelExtraction,0.9041,0.868,0.8736,0.8598,0.8442,0.8227,0.8584,SELF-REF-BOUNDED
48,Antisymmetry,SelfModelExtraction,0.8856,0.8466,0.8465,0.8295,0.8162,0.8137,0.8216,SELF-REF-BOUNDED
64,Antisymmetry,SelfModelExtraction,0.8325,0.7923,0.8042,0.7918,0.7821,0.7725,0.7899,SELF-REF-PARTIAL
80,Antisymmetry,SelfModelExtraction,0.7828,0.7635,0.7504,0.7271,0.7346,0.732,0.7429,SELF-REF-PARTIAL
96,Antisymmetry,SelfModelExtraction,0.7608,0.7153,0.7257,0.7131,0.7048,0.6854,0.716,SELF-REF-PARTIAL
128,Antisymmetry,SelfModelExtraction,0.6872,0.6655,0.6506,0.6515,0.6318,0.6329,0.6512,SELF-REF-DEGRADING
160,Antisymmetry,SelfModelExtraction,0.6208,0.6057,0.6196,0.5926,0.5947,0.6019,0.6081,SELF-REF-DEGRADING
192,Antisymmetry,SelfModelExtraction,0.595,0.5666,0.5587,0.5586,0.5582,0.5477,0.5637,SELF-REF-DEGRADING
256,Antisymmetry,SelfModelExtraction,0.5136,0.4899,0.4851,0.4753,0.4774,0.4725,0.4746,SELF-REF-FAILED
320,Antisymmetry,SelfModelExtraction,0.4614,0.4375,0.4342,0.4237,0.4231,0.4266,0.4224,SELF-REF-FAILED
512,Antisymmetry,SelfModelExtraction,0.3443,0.3322,0.3312,0.3229,0.312,0.3171,0.3171,SELF-REF-FAILED
768,Antisymmetry,SelfModelExtraction,0.2532,0.2443,0.2466,0.2438,0.2351,0.2404,0.2357,SELF-REF-FAILED
1024,Antisymmetry,SelfModelExtraction,0.1997,0.1959,0.1985,0.1882,0.1928,0.1905,0.1895,SELF-REF-FAILED
1536,Antisymmetry,SelfModelExtraction,0.1455,0.1407,0.1401,0.1366,0.136,0.1343,0.139,SELF-REF-FAILED
2048,Antisymmetry,SelfModelExtraction,0.1105,0.1095,0.1075,0.1071,0.107,0.1065,0.1053,SELF-REF-FAILED
3072,Antisymmetry,SelfModelExtraction,0.0787,0.0755,0.0744,0.0723,0.073,0.0719,0.0731,SELF-REF-FAILED
4096,Antisymmetry,SelfModelExtraction,0.0586,0.0569,0.0583,0.0553,0.0545,0.0556,0.0563,SELF-REF-FAILED
6144,Antisymmetry,SelfModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Antisymmetry,SelfModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Antisymmetry,SelfModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Antisymmetry,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Antisymmetry,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Antisymmetry,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Antisymmetry,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Antisymmetry,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Antisymmetry,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
16,Antisymmetry,ReflexiveRepresentationFidelity,0.96,0.94,0.9293,0.92,0.91,0.9,0.92,SELF-REF-STABLE
20,Antisymmetry,ReflexiveRepresentationFidelity,0.96,0.9307,0.9094,0.9146,0.91,0.9,0.9146,SELF-REF-STABLE
24,Antisymmetry,ReflexiveRepresentationFidelity,0.96,0.9153,0.93,0.8886,0.9082,0.8961,0.8906,SELF-REF-STABLE
32,Antisymmetry,ReflexiveRepresentationFidelity,0.9333,0.8877,0.893,0.8901,0.8755,0.8517,0.8821,SELF-REF-BOUNDED
40,Antisymmetry,ReflexiveRepresentationFidelity,0.9043,0.8869,0.8621,0.8493,0.8432,0.8349,0.8507,SELF-REF-BOUNDED
48,Antisymmetry,ReflexiveRepresentationFidelity,0.8736,0.854,0.8281,0.8185,0.8162,0.8277,0.8163,SELF-REF-BOUNDED
64,Antisymmetry,ReflexiveRepresentationFidelity,0.8434,0.8033,0.8078,0.7894,0.7678,0.7779,0.7976,SELF-REF-BOUNDED
80,Antisymmetry,ReflexiveRepresentationFidelity,0.8033,0.7587,0.7614,0.754,0.7358,0.7438,0.7599,SELF-REF-PARTIAL
96,Antisymmetry,ReflexiveRepresentationFidelity,0.7447,0.7447,0.7155,0.7001,0.703,0.6926,0.7001,SELF-REF-PARTIAL
128,Antisymmetry,ReflexiveRepresentationFidelity,0.6847,0.6718,0.6494,0.6486,0.6523,0.6286,0.6668,SELF-REF-DEGRADING
160,Antisymmetry,ReflexiveRepresentationFidelity,0.6278,0.6276,0.6017,0.595,0.5981,0.5865,0.5921,SELF-REF-DEGRADING
192,Antisymmetry,ReflexiveRepresentationFidelity,0.5973,0.5682,0.5626,0.5486,0.5498,0.5562,0.567,SELF-REF-DEGRADING
256,Antisymmetry,ReflexiveRepresentationFidelity,0.5125,0.4983,0.4951,0.4782,0.4757,0.4733,0.4898,SELF-REF-FAILED
320,Antisymmetry,ReflexiveRepresentationFidelity,0.4521,0.4548,0.4296,0.4375,0.4262,0.4248,0.4244,SELF-REF-FAILED
512,Antisymmetry,ReflexiveRepresentationFidelity,0.337,0.3341,0.3213,0.3265,0.3212,0.3147,0.3264,SELF-REF-FAILED
768,Antisymmetry,ReflexiveRepresentationFidelity,0.2524,0.2503,0.2494,0.2406,0.2446,0.2406,0.2447,SELF-REF-FAILED
1024,Antisymmetry,ReflexiveRepresentationFidelity,0.2037,0.1958,0.1949,0.1933,0.1925,0.1902,0.1898,SELF-REF-FAILED
1536,Antisymmetry,ReflexiveRepresentationFidelity,0.1427,0.1401,0.1393,0.1384,0.1364,0.1374,0.1354,SELF-REF-FAILED
2048,Antisymmetry,ReflexiveRepresentationFidelity,0.1126,0.111,0.1097,0.1068,0.1054,0.1045,0.1075,SELF-REF-FAILED
3072,Antisymmetry,ReflexiveRepresentationFidelity,0.0785,0.0771,0.074,0.0727,0.0724,0.0729,0.0733,SELF-REF-FAILED
4096,Antisymmetry,ReflexiveRepresentationFidelity,0.0588,0.0596,0.0573,0.0565,0.0563,0.0549,0.0556,SELF-REF-FAILED
6144,Antisymmetry,ReflexiveRepresentationFidelity,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Antisymmetry,ReflexiveRepresentationFidelity,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Antisymmetry,ReflexiveRepresentationFidelity,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Antisymmetry,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Antisymmetry,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Antisymmetry,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Antisymmetry,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Antisymmetry,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Antisymmetry,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
16,Antisymmetry,RecursiveSelfSimulationAnalysis,0.9599,0.94,0.9109,0.92,0.8924,0.8914,0.92,SELF-REF-STABLE
20,Antisymmetry,RecursiveSelfSimulationAnalysis,0.9455,0.923,0.9076,0.9083,0.8875,0.8731,0.92,SELF-REF-STABLE
24,Antisymmetry,RecursiveSelfSimulationAnalysis,0.9266,0.9357,0.8868,0.916,0.8814,0.8743,0.9086,SELF-REF-BOUNDED
32,Antisymmetry,RecursiveSelfSimulationAnalysis,0.9136,0.9007,0.8593,0.8725,0.8654,0.8337,0.8716,SELF-REF-BOUNDED
40,Antisymmetry,RecursiveSelfSimulationAnalysis,0.8999,0.8662,0.8431,0.8653,0.8292,0.8288,0.8594,SELF-REF-BOUNDED
48,Antisymmetry,RecursiveSelfSimulationAnalysis,0.8788,0.8498,0.8425,0.8362,0.8046,0.7911,0.8257,SELF-REF-BOUNDED
64,Antisymmetry,RecursiveSelfSimulationAnalysis,0.8245,0.81,0.8002,0.781,0.774,0.7779,0.7855,SELF-REF-BOUNDED
80,Antisymmetry,RecursiveSelfSimulationAnalysis,0.7955,0.7702,0.7579,0.7687,0.7405,0.7129,0.7527,SELF-REF-PARTIAL
96,Antisymmetry,RecursiveSelfSimulationAnalysis,0.749,0.732,0.7161,0.7176,0.702,0.6844,0.7193,SELF-REF-PARTIAL
128,Antisymmetry,RecursiveSelfSimulationAnalysis,0.6932,0.667,0.6665,0.6556,0.6293,0.6294,0.6439,SELF-REF-DEGRADING
160,Antisymmetry,RecursiveSelfSimulationAnalysis,0.6392,0.6194,0.5912,0.62,0.5844,0.575,0.6052,SELF-REF-DEGRADING
192,Antisymmetry,RecursiveSelfSimulationAnalysis,0.5832,0.573,0.551,0.5578,0.5416,0.533,0.5639,SELF-REF-DEGRADING
256,Antisymmetry,RecursiveSelfSimulationAnalysis,0.5121,0.5033,0.4908,0.4845,0.4823,0.4663,0.4769,SELF-REF-FAILED
320,Antisymmetry,RecursiveSelfSimulationAnalysis,0.4586,0.4456,0.4291,0.436,0.4243,0.4283,0.4217,SELF-REF-FAILED
512,Antisymmetry,RecursiveSelfSimulationAnalysis,0.3323,0.3304,0.322,0.3242,0.3176,0.3204,0.3204,SELF-REF-FAILED
768,Antisymmetry,RecursiveSelfSimulationAnalysis,0.251,0.2507,0.2422,0.2463,0.2395,0.238,0.2399,SELF-REF-FAILED
1024,Antisymmetry,RecursiveSelfSimulationAnalysis,0.1995,0.1979,0.1972,0.1922,0.1906,0.1888,0.1895,SELF-REF-FAILED
1536,Antisymmetry,RecursiveSelfSimulationAnalysis,0.1454,0.1397,0.1402,0.1377,0.1356,0.1349,0.1364,SELF-REF-FAILED
2048,Antisymmetry,RecursiveSelfSimulationAnalysis,0.1108,0.1102,0.1053,0.1104,0.1035,0.1039,0.1066,SELF-REF-FAILED
3072,Antisymmetry,RecursiveSelfSimulationAnalysis,0.0786,0.0758,0.0739,0.0759,0.0714,0.0706,0.072,SELF-REF-FAILED
4096,Antisymmetry,RecursiveSelfSimulationAnalysis,0.0596,0.0573,0.0571,0.0582,0.0559,0.0542,0.0558,SELF-REF-FAILED
6144,Antisymmetry,RecursiveSelfSimulationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Antisymmetry,RecursiveSelfSimulationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Antisymmetry,RecursiveSelfSimulationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Antisymmetry,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Antisymmetry,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Antisymmetry,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Antisymmetry,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Antisymmetry,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Antisymmetry,SelfModelStabilizationGain,0.96,0.94,0.9262,0.92,0.91,0.9,0.92,SELF-REF-STABLE
16,Antisymmetry,SelfModelStabilizationGain,0.96,0.9298,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
20,Antisymmetry,SelfModelStabilizationGain,0.9467,0.9358,0.9042,0.92,0.91,0.892,0.92,SELF-REF-STABLE
24,Antisymmetry,SelfModelStabilizationGain,0.9224,0.8949,0.8906,0.891,0.9026,0.8735,0.9062,SELF-REF-BOUNDED
32,Antisymmetry,SelfModelStabilizationGain,0.9094,0.892,0.882,0.8702,0.8794,0.8657,0.9016,SELF-REF-BOUNDED
40,Antisymmetry,SelfModelStabilizationGain,0.8973,0.8714,0.8415,0.8275,0.8464,0.8302,0.8502,SELF-REF-BOUNDED
48,Antisymmetry,SelfModelStabilizationGain,0.8486,0.8493,0.8404,0.8067,0.8383,0.803,0.8256,SELF-REF-BOUNDED
64,Antisymmetry,SelfModelStabilizationGain,0.8323,0.8041,0.7746,0.7695,0.7989,0.7572,0.8055,SELF-REF-PARTIAL
80,Antisymmetry,SelfModelStabilizationGain,0.7872,0.7616,0.7417,0.7291,0.7641,0.7256,0.7561,SELF-REF-PARTIAL
96,Antisymmetry,SelfModelStabilizationGain,0.7414,0.7146,0.7158,0.7103,0.7003,0.7046,0.7158,SELF-REF-PARTIAL
128,Antisymmetry,SelfModelStabilizationGain,0.6849,0.6504,0.6515,0.6565,0.6436,0.6342,0.6502,SELF-REF-DEGRADING
160,Antisymmetry,SelfModelStabilizationGain,0.6366,0.6199,0.6129,0.5967,0.5961,0.5766,0.5968,SELF-REF-DEGRADING
192,Antisymmetry,SelfModelStabilizationGain,0.5859,0.5755,0.5634,0.5508,0.5678,0.5441,0.5738,SELF-REF-DEGRADING
256,Antisymmetry,SelfModelStabilizationGain,0.506,0.4906,0.481,0.479,0.4906,0.4809,0.4844,SELF-REF-FAILED
320,Antisymmetry,SelfModelStabilizationGain,0.4479,0.4388,0.4264,0.4236,0.4327,0.4207,0.4443,SELF-REF-FAILED
512,Antisymmetry,SelfModelStabilizationGain,0.3382,0.3246,0.3198,0.3163,0.3243,0.3204,0.3242,SELF-REF-FAILED
768,Antisymmetry,SelfModelStabilizationGain,0.2493,0.2411,0.2376,0.2365,0.2461,0.2391,0.2462,SELF-REF-FAILED
1024,Antisymmetry,SelfModelStabilizationGain,0.1985,0.1978,0.1953,0.1896,0.193,0.1846,0.1981,SELF-REF-FAILED
1536,Antisymmetry,SelfModelStabilizationGain,0.1432,0.1392,0.1396,0.1376,0.1408,0.1354,0.14,SELF-REF-FAILED
2048,Antisymmetry,SelfModelStabilizationGain,0.1099,0.1092,0.1089,0.1059,0.1065,0.1045,0.1071,SELF-REF-FAILED
3072,Antisymmetry,SelfModelStabilizationGain,0.0773,0.0755,0.0739,0.0732,0.0741,0.0705,0.0742,SELF-REF-FAILED
4096,Antisymmetry,SelfModelStabilizationGain,0.058,0.0578,0.057,0.055,0.0572,0.0543,0.0581,SELF-REF-FAILED
6144,Antisymmetry,SelfModelStabilizationGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Antisymmetry,SelfModelStabilizationGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Antisymmetry,SelfModelStabilizationGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Antisymmetry,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Antisymmetry,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Antisymmetry,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Antisymmetry,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Antisymmetry,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Antisymmetry,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.9194,SELF-REF-STABLE
16,Antisymmetry,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.902,0.9,0.9142,SELF-REF-STABLE
20,Antisymmetry,RecursiveReflexivePersistence,0.9486,0.9368,0.9069,0.9084,0.8906,0.9,0.9093,SELF-REF-STABLE
24,Antisymmetry,RecursiveReflexivePersistence,0.9143,0.9224,0.9194,0.89,0.8767,0.8797,0.8875,SELF-REF-STABLE
32,Antisymmetry,RecursiveReflexivePersistence,0.9131,0.8738,0.8663,0.867,0.8414,0.8852,0.8825,SELF-REF-BOUNDED
40,Antisymmetry,RecursiveReflexivePersistence,0.8688,0.8632,0.8568,0.8384,0.8334,0.8533,0.8541,SELF-REF-BOUNDED
48,Antisymmetry,RecursiveReflexivePersistence,0.8724,0.854,0.8313,0.8069,0.8204,0.8363,0.8334,SELF-REF-BOUNDED
64,Antisymmetry,RecursiveReflexivePersistence,0.8281,0.7811,0.799,0.7922,0.758,0.787,0.7761,SELF-REF-PARTIAL
80,Antisymmetry,RecursiveReflexivePersistence,0.7736,0.7482,0.7608,0.7388,0.7475,0.7393,0.7291,SELF-REF-PARTIAL
96,Antisymmetry,RecursiveReflexivePersistence,0.7347,0.7272,0.719,0.6928,0.7045,0.7068,0.7145,SELF-REF-PARTIAL
128,Antisymmetry,RecursiveReflexivePersistence,0.6738,0.6698,0.6651,0.6602,0.6532,0.6342,0.6579,SELF-REF-DEGRADING
160,Antisymmetry,RecursiveReflexivePersistence,0.6324,0.6073,0.6111,0.5891,0.6024,0.5908,0.5902,SELF-REF-DEGRADING
192,Antisymmetry,RecursiveReflexivePersistence,0.5726,0.5736,0.5607,0.5638,0.5477,0.5505,0.5496,SELF-REF-DEGRADING
256,Antisymmetry,RecursiveReflexivePersistence,0.5117,0.4924,0.4931,0.4732,0.472,0.4905,0.488,SELF-REF-FAILED
320,Antisymmetry,RecursiveReflexivePersistence,0.4435,0.4355,0.4298,0.4211,0.424,0.421,0.4243,SELF-REF-FAILED
512,Antisymmetry,RecursiveReflexivePersistence,0.33,0.3248,0.3273,0.3238,0.3139,0.3184,0.3143,SELF-REF-FAILED
768,Antisymmetry,RecursiveReflexivePersistence,0.2541,0.2496,0.2452,0.243,0.2359,0.2401,0.2349,SELF-REF-FAILED
1024,Antisymmetry,RecursiveReflexivePersistence,0.196,0.1973,0.1965,0.1879,0.1926,0.1906,0.1921,SELF-REF-FAILED
1536,Antisymmetry,RecursiveReflexivePersistence,0.1407,0.1372,0.1401,0.1362,0.1361,0.1376,0.1347,SELF-REF-FAILED
2048,Antisymmetry,RecursiveReflexivePersistence,0.1122,0.11,0.1091,0.107,0.1065,0.1079,0.1063,SELF-REF-FAILED
3072,Antisymmetry,RecursiveReflexivePersistence,0.077,0.0746,0.0745,0.0744,0.0718,0.0749,0.0737,SELF-REF-FAILED
4096,Antisymmetry,RecursiveReflexivePersistence,0.0581,0.0582,0.057,0.0559,0.0552,0.0559,0.056,SELF-REF-FAILED
6144,Antisymmetry,RecursiveReflexivePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Antisymmetry,RecursiveReflexivePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Antisymmetry,RecursiveReflexivePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Antisymmetry,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Antisymmetry,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Antisymmetry,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Antisymmetry,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Antisymmetry,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Antisymmetry,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
16,Antisymmetry,SelfReferentialPerturbationResponse,0.9498,0.94,0.93,0.9189,0.9032,0.9,0.92,SELF-REF-STABLE
20,Antisymmetry,SelfReferentialPerturbationResponse,0.9454,0.9342,0.93,0.8966,0.9017,0.9,0.9021,SELF-REF-STABLE
24,Antisymmetry,SelfReferentialPerturbationResponse,0.93,0.8993,0.9169,0.9102,0.8875,0.8891,0.9185,SELF-REF-BOUNDED
32,Antisymmetry,SelfReferentialPerturbationResponse,0.8947,0.8919,0.9009,0.8697,0.8648,0.8745,0.8717,SELF-REF-BOUNDED
40,Antisymmetry,SelfReferentialPerturbationResponse,0.8832,0.8642,0.8681,0.8577,0.8484,0.852,0.8391,SELF-REF-BOUNDED
48,Antisymmetry,SelfReferentialPerturbationResponse,0.8523,0.8505,0.8469,0.8371,0.8174,0.8174,0.837,SELF-REF-BOUNDED
64,Antisymmetry,SelfReferentialPerturbationResponse,0.7945,0.793,0.8076,0.788,0.7647,0.7643,0.7738,SELF-REF-PARTIAL
80,Antisymmetry,SelfReferentialPerturbationResponse,0.7617,0.7634,0.7436,0.7476,0.7436,0.7475,0.7577,SELF-REF-PARTIAL
96,Antisymmetry,SelfReferentialPerturbationResponse,0.7334,0.7236,0.7076,0.7157,0.7165,0.714,0.7022,SELF-REF-PARTIAL
128,Antisymmetry,SelfReferentialPerturbationResponse,0.6659,0.6726,0.6709,0.647,0.6589,0.6276,0.6442,SELF-REF-DEGRADING
160,Antisymmetry,SelfReferentialPerturbationResponse,0.6115,0.6039,0.6047,0.6003,0.5861,0.5795,0.6146,SELF-REF-DEGRADING
192,Antisymmetry,SelfReferentialPerturbationResponse,0.5684,0.5628,0.5725,0.5573,0.5604,0.558,0.5477,SELF-REF-DEGRADING
256,Antisymmetry,SelfReferentialPerturbationResponse,0.5098,0.4874,0.4965,0.4923,0.4735,0.4756,0.4815,SELF-REF-FAILED
320,Antisymmetry,SelfReferentialPerturbationResponse,0.4456,0.4369,0.4421,0.4344,0.4248,0.431,0.4392,SELF-REF-FAILED
512,Antisymmetry,SelfReferentialPerturbationResponse,0.3289,0.3318,0.3214,0.3153,0.3168,0.3208,0.3227,SELF-REF-FAILED
768,Antisymmetry,SelfReferentialPerturbationResponse,0.2531,0.2399,0.2434,0.2437,0.2393,0.2349,0.2377,SELF-REF-FAILED
1024,Antisymmetry,SelfReferentialPerturbationResponse,0.2021,0.1984,0.1992,0.1947,0.1929,0.1935,0.1924,SELF-REF-FAILED
1536,Antisymmetry,SelfReferentialPerturbationResponse,0.142,0.1369,0.1367,0.1356,0.1392,0.1331,0.1354,SELF-REF-FAILED
2048,Antisymmetry,SelfReferentialPerturbationResponse,0.1104,0.1072,0.1094,0.1045,0.1056,0.1072,0.1062,SELF-REF-FAILED
3072,Antisymmetry,SelfReferentialPerturbationResponse,0.076,0.0738,0.0745,0.0739,0.073,0.073,0.074,SELF-REF-FAILED
4096,Antisymmetry,SelfReferentialPerturbationResponse,0.0582,0.0579,0.0579,0.0569,0.056,0.0552,0.0577,SELF-REF-FAILED
6144,Antisymmetry,SelfReferentialPerturbationResponse,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Antisymmetry,SelfReferentialPerturbationResponse,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Antisymmetry,SelfReferentialPerturbationResponse,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Antisymmetry,NullSelfReferenceControl,0.8471,0.8199,0.7957,0.8351,0.7948,0.7808,0.8092,SELF-REF-PARTIAL
2,Antisymmetry,NullSelfReferenceControl,0.8231,0.8029,0.8245,0.8266,0.7871,0.7833,0.8099,SELF-REF-BOUNDED
4,Antisymmetry,NullSelfReferenceControl,0.7997,0.8147,0.8096,0.8258,0.7977,0.7729,0.7937,SELF-REF-BOUNDED
6,Antisymmetry,NullSelfReferenceControl,0.7978,0.7923,0.7841,0.7918,0.7968,0.7821,0.7921,SELF-REF-PARTIAL
8,Antisymmetry,NullSelfReferenceControl,0.7977,0.7931,0.8071,0.7843,0.7878,0.7502,0.787,SELF-REF-PARTIAL
12,Antisymmetry,NullSelfReferenceControl,0.8031,0.7937,0.798,0.7872,0.7774,0.7403,0.7793,SELF-REF-PARTIAL
16,Antisymmetry,NullSelfReferenceControl,0.7885,0.7875,0.7548,0.7794,0.736,0.7508,0.7718,SELF-REF-PARTIAL
20,Antisymmetry,NullSelfReferenceControl,0.7544,0.7772,0.7534,0.7626,0.7277,0.7294,0.7618,SELF-REF-PARTIAL
24,Antisymmetry,NullSelfReferenceControl,0.7578,0.7509,0.7288,0.761,0.7338,0.7151,0.7355,SELF-REF-PARTIAL
32,Antisymmetry,NullSelfReferenceControl,0.7454,0.7191,0.7378,0.7433,0.703,0.6919,0.7111,SELF-REF-PARTIAL
40,Antisymmetry,NullSelfReferenceControl,0.7038,0.7073,0.692,0.7187,0.6748,0.6628,0.6962,SELF-REF-DEGRADING
48,Antisymmetry,NullSelfReferenceControl,0.6976,0.7049,0.6775,0.7066,0.6715,0.6483,0.6818,SELF-REF-DEGRADING
64,Antisymmetry,NullSelfReferenceControl,0.6688,0.6465,0.6554,0.6717,0.6355,0.6336,0.6477,SELF-REF-DEGRADING
80,Antisymmetry,NullSelfReferenceControl,0.6161,0.621,0.6222,0.6343,0.5951,0.5967,0.6216,SELF-REF-DEGRADING
96,Antisymmetry,NullSelfReferenceControl,0.5896,0.5869,0.584,0.588,0.5881,0.5575,0.5708,SELF-REF-DEGRADING
128,Antisymmetry,NullSelfReferenceControl,0.5547,0.5583,0.554,0.5381,0.5402,0.5151,0.5344,SELF-REF-DEGRADING
160,Antisymmetry,NullSelfReferenceControl,0.4978,0.5121,0.4873,0.5102,0.4748,0.488,0.4984,SELF-REF-FAILED
192,Antisymmetry,NullSelfReferenceControl,0.4691,0.4635,0.456,0.4717,0.4483,0.4428,0.4528,SELF-REF-FAILED
256,Antisymmetry,NullSelfReferenceControl,0.4036,0.4126,0.4052,0.4041,0.3884,0.3982,0.4052,SELF-REF-FAILED
320,Antisymmetry,NullSelfReferenceControl,0.3664,0.3587,0.3614,0.3677,0.35,0.3418,0.3529,SELF-REF-FAILED
512,Antisymmetry,NullSelfReferenceControl,0.2699,0.2741,0.2679,0.2667,0.2593,0.2572,0.27,SELF-REF-FAILED
