depth,sector,condition,rg_similarity,predictive_stability,anticipatory_coherence,perturbation_forecast_accuracy,future_state_alignment,recursive_prediction_persistence,adaptive_anticipation_gain,classification
32,Antisymmetry,PredictiveStabilizationAnalysis,0.8171,0.7865,0.774,0.765,0.7546,0.7549,0.7648,PREDICTIVE-PARTIAL
40,Antisymmetry,PredictiveStabilizationAnalysis,0.7811,0.7498,0.7425,0.733,0.7375,0.7306,0.7434,PREDICTIVE-PARTIAL
48,Antisymmetry,PredictiveStabilizationAnalysis,0.7592,0.7126,0.7256,0.6917,0.7074,0.6892,0.7059,PREDICTIVE-PARTIAL
64,Antisymmetry,PredictiveStabilizationAnalysis,0.6875,0.6618,0.6447,0.6459,0.6321,0.6327,0.6395,PREDICTIVE-DEGRADING
80,Antisymmetry,PredictiveStabilizationAnalysis,0.629,0.6212,0.6127,0.5821,0.5753,0.5969,0.6017,PREDICTIVE-DEGRADING
96,Antisymmetry,PredictiveStabilizationAnalysis,0.5927,0.5724,0.5595,0.541,0.5437,0.5397,0.5405,PREDICTIVE-DEGRADING
128,Antisymmetry,PredictiveStabilizationAnalysis,0.5157,0.4852,0.4981,0.4776,0.4829,0.4687,0.4808,PREDICTIVE-FAILED
160,Antisymmetry,PredictiveStabilizationAnalysis,0.4528,0.432,0.4284,0.42,0.4209,0.4265,0.4285,PREDICTIVE-FAILED
192,Antisymmetry,PredictiveStabilizationAnalysis,0.4003,0.3935,0.3852,0.3821,0.3812,0.3782,0.3803,PREDICTIVE-FAILED
256,Antisymmetry,PredictiveStabilizationAnalysis,0.3348,0.3301,0.3252,0.3112,0.309,0.3086,0.3115,PREDICTIVE-FAILED
320,Antisymmetry,PredictiveStabilizationAnalysis,0.2879,0.2754,0.2772,0.2742,0.2698,0.2727,0.2698,PREDICTIVE-FAILED
512,Antisymmetry,PredictiveStabilizationAnalysis,0.2049,0.1977,0.1961,0.1887,0.1845,0.1891,0.1927,PREDICTIVE-FAILED
768,Antisymmetry,PredictiveStabilizationAnalysis,0.1463,0.1372,0.1408,0.1328,0.1367,0.1316,0.1347,PREDICTIVE-FAILED
1024,Antisymmetry,PredictiveStabilizationAnalysis,0.1134,0.1079,0.1062,0.1036,0.1031,0.1041,0.1035,PREDICTIVE-FAILED
1536,Antisymmetry,PredictiveStabilizationAnalysis,0.0775,0.0757,0.073,0.0731,0.0724,0.0733,0.0716,PREDICTIVE-FAILED
2048,Antisymmetry,PredictiveStabilizationAnalysis,0.0581,0.0584,0.0574,0.0557,0.0556,0.0543,0.0564,PREDICTIVE-FAILED
3072,Antisymmetry,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Antisymmetry,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Antisymmetry,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Antisymmetry,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Antisymmetry,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Antisymmetry,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Antisymmetry,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
8,Antisymmetry,AnticipatoryRoutingTracking,0.96,0.9345,0.93,0.92,0.9041,0.899,0.92,PREDICTIVE-STABLE
12,Antisymmetry,AnticipatoryRoutingTracking,0.9301,0.9187,0.93,0.8986,0.8828,0.8734,0.8971,PREDICTIVE-STABLE
16,Antisymmetry,AnticipatoryRoutingTracking,0.9174,0.8713,0.9016,0.868,0.8506,0.8564,0.8771,PREDICTIVE-BOUNDED
20,Antisymmetry,AnticipatoryRoutingTracking,0.8922,0.8544,0.8725,0.8606,0.835,0.8427,0.8592,PREDICTIVE-BOUNDED
24,Antisymmetry,AnticipatoryRoutingTracking,0.8789,0.8528,0.8556,0.8371,0.8283,0.7924,0.835,PREDICTIVE-BOUNDED
32,Antisymmetry,AnticipatoryRoutingTracking,0.8379,0.795,0.813,0.7684,0.7627,0.7714,0.7852,PREDICTIVE-PARTIAL
40,Antisymmetry,AnticipatoryRoutingTracking,0.7832,0.7608,0.7698,0.7435,0.7236,0.728,0.7315,PREDICTIVE-PARTIAL
48,Antisymmetry,AnticipatoryRoutingTracking,0.7451,0.7192,0.7212,0.7134,0.6964,0.6834,0.7174,PREDICTIVE-PARTIAL
64,Antisymmetry,AnticipatoryRoutingTracking,0.6985,0.6698,0.6513,0.654,0.6324,0.6237,0.6455,PREDICTIVE-DEGRADING
80,Antisymmetry,AnticipatoryRoutingTracking,0.6205,0.6102,0.6178,0.6064,0.5911,0.5817,0.5937,PREDICTIVE-DEGRADING
96,Antisymmetry,AnticipatoryRoutingTracking,0.5923,0.5695,0.5617,0.5559,0.5464,0.5362,0.5606,PREDICTIVE-DEGRADING
128,Antisymmetry,AnticipatoryRoutingTracking,0.5034,0.4933,0.4953,0.4809,0.4695,0.478,0.4823,PREDICTIVE-FAILED
160,Antisymmetry,AnticipatoryRoutingTracking,0.4585,0.4389,0.4345,0.4289,0.4176,0.4228,0.4375,PREDICTIVE-FAILED
192,Antisymmetry,AnticipatoryRoutingTracking,0.4128,0.3951,0.3871,0.3912,0.3787,0.3804,0.3837,PREDICTIVE-FAILED
256,Antisymmetry,AnticipatoryRoutingTracking,0.3408,0.3311,0.3308,0.3159,0.3128,0.3112,0.3215,PREDICTIVE-FAILED
320,Antisymmetry,AnticipatoryRoutingTracking,0.2853,0.2824,0.2796,0.2716,0.2708,0.2642,0.2754,PREDICTIVE-FAILED
512,Antisymmetry,AnticipatoryRoutingTracking,0.2031,0.1971,0.1931,0.1908,0.1928,0.1883,0.1898,PREDICTIVE-FAILED
768,Antisymmetry,AnticipatoryRoutingTracking,0.1458,0.1423,0.1413,0.1385,0.1347,0.1349,0.1352,PREDICTIVE-FAILED
1024,Antisymmetry,AnticipatoryRoutingTracking,0.1132,0.109,0.1086,0.1066,0.1067,0.102,0.1065,PREDICTIVE-FAILED
1536,Antisymmetry,AnticipatoryRoutingTracking,0.077,0.0735,0.0745,0.0743,0.0716,0.0717,0.0726,PREDICTIVE-FAILED
2048,Antisymmetry,AnticipatoryRoutingTracking,0.0605,0.0574,0.0571,0.0564,0.0564,0.0556,0.0561,PREDICTIVE-FAILED
3072,Antisymmetry,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Antisymmetry,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Antisymmetry,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Antisymmetry,PerturbationForecastingEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Antisymmetry,PerturbationForecastingEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Antisymmetry,PerturbationForecastingEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Antisymmetry,PerturbationForecastingEvaluation,0.96,0.94,0.9256,0.92,0.9064,0.899,0.92,PREDICTIVE-STABLE
8,Antisymmetry,PerturbationForecastingEvaluation,0.96,0.94,0.93,0.92,0.91,0.8817,0.9149,PREDICTIVE-STABLE
12,Antisymmetry,PerturbationForecastingEvaluation,0.9461,0.9084,0.8971,0.9185,0.8798,0.8713,0.9059,PREDICTIVE-BOUNDED
16,Antisymmetry,PerturbationForecastingEvaluation,0.9094,0.8701,0.87,0.8768,0.8576,0.847,0.8712,PREDICTIVE-BOUNDED
20,Antisymmetry,PerturbationForecastingEvaluation,0.892,0.8409,0.8409,0.866,0.8438,0.8368,0.8415,PREDICTIVE-BOUNDED
24,Antisymmetry,PerturbationForecastingEvaluation,0.8651,0.833,0.8384,0.8281,0.7984,0.8144,0.809,PREDICTIVE-BOUNDED
32,Antisymmetry,PerturbationForecastingEvaluation,0.8319,0.785,0.7736,0.7829,0.7587,0.7601,0.7739,PREDICTIVE-PARTIAL
40,Antisymmetry,PerturbationForecastingEvaluation,0.7913,0.7426,0.7428,0.7525,0.728,0.7349,0.726,PREDICTIVE-PARTIAL
48,Antisymmetry,PerturbationForecastingEvaluation,0.7423,0.7288,0.7172,0.7231,0.6905,0.6985,0.6993,PREDICTIVE-PARTIAL
64,Antisymmetry,PerturbationForecastingEvaluation,0.6773,0.6493,0.6607,0.6475,0.6375,0.6387,0.6486,PREDICTIVE-DEGRADING
80,Antisymmetry,PerturbationForecastingEvaluation,0.6269,0.6134,0.5884,0.6086,0.596,0.5874,0.594,PREDICTIVE-DEGRADING
96,Antisymmetry,PerturbationForecastingEvaluation,0.5857,0.5574,0.5487,0.5626,0.5347,0.5439,0.541,PREDICTIVE-DEGRADING
128,Antisymmetry,PerturbationForecastingEvaluation,0.5148,0.4879,0.4865,0.4922,0.4773,0.465,0.4697,PREDICTIVE-FAILED
160,Antisymmetry,PerturbationForecastingEvaluation,0.4475,0.4422,0.4368,0.4339,0.4216,0.4079,0.4288,PREDICTIVE-FAILED
192,Antisymmetry,PerturbationForecastingEvaluation,0.4026,0.3871,0.387,0.3909,0.3751,0.3701,0.3797,PREDICTIVE-FAILED
256,Antisymmetry,PerturbationForecastingEvaluation,0.3315,0.3186,0.3264,0.3197,0.3082,0.3084,0.3123,PREDICTIVE-FAILED
320,Antisymmetry,PerturbationForecastingEvaluation,0.2913,0.2816,0.2745,0.274,0.2677,0.261,0.2698,PREDICTIVE-FAILED
512,Antisymmetry,PerturbationForecastingEvaluation,0.1981,0.1946,0.1907,0.1917,0.1882,0.1866,0.1921,PREDICTIVE-FAILED
768,Antisymmetry,PerturbationForecastingEvaluation,0.145,0.136,0.1346,0.1379,0.1327,0.1341,0.1327,PREDICTIVE-FAILED
1024,Antisymmetry,PerturbationForecastingEvaluation,0.1109,0.106,0.1063,0.1071,0.106,0.1011,0.1042,PREDICTIVE-FAILED
1536,Antisymmetry,PerturbationForecastingEvaluation,0.0784,0.0735,0.0741,0.0731,0.0705,0.0704,0.0721,PREDICTIVE-FAILED
2048,Antisymmetry,PerturbationForecastingEvaluation,0.0582,0.0561,0.0568,0.0568,0.0543,0.0535,0.0557,PREDICTIVE-FAILED
3072,Antisymmetry,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Antisymmetry,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Antisymmetry,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Antisymmetry,FutureStateReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Antisymmetry,FutureStateReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Antisymmetry,FutureStateReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Antisymmetry,FutureStateReconstruction,0.96,0.94,0.919,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
8,Antisymmetry,FutureStateReconstruction,0.9492,0.94,0.9061,0.9068,0.91,0.9,0.92,PREDICTIVE-STABLE
12,Antisymmetry,FutureStateReconstruction,0.931,0.8946,0.9027,0.9024,0.9023,0.8661,0.8738,PREDICTIVE-BOUNDED
16,Antisymmetry,FutureStateReconstruction,0.9253,0.8937,0.8626,0.8611,0.8798,0.8616,0.854,PREDICTIVE-BOUNDED
20,Antisymmetry,FutureStateReconstruction,0.896,0.8625,0.8446,0.8275,0.8471,0.8242,0.8212,PREDICTIVE-BOUNDED
24,Antisymmetry,FutureStateReconstruction,0.8502,0.8428,0.8292,0.7994,0.8151,0.8035,0.8024,PREDICTIVE-BOUNDED
32,Antisymmetry,FutureStateReconstruction,0.8185,0.7835,0.7921,0.7839,0.7768,0.7534,0.7858,PREDICTIVE-PARTIAL
40,Antisymmetry,FutureStateReconstruction,0.7745,0.7634,0.7375,0.7247,0.7385,0.7072,0.7394,PREDICTIVE-PARTIAL
48,Antisymmetry,FutureStateReconstruction,0.7314,0.7029,0.7159,0.6944,0.699,0.6762,0.6954,PREDICTIVE-PARTIAL
64,Antisymmetry,FutureStateReconstruction,0.6746,0.6526,0.6513,0.6429,0.6509,0.6195,0.631,PREDICTIVE-DEGRADING
80,Antisymmetry,FutureStateReconstruction,0.6296,0.6112,0.6048,0.6038,0.5914,0.5732,0.5928,PREDICTIVE-DEGRADING
96,Antisymmetry,FutureStateReconstruction,0.5858,0.5648,0.5489,0.5461,0.5437,0.5406,0.5455,PREDICTIVE-DEGRADING
128,Antisymmetry,FutureStateReconstruction,0.5014,0.4871,0.4918,0.4794,0.4869,0.4675,0.4701,PREDICTIVE-FAILED
160,Antisymmetry,FutureStateReconstruction,0.4558,0.431,0.4281,0.4183,0.4265,0.422,0.423,PREDICTIVE-FAILED
192,Antisymmetry,FutureStateReconstruction,0.409,0.3826,0.3825,0.3746,0.385,0.3764,0.3813,PREDICTIVE-FAILED
256,Antisymmetry,FutureStateReconstruction,0.3285,0.3274,0.3183,0.3234,0.3218,0.3108,0.3157,PREDICTIVE-FAILED
320,Antisymmetry,FutureStateReconstruction,0.2879,0.2793,0.2755,0.2747,0.2769,0.2652,0.2687,PREDICTIVE-FAILED
512,Antisymmetry,FutureStateReconstruction,0.203,0.1938,0.1953,0.1906,0.1909,0.1843,0.1893,PREDICTIVE-FAILED
768,Antisymmetry,FutureStateReconstruction,0.143,0.1361,0.1371,0.1353,0.1366,0.1332,0.1355,PREDICTIVE-FAILED
1024,Antisymmetry,FutureStateReconstruction,0.111,0.1061,0.1066,0.107,0.1056,0.1019,0.1051,PREDICTIVE-FAILED
1536,Antisymmetry,FutureStateReconstruction,0.0754,0.0749,0.0727,0.0714,0.0736,0.0719,0.0716,PREDICTIVE-FAILED
2048,Antisymmetry,FutureStateReconstruction,0.0597,0.056,0.0565,0.0546,0.0571,0.0545,0.0564,PREDICTIVE-FAILED
3072,Antisymmetry,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Antisymmetry,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Antisymmetry,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Antisymmetry,AdaptivePredictiveModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Antisymmetry,AdaptivePredictiveModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Antisymmetry,AdaptivePredictiveModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Antisymmetry,AdaptivePredictiveModulation,0.96,0.94,0.93,0.92,0.91,0.8902,0.92,PREDICTIVE-STABLE
8,Antisymmetry,AdaptivePredictiveModulation,0.9478,0.94,0.93,0.9141,0.8921,0.8844,0.92,PREDICTIVE-STABLE
12,Antisymmetry,AdaptivePredictiveModulation,0.9406,0.9204,0.8969,0.8723,0.8737,0.8766,0.9064,PREDICTIVE-BOUNDED
16,Antisymmetry,AdaptivePredictiveModulation,0.9038,0.8881,0.8802,0.8622,0.8485,0.8357,0.8975,PREDICTIVE-BOUNDED
20,Antisymmetry,AdaptivePredictiveModulation,0.8871,0.8513,0.8318,0.839,0.8145,0.8242,0.8566,PREDICTIVE-BOUNDED
24,Antisymmetry,AdaptivePredictiveModulation,0.8502,0.8442,0.827,0.8201,0.7914,0.7918,0.833,PREDICTIVE-BOUNDED
32,Antisymmetry,AdaptivePredictiveModulation,0.8152,0.777,0.781,0.7606,0.7702,0.7505,0.7979,PREDICTIVE-PARTIAL
40,Antisymmetry,AdaptivePredictiveModulation,0.7833,0.7521,0.7545,0.7357,0.7191,0.7126,0.743,PREDICTIVE-PARTIAL
48,Antisymmetry,AdaptivePredictiveModulation,0.7332,0.7251,0.7163,0.6941,0.7067,0.6877,0.7248,PREDICTIVE-PARTIAL
64,Antisymmetry,AdaptivePredictiveModulation,0.6688,0.6584,0.6512,0.6544,0.6287,0.6256,0.6561,PREDICTIVE-DEGRADING
80,Antisymmetry,AdaptivePredictiveModulation,0.6241,0.5974,0.6017,0.5923,0.5775,0.5682,0.597,PREDICTIVE-DEGRADING
96,Antisymmetry,AdaptivePredictiveModulation,0.5768,0.5683,0.5545,0.5599,0.5512,0.5279,0.5579,PREDICTIVE-DEGRADING
128,Antisymmetry,AdaptivePredictiveModulation,0.5066,0.484,0.4897,0.4736,0.4796,0.4734,0.4796,PREDICTIVE-FAILED
160,Antisymmetry,AdaptivePredictiveModulation,0.4384,0.4263,0.4324,0.4331,0.4274,0.4137,0.4323,PREDICTIVE-FAILED
192,Antisymmetry,AdaptivePredictiveModulation,0.4002,0.3963,0.3891,0.3842,0.3712,0.3729,0.3944,PREDICTIVE-FAILED
256,Antisymmetry,AdaptivePredictiveModulation,0.3391,0.3193,0.3233,0.3213,0.3125,0.3081,0.3267,PREDICTIVE-FAILED
320,Antisymmetry,AdaptivePredictiveModulation,0.2886,0.2729,0.2746,0.2757,0.2639,0.2675,0.2801,PREDICTIVE-FAILED
512,Antisymmetry,AdaptivePredictiveModulation,0.2005,0.1905,0.1898,0.1865,0.1858,0.1846,0.1953,PREDICTIVE-FAILED
768,Antisymmetry,AdaptivePredictiveModulation,0.1416,0.1399,0.1377,0.136,0.1358,0.1335,0.1359,PREDICTIVE-FAILED
1024,Antisymmetry,AdaptivePredictiveModulation,0.112,0.1061,0.107,0.1044,0.1041,0.1008,0.1074,PREDICTIVE-FAILED
1536,Antisymmetry,AdaptivePredictiveModulation,0.0758,0.0748,0.0742,0.0714,0.0728,0.0726,0.0757,PREDICTIVE-FAILED
2048,Antisymmetry,AdaptivePredictiveModulation,0.0578,0.0574,0.0555,0.0551,0.0539,0.0536,0.057,PREDICTIVE-FAILED
3072,Antisymmetry,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Antisymmetry,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Antisymmetry,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Antisymmetry,RecursiveAnticipationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Antisymmetry,RecursiveAnticipationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Antisymmetry,RecursiveAnticipationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Antisymmetry,RecursiveAnticipationPersistence,0.9569,0.94,0.93,0.92,0.91,0.9,0.9138,PREDICTIVE-STABLE
8,Antisymmetry,RecursiveAnticipationPersistence,0.96,0.9377,0.93,0.915,0.8932,0.9,0.9171,PREDICTIVE-STABLE
12,Antisymmetry,RecursiveAnticipationPersistence,0.9141,0.9016,0.9046,0.8934,0.8841,0.877,0.875,PREDICTIVE-STABLE
16,Antisymmetry,RecursiveAnticipationPersistence,0.9076,0.8966,0.8753,0.8488,0.8514,0.8696,0.8665,PREDICTIVE-BOUNDED
20,Antisymmetry,RecursiveAnticipationPersistence,0.8841,0.8782,0.8603,0.8367,0.8148,0.8263,0.8487,PREDICTIVE-BOUNDED
24,Antisymmetry,RecursiveAnticipationPersistence,0.8393,0.8395,0.8411,0.8021,0.8229,0.8174,0.8312,PREDICTIVE-BOUNDED
32,Antisymmetry,RecursiveAnticipationPersistence,0.8115,0.8067,0.7818,0.7806,0.7634,0.7717,0.7818,PREDICTIVE-PARTIAL
40,Antisymmetry,RecursiveAnticipationPersistence,0.7806,0.7495,0.7486,0.7432,0.7264,0.7407,0.7288,PREDICTIVE-PARTIAL
48,Antisymmetry,RecursiveAnticipationPersistence,0.7318,0.7377,0.7222,0.6885,0.6873,0.7005,0.7093,PREDICTIVE-PARTIAL
64,Antisymmetry,RecursiveAnticipationPersistence,0.6649,0.6705,0.6457,0.6457,0.6253,0.653,0.6437,PREDICTIVE-DEGRADING
80,Antisymmetry,RecursiveAnticipationPersistence,0.6195,0.6041,0.5935,0.5797,0.5835,0.5874,0.5877,PREDICTIVE-DEGRADING
96,Antisymmetry,RecursiveAnticipationPersistence,0.5654,0.562,0.5712,0.5479,0.5472,0.5443,0.5538,PREDICTIVE-DEGRADING
128,Antisymmetry,RecursiveAnticipationPersistence,0.5065,0.492,0.4929,0.471,0.4802,0.4814,0.4733,PREDICTIVE-FAILED
160,Antisymmetry,RecursiveAnticipationPersistence,0.4517,0.4378,0.4254,0.4301,0.4135,0.4207,0.4321,PREDICTIVE-FAILED
192,Antisymmetry,RecursiveAnticipationPersistence,0.395,0.387,0.3851,0.3866,0.3834,0.3856,0.3773,PREDICTIVE-FAILED
256,Antisymmetry,RecursiveAnticipationPersistence,0.3287,0.3313,0.3234,0.3211,0.31,0.3207,0.3181,PREDICTIVE-FAILED
320,Antisymmetry,RecursiveAnticipationPersistence,0.2781,0.2753,0.2735,0.2732,0.2659,0.2716,0.2754,PREDICTIVE-FAILED
512,Antisymmetry,RecursiveAnticipationPersistence,0.1964,0.1969,0.1911,0.1899,0.1855,0.1898,0.1925,PREDICTIVE-FAILED
768,Antisymmetry,RecursiveAnticipationPersistence,0.1395,0.1406,0.1379,0.1342,0.1344,0.133,0.1345,PREDICTIVE-FAILED
1024,Antisymmetry,RecursiveAnticipationPersistence,0.1077,0.1079,0.1062,0.1033,0.1057,0.1053,0.107,PREDICTIVE-FAILED
1536,Antisymmetry,RecursiveAnticipationPersistence,0.0746,0.0758,0.0756,0.0732,0.0714,0.0741,0.0736,PREDICTIVE-FAILED
2048,Antisymmetry,RecursiveAnticipationPersistence,0.0576,0.0576,0.0574,0.0554,0.0549,0.0549,0.0561,PREDICTIVE-FAILED
3072,Antisymmetry,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Antisymmetry,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Antisymmetry,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Antisymmetry,NullPredictiveControl,0.8102,0.8041,0.8236,0.8026,0.7908,0.7686,0.7985,PREDICTIVE-BOUNDED
2,Antisymmetry,NullPredictiveControl,0.8005,0.7917,0.8152,0.8271,0.7761,0.7574,0.7972,PREDICTIVE-PARTIAL
4,Antisymmetry,NullPredictiveControl,0.8093,0.7964,0.7998,0.7958,0.753,0.7458,0.7636,PREDICTIVE-PARTIAL
6,Antisymmetry,NullPredictiveControl,0.8055,0.7661,0.7931,0.8012,0.7618,0.7393,0.7614,PREDICTIVE-PARTIAL
8,Antisymmetry,NullPredictiveControl,0.7799,0.7856,0.7608,0.7677,0.7256,0.7325,0.7631,PREDICTIVE-PARTIAL
12,Antisymmetry,NullPredictiveControl,0.7683,0.7324,0.7371,0.7507,0.7137,0.6955,0.7406,PREDICTIVE-PARTIAL
16,Antisymmetry,NullPredictiveControl,0.7331,0.7155,0.7282,0.7343,0.6841,0.6909,0.7046,PREDICTIVE-PARTIAL
20,Antisymmetry,NullPredictiveControl,0.7171,0.6945,0.7136,0.7137,0.689,0.6833,0.7045,PREDICTIVE-DEGRADING
24,Antisymmetry,NullPredictiveControl,0.7099,0.685,0.6952,0.6735,0.6747,0.653,0.676,PREDICTIVE-DEGRADING
32,Antisymmetry,NullPredictiveControl,0.6488,0.658,0.6561,0.6416,0.629,0.6313,0.649,PREDICTIVE-DEGRADING
40,Antisymmetry,NullPredictiveControl,0.615,0.6288,0.6047,0.6108,0.6099,0.6013,0.5924,PREDICTIVE-DEGRADING
48,Antisymmetry,NullPredictiveControl,0.5888,0.5856,0.5835,0.5804,0.5812,0.5618,0.5781,PREDICTIVE-DEGRADING
64,Antisymmetry,NullPredictiveControl,0.5474,0.5383,0.5251,0.5526,0.5332,0.5257,0.5339,PREDICTIVE-FAILED
80,Antisymmetry,NullPredictiveControl,0.5095,0.4928,0.4991,0.4932,0.4783,0.4824,0.4946,PREDICTIVE-FAILED
96,Antisymmetry,NullPredictiveControl,0.4703,0.4549,0.4564,0.4656,0.4576,0.4451,0.4567,PREDICTIVE-FAILED
128,Antisymmetry,NullPredictiveControl,0.4131,0.406,0.4069,0.395,0.3889,0.3912,0.3947,PREDICTIVE-FAILED
160,Antisymmetry,NullPredictiveControl,0.359,0.3666,0.3627,0.3503,0.3526,0.3454,0.3439,PREDICTIVE-FAILED
192,Antisymmetry,NullPredictiveControl,0.3252,0.3281,0.3138,0.3303,0.3035,0.3073,0.3127,PREDICTIVE-FAILED
256,Antisymmetry,NullPredictiveControl,0.2703,0.2705,0.2638,0.2685,0.2562,0.2574,0.2623,PREDICTIVE-FAILED
320,Antisymmetry,NullPredictiveControl,0.2356,0.2334,0.2228,0.2257,0.2228,0.2215,0.2243,PREDICTIVE-FAILED
512,Antisymmetry,NullPredictiveControl,0.158,0.1611,0.1564,0.1564,0.1505,0.1515,0.16,PREDICTIVE-FAILED
768,Antisymmetry,NullPredictiveControl,0.1157,0.1163,0.1147,0.1165,0.1108,0.1114,0.1115,PREDICTIVE-FAILED
1024,Antisymmetry,NullPredictiveControl,0.0916,0.0891,0.0873,0.0871,0.0849,0.0843,0.0865,PREDICTIVE-FAILED
1536,Antisymmetry,NullPredictiveControl,0.0622,0.0629,0.0612,0.0621,0.0594,0.0586,0.0596,PREDICTIVE-FAILED
2048,Antisymmetry,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
3072,Antisymmetry,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Antisymmetry,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Antisymmetry,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Neutral,PredictiveStabilizationAnalysis,0.9465,0.94,0.93,0.904,0.8761,0.8782,0.9029,PREDICTIVE-STABLE
2,Neutral,PredictiveStabilizationAnalysis,0.9453,0.9335,0.9241,0.8872,0.8743,0.8741,0.8912,PREDICTIVE-STABLE
4,Neutral,PredictiveStabilizationAnalysis,0.9469,0.9204,0.899,0.8691,0.8601,0.8647,0.8824,PREDICTIVE-BOUNDED
6,Neutral,PredictiveStabilizationAnalysis,0.9056,0.9154,0.9045,0.8727,0.8733,0.8709,0.8616,PREDICTIVE-STABLE
8,Neutral,PredictiveStabilizationAnalysis,0.9202,0.8822,0.88,0.8746,0.8636,0.8496,0.8701,PREDICTIVE-BOUNDED
12,Neutral,PredictiveStabilizationAnalysis,0.8612,0.8602,0.8662,0.8245,0.8107,0.8256,0.8362,PREDICTIVE-BOUNDED
16,Neutral,PredictiveStabilizationAnalysis,0.8448,0.8385,0.8178,0.8054,0.8119,0.7907,0.7931,PREDICTIVE-BOUNDED
