depth,sector,condition,rg_similarity,representation_fidelity,internal_model_coherence,simulation_alignment,predictive_model_gain,recursive_representation_persistence,model_adaptation_strength,classification
192,Antisymmetry,InternalModelExtraction,0.4742,0.4732,0.4643,0.4626,0.4591,0.4564,0.4566,MODEL-FAILED
256,Antisymmetry,InternalModelExtraction,0.4029,0.3961,0.3999,0.3798,0.385,0.3815,0.3828,MODEL-FAILED
320,Antisymmetry,InternalModelExtraction,0.3564,0.3487,0.3468,0.3302,0.3351,0.3326,0.3348,MODEL-FAILED
512,Antisymmetry,InternalModelExtraction,0.2487,0.2514,0.2403,0.2449,0.2366,0.2391,0.2434,MODEL-FAILED
768,Antisymmetry,InternalModelExtraction,0.1805,0.1764,0.1797,0.1774,0.1724,0.1703,0.1722,MODEL-FAILED
1024,Antisymmetry,InternalModelExtraction,0.1429,0.1436,0.139,0.1361,0.1361,0.1357,0.1391,MODEL-FAILED
1536,Antisymmetry,InternalModelExtraction,0.1027,0.0969,0.097,0.0956,0.0943,0.0949,0.0957,MODEL-FAILED
2048,Antisymmetry,InternalModelExtraction,0.0781,0.0755,0.0745,0.073,0.0727,0.0723,0.0724,MODEL-FAILED
3072,Antisymmetry,InternalModelExtraction,0.0539,0.0523,0.0509,0.05,0.0505,0.0505,0.05,MODEL-FAILED
4096,Antisymmetry,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Antisymmetry,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Antisymmetry,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Antisymmetry,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Antisymmetry,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Antisymmetry,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Antisymmetry,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Antisymmetry,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Antisymmetry,RepresentationFidelityAnalysis,0.9558,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
16,Antisymmetry,RepresentationFidelityAnalysis,0.9439,0.9329,0.9111,0.8972,0.9021,0.8975,0.9152,MODEL-STABLE
20,Antisymmetry,RepresentationFidelityAnalysis,0.9312,0.9228,0.8974,0.8683,0.8862,0.8567,0.8784,MODEL-BOUNDED
24,Antisymmetry,RepresentationFidelityAnalysis,0.9259,0.8784,0.8704,0.861,0.8741,0.8355,0.8646,MODEL-BOUNDED
32,Antisymmetry,RepresentationFidelityAnalysis,0.8789,0.8616,0.8487,0.8298,0.8127,0.8022,0.8336,MODEL-BOUNDED
40,Antisymmetry,RepresentationFidelityAnalysis,0.8248,0.8354,0.8013,0.8044,0.7785,0.7824,0.812,MODEL-BOUNDED
48,Antisymmetry,RepresentationFidelityAnalysis,0.8156,0.806,0.78,0.7638,0.752,0.7447,0.7575,MODEL-PARTIAL
64,Antisymmetry,RepresentationFidelityAnalysis,0.7391,0.7464,0.731,0.7281,0.7062,0.6872,0.7226,MODEL-PARTIAL
80,Antisymmetry,RepresentationFidelityAnalysis,0.6927,0.681,0.6652,0.6728,0.666,0.6646,0.679,MODEL-DEGRADING
96,Antisymmetry,RepresentationFidelityAnalysis,0.6633,0.6345,0.6226,0.6161,0.6269,0.6161,0.6199,MODEL-DEGRADING
128,Antisymmetry,RepresentationFidelityAnalysis,0.5958,0.5796,0.5651,0.5642,0.5449,0.5561,0.5554,MODEL-DEGRADING
160,Antisymmetry,RepresentationFidelityAnalysis,0.5375,0.53,0.5102,0.4959,0.4974,0.4922,0.4948,MODEL-FAILED
192,Antisymmetry,RepresentationFidelityAnalysis,0.4846,0.4704,0.4709,0.4632,0.4632,0.4414,0.4591,MODEL-FAILED
256,Antisymmetry,RepresentationFidelityAnalysis,0.4026,0.4066,0.3984,0.3828,0.3808,0.3839,0.3877,MODEL-FAILED
320,Antisymmetry,RepresentationFidelityAnalysis,0.3606,0.3529,0.3419,0.344,0.3332,0.3349,0.3373,MODEL-FAILED
512,Antisymmetry,RepresentationFidelityAnalysis,0.2554,0.2471,0.2444,0.2401,0.2434,0.2385,0.239,MODEL-FAILED
768,Antisymmetry,RepresentationFidelityAnalysis,0.1834,0.1798,0.1767,0.1744,0.1741,0.1748,0.177,MODEL-FAILED
1024,Antisymmetry,RepresentationFidelityAnalysis,0.1465,0.1412,0.1394,0.1404,0.1379,0.1326,0.1388,MODEL-FAILED
1536,Antisymmetry,RepresentationFidelityAnalysis,0.1032,0.0981,0.0991,0.0962,0.0941,0.0931,0.0971,MODEL-FAILED
2048,Antisymmetry,RepresentationFidelityAnalysis,0.0782,0.0756,0.0753,0.0732,0.0723,0.0734,0.0736,MODEL-FAILED
3072,Antisymmetry,RepresentationFidelityAnalysis,0.0524,0.0514,0.0509,0.0508,0.0504,0.0507,0.0503,MODEL-FAILED
4096,Antisymmetry,RepresentationFidelityAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Antisymmetry,RepresentationFidelityAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Antisymmetry,RepresentationFidelityAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Antisymmetry,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Antisymmetry,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Antisymmetry,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Antisymmetry,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Antisymmetry,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Antisymmetry,SimulatedPerturbationEvaluation,0.96,0.9276,0.9282,0.92,0.888,0.9,0.92,MODEL-STABLE
16,Antisymmetry,SimulatedPerturbationEvaluation,0.9312,0.9346,0.8984,0.906,0.9002,0.8667,0.8813,MODEL-BOUNDED
20,Antisymmetry,SimulatedPerturbationEvaluation,0.9375,0.9173,0.8685,0.8862,0.8524,0.8444,0.8894,MODEL-BOUNDED
24,Antisymmetry,SimulatedPerturbationEvaluation,0.8879,0.8778,0.8517,0.8781,0.8443,0.8563,0.868,MODEL-BOUNDED
32,Antisymmetry,SimulatedPerturbationEvaluation,0.8496,0.8522,0.8398,0.842,0.8199,0.7999,0.8151,MODEL-BOUNDED
40,Antisymmetry,SimulatedPerturbationEvaluation,0.8244,0.8263,0.7888,0.8069,0.7849,0.7819,0.7776,MODEL-PARTIAL
48,Antisymmetry,SimulatedPerturbationEvaluation,0.8116,0.7965,0.7676,0.764,0.7593,0.7553,0.7551,MODEL-PARTIAL
64,Antisymmetry,SimulatedPerturbationEvaluation,0.7539,0.741,0.7047,0.7349,0.706,0.699,0.703,MODEL-PARTIAL
80,Antisymmetry,SimulatedPerturbationEvaluation,0.7082,0.6874,0.6604,0.6633,0.6436,0.6392,0.6495,MODEL-DEGRADING
96,Antisymmetry,SimulatedPerturbationEvaluation,0.6473,0.6411,0.6163,0.6217,0.616,0.6207,0.619,MODEL-DEGRADING
128,Antisymmetry,SimulatedPerturbationEvaluation,0.5799,0.5684,0.5519,0.5711,0.5438,0.5431,0.5488,MODEL-DEGRADING
160,Antisymmetry,SimulatedPerturbationEvaluation,0.5248,0.5062,0.5139,0.5134,0.5031,0.4861,0.5083,MODEL-FAILED
192,Antisymmetry,SimulatedPerturbationEvaluation,0.4826,0.4731,0.4678,0.4559,0.4502,0.4456,0.4563,MODEL-FAILED
256,Antisymmetry,SimulatedPerturbationEvaluation,0.4025,0.3923,0.3846,0.3923,0.3806,0.3844,0.3895,MODEL-FAILED
320,Antisymmetry,SimulatedPerturbationEvaluation,0.3463,0.3485,0.3337,0.3348,0.3336,0.3274,0.3411,MODEL-FAILED
512,Antisymmetry,SimulatedPerturbationEvaluation,0.2545,0.252,0.2467,0.248,0.2365,0.2386,0.2397,MODEL-FAILED
768,Antisymmetry,SimulatedPerturbationEvaluation,0.1836,0.179,0.174,0.1805,0.1751,0.1714,0.1748,MODEL-FAILED
1024,Antisymmetry,SimulatedPerturbationEvaluation,0.1456,0.1417,0.1366,0.1379,0.1377,0.1325,0.1364,MODEL-FAILED
1536,Antisymmetry,SimulatedPerturbationEvaluation,0.1019,0.0967,0.0965,0.0975,0.0928,0.0945,0.0966,MODEL-FAILED
2048,Antisymmetry,SimulatedPerturbationEvaluation,0.0772,0.0752,0.075,0.0753,0.0721,0.072,0.0731,MODEL-FAILED
3072,Antisymmetry,SimulatedPerturbationEvaluation,0.0523,0.0517,0.0512,0.0516,0.0505,0.05,0.05,MODEL-FAILED
4096,Antisymmetry,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Antisymmetry,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Antisymmetry,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Antisymmetry,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Antisymmetry,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Antisymmetry,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Antisymmetry,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Antisymmetry,PredictiveModelAdaptationTracking,0.96,0.9395,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Antisymmetry,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.9049,0.91,0.8904,0.92,MODEL-STABLE
16,Antisymmetry,PredictiveModelAdaptationTracking,0.9283,0.9195,0.9128,0.8936,0.9056,0.895,0.9025,MODEL-STABLE
20,Antisymmetry,PredictiveModelAdaptationTracking,0.9084,0.8867,0.8866,0.8823,0.8761,0.8455,0.8879,MODEL-BOUNDED
24,Antisymmetry,PredictiveModelAdaptationTracking,0.8841,0.8847,0.8757,0.8708,0.8571,0.8226,0.8859,MODEL-BOUNDED
32,Antisymmetry,PredictiveModelAdaptationTracking,0.8533,0.8504,0.8293,0.8379,0.8164,0.8093,0.8506,MODEL-BOUNDED
40,Antisymmetry,PredictiveModelAdaptationTracking,0.8296,0.7928,0.7927,0.7867,0.8125,0.7608,0.8174,MODEL-PARTIAL
48,Antisymmetry,PredictiveModelAdaptationTracking,0.8088,0.7832,0.7775,0.7711,0.7777,0.7543,0.7688,MODEL-PARTIAL
64,Antisymmetry,PredictiveModelAdaptationTracking,0.7345,0.7099,0.7018,0.7203,0.7133,0.6928,0.7081,MODEL-PARTIAL
80,Antisymmetry,PredictiveModelAdaptationTracking,0.6793,0.6829,0.6573,0.6532,0.682,0.6588,0.6633,MODEL-DEGRADING
96,Antisymmetry,PredictiveModelAdaptationTracking,0.6603,0.623,0.6191,0.6203,0.6361,0.6184,0.6337,MODEL-DEGRADING
128,Antisymmetry,PredictiveModelAdaptationTracking,0.5764,0.5662,0.5483,0.5542,0.5524,0.5312,0.5573,MODEL-DEGRADING
160,Antisymmetry,PredictiveModelAdaptationTracking,0.5289,0.5146,0.5087,0.4906,0.4965,0.4981,0.5034,MODEL-FAILED
192,Antisymmetry,PredictiveModelAdaptationTracking,0.472,0.464,0.4609,0.4636,0.4626,0.4417,0.4713,MODEL-FAILED
256,Antisymmetry,PredictiveModelAdaptationTracking,0.3965,0.3895,0.3936,0.3927,0.3885,0.3775,0.3862,MODEL-FAILED
320,Antisymmetry,PredictiveModelAdaptationTracking,0.3469,0.3377,0.337,0.3378,0.3424,0.3259,0.3474,MODEL-FAILED
512,Antisymmetry,PredictiveModelAdaptationTracking,0.2504,0.2425,0.2428,0.238,0.2435,0.2356,0.2435,MODEL-FAILED
768,Antisymmetry,PredictiveModelAdaptationTracking,0.1829,0.1792,0.1735,0.1711,0.1761,0.1739,0.1778,MODEL-FAILED
1024,Antisymmetry,PredictiveModelAdaptationTracking,0.1405,0.1407,0.136,0.1351,0.1362,0.1317,0.142,MODEL-FAILED
1536,Antisymmetry,PredictiveModelAdaptationTracking,0.0994,0.0959,0.0968,0.0954,0.0962,0.0947,0.0968,MODEL-FAILED
2048,Antisymmetry,PredictiveModelAdaptationTracking,0.076,0.0755,0.0755,0.0728,0.0745,0.0734,0.076,MODEL-FAILED
3072,Antisymmetry,PredictiveModelAdaptationTracking,0.0527,0.0513,0.0515,0.0507,0.0514,0.05,0.0511,MODEL-FAILED
4096,Antisymmetry,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Antisymmetry,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Antisymmetry,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Antisymmetry,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Antisymmetry,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Antisymmetry,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Antisymmetry,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Antisymmetry,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Antisymmetry,RecursiveSimulationPersistence,0.9424,0.94,0.9177,0.9014,0.9045,0.9,0.92,MODEL-STABLE
16,Antisymmetry,RecursiveSimulationPersistence,0.9284,0.9272,0.9102,0.8767,0.8713,0.8812,0.9024,MODEL-STABLE
20,Antisymmetry,RecursiveSimulationPersistence,0.908,0.8954,0.8784,0.8649,0.8821,0.883,0.8607,MODEL-BOUNDED
24,Antisymmetry,RecursiveSimulationPersistence,0.8923,0.8784,0.8625,0.8502,0.848,0.8603,0.8724,MODEL-BOUNDED
32,Antisymmetry,RecursiveSimulationPersistence,0.8494,0.8382,0.8281,0.807,0.8132,0.8192,0.82,MODEL-BOUNDED
40,Antisymmetry,RecursiveSimulationPersistence,0.819,0.8217,0.7878,0.7895,0.774,0.7934,0.7998,MODEL-PARTIAL
48,Antisymmetry,RecursiveSimulationPersistence,0.7925,0.7852,0.764,0.7686,0.7535,0.7547,0.7457,MODEL-PARTIAL
64,Antisymmetry,RecursiveSimulationPersistence,0.7505,0.7272,0.7167,0.7075,0.7028,0.709,0.7,MODEL-PARTIAL
80,Antisymmetry,RecursiveSimulationPersistence,0.6908,0.6676,0.6811,0.6717,0.6556,0.6503,0.6545,MODEL-DEGRADING
96,Antisymmetry,RecursiveSimulationPersistence,0.6528,0.6381,0.6318,0.6194,0.6035,0.627,0.617,MODEL-DEGRADING
128,Antisymmetry,RecursiveSimulationPersistence,0.5647,0.5672,0.5529,0.5649,0.5499,0.5583,0.5568,MODEL-DEGRADING
160,Antisymmetry,RecursiveSimulationPersistence,0.515,0.5178,0.4943,0.5077,0.5019,0.5084,0.4934,MODEL-FAILED
192,Antisymmetry,RecursiveSimulationPersistence,0.4732,0.47,0.4546,0.4469,0.4429,0.4601,0.4603,MODEL-FAILED
256,Antisymmetry,RecursiveSimulationPersistence,0.4017,0.3966,0.3855,0.3815,0.3823,0.39,0.379,MODEL-FAILED
320,Antisymmetry,RecursiveSimulationPersistence,0.355,0.3385,0.3403,0.3303,0.3255,0.3393,0.3302,MODEL-FAILED
512,Antisymmetry,RecursiveSimulationPersistence,0.253,0.2484,0.2466,0.2368,0.2356,0.2376,0.2373,MODEL-FAILED
768,Antisymmetry,RecursiveSimulationPersistence,0.1797,0.1796,0.1773,0.1735,0.1712,0.171,0.1708,MODEL-FAILED
1024,Antisymmetry,RecursiveSimulationPersistence,0.1422,0.1397,0.1363,0.1355,0.1368,0.1353,0.1372,MODEL-FAILED
1536,Antisymmetry,RecursiveSimulationPersistence,0.0989,0.0975,0.0951,0.0968,0.0927,0.0975,0.0945,MODEL-FAILED
2048,Antisymmetry,RecursiveSimulationPersistence,0.0765,0.0749,0.0754,0.0744,0.072,0.074,0.0728,MODEL-FAILED
3072,Antisymmetry,RecursiveSimulationPersistence,0.0516,0.0516,0.0507,0.05,0.05,0.0509,0.05,MODEL-FAILED
4096,Antisymmetry,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Antisymmetry,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Antisymmetry,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Antisymmetry,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Antisymmetry,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Antisymmetry,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Antisymmetry,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Antisymmetry,ModelDrivenStabilizationTesting,0.9566,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Antisymmetry,ModelDrivenStabilizationTesting,0.9438,0.9359,0.93,0.9019,0.91,0.8895,0.92,MODEL-STABLE
16,Antisymmetry,ModelDrivenStabilizationTesting,0.926,0.9315,0.927,0.9076,0.8922,0.8683,0.9055,MODEL-STABLE
20,Antisymmetry,ModelDrivenStabilizationTesting,0.8941,0.8819,0.8861,0.8624,0.891,0.8595,0.8908,MODEL-BOUNDED
24,Antisymmetry,ModelDrivenStabilizationTesting,0.8916,0.8865,0.8832,0.8657,0.8638,0.8425,0.8826,MODEL-BOUNDED
32,Antisymmetry,ModelDrivenStabilizationTesting,0.8463,0.8236,0.8339,0.8082,0.836,0.812,0.8265,MODEL-BOUNDED
40,Antisymmetry,ModelDrivenStabilizationTesting,0.8237,0.8034,0.8165,0.779,0.7933,0.7761,0.8123,MODEL-BOUNDED
48,Antisymmetry,ModelDrivenStabilizationTesting,0.7861,0.7665,0.7805,0.7615,0.7533,0.7407,0.7616,MODEL-PARTIAL
64,Antisymmetry,ModelDrivenStabilizationTesting,0.7381,0.7124,0.7244,0.7199,0.7019,0.7052,0.7093,MODEL-PARTIAL
80,Antisymmetry,ModelDrivenStabilizationTesting,0.6893,0.6792,0.6657,0.659,0.6499,0.6644,0.681,MODEL-DEGRADING
96,Antisymmetry,ModelDrivenStabilizationTesting,0.6436,0.6264,0.6219,0.6257,0.62,0.6203,0.6206,MODEL-DEGRADING
128,Antisymmetry,ModelDrivenStabilizationTesting,0.5842,0.5572,0.5554,0.5553,0.5634,0.5398,0.5587,MODEL-DEGRADING
160,Antisymmetry,ModelDrivenStabilizationTesting,0.5116,0.5066,0.518,0.5013,0.4944,0.4913,0.5088,MODEL-FAILED
192,Antisymmetry,ModelDrivenStabilizationTesting,0.462,0.4703,0.4717,0.4573,0.4595,0.4502,0.4518,MODEL-FAILED
256,Antisymmetry,ModelDrivenStabilizationTesting,0.4026,0.3928,0.3985,0.3784,0.3841,0.3895,0.3893,MODEL-FAILED
320,Antisymmetry,ModelDrivenStabilizationTesting,0.3451,0.3383,0.3424,0.3295,0.3387,0.3359,0.3429,MODEL-FAILED
512,Antisymmetry,ModelDrivenStabilizationTesting,0.2513,0.2488,0.2474,0.2354,0.2412,0.2331,0.2411,MODEL-FAILED
768,Antisymmetry,ModelDrivenStabilizationTesting,0.1821,0.1785,0.1761,0.1766,0.1768,0.1746,0.1776,MODEL-FAILED
1024,Antisymmetry,ModelDrivenStabilizationTesting,0.1433,0.1422,0.138,0.1361,0.1365,0.1359,0.1363,MODEL-FAILED
1536,Antisymmetry,ModelDrivenStabilizationTesting,0.0983,0.096,0.0969,0.0961,0.0944,0.0934,0.095,MODEL-FAILED
2048,Antisymmetry,ModelDrivenStabilizationTesting,0.0756,0.074,0.0755,0.0725,0.072,0.0723,0.0752,MODEL-FAILED
3072,Antisymmetry,ModelDrivenStabilizationTesting,0.0512,0.052,0.0517,0.05,0.051,0.05,0.0505,MODEL-FAILED
4096,Antisymmetry,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Antisymmetry,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Antisymmetry,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Antisymmetry,NullRepresentationControl,0.8282,0.8168,0.7979,0.8183,0.777,0.7853,0.8203,MODEL-PARTIAL
2,Antisymmetry,NullRepresentationControl,0.8166,0.8114,0.8258,0.808,0.7739,0.7796,0.809,MODEL-BOUNDED
4,Antisymmetry,NullRepresentationControl,0.8051,0.805,0.8139,0.7989,0.7776,0.7895,0.7919,MODEL-BOUNDED
6,Antisymmetry,NullRepresentationControl,0.7896,0.8039,0.7852,0.7848,0.7585,0.777,0.7919,MODEL-PARTIAL
8,Antisymmetry,NullRepresentationControl,0.7816,0.786,0.779,0.8012,0.765,0.7488,0.7848,MODEL-PARTIAL
12,Antisymmetry,NullRepresentationControl,0.7897,0.7808,0.7656,0.7928,0.7276,0.7338,0.7692,MODEL-PARTIAL
16,Antisymmetry,NullRepresentationControl,0.775,0.7402,0.7495,0.7579,0.7436,0.7243,0.7298,MODEL-PARTIAL
20,Antisymmetry,NullRepresentationControl,0.7291,0.7547,0.7241,0.7419,0.7148,0.6881,0.7391,MODEL-PARTIAL
24,Antisymmetry,NullRepresentationControl,0.7148,0.7198,0.7089,0.7256,0.6844,0.6776,0.6927,MODEL-PARTIAL
32,Antisymmetry,NullRepresentationControl,0.7086,0.7065,0.6959,0.6905,0.6752,0.6768,0.6649,MODEL-DEGRADING
40,Antisymmetry,NullRepresentationControl,0.6574,0.6822,0.6474,0.6582,0.6385,0.6455,0.6528,MODEL-DEGRADING
48,Antisymmetry,NullRepresentationControl,0.6358,0.6556,0.6387,0.6482,0.6055,0.6033,0.642,MODEL-DEGRADING
64,Antisymmetry,NullRepresentationControl,0.6088,0.599,0.588,0.6032,0.5814,0.5654,0.5755,MODEL-DEGRADING
80,Antisymmetry,NullRepresentationControl,0.5504,0.5718,0.5645,0.5536,0.5333,0.5221,0.5427,MODEL-DEGRADING
96,Antisymmetry,NullRepresentationControl,0.5195,0.5316,0.5195,0.5272,0.4946,0.5078,0.5169,MODEL-FAILED
128,Antisymmetry,NullRepresentationControl,0.4659,0.459,0.4683,0.4664,0.4622,0.442,0.4647,MODEL-FAILED
160,Antisymmetry,NullRepresentationControl,0.4315,0.4212,0.4092,0.4325,0.4043,0.3976,0.4176,MODEL-FAILED
192,Antisymmetry,NullRepresentationControl,0.3807,0.3903,0.3863,0.393,0.3694,0.3741,0.3663,MODEL-FAILED
256,Antisymmetry,NullRepresentationControl,0.3282,0.3336,0.3301,0.3303,0.3121,0.3095,0.3209,MODEL-FAILED
320,Antisymmetry,NullRepresentationControl,0.2773,0.2767,0.2826,0.2834,0.2722,0.2676,0.2761,MODEL-FAILED
512,Antisymmetry,NullRepresentationControl,0.198,0.1992,0.2034,0.2006,0.1981,0.1948,0.1974,MODEL-FAILED
768,Antisymmetry,NullRepresentationControl,0.1454,0.1458,0.146,0.1504,0.1396,0.1377,0.1428,MODEL-FAILED
1024,Antisymmetry,NullRepresentationControl,0.1177,0.1133,0.1129,0.1174,0.1138,0.1084,0.1145,MODEL-FAILED
1536,Antisymmetry,NullRepresentationControl,0.0826,0.0794,0.08,0.0809,0.0764,0.0766,0.0802,MODEL-FAILED
2048,Antisymmetry,NullRepresentationControl,0.062,0.0615,0.0617,0.0628,0.0593,0.0577,0.0611,MODEL-FAILED
3072,Antisymmetry,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Antisymmetry,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Antisymmetry,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Antisymmetry,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Neutral,InternalModelExtraction,0.9471,0.94,0.93,0.9004,0.91,0.9,0.92,MODEL-STABLE
2,Neutral,InternalModelExtraction,0.96,0.9289,0.93,0.895,0.8894,0.8936,0.9038,MODEL-STABLE
4,Neutral,InternalModelExtraction,0.96,0.9263,0.9155,0.9166,0.8798,0.8994,0.9113,MODEL-STABLE
6,Neutral,InternalModelExtraction,0.9339,0.9319,0.9193,0.8844,0.8798,0.8839,0.8991,MODEL-STABLE
8,Neutral,InternalModelExtraction,0.9402,0.8988,0.9031,0.8832,0.8525,0.8504,0.8742,MODEL-BOUNDED
12,Neutral,InternalModelExtraction,0.8877,0.8871,0.8737,0.8563,0.8382,0.8615,0.8581,MODEL-BOUNDED
16,Neutral,InternalModelExtraction,0.8909,0.8787,0.8617,0.8504,0.8358,0.8406,0.8256,MODEL-BOUNDED
20,Neutral,InternalModelExtraction,0.849,0.8593,0.8424,0.8288,0.8056,0.8117,0.8249,MODEL-BOUNDED
24,Neutral,InternalModelExtraction,0.845,0.8438,0.8241,0.8018,0.7962,0.7815,0.7894,MODEL-BOUNDED
32,Neutral,InternalModelExtraction,0.8045,0.8057,0.7888,0.7718,0.7583,0.7689,0.7776,MODEL-PARTIAL
40,Neutral,InternalModelExtraction,0.783,0.7681,0.7706,0.751,0.7359,0.7351,0.7542,MODEL-PARTIAL
48,Neutral,InternalModelExtraction,0.7552,0.7364,0.7249,0.7231,0.6961,0.6971,0.7023,MODEL-PARTIAL
64,Neutral,InternalModelExtraction,0.6831,0.6856,0.6882,0.674,0.6478,0.6428,0.6717,MODEL-DEGRADING
80,Neutral,InternalModelExtraction,0.6535,0.6327,0.6253,0.6238,0.6094,0.6083,0.6322,MODEL-DEGRADING
96,Neutral,InternalModelExtraction,0.5991,0.6046,0.5994,0.5912,0.5653,0.5702,0.5734,MODEL-DEGRADING
128,Neutral,InternalModelExtraction,0.537,0.5414,0.5256,0.5204,0.5046,0.5242,0.5279,MODEL-FAILED
160,Neutral,InternalModelExtraction,0.4828,0.494,0.4823,0.4606,0.4684,0.4586,0.4749,MODEL-FAILED
192,Neutral,InternalModelExtraction,0.4447,0.4446,0.4341,0.4307,0.4194,0.4157,0.4294,MODEL-FAILED
256,Neutral,InternalModelExtraction,0.3859,0.3698,0.3769,0.3687,0.3563,0.3531,0.3689,MODEL-FAILED
320,Neutral,InternalModelExtraction,0.3312,0.3198,0.3175,0.3115,0.3103,0.3128,0.3195,MODEL-FAILED
512,Neutral,InternalModelExtraction,0.2394,0.235,0.2288,0.2223,0.221,0.2193,0.2284,MODEL-FAILED
