depth,sector,condition,robustness_survival_fraction,perturbation_resilience_index,collapse_threshold_depth,hierarchy_resilience_rate,recursive_recovery_strength,coherence_retention,perturbation_drift_bound,efficacy,base_emergence,perturbed_emergence,classification
96,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
128,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
160,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
192,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
256,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
320,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
512,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
768,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
1024,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
1536,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
2048,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
3072,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
4096,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
6144,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
8192,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
12288,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
16384,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9551,0.9551,PERTURBATION-STABLE
24576,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9551,0.9551,PERTURBATION-STABLE
32768,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9551,0.9551,PERTURBATION-STABLE
65536,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.955,0.955,PERTURBATION-STABLE
131072,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9547,0.9547,PERTURBATION-STABLE
262144,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9542,0.9542,PERTURBATION-STABLE
524288,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9532,0.9532,PERTURBATION-STABLE
1048576,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9513,0.9513,PERTURBATION-STABLE
2097152,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9474,0.9474,PERTURBATION-STABLE
4194304,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9398,0.9398,PERTURBATION-STABLE
8388608,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9249,0.9249,PERTURBATION-STABLE
16777216,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8965,0.8965,PERTURBATION-STABLE
33554432,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8445,0.8445,PERTURBATION-STABLE
67108864,Projection,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.7568,0.7568,PERTURBATION-STABLE
1,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
2,Projection,LowGaussianNoise,0.9389,0.9389,0.0,1.0,0.9389,0.9355,0.0611,0.975,0.9552,0.8968,PERTURBATION-STABLE
4,Projection,LowGaussianNoise,0.9806,0.9806,0.0,1.0,0.9806,0.9795,0.0194,0.975,0.9552,0.9366,PERTURBATION-STABLE
6,Projection,LowGaussianNoise,0.993,0.993,0.0,1.0,0.993,0.9926,0.007,0.975,0.9552,0.9485,PERTURBATION-STABLE
8,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
12,Projection,LowGaussianNoise,0.9753,0.9753,0.0,1.0,0.9753,0.974,0.0247,0.975,0.9552,0.9317,PERTURBATION-STABLE
16,Projection,LowGaussianNoise,0.9851,0.9851,0.0,1.0,0.9851,0.9842,0.0149,0.975,0.9552,0.9409,PERTURBATION-STABLE
20,Projection,LowGaussianNoise,0.9988,0.9988,0.0,1.0,0.9988,0.9988,0.0012,0.975,0.9552,0.9541,PERTURBATION-STABLE
24,Projection,LowGaussianNoise,0.9665,0.9665,0.0,1.0,0.9665,0.9646,0.0335,0.975,0.9552,0.9232,PERTURBATION-STABLE
32,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
40,Projection,LowGaussianNoise,0.9853,0.9853,0.0,1.0,0.9853,0.9845,0.0147,0.975,0.9552,0.9412,PERTURBATION-STABLE
48,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.9656,PERTURBATION-STABLE
64,Projection,LowGaussianNoise,0.9926,0.9926,0.0,1.0,0.9926,0.9922,0.0074,0.975,0.9552,0.9482,PERTURBATION-STABLE
80,Projection,LowGaussianNoise,0.9717,0.9717,0.0,1.0,0.9717,0.9701,0.0283,0.975,0.9552,0.9281,PERTURBATION-STABLE
96,Projection,LowGaussianNoise,0.9466,0.9466,0.0,1.0,0.9466,0.9436,0.0534,0.975,0.9552,0.9042,PERTURBATION-STABLE
128,Projection,LowGaussianNoise,0.9136,0.9136,0.0,1.0,0.9136,0.9088,0.0864,0.975,0.9552,0.8726,PERTURBATION-STABLE
160,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.9609,PERTURBATION-STABLE
192,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
256,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
320,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
512,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
768,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
1024,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
1536,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
2048,Projection,LowGaussianNoise,0.9995,0.9995,0.0,1.0,0.9995,0.9994,0.0005,0.975,0.9552,0.9547,PERTURBATION-STABLE
3072,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
4096,Projection,LowGaussianNoise,0.9787,0.9787,0.0,1.0,0.9787,0.9775,0.0213,0.975,0.9552,0.9348,PERTURBATION-STABLE
6144,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.97,PERTURBATION-STABLE
8192,Projection,LowGaussianNoise,0.9925,0.9925,0.0,1.0,0.9925,0.9921,0.0075,0.975,0.9552,0.948,PERTURBATION-STABLE
12288,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9552,0.9568,PERTURBATION-STABLE
16384,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9551,0.97,PERTURBATION-STABLE
24576,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9551,0.9697,PERTURBATION-STABLE
32768,Projection,LowGaussianNoise,0.9862,0.9862,0.0,1.0,0.9862,0.9854,0.0138,0.975,0.9551,0.9419,PERTURBATION-STABLE
65536,Projection,LowGaussianNoise,0.9516,0.9516,0.0,1.0,0.9516,0.9489,0.0484,0.975,0.955,0.9087,PERTURBATION-STABLE
131072,Projection,LowGaussianNoise,0.9418,0.9418,0.0,1.0,0.9418,0.9386,0.0582,0.975,0.9547,0.8992,PERTURBATION-STABLE
262144,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9542,0.97,PERTURBATION-STABLE
524288,Projection,LowGaussianNoise,0.9571,0.9571,0.0,1.0,0.9571,0.9547,0.0429,0.975,0.9532,0.9123,PERTURBATION-STABLE
1048576,Projection,LowGaussianNoise,0.9657,0.9657,0.0,1.0,0.9657,0.9638,0.0343,0.975,0.9513,0.9187,PERTURBATION-STABLE
2097152,Projection,LowGaussianNoise,0.9537,0.9537,0.0,1.0,0.9537,0.9511,0.0463,0.975,0.9474,0.9036,PERTURBATION-STABLE
4194304,Projection,LowGaussianNoise,0.9429,0.9429,0.0,1.0,0.9429,0.9397,0.0571,0.975,0.9398,0.8861,PERTURBATION-STABLE
8388608,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9249,0.9323,PERTURBATION-STABLE
16777216,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.8965,0.9277,PERTURBATION-STABLE
33554432,Projection,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.8445,0.8495,PERTURBATION-STABLE
67108864,Projection,LowGaussianNoise,0.9225,0.9225,0.0,1.0,0.9225,0.917,0.0775,0.975,0.7568,0.6981,PERTURBATION-STABLE
1,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
2,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
4,Projection,ModerateGaussianNoise,0.901,0.901,0.0,1.0,0.901,0.8955,0.099,0.925,0.9552,0.8606,PERTURBATION-STABLE
6,Projection,ModerateGaussianNoise,0.8299,0.8299,0.0,1.0,0.8299,0.8205,0.1701,0.925,0.9552,0.7927,PERTURBATION-STABLE
8,Projection,ModerateGaussianNoise,0.9396,0.9396,0.0,1.0,0.9396,0.9362,0.0604,0.925,0.9552,0.8975,PERTURBATION-STABLE
12,Projection,ModerateGaussianNoise,0.779,0.779,0.0,1.0,0.779,0.7668,0.221,0.925,0.9552,0.7441,PERTURBATION-BOUNDED
16,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
20,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
24,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
32,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
40,Projection,ModerateGaussianNoise,0.7952,0.7952,0.0,1.0,0.7952,0.7839,0.2048,0.925,0.9552,0.7596,PERTURBATION-BOUNDED
48,Projection,ModerateGaussianNoise,0.839,0.839,0.0,1.0,0.839,0.8301,0.161,0.925,0.9552,0.8014,PERTURBATION-STABLE
64,Projection,ModerateGaussianNoise,0.9666,0.9666,0.0,1.0,0.9666,0.9647,0.0334,0.925,0.9552,0.9233,PERTURBATION-STABLE
80,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
96,Projection,ModerateGaussianNoise,0.8121,0.8121,0.0,1.0,0.8121,0.8017,0.1879,0.925,0.9552,0.7757,PERTURBATION-STABLE
128,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
160,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
192,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
256,Projection,ModerateGaussianNoise,0.9078,0.9078,0.0,1.0,0.9078,0.9027,0.0922,0.925,0.9552,0.8671,PERTURBATION-STABLE
320,Projection,ModerateGaussianNoise,0.9407,0.9407,0.0,1.0,0.9407,0.9374,0.0593,0.925,0.9552,0.8985,PERTURBATION-STABLE
512,Projection,ModerateGaussianNoise,0.9361,0.9361,0.0,1.0,0.9361,0.9326,0.0639,0.925,0.9552,0.8942,PERTURBATION-STABLE
768,Projection,ModerateGaussianNoise,0.8091,0.8091,0.0,1.0,0.8091,0.7986,0.1909,0.925,0.9552,0.7729,PERTURBATION-BOUNDED
1024,Projection,ModerateGaussianNoise,0.9632,0.9632,0.0,1.0,0.9632,0.9611,0.0368,0.925,0.9552,0.92,PERTURBATION-STABLE
1536,Projection,ModerateGaussianNoise,0.8993,0.8993,0.0,1.0,0.8993,0.8938,0.1007,0.925,0.9552,0.859,PERTURBATION-STABLE
2048,Projection,ModerateGaussianNoise,0.7275,0.7275,0.0,1.0,0.7275,0.7125,0.2725,0.925,0.9552,0.6949,PERTURBATION-BOUNDED
3072,Projection,ModerateGaussianNoise,0.9852,0.9852,0.0,1.0,0.9852,0.9844,0.0148,0.925,0.9552,0.9411,PERTURBATION-STABLE
4096,Projection,ModerateGaussianNoise,0.917,0.917,0.0,1.0,0.917,0.9125,0.083,0.925,0.9552,0.8759,PERTURBATION-STABLE
6144,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9552,0.97,PERTURBATION-STABLE
8192,Projection,ModerateGaussianNoise,0.9471,0.9471,0.0,1.0,0.9471,0.9442,0.0529,0.925,0.9552,0.9046,PERTURBATION-STABLE
12288,Projection,ModerateGaussianNoise,0.956,0.956,0.0,1.0,0.956,0.9536,0.044,0.925,0.9552,0.9132,PERTURBATION-STABLE
16384,Projection,ModerateGaussianNoise,0.7905,0.7905,0.0,1.0,0.7905,0.7789,0.2095,0.925,0.9551,0.755,PERTURBATION-BOUNDED
24576,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9551,0.97,PERTURBATION-STABLE
32768,Projection,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9551,0.9633,PERTURBATION-STABLE
65536,Projection,ModerateGaussianNoise,0.8105,0.8105,0.0,1.0,0.8105,0.8,0.1895,0.925,0.955,0.774,PERTURBATION-BOUNDED
131072,Projection,ModerateGaussianNoise,0.8729,0.8729,0.0,1.0,0.8729,0.8659,0.1271,0.925,0.9547,0.8334,PERTURBATION-STABLE
262144,Projection,ModerateGaussianNoise,0.8722,0.8722,0.0,1.0,0.8722,0.8652,0.1278,0.925,0.9542,0.8323,PERTURBATION-STABLE
524288,Projection,ModerateGaussianNoise,0.92,0.92,0.0,1.0,0.92,0.9155,0.08,0.925,0.9532,0.877,PERTURBATION-STABLE
1048576,Projection,ModerateGaussianNoise,0.7146,0.7146,0.0,1.0,0.7146,0.6988,0.2854,0.925,0.9513,0.6798,PERTURBATION-BOUNDED
2097152,Projection,ModerateGaussianNoise,0.9227,0.9227,0.0,1.0,0.9227,0.9184,0.0773,0.925,0.9474,0.8742,PERTURBATION-STABLE
4194304,Projection,ModerateGaussianNoise,0.9997,0.9997,0.0,1.0,0.9997,0.9997,0.0003,0.925,0.9398,0.9395,PERTURBATION-STABLE
8388608,Projection,ModerateGaussianNoise,0.6923,0.6923,0.0,1.0,0.6923,0.6747,0.3077,0.925,0.9249,0.6403,PERTURBATION-BOUNDED
16777216,Projection,ModerateGaussianNoise,0.9919,0.9919,0.0,1.0,0.9919,0.9914,0.0081,0.925,0.8965,0.8892,PERTURBATION-STABLE
33554432,Projection,ModerateGaussianNoise,0.8112,0.8112,0.0,1.0,0.8112,0.7993,0.1888,0.925,0.8445,0.6851,PERTURBATION-BOUNDED
67108864,Projection,ModerateGaussianNoise,0.9267,0.9267,0.0,1.0,0.9267,0.9215,0.0733,0.925,0.7568,0.7013,PERTURBATION-STABLE
1,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
2,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
4,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
6,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
8,Projection,HighGaussianNoise,0.6476,0.6476,0.0,1.0,0.6476,0.6281,0.3524,0.825,0.9552,0.6186,PERTURBATION-BOUNDED
12,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
16,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
20,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
24,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
32,Projection,HighGaussianNoise,0.6326,0.6326,0.0,1.0,0.6326,0.6123,0.3674,0.825,0.9552,0.6043,PERTURBATION-BOUNDED
40,Projection,HighGaussianNoise,0.5479,0.5479,0.0,1.0,0.5479,0.523,0.4521,0.825,0.9552,0.5234,PERTURBATION-DEGRADING
48,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
64,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
80,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
96,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
128,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
160,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
192,Projection,HighGaussianNoise,0.8159,0.8159,0.0,1.0,0.8159,0.8057,0.1841,0.825,0.9552,0.7794,PERTURBATION-STABLE
256,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
320,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
512,Projection,HighGaussianNoise,0.8953,0.8953,0.0,1.0,0.8953,0.8895,0.1047,0.825,0.9552,0.8552,PERTURBATION-STABLE
768,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
1024,Projection,HighGaussianNoise,0.8254,0.8254,0.0,1.0,0.8254,0.8157,0.1746,0.825,0.9552,0.7884,PERTURBATION-STABLE
1536,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
2048,Projection,HighGaussianNoise,0.0523,0.0523,2048.0,1.0,0.0523,0.0,0.9477,0.825,0.9552,0.05,PERTURBATION-FAILED
3072,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
4096,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
6144,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9552,0.97,PERTURBATION-STABLE
8192,Projection,HighGaussianNoise,0.787,0.787,0.0,1.0,0.787,0.7752,0.213,0.825,0.9552,0.7517,PERTURBATION-BOUNDED
12288,Projection,HighGaussianNoise,0.73,0.73,0.0,1.0,0.73,0.7151,0.27,0.825,0.9552,0.6973,PERTURBATION-BOUNDED
16384,Projection,HighGaussianNoise,0.4145,0.4145,16384.0,1.0,0.4145,0.3822,0.5855,0.825,0.9551,0.3959,PERTURBATION-FAILED
24576,Projection,HighGaussianNoise,0.7453,0.7453,0.0,1.0,0.7453,0.7313,0.2547,0.825,0.9551,0.7119,PERTURBATION-BOUNDED
32768,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9551,0.97,PERTURBATION-STABLE
65536,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.955,0.97,PERTURBATION-STABLE
131072,Projection,HighGaussianNoise,0.7612,0.7612,0.0,1.0,0.7612,0.748,0.2388,0.825,0.9547,0.7267,PERTURBATION-BOUNDED
262144,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9542,0.97,PERTURBATION-STABLE
524288,Projection,HighGaussianNoise,0.4807,0.4807,524288.0,1.0,0.4807,0.452,0.5193,0.825,0.9532,0.4582,PERTURBATION-DEGRADING
1048576,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9513,0.97,PERTURBATION-STABLE
2097152,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9474,0.97,PERTURBATION-STABLE
4194304,Projection,HighGaussianNoise,0.8252,0.8252,0.0,1.0,0.8252,0.8154,0.1748,0.825,0.9398,0.7755,PERTURBATION-STABLE
8388608,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9249,0.97,PERTURBATION-STABLE
16777216,Projection,HighGaussianNoise,0.9571,0.9571,0.0,1.0,0.9571,0.9546,0.0429,0.825,0.8965,0.858,PERTURBATION-STABLE
33554432,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.8445,0.97,PERTURBATION-STABLE
67108864,Projection,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.7568,0.7889,PERTURBATION-STABLE
1,Projection,AdversarialRecursivePerturbation,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9552,0.9552,PERTURBATION-STABLE
2,Projection,AdversarialRecursivePerturbation,0.9942,0.9942,0.0,1.0,0.9942,0.9939,0.0058,0.9957,0.9552,0.9497,PERTURBATION-STABLE
4,Projection,AdversarialRecursivePerturbation,0.9885,0.9885,0.0,1.0,0.9885,0.9878,0.0115,0.9913,0.9552,0.9442,PERTURBATION-STABLE
6,Projection,AdversarialRecursivePerturbation,0.9851,0.9851,0.0,1.0,0.9851,0.9843,0.0149,0.9888,0.9552,0.941,PERTURBATION-STABLE
8,Projection,AdversarialRecursivePerturbation,0.9827,0.9827,0.0,1.0,0.9827,0.9817,0.0173,0.987,0.9552,0.9387,PERTURBATION-STABLE
12,Projection,AdversarialRecursivePerturbation,0.9793,0.9793,0.0,1.0,0.9793,0.9782,0.0207,0.9845,0.9552,0.9354,PERTURBATION-STABLE
16,Projection,AdversarialRecursivePerturbation,0.9769,0.9769,0.0,1.0,0.9769,0.9756,0.0231,0.9827,0.9552,0.9332,PERTURBATION-STABLE
20,Projection,AdversarialRecursivePerturbation,0.9751,0.9751,0.0,1.0,0.9751,0.9737,0.0249,0.9813,0.9552,0.9314,PERTURBATION-STABLE
24,Projection,AdversarialRecursivePerturbation,0.9735,0.9735,0.0,1.0,0.9735,0.9721,0.0265,0.9802,0.9552,0.9299,PERTURBATION-STABLE
32,Projection,AdversarialRecursivePerturbation,0.9712,0.9712,0.0,1.0,0.9712,0.9696,0.0288,0.9784,0.9552,0.9276,PERTURBATION-STABLE
40,Projection,AdversarialRecursivePerturbation,0.9693,0.9693,0.0,1.0,0.9693,0.9676,0.0307,0.977,0.9552,0.9259,PERTURBATION-STABLE
48,Projection,AdversarialRecursivePerturbation,0.9678,0.9678,0.0,1.0,0.9678,0.966,0.0322,0.9758,0.9552,0.9244,PERTURBATION-STABLE
64,Projection,AdversarialRecursivePerturbation,0.9654,0.9654,0.0,1.0,0.9654,0.9635,0.0346,0.974,0.9552,0.9221,PERTURBATION-STABLE
80,Projection,AdversarialRecursivePerturbation,0.9635,0.9635,0.0,1.0,0.9635,0.9615,0.0365,0.9726,0.9552,0.9204,PERTURBATION-STABLE
96,Projection,AdversarialRecursivePerturbation,0.962,0.962,0.0,1.0,0.962,0.9599,0.038,0.9715,0.9552,0.9189,PERTURBATION-STABLE
128,Projection,AdversarialRecursivePerturbation,0.9596,0.9596,0.0,1.0,0.9596,0.9574,0.0404,0.9697,0.9552,0.9166,PERTURBATION-STABLE
160,Projection,AdversarialRecursivePerturbation,0.9578,0.9578,0.0,1.0,0.9578,0.9554,0.0422,0.9683,0.9552,0.9148,PERTURBATION-STABLE
192,Projection,AdversarialRecursivePerturbation,0.9562,0.9562,0.0,1.0,0.9562,0.9538,0.0438,0.9672,0.9552,0.9134,PERTURBATION-STABLE
256,Projection,AdversarialRecursivePerturbation,0.9538,0.9538,0.0,1.0,0.9538,0.9513,0.0462,0.9654,0.9552,0.9111,PERTURBATION-STABLE
320,Projection,AdversarialRecursivePerturbation,0.952,0.952,0.0,1.0,0.952,0.9493,0.048,0.964,0.9552,0.9093,PERTURBATION-STABLE
512,Projection,AdversarialRecursivePerturbation,0.9481,0.9481,0.0,1.0,0.9481,0.9452,0.0519,0.9611,0.9552,0.9056,PERTURBATION-STABLE
768,Projection,AdversarialRecursivePerturbation,0.9447,0.9447,0.0,1.0,0.9447,0.9416,0.0553,0.9585,0.9552,0.9024,PERTURBATION-STABLE
