depth,sector,condition,rg_similarity,wave_coherence,interference_stability,standing_mode_persistence,oscillatory_transport_alignment,recursive_mode_synchronization,interference_gain,classification
2,Projection,NullWaveControl,0.7601,0.7082,0.7311,0.7105,0.6856,0.6689,0.7064,WAVE-PARTIAL
4,Projection,NullWaveControl,0.7489,0.7452,0.6979,0.7059,0.7075,0.6961,0.6958,WAVE-PARTIAL
6,Projection,NullWaveControl,0.7777,0.7325,0.7343,0.6921,0.6787,0.6793,0.6986,WAVE-PARTIAL
8,Projection,NullWaveControl,0.75,0.7194,0.7297,0.6962,0.7123,0.6875,0.7215,WAVE-PARTIAL
12,Projection,NullWaveControl,0.7476,0.7069,0.7274,0.6977,0.6815,0.6749,0.6939,WAVE-PARTIAL
16,Projection,NullWaveControl,0.7842,0.7166,0.7233,0.7022,0.6901,0.6807,0.6985,WAVE-PARTIAL
20,Projection,NullWaveControl,0.7578,0.7414,0.7217,0.7201,0.704,0.6701,0.7034,WAVE-PARTIAL
24,Projection,NullWaveControl,0.7515,0.7449,0.6967,0.6898,0.7098,0.6733,0.7076,WAVE-PARTIAL
32,Projection,NullWaveControl,0.7775,0.7438,0.7208,0.7095,0.693,0.6927,0.7049,WAVE-PARTIAL
40,Projection,NullWaveControl,0.7845,0.7059,0.7335,0.7236,0.6999,0.6798,0.7026,WAVE-PARTIAL
48,Projection,NullWaveControl,0.7705,0.7412,0.7016,0.7023,0.6764,0.6834,0.7159,WAVE-PARTIAL
64,Projection,NullWaveControl,0.7628,0.7445,0.7326,0.715,0.68,0.6822,0.6925,WAVE-PARTIAL
80,Projection,NullWaveControl,0.7567,0.7163,0.7058,0.7166,0.687,0.6685,0.7071,WAVE-PARTIAL
96,Projection,NullWaveControl,0.764,0.7412,0.7065,0.7088,0.6938,0.6895,0.7127,WAVE-PARTIAL
128,Projection,NullWaveControl,0.7859,0.7398,0.7158,0.6933,0.6876,0.6966,0.6897,WAVE-PARTIAL
160,Projection,NullWaveControl,0.7867,0.7356,0.7057,0.7253,0.6953,0.68,0.7114,WAVE-PARTIAL
192,Projection,NullWaveControl,0.7588,0.7147,0.7328,0.7114,0.6811,0.6969,0.6972,WAVE-PARTIAL
256,Projection,NullWaveControl,0.7651,0.7224,0.6956,0.7011,0.6928,0.6779,0.708,WAVE-PARTIAL
320,Projection,NullWaveControl,0.7593,0.72,0.7292,0.7162,0.6758,0.6685,0.6954,WAVE-PARTIAL
512,Projection,NullWaveControl,0.7493,0.7087,0.7252,0.7053,0.6793,0.6835,0.7117,WAVE-PARTIAL
768,Projection,NullWaveControl,0.7846,0.7359,0.7328,0.703,0.6996,0.6787,0.6857,WAVE-PARTIAL
1024,Projection,NullWaveControl,0.7836,0.7092,0.7058,0.7162,0.6837,0.6915,0.7205,WAVE-PARTIAL
1536,Projection,NullWaveControl,0.7716,0.7118,0.7087,0.6905,0.6759,0.6969,0.7233,WAVE-PARTIAL
2048,Projection,NullWaveControl,0.777,0.7056,0.7123,0.7093,0.7017,0.6715,0.7169,WAVE-PARTIAL
3072,Projection,NullWaveControl,0.7586,0.7245,0.7149,0.6896,0.7098,0.6801,0.7107,WAVE-PARTIAL
4096,Projection,NullWaveControl,0.784,0.7063,0.7148,0.71,0.7069,0.7035,0.7232,WAVE-PARTIAL
6144,Projection,NullWaveControl,0.7564,0.7382,0.7036,0.7187,0.6843,0.6783,0.71,WAVE-PARTIAL
8192,Projection,NullWaveControl,0.7764,0.743,0.7099,0.7153,0.6757,0.6873,0.7149,WAVE-PARTIAL
12288,Projection,NullWaveControl,0.7603,0.728,0.6985,0.7118,0.7123,0.6859,0.6911,WAVE-PARTIAL
16384,Projection,NullWaveControl,0.7759,0.7125,0.7183,0.6872,0.7085,0.6884,0.7195,WAVE-PARTIAL
24576,Projection,NullWaveControl,0.7546,0.7363,0.7287,0.7115,0.7017,0.6886,0.6878,WAVE-PARTIAL
32768,Projection,NullWaveControl,0.7482,0.7153,0.7116,0.7191,0.6934,0.6715,0.6855,WAVE-PARTIAL
65536,Projection,NullWaveControl,0.7749,0.741,0.6979,0.7143,0.7015,0.699,0.6841,WAVE-PARTIAL
131072,Projection,NullWaveControl,0.7635,0.736,0.6983,0.7037,0.6986,0.6609,0.7011,WAVE-PARTIAL
262144,Projection,NullWaveControl,0.771,0.73,0.719,0.6831,0.7008,0.6764,0.6933,WAVE-PARTIAL
524288,Projection,NullWaveControl,0.7593,0.6899,0.683,0.6743,0.666,0.6738,0.6693,WAVE-DEGRADING
1048576,Projection,NullWaveControl,0.7336,0.6803,0.6684,0.6547,0.6615,0.6443,0.6661,WAVE-DEGRADING
2097152,Projection,NullWaveControl,0.6702,0.6309,0.6368,0.608,0.6299,0.6023,0.6263,WAVE-DEGRADING
4194304,Projection,NullWaveControl,0.6062,0.5656,0.5605,0.5629,0.5408,0.5276,0.5679,WAVE-DEGRADING
1,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Antisymmetry,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Antisymmetry,WaveModeExtraction,0.96,0.9564,0.9282,0.93,0.92,0.9022,0.93,WAVE-STABLE
1048576,Antisymmetry,WaveModeExtraction,0.96,0.96,0.933,0.8986,0.9069,0.8749,0.9026,WAVE-STABLE
2097152,Antisymmetry,WaveModeExtraction,0.9028,0.8755,0.8634,0.8755,0.8543,0.8513,0.8374,WAVE-BOUNDED
4194304,Antisymmetry,WaveModeExtraction,0.8102,0.8031,0.7704,0.7634,0.7589,0.7556,0.7724,WAVE-BOUNDED
1,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.956,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.9394,0.94,0.93,0.9107,0.91,0.93,WAVE-STABLE
1048576,Antisymmetry,RecursiveInterferenceCoherence,0.96,0.9433,0.9362,0.9236,0.8983,0.91,0.9248,WAVE-STABLE
2097152,Antisymmetry,RecursiveInterferenceCoherence,0.9142,0.8669,0.8762,0.8565,0.8517,0.8674,0.8701,WAVE-BOUNDED
4194304,Antisymmetry,RecursiveInterferenceCoherence,0.8124,0.7801,0.7946,0.7698,0.753,0.7561,0.7731,WAVE-PARTIAL
1,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Antisymmetry,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Antisymmetry,StandingModePersistence,0.96,0.96,0.9356,0.93,0.9189,0.91,0.93,WAVE-STABLE
1048576,Antisymmetry,StandingModePersistence,0.96,0.9242,0.9191,0.93,0.9145,0.9052,0.9075,WAVE-STABLE
2097152,Antisymmetry,StandingModePersistence,0.9237,0.8875,0.8565,0.8961,0.8291,0.8453,0.8673,WAVE-BOUNDED
4194304,Antisymmetry,StandingModePersistence,0.8324,0.7772,0.7706,0.7793,0.7461,0.7624,0.7511,WAVE-PARTIAL
1,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Antisymmetry,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Antisymmetry,OscillatoryTransportStability,0.96,0.9537,0.94,0.9215,0.92,0.91,0.93,WAVE-STABLE
1048576,Antisymmetry,OscillatoryTransportStability,0.96,0.9431,0.9351,0.923,0.9118,0.9036,0.9017,WAVE-STABLE
2097152,Antisymmetry,OscillatoryTransportStability,0.9042,0.8657,0.8638,0.8473,0.8836,0.8211,0.8538,WAVE-BOUNDED
4194304,Antisymmetry,OscillatoryTransportStability,0.8031,0.7752,0.7671,0.7572,0.7852,0.7597,0.7829,WAVE-PARTIAL
1,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
