domain,sys_idx,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score,process_regime_tg,dominant_operator,operator_continuity,operator_rupture,operator_curvature,transition_smoothness_tg,recursive_closure,operator_reversibility,compositional_stability,operator_neighborhood_entropy,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts,self_prediction,internal_continuity,self_model_consistency,closure_adaptation,forecast_stability,self_alignment,temporal_self_coherence,perturbation_anticipation,self_prediction_norm,internal_continuity_norm,self_model_consistency_norm,closure_adaptation_norm,forecast_stability_norm,self_alignment_norm,temporal_self_coherence_norm,perturbation_anticipation_norm,self_reference_composite
cellular_automata,55,CL,1.0,0.0,0.0442,0.00081,1.0,0.0442,0.0,0.0,0.0,0.211,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0442,0.0442,0.00081,0.0,,,,,,,0.0442,1.0,0.0,0.0,3.5802e-05,0.013753438482901559,0.0,,0.044199999995580004,0.9999999999,0.0,0.0,4.430404311711946e-05,0.013753438358214506,0.0,,0.1511425346138445
cellular_automata,56,RG,1.0,0.0,0.3245,0.011315,1.0,0.3245,0.0,0.0,0.0,0.2811,RG,op_diffusion,1.0,0.0,0.0,1.0,0.3245,0.3245,0.011315,0.0,,,,,,,0.3245,1.0,0.0,0.0,0.0036717175000000003,0.10140035019987503,0.0,,0.32449999996755,0.9999999999,0.0,0.0,0.004543654835871797,0.10140035007738189,0.0,,0.2043491435401148
cellular_automata,57,CL,1.0,0.0,0.0,5e-06,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,5e-06,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,58,CL,1.0,0.0,0.0,0.000452,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,0.000452,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,59,CL,1.0,0.0,0.0,0.00015,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,0.00015,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,60,CL,1.0,0.0,0.0,5.6e-05,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,5.6e-05,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,61,RG,1.0,0.0,0.0132,0.000177,1.0,0.0132,0.0,0.0,0.0,0.2033,RG,op_diffusion,1.0,0.0,0.010887,1.0,0.0132,0.0132,0.000177,0.0,,,,,,,0.0132,1.0,0.0,0.0,2.3363999999999998e-06,0.004126031632392446,0.0,,0.01319999999868,0.9999999999,0.0,0.0,2.8912341863258448e-06,0.004126031507464408,0.0,,0.14533270323433298
cellular_automata,62,CL,1.0,0.0,0.0,0.000102,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,0.000102,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,63,CL,1.0,0.0,0.2727,0.002383,1.0,0.2727,0.0,0.0,0.0,0.2682,CL,op_diffusion,1.0,0.0,0.0,1.0,0.2727,0.2727,0.002383,0.0,,,,,,,0.2727,1.0,0.0,0.0,0.0006498441,0.08527131794382714,0.0,,0.27269999997273,0.9999999999,0.0,0.0,0.0008041651590918298,0.08527131782093028,0.0,,0.19411078326467887
cellular_automata,64,CL,1.0,0.0,0.0,5e-06,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,5e-06,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,65,CL,1.0,0.0,0.2,0.001733,1.0,0.2,0.0,0.0,0.0,0.25,CL,op_diffusion,1.0,0.0,0.0,1.0,0.2,0.2,0.001733,0.0,,,,,,,0.2,1.0,0.0,0.0,0.0003466,0.06251562902444174,0.0,,0.19999999998,0.9999999999,0.0,0.0,0.0004289084784200214,0.06251562890097527,0.0,,0.1804206481799136
cellular_automata,66,CL,1.0,0.0,0.3636,0.004058,1.0,0.3636,0.0,0.0,0.0,0.2909,CL,op_diffusion,1.0,0.0,0.0,1.0,0.3636,0.3636,0.004058,0.0,,,,,,,0.3636,1.0,0.0,0.0,0.0014754888,0.11365341346415936,0.0,,0.36359999996363995,0.9999999999,0.0,0.0,0.001825878984806068,0.11365341334197293,0.0,,0.21129704174148842
cellular_automata,67,CL,1.0,0.0,0.0,0.000108,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,0.000108,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,68,CL,1.0,0.0,0.2194,0.002726,1.0,0.2194,0.0,0.0,0.0,0.2549,CL,op_diffusion,1.0,0.0,0.0,1.0,0.2194,0.2194,0.002726,0.0,,,,,,,0.2194,1.0,0.0,0.0,0.0005980844000000001,0.06864216065658402,0.0,,0.21939999997806,0.9999999999,0.0,0.0,0.0007401138775843954,0.06864216053327091,0.0,,0.18411175346984504
cellular_automata,69,CL,1.0,0.0,0.0,4.9e-05,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,4.9e-05,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,70,CL,0.9667,0.0,0.0,2.3e-05,1.0,0.0,0.0,0.0,0.0,0.1933,CL,op_diffusion,0.9667,0.0333,0.005072,1.0,0.0,0.0,2.3e-05,0.2108,,,,,,,0.0,0.9667,0.0,0.0,0.0,0.03325831469951768,0.0,,0.0,0.96669999990333,0.0,0.0,0.0,0.03325831457531886,0.0,,0.14285118778266412
cellular_automata,71,RG,1.0,0.0,0.0199,0.000327,1.0,0.0199,0.0,0.0,0.0,0.205,RG,op_diffusion,1.0,0.0,0.016801,1.0,0.0199,0.0199,0.000327,0.0,,,,,,,0.0199,1.0,0.0,0.0,6.5072999999999995e-06,0.006251563014972317,0.0,,0.019899999998010003,0.9999999999,0.0,0.0,8.052614372829212e-06,0.006251562890097483,0.0,,0.1465942307717829
cellular_automata,72,CL,1.0,0.0,0.0433,0.006006,1.0,0.0433,0.0,0.0,0.0,0.2108,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0433,0.0433,0.006006,0.0,,,,,,,0.0433,1.0,0.0,0.0,0.0002600598,0.013503375967303999,0.0,,0.04329999999567,0.9999999999,0.0,0.0,0.00032181723345705443,0.013503375842610688,0.0,,0.15101788471024827
cellular_automata,73,CL,1.0,0.0,0.0238,0.000242,1.0,0.0238,0.0,0.0,0.0,0.206,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0238,0.0238,0.000242,0.0,,,,,,,0.0238,1.0,0.0,0.0,5.759600000000001e-06,0.007501875592960561,0.0,,0.023799999997620003,0.9999999999,0.0,0.0,7.12735508455844e-06,0.007501875468117024,0.0,,0.14732985753154595
cellular_automata,74,CL,1.0,0.0,0.011,0.000196,1.0,0.011,0.0,0.0,0.0,0.2028,CL,op_diffusion,1.0,0.0,0.0,1.0,0.011,0.011,0.000196,0.0,,,,,,,0.011,1.0,0.0,0.0,2.1559999999999998e-06,0.0035008753433982687,0.0,,0.010999999998899999,0.9999999999,0.0,0.0,2.667993881920271e-06,0.0035008752184545813,0.0,,0.1449290775873195
cellular_automata,75,CL,1.0,0.0,0.0,4.1e-05,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,4.1e-05,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,76,RG,0.8,0.0,0.053,0.000412,1.0,0.053,0.0,0.0,0.0,0.1732,RG,op_diffusion,0.8,0.2,0.025186,1.0,0.053,0.053,0.000412,0.7219,,,,,,,0.0424,0.8,0.0,0.0,2.1836e-05,0.21655413863258888,0.0,,0.04239999999576,0.79999999992,0.0,0.0,2.7021481635255585e-05,0.2165541385129782,0.0,,0.1512830228443391
cellular_automata,77,CL,1.0,0.0,0.3333,0.002479,1.0,0.3333,0.0,0.0,0.0,0.2833,CL,op_diffusion,1.0,0.0,0.0,1.0,0.3333,0.3333,0.002479,0.0,,,,,,,0.3333,1.0,0.0,0.0,0.0008262507,0.10415103787144908,0.0,,0.33329999996667,0.9999999999,0.0,0.0,0.0010224637349407891,0.1041510377490248,0.0,,0.20549621447866223
cellular_automata,78,CL,1.0,0.0,0.0,5e-06,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,5e-06,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,79,CL,1.0,0.0,0.0,6.1e-05,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,6.1e-05,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,80,RG,1.0,0.0,0.149,0.010138,1.0,0.149,0.0,0.0,0.0,0.2373,RG,op_diffusion,1.0,0.0,0.0,1.0,0.149,0.149,0.010138,0.0,,,,,,,0.149,1.0,0.0,0.0,0.0015105619999999998,0.04663665928399152,0.0,,0.1489999999851,0.9999999999,0.0,0.0,0.0018692811568929723,0.04663665916012758,0.0,,0.17107227717173148
cellular_automata,81,RG,0.9,0.0,0.0397,0.000407,1.0,0.0397,0.0,0.0,0.0,0.1899,RG,op_diffusion,0.9,0.1,0.022632,1.0,0.0397,0.0397,0.000407,0.469,,,,,,,0.03573,0.9,0.0,0.0,1.61579e-05,0.11240310088617134,0.0,,0.035729999996426995,0.89999999991,0.0,0.0,1.9994980679350442e-05,0.11240310076395361,0.0,,0.14973615652158
cellular_automata,82,RG,0.9667,0.0,0.0397,0.000365,1.0,0.0397,0.0,0.0,0.0,0.2033,RG,op_diffusion,0.9667,0.0333,0.012912,1.0,0.0397,0.0397,0.000365,0.2108,,,,,,,0.03837799,0.9667,0.0,0.0,1.44905e-05,0.045761440479399784,0.0,,0.0383779899961622,0.96669999990333,0.0,0.0,1.7931616579761452e-05,0.04576144035551393,0.0,,0.15012248026736938
cellular_automata,83,CL,1.0,0.0,0.2,0.015565,1.0,0.2,0.0,0.0,0.0,0.25,CL,op_diffusion,1.0,0.0,0.0,1.0,0.2,0.2,0.015565,0.0,,,,,,,0.2,1.0,0.0,0.0,0.0031130000000000003,0.06251562902444174,0.0,,0.19999999998,0.9999999999,0.0,0.0,0.0038522564723644736,0.06251562890097527,0.0,,0.18090969789333425
cellular_automata,84,CL,1.0,0.0,0.0,3.3e-05,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,3.3e-05,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,85,CL,1.0,0.0,0.0773,0.001176,1.0,0.0773,0.0,0.0,0.0,0.2193,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0773,0.0773,0.001176,0.0,,,,,,,0.0773,1.0,0.0,0.0,9.090479999999998e-05,0.024131032880203795,0.0,,0.07729999999227,0.9999999999,0.0,0.0,0.00011249232385769288,0.024131032755776508,0.0,,0.15736336071027202
cellular_automata,86,CL,1.0,0.0,0.0,4e-05,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,4e-05,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,87,CL,1.0,0.0,0.1818,0.002057,1.0,0.1818,0.0,0.0,0.0,0.2455,CL,op_diffusion,1.0,0.0,0.0,1.0,0.1818,0.1818,0.002057,0.0,,,,,,,0.1818,1.0,0.0,0.0,0.0003739625999999999,0.05688922242349481,0.0,,0.18179999998181998,0.9999999999,0.0,0.0,0.00046276898370454427,0.05688922229988751,0.0,,0.1770217130236303
cellular_automata,88,CL,0.5667,0.0,0.0,1.7e-05,0.9999,0.0,0.0,0.0,0.0,0.1133,CL,op_diffusion,0.5667,0.4333,0.038654,0.9999,0.0,0.0,1.7e-05,0.9871,,,,,,,0.0,0.56664333,0.0,0.0,0.0,0.4333583396557442,0.0,,0.0,0.5666433299433357,0.0,0.0,0.0,0.43335833954156044,0.0,,0.14285738135498516
cellular_automata,89,CL,0.9,0.0,0.0,1.3e-05,1.0,0.0,0.0,0.0,0.0,0.18,CL,op_diffusion,0.9,0.1,0.018534,1.0,0.0,0.0,1.3e-05,0.469,,,,,,,0.0,0.9,0.0,0.0,0.0,0.10002500636408795,0.0,,0.0,0.89999999991,0.0,0.0,0.0,0.1000250062415604,0.0,,0.14286071516450863
cellular_automata,90,CL,1.0,0.0,0.0,0.000138,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,0.000138,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,91,CL,1.0,0.0,0.25,0.002255,1.0,0.25,0.0,0.0,0.0,0.2625,CL,op_diffusion,1.0,0.0,0.0,1.0,0.25,0.25,0.002255,0.0,,,,,,,0.25,1.0,0.0,0.0,0.00056375,0.0781445362492943,0.0,,0.249999999975,0.9999999999,0.0,0.0,0.0006976259512674179,0.07814453612621904,0.0,,0.1898345945646409
cellular_automata,92,CL,0.1667,0.0,0.0,1.7e-05,0.9999,0.0,0.0,0.0,0.0,0.0333,CL,op_diffusion,0.1667,0.8333,0.029669,0.9999,0.0,0.0,1.7e-05,0.65,,,,,,,0.0,0.16668333,0.0,0.0,0.0,0.8334583646119709,0.0,,0.0,0.16668332998333166,0.0,0.0,0.0,0.8334583645078021,0.0,,0.1428773849273048
cellular_automata,93,CL,1.0,0.0,0.0728,0.000766,1.0,0.0728,0.0,0.0,0.0,0.2182,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0728,0.0728,0.000766,0.0,,,,,,,0.0728,1.0,0.0,0.0,5.57648e-05,0.022755689044416605,0.0,,0.07279999999272001,0.9999999999,0.0,0.0,6.900748850951185e-05,0.02275568891995489,0.0,,0.15651781375731205
cellular_automata,94,RG,1.0,0.0,0.0132,0.000253,1.0,0.0132,0.0,0.0,0.0,0.2033,RG,op_diffusion,1.0,0.0,0.010887,1.0,0.0132,0.0132,0.000253,0.0,,,,,,,0.0132,1.0,0.0,0.0,3.3396e-06,0.004126031632392446,0.0,,0.01319999999868,0.9999999999,0.0,0.0,4.132668074239767e-06,0.004126031507464408,0.0,,0.14533288058203125
cellular_automata,95,CL,1.0,0.0,0.0088,0.000178,1.0,0.0088,0.0,0.0,0.0,0.2022,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0088,0.0088,0.000178,0.0,,,,,,,0.0088,1.0,0.0,0.0,1.5664e-06,0.0027506877966052556,0.0,,0.00879999999912,0.9999999999,0.0,0.0,1.9383792284971766e-06,0.0027506876716427904,0.0,,0.14450751799285588
cellular_automata,96,RG,1.0,0.0,0.4636,0.002277,1.0,0.4636,0.0,0.0,0.0,0.3159,RG,op_diffusion,1.0,0.0,0.0,1.0,0.4636,0.4636,0.002277,0.0,,,,,,,0.4636,1.0,0.0,0.0,0.0010556172,0.14491122791386468,0.0,,0.46359999995364,0.9999999999,0.0,0.0,0.0013062988085574248,0.14491122779246068,0.0,,0.22997393235066546
cellular_automata,97,CL,1.0,0.0,0.0,5e-06,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,5e-06,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,98,CL,1.0,0.0,0.0,0.000162,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,0.000162,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,99,CL,1.0,0.0,0.0,3.6e-05,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,3.6e-05,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,100,RG,0.9333,0.0,0.0397,0.000375,1.0,0.0397,0.0,0.0,0.0,0.1966,RG,op_diffusion,0.9333,0.0667,0.009795,1.0,0.0397,0.0397,0.000375,0.3534,,,,,,,0.03705201,0.9333,0.0,0.0,1.48875e-05,0.07914478631168487,0.0,,0.0370520099962948,0.93329999990667,0.0,0.0,1.8422893746330258e-05,0.07914478618863464,0.0,,0.1499307455693351
cellular_automata,101,CL,1.0,0.0,0.1954,0.001233,1.0,0.1954,0.0,0.0,0.0,0.2488,CL,op_diffusion,1.0,0.0,0.0,1.0,0.1954,0.1954,0.001233,0.0,,,,,,,0.1954,1.0,0.0,0.0,0.00024092819999999997,0.06101525393085594,0.0,,0.19539999998045998,0.9999999999,0.0,0.0,0.0002981423764295285,0.06101525380735191,0.0,,0.17953048515203449
cellular_automata,102,RG,1.0,0.0,0.0331,0.000302,1.0,0.0331,0.0,0.0,0.0,0.2083,RG,op_diffusion,1.0,0.0,0.0,1.0,0.0331,0.0331,0.000302,0.0,,,,,,,0.0331,1.0,0.0,0.0,9.9962e-06,0.010377594522333555,0.0,,0.03309999999669,0.9999999999,0.0,0.0,1.2370037310970043e-05,0.010377594397562001,0.0,,0.14906999490450898
cellular_automata,103,CL,1.0,0.0,0.4412,0.00269,1.0,0.4412,0.0,0.0,0.0,0.3103,CL,op_diffusion,1.0,0.0,0.0,1.0,0.4412,0.4412,0.00269,0.0,,,,,,,0.4412,1.0,0.0,0.0,0.001186828,0.13790947747713067,0.0,,0.44119999995588,0.9999999999,0.0,0.0,0.001468668758298549,0.1379094773555514,0.0,,0.2257968779956757
cellular_automata,104,CL,1.0,0.0,0.0558,0.000667,1.0,0.0558,0.0,0.0,0.0,0.214,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0558,0.0558,0.000667,0.0,,,,,,,0.0558,1.0,0.0,0.0,3.7218599999999996e-05,0.01750437621686618,0.0,,0.05579999999442,0.9999999999,0.0,0.0,4.605704874472996e-05,0.017504376092273018,0.0,,0.15333577614791968
cellular_automata,105,CL,1.0,0.0,0.5333,0.001832,1.0,0.5333,0.0,0.0,0.0,0.3333,CL,op_diffusion,1.0,0.0,0.0,1.0,0.5333,0.5333,0.001832,0.0,,,,,,,0.5333,1.0,0.0,0.0,0.0009770056,0.1666666667708594,0.0,,0.53329999994667,0.9999999999,0.0,0.0,0.001209018999722562,0.16666666664999996,0.0,,0.24302509792805607
cellular_automata,106,CL,1.0,0.0,0.0464,0.001011,1.0,0.0464,0.0,0.0,0.0,0.2116,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0464,0.0464,0.001011,0.0,,,,,,,0.0464,1.0,0.0,0.0,4.69104e-05,0.014503626029694572,0.0,,0.04639999999535999,0.9999999999,0.0,0.0,5.805039897886488e-05,0.014503625905026298,0.0,,0.15156595374276643
cellular_automata,107,CL,1.0,0.0,0.4673,0.001688,0.9999,0.4673,0.0,0.0,0.0,0.3168,CL,op_diffusion,1.0,0.0,0.0,0.9999,0.4673,0.4673,0.001688,0.0,,,,,,,0.4673,0.9999,0.0,0.0,0.0007888024,0.14603650923405398,0.0,,0.46729999995327,0.99989999990001,0.0,0.0,0.0009761224384248733,0.14603650911267815,0.0,,0.23060180448634046
cellular_automata,108,CL,1.0,0.0,0.1225,0.001368,1.0,0.1225,0.0,0.0,0.0,0.2306,CL,op_diffusion,1.0,0.0,0.0,1.0,0.1225,0.1225,0.001368,0.0,,,,,,,0.1225,1.0,0.0,0.0,0.00016758000000000002,0.03825956501147054,0.0,,0.12249999998774999,0.9999999999,0.0,0.0,0.00020737588809471201,0.03825956488739691,0.0,,0.16585242009474882
cellular_automata,109,CL,1.0,0.0,0.2627,0.001417,1.0,0.2627,0.0,0.0,0.0,0.2657,CL,op_diffusion,1.0,0.0,0.0,1.0,0.2627,0.2627,0.001417,0.0,,,,,,,0.2627,1.0,0.0,0.0,0.0003722459,0.0821455364988567,0.0,,0.26269999997373,0.9999999999,0.0,0.0,0.0004606446121381749,0.0821455363758816,0.0,,0.19218659726596427
cellular_automata,110,CL,1.0,0.0,0.0795,0.001065,1.0,0.0795,0.0,0.0,0.0,0.2199,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0795,0.0795,0.001065,0.0,,,,,,,0.0795,1.0,0.0,0.0,8.46675e-05,0.024881220426996697,0.0,,0.07949999999205,0.9999999999,0.0,0.0,0.00010477382745708932,0.02488122030258819,0.0,,0.1577837134317279
cellular_automata,111,CL,1.0,0.0,0.2,0.001955,1.0,0.2,0.0,0.0,0.0,0.25,CL,op_diffusion,1.0,0.0,0.0,1.0,0.2,0.2,0.001955,0.0,,,,,,,0.2,1.0,0.0,0.0,0.00039100000000000007,0.06251562902444174,0.0,,0.19999999998,0.9999999999,0.0,0.0,0.0004838523227415706,0.06251562890097527,0.0,,0.18042849730053098
cellular_automata,112,CL,1.0,0.0,0.0028,0.000161,1.0,0.0028,0.0,0.0,0.0,0.2007,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0028,0.0028,0.000161,0.0,,,,,,,0.0028,1.0,0.0,0.0,4.5080000000000004e-07,0.0008752189296230561,0.0,,0.00279999999972,0.9999999999,0.0,0.0,5.578532662196931e-07,0.0008752188046136453,0.0,,0.14338225379394284
cellular_automata,113,CL,1.0,0.0,0.0,6e-06,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,6e-06,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,114,CL,1.0,0.0,0.0,5.6e-05,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,5.6e-05,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,115,CL,0.8333,0.0,0.0,0.000206,1.0,0.0,0.0,0.0,0.0,0.1667,CL,op_diffusion,0.8333,0.1667,0.021863,1.0,0.0,0.0,0.000206,0.65,,,,,,,0.0,0.8333,0.0,0.0,0.0,0.16679169802865812,0.0,,0.0,0.83329999991667,0.0,0.0,0.0,0.16679169790780182,0.0,,0.1428702425463531
cellular_automata,116,CL,1.0,0.0,0.2856,0.001951,1.0,0.2856,0.0,0.0,0.0,0.2714,CL,op_diffusion,1.0,0.0,0.0,1.0,0.2856,0.2856,0.001951,0.0,,,,,,,0.2856,1.0,0.0,0.0,0.0005572056000000001,0.08927231819338932,0.0,,0.28559999997144003,0.9999999999,0.0,0.0,0.000689527426610257,0.0892723180705926,0.0,,0.19650883505266328
cellular_automata,117,CL,1.0,0.0,0.0,0.000107,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,0.000107,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,118,CL,1.0,0.0,0.1821,0.004703,1.0,0.1821,0.0,0.0,0.0,0.2455,CL,op_diffusion,1.0,0.0,0.0,1.0,0.1821,0.1821,0.004703,0.0,,,,,,,0.1821,1.0,0.0,0.0,0.0008564163,0.05688922242349481,0.0,,0.18209999998179002,0.9999999999,0.0,0.0,0.0010597928797666028,0.05688922229988751,0.0,,0.177149859294492
cellular_automata,119,CL,0.1667,0.0,0.0,9.4e-05,0.9999,0.0,0.0,0.0,0.0,0.0333,CL,op_diffusion,0.1667,0.8333,0.037206,0.9999,0.0,0.0,9.4e-05,0.65,,,,,,,0.0,0.16668333,0.0,0.0,0.0,0.8334583646119709,0.0,,0.0,0.16668332998333166,0.0,0.0,0.0,0.8334583645078021,0.0,,0.1428773849273048
cellular_automata,120,CL,1.0,0.0,0.0,3.7e-05,1.0,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,3.7e-05,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.9999999999,0.0,0.0,0.0,0.0,0.0,,0.14285714284285714
cellular_automata,121,CL,1.0,0.0,0.1457,0.000974,1.0,0.1457,0.0,0.0,0.0,0.2364,CL,op_diffusion,1.0,0.0,0.0,1.0,0.1457,0.1457,0.000974,0.0,,,,,,,0.1457,1.0,0.0,0.0,0.0001419118,0.045511377963802,0.0,,0.14569999998542998,0.9999999999,0.0,0.0,0.00017561215870700052,0.04551137783990989,0.0,,0.1701981414120067
cellular_automata,122,CL,1.0,0.0,0.2216,0.001238,1.0,0.2216,0.0,0.0,0.0,0.2554,CL,op_diffusion,1.0,0.0,0.0,1.0,0.2216,0.2216,0.001238,0.0,,,,,,,0.2216,1.0,0.0,0.0,0.0002743408,0.06926731694557808,0.0,,0.22159999997784,0.9999999999,0.0,0.0,0.0003394895992398482,0.06926731682228061,0.0,,0.1844581151856229
cellular_automata,123,CL,1.0,0.0,0.0738,0.004886,1.0,0.0738,0.0,0.0,0.0,0.2184,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0738,0.0738,0.004886,0.0,,,,,,,0.0738,1.0,0.0,0.0,0.0003605868,0.023005751560014387,0.0,,0.07379999999262,0.9999999999,0.0,0.0,0.0004462167793604863,0.023005751435558934,0.0,,0.15675028115821993
