depth,sector,condition,rg_similarity,identity_persistence,differentiation_coherence,lineage_stability,boundary_integrity,coexistence_stability,transport_identity_alignment,classification
16,Antisymmetry,ModeDifferentiationAnalysis,0.8595,0.8435,0.8236,0.8014,0.8206,0.8167,0.8151,IDENTITY-BOUNDED
20,Antisymmetry,ModeDifferentiationAnalysis,0.8367,0.7956,0.8188,0.7748,0.7705,0.7714,0.785,IDENTITY-PARTIAL
24,Antisymmetry,ModeDifferentiationAnalysis,0.7924,0.77,0.7664,0.7538,0.7489,0.7466,0.7498,IDENTITY-PARTIAL
32,Antisymmetry,ModeDifferentiationAnalysis,0.7603,0.7279,0.7142,0.7035,0.7035,0.6955,0.6921,IDENTITY-PARTIAL
40,Antisymmetry,ModeDifferentiationAnalysis,0.7085,0.6752,0.6777,0.6552,0.6397,0.6517,0.6453,IDENTITY-DEGRADING
48,Antisymmetry,ModeDifferentiationAnalysis,0.6522,0.6254,0.6299,0.6299,0.6022,0.5986,0.6189,IDENTITY-DEGRADING
64,Antisymmetry,ModeDifferentiationAnalysis,0.582,0.5642,0.5696,0.5571,0.551,0.5345,0.5446,IDENTITY-DEGRADING
80,Antisymmetry,ModeDifferentiationAnalysis,0.5283,0.5163,0.5037,0.495,0.4875,0.4896,0.5036,IDENTITY-FAILED
96,Antisymmetry,ModeDifferentiationAnalysis,0.4833,0.4687,0.4536,0.4507,0.4393,0.4473,0.4541,IDENTITY-FAILED
128,Antisymmetry,ModeDifferentiationAnalysis,0.3991,0.4009,0.3929,0.3879,0.3857,0.3773,0.3861,IDENTITY-FAILED
160,Antisymmetry,ModeDifferentiationAnalysis,0.3465,0.3399,0.3407,0.3319,0.327,0.3259,0.3312,IDENTITY-FAILED
192,Antisymmetry,ModeDifferentiationAnalysis,0.3116,0.3,0.2953,0.2938,0.2872,0.2849,0.2949,IDENTITY-FAILED
256,Antisymmetry,ModeDifferentiationAnalysis,0.2527,0.2477,0.2404,0.2372,0.2376,0.23,0.2331,IDENTITY-FAILED
320,Antisymmetry,ModeDifferentiationAnalysis,0.2136,0.2054,0.2047,0.1971,0.1981,0.1918,0.1965,IDENTITY-FAILED
512,Antisymmetry,ModeDifferentiationAnalysis,0.1438,0.1411,0.1382,0.1359,0.1346,0.1309,0.1334,IDENTITY-FAILED
768,Antisymmetry,ModeDifferentiationAnalysis,0.0999,0.0974,0.0949,0.0961,0.0948,0.0916,0.0943,IDENTITY-FAILED
1024,Antisymmetry,ModeDifferentiationAnalysis,0.0769,0.0746,0.0745,0.0736,0.0716,0.0714,0.0718,IDENTITY-FAILED
1536,Antisymmetry,ModeDifferentiationAnalysis,0.0535,0.0516,0.0514,0.05,0.05,0.05,0.0505,IDENTITY-FAILED
2048,Antisymmetry,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Antisymmetry,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Antisymmetry,LineagePersistenceMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Antisymmetry,LineagePersistenceMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Antisymmetry,LineagePersistenceMapping,0.96,0.94,0.93,0.92,0.8963,0.9,0.92,IDENTITY-STABLE
6,Antisymmetry,LineagePersistenceMapping,0.96,0.94,0.9259,0.9161,0.8812,0.8745,0.9122,IDENTITY-STABLE
8,Antisymmetry,LineagePersistenceMapping,0.9217,0.9088,0.9153,0.9093,0.8591,0.864,0.8973,IDENTITY-STABLE
12,Antisymmetry,LineagePersistenceMapping,0.9136,0.8836,0.8724,0.8618,0.8519,0.8358,0.8343,IDENTITY-BOUNDED
16,Antisymmetry,LineagePersistenceMapping,0.8467,0.8242,0.8379,0.8122,0.7922,0.7913,0.8182,IDENTITY-BOUNDED
20,Antisymmetry,LineagePersistenceMapping,0.8273,0.8054,0.786,0.8077,0.7837,0.7711,0.7709,IDENTITY-PARTIAL
24,Antisymmetry,LineagePersistenceMapping,0.7896,0.7642,0.7512,0.7529,0.7302,0.7469,0.7593,IDENTITY-PARTIAL
32,Antisymmetry,LineagePersistenceMapping,0.7308,0.7173,0.7131,0.715,0.6974,0.6812,0.6998,IDENTITY-PARTIAL
40,Antisymmetry,LineagePersistenceMapping,0.6783,0.6817,0.676,0.6571,0.6407,0.6288,0.6496,IDENTITY-DEGRADING
48,Antisymmetry,LineagePersistenceMapping,0.6389,0.633,0.6193,0.6178,0.5951,0.5918,0.6139,IDENTITY-DEGRADING
64,Antisymmetry,LineagePersistenceMapping,0.5731,0.5604,0.5448,0.5463,0.5279,0.5366,0.5391,IDENTITY-DEGRADING
80,Antisymmetry,LineagePersistenceMapping,0.5152,0.4974,0.498,0.4989,0.4822,0.4791,0.4952,IDENTITY-FAILED
96,Antisymmetry,LineagePersistenceMapping,0.48,0.4646,0.4506,0.4602,0.4463,0.4384,0.4396,IDENTITY-FAILED
128,Antisymmetry,LineagePersistenceMapping,0.4061,0.3827,0.3842,0.38,0.3682,0.3657,0.3805,IDENTITY-FAILED
160,Antisymmetry,LineagePersistenceMapping,0.3468,0.3436,0.3326,0.341,0.3271,0.3244,0.3242,IDENTITY-FAILED
192,Antisymmetry,LineagePersistenceMapping,0.3138,0.299,0.2907,0.2939,0.2908,0.289,0.2932,IDENTITY-FAILED
256,Antisymmetry,LineagePersistenceMapping,0.2461,0.2386,0.2448,0.2409,0.2342,0.2311,0.2331,IDENTITY-FAILED
320,Antisymmetry,LineagePersistenceMapping,0.2143,0.2019,0.2007,0.2011,0.196,0.1966,0.1983,IDENTITY-FAILED
512,Antisymmetry,LineagePersistenceMapping,0.142,0.1388,0.1353,0.1387,0.1347,0.1305,0.1338,IDENTITY-FAILED
768,Antisymmetry,LineagePersistenceMapping,0.1001,0.0962,0.0961,0.0957,0.0929,0.0929,0.0931,IDENTITY-FAILED
1024,Antisymmetry,LineagePersistenceMapping,0.0756,0.0739,0.0743,0.0734,0.072,0.0699,0.0707,IDENTITY-FAILED
1536,Antisymmetry,LineagePersistenceMapping,0.0513,0.0513,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Antisymmetry,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Antisymmetry,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Antisymmetry,IdentityBoundaryStability,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Antisymmetry,IdentityBoundaryStability,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Antisymmetry,IdentityBoundaryStability,0.9578,0.9252,0.9134,0.9163,0.91,0.8987,0.9033,IDENTITY-STABLE
6,Antisymmetry,IdentityBoundaryStability,0.9597,0.9152,0.9206,0.9117,0.9062,0.8974,0.8858,IDENTITY-STABLE
8,Antisymmetry,IdentityBoundaryStability,0.9425,0.9161,0.8801,0.8673,0.8889,0.8794,0.8709,IDENTITY-BOUNDED
12,Antisymmetry,IdentityBoundaryStability,0.8801,0.8547,0.8401,0.8548,0.8561,0.8106,0.8597,IDENTITY-BOUNDED
16,Antisymmetry,IdentityBoundaryStability,0.8586,0.8111,0.8078,0.8064,0.8179,0.7816,0.7977,IDENTITY-BOUNDED
20,Antisymmetry,IdentityBoundaryStability,0.8314,0.805,0.7959,0.7856,0.7979,0.76,0.7931,IDENTITY-PARTIAL
24,Antisymmetry,IdentityBoundaryStability,0.7836,0.7725,0.7591,0.7396,0.7494,0.7334,0.7629,IDENTITY-PARTIAL
32,Antisymmetry,IdentityBoundaryStability,0.7334,0.7193,0.6898,0.7101,0.7056,0.6917,0.6872,IDENTITY-DEGRADING
40,Antisymmetry,IdentityBoundaryStability,0.6837,0.6655,0.6569,0.6571,0.662,0.6439,0.649,IDENTITY-DEGRADING
48,Antisymmetry,IdentityBoundaryStability,0.6379,0.6329,0.6047,0.6048,0.6125,0.5901,0.5985,IDENTITY-DEGRADING
64,Antisymmetry,IdentityBoundaryStability,0.586,0.547,0.5447,0.5365,0.5602,0.5248,0.545,IDENTITY-FAILED
80,Antisymmetry,IdentityBoundaryStability,0.517,0.5076,0.4959,0.4923,0.4995,0.4902,0.4828,IDENTITY-FAILED
96,Antisymmetry,IdentityBoundaryStability,0.4659,0.4646,0.4472,0.4459,0.4595,0.4412,0.4378,IDENTITY-FAILED
128,Antisymmetry,IdentityBoundaryStability,0.4041,0.3906,0.3748,0.3761,0.3819,0.3665,0.3723,IDENTITY-FAILED
160,Antisymmetry,IdentityBoundaryStability,0.3426,0.3411,0.3342,0.327,0.3286,0.317,0.3222,IDENTITY-FAILED
192,Antisymmetry,IdentityBoundaryStability,0.3065,0.2966,0.2898,0.2901,0.2966,0.2848,0.2844,IDENTITY-FAILED
256,Antisymmetry,IdentityBoundaryStability,0.2533,0.2374,0.241,0.2356,0.2337,0.2339,0.2403,IDENTITY-FAILED
320,Antisymmetry,IdentityBoundaryStability,0.2083,0.2009,0.1977,0.202,0.2013,0.1932,0.2012,IDENTITY-FAILED
512,Antisymmetry,IdentityBoundaryStability,0.1414,0.1384,0.1348,0.1333,0.1362,0.1285,0.1355,IDENTITY-FAILED
768,Antisymmetry,IdentityBoundaryStability,0.0973,0.0954,0.0943,0.0952,0.0965,0.092,0.0955,IDENTITY-FAILED
1024,Antisymmetry,IdentityBoundaryStability,0.0761,0.0737,0.0725,0.0721,0.0719,0.0703,0.0723,IDENTITY-FAILED
1536,Antisymmetry,IdentityBoundaryStability,0.0511,0.0511,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Antisymmetry,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Antisymmetry,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Antisymmetry,TransportIdentityPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Antisymmetry,TransportIdentityPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Antisymmetry,TransportIdentityPreservation,0.96,0.94,0.93,0.9121,0.9098,0.8967,0.92,IDENTITY-STABLE
6,Antisymmetry,TransportIdentityPreservation,0.9445,0.9326,0.9158,0.9097,0.8861,0.8926,0.9062,IDENTITY-STABLE
8,Antisymmetry,TransportIdentityPreservation,0.9276,0.8911,0.8957,0.8705,0.8546,0.8562,0.8933,IDENTITY-BOUNDED
12,Antisymmetry,TransportIdentityPreservation,0.8839,0.8724,0.8679,0.842,0.8237,0.823,0.8448,IDENTITY-BOUNDED
16,Antisymmetry,TransportIdentityPreservation,0.8474,0.8179,0.8231,0.8058,0.8025,0.8032,0.8147,IDENTITY-BOUNDED
20,Antisymmetry,TransportIdentityPreservation,0.8104,0.781,0.7768,0.7727,0.7828,0.7457,0.7831,IDENTITY-PARTIAL
24,Antisymmetry,TransportIdentityPreservation,0.7845,0.7758,0.7666,0.7441,0.7299,0.7232,0.7693,IDENTITY-PARTIAL
32,Antisymmetry,TransportIdentityPreservation,0.7424,0.7117,0.6955,0.7077,0.6813,0.6697,0.6972,IDENTITY-DEGRADING
40,Antisymmetry,TransportIdentityPreservation,0.6947,0.6727,0.6523,0.6565,0.642,0.6416,0.6699,IDENTITY-DEGRADING
48,Antisymmetry,TransportIdentityPreservation,0.6484,0.6179,0.6147,0.6076,0.5933,0.6094,0.6263,IDENTITY-DEGRADING
64,Antisymmetry,TransportIdentityPreservation,0.5685,0.5556,0.5407,0.5366,0.5373,0.5329,0.5457,IDENTITY-DEGRADING
80,Antisymmetry,TransportIdentityPreservation,0.5067,0.4932,0.497,0.4907,0.4954,0.4718,0.4994,IDENTITY-FAILED
96,Antisymmetry,TransportIdentityPreservation,0.4768,0.45,0.4508,0.4372,0.4346,0.4329,0.4497,IDENTITY-FAILED
128,Antisymmetry,TransportIdentityPreservation,0.3947,0.3793,0.3861,0.3803,0.3702,0.3771,0.3822,IDENTITY-FAILED
160,Antisymmetry,TransportIdentityPreservation,0.3493,0.3303,0.3276,0.3298,0.3212,0.3264,0.3297,IDENTITY-FAILED
192,Antisymmetry,TransportIdentityPreservation,0.3006,0.2912,0.2983,0.2875,0.2869,0.2803,0.2936,IDENTITY-FAILED
256,Antisymmetry,TransportIdentityPreservation,0.2524,0.2421,0.2365,0.2322,0.2353,0.2303,0.2405,IDENTITY-FAILED
320,Antisymmetry,TransportIdentityPreservation,0.2101,0.2044,0.2016,0.1949,0.1949,0.1928,0.2045,IDENTITY-FAILED
512,Antisymmetry,TransportIdentityPreservation,0.1435,0.1392,0.1347,0.1366,0.1306,0.1304,0.1343,IDENTITY-FAILED
768,Antisymmetry,TransportIdentityPreservation,0.0971,0.0974,0.0962,0.0937,0.0935,0.0935,0.0969,IDENTITY-FAILED
1024,Antisymmetry,TransportIdentityPreservation,0.0765,0.0727,0.0735,0.0728,0.0712,0.0706,0.0744,IDENTITY-FAILED
1536,Antisymmetry,TransportIdentityPreservation,0.0523,0.0509,0.0504,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Antisymmetry,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Antisymmetry,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Antisymmetry,CompositeIdentityCoexistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Antisymmetry,CompositeIdentityCoexistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Antisymmetry,CompositeIdentityCoexistence,0.9555,0.94,0.93,0.92,0.9009,0.9,0.92,IDENTITY-STABLE
6,Antisymmetry,CompositeIdentityCoexistence,0.9457,0.9371,0.8978,0.9031,0.9016,0.9,0.8941,IDENTITY-BOUNDED
8,Antisymmetry,CompositeIdentityCoexistence,0.9266,0.8863,0.8729,0.8929,0.8621,0.8952,0.876,IDENTITY-BOUNDED
12,Antisymmetry,CompositeIdentityCoexistence,0.8707,0.8725,0.8368,0.8515,0.8432,0.8475,0.832,IDENTITY-BOUNDED
16,Antisymmetry,CompositeIdentityCoexistence,0.8331,0.8159,0.833,0.8142,0.7874,0.7937,0.8262,IDENTITY-BOUNDED
20,Antisymmetry,CompositeIdentityCoexistence,0.8182,0.7793,0.7823,0.7729,0.7653,0.7709,0.7903,IDENTITY-PARTIAL
24,Antisymmetry,CompositeIdentityCoexistence,0.7967,0.7713,0.7617,0.7528,0.7327,0.7558,0.7604,IDENTITY-PARTIAL
32,Antisymmetry,CompositeIdentityCoexistence,0.7258,0.7176,0.6969,0.7037,0.6931,0.7107,0.6948,IDENTITY-DEGRADING
40,Antisymmetry,CompositeIdentityCoexistence,0.6679,0.6534,0.6627,0.6643,0.6413,0.6636,0.6516,IDENTITY-DEGRADING
48,Antisymmetry,CompositeIdentityCoexistence,0.6388,0.6246,0.6282,0.6033,0.6004,0.6065,0.6209,IDENTITY-DEGRADING
64,Antisymmetry,CompositeIdentityCoexistence,0.5786,0.5575,0.5564,0.5361,0.5481,0.5335,0.5515,IDENTITY-DEGRADING
80,Antisymmetry,CompositeIdentityCoexistence,0.5088,0.5065,0.497,0.4826,0.4845,0.4969,0.498,IDENTITY-FAILED
96,Antisymmetry,CompositeIdentityCoexistence,0.4604,0.4564,0.4517,0.4505,0.4351,0.438,0.4507,IDENTITY-FAILED
128,Antisymmetry,CompositeIdentityCoexistence,0.3979,0.3838,0.3845,0.3796,0.3797,0.373,0.3736,IDENTITY-FAILED
160,Antisymmetry,CompositeIdentityCoexistence,0.3394,0.3365,0.3273,0.3248,0.3295,0.3287,0.3235,IDENTITY-FAILED
192,Antisymmetry,CompositeIdentityCoexistence,0.3042,0.292,0.2916,0.2902,0.2818,0.2844,0.2962,IDENTITY-FAILED
256,Antisymmetry,CompositeIdentityCoexistence,0.2449,0.2385,0.2344,0.2379,0.2285,0.2388,0.2378,IDENTITY-FAILED
320,Antisymmetry,CompositeIdentityCoexistence,0.2048,0.1989,0.2001,0.1953,0.1967,0.1978,0.194,IDENTITY-FAILED
512,Antisymmetry,CompositeIdentityCoexistence,0.1395,0.1354,0.1367,0.1336,0.1328,0.1356,0.1351,IDENTITY-FAILED
768,Antisymmetry,CompositeIdentityCoexistence,0.0979,0.0959,0.0958,0.093,0.0908,0.0924,0.0944,IDENTITY-FAILED
1024,Antisymmetry,CompositeIdentityCoexistence,0.0751,0.0749,0.0712,0.0717,0.0722,0.0705,0.0708,IDENTITY-FAILED
1536,Antisymmetry,CompositeIdentityCoexistence,0.0509,0.0511,0.0501,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Antisymmetry,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Antisymmetry,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Antisymmetry,NullIdentityControl,0.7989,0.7949,0.8025,0.8033,0.7859,0.7665,0.7863,IDENTITY-PARTIAL
2,Antisymmetry,NullIdentityControl,0.8154,0.7887,0.7689,0.782,0.7574,0.7476,0.7601,IDENTITY-PARTIAL
4,Antisymmetry,NullIdentityControl,0.7682,0.7677,0.774,0.7682,0.7572,0.7261,0.7447,IDENTITY-PARTIAL
6,Antisymmetry,NullIdentityControl,0.775,0.7772,0.7519,0.7686,0.7184,0.7107,0.7477,IDENTITY-PARTIAL
8,Antisymmetry,NullIdentityControl,0.7612,0.7487,0.7161,0.7516,0.729,0.723,0.7255,IDENTITY-PARTIAL
12,Antisymmetry,NullIdentityControl,0.723,0.7127,0.7151,0.7119,0.6825,0.6637,0.6905,IDENTITY-PARTIAL
16,Antisymmetry,NullIdentityControl,0.6955,0.6752,0.6893,0.6968,0.673,0.6409,0.6517,IDENTITY-DEGRADING
20,Antisymmetry,NullIdentityControl,0.6556,0.663,0.6627,0.6706,0.6208,0.6349,0.6468,IDENTITY-DEGRADING
24,Antisymmetry,NullIdentityControl,0.6472,0.624,0.6259,0.6187,0.5959,0.5982,0.6081,IDENTITY-DEGRADING
32,Antisymmetry,NullIdentityControl,0.6,0.5967,0.5711,0.5962,0.5764,0.5461,0.5623,IDENTITY-DEGRADING
40,Antisymmetry,NullIdentityControl,0.5513,0.5427,0.5532,0.5517,0.5292,0.5233,0.5367,IDENTITY-FAILED
48,Antisymmetry,NullIdentityControl,0.5216,0.5277,0.5117,0.5045,0.5049,0.4868,0.5127,IDENTITY-FAILED
64,Antisymmetry,NullIdentityControl,0.4664,0.4676,0.4462,0.4521,0.4332,0.4259,0.4509,IDENTITY-FAILED
80,Antisymmetry,NullIdentityControl,0.4227,0.4049,0.4186,0.4118,0.3893,0.4004,0.3939,IDENTITY-FAILED
96,Antisymmetry,NullIdentityControl,0.3777,0.3823,0.3697,0.3671,0.3532,0.3656,0.3586,IDENTITY-FAILED
128,Antisymmetry,NullIdentityControl,0.3161,0.3138,0.3195,0.3172,0.3102,0.3097,0.3166,IDENTITY-FAILED
160,Antisymmetry,NullIdentityControl,0.2863,0.2783,0.2797,0.2759,0.2673,0.2671,0.2647,IDENTITY-FAILED
192,Antisymmetry,NullIdentityControl,0.2439,0.2456,0.239,0.2431,0.2346,0.2304,0.237,IDENTITY-FAILED
256,Antisymmetry,NullIdentityControl,0.2018,0.2009,0.1988,0.2031,0.1884,0.1852,0.1942,IDENTITY-FAILED
320,Antisymmetry,NullIdentityControl,0.1706,0.1698,0.1671,0.1701,0.1589,0.1551,0.1659,IDENTITY-FAILED
512,Antisymmetry,NullIdentityControl,0.1157,0.1115,0.1108,0.1141,0.1064,0.1055,0.1095,IDENTITY-FAILED
768,Antisymmetry,NullIdentityControl,0.0807,0.0797,0.0797,0.0776,0.0777,0.0769,0.0753,IDENTITY-FAILED
1024,Antisymmetry,NullIdentityControl,0.0607,0.0614,0.0606,0.0618,0.0584,0.057,0.0586,IDENTITY-FAILED
1536,Antisymmetry,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Antisymmetry,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Antisymmetry,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Neutral,RecursiveIdentityTracking,0.96,0.9164,0.9146,0.8774,0.8832,0.8772,0.9089,IDENTITY-STABLE
2,Neutral,RecursiveIdentityTracking,0.9328,0.9203,0.9108,0.8727,0.8689,0.8862,0.8851,IDENTITY-STABLE
4,Neutral,RecursiveIdentityTracking,0.9226,0.8936,0.8727,0.8696,0.836,0.8522,0.875,IDENTITY-BOUNDED
6,Neutral,RecursiveIdentityTracking,0.9061,0.8586,0.8639,0.8608,0.8361,0.8446,0.8273,IDENTITY-BOUNDED
8,Neutral,RecursiveIdentityTracking,0.8895,0.8365,0.859,0.8386,0.7991,0.8009,0.8432,IDENTITY-BOUNDED
12,Neutral,RecursiveIdentityTracking,0.849,0.8011,0.8242,0.7864,0.7971,0.7933,0.8076,IDENTITY-BOUNDED
16,Neutral,RecursiveIdentityTracking,0.7935,0.7713,0.78,0.752,0.7649,0.7589,0.7698,IDENTITY-PARTIAL
20,Neutral,RecursiveIdentityTracking,0.7775,0.7449,0.7295,0.724,0.7227,0.7334,0.7153,IDENTITY-PARTIAL
24,Neutral,RecursiveIdentityTracking,0.7376,0.7199,0.7034,0.6912,0.6839,0.6888,0.6993,IDENTITY-PARTIAL
32,Neutral,RecursiveIdentityTracking,0.6964,0.6749,0.6599,0.6474,0.6371,0.6397,0.6578,IDENTITY-DEGRADING
40,Neutral,RecursiveIdentityTracking,0.642,0.6295,0.6156,0.5975,0.5921,0.6112,0.6232,IDENTITY-DEGRADING
48,Neutral,RecursiveIdentityTracking,0.6126,0.6007,0.5895,0.5829,0.5587,0.5744,0.5732,IDENTITY-DEGRADING
64,Neutral,RecursiveIdentityTracking,0.5323,0.5258,0.5312,0.5005,0.5135,0.5096,0.5106,IDENTITY-FAILED
80,Neutral,RecursiveIdentityTracking,0.4779,0.4693,0.4751,0.4626,0.4562,0.4498,0.4558,IDENTITY-FAILED
96,Neutral,RecursiveIdentityTracking,0.443,0.4347,0.4228,0.4254,0.417,0.4097,0.4278,IDENTITY-FAILED
128,Neutral,RecursiveIdentityTracking,0.3735,0.3682,0.3585,0.3554,0.3549,0.3445,0.3567,IDENTITY-FAILED
160,Neutral,RecursiveIdentityTracking,0.3268,0.3124,0.3139,0.3033,0.3072,0.3029,0.3014,IDENTITY-FAILED
192,Neutral,RecursiveIdentityTracking,0.2898,0.2785,0.2801,0.2669,0.2652,0.2662,0.2688,IDENTITY-FAILED
256,Neutral,RecursiveIdentityTracking,0.2318,0.2298,0.2224,0.2215,0.2191,0.2228,0.2179,IDENTITY-FAILED
320,Neutral,RecursiveIdentityTracking,0.1979,0.1906,0.1875,0.1883,0.1794,0.1819,0.1827,IDENTITY-FAILED
512,Neutral,RecursiveIdentityTracking,0.1329,0.1275,0.1282,0.1249,0.122,0.1228,0.1272,IDENTITY-FAILED
768,Neutral,RecursiveIdentityTracking,0.0935,0.0905,0.0907,0.0884,0.0869,0.0865,0.0871,IDENTITY-FAILED
1024,Neutral,RecursiveIdentityTracking,0.0715,0.0709,0.0682,0.0661,0.066,0.0669,0.0669,IDENTITY-FAILED
1536,Neutral,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Neutral,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Neutral,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Neutral,ModeDifferentiationAnalysis,0.96,0.94,0.9221,0.92,0.9022,0.9,0.8971,IDENTITY-STABLE
2,Neutral,ModeDifferentiationAnalysis,0.9528,0.9362,0.9271,0.8815,0.8763,0.8601,0.909,IDENTITY-STABLE
4,Neutral,ModeDifferentiationAnalysis,0.9065,0.9022,0.9053,0.8775,0.8483,0.8582,0.8924,IDENTITY-STABLE
6,Neutral,ModeDifferentiationAnalysis,0.8826,0.8833,0.8911,0.8603,0.8274,0.8491,0.8675,IDENTITY-BOUNDED
8,Neutral,ModeDifferentiationAnalysis,0.8631,0.8762,0.8639,0.8376,0.8117,0.8076,0.845,IDENTITY-BOUNDED
12,Neutral,ModeDifferentiationAnalysis,0.835,0.8357,0.8239,0.8016,0.7859,0.7993,0.7831,IDENTITY-BOUNDED
16,Neutral,ModeDifferentiationAnalysis,0.8245,0.789,0.7783,0.7506,0.7497,0.7604,0.7572,IDENTITY-PARTIAL
20,Neutral,ModeDifferentiationAnalysis,0.7801,0.7543,0.7474,0.7532,0.738,0.7085,0.7256,IDENTITY-PARTIAL
24,Neutral,ModeDifferentiationAnalysis,0.7554,0.7311,0.7257,0.6943,0.7171,0.7012,0.7189,IDENTITY-PARTIAL
32,Neutral,ModeDifferentiationAnalysis,0.7082,0.6859,0.6874,0.6621,0.646,0.6453,0.6569,IDENTITY-DEGRADING
40,Neutral,ModeDifferentiationAnalysis,0.6591,0.6283,0.634,0.6179,0.6203,0.615,0.6251,IDENTITY-DEGRADING
48,Neutral,ModeDifferentiationAnalysis,0.6099,0.6088,0.5861,0.5884,0.5828,0.5609,0.5781,IDENTITY-DEGRADING
64,Neutral,ModeDifferentiationAnalysis,0.5524,0.5243,0.527,0.5138,0.5153,0.5004,0.5266,IDENTITY-FAILED
80,Neutral,ModeDifferentiationAnalysis,0.4883,0.4761,0.4787,0.4664,0.4536,0.4518,0.4561,IDENTITY-FAILED
96,Neutral,ModeDifferentiationAnalysis,0.4466,0.4308,0.4397,0.4156,0.4251,0.4087,0.4297,IDENTITY-FAILED
128,Neutral,ModeDifferentiationAnalysis,0.3719,0.3764,0.3705,0.3658,0.3621,0.3535,0.3586,IDENTITY-FAILED
160,Neutral,ModeDifferentiationAnalysis,0.331,0.3277,0.3115,0.3119,0.3136,0.2985,0.3148,IDENTITY-FAILED
192,Neutral,ModeDifferentiationAnalysis,0.2853,0.2829,0.2808,0.2696,0.2696,0.2672,0.2738,IDENTITY-FAILED
256,Neutral,ModeDifferentiationAnalysis,0.2332,0.2279,0.2232,0.2184,0.2246,0.2176,0.2189,IDENTITY-FAILED
320,Neutral,ModeDifferentiationAnalysis,0.1942,0.1908,0.1912,0.1891,0.1842,0.1831,0.1894,IDENTITY-FAILED
512,Neutral,ModeDifferentiationAnalysis,0.1338,0.1326,0.1284,0.1247,0.1265,0.1248,0.1258,IDENTITY-FAILED
768,Neutral,ModeDifferentiationAnalysis,0.0946,0.0909,0.0888,0.0877,0.0892,0.0864,0.0889,IDENTITY-FAILED
1024,Neutral,ModeDifferentiationAnalysis,0.0719,0.0706,0.0685,0.0691,0.0676,0.0666,0.0678,IDENTITY-FAILED
1536,Neutral,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Neutral,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Neutral,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Neutral,LineagePersistenceMapping,0.96,0.9398,0.9248,0.9131,0.8853,0.8779,0.8814,IDENTITY-STABLE
2,Neutral,LineagePersistenceMapping,0.9294,0.9183,0.9132,0.9159,0.8615,0.8513,0.8866,IDENTITY-STABLE
