domain,sys_idx,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts
kuramoto,363,5,1,2.62,1.0,0.0,1
kuramoto,364,4,1,2.15,1.0,0.0,1
kuramoto,369,10,1,9.3,1.0,0.0,1
kuramoto,371,9,1,6.9,1.0,0.7219,2
kuramoto,373,3,1,8.1,1.0,0.0,1
kuramoto,375,15,1,12.48,1.0,0.0,1
kuramoto,378,8,1,3.2,1.0,0.0,1
kuramoto,392,8,1,6.94,1.0,0.0,1
kuramoto,395,4,1,5.75,1.0,0.0,1
kuramoto,398,2,1,7.3,1.0,0.0,1
kuramoto,400,8,1,6.06,1.0,0.0,1
kuramoto,401,2,1,4.4,1.0,0.0,1
kuramoto,405,6,1,5.98,1.0,0.0,1
kuramoto,409,9,1,8.24,1.0,0.0,1
kuramoto,412,6,1,2.82,1.0,0.0,1
kuramoto,414,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,416,9,1,7.62,1.0,0.0,1
kuramoto,418,10,1,6.68,1.0,0.0,1
kuramoto,419,9,1,6.24,1.0,0.0,1
kuramoto,420,12,1,5.14,1.0,0.0,1
kuramoto,421,13,1,11.7,1.0,0.0,1
kuramoto,425,7,1,7.26,1.0,0.0,1
kuramoto,426,6,1,2.34,1.0,0.971,2
kuramoto,435,5,1,4.44,1.0,0.0,1
kuramoto,438,7,1,12.1,1.0,0.0,1
kuramoto,441,3,1,5.47,1.0,0.0,1
kuramoto,442,6,1,6.6,1.0,0.0,1
kuramoto,445,9,1,2.22,1.0,0.971,2
kuramoto,448,12,1,6.38,1.0,0.0,1
kuramoto,453,7,1,2.16,1.0,0.971,2
kuramoto,458,6,1,7.66,1.0,0.0,1
kuramoto,462,4,1,5.3,1.0,0.0,1
kuramoto,464,3,1,4.83,1.0,0.0,1
kuramoto,465,10,1,7.94,1.0,0.0,1
kuramoto,466,10,1,5.98,1.0,0.0,1
kuramoto,472,12,1,8.12,1.0,0.0,1
kuramoto,474,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,477,10,1,9.2,1.0,0.0,1
kuramoto,478,4,1,6.05,1.0,0.0,1
kuramoto,481,6,1,6.54,1.0,0.0,1
kuramoto,484,10,1,7.42,1.0,0.0,1
kuramoto,485,12,1,6.36,1.0,0.0,1
kuramoto,486,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,487,2,1,1.55,1.0,1.0,2
kuramoto,489,13,1,7.74,1.0,0.0,1
kuramoto,497,4,1,6.38,1.0,0.0,1
kuramoto,499,15,1,6.74,1.0,0.0,1
nonlinear_oscillator,2,9,1,2.54,1.0,0.0,1
nonlinear_oscillator,7,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,9,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,10,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,11,5,1,1.32,1.0,0.0,1
nonlinear_oscillator,12,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,13,2,1,1.65,1.0,0.0,1
nonlinear_oscillator,16,3,1,4.03,1.0,0.0,1
nonlinear_oscillator,17,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,19,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,21,1,1,1.1,1.0,0.0,1
nonlinear_oscillator,29,5,1,2.56,1.0,0.0,1
nonlinear_oscillator,34,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,39,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,40,12,1,2.9,1.0,0.0,1
nonlinear_oscillator,41,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,42,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,44,3,1,4.4,1.0,0.0,1
nonlinear_oscillator,45,14,1,4.06,1.0,0.0,1
nonlinear_oscillator,46,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,47,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,48,1,1,1.9,1.0,0.0,1
nonlinear_oscillator,50,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,56,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,59,7,1,1.46,1.0,0.0,1
nonlinear_oscillator,61,4,1,1.88,1.0,0.0,1
nonlinear_oscillator,65,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,67,7,1,1.82,1.0,0.0,1
nonlinear_oscillator,68,5,1,2.24,1.0,0.0,1
nonlinear_oscillator,69,3,1,1.47,1.0,0.9183,2
nonlinear_oscillator,70,1,1,1.2,1.0,0.0,1
nonlinear_oscillator,74,6,1,4.52,1.0,0.0,1
nonlinear_oscillator,75,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,77,12,1,2.48,1.0,0.0,1
nonlinear_oscillator,78,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,79,1,1,5.4,1.0,0.0,1
nonlinear_oscillator,81,3,1,3.43,1.0,0.0,1
nonlinear_oscillator,82,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,83,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,84,7,1,3.52,1.0,0.0,1
nonlinear_oscillator,88,8,1,2.2,1.0,0.0,1
nonlinear_oscillator,89,1,1,1.1,1.0,0.0,1
nonlinear_oscillator,91,13,1,3.86,1.0,0.0,1
nonlinear_oscillator,93,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,94,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,102,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,103,8,1,2.96,1.0,0.0,1
nonlinear_oscillator,109,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,110,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,112,4,1,3.08,1.0,0.0,1
nonlinear_oscillator,114,1,1,1.2,1.0,0.0,1
nonlinear_oscillator,115,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,116,1,1,2.4,1.0,0.0,1
nonlinear_oscillator,119,8,1,2.4,1.0,0.0,1
nonlinear_oscillator,120,1,1,1.7,1.0,0.0,1
nonlinear_oscillator,123,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,124,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,127,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,134,1,1,1.9,1.0,0.0,1
nonlinear_oscillator,138,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,139,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,140,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,142,1,1,2.2,1.0,0.0,1
nonlinear_oscillator,144,5,1,2.26,1.0,0.0,1
nonlinear_oscillator,145,8,1,2.46,1.0,0.0,1
nonlinear_oscillator,147,2,1,1.35,1.0,0.0,1
nonlinear_oscillator,151,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,152,2,1,1.6,1.0,0.0,1
nonlinear_oscillator,153,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,154,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,155,6,1,1.54,1.0,0.0,1
nonlinear_oscillator,156,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,157,4,1,1.45,1.0,0.8113,2
nonlinear_oscillator,158,2,1,1.9,1.0,0.0,1
nonlinear_oscillator,159,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,161,4,1,3.12,1.0,0.0,1
nonlinear_oscillator,162,4,1,1.4,1.0,0.8113,2
nonlinear_oscillator,163,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,164,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,165,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,168,6,1,3.78,1.0,0.0,1
nonlinear_oscillator,169,9,1,2.06,1.0,0.0,1
nonlinear_oscillator,171,16,1,9.74,1.0,0.0,1
nonlinear_oscillator,173,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,175,3,1,1.83,1.0,0.0,1
nonlinear_oscillator,177,13,1,4.02,1.0,0.0,1
nonlinear_oscillator,178,2,1,1.65,1.0,0.0,1
nonlinear_oscillator,180,13,1,4.04,1.0,0.0,1
nonlinear_oscillator,183,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,185,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,187,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,188,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,190,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,191,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,192,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,194,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,195,1,1,1.2,1.0,0.0,1
nonlinear_oscillator,196,1,1,3.3,1.0,0.0,1
nonlinear_oscillator,197,3,1,2.1,1.0,0.0,1
nonlinear_oscillator,198,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,200,3,1,2.5,1.0,0.0,1
nonlinear_oscillator,201,6,1,3.88,1.0,0.0,1
nonlinear_oscillator,202,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,203,7,1,5.98,1.0,0.0,1
nonlinear_oscillator,205,4,1,2.95,1.0,0.0,1
nonlinear_oscillator,206,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,207,4,1,1.48,1.0,0.0,1
nonlinear_oscillator,208,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,209,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,211,3,1,2.17,1.0,0.0,1
nonlinear_oscillator,212,2,1,1.95,1.0,0.0,1
nonlinear_oscillator,216,5,1,2.22,1.0,0.971,2
nonlinear_oscillator,217,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,218,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,220,5,1,3.44,1.0,0.0,1
nonlinear_oscillator,221,10,1,3.02,1.0,0.0,1
nonlinear_oscillator,222,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,225,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,227,3,1,2.73,1.0,0.0,1
nonlinear_oscillator,230,1,1,1.5,1.0,0.0,1
nonlinear_oscillator,231,2,1,2.65,1.0,0.0,1
nonlinear_oscillator,233,2,1,1.05,1.0,0.0,1
nonlinear_oscillator,234,6,1,1.54,1.0,0.0,1
nonlinear_oscillator,236,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,238,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,240,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,241,3,1,2.1,1.0,0.0,1
nonlinear_oscillator,242,3,1,3.63,1.0,0.0,1
nonlinear_oscillator,243,14,1,5.96,1.0,0.0,1
nonlinear_oscillator,245,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,247,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,248,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,252,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,253,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,255,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,258,14,1,3.84,1.0,0.0,1
nonlinear_oscillator,260,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,261,3,1,1.67,1.0,0.0,1
nonlinear_oscillator,264,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,270,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,272,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,277,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,280,2,1,1.25,1.0,0.0,1
nonlinear_oscillator,281,3,1,2.5,1.0,0.0,1
nonlinear_oscillator,286,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,287,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,289,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,290,1,1,2.1,1.0,0.0,1
nonlinear_oscillator,291,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,294,8,1,1.96,1.0,0.0,1
nonlinear_oscillator,296,1,1,2.0,1.0,0.0,1
nonlinear_oscillator,297,7,1,2.54,1.0,0.0,1
nonlinear_oscillator,298,3,1,2.67,1.0,0.0,1
nonlinear_oscillator,300,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,301,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,302,9,1,6.7,1.0,0.0,1
nonlinear_oscillator,303,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,306,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,307,3,1,2.87,1.0,0.0,1
nonlinear_oscillator,310,4,1,1.85,1.0,0.0,1
nonlinear_oscillator,311,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,312,3,1,2.1,1.0,0.0,1
nonlinear_oscillator,314,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,315,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,319,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,321,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,322,7,1,2.74,1.0,0.0,1
nonlinear_oscillator,324,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,325,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,327,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,328,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,330,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,332,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,333,1,1,2.2,1.0,0.0,1
nonlinear_oscillator,339,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,342,12,1,3.88,1.0,0.0,1
nonlinear_oscillator,345,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,348,1,1,1.2,1.0,0.0,1
nonlinear_oscillator,349,2,1,1.75,1.0,0.0,1
nonlinear_oscillator,352,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,353,3,1,1.23,1.0,0.0,1
nonlinear_oscillator,354,9,1,6.82,1.0,0.0,1
nonlinear_oscillator,358,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,359,3,1,1.87,1.0,0.0,1
nonlinear_oscillator,361,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,362,2,1,3.1,1.0,0.0,1
nonlinear_oscillator,363,3,1,1.83,1.0,0.0,1
nonlinear_oscillator,366,4,1,2.02,1.0,0.0,1
nonlinear_oscillator,367,6,1,4.96,1.0,0.0,1
nonlinear_oscillator,370,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,371,6,1,2.34,1.0,0.0,1
nonlinear_oscillator,373,8,1,2.68,1.0,0.0,1
nonlinear_oscillator,374,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,375,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,376,4,1,4.9,1.0,0.0,1
nonlinear_oscillator,377,1,1,1.1,1.0,0.0,1
nonlinear_oscillator,378,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,379,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,382,3,1,1.33,1.0,0.9183,2
nonlinear_oscillator,383,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,384,4,1,1.68,1.0,0.0,1
nonlinear_oscillator,391,1,1,2.0,1.0,0.0,1
nonlinear_oscillator,392,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,393,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,395,3,1,1.73,1.0,0.0,1
nonlinear_oscillator,396,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,397,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,404,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,405,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,406,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,407,1,1,3.9,1.0,0.0,1
nonlinear_oscillator,410,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,413,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,418,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,419,4,1,3.42,1.0,0.0,1
nonlinear_oscillator,420,6,1,4.48,1.0,0.0,1
nonlinear_oscillator,421,8,1,6.92,1.0,0.0,1
nonlinear_oscillator,422,3,1,1.2,1.0,0.0,1
nonlinear_oscillator,425,1,1,1.9,1.0,0.0,1
nonlinear_oscillator,426,4,1,4.2,1.0,0.0,1
nonlinear_oscillator,431,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,432,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,433,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,437,2,1,1.4,1.0,0.0,1
nonlinear_oscillator,440,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,441,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,442,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,444,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,445,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,446,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,447,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,448,1,1,5.8,1.0,0.0,1
nonlinear_oscillator,449,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,450,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,452,1,1,1.1,1.0,0.0,1
nonlinear_oscillator,453,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,454,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,460,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,462,7,1,3.34,1.0,0.0,1
nonlinear_oscillator,463,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,464,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,466,3,1,5.87,1.0,0.0,1
nonlinear_oscillator,469,9,1,4.0,1.0,0.0,1
nonlinear_oscillator,470,1,1,2.2,1.0,0.0,1
nonlinear_oscillator,472,9,1,2.8,1.0,0.0,1
nonlinear_oscillator,473,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,474,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,477,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,479,3,1,1.4,1.0,0.0,1
nonlinear_oscillator,481,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,484,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,485,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,487,5,1,2.68,1.0,0.0,1
nonlinear_oscillator,488,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,489,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,491,4,1,4.92,1.0,0.0,1
nonlinear_oscillator,492,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,494,0,-1,-1.0,-1.0,-1.0,-1
nonlinear_oscillator,495,12,1,2.92,1.0,0.0,1
nonlinear_oscillator,497,0,-1,-1.0,-1.0,-1.0,-1
population,0,11,1,5.84,0.86,0.0,1
population,1,1,1,3.5,0.8,0.0,1
population,3,0,-1,-1.0,-1.0,-1.0,-1
population,10,2,1,6.11,0.95,0.0,1
population,13,18,1,27.79,0.48,0.0,1
population,14,3,1,6.88,0.8,0.0,1
population,15,2,1,1.2,1.0,0.0,1
population,19,7,1,12.72,0.64,0.0,1
population,37,9,1,3.86,0.84,0.0,1
population,41,1,1,2.22,0.9,0.0,1
population,65,8,1,12.35,0.74,0.0,1
population,74,2,1,1.16,0.95,1.0,2
population,77,1,1,9.4,1.0,0.0,1
population,78,8,1,5.11,0.9,0.0,1
population,79,3,1,1.65,0.8667,0.0,1
population,88,0,-1,-1.0,-1.0,-1.0,-1
population,93,0,-1,-1.0,-1.0,-1.0,-1
population,94,0,-1,-1.0,-1.0,-1.0,-1
population,99,0,-1,-1.0,-1.0,-1.0,-1
population,101,7,1,24.28,0.5,0.0,1
population,109,4,1,3.97,0.95,0.0,1
population,114,6,1,4.91,0.92,0.7219,2
population,115,2,1,4.61,0.9,0.0,1
population,122,9,1,8.3,0.86,0.0,1
population,126,0,-1,-1.0,-1.0,-1.0,-1
population,128,0,-1,-1.0,-1.0,-1.0,-1
population,135,4,1,5.85,0.975,0.0,1
population,136,7,1,5.11,0.74,0.0,1
population,140,1,1,3.5,1.0,0.0,1
population,141,2,1,1.26,0.95,0.0,1
population,153,7,1,8.94,0.98,0.0,1
population,160,7,1,1.42,0.9,1.371,3
population,170,2,1,7.59,0.85,0.0,1
population,176,9,1,6.16,0.88,0.0,1
population,181,5,1,10.65,0.8,0.0,1
population,190,3,1,1.21,0.9333,0.0,1
population,193,9,1,6.65,0.92,0.0,1
population,196,13,1,10.5,0.8,0.0,1
population,197,15,1,29.95,0.42,0.0,1
population,206,3,1,7.08,0.8667,0.0,1
population,208,5,1,34.58,0.48,0.0,1
population,209,5,1,6.5,0.84,0.0,1
population,211,7,1,2.65,0.92,0.0,1
population,213,5,1,3.51,0.94,0.0,1
population,214,4,1,3.33,0.9,0.0,1
population,216,3,1,37.46,0.4333,0.0,1
population,217,11,1,18.32,0.74,0.0,1
population,221,10,1,5.72,0.86,0.0,1
population,222,1,1,2.0,1.0,0.0,1
population,225,0,-1,-1.0,-1.0,-1.0,-1
population,227,15,1,14.02,0.82,0.0,1
population,230,10,1,30.63,0.54,0.0,1
population,231,2,1,1.25,0.8,0.0,1
population,238,3,1,4.84,0.8333,0.0,1
population,240,0,-1,-1.0,-1.0,-1.0,-1
population,241,0,-1,-1.0,-1.0,-1.0,-1
population,243,12,1,3.75,0.96,1.371,3
population,247,2,1,18.14,0.35,0.0,1
population,253,4,1,14.3,0.575,0.0,1
population,261,0,-1,-1.0,-1.0,-1.0,-1
population,262,4,1,1.18,1.0,1.5,3
population,264,0,-1,-1.0,-1.0,-1.0,-1
population,266,11,1,4.1,0.78,0.7219,2
population,275,1,1,1.33,0.9,0.0,1
population,276,12,1,14.41,0.88,0.0,1
population,278,3,1,1.41,0.9667,0.9183,2
population,279,5,1,5.04,0.94,0.0,1
population,280,10,1,7.13,0.78,0.0,1
population,284,7,1,8.98,0.9,0.0,1
population,285,8,1,9.61,0.88,0.0,1
population,290,2,1,8.05,0.95,0.0,1
population,299,1,1,1.4,1.0,0.0,1
population,300,2,1,2.35,1.0,0.0,1
population,301,12,1,1.71,0.9,0.0,1
population,305,1,1,7.44,0.9,0.0,1
population,307,4,1,5.65,0.925,0.0,1
population,309,5,1,5.78,0.92,0.0,1
population,318,2,1,1.32,0.95,1.0,2
population,322,0,-1,-1.0,-1.0,-1.0,-1
population,329,6,1,3.83,0.92,0.0,1
population,330,1,1,3.5,1.0,0.0,1
population,331,2,1,8.05,1.0,0.0,1
population,332,8,1,7.66,0.76,0.0,1
population,334,2,1,2.85,1.0,0.0,1
population,336,3,1,3.5,1.0,0.0,1
population,339,3,1,1.37,1.0,0.9183,2
population,349,12,1,4.62,0.8,0.0,1
population,361,5,1,6.65,0.8,0.0,1
population,367,18,1,31.54,0.48,0.0,1
population,368,4,1,4.84,0.925,0.0,1
population,373,0,-1,-1.0,-1.0,-1.0,-1
population,375,6,1,6.12,0.8,0.0,1
population,381,5,1,1.46,0.92,0.0,1
population,389,1,1,33.14,0.7,0.0,1
population,396,3,1,30.62,0.7,0.0,1
population,397,9,1,6.05,0.86,0.0,1
population,401,15,1,19.34,0.64,0.0,1
population,402,20,1,41.0,0.38,0.0,1
population,405,0,-1,-1.0,-1.0,-1.0,-1
population,406,7,1,3.75,0.88,0.0,1
population,407,4,1,2.77,0.975,0.0,1
population,411,14,1,20.12,0.5,0.0,1
population,412,9,1,7.41,0.88,0.0,1
population,415,2,1,6.59,0.85,0.0,1
population,419,15,1,11.95,0.76,0.0,1
population,432,2,1,1.63,0.95,0.0,1
population,436,0,-1,-1.0,-1.0,-1.0,-1
population,440,7,1,5.48,0.88,0.0,1
population,446,1,1,1.78,0.9,0.0,1
population,448,20,1,44.76,0.42,0.0,1
population,462,7,1,18.14,0.42,0.0,1
population,464,3,1,8.93,0.9667,0.0,1
population,469,0,-1,-1.0,-1.0,-1.0,-1
population,473,0,-1,-1.0,-1.0,-1.0,-1
population,475,5,1,4.55,0.88,0.0,1
population,479,0,-1,-1.0,-1.0,-1.0,-1
population,481,2,1,14.44,0.8,0.0,1
population,482,0,-1,-1.0,-1.0,-1.0,-1
population,496,4,1,4.05,0.975,0.0,1
