domain,sys_idx,process_regime,transition_continuity,transition_curvature,transition_smoothness,transition_reversibility,transition_branching,transition_fragmentation
cellular_automata,330,CL,0.0,0.8862,1.0,0.2813,0.5135,0.25
cellular_automata,331,CL,0.531,1.0096,1.0,0.1046,0.5026,0.5
cellular_automata,332,RG,0.1187,0.3021,1.0,0.0212,0.4124,0.5
cellular_automata,333,CL,0.531,4.6153,1.0,0.0,0.5,0.5
cellular_automata,334,CL,0.0,0.1233,1.0,0.0066,0.4985,0.25
cellular_automata,335,CL,0.7892,0.2162,1.0,0.0144,0.4885,0.5
cellular_automata,336,RG,0.0,0.3461,1.0,0.0662,0.486,0.25
cellular_automata,337,CL,0.7892,0.0953,1.0,0.0,0.5,0.5
cellular_automata,338,CL,0.0,0.1008,1.0,0.0,0.5,0.25
cellular_automata,339,CL,0.0,0.3316,1.0,0.0,0.5,0.25
cellular_automata,340,CL,0.7892,0.58,1.0,0.173,0.4185,0.5
cellular_automata,341,CL,0.0,0.581,1.0,0.0,0.505,0.25
cellular_automata,342,CL,0.0,0.8523,1.0,0.064,0.4968,0.25
cellular_automata,343,RG,0.0,0.1296,1.0,0.0728,0.371,0.25
cellular_automata,344,CL,0.0,2.9407,1.0,0.2188,0.0673,0.25
cellular_automata,345,RG,0.0,0.3582,1.0,0.0464,0.4584,0.25
cellular_automata,346,CL,0.0,0.8739,1.0,0.0503,0.5255,0.25
cellular_automata,347,CL,0.2781,0.2441,1.0,0.0079,0.4947,0.5
cellular_automata,348,RG,0.0,0.3937,1.0,0.0265,0.4563,0.25
cellular_automata,349,CL,0.0,0.4944,1.0,0.0,0.0153,0.25
cellular_automata,350,CL,0.0,0.9313,1.0,0.0,0.5315,0.25
cellular_automata,351,CL,0.0,3.6048,1.0,0.1854,0.4686,0.25
cellular_automata,352,CL,0.0,0.0435,1.0,0.0026,0.5032,0.25
cellular_automata,353,CL,0.6466,0.2368,1.0,0.0099,0.4786,0.5
cellular_automata,354,CL,0.0,0.1008,1.0,0.0,0.5,0.25
cellular_automata,355,CL,0.0,0.8417,1.0,0.0795,0.4958,0.25
cellular_automata,356,CL,0.0,2.9337,1.0,0.3889,0.5063,0.25
cellular_automata,357,CL,0.0,0.7392,1.0,0.0,0.5065,0.25
cellular_automata,358,CL,0.531,0.9416,1.0,0.1589,0.4992,0.5
cellular_automata,359,CL,0.7892,0.4926,1.0,0.0,0.0153,0.5
cellular_automata,360,RG,0.35,0.0856,1.0,0.0397,0.4816,0.5
cellular_automata,361,RG,0.35,0.3253,1.0,0.0199,0.4851,0.5
cellular_automata,362,CL,0.0,0.589,1.0,0.1104,0.4167,0.25
cellular_automata,363,CL,0.0,0.2926,1.0,0.0,0.5094,0.25
cellular_automata,364,CL,0.0,1.0232,1.0,0.1947,0.3479,0.25
cellular_automata,365,CL,0.0,0.491,1.0,0.4348,0.0546,0.25
cellular_automata,366,CL,0.4335,0.9594,0.9999,0.1442,0.4888,0.5
cellular_automata,367,CL,0.7892,0.9054,1.0,0.0185,0.5081,0.5
cellular_automata,368,CL,0.0,0.9531,1.0,0.0,0.5313,0.25
cellular_automata,369,CL,0.0,3.2732,1.0,0.0748,0.5292,0.25
cellular_automata,370,CL,0.0,3.2723,1.0,0.0,0.5249,0.25
cellular_automata,371,CL,0.0,0.3873,1.0,0.0,0.5,0.25
cellular_automata,372,CL,0.0,0.6308,1.0,0.0,0.5065,0.25
cellular_automata,373,CL,0.7892,1.4577,1.0,0.0,0.0153,0.5
cellular_automata,374,RG,0.35,1.3396,1.0,0.3179,0.4671,0.5
cellular_automata,375,CL,0.0,0.3024,1.0,0.0,0.5,0.25
cellular_automata,376,RG,0.0,1.4883,1.0,0.405,0.3924,0.25
cellular_automata,377,CL,0.6466,0.4656,1.0,0.1258,0.4968,0.5
cellular_automata,378,RG,0.1187,0.9435,0.9999,0.1921,0.4809,0.5
cellular_automata,379,CL,0.0,0.4262,1.0,0.0,0.5,0.25
cellular_automata,380,CL,0.0,0.4121,1.0,0.0,0.5087,0.25
cellular_automata,381,CL,0.0,1.4815,1.0,0.0,0.5078,0.25
cellular_automata,382,CL,0.0,1.1908,1.0,0.048,0.5218,0.25
cellular_automata,383,CL,0.0,0.9578,1.0,0.039,0.5052,0.25
cellular_automata,384,CL,0.531,0.2448,1.0,0.2649,0.4591,0.5
cellular_automata,385,CL,0.0,0.4386,1.0,0.1192,0.5248,0.25
cellular_automata,386,CL,0.7892,2.7251,1.0,0.2225,0.4979,0.5
cellular_automata,387,CL,0.0,0.5141,1.0,0.0839,0.5101,0.25
cellular_automata,388,RG,0.0,0.2513,1.0,0.0331,0.4559,0.25
cellular_automata,389,RG,0.1187,0.5492,1.0,0.0538,0.4828,0.5
cellular_automata,390,CL,0.0,0.5324,1.0,0.0689,0.5028,0.25
cellular_automata,391,CL,0.0,0.4383,1.0,0.0,0.5,0.25
cellular_automata,392,CL,0.7892,0.0383,1.0,0.0044,0.5003,0.5
cellular_automata,393,CL,0.0,0.5322,1.0,0.2222,0.5152,0.25
cellular_automata,394,CL,0.0,2.9538,1.0,0.1786,0.5377,0.25
cellular_automata,395,CL,0.0,0.7528,1.0,0.0,0.519,0.25
cellular_automata,396,CL,0.7892,0.4952,1.0,0.1192,0.5165,0.5
cellular_automata,397,CL,0.0,0.8811,1.0,0.0,0.5,0.25
cellular_automata,398,CL,0.7892,0.0579,1.0,0.0,0.5,0.5
cellular_automata,399,CL,0.7892,0.7226,1.0,0.1404,0.4793,0.5
cellular_automata,400,CL,0.7892,0.291,1.0,0.0,0.5,0.5
cellular_automata,401,CL,0.0,0.1971,1.0,0.0,0.5,0.25
cellular_automata,402,CL,0.6466,0.8546,1.0,0.1457,0.4989,0.5
cellular_automata,403,CL,0.1634,0.0812,1.0,0.0278,0.2905,0.5
cellular_automata,404,CL,0.0,1.49,1.0,0.0,0.5087,0.25
cellular_automata,405,CL,0.0,0.8594,1.0,0.0722,0.5244,0.25
cellular_automata,406,CL,0.0,2.7902,1.0,0.1667,0.526,0.25
cellular_automata,407,CL,0.0,0.9885,1.0,0.0,0.5268,0.25
cellular_automata,408,RG,0.0,0.0871,1.0,0.0331,0.3764,0.25
cellular_automata,409,CL,0.2781,0.2949,1.0,0.0079,0.4945,0.5
cellular_automata,410,CL,0.6466,0.156,1.0,0.0,0.0153,0.5
cellular_automata,411,CL,0.0,0.6129,1.0,0.1873,0.4949,0.25
cellular_automata,412,CL,0.0,0.6412,1.0,0.0,0.5,0.25
cellular_automata,413,CL,0.0,1.072,1.0,0.0,0.5123,0.25
cellular_automata,414,CL,0.0,1.1208,1.0,0.101,0.0175,0.25
cellular_automata,415,RG,0.7892,0.8727,1.0,0.2583,0.4708,0.5
cellular_automata,416,CL,0.0,0.3297,1.0,0.0,0.5157,0.25
cellular_automata,417,RG,0.0,0.1696,1.0,0.0265,0.4947,0.25
cellular_automata,418,RG,0.0,0.4121,1.0,0.0596,0.3799,0.25
cellular_automata,419,CL,0.0,4.0964,1.0,0.0,0.5,0.25
cellular_automata,420,CL,0.7892,0.2345,1.0,0.0,0.0279,0.5
cellular_automata,421,CL,0.0,0.8244,1.0,0.0,0.5223,0.25
cellular_automata,422,RG,0.0,0.3892,1.0,0.0265,0.3958,0.25
cellular_automata,423,RG,0.0,0.2192,1.0,0.053,0.3645,0.25
cellular_automata,424,CL,0.6466,0.8017,1.0,0.3333,0.4908,0.5
cellular_automata,425,RG,0.7892,1.3384,1.0,0.2503,0.5585,0.5
cellular_automata,426,CL,0.0,2.9624,1.0,0.0,0.5,0.25
cellular_automata,427,CL,0.6466,1.4236,1.0,0.1148,0.5122,0.5
cellular_automata,428,RG,0.0,0.3521,1.0,0.0662,0.4338,0.25
cellular_automata,429,CL,0.7892,2.9548,1.0,0.8,0.34,0.5
cellular_automata,430,CL,0.0,0.6661,1.0,0.0682,0.5131,0.25
cellular_automata,431,CL,0.0,0.5671,1.0,0.0477,0.496,0.25
cellular_automata,432,RG,0.0,0.1003,1.0,0.0199,0.3738,0.25
cellular_automata,433,CL,0.0,0.2445,1.0,0.0,0.5058,0.25
cellular_automata,434,CL,0.0,0.6079,1.0,0.1818,0.5162,0.25
cellular_automata,435,CL,0.0,0.8241,1.0,0.0,0.5176,0.25
cellular_automata,436,CL,0.0,2.6438,1.0,0.2857,0.5158,0.25
cellular_automata,437,RG,0.0,0.0468,1.0,0.0265,0.4671,0.25
cellular_automata,438,RG,0.0,0.1588,1.0,0.0199,0.4113,0.25
cellular_automata,439,RG,0.0,0.2345,1.0,0.0199,0.4671,0.25
cellular_automata,440,CL,0.7892,1.4487,1.0,0.0,0.0153,0.5
cellular_automata,441,CL,0.7892,0.7172,1.0,0.0,0.5188,0.5
cellular_automata,442,CL,0.7892,0.5797,1.0,0.0411,0.0217,0.5
cellular_automata,443,CL,0.1634,1.1911,1.0,0.0508,0.5013,0.5
cellular_automata,444,CL,0.0,0.5716,1.0,0.2222,0.5126,0.25
cellular_automata,445,CL,0.6466,1.0777,1.0,0.1159,0.497,0.5
cellular_automata,446,CL,0.6466,3.6939,1.0,0.2,0.4994,0.5
cellular_automata,447,CL,0.6466,0.2611,1.0,0.0088,0.4479,0.5
cellular_automata,448,CL,0.0,1.0243,1.0,0.1148,0.4957,0.25
cellular_automata,449,CL,0.7892,0.6236,1.0,0.2,0.5077,0.5
cellular_automata,450,RG,0.0,0.9044,0.9999,0.7351,0.4948,0.25
cellular_automata,451,CL,0.7892,0.4329,0.9999,0.0,0.0554,0.5
cellular_automata,452,CL,0.0,0.5659,1.0,0.0,0.5107,0.25
cellular_automata,453,CL,0.7892,2.2888,1.0,0.0,0.5,0.5
cellular_automata,454,CL,0.6466,2.7449,1.0,0.4444,0.4885,0.5
cellular_automata,455,CL,0.7892,0.156,1.0,0.0066,0.4822,0.5
cellular_automata,456,CL,0.2162,0.329,1.0,0.0151,0.4552,0.5
cellular_automata,457,RG,0.0519,0.4107,1.0,0.0442,0.3544,0.5
cellular_automata,458,RG,0.0,0.0464,1.0,0.0397,0.4113,0.25
cellular_automata,459,CL,0.0,0.6082,1.0,0.0,0.5184,0.25
cellular_automata,460,CL,0.0,0.6483,1.0,0.0,0.5,0.25
cellular_automata,461,RG,0.0,0.3272,1.0,0.0199,0.3777,0.25
cellular_automata,462,CL,0.0,0.711,1.0,0.0,0.52,0.25
cellular_automata,463,CL,0.0,3.531,1.0,0.0,0.5,0.25
cellular_automata,464,CL,0.6466,1.7806,1.0,0.0,0.512,0.5
cellular_automata,465,CL,0.7892,0.3272,1.0,0.0,0.5,0.5
cellular_automata,466,RG,0.0519,0.3278,1.0,0.0248,0.4069,0.5
cellular_automata,467,RG,0.0,0.333,1.0,0.0199,0.371,0.25
cellular_automata,468,CL,0.0,1.0857,1.0,0.2222,0.5165,0.25
cellular_automata,469,CL,0.0,0.5748,1.0,0.0492,0.5318,0.25
cellular_automata,470,CL,0.0,2.8199,1.0,0.2813,0.5072,0.25
cellular_automata,471,CL,0.0,0.797,1.0,0.0762,0.5077,0.25
cellular_automata,472,CL,0.0,0.0383,1.0,0.0,0.5,0.25
cellular_automata,473,CL,0.7892,0.3388,1.0,0.0132,0.4945,0.5
cellular_automata,474,CL,0.0,0.5034,1.0,0.0,0.5,0.25
cellular_automata,475,CL,0.6466,0.4262,1.0,0.0,0.0153,0.5
cellular_automata,476,CL,0.0,0.5875,1.0,0.0574,0.5027,0.25
cellular_automata,477,CL,0.7892,3.05,1.0,0.0,0.5,0.5
cellular_automata,478,CL,0.0,1.3308,1.0,0.0,0.0437,0.25
cellular_automata,479,CL,0.1634,0.1011,1.0,0.0099,0.4835,0.5
cellular_automata,480,CL,0.0,0.3471,1.0,0.0556,0.5273,0.25
cellular_automata,481,RG,0.0,0.3694,1.0,0.0397,0.4694,0.25
cellular_automata,482,RG,0.1634,0.5336,1.0,0.0199,0.4731,0.5
cellular_automata,483,CL,0.7892,0.2486,1.0,0.0,0.5,0.5
cellular_automata,484,CL,0.7892,0.5659,1.0,0.0,0.5119,0.5
cellular_automata,485,RG,0.0,0.4206,1.0,0.0397,0.4639,0.25
cellular_automata,486,CL,0.0,0.3876,1.0,0.0,0.5,0.25
cellular_automata,487,CL,0.0,3.2141,1.0,0.0,0.5116,0.25
cellular_automata,488,RG,0.0,0.1246,1.0,0.0199,0.3676,0.25
cellular_automata,489,CL,0.0,3.255,1.0,0.0,0.05,0.25
cellular_automata,490,CL,0.0,2.5432,1.0,0.2353,0.5119,0.25
cellular_automata,491,CL,0.0,2.8375,1.0,0.1695,0.5165,0.25
cellular_automata,492,CL,0.0,1.3079,1.0,0.0649,0.5022,0.25
cellular_automata,493,CL,0.0,0.949,1.0,0.0,0.5411,0.25
cellular_automata,494,CL,0.0,1.4051,1.0,0.0,0.5207,0.25
cellular_automata,495,RG,0.35,0.9411,1.0,0.6358,0.4687,0.5
cellular_automata,496,CL,0.0,1.0596,1.0,0.0,0.5656,0.25
cellular_automata,497,RG,0.0,0.2195,1.0,0.053,0.3971,0.25
cellular_automata,498,RG,0.0,0.0562,1.0,0.0265,0.4064,0.25
cellular_automata,499,RG,0.0,0.1439,1.0,0.0265,0.4896,0.25
coupled_map_lattice,0,CH,0.3356,0.9379,0.9997,0.3195,0.4671,0.75
coupled_map_lattice,1,RG,0.1634,0.5971,0.9998,0.145,0.3184,0.5
coupled_map_lattice,2,RG,0.0,0.5178,0.9999,0.07,0.3112,0.25
coupled_map_lattice,3,RG,0.6466,0.4918,0.9998,0.095,0.2344,0.5
coupled_map_lattice,4,CH,0.2781,1.0721,0.9998,0.5918,0.4413,0.5
coupled_map_lattice,5,CG,0.1187,0.412,0.9998,0.275,0.126,0.5
coupled_map_lattice,6,CG,0.0519,0.5786,0.9998,0.9949,0.1352,0.5
coupled_map_lattice,7,CH,0.531,0.8856,0.9999,0.808,0.3844,0.5
coupled_map_lattice,8,RG,0.7892,0.3147,0.9998,0.05,0.2142,0.5
coupled_map_lattice,9,RG,0.0,13.1845,1.0,0.085,0.1181,0.25
coupled_map_lattice,10,RG,0.2162,8.0685,0.9999,0.235,0.1429,0.5
coupled_map_lattice,11,CH,0.1634,0.5017,0.9999,0.5834,0.7484,0.5
coupled_map_lattice,12,CL,0.7892,0.6144,1.0,0.0226,0.5107,0.5
coupled_map_lattice,13,CL,0.7892,0.4112,1.0,0.0001,0.5059,0.5
coupled_map_lattice,14,RG,0.7892,1.2859,1.0,0.04,0.3099,0.5
coupled_map_lattice,15,CL,0.4335,0.4175,1.0,0.0109,0.5097,0.5
coupled_map_lattice,16,RG,0.0,0.5445,1.0,0.045,0.2328,0.25
coupled_map_lattice,17,RG,0.0,12.2067,1.0,0.06,0.4203,0.25
coupled_map_lattice,18,RG,0.0,30.9919,1.0,0.065,0.0684,0.25
coupled_map_lattice,19,CG,0.0817,0.868,0.9998,0.295,0.2561,0.5
coupled_map_lattice,20,CH,0.35,0.6021,0.9999,0.6272,0.4324,0.5
coupled_map_lattice,21,CH,0.35,0.8512,0.9999,0.5593,0.529,0.5
coupled_map_lattice,22,RG,0.1187,0.504,0.9999,0.045,0.04,0.5
coupled_map_lattice,23,CL,0.2162,0.7483,0.9999,0.0077,0.5621,0.5
coupled_map_lattice,24,RG,0.0,45.063,1.0,0.11,0.3432,0.25
coupled_map_lattice,25,RG,0.0,6.3802,0.9999,0.195,0.0985,0.25
coupled_map_lattice,26,RG,0.0,13.2548,1.0,0.055,0.1898,0.25
coupled_map_lattice,27,RG,0.0,0.5202,1.0,0.05,0.1385,0.25
coupled_map_lattice,28,RG,0.0,0.7054,0.9999,0.09,0.3195,0.25
coupled_map_lattice,29,RG,0.0,7.8929,0.9999,0.095,0.2252,0.25
coupled_map_lattice,30,RG,0.0,14.2409,1.0,0.12,0.0802,0.25
coupled_map_lattice,31,RG,0.0,0.3693,1.0,0.08,0.4551,0.25
coupled_map_lattice,32,RG,0.531,0.5129,0.9998,0.125,0.1698,0.5
coupled_map_lattice,33,RG,0.0,15.3186,1.0,0.095,0.3521,0.25
coupled_map_lattice,34,RG,0.0,1.199,0.9999,0.115,0.0344,0.25
coupled_map_lattice,35,CL,0.1187,0.6477,1.0,0.0004,0.5111,0.5
coupled_map_lattice,36,RG,0.7892,8.1447,0.9999,0.15,0.3589,0.5
coupled_map_lattice,37,CG,0.0817,0.9044,0.9999,0.7304,0.442,0.5
coupled_map_lattice,38,CL,0.0,0.4302,1.0,0.0,0.5022,0.25
coupled_map_lattice,39,RG,0.0,0.7582,0.9999,0.095,0.1396,0.25
coupled_map_lattice,40,CG,0.0129,1.0501,0.9998,0.9789,0.2663,0.5
coupled_map_lattice,41,RG,0.1605,0.4757,0.9996,0.1734,0.5317,1.0
coupled_map_lattice,42,CL,0.2781,0.5593,1.0,0.0008,0.5269,0.5
coupled_map_lattice,43,RG,0.35,9.0682,0.9999,0.23,0.1509,0.5
coupled_map_lattice,44,RG,0.0,21.3277,1.0,0.095,0.3221,0.25
coupled_map_lattice,45,CH,0.4625,0.8542,0.9998,0.2581,0.5596,0.75
coupled_map_lattice,46,CL,0.7892,0.5248,1.0,0.0,0.5307,0.5
coupled_map_lattice,47,CG,0.2808,0.4422,0.9994,0.33,0.207,1.0
coupled_map_lattice,48,CL,0.4335,0.4175,0.9999,0.0226,0.5375,0.5
coupled_map_lattice,49,CG,0.2162,0.3739,0.9999,0.8611,0.3115,0.5
coupled_map_lattice,50,RG,0.35,0.6277,0.9998,0.065,0.2916,0.5
coupled_map_lattice,51,RG,0.0,1.7206,1.0,0.055,0.2845,0.25
coupled_map_lattice,52,CH,0.1187,0.4353,0.9998,0.7057,0.5876,0.5
coupled_map_lattice,53,CH,0.0129,0.4044,0.9999,0.8741,0.3464,0.5
coupled_map_lattice,54,CL,0.0,0.431,0.9991,0.0,0.7923,0.5
coupled_map_lattice,55,RG,0.0,2.104,0.9999,0.11,0.2488,0.25
coupled_map_lattice,56,CG,0.0129,1.0337,0.9998,0.9278,0.2143,0.5
coupled_map_lattice,57,RG,0.0,0.4533,1.0,0.105,0.3792,0.25
coupled_map_lattice,58,CH,0.1187,1.1396,0.9998,0.9769,0.1031,0.5
coupled_map_lattice,59,RG,0.0,8.5234,1.0,0.075,0.3485,0.25
coupled_map_lattice,60,CG,0.2781,0.8651,0.9999,0.7755,0.3814,0.5
coupled_map_lattice,61,CL,0.7892,0.6919,1.0,0.0252,0.6077,0.5
coupled_map_lattice,62,RG,0.2162,0.6497,0.9999,0.055,0.4788,0.5
coupled_map_lattice,63,RG,0.7892,0.3377,0.9999,0.085,0.4789,0.5
coupled_map_lattice,64,CG,0.3807,0.4596,0.9981,0.7049,0.0718,0.75
coupled_map_lattice,65,RG,0.0,0.7299,1.0,0.045,0.2715,0.25
coupled_map_lattice,66,RG,0.0,16.8264,1.0,0.105,0.0647,0.25
coupled_map_lattice,67,RG,0.0,2.6642,1.0,0.06,0.1478,0.25
coupled_map_lattice,68,RG,0.0,12.7818,1.0,0.13,0.0059,0.25
coupled_map_lattice,69,CG,0.1104,0.4317,0.9995,0.1783,0.2726,1.0
coupled_map_lattice,70,RG,0.4184,0.2614,0.9999,0.0642,0.4042,0.75
coupled_map_lattice,71,RG,0.7892,0.5642,0.9999,0.1,0.4877,0.5
coupled_map_lattice,72,CH,0.2164,0.9601,0.9997,0.0256,0.546,0.75
coupled_map_lattice,73,RG,0.0,8.7755,1.0,0.06,0.4017,0.25
coupled_map_lattice,74,RG,0.531,0.5534,0.9999,0.13,0.2281,0.5
coupled_map_lattice,75,RG,0.0,11.7372,1.0,0.08,0.4277,0.25
coupled_map_lattice,76,CH,0.4335,0.5238,0.9999,0.7484,0.3925,0.5
coupled_map_lattice,77,RG,0.0,29.2667,1.0,0.075,0.139,0.25
coupled_map_lattice,78,RG,0.0,5.4834,0.9999,0.135,0.1005,0.25
coupled_map_lattice,79,RG,0.0,1.2662,0.9999,0.06,0.3785,0.25
coupled_map_lattice,80,CH,0.27,0.4764,0.9991,0.5006,0.2527,1.0
coupled_map_lattice,81,RG,0.0,10.447,1.0,0.07,0.4296,0.25
coupled_map_lattice,82,RG,0.531,0.5121,0.9998,0.065,0.2271,0.5
coupled_map_lattice,83,RG,0.0,1.44,1.0,0.07,0.4698,0.25
coupled_map_lattice,84,RG,0.0,11.9386,1.0,0.1,0.3064,0.25
coupled_map_lattice,85,RG,0.6466,0.7078,0.9999,0.055,0.0396,0.5
coupled_map_lattice,86,CG,0.0519,4.8324,0.9999,0.21,0.1885,0.5
coupled_map_lattice,87,RG,0.0,0.6313,0.9999,0.065,0.2439,0.25
coupled_map_lattice,88,CG,0.0817,3.7653,0.9997,0.34,0.0535,0.5
coupled_map_lattice,89,RG,0.0,17.0597,1.0,0.08,0.3058,0.25
coupled_map_lattice,90,RG,0.0032,0.643,0.9999,0.0547,0.6032,0.5
coupled_map_lattice,91,RG,0.0,0.6109,0.9999,0.035,0.2779,0.25
coupled_map_lattice,92,CL,0.2781,1.3584,0.9999,0.0138,0.5994,0.5
coupled_map_lattice,93,CG,0.2162,0.4523,0.9992,0.405,0.2848,0.5
coupled_map_lattice,94,RG,0.7892,0.4636,1.0,0.04,0.245,0.5
coupled_map_lattice,95,RG,0.0,2.4516,1.0,0.085,0.4218,0.25
coupled_map_lattice,96,RG,0.0,11.4756,1.0,0.095,0.311,0.25
coupled_map_lattice,97,RG,0.35,0.8776,0.9998,0.15,0.2162,0.5
coupled_map_lattice,98,CL,0.1187,0.4291,0.9999,0.0757,0.7304,0.5
coupled_map_lattice,99,RG,0.0,0.3893,1.0,0.065,0.3907,0.25
coupled_map_lattice,100,RG,0.0,9.3229,1.0,0.1,0.4507,0.25
coupled_map_lattice,101,RG,0.0,0.5517,0.9999,0.06,0.2704,0.25
coupled_map_lattice,102,CG,0.029,1.0451,0.9998,0.26,0.1339,0.5
coupled_map_lattice,103,CG,0.06,0.7103,0.9992,0.4089,0.4609,1.0
coupled_map_lattice,104,CH,0.4625,0.9219,0.9998,0.3356,0.5118,0.75
coupled_map_lattice,105,CH,0.0878,0.6003,0.9993,0.4276,0.2692,1.0
coupled_map_lattice,106,CH,0.3807,0.8167,0.9998,0.5223,0.5564,0.75
coupled_map_lattice,107,CG,0.0032,4.7919,0.9998,0.23,0.1545,0.5
coupled_map_lattice,108,RG,0.4335,1.2981,0.9999,0.0719,0.516,0.5
coupled_map_lattice,109,CH,0.0817,0.536,0.9998,0.3102,0.6399,0.5
coupled_map_lattice,110,RG,0.0,36.1295,1.0,0.07,0.403,0.25
coupled_map_lattice,111,RG,0.0519,0.8167,0.9998,0.24,0.0169,0.5
coupled_map_lattice,112,RG,0.0,3.6979,1.0,0.06,0.4995,0.25
coupled_map_lattice,113,RG,0.0,19.8726,1.0,0.07,0.2054,0.25
coupled_map_lattice,114,RG,0.0,0.4211,0.9999,0.06,0.4995,0.25
coupled_map_lattice,115,RG,0.6462,0.4612,0.9999,0.1048,0.4409,0.75
coupled_map_lattice,116,RG,0.0032,3.1101,0.9998,0.22,0.051,0.5
coupled_map_lattice,117,CH,0.514,0.4346,0.9998,0.4181,0.4933,0.75
coupled_map_lattice,118,CH,0.2618,0.4672,0.999,0.6298,0.4104,0.75
coupled_map_lattice,119,RG,0.0,12.7306,1.0,0.07,0.3698,0.25
coupled_map_lattice,120,RG,0.2781,0.431,0.9998,0.095,0.3949,0.5
coupled_map_lattice,121,CL,0.6466,0.3154,0.9999,0.0944,0.369,0.5
coupled_map_lattice,122,RG,0.0,0.3701,0.9999,0.065,0.3385,0.25
coupled_map_lattice,123,CH,0.029,0.4558,0.9999,0.8393,0.4215,0.5
coupled_map_lattice,124,RG,0.0,22.8979,1.0,0.09,0.3763,0.25
coupled_map_lattice,125,RG,0.0,2.5917,1.0,0.06,0.4035,0.25
coupled_map_lattice,126,CG,0.4184,0.4071,0.9998,0.437,0.5594,0.75
coupled_map_lattice,127,RG,0.0,9.5072,1.0,0.085,0.0781,0.25
coupled_map_lattice,128,CG,0.2781,0.9969,0.9998,0.9257,0.217,0.5
coupled_map_lattice,129,RG,0.0,4.5714,1.0,0.06,0.3306,0.25
coupled_map_lattice,130,CG,0.0129,5.1123,0.9999,0.27,0.1343,0.5
coupled_map_lattice,131,CG,0.029,0.7657,0.9998,0.19,0.2705,0.5
coupled_map_lattice,132,RG,0.0,0.5699,1.0,0.06,0.0509,0.25
coupled_map_lattice,133,RG,0.35,0.5383,0.9998,0.115,0.212,0.5
coupled_map_lattice,134,RG,0.6466,1.2432,0.9998,0.075,0.3265,0.5
coupled_map_lattice,135,CG,0.0129,0.686,0.9998,0.9549,0.2753,0.5
coupled_map_lattice,136,RG,0.0,0.7037,0.9999,0.12,0.2764,0.25
coupled_map_lattice,137,CG,0.2781,3.2632,0.9996,0.47,0.0995,0.5
coupled_map_lattice,138,RG,0.0,4.9064,1.0,0.095,0.3984,0.25
coupled_map_lattice,139,CH,0.0499,0.3899,0.9996,0.1473,0.5087,0.75
coupled_map_lattice,140,RG,0.0,10.2383,1.0,0.09,0.4428,0.25
coupled_map_lattice,141,CL,0.029,0.504,1.0,0.0008,0.5308,0.5
coupled_map_lattice,142,CH,0.4625,0.954,0.9998,0.1627,0.505,0.75
coupled_map_lattice,143,RG,0.0,14.2194,1.0,0.075,0.4886,0.25
coupled_map_lattice,144,RG,0.0817,0.6432,0.9999,0.0659,0.3583,0.5
coupled_map_lattice,145,CG,0.0129,0.8056,0.9998,0.25,0.1344,0.5
coupled_map_lattice,146,CH,0.35,0.895,0.9999,0.866,0.2977,0.5
coupled_map_lattice,147,RG,0.1187,0.6119,0.9999,0.27,0.0378,0.5
coupled_map_lattice,148,RG,0.0,12.9165,1.0,0.095,0.323,0.25
coupled_map_lattice,149,RG,0.0,0.3646,1.0,0.06,0.4996,0.25
coupled_map_lattice,150,CG,0.4335,0.8803,0.9998,0.4347,0.5017,0.5
coupled_map_lattice,151,CG,0.35,1.2524,0.9999,0.8776,0.3299,0.5
coupled_map_lattice,152,CG,0.35,0.6829,0.9996,0.415,0.1082,0.5
coupled_map_lattice,153,CG,0.1187,2.0851,0.9998,0.165,0.2079,0.5
coupled_map_lattice,154,RG,0.531,0.4101,0.9998,0.09,0.4188,0.5
coupled_map_lattice,155,CG,0.0817,0.4257,0.9999,0.19,0.3818,0.5
coupled_map_lattice,156,CH,0.3807,0.437,0.9999,0.6147,0.4499,0.75
coupled_map_lattice,157,RG,0.4335,0.5468,0.9998,0.085,0.1426,0.5
coupled_map_lattice,158,CG,0.029,0.5739,0.9998,0.9523,0.3418,0.5
coupled_map_lattice,159,CG,0.2618,1.3473,0.9996,0.7758,0.5619,0.75
coupled_map_lattice,160,CH,0.029,0.6143,0.9999,0.8811,0.327,0.5
coupled_map_lattice,161,RG,0.0,0.529,1.0,0.085,0.2717,0.25
coupled_map_lattice,162,RG,0.0,3.6367,1.0,0.055,0.4905,0.25
coupled_map_lattice,163,CH,0.0817,0.4542,0.9998,0.3191,0.5712,0.5
coupled_map_lattice,164,RG,0.1187,0.4802,0.9998,0.145,0.2476,0.5
coupled_map_lattice,165,RG,0.0,4.5396,1.0,0.065,0.4732,0.25
coupled_map_lattice,166,RG,0.0,21.2422,1.0,0.07,0.4462,0.25
coupled_map_lattice,167,CH,0.35,0.9822,0.9998,0.7957,0.3726,0.5
coupled_map_lattice,168,CH,0.2781,0.6677,0.9999,0.8108,0.3315,0.5
coupled_map_lattice,169,RG,0.0,0.2923,0.9999,0.035,0.3742,0.25
coupled_map_lattice,170,RG,0.1187,0.4192,0.9998,0.16,0.1896,0.5
coupled_map_lattice,171,RG,0.2781,0.6015,0.9998,0.08,0.367,0.5
coupled_map_lattice,172,CG,0.029,2.048,0.9998,0.255,0.0736,0.5
coupled_map_lattice,173,RG,0.0,36.0598,1.0,0.06,0.3425,0.25
