depth,sector,condition,rg_similarity,propagation_coherence,locality_constraint_stability,conservation_transport_alignment,proto_field_persistence,recursive_interaction_boundedness,constrained_relation_gain,classification
65536,Projection,InteractionLimitedStabilization,0.9272,0.9107,0.8972,0.895,0.8841,0.8984,0.8853,PROTO-PHYSICAL-STABLE
131072,Projection,InteractionLimitedStabilization,0.8175,0.7928,0.7923,0.7955,0.7819,0.7842,0.7956,PROTO-PHYSICAL-PARTIAL
1,Projection,NullPhysicalizationControl,0.7608,0.7085,0.72,0.7197,0.6884,0.6752,0.7227,PROTO-PHYSICAL-PARTIAL
2,Projection,NullPhysicalizationControl,0.751,0.7312,0.706,0.6901,0.7145,0.7049,0.7158,PROTO-PHYSICAL-PARTIAL
4,Projection,NullPhysicalizationControl,0.7635,0.7418,0.7302,0.7023,0.6811,0.6762,0.6978,PROTO-PHYSICAL-PARTIAL
6,Projection,NullPhysicalizationControl,0.776,0.7057,0.7264,0.7185,0.7109,0.6737,0.7016,PROTO-PHYSICAL-PARTIAL
8,Projection,NullPhysicalizationControl,0.7808,0.7395,0.7222,0.7075,0.707,0.698,0.712,PROTO-PHYSICAL-PARTIAL
12,Projection,NullPhysicalizationControl,0.7714,0.7226,0.7155,0.7189,0.7064,0.6912,0.7005,PROTO-PHYSICAL-PARTIAL
16,Projection,NullPhysicalizationControl,0.7687,0.7436,0.7164,0.7199,0.7113,0.6981,0.7109,PROTO-PHYSICAL-PARTIAL
20,Projection,NullPhysicalizationControl,0.7704,0.7156,0.7051,0.7214,0.6979,0.7043,0.7171,PROTO-PHYSICAL-PARTIAL
24,Projection,NullPhysicalizationControl,0.7674,0.7093,0.7164,0.7163,0.7004,0.7033,0.7166,PROTO-PHYSICAL-PARTIAL
32,Projection,NullPhysicalizationControl,0.771,0.7428,0.7187,0.7155,0.6759,0.674,0.7184,PROTO-PHYSICAL-PARTIAL
40,Projection,NullPhysicalizationControl,0.752,0.7387,0.7112,0.7146,0.6796,0.6945,0.7034,PROTO-PHYSICAL-PARTIAL
48,Projection,NullPhysicalizationControl,0.7494,0.7073,0.7071,0.7009,0.6863,0.6805,0.687,PROTO-PHYSICAL-PARTIAL
64,Projection,NullPhysicalizationControl,0.7662,0.7336,0.6957,0.6917,0.6763,0.6781,0.6885,PROTO-PHYSICAL-PARTIAL
80,Projection,NullPhysicalizationControl,0.7531,0.7152,0.6999,0.7212,0.6999,0.6662,0.6964,PROTO-PHYSICAL-PARTIAL
96,Projection,NullPhysicalizationControl,0.7804,0.7375,0.7078,0.7023,0.7002,0.6954,0.6949,PROTO-PHYSICAL-PARTIAL
128,Projection,NullPhysicalizationControl,0.7796,0.719,0.7318,0.6984,0.7127,0.6716,0.7147,PROTO-PHYSICAL-PARTIAL
160,Projection,NullPhysicalizationControl,0.7521,0.7177,0.7238,0.6887,0.6765,0.6783,0.6975,PROTO-PHYSICAL-PARTIAL
192,Projection,NullPhysicalizationControl,0.7775,0.7252,0.7208,0.6882,0.699,0.6657,0.7242,PROTO-PHYSICAL-PARTIAL
256,Projection,NullPhysicalizationControl,0.755,0.7186,0.7314,0.691,0.6841,0.7021,0.7199,PROTO-PHYSICAL-PARTIAL
320,Projection,NullPhysicalizationControl,0.7698,0.7344,0.7164,0.7141,0.6833,0.6999,0.7221,PROTO-PHYSICAL-PARTIAL
512,Projection,NullPhysicalizationControl,0.7639,0.7302,0.7298,0.6962,0.6959,0.6976,0.7,PROTO-PHYSICAL-PARTIAL
768,Projection,NullPhysicalizationControl,0.7642,0.7161,0.7314,0.706,0.7133,0.6716,0.7173,PROTO-PHYSICAL-PARTIAL
1024,Projection,NullPhysicalizationControl,0.747,0.7187,0.7106,0.7206,0.6995,0.7007,0.6982,PROTO-PHYSICAL-PARTIAL
1536,Projection,NullPhysicalizationControl,0.7771,0.7141,0.7263,0.6881,0.6983,0.6844,0.6934,PROTO-PHYSICAL-PARTIAL
2048,Projection,NullPhysicalizationControl,0.757,0.7325,0.7081,0.7088,0.6972,0.6779,0.7001,PROTO-PHYSICAL-PARTIAL
3072,Projection,NullPhysicalizationControl,0.7624,0.7161,0.6988,0.6933,0.6821,0.6995,0.7028,PROTO-PHYSICAL-PARTIAL
4096,Projection,NullPhysicalizationControl,0.7428,0.7387,0.6992,0.6994,0.6777,0.6844,0.6931,PROTO-PHYSICAL-PARTIAL
6144,Projection,NullPhysicalizationControl,0.7699,0.7067,0.6993,0.6914,0.6697,0.6823,0.7021,PROTO-PHYSICAL-PARTIAL
8192,Projection,NullPhysicalizationControl,0.7615,0.716,0.6879,0.6798,0.6773,0.6654,0.6981,PROTO-PHYSICAL-PARTIAL
12288,Projection,NullPhysicalizationControl,0.7487,0.6951,0.6909,0.7081,0.6757,0.6529,0.6952,PROTO-PHYSICAL-DEGRADING
16384,Projection,NullPhysicalizationControl,0.7512,0.6852,0.712,0.6837,0.6829,0.6537,0.6834,PROTO-PHYSICAL-DEGRADING
24576,Projection,NullPhysicalizationControl,0.7472,0.7063,0.672,0.6692,0.6764,0.6698,0.6549,PROTO-PHYSICAL-PARTIAL
32768,Projection,NullPhysicalizationControl,0.7342,0.6899,0.6719,0.6809,0.6621,0.6527,0.6646,PROTO-PHYSICAL-DEGRADING
65536,Projection,NullPhysicalizationControl,0.6702,0.6483,0.6209,0.6067,0.6193,0.5897,0.6107,PROTO-PHYSICAL-DEGRADING
131072,Projection,NullPhysicalizationControl,0.6165,0.5645,0.5737,0.5492,0.5605,0.5463,0.5682,PROTO-PHYSICAL-DEGRADING
1,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.9193,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Antisymmetry,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24576,Antisymmetry,ConstrainedTransportPropagation,0.96,0.9589,0.9373,0.93,0.9148,0.91,0.9263,PROTO-PHYSICAL-STABLE
32768,Antisymmetry,ConstrainedTransportPropagation,0.9552,0.9307,0.94,0.9076,0.9013,0.9021,0.93,PROTO-PHYSICAL-STABLE
65536,Antisymmetry,ConstrainedTransportPropagation,0.9145,0.9055,0.8873,0.8638,0.8553,0.8502,0.8686,PROTO-PHYSICAL-STABLE
131072,Antisymmetry,ConstrainedTransportPropagation,0.8142,0.8004,0.7705,0.7755,0.7654,0.7374,0.7644,PROTO-PHYSICAL-BOUNDED
1,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.9246,PROTO-PHYSICAL-STABLE
16384,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.9061,0.93,PROTO-PHYSICAL-STABLE
24576,Antisymmetry,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.8882,0.93,PROTO-PHYSICAL-STABLE
32768,Antisymmetry,RecursiveLocalityEmergence,0.9585,0.9232,0.9361,0.9202,0.8878,0.8868,0.893,PROTO-PHYSICAL-STABLE
65536,Antisymmetry,RecursiveLocalityEmergence,0.8994,0.8793,0.8831,0.8494,0.8443,0.8397,0.8561,PROTO-PHYSICAL-BOUNDED
131072,Antisymmetry,RecursiveLocalityEmergence,0.8313,0.7936,0.7915,0.765,0.7682,0.764,0.7515,PROTO-PHYSICAL-PARTIAL
1,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Antisymmetry,ConservationBoundInteraction,0.96,0.9533,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Antisymmetry,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.9292,PROTO-PHYSICAL-STABLE
24576,Antisymmetry,ConservationBoundInteraction,0.96,0.925,0.94,0.93,0.9127,0.91,0.9198,PROTO-PHYSICAL-STABLE
32768,Antisymmetry,ConservationBoundInteraction,0.96,0.934,0.9216,0.93,0.9097,0.907,0.9086,PROTO-PHYSICAL-STABLE
65536,Antisymmetry,ConservationBoundInteraction,0.9094,0.873,0.8818,0.8688,0.8401,0.8439,0.864,PROTO-PHYSICAL-BOUNDED
131072,Antisymmetry,ConservationBoundInteraction,0.8095,0.7893,0.7789,0.7759,0.7724,0.7709,0.7701,PROTO-PHYSICAL-PARTIAL
1,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.9586,0.9325,0.93,0.92,0.8996,0.9282,PROTO-PHYSICAL-STABLE
24576,Antisymmetry,ProtoFieldCoherenceMapping,0.96,0.9541,0.9182,0.9119,0.92,0.8904,0.9173,PROTO-PHYSICAL-STABLE
32768,Antisymmetry,ProtoFieldCoherenceMapping,0.9554,0.9365,0.9022,0.902,0.92,0.8785,0.928,PROTO-PHYSICAL-STABLE
65536,Antisymmetry,ProtoFieldCoherenceMapping,0.9232,0.8886,0.8561,0.8621,0.879,0.8439,0.8773,PROTO-PHYSICAL-BOUNDED
131072,Antisymmetry,ProtoFieldCoherenceMapping,0.8242,0.8027,0.7836,0.78,0.7863,0.736,0.7759,PROTO-PHYSICAL-BOUNDED
1,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
