depth,sector,formalism,hierarchy_consistency,formalism_stability,structural_overlap,null_formalism_distance,recursive_retention,rg_similarity,classification
8,Antisymmetry-Neutral,Null,0.3604,0.3978,0.2881,0.05,0.3402,0.6522,FORMALISM-DEPENDENT
12,Antisymmetry-Neutral,Null,0.3329,0.366,0.2587,0.05,0.3379,0.6557,FORMALISM-DEPENDENT
16,Antisymmetry-Neutral,Null,0.2981,0.3457,0.2447,0.05,0.3024,0.61,FORMALISM-DEPENDENT
20,Antisymmetry-Neutral,Null,0.2852,0.3187,0.2286,0.05,0.2923,0.558,FORMALISM-DEPENDENT
1,Projection-Antisymmetry-Neutral,Baseline,0.7583,0.7256,0.7294,0.3056,0.7633,0.7856,FORMALISM-ROBUST
2,Projection-Antisymmetry-Neutral,Baseline,0.756,0.7194,0.7065,0.3323,0.7505,0.7727,FORMALISM-ROBUST
4,Projection-Antisymmetry-Neutral,Baseline,0.7128,0.6975,0.6858,0.3005,0.7143,0.7474,FORMALISM-ROBUST
6,Projection-Antisymmetry-Neutral,Baseline,0.7065,0.6729,0.6432,0.2955,0.6779,0.7751,FORMALISM-SENSITIVE
8,Projection-Antisymmetry-Neutral,Baseline,0.6554,0.6291,0.6034,0.2879,0.6507,0.7337,FORMALISM-SENSITIVE
12,Projection-Antisymmetry-Neutral,Baseline,0.6116,0.6034,0.5736,0.2523,0.6048,0.7134,NULL-SEPARATED
16,Projection-Antisymmetry-Neutral,Baseline,0.5723,0.5721,0.5328,0.2478,0.5742,0.6696,FORMALISM-DEPENDENT
20,Projection-Antisymmetry-Neutral,Baseline,0.5497,0.5188,0.5137,0.2372,0.5413,0.5878,FORMALISM-DEPENDENT
1,Projection-Antisymmetry-Neutral,Graph,0.7522,0.7367,0.6737,0.3087,0.7389,0.8167,FORMALISM-ROBUST
2,Projection-Antisymmetry-Neutral,Graph,0.7176,0.7239,0.6528,0.2996,0.7238,0.7682,FORMALISM-ROBUST
4,Projection-Antisymmetry-Neutral,Graph,0.7006,0.6704,0.6399,0.2886,0.6855,0.7909,FORMALISM-SENSITIVE
6,Projection-Antisymmetry-Neutral,Graph,0.6583,0.6598,0.614,0.2872,0.6612,0.7496,FORMALISM-SENSITIVE
8,Projection-Antisymmetry-Neutral,Graph,0.6246,0.6247,0.5879,0.248,0.6328,0.7332,FORMALISM-DEPENDENT
12,Projection-Antisymmetry-Neutral,Graph,0.5951,0.593,0.5552,0.2317,0.5938,0.6601,FORMALISM-DEPENDENT
16,Projection-Antisymmetry-Neutral,Graph,0.5641,0.5548,0.5055,0.2295,0.5494,0.6227,FORMALISM-DEPENDENT
20,Projection-Antisymmetry-Neutral,Graph,0.5242,0.5179,0.4855,0.2084,0.511,0.5897,FORMALISM-DEPENDENT
1,Projection-Antisymmetry-Neutral,Tensor,0.745,0.7087,0.652,0.3031,0.726,0.7747,FORMALISM-ROBUST
2,Projection-Antisymmetry-Neutral,Tensor,0.7049,0.6821,0.6515,0.3068,0.695,0.7835,FORMALISM-SENSITIVE
4,Projection-Antisymmetry-Neutral,Tensor,0.695,0.6691,0.6208,0.2591,0.6701,0.7382,FORMALISM-SENSITIVE
6,Projection-Antisymmetry-Neutral,Tensor,0.6715,0.6614,0.6165,0.264,0.6475,0.7459,NULL-SEPARATED
8,Projection-Antisymmetry-Neutral,Tensor,0.6301,0.6367,0.5879,0.2554,0.6341,0.6947,NULL-SEPARATED
12,Projection-Antisymmetry-Neutral,Tensor,0.5717,0.5866,0.5483,0.2412,0.5727,0.639,FORMALISM-DEPENDENT
16,Projection-Antisymmetry-Neutral,Tensor,0.5578,0.5282,0.5149,0.2179,0.5529,0.616,FORMALISM-DEPENDENT
20,Projection-Antisymmetry-Neutral,Tensor,0.5207,0.5065,0.4765,0.2196,0.4986,0.5543,FORMALISM-DEPENDENT
1,Projection-Antisymmetry-Neutral,Probabilistic,0.715,0.7128,0.6451,0.2678,0.7021,0.7539,FORMALISM-SENSITIVE
2,Projection-Antisymmetry-Neutral,Probabilistic,0.6939,0.6705,0.6449,0.2896,0.6765,0.7549,FORMALISM-SENSITIVE
4,Projection-Antisymmetry-Neutral,Probabilistic,0.6502,0.6504,0.6088,0.2673,0.6517,0.7411,FORMALISM-SENSITIVE
6,Projection-Antisymmetry-Neutral,Probabilistic,0.6287,0.6311,0.5867,0.2408,0.6424,0.6948,FORMALISM-DEPENDENT
8,Projection-Antisymmetry-Neutral,Probabilistic,0.6185,0.6044,0.5424,0.2413,0.6114,0.6639,FORMALISM-DEPENDENT
12,Projection-Antisymmetry-Neutral,Probabilistic,0.5624,0.553,0.5232,0.2409,0.5614,0.6175,FORMALISM-DEPENDENT
16,Projection-Antisymmetry-Neutral,Probabilistic,0.5454,0.527,0.4784,0.2241,0.5176,0.6205,FORMALISM-DEPENDENT
20,Projection-Antisymmetry-Neutral,Probabilistic,0.4928,0.5042,0.4577,0.2061,0.4965,0.5628,FORMALISM-DEPENDENT
1,Projection-Antisymmetry-Neutral,Null,0.4271,0.4433,0.331,0.05,0.393,0.7356,FORMALISM-DEPENDENT
2,Projection-Antisymmetry-Neutral,Null,0.3891,0.4518,0.3074,0.05,0.3994,0.7543,FORMALISM-DEPENDENT
4,Projection-Antisymmetry-Neutral,Null,0.4055,0.4336,0.2784,0.05,0.3701,0.7188,FORMALISM-DEPENDENT
6,Projection-Antisymmetry-Neutral,Null,0.3652,0.4085,0.2715,0.05,0.3642,0.7173,FORMALISM-DEPENDENT
8,Projection-Antisymmetry-Neutral,Null,0.3569,0.3801,0.2644,0.05,0.3616,0.6772,FORMALISM-DEPENDENT
12,Projection-Antisymmetry-Neutral,Null,0.3486,0.3696,0.2573,0.05,0.3118,0.6488,FORMALISM-DEPENDENT
16,Projection-Antisymmetry-Neutral,Null,0.2996,0.3225,0.2475,0.05,0.2987,0.5632,FORMALISM-DEPENDENT
20,Projection-Antisymmetry-Neutral,Null,0.2818,0.3238,0.2102,0.05,0.2875,0.5697,FORMALISM-DEPENDENT
