depth,sector,condition,rg_similarity,memory_persistence,historical_encoding_strength,lineage_memory_transfer,adaptive_history_modulation,reconstruction_accuracy,transport_memory_alignment,classification
2,Antisymmetry,RecursiveMemoryPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Antisymmetry,RecursiveMemoryPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Antisymmetry,RecursiveMemoryPersistence,0.96,0.94,0.9211,0.92,0.91,0.897,0.92,MEMORY-STABLE
8,Antisymmetry,RecursiveMemoryPersistence,0.9546,0.9271,0.9119,0.9168,0.91,0.9,0.9137,MEMORY-STABLE
12,Antisymmetry,RecursiveMemoryPersistence,0.9387,0.8997,0.8736,0.8691,0.8841,0.8491,0.8886,MEMORY-BOUNDED
16,Antisymmetry,RecursiveMemoryPersistence,0.891,0.8897,0.841,0.8385,0.8492,0.827,0.857,MEMORY-BOUNDED
20,Antisymmetry,RecursiveMemoryPersistence,0.8812,0.8358,0.8135,0.8076,0.826,0.7919,0.819,MEMORY-BOUNDED
24,Antisymmetry,RecursiveMemoryPersistence,0.8252,0.8122,0.8097,0.7968,0.7727,0.7786,0.8022,MEMORY-BOUNDED
32,Antisymmetry,RecursiveMemoryPersistence,0.8006,0.7564,0.7452,0.7471,0.751,0.7179,0.7461,MEMORY-PARTIAL
40,Antisymmetry,RecursiveMemoryPersistence,0.7339,0.7245,0.715,0.6885,0.6988,0.6733,0.6933,MEMORY-PARTIAL
48,Antisymmetry,RecursiveMemoryPersistence,0.6967,0.6715,0.6827,0.6769,0.6472,0.6394,0.6549,MEMORY-DEGRADING
64,Antisymmetry,RecursiveMemoryPersistence,0.6429,0.6059,0.6159,0.5965,0.5837,0.5907,0.5968,MEMORY-DEGRADING
80,Antisymmetry,RecursiveMemoryPersistence,0.5846,0.569,0.5435,0.5506,0.5287,0.5258,0.5354,MEMORY-DEGRADING
96,Antisymmetry,RecursiveMemoryPersistence,0.5357,0.5068,0.4956,0.4972,0.5009,0.493,0.5031,MEMORY-FAILED
128,Antisymmetry,RecursiveMemoryPersistence,0.4492,0.4349,0.4418,0.4289,0.4328,0.4143,0.4318,MEMORY-FAILED
160,Antisymmetry,RecursiveMemoryPersistence,0.3994,0.3952,0.3732,0.3737,0.3729,0.3661,0.3722,MEMORY-FAILED
192,Antisymmetry,RecursiveMemoryPersistence,0.3588,0.3408,0.3414,0.3349,0.3254,0.3238,0.3412,MEMORY-FAILED
256,Antisymmetry,RecursiveMemoryPersistence,0.2931,0.2851,0.2747,0.272,0.2746,0.2682,0.2696,MEMORY-FAILED
320,Antisymmetry,RecursiveMemoryPersistence,0.2474,0.2362,0.2315,0.2309,0.2339,0.2303,0.2327,MEMORY-FAILED
512,Antisymmetry,RecursiveMemoryPersistence,0.1659,0.1659,0.1586,0.1625,0.1569,0.1584,0.1588,MEMORY-FAILED
768,Antisymmetry,RecursiveMemoryPersistence,0.12,0.1145,0.1122,0.1107,0.1091,0.1094,0.1117,MEMORY-FAILED
1024,Antisymmetry,RecursiveMemoryPersistence,0.0917,0.0885,0.0876,0.0879,0.0846,0.0861,0.0871,MEMORY-FAILED
1536,Antisymmetry,RecursiveMemoryPersistence,0.0618,0.0605,0.0609,0.0592,0.0601,0.059,0.0598,MEMORY-FAILED
2048,Antisymmetry,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Antisymmetry,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Antisymmetry,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Antisymmetry,LineageInheritanceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Antisymmetry,LineageInheritanceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Antisymmetry,LineageInheritanceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Antisymmetry,LineageInheritanceAnalysis,0.96,0.94,0.9264,0.92,0.91,0.8915,0.9023,MEMORY-STABLE
8,Antisymmetry,LineageInheritanceAnalysis,0.9341,0.94,0.9078,0.92,0.8877,0.8676,0.9186,MEMORY-STABLE
12,Antisymmetry,LineageInheritanceAnalysis,0.9027,0.889,0.8735,0.8926,0.8615,0.8533,0.8519,MEMORY-BOUNDED
16,Antisymmetry,LineageInheritanceAnalysis,0.9024,0.8614,0.8569,0.8423,0.8261,0.8182,0.8284,MEMORY-BOUNDED
20,Antisymmetry,LineageInheritanceAnalysis,0.8473,0.8524,0.835,0.8299,0.7953,0.7997,0.8163,MEMORY-BOUNDED
24,Antisymmetry,LineageInheritanceAnalysis,0.8176,0.8054,0.7887,0.8124,0.7816,0.7752,0.7823,MEMORY-PARTIAL
32,Antisymmetry,LineageInheritanceAnalysis,0.7719,0.7505,0.7553,0.7538,0.7343,0.7142,0.7396,MEMORY-PARTIAL
40,Antisymmetry,LineageInheritanceAnalysis,0.7268,0.7214,0.7064,0.695,0.6981,0.6931,0.6901,MEMORY-PARTIAL
48,Antisymmetry,LineageInheritanceAnalysis,0.6864,0.6794,0.6673,0.6744,0.6502,0.6322,0.6462,MEMORY-DEGRADING
64,Antisymmetry,LineageInheritanceAnalysis,0.6176,0.6169,0.5984,0.6144,0.5765,0.5898,0.5933,MEMORY-DEGRADING
80,Antisymmetry,LineageInheritanceAnalysis,0.5649,0.5482,0.5457,0.5541,0.5302,0.5247,0.5288,MEMORY-FAILED
96,Antisymmetry,LineageInheritanceAnalysis,0.513,0.5069,0.5113,0.5003,0.4826,0.4939,0.4998,MEMORY-FAILED
128,Antisymmetry,LineageInheritanceAnalysis,0.44,0.4472,0.4269,0.4265,0.4208,0.4197,0.4198,MEMORY-FAILED
160,Antisymmetry,LineageInheritanceAnalysis,0.3995,0.3823,0.3747,0.3882,0.3641,0.3642,0.3731,MEMORY-FAILED
192,Antisymmetry,LineageInheritanceAnalysis,0.3511,0.3421,0.3416,0.339,0.3217,0.326,0.3282,MEMORY-FAILED
256,Antisymmetry,LineageInheritanceAnalysis,0.282,0.2848,0.2775,0.2763,0.2655,0.2683,0.271,MEMORY-FAILED
320,Antisymmetry,LineageInheritanceAnalysis,0.2388,0.2418,0.2331,0.2343,0.2314,0.2212,0.2307,MEMORY-FAILED
512,Antisymmetry,LineageInheritanceAnalysis,0.1677,0.1647,0.1624,0.1642,0.1547,0.1542,0.1594,MEMORY-FAILED
768,Antisymmetry,LineageInheritanceAnalysis,0.1197,0.1147,0.1149,0.1136,0.1083,0.1113,0.1114,MEMORY-FAILED
1024,Antisymmetry,LineageInheritanceAnalysis,0.0908,0.0903,0.0865,0.0894,0.0867,0.0844,0.0871,MEMORY-FAILED
1536,Antisymmetry,LineageInheritanceAnalysis,0.063,0.0606,0.0613,0.0609,0.0581,0.059,0.0582,MEMORY-FAILED
2048,Antisymmetry,LineageInheritanceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Antisymmetry,LineageInheritanceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Antisymmetry,LineageInheritanceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Antisymmetry,TransportMemoryPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Antisymmetry,TransportMemoryPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Antisymmetry,TransportMemoryPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Antisymmetry,TransportMemoryPreservation,0.9546,0.9306,0.9232,0.92,0.9056,0.8829,0.92,MEMORY-STABLE
8,Antisymmetry,TransportMemoryPreservation,0.9291,0.9187,0.8995,0.895,0.8825,0.8979,0.9029,MEMORY-BOUNDED
12,Antisymmetry,TransportMemoryPreservation,0.9142,0.8788,0.8698,0.8779,0.8471,0.8395,0.8879,MEMORY-BOUNDED
16,Antisymmetry,TransportMemoryPreservation,0.8944,0.8435,0.8543,0.8295,0.82,0.8214,0.8681,MEMORY-BOUNDED
20,Antisymmetry,TransportMemoryPreservation,0.8384,0.8159,0.8338,0.8083,0.8011,0.78,0.8229,MEMORY-BOUNDED
24,Antisymmetry,TransportMemoryPreservation,0.8288,0.7893,0.8043,0.7952,0.7815,0.7657,0.7906,MEMORY-PARTIAL
32,Antisymmetry,TransportMemoryPreservation,0.7618,0.7608,0.7586,0.7334,0.7193,0.7115,0.7575,MEMORY-PARTIAL
40,Antisymmetry,TransportMemoryPreservation,0.7192,0.703,0.6956,0.7041,0.6906,0.6701,0.704,MEMORY-DEGRADING
48,Antisymmetry,TransportMemoryPreservation,0.6859,0.674,0.6762,0.658,0.6485,0.6438,0.6785,MEMORY-DEGRADING
64,Antisymmetry,TransportMemoryPreservation,0.6193,0.5958,0.6072,0.5928,0.5796,0.5695,0.6082,MEMORY-DEGRADING
80,Antisymmetry,TransportMemoryPreservation,0.5619,0.548,0.5488,0.5497,0.5433,0.5291,0.5553,MEMORY-FAILED
96,Antisymmetry,TransportMemoryPreservation,0.5117,0.5065,0.5057,0.5045,0.4871,0.4889,0.5034,MEMORY-FAILED
128,Antisymmetry,TransportMemoryPreservation,0.4436,0.4363,0.4228,0.4299,0.4172,0.4148,0.4262,MEMORY-FAILED
160,Antisymmetry,TransportMemoryPreservation,0.3907,0.3861,0.3752,0.3671,0.363,0.3637,0.3876,MEMORY-FAILED
192,Antisymmetry,TransportMemoryPreservation,0.3475,0.3445,0.3317,0.326,0.3307,0.3299,0.3378,MEMORY-FAILED
256,Antisymmetry,TransportMemoryPreservation,0.2813,0.2727,0.2768,0.2704,0.267,0.2609,0.2756,MEMORY-FAILED
320,Antisymmetry,TransportMemoryPreservation,0.2454,0.2306,0.2328,0.2266,0.225,0.2233,0.2362,MEMORY-FAILED
512,Antisymmetry,TransportMemoryPreservation,0.1681,0.1639,0.1609,0.1587,0.1564,0.1551,0.1645,MEMORY-FAILED
768,Antisymmetry,TransportMemoryPreservation,0.1174,0.1133,0.1105,0.112,0.1107,0.1075,0.114,MEMORY-FAILED
1024,Antisymmetry,TransportMemoryPreservation,0.0916,0.088,0.0858,0.0852,0.0848,0.0856,0.0866,MEMORY-FAILED
1536,Antisymmetry,TransportMemoryPreservation,0.0621,0.06,0.0593,0.0593,0.058,0.0576,0.0595,MEMORY-FAILED
2048,Antisymmetry,TransportMemoryPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Antisymmetry,TransportMemoryPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Antisymmetry,TransportMemoryPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Antisymmetry,AdaptiveHistoricalModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Antisymmetry,AdaptiveHistoricalModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Antisymmetry,AdaptiveHistoricalModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Antisymmetry,AdaptiveHistoricalModulation,0.9463,0.94,0.9293,0.92,0.91,0.8961,0.9108,MEMORY-STABLE
8,Antisymmetry,AdaptiveHistoricalModulation,0.96,0.9155,0.9223,0.9076,0.91,0.8935,0.8986,MEMORY-STABLE
12,Antisymmetry,AdaptiveHistoricalModulation,0.9004,0.8932,0.8754,0.8858,0.8851,0.8669,0.8759,MEMORY-BOUNDED
16,Antisymmetry,AdaptiveHistoricalModulation,0.8622,0.8441,0.853,0.834,0.857,0.8306,0.8561,MEMORY-BOUNDED
20,Antisymmetry,AdaptiveHistoricalModulation,0.8566,0.8349,0.8081,0.7966,0.83,0.8052,0.807,MEMORY-BOUNDED
24,Antisymmetry,AdaptiveHistoricalModulation,0.8259,0.7888,0.7947,0.7882,0.8072,0.7788,0.7712,MEMORY-PARTIAL
32,Antisymmetry,AdaptiveHistoricalModulation,0.7586,0.7573,0.7297,0.7523,0.7309,0.7239,0.7324,MEMORY-PARTIAL
40,Antisymmetry,AdaptiveHistoricalModulation,0.7157,0.6985,0.6985,0.7085,0.7014,0.6774,0.6987,MEMORY-DEGRADING
48,Antisymmetry,AdaptiveHistoricalModulation,0.6772,0.6803,0.6718,0.6702,0.6698,0.6547,0.6508,MEMORY-DEGRADING
64,Antisymmetry,AdaptiveHistoricalModulation,0.6112,0.5977,0.6082,0.589,0.6066,0.5735,0.6013,MEMORY-DEGRADING
80,Antisymmetry,AdaptiveHistoricalModulation,0.572,0.5508,0.538,0.5398,0.5556,0.5389,0.5332,MEMORY-DEGRADING
96,Antisymmetry,AdaptiveHistoricalModulation,0.5236,0.5133,0.5099,0.4881,0.4958,0.4878,0.4864,MEMORY-FAILED
128,Antisymmetry,AdaptiveHistoricalModulation,0.4464,0.4255,0.4216,0.4286,0.4271,0.4175,0.4287,MEMORY-FAILED
160,Antisymmetry,AdaptiveHistoricalModulation,0.3902,0.3838,0.3809,0.3777,0.3784,0.358,0.3725,MEMORY-FAILED
192,Antisymmetry,AdaptiveHistoricalModulation,0.3481,0.3336,0.3327,0.3275,0.3293,0.3238,0.3267,MEMORY-FAILED
256,Antisymmetry,AdaptiveHistoricalModulation,0.2866,0.281,0.2759,0.2665,0.2766,0.2715,0.2711,MEMORY-FAILED
320,Antisymmetry,AdaptiveHistoricalModulation,0.2402,0.2365,0.2363,0.2332,0.2304,0.2294,0.2339,MEMORY-FAILED
512,Antisymmetry,AdaptiveHistoricalModulation,0.1679,0.1637,0.1605,0.1608,0.1574,0.154,0.1599,MEMORY-FAILED
768,Antisymmetry,AdaptiveHistoricalModulation,0.1152,0.1144,0.1108,0.1091,0.111,0.1068,0.1112,MEMORY-FAILED
1024,Antisymmetry,AdaptiveHistoricalModulation,0.0916,0.0874,0.0866,0.0859,0.0855,0.0826,0.0855,MEMORY-FAILED
1536,Antisymmetry,AdaptiveHistoricalModulation,0.0606,0.0601,0.059,0.0597,0.0604,0.059,0.0597,MEMORY-FAILED
2048,Antisymmetry,AdaptiveHistoricalModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Antisymmetry,AdaptiveHistoricalModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Antisymmetry,AdaptiveHistoricalModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Antisymmetry,InteractionHistoryReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Antisymmetry,InteractionHistoryReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Antisymmetry,InteractionHistoryReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Antisymmetry,InteractionHistoryReconstruction,0.9488,0.9286,0.9195,0.92,0.91,0.9,0.92,MEMORY-STABLE
8,Antisymmetry,InteractionHistoryReconstruction,0.9365,0.9063,0.9191,0.9177,0.9096,0.8871,0.8981,MEMORY-STABLE
12,Antisymmetry,InteractionHistoryReconstruction,0.9019,0.8987,0.8952,0.8579,0.8568,0.8876,0.8629,MEMORY-BOUNDED
16,Antisymmetry,InteractionHistoryReconstruction,0.8734,0.8725,0.8597,0.8272,0.8275,0.8296,0.8325,MEMORY-BOUNDED
20,Antisymmetry,InteractionHistoryReconstruction,0.8393,0.8171,0.8184,0.8253,0.8087,0.8211,0.8121,MEMORY-BOUNDED
24,Antisymmetry,InteractionHistoryReconstruction,0.8133,0.7932,0.7951,0.7787,0.7877,0.7718,0.7696,MEMORY-PARTIAL
32,Antisymmetry,InteractionHistoryReconstruction,0.7813,0.765,0.7319,0.7238,0.7305,0.7226,0.7384,MEMORY-PARTIAL
40,Antisymmetry,InteractionHistoryReconstruction,0.724,0.7153,0.6911,0.6906,0.6961,0.6918,0.7074,MEMORY-DEGRADING
48,Antisymmetry,InteractionHistoryReconstruction,0.6798,0.6645,0.6591,0.6619,0.6636,0.6518,0.6463,MEMORY-DEGRADING
64,Antisymmetry,InteractionHistoryReconstruction,0.6205,0.614,0.5879,0.5832,0.5859,0.6031,0.5916,MEMORY-DEGRADING
80,Antisymmetry,InteractionHistoryReconstruction,0.5508,0.5598,0.5548,0.5373,0.5432,0.5503,0.5372,MEMORY-DEGRADING
96,Antisymmetry,InteractionHistoryReconstruction,0.505,0.5092,0.4939,0.4852,0.4837,0.4979,0.497,MEMORY-FAILED
128,Antisymmetry,InteractionHistoryReconstruction,0.443,0.4367,0.4321,0.4337,0.4129,0.4242,0.4195,MEMORY-FAILED
160,Antisymmetry,InteractionHistoryReconstruction,0.3821,0.3863,0.3751,0.3737,0.3658,0.3711,0.3699,MEMORY-FAILED
192,Antisymmetry,InteractionHistoryReconstruction,0.3515,0.3414,0.3405,0.3322,0.3255,0.333,0.3346,MEMORY-FAILED
256,Antisymmetry,InteractionHistoryReconstruction,0.288,0.2818,0.2706,0.2723,0.2744,0.2665,0.2686,MEMORY-FAILED
320,Antisymmetry,InteractionHistoryReconstruction,0.244,0.2337,0.2336,0.2292,0.2275,0.2285,0.2273,MEMORY-FAILED
512,Antisymmetry,InteractionHistoryReconstruction,0.1636,0.1608,0.1583,0.1608,0.1593,0.1587,0.1593,MEMORY-FAILED
768,Antisymmetry,InteractionHistoryReconstruction,0.1176,0.1139,0.1133,0.1091,0.1104,0.1104,0.11,MEMORY-FAILED
1024,Antisymmetry,InteractionHistoryReconstruction,0.0906,0.0895,0.0874,0.0845,0.086,0.0852,0.0871,MEMORY-FAILED
1536,Antisymmetry,InteractionHistoryReconstruction,0.0615,0.0596,0.0594,0.0583,0.059,0.0582,0.0602,MEMORY-FAILED
2048,Antisymmetry,InteractionHistoryReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Antisymmetry,InteractionHistoryReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Antisymmetry,InteractionHistoryReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Antisymmetry,NullMemoryControl,0.8074,0.8132,0.8221,0.7979,0.7698,0.7642,0.7993,MEMORY-BOUNDED
2,Antisymmetry,NullMemoryControl,0.8158,0.799,0.7965,0.8188,0.7699,0.75,0.7772,MEMORY-PARTIAL
4,Antisymmetry,NullMemoryControl,0.8001,0.785,0.797,0.7862,0.7715,0.7453,0.7659,MEMORY-PARTIAL
6,Antisymmetry,NullMemoryControl,0.7811,0.7805,0.7495,0.7786,0.7621,0.7322,0.7496,MEMORY-PARTIAL
8,Antisymmetry,NullMemoryControl,0.7769,0.7459,0.7488,0.7503,0.7161,0.7272,0.7476,MEMORY-PARTIAL
12,Antisymmetry,NullMemoryControl,0.7475,0.7413,0.722,0.7378,0.6948,0.69,0.727,MEMORY-PARTIAL
16,Antisymmetry,NullMemoryControl,0.6999,0.6967,0.7145,0.701,0.6664,0.6891,0.6774,MEMORY-DEGRADING
20,Antisymmetry,NullMemoryControl,0.6796,0.6746,0.6644,0.69,0.6731,0.6491,0.6546,MEMORY-DEGRADING
24,Antisymmetry,NullMemoryControl,0.6649,0.6632,0.6412,0.647,0.6229,0.6373,0.6364,MEMORY-DEGRADING
32,Antisymmetry,NullMemoryControl,0.6282,0.618,0.6025,0.618,0.5969,0.5943,0.5966,MEMORY-DEGRADING
40,Antisymmetry,NullMemoryControl,0.5775,0.5729,0.5691,0.5847,0.5508,0.5594,0.5714,MEMORY-DEGRADING
48,Antisymmetry,NullMemoryControl,0.5609,0.5467,0.5421,0.5507,0.5268,0.5243,0.5421,MEMORY-FAILED
64,Antisymmetry,NullMemoryControl,0.4916,0.4925,0.4836,0.4898,0.4703,0.4691,0.4881,MEMORY-FAILED
80,Antisymmetry,NullMemoryControl,0.4662,0.4626,0.4425,0.4532,0.4336,0.438,0.439,MEMORY-FAILED
96,Antisymmetry,NullMemoryControl,0.4289,0.4119,0.4168,0.4192,0.406,0.4013,0.4002,MEMORY-FAILED
128,Antisymmetry,NullMemoryControl,0.3575,0.3546,0.3556,0.3586,0.3451,0.3391,0.3562,MEMORY-FAILED
160,Antisymmetry,NullMemoryControl,0.3169,0.3127,0.3103,0.3218,0.3079,0.2973,0.3039,MEMORY-FAILED
192,Antisymmetry,NullMemoryControl,0.2869,0.2769,0.2741,0.2791,0.2691,0.2604,0.2692,MEMORY-FAILED
256,Antisymmetry,NullMemoryControl,0.2361,0.2302,0.2318,0.2288,0.2181,0.2217,0.2248,MEMORY-FAILED
320,Antisymmetry,NullMemoryControl,0.1999,0.1967,0.1929,0.1921,0.1885,0.1838,0.1905,MEMORY-FAILED
512,Antisymmetry,NullMemoryControl,0.1328,0.1316,0.1313,0.1308,0.128,0.1285,0.1303,MEMORY-FAILED
768,Antisymmetry,NullMemoryControl,0.0923,0.0938,0.091,0.0948,0.0913,0.0911,0.0918,MEMORY-FAILED
1024,Antisymmetry,NullMemoryControl,0.074,0.0743,0.0708,0.0716,0.0711,0.0684,0.0722,MEMORY-FAILED
1536,Antisymmetry,NullMemoryControl,0.05,0.0508,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
2048,Antisymmetry,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Antisymmetry,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Antisymmetry,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Neutral,HistoricalStateEncoding,0.96,0.94,0.93,0.9137,0.9095,0.9,0.9185,MEMORY-STABLE
2,Neutral,HistoricalStateEncoding,0.93,0.94,0.93,0.9122,0.8963,0.8923,0.8846,MEMORY-STABLE
4,Neutral,HistoricalStateEncoding,0.9208,0.927,0.8916,0.8649,0.8519,0.8505,0.8917,MEMORY-BOUNDED
6,Neutral,HistoricalStateEncoding,0.9148,0.8965,0.8653,0.8454,0.8718,0.8646,0.8803,MEMORY-BOUNDED
8,Neutral,HistoricalStateEncoding,0.8898,0.8821,0.8831,0.8321,0.8453,0.8528,0.8518,MEMORY-BOUNDED
12,Neutral,HistoricalStateEncoding,0.8498,0.8558,0.8208,0.8165,0.8071,0.8071,0.8136,MEMORY-BOUNDED
16,Neutral,HistoricalStateEncoding,0.8428,0.8071,0.7927,0.7969,0.789,0.7682,0.7721,MEMORY-PARTIAL
20,Neutral,HistoricalStateEncoding,0.7953,0.7817,0.7931,0.7477,0.7413,0.7438,0.7715,MEMORY-PARTIAL
24,Neutral,HistoricalStateEncoding,0.7651,0.7559,0.7463,0.7469,0.7263,0.729,0.7478,MEMORY-PARTIAL
32,Neutral,HistoricalStateEncoding,0.7234,0.7056,0.7122,0.7015,0.6745,0.6905,0.6775,MEMORY-PARTIAL
40,Neutral,HistoricalStateEncoding,0.6994,0.6726,0.6626,0.6372,0.638,0.6556,0.6554,MEMORY-DEGRADING
48,Neutral,HistoricalStateEncoding,0.6353,0.6328,0.6265,0.6079,0.6086,0.6014,0.6291,MEMORY-DEGRADING
64,Neutral,HistoricalStateEncoding,0.5862,0.5625,0.5643,0.5513,0.5489,0.5601,0.5467,MEMORY-DEGRADING
80,Neutral,HistoricalStateEncoding,0.527,0.5205,0.517,0.516,0.4987,0.5091,0.5073,MEMORY-FAILED
96,Neutral,HistoricalStateEncoding,0.499,0.4742,0.4775,0.4601,0.4544,0.4509,0.4729,MEMORY-FAILED
128,Neutral,HistoricalStateEncoding,0.4171,0.4206,0.4047,0.4042,0.3958,0.4,0.3921,MEMORY-FAILED
160,Neutral,HistoricalStateEncoding,0.3723,0.3611,0.365,0.3485,0.3482,0.3403,0.3439,MEMORY-FAILED
192,Neutral,HistoricalStateEncoding,0.3216,0.3184,0.3129,0.3168,0.3118,0.3031,0.3128,MEMORY-FAILED
256,Neutral,HistoricalStateEncoding,0.2636,0.2639,0.2589,0.2519,0.2494,0.2505,0.2543,MEMORY-FAILED
320,Neutral,HistoricalStateEncoding,0.2251,0.2188,0.2209,0.2131,0.2098,0.2097,0.2179,MEMORY-FAILED
512,Neutral,HistoricalStateEncoding,0.1571,0.1499,0.1545,0.1475,0.1488,0.1459,0.1512,MEMORY-FAILED
768,Neutral,HistoricalStateEncoding,0.1084,0.1082,0.106,0.1029,0.1032,0.1044,0.1023,MEMORY-FAILED
1024,Neutral,HistoricalStateEncoding,0.0864,0.0849,0.0825,0.0798,0.0789,0.0802,0.08,MEMORY-FAILED
1536,Neutral,HistoricalStateEncoding,0.0595,0.0578,0.0576,0.0554,0.0551,0.0541,0.0563,MEMORY-FAILED
2048,Neutral,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Neutral,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Neutral,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Neutral,RecursiveMemoryPersistence,0.96,0.9269,0.9095,0.9187,0.8935,0.9,0.9041,MEMORY-STABLE
2,Neutral,RecursiveMemoryPersistence,0.96,0.9351,0.9026,0.92,0.9048,0.8688,0.92,MEMORY-STABLE
4,Neutral,RecursiveMemoryPersistence,0.9341,0.9148,0.8819,0.872,0.8695,0.857,0.8916,MEMORY-BOUNDED
6,Neutral,RecursiveMemoryPersistence,0.9061,0.9043,0.8855,0.8877,0.875,0.8412,0.8601,MEMORY-BOUNDED
8,Neutral,RecursiveMemoryPersistence,0.9048,0.8774,0.8673,0.8576,0.8302,0.8473,0.8498,MEMORY-BOUNDED
12,Neutral,RecursiveMemoryPersistence,0.847,0.8645,0.8501,0.8357,0.8255,0.8063,0.811,MEMORY-BOUNDED
16,Neutral,RecursiveMemoryPersistence,0.8281,0.8361,0.818,0.8029,0.7953,0.7913,0.8049,MEMORY-BOUNDED
20,Neutral,RecursiveMemoryPersistence,0.7934,0.7933,0.7928,0.7791,0.7702,0.7642,0.7698,MEMORY-PARTIAL
24,Neutral,RecursiveMemoryPersistence,0.7954,0.7535,0.7581,0.742,0.726,0.7202,0.736,MEMORY-PARTIAL
32,Neutral,RecursiveMemoryPersistence,0.7469,0.7222,0.7022,0.6997,0.6897,0.6989,0.694,MEMORY-PARTIAL
40,Neutral,RecursiveMemoryPersistence,0.7036,0.6771,0.657,0.6714,0.6603,0.6399,0.6662,MEMORY-DEGRADING
48,Neutral,RecursiveMemoryPersistence,0.6623,0.6508,0.6324,0.6344,0.617,0.6225,0.6105,MEMORY-DEGRADING
64,Neutral,RecursiveMemoryPersistence,0.5888,0.5703,0.5599,0.573,0.5551,0.5534,0.5681,MEMORY-DEGRADING
80,Neutral,RecursiveMemoryPersistence,0.5291,0.5371,0.5274,0.5006,0.5124,0.4995,0.5104,MEMORY-FAILED
96,Neutral,RecursiveMemoryPersistence,0.4924,0.4923,0.4698,0.4688,0.4624,0.4511,0.473,MEMORY-FAILED
128,Neutral,RecursiveMemoryPersistence,0.424,0.4095,0.401,0.4078,0.4073,0.3995,0.4071,MEMORY-FAILED
160,Neutral,RecursiveMemoryPersistence,0.3733,0.3698,0.3529,0.3554,0.3482,0.3438,0.358,MEMORY-FAILED
192,Neutral,RecursiveMemoryPersistence,0.3318,0.3237,0.3191,0.3179,0.3062,0.302,0.3179,MEMORY-FAILED
256,Neutral,RecursiveMemoryPersistence,0.2706,0.2676,0.2607,0.2614,0.2545,0.2484,0.254,MEMORY-FAILED
