depth,sector,condition,rg_similarity,self_maintenance_index,correction_regeneration_rate,stabilization_overhead,recursive_repair_efficiency,coherence_retention,maintenance_convergence,classification
8,Neutral,StabilizationRegeneration,0.6605,0.6389,0.63,0.005,0.6263,0.6433,0.6078,COHERENCE-PARTIAL
12,Neutral,StabilizationRegeneration,0.5902,0.5808,0.5659,0.0085,0.547,0.579,0.5347,COHERENCE-DEGRADING
16,Neutral,StabilizationRegeneration,0.5318,0.5251,0.5066,0.005,0.5068,0.5098,0.4938,COHERENCE-DEGRADING
20,Neutral,StabilizationRegeneration,0.4938,0.4822,0.4579,0.006,0.4442,0.4582,0.4372,COHERENCE-DEGRADING
24,Neutral,StabilizationRegeneration,0.4369,0.4285,0.4092,0.005,0.4098,0.4283,0.4066,COHERENCE-DEGRADING
28,Neutral,StabilizationRegeneration,0.4184,0.3984,0.3796,0.005,0.3748,0.4064,0.3783,COHERENCE-FAILED
32,Neutral,StabilizationRegeneration,0.3811,0.3654,0.3508,0.005,0.3483,0.3617,0.3444,COHERENCE-FAILED
40,Neutral,StabilizationRegeneration,0.3265,0.3274,0.3143,0.005,0.3157,0.3288,0.3074,COHERENCE-FAILED
48,Neutral,StabilizationRegeneration,0.2999,0.287,0.2707,0.0065,0.2766,0.2815,0.2717,COHERENCE-FAILED
64,Neutral,StabilizationRegeneration,0.2419,0.241,0.2304,0.0136,0.2268,0.2326,0.2179,COHERENCE-FAILED
1,Neutral,CoherenceMaintenanceFeedback,0.8328,0.8273,0.789,0.0154,0.7909,0.8367,0.8124,SELF-MAINTAINING
2,Neutral,CoherenceMaintenanceFeedback,0.7983,0.7748,0.7575,0.0164,0.7626,0.8091,0.7683,SELF-MAINTAINING
4,Neutral,CoherenceMaintenanceFeedback,0.736,0.7114,0.6793,0.0193,0.6942,0.7294,0.7175,COHERENCE-REGENERATIVE
6,Neutral,CoherenceMaintenanceFeedback,0.6927,0.6845,0.6496,0.0237,0.6595,0.6951,0.654,COHERENCE-REGENERATIVE
8,Neutral,CoherenceMaintenanceFeedback,0.6625,0.629,0.5968,0.025,0.6062,0.6436,0.6341,COHERENCE-PARTIAL
12,Neutral,CoherenceMaintenanceFeedback,0.5867,0.5715,0.5308,0.019,0.5428,0.5877,0.5536,COHERENCE-DEGRADING
16,Neutral,CoherenceMaintenanceFeedback,0.5196,0.508,0.4725,0.0193,0.4856,0.5177,0.5095,COHERENCE-DEGRADING
20,Neutral,CoherenceMaintenanceFeedback,0.4752,0.4712,0.4305,0.025,0.4417,0.4774,0.4422,COHERENCE-DEGRADING
24,Neutral,CoherenceMaintenanceFeedback,0.4382,0.417,0.4096,0.0182,0.398,0.4299,0.4161,COHERENCE-DEGRADING
28,Neutral,CoherenceMaintenanceFeedback,0.4089,0.4012,0.3646,0.0263,0.3719,0.4066,0.3769,COHERENCE-DEGRADING
32,Neutral,CoherenceMaintenanceFeedback,0.3737,0.3654,0.3415,0.0343,0.3477,0.3718,0.3507,COHERENCE-FAILED
40,Neutral,CoherenceMaintenanceFeedback,0.3244,0.3252,0.2957,0.0203,0.296,0.3244,0.3157,COHERENCE-FAILED
48,Neutral,CoherenceMaintenanceFeedback,0.2942,0.2808,0.2629,0.0326,0.274,0.2952,0.2799,COHERENCE-FAILED
64,Neutral,CoherenceMaintenanceFeedback,0.2411,0.2303,0.2226,0.0433,0.2256,0.2387,0.2204,COHERENCE-FAILED
1,Neutral,RecursiveRepairPropagation,0.8223,0.7931,0.7554,0.0302,0.8252,0.7759,0.7645,SELF-MAINTAINING
2,Neutral,RecursiveRepairPropagation,0.8001,0.7621,0.7381,0.0412,0.7864,0.7682,0.7358,SELF-MAINTAINING
4,Neutral,RecursiveRepairPropagation,0.7547,0.7052,0.6693,0.0406,0.717,0.7078,0.6843,COHERENCE-REGENERATIVE
6,Neutral,RecursiveRepairPropagation,0.7007,0.6651,0.6274,0.0233,0.6636,0.6665,0.6526,COHERENCE-REGENERATIVE
8,Neutral,RecursiveRepairPropagation,0.6514,0.6143,0.5834,0.0306,0.6284,0.6196,0.5984,COHERENCE-PARTIAL
12,Neutral,RecursiveRepairPropagation,0.5719,0.561,0.5219,0.0267,0.557,0.5637,0.531,COHERENCE-PARTIAL
16,Neutral,RecursiveRepairPropagation,0.5265,0.4859,0.4846,0.0459,0.5155,0.496,0.49,COHERENCE-DEGRADING
20,Neutral,RecursiveRepairPropagation,0.4754,0.458,0.4376,0.0439,0.4566,0.4416,0.4445,COHERENCE-DEGRADING
24,Neutral,RecursiveRepairPropagation,0.4314,0.4178,0.4067,0.0294,0.429,0.4141,0.3986,COHERENCE-DEGRADING
28,Neutral,RecursiveRepairPropagation,0.4003,0.3786,0.3673,0.0484,0.3951,0.3757,0.3642,COHERENCE-FAILED
32,Neutral,RecursiveRepairPropagation,0.3712,0.3588,0.3341,0.0339,0.3656,0.35,0.3523,COHERENCE-FAILED
40,Neutral,RecursiveRepairPropagation,0.324,0.3078,0.3035,0.043,0.3173,0.3123,0.3106,COHERENCE-FAILED
48,Neutral,RecursiveRepairPropagation,0.2902,0.2767,0.2637,0.0527,0.2778,0.2709,0.2699,COHERENCE-FAILED
64,Neutral,RecursiveRepairPropagation,0.2361,0.2223,0.221,0.0538,0.2239,0.2244,0.2229,COHERENCE-FAILED
1,Neutral,NullSelfMaintenanceControl,0.6182,0.6418,0.5832,0.1238,0.5894,0.6187,0.6415,COHERENCE-DEGRADING
2,Neutral,NullSelfMaintenanceControl,0.6014,0.6211,0.5782,0.1266,0.5381,0.6246,0.5853,COHERENCE-DEGRADING
4,Neutral,NullSelfMaintenanceControl,0.5782,0.5935,0.5213,0.1285,0.4966,0.5752,0.5729,COHERENCE-DEGRADING
6,Neutral,NullSelfMaintenanceControl,0.5331,0.5373,0.5074,0.1279,0.4736,0.543,0.5175,COHERENCE-DEGRADING
8,Neutral,NullSelfMaintenanceControl,0.5046,0.5168,0.4758,0.125,0.4638,0.5057,0.4797,COHERENCE-DEGRADING
12,Neutral,NullSelfMaintenanceControl,0.4382,0.4404,0.4188,0.1258,0.4097,0.4435,0.429,COHERENCE-DEGRADING
16,Neutral,NullSelfMaintenanceControl,0.3857,0.3987,0.3675,0.1296,0.369,0.4083,0.3895,COHERENCE-FAILED
20,Neutral,NullSelfMaintenanceControl,0.3609,0.3778,0.3313,0.15,0.3361,0.3679,0.3555,COHERENCE-FAILED
24,Neutral,NullSelfMaintenanceControl,0.3358,0.3382,0.3003,0.15,0.2947,0.3293,0.3329,COHERENCE-FAILED
28,Neutral,NullSelfMaintenanceControl,0.3087,0.3129,0.2938,0.1363,0.27,0.3117,0.299,COHERENCE-FAILED
32,Neutral,NullSelfMaintenanceControl,0.2872,0.2798,0.2647,0.15,0.2582,0.2846,0.2792,COHERENCE-FAILED
40,Neutral,NullSelfMaintenanceControl,0.2447,0.2461,0.2311,0.15,0.2231,0.2521,0.2502,COHERENCE-FAILED
48,Neutral,NullSelfMaintenanceControl,0.2181,0.2219,0.2133,0.15,0.2041,0.2206,0.2117,COHERENCE-FAILED
64,Neutral,NullSelfMaintenanceControl,0.1776,0.186,0.1657,0.15,0.1659,0.1843,0.1822,COHERENCE-FAILED
1,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.8291,0.8443,0.7856,0.0137,0.7812,0.8184,0.7852,SELF-MAINTAINING
2,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.8133,0.8102,0.7688,0.0218,0.7724,0.7679,0.7546,SELF-MAINTAINING
4,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.7428,0.7399,0.6931,0.005,0.6947,0.729,0.6784,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.699,0.6747,0.6509,0.0132,0.6661,0.6852,0.6434,COHERENCE-REGENERATIVE
8,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.6526,0.6372,0.6282,0.0132,0.6048,0.6438,0.6103,COHERENCE-PARTIAL
12,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.5782,0.5716,0.5561,0.0125,0.5407,0.5715,0.5319,COHERENCE-DEGRADING
16,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.5262,0.5201,0.4963,0.024,0.4912,0.5033,0.4898,COHERENCE-DEGRADING
20,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.4741,0.463,0.4539,0.0103,0.457,0.4604,0.4424,COHERENCE-DEGRADING
24,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.4409,0.428,0.419,0.005,0.4018,0.4294,0.4017,COHERENCE-DEGRADING
28,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.4101,0.3955,0.3702,0.0207,0.374,0.3937,0.3591,COHERENCE-FAILED
32,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.3768,0.3705,0.3509,0.0159,0.3519,0.3669,0.3488,COHERENCE-FAILED
40,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.3277,0.326,0.3046,0.027,0.3127,0.3174,0.2959,COHERENCE-FAILED
48,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.2981,0.2808,0.2722,0.0088,0.2667,0.2825,0.2595,COHERENCE-FAILED
64,Projection-Antisymmetry,RecursiveOpSelfReinforcement,0.2388,0.2329,0.2246,0.0214,0.2254,0.2308,0.2226,COHERENCE-FAILED
1,Projection-Antisymmetry,AutonomousCorrectionCycling,0.8192,0.8055,0.7757,0.014,0.7571,0.8299,0.7675,SELF-MAINTAINING
2,Projection-Antisymmetry,AutonomousCorrectionCycling,0.8027,0.7625,0.7451,0.0218,0.7548,0.7732,0.7434,SELF-MAINTAINING
4,Projection-Antisymmetry,AutonomousCorrectionCycling,0.7591,0.7332,0.7099,0.0262,0.7001,0.7318,0.6768,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry,AutonomousCorrectionCycling,0.6805,0.6733,0.6336,0.0317,0.6581,0.6943,0.6511,COHERENCE-REGENERATIVE
8,Projection-Antisymmetry,AutonomousCorrectionCycling,0.6409,0.6362,0.6106,0.0131,0.5935,0.6399,0.6215,COHERENCE-PARTIAL
12,Projection-Antisymmetry,AutonomousCorrectionCycling,0.5726,0.5655,0.5516,0.0344,0.5444,0.5532,0.5331,COHERENCE-DEGRADING
16,Projection-Antisymmetry,AutonomousCorrectionCycling,0.522,0.4917,0.4853,0.0198,0.4874,0.498,0.4846,COHERENCE-DEGRADING
20,Projection-Antisymmetry,AutonomousCorrectionCycling,0.4755,0.4522,0.4313,0.0184,0.44,0.4524,0.4399,COHERENCE-DEGRADING
24,Projection-Antisymmetry,AutonomousCorrectionCycling,0.4377,0.4194,0.41,0.0273,0.4068,0.4217,0.4092,COHERENCE-DEGRADING
28,Projection-Antisymmetry,AutonomousCorrectionCycling,0.4092,0.3963,0.3671,0.0319,0.3823,0.399,0.366,COHERENCE-FAILED
32,Projection-Antisymmetry,AutonomousCorrectionCycling,0.372,0.3561,0.3547,0.0273,0.3476,0.3678,0.341,COHERENCE-FAILED
40,Projection-Antisymmetry,AutonomousCorrectionCycling,0.3319,0.31,0.3018,0.0215,0.3081,0.3109,0.3063,COHERENCE-FAILED
48,Projection-Antisymmetry,AutonomousCorrectionCycling,0.2908,0.2745,0.2743,0.0383,0.274,0.2796,0.263,COHERENCE-FAILED
64,Projection-Antisymmetry,AutonomousCorrectionCycling,0.2327,0.2286,0.2242,0.0373,0.2205,0.2316,0.2225,COHERENCE-FAILED
1,Projection-Antisymmetry,StabilizationRegeneration,0.8457,0.8547,0.7927,0.005,0.7802,0.8077,0.7748,SELF-MAINTAINING
2,Projection-Antisymmetry,StabilizationRegeneration,0.836,0.8059,0.7541,0.012,0.762,0.7779,0.7489,SELF-MAINTAINING
4,Projection-Antisymmetry,StabilizationRegeneration,0.7538,0.7577,0.7242,0.0074,0.7189,0.7467,0.705,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry,StabilizationRegeneration,0.7226,0.6871,0.6674,0.0062,0.6669,0.6892,0.6599,COHERENCE-REGENERATIVE
8,Projection-Antisymmetry,StabilizationRegeneration,0.6517,0.6504,0.6243,0.005,0.6089,0.6532,0.6124,COHERENCE-PARTIAL
12,Projection-Antisymmetry,StabilizationRegeneration,0.5988,0.585,0.5516,0.005,0.5543,0.5631,0.5454,COHERENCE-PARTIAL
16,Projection-Antisymmetry,StabilizationRegeneration,0.542,0.5132,0.5015,0.005,0.4932,0.5237,0.4986,COHERENCE-DEGRADING
20,Projection-Antisymmetry,StabilizationRegeneration,0.4834,0.4793,0.4409,0.005,0.4439,0.4693,0.4565,COHERENCE-DEGRADING
24,Projection-Antisymmetry,StabilizationRegeneration,0.4436,0.4407,0.4228,0.005,0.4061,0.4279,0.3999,COHERENCE-DEGRADING
28,Projection-Antisymmetry,StabilizationRegeneration,0.4113,0.4066,0.3745,0.005,0.3853,0.4026,0.3764,COHERENCE-DEGRADING
32,Projection-Antisymmetry,StabilizationRegeneration,0.3766,0.3788,0.3622,0.0142,0.3477,0.3724,0.3535,COHERENCE-FAILED
40,Projection-Antisymmetry,StabilizationRegeneration,0.3393,0.3318,0.3126,0.0101,0.3085,0.3194,0.3121,COHERENCE-FAILED
48,Projection-Antisymmetry,StabilizationRegeneration,0.2924,0.2938,0.2804,0.005,0.2765,0.29,0.2725,COHERENCE-FAILED
64,Projection-Antisymmetry,StabilizationRegeneration,0.2458,0.2378,0.2216,0.005,0.2208,0.2354,0.2179,COHERENCE-FAILED
1,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.8407,0.8034,0.7889,0.0238,0.7838,0.8246,0.8145,SELF-MAINTAINING
2,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.7857,0.7711,0.728,0.0281,0.7418,0.8151,0.759,COHERENCE-REGENERATIVE
4,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.7349,0.72,0.6863,0.0214,0.6959,0.7596,0.7021,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.7081,0.6961,0.6402,0.0265,0.654,0.6913,0.648,COHERENCE-REGENERATIVE
8,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.6502,0.65,0.6033,0.0315,0.5976,0.6509,0.6071,COHERENCE-PARTIAL
12,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.5724,0.578,0.541,0.0141,0.5496,0.5711,0.5508,COHERENCE-DEGRADING
16,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.5219,0.5167,0.4778,0.0232,0.474,0.5216,0.4876,COHERENCE-DEGRADING
20,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.4862,0.4521,0.4499,0.0176,0.4398,0.4857,0.4594,COHERENCE-DEGRADING
24,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.4328,0.4229,0.3967,0.025,0.4018,0.4429,0.4074,COHERENCE-DEGRADING
28,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.406,0.393,0.3638,0.0211,0.3656,0.3945,0.3807,COHERENCE-FAILED
32,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.3798,0.364,0.3454,0.0197,0.3502,0.3748,0.3595,COHERENCE-FAILED
40,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.3327,0.3238,0.3095,0.0313,0.3054,0.3298,0.306,COHERENCE-FAILED
48,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.2927,0.286,0.2645,0.042,0.2684,0.2871,0.279,COHERENCE-FAILED
64,Projection-Antisymmetry,CoherenceMaintenanceFeedback,0.2375,0.2293,0.2175,0.0223,0.216,0.2332,0.2279,COHERENCE-FAILED
1,Projection-Antisymmetry,RecursiveRepairPropagation,0.8154,0.8088,0.7805,0.0365,0.7981,0.7903,0.7585,SELF-MAINTAINING
2,Projection-Antisymmetry,RecursiveRepairPropagation,0.7825,0.7604,0.7395,0.0253,0.7722,0.7491,0.7426,SELF-MAINTAINING
4,Projection-Antisymmetry,RecursiveRepairPropagation,0.7239,0.7112,0.6753,0.0367,0.7036,0.7144,0.6978,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry,RecursiveRepairPropagation,0.6795,0.6687,0.6283,0.0377,0.685,0.648,0.6554,COHERENCE-REGENERATIVE
8,Projection-Antisymmetry,RecursiveRepairPropagation,0.656,0.6348,0.5904,0.0321,0.6431,0.6076,0.5995,COHERENCE-PARTIAL
12,Projection-Antisymmetry,RecursiveRepairPropagation,0.5674,0.5639,0.5369,0.0348,0.5608,0.5475,0.5398,COHERENCE-PARTIAL
16,Projection-Antisymmetry,RecursiveRepairPropagation,0.5275,0.4891,0.4881,0.0296,0.4989,0.4853,0.4936,COHERENCE-DEGRADING
20,Projection-Antisymmetry,RecursiveRepairPropagation,0.4684,0.4577,0.4402,0.0429,0.4542,0.447,0.4477,COHERENCE-DEGRADING
24,Projection-Antisymmetry,RecursiveRepairPropagation,0.4276,0.4102,0.3943,0.0456,0.4223,0.4106,0.4118,COHERENCE-DEGRADING
28,Projection-Antisymmetry,RecursiveRepairPropagation,0.3882,0.3759,0.365,0.0447,0.3798,0.3753,0.3751,COHERENCE-FAILED
32,Projection-Antisymmetry,RecursiveRepairPropagation,0.3642,0.3554,0.3358,0.0291,0.3568,0.3628,0.355,COHERENCE-FAILED
40,Projection-Antisymmetry,RecursiveRepairPropagation,0.3192,0.304,0.2954,0.0368,0.3077,0.3168,0.3036,COHERENCE-FAILED
48,Projection-Antisymmetry,RecursiveRepairPropagation,0.2892,0.2748,0.263,0.0575,0.2751,0.2704,0.2654,COHERENCE-FAILED
64,Projection-Antisymmetry,RecursiveRepairPropagation,0.2325,0.2227,0.2125,0.0524,0.2266,0.2234,0.2231,COHERENCE-FAILED
1,Projection-Antisymmetry,NullSelfMaintenanceControl,0.636,0.6272,0.6025,0.1239,0.5885,0.6435,0.6186,COHERENCE-DEGRADING
2,Projection-Antisymmetry,NullSelfMaintenanceControl,0.5936,0.6185,0.5789,0.1202,0.5404,0.6264,0.6117,COHERENCE-DEGRADING
4,Projection-Antisymmetry,NullSelfMaintenanceControl,0.5594,0.587,0.5326,0.1212,0.5291,0.5585,0.5428,COHERENCE-DEGRADING
6,Projection-Antisymmetry,NullSelfMaintenanceControl,0.5278,0.5494,0.483,0.1283,0.4765,0.5323,0.5236,COHERENCE-DEGRADING
8,Projection-Antisymmetry,NullSelfMaintenanceControl,0.5038,0.4923,0.4521,0.1292,0.4475,0.4935,0.4888,COHERENCE-DEGRADING
12,Projection-Antisymmetry,NullSelfMaintenanceControl,0.4294,0.4475,0.4239,0.1381,0.4126,0.4469,0.4468,COHERENCE-DEGRADING
16,Projection-Antisymmetry,NullSelfMaintenanceControl,0.388,0.4119,0.3658,0.1267,0.3594,0.4049,0.3881,COHERENCE-DEGRADING
20,Projection-Antisymmetry,NullSelfMaintenanceControl,0.3495,0.3647,0.343,0.1441,0.3238,0.354,0.3463,COHERENCE-FAILED
24,Projection-Antisymmetry,NullSelfMaintenanceControl,0.3358,0.3435,0.3141,0.15,0.3037,0.3358,0.3243,COHERENCE-FAILED
28,Projection-Antisymmetry,NullSelfMaintenanceControl,0.2945,0.3072,0.2829,0.1429,0.2741,0.299,0.2969,COHERENCE-FAILED
32,Projection-Antisymmetry,NullSelfMaintenanceControl,0.2763,0.2957,0.2641,0.1404,0.258,0.2856,0.2795,COHERENCE-FAILED
40,Projection-Antisymmetry,NullSelfMaintenanceControl,0.2396,0.2543,0.2255,0.15,0.2218,0.2502,0.2413,COHERENCE-FAILED
48,Projection-Antisymmetry,NullSelfMaintenanceControl,0.2224,0.2198,0.2091,0.15,0.2048,0.2142,0.2208,COHERENCE-FAILED
64,Projection-Antisymmetry,NullSelfMaintenanceControl,0.1786,0.1875,0.1663,0.15,0.1673,0.1809,0.1796,COHERENCE-FAILED
1,Projection-Neutral,RecursiveOpSelfReinforcement,0.8411,0.8346,0.7838,0.0084,0.7698,0.8208,0.7633,SELF-MAINTAINING
2,Projection-Neutral,RecursiveOpSelfReinforcement,0.8105,0.7911,0.7691,0.005,0.7714,0.775,0.7394,SELF-MAINTAINING
4,Projection-Neutral,RecursiveOpSelfReinforcement,0.7367,0.7505,0.7038,0.0188,0.7163,0.7159,0.6853,COHERENCE-REGENERATIVE
6,Projection-Neutral,RecursiveOpSelfReinforcement,0.6858,0.6897,0.6636,0.008,0.6421,0.6876,0.6441,COHERENCE-PARTIAL
8,Projection-Neutral,RecursiveOpSelfReinforcement,0.6482,0.6352,0.6033,0.0076,0.5984,0.6258,0.6124,COHERENCE-PARTIAL
12,Projection-Neutral,RecursiveOpSelfReinforcement,0.5932,0.5601,0.5498,0.0239,0.5578,0.5551,0.5288,COHERENCE-PARTIAL
16,Projection-Neutral,RecursiveOpSelfReinforcement,0.538,0.5198,0.4924,0.0177,0.4805,0.5062,0.4691,COHERENCE-DEGRADING
20,Projection-Neutral,RecursiveOpSelfReinforcement,0.4807,0.4668,0.457,0.0138,0.4485,0.4667,0.428,COHERENCE-DEGRADING
24,Projection-Neutral,RecursiveOpSelfReinforcement,0.4356,0.4293,0.4115,0.0198,0.4145,0.4189,0.4061,COHERENCE-DEGRADING
28,Projection-Neutral,RecursiveOpSelfReinforcement,0.3993,0.3986,0.3839,0.0105,0.3828,0.3835,0.3771,COHERENCE-FAILED
32,Projection-Neutral,RecursiveOpSelfReinforcement,0.3825,0.3629,0.3436,0.0105,0.3578,0.352,0.3337,COHERENCE-FAILED
40,Projection-Neutral,RecursiveOpSelfReinforcement,0.3284,0.3236,0.3134,0.02,0.3123,0.32,0.3037,COHERENCE-FAILED
48,Projection-Neutral,RecursiveOpSelfReinforcement,0.2892,0.2828,0.2718,0.012,0.2784,0.2854,0.2658,COHERENCE-FAILED
64,Projection-Neutral,RecursiveOpSelfReinforcement,0.2334,0.2365,0.2205,0.0173,0.2257,0.2262,0.2197,COHERENCE-FAILED
1,Projection-Neutral,AutonomousCorrectionCycling,0.8313,0.8165,0.763,0.0225,0.7567,0.8225,0.7709,SELF-MAINTAINING
2,Projection-Neutral,AutonomousCorrectionCycling,0.7834,0.7818,0.7339,0.0148,0.7461,0.7758,0.7486,COHERENCE-REGENERATIVE
4,Projection-Neutral,AutonomousCorrectionCycling,0.7258,0.7292,0.7005,0.0252,0.6935,0.7165,0.6919,COHERENCE-REGENERATIVE
6,Projection-Neutral,AutonomousCorrectionCycling,0.7084,0.6595,0.6469,0.0149,0.6629,0.6658,0.643,COHERENCE-REGENERATIVE
8,Projection-Neutral,AutonomousCorrectionCycling,0.6398,0.6238,0.608,0.0275,0.6125,0.6216,0.6111,COHERENCE-PARTIAL
12,Projection-Neutral,AutonomousCorrectionCycling,0.5896,0.571,0.5518,0.0135,0.5355,0.5771,0.5307,COHERENCE-DEGRADING
16,Projection-Neutral,AutonomousCorrectionCycling,0.5188,0.499,0.482,0.0268,0.4795,0.4986,0.4779,COHERENCE-DEGRADING
20,Projection-Neutral,AutonomousCorrectionCycling,0.4819,0.4587,0.435,0.0267,0.4428,0.4677,0.4452,COHERENCE-DEGRADING
24,Projection-Neutral,AutonomousCorrectionCycling,0.4422,0.4252,0.4004,0.0241,0.404,0.4184,0.3937,COHERENCE-DEGRADING
28,Projection-Neutral,AutonomousCorrectionCycling,0.4089,0.3838,0.378,0.0334,0.3711,0.3944,0.3785,COHERENCE-FAILED
32,Projection-Neutral,AutonomousCorrectionCycling,0.3746,0.3643,0.3392,0.038,0.3495,0.3562,0.3457,COHERENCE-FAILED
40,Projection-Neutral,AutonomousCorrectionCycling,0.32,0.32,0.2984,0.0263,0.3084,0.3202,0.3045,COHERENCE-FAILED
48,Projection-Neutral,AutonomousCorrectionCycling,0.2887,0.2823,0.2644,0.035,0.2654,0.2847,0.2734,COHERENCE-FAILED
64,Projection-Neutral,AutonomousCorrectionCycling,0.239,0.2285,0.2191,0.0453,0.2182,0.2355,0.2179,COHERENCE-FAILED
1,Projection-Neutral,StabilizationRegeneration,0.8396,0.8483,0.8114,0.005,0.8013,0.8249,0.8002,SELF-MAINTAINING
2,Projection-Neutral,StabilizationRegeneration,0.8087,0.7945,0.7618,0.005,0.7633,0.8042,0.7733,SELF-MAINTAINING
4,Projection-Neutral,StabilizationRegeneration,0.7506,0.759,0.7282,0.0084,0.7123,0.7476,0.6866,COHERENCE-REGENERATIVE
6,Projection-Neutral,StabilizationRegeneration,0.7135,0.7018,0.6648,0.0104,0.6762,0.7046,0.665,COHERENCE-REGENERATIVE
8,Projection-Neutral,StabilizationRegeneration,0.6558,0.6415,0.622,0.0063,0.6105,0.6333,0.6085,COHERENCE-PARTIAL
12,Projection-Neutral,StabilizationRegeneration,0.5824,0.5833,0.5511,0.0079,0.5632,0.5833,0.5523,COHERENCE-PARTIAL
16,Projection-Neutral,StabilizationRegeneration,0.5396,0.5151,0.5048,0.005,0.5063,0.5163,0.4825,COHERENCE-DEGRADING
20,Projection-Neutral,StabilizationRegeneration,0.478,0.4776,0.4613,0.0113,0.4525,0.4631,0.4552,COHERENCE-DEGRADING
24,Projection-Neutral,StabilizationRegeneration,0.4392,0.4398,0.4065,0.0076,0.423,0.4239,0.4033,COHERENCE-DEGRADING
28,Projection-Neutral,StabilizationRegeneration,0.4107,0.3951,0.3767,0.005,0.3906,0.3978,0.3742,COHERENCE-FAILED
32,Projection-Neutral,StabilizationRegeneration,0.3721,0.3701,0.3561,0.0114,0.3495,0.3656,0.3559,COHERENCE-FAILED
40,Projection-Neutral,StabilizationRegeneration,0.3401,0.3211,0.3136,0.0105,0.3071,0.3236,0.3039,COHERENCE-FAILED
48,Projection-Neutral,StabilizationRegeneration,0.2992,0.2847,0.2795,0.005,0.2727,0.2837,0.2682,COHERENCE-FAILED
64,Projection-Neutral,StabilizationRegeneration,0.2441,0.232,0.23,0.0089,0.2292,0.2343,0.2219,COHERENCE-FAILED
1,Projection-Neutral,CoherenceMaintenanceFeedback,0.8446,0.7959,0.7763,0.0148,0.7777,0.8535,0.8098,SELF-MAINTAINING
2,Projection-Neutral,CoherenceMaintenanceFeedback,0.8207,0.7813,0.7366,0.024,0.7501,0.7939,0.763,SELF-MAINTAINING
4,Projection-Neutral,CoherenceMaintenanceFeedback,0.7488,0.7191,0.7017,0.0161,0.6757,0.7375,0.7017,COHERENCE-REGENERATIVE
6,Projection-Neutral,CoherenceMaintenanceFeedback,0.702,0.6702,0.6603,0.0304,0.6372,0.707,0.6628,COHERENCE-PARTIAL
8,Projection-Neutral,CoherenceMaintenanceFeedback,0.6551,0.6292,0.6215,0.03,0.5931,0.6526,0.6099,COHERENCE-PARTIAL
12,Projection-Neutral,CoherenceMaintenanceFeedback,0.5822,0.5571,0.5351,0.0176,0.5425,0.5784,0.5605,COHERENCE-DEGRADING
16,Projection-Neutral,CoherenceMaintenanceFeedback,0.5137,0.512,0.4834,0.0233,0.4915,0.5335,0.4927,COHERENCE-DEGRADING
20,Projection-Neutral,CoherenceMaintenanceFeedback,0.4809,0.473,0.4393,0.0179,0.4374,0.4702,0.4492,COHERENCE-DEGRADING
24,Projection-Neutral,CoherenceMaintenanceFeedback,0.4395,0.4258,0.4106,0.0341,0.4044,0.4402,0.4243,COHERENCE-DEGRADING
28,Projection-Neutral,CoherenceMaintenanceFeedback,0.3946,0.3991,0.365,0.0368,0.3803,0.4004,0.3733,COHERENCE-FAILED
32,Projection-Neutral,CoherenceMaintenanceFeedback,0.3647,0.3726,0.3391,0.0261,0.3385,0.3782,0.3612,COHERENCE-FAILED
40,Projection-Neutral,CoherenceMaintenanceFeedback,0.3258,0.3164,0.3015,0.0411,0.3054,0.3284,0.3101,COHERENCE-FAILED
48,Projection-Neutral,CoherenceMaintenanceFeedback,0.2837,0.2833,0.2692,0.0328,0.2644,0.2923,0.2702,COHERENCE-FAILED
