depth,sector,condition,rg_similarity,quantization_coherence,discrete_state_persistence,transition_boundary_stability,recursive_quantization_alignment,attractor_discretization_strength,discrete_regime_gain,classification
2048,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
3072,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4096,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6144,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8192,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12288,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16384,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24576,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32768,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
65536,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
131072,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
262144,Antisymmetry,RecursiveTransitionBoundaryMapping,0.96,0.9547,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
524288,Antisymmetry,RecursiveTransitionBoundaryMapping,0.9468,0.9107,0.8974,0.93,0.8887,0.8992,0.9224,QUANTIZATION-STABLE
1048576,Antisymmetry,RecursiveTransitionBoundaryMapping,0.9137,0.8837,0.8715,0.858,0.8597,0.8575,0.8914,QUANTIZATION-BOUNDED
2097152,Antisymmetry,RecursiveTransitionBoundaryMapping,0.8186,0.7721,0.7584,0.7885,0.7581,0.7701,0.786,QUANTIZATION-PARTIAL
1,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
20,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
40,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
48,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
64,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
80,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
96,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
128,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
160,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
192,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
256,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
320,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
512,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
768,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1024,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1536,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2048,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
3072,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4096,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6144,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8192,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12288,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16384,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24576,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32768,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
65536,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
131072,Antisymmetry,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
262144,Antisymmetry,DiscreteConservationStructure,0.96,0.9586,0.94,0.93,0.92,0.9028,0.93,QUANTIZATION-STABLE
524288,Antisymmetry,DiscreteConservationStructure,0.96,0.9254,0.94,0.8942,0.92,0.8836,0.9141,QUANTIZATION-STABLE
1048576,Antisymmetry,DiscreteConservationStructure,0.896,0.8645,0.8936,0.8459,0.8625,0.8206,0.8537,QUANTIZATION-BOUNDED
2097152,Antisymmetry,DiscreteConservationStructure,0.8116,0.7927,0.782,0.7704,0.773,0.7645,0.7804,QUANTIZATION-PARTIAL
1,Antisymmetry,NullQuantizationControl,0.7558,0.6913,0.678,0.6812,0.6736,0.6543,0.6709,QUANTIZATION-DEGRADING
2,Antisymmetry,NullQuantizationControl,0.7421,0.6925,0.6727,0.6692,0.6796,0.6521,0.6865,QUANTIZATION-DEGRADING
4,Antisymmetry,NullQuantizationControl,0.7259,0.7036,0.6995,0.6796,0.6497,0.66,0.6572,QUANTIZATION-PARTIAL
6,Antisymmetry,NullQuantizationControl,0.7337,0.7147,0.6708,0.6732,0.6789,0.6646,0.6592,QUANTIZATION-PARTIAL
8,Antisymmetry,NullQuantizationControl,0.7553,0.6848,0.7031,0.6703,0.6566,0.6381,0.6936,QUANTIZATION-DEGRADING
12,Antisymmetry,NullQuantizationControl,0.7511,0.6968,0.6895,0.6714,0.6768,0.6635,0.6569,QUANTIZATION-DEGRADING
16,Antisymmetry,NullQuantizationControl,0.7343,0.6788,0.6824,0.6643,0.6709,0.6654,0.6642,QUANTIZATION-DEGRADING
20,Antisymmetry,NullQuantizationControl,0.728,0.6985,0.6672,0.6748,0.6841,0.6678,0.6687,QUANTIZATION-DEGRADING
24,Antisymmetry,NullQuantizationControl,0.7526,0.6994,0.702,0.6846,0.6769,0.6389,0.6858,QUANTIZATION-DEGRADING
32,Antisymmetry,NullQuantizationControl,0.7509,0.711,0.7017,0.6641,0.6714,0.6384,0.6755,QUANTIZATION-PARTIAL
40,Antisymmetry,NullQuantizationControl,0.7451,0.6905,0.6797,0.6695,0.6756,0.6644,0.6673,QUANTIZATION-DEGRADING
48,Antisymmetry,NullQuantizationControl,0.7299,0.6821,0.6845,0.6572,0.6591,0.6685,0.6889,QUANTIZATION-DEGRADING
64,Antisymmetry,NullQuantizationControl,0.7385,0.6777,0.6878,0.683,0.6459,0.6469,0.6912,QUANTIZATION-DEGRADING
80,Antisymmetry,NullQuantizationControl,0.7543,0.713,0.6696,0.6573,0.6785,0.6575,0.6644,QUANTIZATION-PARTIAL
96,Antisymmetry,NullQuantizationControl,0.7418,0.6981,0.6772,0.6682,0.65,0.6498,0.6748,QUANTIZATION-DEGRADING
128,Antisymmetry,NullQuantizationControl,0.7437,0.7085,0.6673,0.669,0.6847,0.6412,0.6579,QUANTIZATION-PARTIAL
160,Antisymmetry,NullQuantizationControl,0.7285,0.708,0.6724,0.6909,0.6746,0.6604,0.6816,QUANTIZATION-PARTIAL
192,Antisymmetry,NullQuantizationControl,0.7317,0.6957,0.6977,0.6741,0.6814,0.65,0.6858,QUANTIZATION-DEGRADING
256,Antisymmetry,NullQuantizationControl,0.7568,0.6818,0.6951,0.6885,0.6491,0.6413,0.6743,QUANTIZATION-DEGRADING
320,Antisymmetry,NullQuantizationControl,0.7209,0.7122,0.6862,0.6924,0.6852,0.6443,0.6747,QUANTIZATION-PARTIAL
512,Antisymmetry,NullQuantizationControl,0.7245,0.7065,0.666,0.6762,0.6497,0.6568,0.6777,QUANTIZATION-PARTIAL
768,Antisymmetry,NullQuantizationControl,0.7232,0.6936,0.7017,0.6681,0.6761,0.65,0.686,QUANTIZATION-DEGRADING
1024,Antisymmetry,NullQuantizationControl,0.721,0.6797,0.68,0.692,0.6739,0.6725,0.6682,QUANTIZATION-DEGRADING
1536,Antisymmetry,NullQuantizationControl,0.7318,0.6917,0.6922,0.6888,0.6831,0.6502,0.683,QUANTIZATION-DEGRADING
2048,Antisymmetry,NullQuantizationControl,0.717,0.697,0.6953,0.6601,0.6766,0.6535,0.6928,QUANTIZATION-DEGRADING
3072,Antisymmetry,NullQuantizationControl,0.7413,0.6859,0.6698,0.6704,0.6717,0.6715,0.6642,QUANTIZATION-DEGRADING
4096,Antisymmetry,NullQuantizationControl,0.7544,0.703,0.6913,0.668,0.6795,0.6408,0.6556,QUANTIZATION-PARTIAL
6144,Antisymmetry,NullQuantizationControl,0.732,0.6965,0.6803,0.6559,0.6655,0.6413,0.6636,QUANTIZATION-DEGRADING
8192,Antisymmetry,NullQuantizationControl,0.738,0.7057,0.6661,0.6741,0.6667,0.6599,0.6563,QUANTIZATION-PARTIAL
12288,Antisymmetry,NullQuantizationControl,0.7162,0.7056,0.6807,0.6569,0.6716,0.6387,0.6789,QUANTIZATION-PARTIAL
16384,Antisymmetry,NullQuantizationControl,0.7533,0.6858,0.6957,0.6557,0.6739,0.6553,0.6888,QUANTIZATION-DEGRADING
24576,Antisymmetry,NullQuantizationControl,0.7336,0.7115,0.6727,0.6925,0.6449,0.6472,0.6641,QUANTIZATION-PARTIAL
32768,Antisymmetry,NullQuantizationControl,0.7385,0.6746,0.6993,0.6759,0.6718,0.6333,0.6626,QUANTIZATION-DEGRADING
65536,Antisymmetry,NullQuantizationControl,0.7469,0.7053,0.6817,0.6781,0.6511,0.6657,0.6814,QUANTIZATION-PARTIAL
131072,Antisymmetry,NullQuantizationControl,0.7173,0.7009,0.6808,0.6506,0.6362,0.6345,0.6567,QUANTIZATION-PARTIAL
262144,Antisymmetry,NullQuantizationControl,0.7259,0.6859,0.6509,0.64,0.6526,0.635,0.6702,QUANTIZATION-DEGRADING
524288,Antisymmetry,NullQuantizationControl,0.685,0.6711,0.6359,0.6348,0.6423,0.6177,0.6206,QUANTIZATION-DEGRADING
1048576,Antisymmetry,NullQuantizationControl,0.6585,0.6196,0.6061,0.6067,0.5719,0.5841,0.6114,QUANTIZATION-DEGRADING
2097152,Antisymmetry,NullQuantizationControl,0.5951,0.554,0.5349,0.5471,0.5398,0.5238,0.5395,QUANTIZATION-DEGRADING
1,Neutral,DiscreteAttractorEmergence,0.9434,0.96,0.9367,0.8895,0.9051,0.9009,0.9137,QUANTIZATION-STABLE
2,Neutral,DiscreteAttractorEmergence,0.96,0.9503,0.9198,0.9008,0.8924,0.9032,0.9159,QUANTIZATION-STABLE
4,Neutral,DiscreteAttractorEmergence,0.9443,0.9312,0.94,0.8951,0.9117,0.9054,0.9111,QUANTIZATION-STABLE
6,Neutral,DiscreteAttractorEmergence,0.9555,0.9382,0.9158,0.9186,0.8983,0.91,0.9018,QUANTIZATION-STABLE
8,Neutral,DiscreteAttractorEmergence,0.96,0.96,0.9311,0.9122,0.8784,0.9069,0.8926,QUANTIZATION-STABLE
12,Neutral,DiscreteAttractorEmergence,0.96,0.9329,0.9335,0.897,0.9105,0.8968,0.9206,QUANTIZATION-STABLE
16,Neutral,DiscreteAttractorEmergence,0.96,0.9423,0.9114,0.8933,0.9125,0.9023,0.889,QUANTIZATION-STABLE
20,Neutral,DiscreteAttractorEmergence,0.96,0.9433,0.9296,0.9233,0.9101,0.91,0.898,QUANTIZATION-STABLE
24,Neutral,DiscreteAttractorEmergence,0.9418,0.96,0.9304,0.9188,0.8957,0.8923,0.9108,QUANTIZATION-STABLE
32,Neutral,DiscreteAttractorEmergence,0.9454,0.9307,0.94,0.9118,0.9101,0.9037,0.9222,QUANTIZATION-STABLE
40,Neutral,DiscreteAttractorEmergence,0.96,0.947,0.919,0.8886,0.881,0.8906,0.911,QUANTIZATION-STABLE
48,Neutral,DiscreteAttractorEmergence,0.9518,0.9288,0.9301,0.9239,0.9009,0.89,0.8969,QUANTIZATION-STABLE
64,Neutral,DiscreteAttractorEmergence,0.9495,0.9409,0.9348,0.8867,0.8879,0.9048,0.8901,QUANTIZATION-STABLE
80,Neutral,DiscreteAttractorEmergence,0.96,0.9278,0.94,0.8923,0.8871,0.91,0.9133,QUANTIZATION-STABLE
96,Neutral,DiscreteAttractorEmergence,0.96,0.9564,0.9084,0.9167,0.913,0.8873,0.9048,QUANTIZATION-STABLE
128,Neutral,DiscreteAttractorEmergence,0.9443,0.9266,0.9344,0.9231,0.8858,0.91,0.9223,QUANTIZATION-STABLE
160,Neutral,DiscreteAttractorEmergence,0.9462,0.9533,0.9232,0.9119,0.9065,0.9079,0.886,QUANTIZATION-STABLE
192,Neutral,DiscreteAttractorEmergence,0.9463,0.9321,0.94,0.8911,0.8883,0.8879,0.891,QUANTIZATION-STABLE
256,Neutral,DiscreteAttractorEmergence,0.96,0.96,0.9224,0.9159,0.8958,0.91,0.9051,QUANTIZATION-STABLE
320,Neutral,DiscreteAttractorEmergence,0.96,0.9467,0.94,0.8883,0.9103,0.8938,0.8878,QUANTIZATION-STABLE
512,Neutral,DiscreteAttractorEmergence,0.942,0.9402,0.9137,0.9129,0.8965,0.9089,0.9067,QUANTIZATION-STABLE
768,Neutral,DiscreteAttractorEmergence,0.96,0.9385,0.9129,0.9085,0.9002,0.91,0.9157,QUANTIZATION-STABLE
1024,Neutral,DiscreteAttractorEmergence,0.96,0.927,0.94,0.9034,0.9106,0.8987,0.9076,QUANTIZATION-STABLE
1536,Neutral,DiscreteAttractorEmergence,0.9547,0.96,0.9225,0.8976,0.8856,0.91,0.8966,QUANTIZATION-STABLE
2048,Neutral,DiscreteAttractorEmergence,0.9455,0.9544,0.9151,0.8899,0.8942,0.91,0.9156,QUANTIZATION-STABLE
3072,Neutral,DiscreteAttractorEmergence,0.949,0.9388,0.9224,0.8949,0.9027,0.9041,0.911,QUANTIZATION-STABLE
4096,Neutral,DiscreteAttractorEmergence,0.96,0.9255,0.9151,0.9024,0.897,0.91,0.8949,QUANTIZATION-STABLE
6144,Neutral,DiscreteAttractorEmergence,0.96,0.9305,0.9143,0.8901,0.8853,0.91,0.8879,QUANTIZATION-STABLE
8192,Neutral,DiscreteAttractorEmergence,0.9485,0.9333,0.9061,0.9031,0.8868,0.91,0.9197,QUANTIZATION-STABLE
12288,Neutral,DiscreteAttractorEmergence,0.96,0.9559,0.9297,0.917,0.8844,0.8844,0.8931,QUANTIZATION-STABLE
16384,Neutral,DiscreteAttractorEmergence,0.9404,0.9583,0.9199,0.8977,0.8964,0.91,0.8914,QUANTIZATION-STABLE
24576,Neutral,DiscreteAttractorEmergence,0.9444,0.926,0.9207,0.9177,0.8732,0.8871,0.8997,QUANTIZATION-STABLE
32768,Neutral,DiscreteAttractorEmergence,0.96,0.9268,0.9031,0.9208,0.9033,0.9033,0.9214,QUANTIZATION-STABLE
65536,Neutral,DiscreteAttractorEmergence,0.9357,0.9557,0.9076,0.9046,0.8859,0.91,0.9053,QUANTIZATION-STABLE
131072,Neutral,DiscreteAttractorEmergence,0.96,0.9351,0.8915,0.8966,0.8826,0.9021,0.8965,QUANTIZATION-STABLE
262144,Neutral,DiscreteAttractorEmergence,0.9478,0.9033,0.8881,0.8865,0.8637,0.8891,0.8638,QUANTIZATION-STABLE
524288,Neutral,DiscreteAttractorEmergence,0.9067,0.8744,0.8618,0.8668,0.8587,0.8563,0.8394,QUANTIZATION-BOUNDED
1048576,Neutral,DiscreteAttractorEmergence,0.8548,0.8283,0.8255,0.8127,0.7972,0.7897,0.7904,QUANTIZATION-BOUNDED
2097152,Neutral,DiscreteAttractorEmergence,0.7693,0.7571,0.7183,0.7224,0.7112,0.7323,0.7256,QUANTIZATION-PARTIAL
1,Neutral,RecursiveThresholdQuantization,0.96,0.9327,0.9142,0.9247,0.8872,0.8853,0.9199,QUANTIZATION-STABLE
2,Neutral,RecursiveThresholdQuantization,0.96,0.9417,0.926,0.93,0.9024,0.902,0.8962,QUANTIZATION-STABLE
4,Neutral,RecursiveThresholdQuantization,0.96,0.9091,0.9397,0.9241,0.9036,0.8993,0.9016,QUANTIZATION-STABLE
6,Neutral,RecursiveThresholdQuantization,0.96,0.9435,0.9127,0.9296,0.917,0.8894,0.9192,QUANTIZATION-STABLE
8,Neutral,RecursiveThresholdQuantization,0.9557,0.9107,0.938,0.93,0.8973,0.8811,0.9029,QUANTIZATION-STABLE
12,Neutral,RecursiveThresholdQuantization,0.96,0.9058,0.915,0.93,0.9059,0.8675,0.9063,QUANTIZATION-STABLE
16,Neutral,RecursiveThresholdQuantization,0.9551,0.9243,0.9099,0.93,0.8915,0.8687,0.8874,QUANTIZATION-STABLE
20,Neutral,RecursiveThresholdQuantization,0.96,0.9447,0.9216,0.93,0.8887,0.8743,0.9121,QUANTIZATION-STABLE
24,Neutral,RecursiveThresholdQuantization,0.96,0.9086,0.9102,0.93,0.8891,0.8837,0.9197,QUANTIZATION-STABLE
32,Neutral,RecursiveThresholdQuantization,0.9563,0.9309,0.94,0.93,0.92,0.8749,0.922,QUANTIZATION-STABLE
40,Neutral,RecursiveThresholdQuantization,0.9594,0.9214,0.9292,0.9206,0.9148,0.8806,0.8976,QUANTIZATION-STABLE
48,Neutral,RecursiveThresholdQuantization,0.9554,0.9257,0.9212,0.929,0.8949,0.872,0.8969,QUANTIZATION-STABLE
64,Neutral,RecursiveThresholdQuantization,0.9563,0.9376,0.9199,0.9173,0.8875,0.8974,0.9245,QUANTIZATION-STABLE
80,Neutral,RecursiveThresholdQuantization,0.9583,0.9216,0.9208,0.9217,0.9015,0.902,0.9102,QUANTIZATION-STABLE
96,Neutral,RecursiveThresholdQuantization,0.95,0.9429,0.93,0.9179,0.92,0.8948,0.9191,QUANTIZATION-STABLE
128,Neutral,RecursiveThresholdQuantization,0.96,0.9103,0.9069,0.93,0.9039,0.8678,0.886,QUANTIZATION-STABLE
160,Neutral,RecursiveThresholdQuantization,0.96,0.9357,0.94,0.9221,0.8917,0.8966,0.9243,QUANTIZATION-STABLE
192,Neutral,RecursiveThresholdQuantization,0.96,0.9195,0.9204,0.9174,0.92,0.8844,0.9255,QUANTIZATION-STABLE
256,Neutral,RecursiveThresholdQuantization,0.9477,0.9074,0.9093,0.93,0.8989,0.8667,0.9004,QUANTIZATION-STABLE
320,Neutral,RecursiveThresholdQuantization,0.96,0.9423,0.9385,0.93,0.8962,0.8942,0.8972,QUANTIZATION-STABLE
512,Neutral,RecursiveThresholdQuantization,0.9575,0.9111,0.9381,0.93,0.9141,0.9005,0.9222,QUANTIZATION-STABLE
768,Neutral,RecursiveThresholdQuantization,0.9508,0.9274,0.9117,0.9206,0.9038,0.8737,0.9087,QUANTIZATION-STABLE
1024,Neutral,RecursiveThresholdQuantization,0.9593,0.9179,0.9123,0.9195,0.9075,0.8683,0.9078,QUANTIZATION-STABLE
1536,Neutral,RecursiveThresholdQuantization,0.96,0.9416,0.9167,0.93,0.9011,0.8953,0.9118,QUANTIZATION-STABLE
2048,Neutral,RecursiveThresholdQuantization,0.9502,0.9327,0.924,0.93,0.9033,0.8707,0.9238,QUANTIZATION-STABLE
3072,Neutral,RecursiveThresholdQuantization,0.9539,0.9438,0.9112,0.9204,0.9038,0.8796,0.8921,QUANTIZATION-STABLE
4096,Neutral,RecursiveThresholdQuantization,0.96,0.9415,0.9369,0.93,0.8913,0.8837,0.9023,QUANTIZATION-STABLE
6144,Neutral,RecursiveThresholdQuantization,0.96,0.9375,0.9261,0.9201,0.9084,0.8708,0.9189,QUANTIZATION-STABLE
8192,Neutral,RecursiveThresholdQuantization,0.96,0.9394,0.9171,0.93,0.897,0.8728,0.8977,QUANTIZATION-STABLE
12288,Neutral,RecursiveThresholdQuantization,0.9549,0.91,0.9149,0.9203,0.92,0.8799,0.891,QUANTIZATION-STABLE
16384,Neutral,RecursiveThresholdQuantization,0.96,0.9261,0.9271,0.93,0.8865,0.8805,0.9055,QUANTIZATION-STABLE
24576,Neutral,RecursiveThresholdQuantization,0.96,0.93,0.9344,0.93,0.886,0.8788,0.911,QUANTIZATION-STABLE
32768,Neutral,RecursiveThresholdQuantization,0.96,0.9383,0.9305,0.93,0.8956,0.892,0.8839,QUANTIZATION-STABLE
65536,Neutral,RecursiveThresholdQuantization,0.9559,0.908,0.9244,0.9254,0.9087,0.8909,0.9011,QUANTIZATION-STABLE
131072,Neutral,RecursiveThresholdQuantization,0.9441,0.9125,0.8936,0.93,0.8969,0.8873,0.9033,QUANTIZATION-STABLE
262144,Neutral,RecursiveThresholdQuantization,0.9307,0.8965,0.9013,0.9189,0.882,0.8685,0.8871,QUANTIZATION-BOUNDED
524288,Neutral,RecursiveThresholdQuantization,0.8913,0.8605,0.8701,0.8809,0.8656,0.8266,0.8613,QUANTIZATION-BOUNDED
1048576,Neutral,RecursiveThresholdQuantization,0.8388,0.802,0.8011,0.8283,0.7871,0.7793,0.8173,QUANTIZATION-BOUNDED
2097152,Neutral,RecursiveThresholdQuantization,0.7636,0.7422,0.7179,0.7394,0.7217,0.6948,0.7224,QUANTIZATION-PARTIAL
1,Neutral,StabilizationStateDiscretization,0.9495,0.9286,0.94,0.894,0.8953,0.8963,0.9044,QUANTIZATION-STABLE
2,Neutral,StabilizationStateDiscretization,0.96,0.9236,0.94,0.8979,0.8987,0.8674,0.9156,QUANTIZATION-STABLE
4,Neutral,StabilizationStateDiscretization,0.96,0.9267,0.94,0.9255,0.9068,0.8723,0.917,QUANTIZATION-STABLE
6,Neutral,StabilizationStateDiscretization,0.9585,0.9506,0.94,0.9022,0.8902,0.8973,0.9057,QUANTIZATION-STABLE
8,Neutral,StabilizationStateDiscretization,0.9474,0.9549,0.94,0.896,0.8866,0.8673,0.921,QUANTIZATION-STABLE
12,Neutral,StabilizationStateDiscretization,0.96,0.9408,0.94,0.8974,0.9154,0.904,0.9153,QUANTIZATION-STABLE
16,Neutral,StabilizationStateDiscretization,0.96,0.9536,0.935,0.8992,0.912,0.8766,0.8909,QUANTIZATION-STABLE
20,Neutral,StabilizationStateDiscretization,0.9447,0.9185,0.9312,0.922,0.9108,0.8787,0.8932,QUANTIZATION-STABLE
24,Neutral,StabilizationStateDiscretization,0.9576,0.9511,0.937,0.8956,0.9049,0.8801,0.8887,QUANTIZATION-STABLE
32,Neutral,StabilizationStateDiscretization,0.96,0.9428,0.9379,0.9249,0.9072,0.8995,0.8986,QUANTIZATION-STABLE
40,Neutral,StabilizationStateDiscretization,0.9516,0.9409,0.94,0.8966,0.8882,0.8738,0.9145,QUANTIZATION-STABLE
48,Neutral,StabilizationStateDiscretization,0.96,0.9419,0.94,0.9041,0.8891,0.8958,0.8884,QUANTIZATION-STABLE
64,Neutral,StabilizationStateDiscretization,0.96,0.9509,0.932,0.8965,0.92,0.8717,0.9185,QUANTIZATION-STABLE
80,Neutral,StabilizationStateDiscretization,0.945,0.9423,0.9344,0.9186,0.92,0.8717,0.9017,QUANTIZATION-STABLE
96,Neutral,StabilizationStateDiscretization,0.96,0.9207,0.94,0.8984,0.915,0.8975,0.9215,QUANTIZATION-STABLE
128,Neutral,StabilizationStateDiscretization,0.9497,0.925,0.94,0.8993,0.92,0.8802,0.9118,QUANTIZATION-STABLE
160,Neutral,StabilizationStateDiscretization,0.96,0.9358,0.9314,0.9211,0.8952,0.8977,0.8972,QUANTIZATION-STABLE
192,Neutral,StabilizationStateDiscretization,0.96,0.9161,0.9358,0.8902,0.8983,0.9002,0.9027,QUANTIZATION-STABLE
256,Neutral,StabilizationStateDiscretization,0.96,0.9319,0.9283,0.8861,0.9076,0.9053,0.9206,QUANTIZATION-STABLE
320,Neutral,StabilizationStateDiscretization,0.9581,0.9231,0.94,0.9012,0.8942,0.8702,0.8856,QUANTIZATION-STABLE
512,Neutral,StabilizationStateDiscretization,0.96,0.941,0.9381,0.9013,0.92,0.9011,0.8996,QUANTIZATION-STABLE
768,Neutral,StabilizationStateDiscretization,0.96,0.9262,0.94,0.9034,0.92,0.8743,0.8993,QUANTIZATION-STABLE
1024,Neutral,StabilizationStateDiscretization,0.96,0.9535,0.94,0.9201,0.9034,0.8751,0.9133,QUANTIZATION-STABLE
1536,Neutral,StabilizationStateDiscretization,0.96,0.9319,0.9367,0.8926,0.9042,0.8738,0.9245,QUANTIZATION-STABLE
2048,Neutral,StabilizationStateDiscretization,0.96,0.9415,0.94,0.9209,0.8959,0.8723,0.9225,QUANTIZATION-STABLE
3072,Neutral,StabilizationStateDiscretization,0.944,0.9468,0.94,0.8905,0.92,0.8813,0.922,QUANTIZATION-STABLE
4096,Neutral,StabilizationStateDiscretization,0.9557,0.9403,0.9377,0.9181,0.9162,0.8978,0.9051,QUANTIZATION-STABLE
6144,Neutral,StabilizationStateDiscretization,0.96,0.9441,0.9257,0.9076,0.8951,0.8748,0.9097,QUANTIZATION-STABLE
8192,Neutral,StabilizationStateDiscretization,0.9584,0.9253,0.94,0.8864,0.92,0.8848,0.9158,QUANTIZATION-STABLE
12288,Neutral,StabilizationStateDiscretization,0.96,0.9442,0.94,0.8846,0.912,0.8762,0.8964,QUANTIZATION-STABLE
16384,Neutral,StabilizationStateDiscretization,0.9515,0.945,0.9268,0.9178,0.9098,0.8741,0.9024,QUANTIZATION-STABLE
