depth,sector,operator,rg_improvement,closure_retention,multiscale_consistency,degradation_reduction,operator_effectiveness,recursive_retention,rg_similarity,classification
4,Projection-Neutral,SymmetryCompensation,0.0329,0.7247,0.7093,0.6611,0.7058,0.7359,0.6676,OPERATOR-PARTIAL
6,Projection-Neutral,SymmetryCompensation,0.0313,0.6973,0.6759,0.6021,0.6883,0.6962,0.6378,OPERATOR-WEAK
8,Projection-Neutral,SymmetryCompensation,0.0506,0.6556,0.632,0.5947,0.6447,0.6486,0.6313,OPERATOR-WEAK
12,Projection-Neutral,SymmetryCompensation,0.0331,0.6238,0.5754,0.5466,0.5936,0.6125,0.5683,OPERATOR-WEAK
16,Projection-Neutral,SymmetryCompensation,0.0417,0.5719,0.5535,0.5133,0.5683,0.5565,0.5379,OPERATOR-INEFFECTIVE
20,Projection-Neutral,SymmetryCompensation,0.0246,0.5229,0.5203,0.4604,0.5149,0.5299,0.4871,OPERATOR-INEFFECTIVE
1,Projection-Neutral,CooperativeClosure,0.082,0.8217,0.75,0.707,0.7957,0.7709,0.7643,OPERATOR-ENHANCED
2,Projection-Neutral,CooperativeClosure,0.0851,0.7672,0.7268,0.7022,0.785,0.7684,0.7508,OPERATOR-ENHANCED
4,Projection-Neutral,CooperativeClosure,0.0673,0.7635,0.7136,0.6477,0.7346,0.726,0.702,OPERATOR-PARTIAL
6,Projection-Neutral,CooperativeClosure,0.0802,0.7041,0.681,0.6244,0.7053,0.6927,0.6867,OPERATOR-PARTIAL
8,Projection-Neutral,CooperativeClosure,0.0691,0.6839,0.6483,0.6154,0.672,0.6642,0.6498,OPERATOR-WEAK
12,Projection-Neutral,CooperativeClosure,0.0644,0.6266,0.6001,0.5457,0.6192,0.6096,0.5995,OPERATOR-WEAK
16,Projection-Neutral,CooperativeClosure,0.052,0.577,0.568,0.5238,0.5622,0.5776,0.5482,OPERATOR-INEFFECTIVE
20,Projection-Neutral,CooperativeClosure,0.0602,0.5445,0.5156,0.4961,0.5406,0.5474,0.5228,OPERATOR-INEFFECTIVE
1,Projection-Neutral,AdaptiveScale,0.0886,0.802,0.784,0.7025,0.7812,0.778,0.7709,OPERATOR-ENHANCED
2,Projection-Neutral,AdaptiveScale,0.0776,0.7847,0.7587,0.6837,0.7619,0.7903,0.7433,OPERATOR-PARTIAL
4,Projection-Neutral,AdaptiveScale,0.0757,0.7535,0.7425,0.6834,0.7496,0.7598,0.7104,OPERATOR-PARTIAL
6,Projection-Neutral,AdaptiveScale,0.067,0.7244,0.7023,0.6356,0.7188,0.7036,0.6735,OPERATOR-PARTIAL
8,Projection-Neutral,AdaptiveScale,0.0784,0.7069,0.6841,0.6073,0.69,0.6898,0.659,OPERATOR-PARTIAL
12,Projection-Neutral,AdaptiveScale,0.0622,0.645,0.6069,0.5505,0.6256,0.6101,0.5973,OPERATOR-WEAK
16,Projection-Neutral,AdaptiveScale,0.0781,0.5945,0.5773,0.5304,0.5647,0.57,0.5743,OPERATOR-WEAK
20,Projection-Neutral,AdaptiveScale,0.0623,0.5607,0.5346,0.4837,0.5359,0.5417,0.5249,OPERATOR-INEFFECTIVE
1,Projection-Neutral,Null,-0.1184,0.5642,0.4818,0.5279,0.5617,0.6024,0.5639,OPERATOR-WEAK
2,Projection-Neutral,Null,-0.1139,0.5416,0.4434,0.4896,0.5512,0.5899,0.5517,OPERATOR-WEAK
4,Projection-Neutral,Null,-0.1108,0.5269,0.4502,0.4792,0.5343,0.576,0.5239,OPERATOR-INEFFECTIVE
6,Projection-Neutral,Null,-0.1301,0.4907,0.4228,0.4403,0.5055,0.5558,0.4763,OPERATOR-INEFFECTIVE
8,Projection-Neutral,Null,-0.0964,0.4834,0.4082,0.4329,0.4724,0.5173,0.4843,OPERATOR-INEFFECTIVE
12,Projection-Neutral,Null,-0.1022,0.4446,0.3817,0.4081,0.4527,0.4979,0.433,OPERATOR-INEFFECTIVE
16,Projection-Neutral,Null,-0.0857,0.3907,0.3574,0.3635,0.3993,0.4448,0.4106,OPERATOR-INEFFECTIVE
20,Projection-Neutral,Null,-0.0874,0.3747,0.3166,0.3387,0.3874,0.4163,0.3751,OPERATOR-INEFFECTIVE
1,Antisymmetry-Neutral,Baseline,0.0302,0.7523,0.7196,0.6897,0.7299,0.7447,0.7125,OPERATOR-PARTIAL
2,Antisymmetry-Neutral,Baseline,0.0378,0.7182,0.712,0.6454,0.7417,0.7253,0.7035,OPERATOR-PARTIAL
4,Antisymmetry-Neutral,Baseline,0.0059,0.6905,0.6562,0.643,0.7012,0.7183,0.6406,OPERATOR-WEAK
6,Antisymmetry-Neutral,Baseline,0.0336,0.6592,0.6421,0.5821,0.67,0.6888,0.6401,OPERATOR-WEAK
8,Antisymmetry-Neutral,Baseline,0.0282,0.624,0.6054,0.5686,0.6344,0.6349,0.6089,OPERATOR-WEAK
12,Antisymmetry-Neutral,Baseline,0.0066,0.5792,0.5785,0.529,0.5881,0.5824,0.5417,OPERATOR-INEFFECTIVE
16,Antisymmetry-Neutral,Baseline,0.0136,0.5482,0.5306,0.5013,0.5313,0.5482,0.5099,OPERATOR-INEFFECTIVE
20,Antisymmetry-Neutral,Baseline,0.0064,0.5043,0.4894,0.451,0.5054,0.5068,0.469,OPERATOR-INEFFECTIVE
1,Antisymmetry-Neutral,CrossDepthCoupling,0.048,0.7991,0.791,0.7203,0.7796,0.788,0.7303,OPERATOR-PARTIAL
2,Antisymmetry-Neutral,CrossDepthCoupling,0.0604,0.767,0.734,0.6928,0.7658,0.7699,0.726,OPERATOR-PARTIAL
4,Antisymmetry-Neutral,CrossDepthCoupling,0.0483,0.7202,0.7363,0.6494,0.7333,0.7114,0.683,OPERATOR-PARTIAL
6,Antisymmetry-Neutral,CrossDepthCoupling,0.0385,0.6908,0.6921,0.6101,0.6911,0.7089,0.645,OPERATOR-WEAK
8,Antisymmetry-Neutral,CrossDepthCoupling,0.0462,0.6583,0.6422,0.6026,0.6711,0.6724,0.6269,OPERATOR-WEAK
12,Antisymmetry-Neutral,CrossDepthCoupling,0.0458,0.6137,0.609,0.5576,0.6176,0.6133,0.5809,OPERATOR-WEAK
16,Antisymmetry-Neutral,CrossDepthCoupling,0.0297,0.5702,0.5474,0.5093,0.5765,0.5578,0.5259,OPERATOR-INEFFECTIVE
20,Antisymmetry-Neutral,CrossDepthCoupling,0.0469,0.5292,0.5161,0.4761,0.5321,0.525,0.5095,OPERATOR-INEFFECTIVE
1,Antisymmetry-Neutral,SymmetryCompensation,0.0575,0.7728,0.735,0.6836,0.7799,0.7589,0.7398,OPERATOR-PARTIAL
2,Antisymmetry-Neutral,SymmetryCompensation,0.0255,0.7668,0.7423,0.6974,0.7587,0.7718,0.6911,OPERATOR-PARTIAL
4,Antisymmetry-Neutral,SymmetryCompensation,0.0331,0.7283,0.6844,0.6533,0.7179,0.7307,0.6678,OPERATOR-PARTIAL
6,Antisymmetry-Neutral,SymmetryCompensation,0.0356,0.7064,0.6557,0.6319,0.6835,0.6757,0.6421,OPERATOR-WEAK
8,Antisymmetry-Neutral,SymmetryCompensation,0.0551,0.6536,0.6437,0.6053,0.6442,0.6539,0.6358,OPERATOR-WEAK
12,Antisymmetry-Neutral,SymmetryCompensation,0.036,0.6001,0.5872,0.5451,0.6148,0.6102,0.5712,OPERATOR-WEAK
16,Antisymmetry-Neutral,SymmetryCompensation,0.0361,0.5626,0.542,0.4936,0.5641,0.5591,0.5323,OPERATOR-INEFFECTIVE
20,Antisymmetry-Neutral,SymmetryCompensation,0.0284,0.5213,0.5175,0.4769,0.5132,0.535,0.491,OPERATOR-INEFFECTIVE
1,Antisymmetry-Neutral,CooperativeClosure,0.0922,0.8186,0.7761,0.6937,0.7817,0.7804,0.7745,OPERATOR-ENHANCED
2,Antisymmetry-Neutral,CooperativeClosure,0.0785,0.7734,0.744,0.6834,0.7694,0.775,0.7442,OPERATOR-PARTIAL
4,Antisymmetry-Neutral,CooperativeClosure,0.067,0.755,0.6908,0.6657,0.7464,0.7458,0.7017,OPERATOR-PARTIAL
6,Antisymmetry-Neutral,CooperativeClosure,0.0837,0.7186,0.6709,0.6444,0.7,0.6919,0.6902,OPERATOR-PARTIAL
8,Antisymmetry-Neutral,CooperativeClosure,0.0758,0.6888,0.6572,0.6142,0.6803,0.6845,0.6565,OPERATOR-PARTIAL
12,Antisymmetry-Neutral,CooperativeClosure,0.0504,0.6167,0.6034,0.5469,0.629,0.6205,0.5855,OPERATOR-WEAK
16,Antisymmetry-Neutral,CooperativeClosure,0.0642,0.5817,0.5671,0.5211,0.5603,0.5712,0.5604,OPERATOR-WEAK
20,Antisymmetry-Neutral,CooperativeClosure,0.0612,0.5433,0.5303,0.488,0.5339,0.5481,0.5238,OPERATOR-INEFFECTIVE
1,Antisymmetry-Neutral,AdaptiveScale,0.0912,0.8,0.791,0.723,0.812,0.792,0.7735,OPERATOR-ENHANCED
2,Antisymmetry-Neutral,AdaptiveScale,0.0993,0.7788,0.7633,0.7042,0.7626,0.7868,0.7649,OPERATOR-ENHANCED
4,Antisymmetry-Neutral,AdaptiveScale,0.0711,0.7533,0.7427,0.6601,0.7371,0.734,0.7058,OPERATOR-PARTIAL
6,Antisymmetry-Neutral,AdaptiveScale,0.0866,0.7213,0.7193,0.6261,0.7027,0.7222,0.6931,OPERATOR-PARTIAL
8,Antisymmetry-Neutral,AdaptiveScale,0.0923,0.7057,0.6842,0.602,0.6665,0.6709,0.673,OPERATOR-PARTIAL
12,Antisymmetry-Neutral,AdaptiveScale,0.0815,0.6416,0.6147,0.576,0.639,0.6216,0.6167,OPERATOR-WEAK
16,Antisymmetry-Neutral,AdaptiveScale,0.0794,0.5979,0.5683,0.5213,0.5917,0.5676,0.5756,OPERATOR-WEAK
20,Antisymmetry-Neutral,AdaptiveScale,0.0687,0.5565,0.5326,0.4944,0.548,0.539,0.5313,OPERATOR-INEFFECTIVE
1,Antisymmetry-Neutral,Null,-0.1421,0.5486,0.4783,0.4941,0.5491,0.6017,0.5402,OPERATOR-INEFFECTIVE
2,Antisymmetry-Neutral,Null,-0.1355,0.546,0.4689,0.4947,0.5455,0.6042,0.5302,OPERATOR-INEFFECTIVE
4,Antisymmetry-Neutral,Null,-0.1314,0.5196,0.4347,0.4801,0.5257,0.5838,0.5033,OPERATOR-INEFFECTIVE
6,Antisymmetry-Neutral,Null,-0.1112,0.4879,0.435,0.4551,0.4931,0.5469,0.4953,OPERATOR-INEFFECTIVE
8,Antisymmetry-Neutral,Null,-0.1264,0.4576,0.3895,0.445,0.4783,0.521,0.4543,OPERATOR-INEFFECTIVE
12,Antisymmetry-Neutral,Null,-0.1054,0.4374,0.3856,0.3964,0.4285,0.4862,0.4297,OPERATOR-INEFFECTIVE
16,Antisymmetry-Neutral,Null,-0.0907,0.4084,0.3386,0.3821,0.4011,0.4564,0.4055,OPERATOR-INEFFECTIVE
20,Antisymmetry-Neutral,Null,-0.0913,0.369,0.3212,0.359,0.3751,0.4083,0.3712,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry-Neutral,Baseline,0.0,0.7661,0.7023,0.68,0.7267,0.7643,0.6823,OPERATOR-PARTIAL
2,Projection-Antisymmetry-Neutral,Baseline,0.0094,0.7403,0.7184,0.667,0.7077,0.7498,0.6751,OPERATOR-PARTIAL
4,Projection-Antisymmetry-Neutral,Baseline,0.0167,0.7142,0.667,0.6308,0.6728,0.6897,0.6514,OPERATOR-PARTIAL
6,Projection-Antisymmetry-Neutral,Baseline,0.0189,0.6673,0.6442,0.5948,0.6723,0.683,0.6254,OPERATOR-WEAK
8,Projection-Antisymmetry-Neutral,Baseline,0.0003,0.6238,0.6203,0.5682,0.6327,0.6282,0.581,OPERATOR-WEAK
12,Projection-Antisymmetry-Neutral,Baseline,0.0187,0.5875,0.5569,0.5238,0.5955,0.5855,0.5538,OPERATOR-WEAK
16,Projection-Antisymmetry-Neutral,Baseline,0.0257,0.542,0.5282,0.4948,0.5523,0.5357,0.5219,OPERATOR-INEFFECTIVE
20,Projection-Antisymmetry-Neutral,Baseline,0.0068,0.5187,0.4969,0.4639,0.4977,0.509,0.4694,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry-Neutral,CrossDepthCoupling,0.0661,0.7904,0.7754,0.7176,0.7934,0.8001,0.7484,OPERATOR-PARTIAL
2,Projection-Antisymmetry-Neutral,CrossDepthCoupling,0.0676,0.7647,0.754,0.7009,0.7497,0.7738,0.7332,OPERATOR-PARTIAL
4,Projection-Antisymmetry-Neutral,CrossDepthCoupling,0.041,0.7431,0.7203,0.66,0.7426,0.739,0.6757,OPERATOR-PARTIAL
6,Projection-Antisymmetry-Neutral,CrossDepthCoupling,0.0549,0.7095,0.6982,0.6334,0.6981,0.714,0.6614,OPERATOR-PARTIAL
8,Projection-Antisymmetry-Neutral,CrossDepthCoupling,0.0428,0.6767,0.6408,0.6034,0.6716,0.6752,0.6234,OPERATOR-WEAK
12,Projection-Antisymmetry-Neutral,CrossDepthCoupling,0.0517,0.6323,0.5917,0.5618,0.6037,0.602,0.5868,OPERATOR-WEAK
16,Projection-Antisymmetry-Neutral,CrossDepthCoupling,0.0489,0.5739,0.5614,0.5159,0.563,0.5707,0.5451,OPERATOR-INEFFECTIVE
20,Projection-Antisymmetry-Neutral,CrossDepthCoupling,0.0432,0.5459,0.5168,0.4768,0.5298,0.5243,0.5058,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry-Neutral,SymmetryCompensation,0.0381,0.7687,0.7598,0.7067,0.7664,0.764,0.7204,OPERATOR-PARTIAL
2,Projection-Antisymmetry-Neutral,SymmetryCompensation,0.0258,0.7635,0.7515,0.6741,0.7606,0.7587,0.6915,OPERATOR-PARTIAL
4,Projection-Antisymmetry-Neutral,SymmetryCompensation,0.0397,0.7242,0.6818,0.6465,0.7108,0.7333,0.6744,OPERATOR-PARTIAL
6,Projection-Antisymmetry-Neutral,SymmetryCompensation,0.0565,0.712,0.6664,0.6217,0.6968,0.6731,0.663,OPERATOR-PARTIAL
8,Projection-Antisymmetry-Neutral,SymmetryCompensation,0.0546,0.6767,0.6395,0.6064,0.6506,0.6499,0.6353,OPERATOR-WEAK
12,Projection-Antisymmetry-Neutral,SymmetryCompensation,0.0454,0.6257,0.5932,0.5427,0.5934,0.6087,0.5806,OPERATOR-WEAK
16,Projection-Antisymmetry-Neutral,SymmetryCompensation,0.0232,0.5829,0.5429,0.5208,0.5605,0.5539,0.5194,OPERATOR-INEFFECTIVE
20,Projection-Antisymmetry-Neutral,SymmetryCompensation,0.0323,0.5372,0.5207,0.4662,0.5145,0.5374,0.4948,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry-Neutral,CooperativeClosure,0.0922,0.8018,0.7445,0.7088,0.7806,0.7847,0.7745,OPERATOR-ENHANCED
2,Projection-Antisymmetry-Neutral,CooperativeClosure,0.063,0.7959,0.7538,0.681,0.7693,0.7749,0.7287,OPERATOR-PARTIAL
4,Projection-Antisymmetry-Neutral,CooperativeClosure,0.0677,0.7495,0.7085,0.6525,0.7386,0.7506,0.7024,OPERATOR-PARTIAL
6,Projection-Antisymmetry-Neutral,CooperativeClosure,0.071,0.7181,0.6613,0.6398,0.6914,0.7179,0.6775,OPERATOR-PARTIAL
8,Projection-Antisymmetry-Neutral,CooperativeClosure,0.0654,0.6661,0.6427,0.6061,0.6569,0.6865,0.6461,OPERATOR-WEAK
12,Projection-Antisymmetry-Neutral,CooperativeClosure,0.052,0.6326,0.6085,0.5522,0.6042,0.6297,0.5871,OPERATOR-WEAK
16,Projection-Antisymmetry-Neutral,CooperativeClosure,0.0584,0.5767,0.5634,0.5055,0.583,0.5761,0.5546,OPERATOR-WEAK
20,Projection-Antisymmetry-Neutral,CooperativeClosure,0.0639,0.5462,0.5213,0.4818,0.5373,0.5288,0.5265,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry-Neutral,AdaptiveScale,0.0927,0.8277,0.7993,0.7077,0.7874,0.793,0.775,OPERATOR-ENHANCED
2,Projection-Antisymmetry-Neutral,AdaptiveScale,0.1084,0.791,0.7653,0.7053,0.7875,0.7845,0.7741,OPERATOR-ENHANCED
4,Projection-Antisymmetry-Neutral,AdaptiveScale,0.1038,0.7381,0.7513,0.6597,0.7425,0.7493,0.7385,OPERATOR-PARTIAL
6,Projection-Antisymmetry-Neutral,AdaptiveScale,0.0914,0.7094,0.7205,0.6391,0.7216,0.7075,0.6979,OPERATOR-PARTIAL
8,Projection-Antisymmetry-Neutral,AdaptiveScale,0.0749,0.6824,0.6802,0.6229,0.6807,0.693,0.6556,OPERATOR-PARTIAL
12,Projection-Antisymmetry-Neutral,AdaptiveScale,0.085,0.6402,0.6288,0.5505,0.6354,0.6128,0.6202,OPERATOR-WEAK
16,Projection-Antisymmetry-Neutral,AdaptiveScale,0.057,0.6006,0.5718,0.5178,0.569,0.5806,0.5532,OPERATOR-WEAK
20,Projection-Antisymmetry-Neutral,AdaptiveScale,0.0736,0.5389,0.5306,0.4898,0.5533,0.5364,0.5361,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry-Neutral,Null,-0.1353,0.5556,0.4615,0.5235,0.5477,0.6239,0.547,OPERATOR-INEFFECTIVE
2,Projection-Antisymmetry-Neutral,Null,-0.1228,0.5573,0.4764,0.5151,0.5376,0.6005,0.5429,OPERATOR-INEFFECTIVE
4,Projection-Antisymmetry-Neutral,Null,-0.1085,0.5024,0.432,0.4781,0.5368,0.5563,0.5262,OPERATOR-INEFFECTIVE
6,Projection-Antisymmetry-Neutral,Null,-0.101,0.5038,0.4344,0.4449,0.5024,0.5436,0.5055,OPERATOR-INEFFECTIVE
8,Projection-Antisymmetry-Neutral,Null,-0.1215,0.4808,0.3977,0.4512,0.4679,0.5217,0.4592,OPERATOR-INEFFECTIVE
12,Projection-Antisymmetry-Neutral,Null,-0.1114,0.4315,0.3671,0.3883,0.4362,0.4713,0.4237,OPERATOR-INEFFECTIVE
16,Projection-Antisymmetry-Neutral,Null,-0.0872,0.4036,0.343,0.3803,0.397,0.4601,0.409,OPERATOR-INEFFECTIVE
20,Projection-Antisymmetry-Neutral,Null,-0.0864,0.3858,0.3245,0.3475,0.3715,0.4226,0.3762,OPERATOR-INEFFECTIVE
