depth,sector,condition,rg_similarity,closure_persistence,perturbation_resilience,extension_stability,operator_sensitivity,null_control_distance,classification
1,Projection-Antisymmetry,NoiseInjection,0.7281,0.7095,0.6927,0.6901,0.6934,0.3389,CLOSURE-PARTIAL
2,Projection-Antisymmetry,NoiseInjection,0.699,0.6834,0.6626,0.6483,0.6731,0.2987,CLOSURE-PARTIAL
4,Projection-Antisymmetry,NoiseInjection,0.6756,0.645,0.6458,0.6204,0.6425,0.294,CLOSURE-PARTIAL
6,Projection-Antisymmetry,NoiseInjection,0.6447,0.6403,0.6168,0.6133,0.6363,0.2792,CLOSURE-WEAK
8,Projection-Antisymmetry,NoiseInjection,0.628,0.592,0.5728,0.57,0.6036,0.2694,CLOSURE-WEAK
12,Projection-Antisymmetry,NoiseInjection,0.549,0.5533,0.5268,0.5151,0.5523,0.2516,CLOSURE-FAILED
16,Projection-Antisymmetry,NoiseInjection,0.5209,0.4912,0.4805,0.482,0.5048,0.2214,CLOSURE-FAILED
20,Projection-Antisymmetry,NoiseInjection,0.4916,0.4719,0.443,0.4603,0.4476,0.2231,CLOSURE-FAILED
24,Projection-Antisymmetry,NoiseInjection,0.4471,0.447,0.416,0.4138,0.4269,0.1895,CLOSURE-FAILED
28,Projection-Antisymmetry,NoiseInjection,0.4176,0.4019,0.3802,0.3952,0.4029,0.1746,CLOSURE-FAILED
32,Projection-Antisymmetry,NoiseInjection,0.3949,0.3735,0.3565,0.3748,0.3776,0.1733,CLOSURE-FAILED
1,Projection-Antisymmetry,CrossNetworkGeneralization,0.7557,0.7346,0.7238,0.6998,0.7488,0.3405,CLOSURE-STABLE
2,Projection-Antisymmetry,CrossNetworkGeneralization,0.7458,0.735,0.7234,0.6792,0.7109,0.3201,CLOSURE-PARTIAL
4,Projection-Antisymmetry,CrossNetworkGeneralization,0.7278,0.6815,0.652,0.6413,0.6795,0.2918,CLOSURE-PARTIAL
6,Projection-Antisymmetry,CrossNetworkGeneralization,0.6836,0.6594,0.6201,0.6139,0.6513,0.2754,CLOSURE-PARTIAL
8,Projection-Antisymmetry,CrossNetworkGeneralization,0.6381,0.6121,0.6101,0.6054,0.6292,0.264,CLOSURE-WEAK
12,Projection-Antisymmetry,CrossNetworkGeneralization,0.5971,0.5773,0.5552,0.5363,0.575,0.2546,CLOSURE-WEAK
16,Projection-Antisymmetry,CrossNetworkGeneralization,0.549,0.5309,0.5149,0.513,0.5088,0.2401,CLOSURE-FAILED
20,Projection-Antisymmetry,CrossNetworkGeneralization,0.499,0.4889,0.4814,0.4627,0.4867,0.2185,CLOSURE-FAILED
24,Projection-Antisymmetry,CrossNetworkGeneralization,0.4622,0.4555,0.4322,0.429,0.4426,0.1928,CLOSURE-FAILED
28,Projection-Antisymmetry,CrossNetworkGeneralization,0.4382,0.4214,0.4151,0.394,0.411,0.1818,CLOSURE-FAILED
32,Projection-Antisymmetry,CrossNetworkGeneralization,0.4135,0.4093,0.397,0.3748,0.394,0.1671,CLOSURE-FAILED
1,Projection-Antisymmetry,NullClosureControl,0.5313,0.4747,0.3766,0.4304,0.3872,0.0325,CLOSURE-FAILED
2,Projection-Antisymmetry,NullClosureControl,0.5253,0.4607,0.3813,0.4005,0.3922,0.0312,CLOSURE-FAILED
4,Projection-Antisymmetry,NullClosureControl,0.4841,0.4425,0.3519,0.3883,0.3851,0.0245,CLOSURE-FAILED
6,Projection-Antisymmetry,NullClosureControl,0.4779,0.4044,0.3331,0.3752,0.3678,0.0084,CLOSURE-FAILED
8,Projection-Antisymmetry,NullClosureControl,0.4543,0.3811,0.3361,0.3673,0.3262,0.0072,CLOSURE-FAILED
12,Projection-Antisymmetry,NullClosureControl,0.4162,0.3538,0.3132,0.3156,0.3092,0.0309,CLOSURE-FAILED
16,Projection-Antisymmetry,NullClosureControl,0.3657,0.3197,0.2684,0.2924,0.2951,0.0108,CLOSURE-FAILED
20,Projection-Antisymmetry,NullClosureControl,0.3362,0.2997,0.2504,0.2674,0.2624,0.022,CLOSURE-FAILED
24,Projection-Antisymmetry,NullClosureControl,0.3261,0.2816,0.2506,0.2671,0.2551,0.0201,CLOSURE-FAILED
28,Projection-Antisymmetry,NullClosureControl,0.3017,0.2653,0.2367,0.2318,0.2272,0.0105,CLOSURE-FAILED
32,Projection-Antisymmetry,NullClosureControl,0.2866,0.2467,0.2118,0.2212,0.2261,0.0115,CLOSURE-FAILED
1,Projection-Neutral,BaselineReproduction,0.7768,0.7471,0.7507,0.7255,0.7646,0.3238,CLOSURE-STABLE
2,Projection-Neutral,BaselineReproduction,0.744,0.7466,0.719,0.7076,0.7322,0.3306,CLOSURE-PARTIAL
4,Projection-Neutral,BaselineReproduction,0.7279,0.7059,0.6788,0.6545,0.7108,0.3029,CLOSURE-PARTIAL
6,Projection-Neutral,BaselineReproduction,0.7002,0.6825,0.6576,0.6205,0.6646,0.295,CLOSURE-PARTIAL
8,Projection-Neutral,BaselineReproduction,0.6545,0.6322,0.6144,0.5971,0.6213,0.2611,CLOSURE-PARTIAL
12,Projection-Neutral,BaselineReproduction,0.5903,0.5978,0.5765,0.5647,0.5631,0.2536,CLOSURE-WEAK
16,Projection-Neutral,BaselineReproduction,0.5574,0.5519,0.5242,0.5248,0.5364,0.2309,CLOSURE-WEAK
20,Projection-Neutral,BaselineReproduction,0.5063,0.4929,0.4759,0.4768,0.4906,0.2247,CLOSURE-FAILED
24,Projection-Neutral,BaselineReproduction,0.4718,0.4767,0.4596,0.4384,0.4588,0.2008,CLOSURE-FAILED
28,Projection-Neutral,BaselineReproduction,0.4458,0.446,0.4267,0.4072,0.4323,0.1928,CLOSURE-FAILED
32,Projection-Neutral,BaselineReproduction,0.423,0.4009,0.4046,0.3967,0.3977,0.1658,CLOSURE-FAILED
1,Projection-Neutral,ParameterPerturbation,0.7753,0.751,0.735,0.7057,0.7265,0.313,CLOSURE-STABLE
2,Projection-Neutral,ParameterPerturbation,0.7575,0.7429,0.7074,0.6704,0.7034,0.3047,CLOSURE-STABLE
4,Projection-Neutral,ParameterPerturbation,0.7016,0.6775,0.6639,0.6341,0.6704,0.3086,CLOSURE-PARTIAL
6,Projection-Neutral,ParameterPerturbation,0.671,0.6651,0.645,0.6355,0.6153,0.2862,CLOSURE-PARTIAL
8,Projection-Neutral,ParameterPerturbation,0.6536,0.6281,0.5975,0.5798,0.5923,0.2744,CLOSURE-WEAK
12,Projection-Neutral,ParameterPerturbation,0.5844,0.5745,0.5334,0.5531,0.5598,0.2635,CLOSURE-WEAK
16,Projection-Neutral,ParameterPerturbation,0.5437,0.524,0.5054,0.4961,0.4988,0.2262,CLOSURE-FAILED
20,Projection-Neutral,ParameterPerturbation,0.5065,0.4902,0.4627,0.4716,0.4682,0.206,CLOSURE-FAILED
24,Projection-Neutral,ParameterPerturbation,0.4595,0.4428,0.4425,0.4401,0.4418,0.1939,CLOSURE-FAILED
28,Projection-Neutral,ParameterPerturbation,0.4355,0.4258,0.4057,0.4128,0.4034,0.1914,CLOSURE-FAILED
32,Projection-Neutral,ParameterPerturbation,0.4148,0.4002,0.376,0.3819,0.3887,0.1658,CLOSURE-FAILED
1,Projection-Neutral,RecursiveExtension,0.7516,0.7446,0.7503,0.664,0.7683,0.3414,CLOSURE-STABLE
2,Projection-Neutral,RecursiveExtension,0.7484,0.7061,0.7368,0.6473,0.7259,0.3135,CLOSURE-PARTIAL
4,Projection-Neutral,RecursiveExtension,0.6946,0.688,0.701,0.6135,0.7104,0.3188,CLOSURE-PARTIAL
6,Projection-Neutral,RecursiveExtension,0.6652,0.6523,0.6375,0.597,0.6686,0.2875,CLOSURE-PARTIAL
8,Projection-Neutral,RecursiveExtension,0.6223,0.6069,0.6255,0.5551,0.6196,0.2727,CLOSURE-WEAK
12,Projection-Neutral,RecursiveExtension,0.5882,0.5481,0.5705,0.507,0.581,0.2474,CLOSURE-WEAK
16,Projection-Neutral,RecursiveExtension,0.5354,0.5242,0.5318,0.4844,0.5241,0.2378,CLOSURE-FAILED
20,Projection-Neutral,RecursiveExtension,0.4864,0.4901,0.4754,0.4346,0.4965,0.2231,CLOSURE-FAILED
24,Projection-Neutral,RecursiveExtension,0.4689,0.4559,0.4427,0.4062,0.465,0.1889,CLOSURE-FAILED
28,Projection-Neutral,RecursiveExtension,0.4326,0.4289,0.4272,0.3864,0.4225,0.1785,CLOSURE-FAILED
32,Projection-Neutral,RecursiveExtension,0.4013,0.3851,0.4023,0.3522,0.401,0.1754,CLOSURE-FAILED
1,Projection-Neutral,NoiseInjection,0.7556,0.7033,0.6803,0.694,0.6859,0.3263,CLOSURE-PARTIAL
2,Projection-Neutral,NoiseInjection,0.7006,0.6793,0.6742,0.6838,0.6834,0.3075,CLOSURE-PARTIAL
4,Projection-Neutral,NoiseInjection,0.6962,0.6646,0.6177,0.6347,0.6415,0.3099,CLOSURE-PARTIAL
6,Projection-Neutral,NoiseInjection,0.6368,0.6311,0.5927,0.6068,0.609,0.3003,CLOSURE-WEAK
8,Projection-Neutral,NoiseInjection,0.6166,0.5979,0.5823,0.5752,0.5814,0.2889,CLOSURE-WEAK
12,Projection-Neutral,NoiseInjection,0.5602,0.5493,0.5116,0.5258,0.5292,0.245,CLOSURE-WEAK
16,Projection-Neutral,NoiseInjection,0.5122,0.5171,0.4884,0.4727,0.4995,0.2278,CLOSURE-FAILED
20,Projection-Neutral,NoiseInjection,0.4811,0.466,0.4602,0.4541,0.4716,0.2109,CLOSURE-FAILED
24,Projection-Neutral,NoiseInjection,0.4495,0.4447,0.4245,0.4216,0.4304,0.2058,CLOSURE-FAILED
28,Projection-Neutral,NoiseInjection,0.4098,0.3978,0.4007,0.3816,0.4101,0.1761,CLOSURE-FAILED
32,Projection-Neutral,NoiseInjection,0.3938,0.3918,0.3596,0.3567,0.3879,0.1657,CLOSURE-FAILED
1,Projection-Neutral,CrossNetworkGeneralization,0.7609,0.7423,0.7078,0.6955,0.716,0.3135,CLOSURE-STABLE
2,Projection-Neutral,CrossNetworkGeneralization,0.7424,0.716,0.6869,0.6763,0.7277,0.3099,CLOSURE-PARTIAL
4,Projection-Neutral,CrossNetworkGeneralization,0.7094,0.6979,0.6826,0.6643,0.6963,0.2979,CLOSURE-PARTIAL
6,Projection-Neutral,CrossNetworkGeneralization,0.6788,0.6565,0.6318,0.6341,0.64,0.2918,CLOSURE-PARTIAL
8,Projection-Neutral,CrossNetworkGeneralization,0.6601,0.6372,0.601,0.6062,0.6259,0.2723,CLOSURE-PARTIAL
12,Projection-Neutral,CrossNetworkGeneralization,0.5973,0.5597,0.5407,0.5443,0.5473,0.2606,CLOSURE-WEAK
16,Projection-Neutral,CrossNetworkGeneralization,0.5467,0.5296,0.5173,0.4865,0.5083,0.2432,CLOSURE-FAILED
20,Projection-Neutral,CrossNetworkGeneralization,0.513,0.4875,0.4692,0.46,0.4811,0.2175,CLOSURE-FAILED
24,Projection-Neutral,CrossNetworkGeneralization,0.4797,0.457,0.4448,0.4387,0.4373,0.1874,CLOSURE-FAILED
28,Projection-Neutral,CrossNetworkGeneralization,0.4377,0.4243,0.4143,0.409,0.4222,0.1856,CLOSURE-FAILED
32,Projection-Neutral,CrossNetworkGeneralization,0.4173,0.3921,0.3853,0.3892,0.4,0.1825,CLOSURE-FAILED
1,Projection-Neutral,NullClosureControl,0.5431,0.4751,0.4112,0.425,0.3924,0.0215,CLOSURE-FAILED
2,Projection-Neutral,NullClosureControl,0.5195,0.4356,0.3747,0.4166,0.3839,0.0293,CLOSURE-FAILED
4,Projection-Neutral,NullClosureControl,0.503,0.4403,0.3676,0.4037,0.3775,0.0201,CLOSURE-FAILED
6,Projection-Neutral,NullClosureControl,0.4657,0.4113,0.3322,0.379,0.3643,0.0287,CLOSURE-FAILED
8,Projection-Neutral,NullClosureControl,0.4573,0.3955,0.3277,0.3498,0.3326,0.0368,CLOSURE-FAILED
12,Projection-Neutral,NullClosureControl,0.4173,0.3669,0.3086,0.3368,0.3248,0.0089,CLOSURE-FAILED
16,Projection-Neutral,NullClosureControl,0.3635,0.3414,0.2698,0.2904,0.2828,0.0054,CLOSURE-FAILED
20,Projection-Neutral,NullClosureControl,0.347,0.3004,0.2499,0.2838,0.2637,0.0103,CLOSURE-FAILED
24,Projection-Neutral,NullClosureControl,0.3278,0.2845,0.2382,0.2574,0.2363,0.0106,CLOSURE-FAILED
28,Projection-Neutral,NullClosureControl,0.3114,0.2545,0.2328,0.2454,0.2314,0.0072,CLOSURE-FAILED
32,Projection-Neutral,NullClosureControl,0.2814,0.2431,0.2128,0.2332,0.2265,0.0135,CLOSURE-FAILED
1,Antisymmetry-Neutral,BaselineReproduction,0.7812,0.7629,0.763,0.7132,0.7447,0.3267,CLOSURE-STABLE
2,Antisymmetry-Neutral,BaselineReproduction,0.7443,0.7521,0.7148,0.7233,0.7232,0.3254,CLOSURE-PARTIAL
4,Antisymmetry-Neutral,BaselineReproduction,0.7114,0.6907,0.7053,0.68,0.7124,0.3083,CLOSURE-PARTIAL
6,Antisymmetry-Neutral,BaselineReproduction,0.6759,0.6717,0.6387,0.6465,0.6797,0.2705,CLOSURE-PARTIAL
8,Antisymmetry-Neutral,BaselineReproduction,0.6372,0.631,0.6199,0.6093,0.6237,0.2603,CLOSURE-WEAK
12,Antisymmetry-Neutral,BaselineReproduction,0.5867,0.597,0.5717,0.5605,0.5677,0.2504,CLOSURE-WEAK
16,Antisymmetry-Neutral,BaselineReproduction,0.5512,0.5443,0.537,0.5027,0.5308,0.2368,CLOSURE-WEAK
20,Antisymmetry-Neutral,BaselineReproduction,0.5044,0.4994,0.482,0.4757,0.4879,0.222,CLOSURE-FAILED
24,Antisymmetry-Neutral,BaselineReproduction,0.4722,0.4641,0.4564,0.4399,0.4617,0.1871,CLOSURE-FAILED
28,Antisymmetry-Neutral,BaselineReproduction,0.4415,0.4404,0.4259,0.4244,0.4278,0.1884,CLOSURE-FAILED
32,Antisymmetry-Neutral,BaselineReproduction,0.4282,0.4063,0.3896,0.3976,0.4131,0.1815,CLOSURE-FAILED
1,Antisymmetry-Neutral,ParameterPerturbation,0.773,0.7643,0.7316,0.7069,0.72,0.319,CLOSURE-STABLE
2,Antisymmetry-Neutral,ParameterPerturbation,0.7393,0.7059,0.7018,0.6929,0.7015,0.3339,CLOSURE-PARTIAL
4,Antisymmetry-Neutral,ParameterPerturbation,0.6901,0.7056,0.6544,0.6602,0.6427,0.2859,CLOSURE-PARTIAL
6,Antisymmetry-Neutral,ParameterPerturbation,0.6589,0.6595,0.612,0.6182,0.6399,0.2735,CLOSURE-PARTIAL
8,Antisymmetry-Neutral,ParameterPerturbation,0.6249,0.6086,0.6015,0.5986,0.6037,0.265,CLOSURE-WEAK
12,Antisymmetry-Neutral,ParameterPerturbation,0.5783,0.5733,0.5521,0.5465,0.5459,0.2376,CLOSURE-WEAK
16,Antisymmetry-Neutral,ParameterPerturbation,0.5337,0.5112,0.5012,0.507,0.4922,0.2278,CLOSURE-FAILED
20,Antisymmetry-Neutral,ParameterPerturbation,0.4925,0.4795,0.4657,0.4648,0.4611,0.2075,CLOSURE-FAILED
24,Antisymmetry-Neutral,ParameterPerturbation,0.4731,0.4448,0.4317,0.433,0.4273,0.209,CLOSURE-FAILED
28,Antisymmetry-Neutral,ParameterPerturbation,0.4287,0.4359,0.4122,0.3986,0.4071,0.1816,CLOSURE-FAILED
32,Antisymmetry-Neutral,ParameterPerturbation,0.4117,0.3945,0.3909,0.3748,0.3846,0.1744,CLOSURE-FAILED
1,Antisymmetry-Neutral,RecursiveExtension,0.7467,0.7183,0.7329,0.6862,0.7379,0.316,CLOSURE-PARTIAL
2,Antisymmetry-Neutral,RecursiveExtension,0.7392,0.7239,0.7433,0.6654,0.7491,0.3164,CLOSURE-PARTIAL
4,Antisymmetry-Neutral,RecursiveExtension,0.6982,0.6633,0.6934,0.6255,0.7052,0.2919,CLOSURE-PARTIAL
6,Antisymmetry-Neutral,RecursiveExtension,0.6743,0.6325,0.6668,0.5923,0.6484,0.2798,CLOSURE-PARTIAL
8,Antisymmetry-Neutral,RecursiveExtension,0.6203,0.6185,0.6359,0.5545,0.6248,0.2644,CLOSURE-WEAK
12,Antisymmetry-Neutral,RecursiveExtension,0.565,0.5596,0.5691,0.5277,0.5788,0.2589,CLOSURE-WEAK
16,Antisymmetry-Neutral,RecursiveExtension,0.5263,0.5131,0.5127,0.4802,0.5266,0.2336,CLOSURE-FAILED
20,Antisymmetry-Neutral,RecursiveExtension,0.4849,0.4873,0.4914,0.433,0.5014,0.209,CLOSURE-FAILED
24,Antisymmetry-Neutral,RecursiveExtension,0.4577,0.4534,0.4469,0.4125,0.4689,0.1936,CLOSURE-FAILED
28,Antisymmetry-Neutral,RecursiveExtension,0.4215,0.4225,0.4193,0.3819,0.4227,0.1933,CLOSURE-FAILED
32,Antisymmetry-Neutral,RecursiveExtension,0.4091,0.3856,0.3892,0.3578,0.3966,0.1827,CLOSURE-FAILED
1,Antisymmetry-Neutral,NoiseInjection,0.7525,0.7294,0.667,0.68,0.6954,0.3289,CLOSURE-PARTIAL
2,Antisymmetry-Neutral,NoiseInjection,0.7068,0.6964,0.6554,0.6682,0.6901,0.3109,CLOSURE-PARTIAL
4,Antisymmetry-Neutral,NoiseInjection,0.6877,0.642,0.6356,0.6464,0.6612,0.3063,CLOSURE-PARTIAL
6,Antisymmetry-Neutral,NoiseInjection,0.6512,0.6211,0.6125,0.6015,0.6082,0.2728,CLOSURE-PARTIAL
8,Antisymmetry-Neutral,NoiseInjection,0.6214,0.6066,0.5811,0.5833,0.6014,0.2876,CLOSURE-WEAK
12,Antisymmetry-Neutral,NoiseInjection,0.5506,0.5524,0.5127,0.5353,0.5399,0.2506,CLOSURE-WEAK
16,Antisymmetry-Neutral,NoiseInjection,0.5167,0.5163,0.4858,0.4709,0.4932,0.228,CLOSURE-FAILED
20,Antisymmetry-Neutral,NoiseInjection,0.4799,0.4801,0.4525,0.4476,0.4722,0.2166,CLOSURE-FAILED
24,Antisymmetry-Neutral,NoiseInjection,0.4394,0.4328,0.409,0.4188,0.4403,0.1927,CLOSURE-FAILED
28,Antisymmetry-Neutral,NoiseInjection,0.4265,0.3972,0.401,0.3808,0.4079,0.1878,CLOSURE-FAILED
32,Antisymmetry-Neutral,NoiseInjection,0.3901,0.3907,0.3643,0.3579,0.3849,0.1642,CLOSURE-FAILED
1,Antisymmetry-Neutral,CrossNetworkGeneralization,0.7589,0.7493,0.7283,0.7263,0.73,0.3128,CLOSURE-STABLE
2,Antisymmetry-Neutral,CrossNetworkGeneralization,0.7365,0.7205,0.7073,0.677,0.7242,0.3006,CLOSURE-PARTIAL
4,Antisymmetry-Neutral,CrossNetworkGeneralization,0.7092,0.698,0.6595,0.652,0.6707,0.3163,CLOSURE-PARTIAL
6,Antisymmetry-Neutral,CrossNetworkGeneralization,0.6757,0.6733,0.6225,0.6183,0.6583,0.2866,CLOSURE-PARTIAL
8,Antisymmetry-Neutral,CrossNetworkGeneralization,0.6589,0.6373,0.5958,0.5831,0.6073,0.2853,CLOSURE-WEAK
12,Antisymmetry-Neutral,CrossNetworkGeneralization,0.594,0.5673,0.5655,0.5574,0.5586,0.2611,CLOSURE-WEAK
16,Antisymmetry-Neutral,CrossNetworkGeneralization,0.55,0.5209,0.5086,0.5126,0.5059,0.2326,CLOSURE-WEAK
20,Antisymmetry-Neutral,CrossNetworkGeneralization,0.5089,0.4856,0.4795,0.4717,0.4785,0.223,CLOSURE-FAILED
24,Antisymmetry-Neutral,CrossNetworkGeneralization,0.4712,0.4542,0.4325,0.439,0.4569,0.2013,CLOSURE-FAILED
28,Antisymmetry-Neutral,CrossNetworkGeneralization,0.4419,0.4278,0.403,0.4014,0.4183,0.1967,CLOSURE-FAILED
32,Antisymmetry-Neutral,CrossNetworkGeneralization,0.4232,0.4048,0.3978,0.3819,0.3899,0.167,CLOSURE-FAILED
1,Antisymmetry-Neutral,NullClosureControl,0.5275,0.4716,0.3774,0.4124,0.3917,0.0427,CLOSURE-FAILED
2,Antisymmetry-Neutral,NullClosureControl,0.5239,0.4611,0.3798,0.411,0.3982,0.0389,CLOSURE-FAILED
4,Antisymmetry-Neutral,NullClosureControl,0.4958,0.4249,0.3685,0.3952,0.3852,0.0058,CLOSURE-FAILED
6,Antisymmetry-Neutral,NullClosureControl,0.4629,0.4234,0.3467,0.3667,0.3555,0.0348,CLOSURE-FAILED
8,Antisymmetry-Neutral,NullClosureControl,0.4319,0.377,0.3396,0.3556,0.3363,0.0118,CLOSURE-FAILED
12,Antisymmetry-Neutral,NullClosureControl,0.4102,0.3708,0.2972,0.3132,0.3133,0.0334,CLOSURE-FAILED
16,Antisymmetry-Neutral,NullClosureControl,0.3806,0.3232,0.2878,0.2921,0.2941,0.0098,CLOSURE-FAILED
20,Antisymmetry-Neutral,NullClosureControl,0.3415,0.3049,0.2695,0.2719,0.256,0.006,CLOSURE-FAILED
24,Antisymmetry-Neutral,NullClosureControl,0.3136,0.2757,0.2348,0.2603,0.2551,0.0149,CLOSURE-FAILED
28,Antisymmetry-Neutral,NullClosureControl,0.2993,0.2582,0.2299,0.2442,0.2204,0.0174,CLOSURE-FAILED
32,Antisymmetry-Neutral,NullClosureControl,0.2743,0.2407,0.2067,0.2267,0.2249,0.0236,CLOSURE-FAILED
1,Projection-Antisymmetry-Neutral,BaselineReproduction,0.795,0.7456,0.7533,0.71,0.7643,0.3416,CLOSURE-STABLE
2,Projection-Antisymmetry-Neutral,BaselineReproduction,0.7662,0.7584,0.7364,0.6894,0.7476,0.3278,CLOSURE-STABLE
4,Projection-Antisymmetry-Neutral,BaselineReproduction,0.735,0.7015,0.6932,0.6518,0.684,0.3173,CLOSURE-PARTIAL
6,Projection-Antisymmetry-Neutral,BaselineReproduction,0.6838,0.6737,0.6513,0.6488,0.674,0.2905,CLOSURE-PARTIAL
8,Projection-Antisymmetry-Neutral,BaselineReproduction,0.6371,0.6457,0.6195,0.6076,0.6172,0.2751,CLOSURE-WEAK
12,Projection-Antisymmetry-Neutral,BaselineReproduction,0.5948,0.576,0.5666,0.5677,0.5707,0.2456,CLOSURE-WEAK
16,Projection-Antisymmetry-Neutral,BaselineReproduction,0.5452,0.542,0.5307,0.523,0.5187,0.2353,CLOSURE-FAILED
20,Projection-Antisymmetry-Neutral,BaselineReproduction,0.5183,0.5067,0.4945,0.4683,0.49,0.2073,CLOSURE-FAILED
24,Projection-Antisymmetry-Neutral,BaselineReproduction,0.4864,0.4743,0.4556,0.433,0.4584,0.1959,CLOSURE-FAILED
28,Projection-Antisymmetry-Neutral,BaselineReproduction,0.4396,0.4453,0.4177,0.4222,0.4308,0.1931,CLOSURE-FAILED
32,Projection-Antisymmetry-Neutral,BaselineReproduction,0.4225,0.4161,0.4089,0.381,0.4146,0.1766,CLOSURE-FAILED
1,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.7643,0.7487,0.7289,0.7207,0.7321,0.3392,CLOSURE-STABLE
2,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.7371,0.7259,0.7098,0.6768,0.7054,0.3294,CLOSURE-PARTIAL
4,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.7128,0.6897,0.6649,0.6693,0.6702,0.2995,CLOSURE-PARTIAL
6,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.6773,0.6656,0.635,0.6251,0.645,0.2695,CLOSURE-PARTIAL
8,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.643,0.6072,0.6022,0.599,0.6065,0.2586,CLOSURE-WEAK
12,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.5964,0.5564,0.5562,0.5329,0.5349,0.2584,CLOSURE-WEAK
16,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.5373,0.5248,0.5075,0.4939,0.5047,0.2213,CLOSURE-FAILED
20,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.5085,0.4801,0.4664,0.4626,0.4604,0.2052,CLOSURE-FAILED
24,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.4741,0.4443,0.4304,0.4374,0.4247,0.2032,CLOSURE-FAILED
28,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.4396,0.4151,0.4099,0.4029,0.4034,0.1869,CLOSURE-FAILED
32,Projection-Antisymmetry-Neutral,ParameterPerturbation,0.401,0.3977,0.3933,0.378,0.375,0.1818,CLOSURE-FAILED
1,Projection-Antisymmetry-Neutral,RecursiveExtension,0.7426,0.7431,0.756,0.6727,0.743,0.3138,CLOSURE-PARTIAL
2,Projection-Antisymmetry-Neutral,RecursiveExtension,0.7359,0.7331,0.7201,0.6672,0.7361,0.3119,CLOSURE-PARTIAL
4,Projection-Antisymmetry-Neutral,RecursiveExtension,0.6941,0.6607,0.6866,0.6184,0.7079,0.3138,CLOSURE-PARTIAL
6,Projection-Antisymmetry-Neutral,RecursiveExtension,0.6797,0.643,0.6568,0.6055,0.6458,0.2749,CLOSURE-PARTIAL
8,Projection-Antisymmetry-Neutral,RecursiveExtension,0.643,0.6143,0.637,0.5608,0.621,0.2599,CLOSURE-WEAK
12,Projection-Antisymmetry-Neutral,RecursiveExtension,0.5899,0.5655,0.5667,0.5068,0.5773,0.2372,CLOSURE-WEAK
16,Projection-Antisymmetry-Neutral,RecursiveExtension,0.5461,0.514,0.539,0.4767,0.5216,0.2172,CLOSURE-FAILED
20,Projection-Antisymmetry-Neutral,RecursiveExtension,0.5002,0.4905,0.4811,0.4342,0.5037,0.2218,CLOSURE-FAILED
24,Projection-Antisymmetry-Neutral,RecursiveExtension,0.4511,0.4459,0.4472,0.4169,0.4704,0.2087,CLOSURE-FAILED
28,Projection-Antisymmetry-Neutral,RecursiveExtension,0.4356,0.4208,0.4187,0.3875,0.4321,0.1749,CLOSURE-FAILED
32,Projection-Antisymmetry-Neutral,RecursiveExtension,0.4061,0.3932,0.39,0.3696,0.3943,0.1847,CLOSURE-FAILED
1,Projection-Antisymmetry-Neutral,NoiseInjection,0.7357,0.6978,0.6821,0.6789,0.6997,0.3196,CLOSURE-PARTIAL
2,Projection-Antisymmetry-Neutral,NoiseInjection,0.7293,0.7062,0.6531,0.6681,0.69,0.2987,CLOSURE-PARTIAL
4,Projection-Antisymmetry-Neutral,NoiseInjection,0.6823,0.6596,0.6224,0.6387,0.666,0.3175,CLOSURE-PARTIAL
6,Projection-Antisymmetry-Neutral,NoiseInjection,0.6507,0.6116,0.608,0.5931,0.6339,0.2835,CLOSURE-PARTIAL
8,Projection-Antisymmetry-Neutral,NoiseInjection,0.5991,0.5924,0.5732,0.5604,0.6033,0.2562,CLOSURE-WEAK
12,Projection-Antisymmetry-Neutral,NoiseInjection,0.5661,0.5575,0.5178,0.5112,0.5488,0.2374,CLOSURE-WEAK
16,Projection-Antisymmetry-Neutral,NoiseInjection,0.5118,0.5127,0.4707,0.4929,0.498,0.2263,CLOSURE-FAILED
20,Projection-Antisymmetry-Neutral,NoiseInjection,0.4828,0.4715,0.4465,0.4509,0.4536,0.2071,CLOSURE-FAILED
24,Projection-Antisymmetry-Neutral,NoiseInjection,0.4572,0.4385,0.4239,0.4231,0.4315,0.191,CLOSURE-FAILED
28,Projection-Antisymmetry-Neutral,NoiseInjection,0.4088,0.4178,0.3971,0.3804,0.4088,0.1754,CLOSURE-FAILED
32,Projection-Antisymmetry-Neutral,NoiseInjection,0.3929,0.385,0.3576,0.3696,0.3719,0.1639,CLOSURE-FAILED
1,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.7866,0.7576,0.713,0.7017,0.731,0.3145,CLOSURE-STABLE
2,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.7488,0.7225,0.7084,0.7018,0.7219,0.3288,CLOSURE-PARTIAL
