depth,sector,condition,rg_similarity,class_transition_stability,bifurcation_strength,merge_coherence,collapse_predictability,relational_class_persistence,transition_entropy,classification
48,Antisymmetry,NullTransitionControl,0.2217,0.2179,0.2107,0.2064,0.2161,0.2086,0.1004,TRANSITION-FAILED
64,Antisymmetry,NullTransitionControl,0.1758,0.1766,0.1704,0.1705,0.1709,0.1698,0.0797,TRANSITION-FAILED
80,Antisymmetry,NullTransitionControl,0.1509,0.1427,0.1431,0.1417,0.1441,0.1375,0.0709,TRANSITION-FAILED
96,Antisymmetry,NullTransitionControl,0.126,0.1264,0.126,0.1239,0.1224,0.1216,0.058,TRANSITION-FAILED
1,Neutral,TransitionPathwayTracking,0.8293,0.8349,0.7887,0.7859,0.7625,0.7888,0.2235,TRANSITION-STABLE
2,Neutral,TransitionPathwayTracking,0.816,0.7972,0.7498,0.7493,0.7333,0.7518,0.2276,TRANSITION-BOUNDED
4,Neutral,TransitionPathwayTracking,0.7227,0.7118,0.6758,0.6798,0.6531,0.703,0.184,TRANSITION-BOUNDED
6,Neutral,TransitionPathwayTracking,0.672,0.6505,0.6176,0.6469,0.6191,0.6274,0.1728,TRANSITION-PARTIAL
8,Neutral,TransitionPathwayTracking,0.6224,0.6004,0.591,0.581,0.5877,0.5928,0.1833,TRANSITION-PARTIAL
12,Neutral,TransitionPathwayTracking,0.5628,0.5378,0.5065,0.5195,0.5133,0.5082,0.1478,TRANSITION-DEGRADING
16,Neutral,TransitionPathwayTracking,0.4807,0.4829,0.4481,0.4617,0.4421,0.4475,0.1394,TRANSITION-DEGRADING
20,Neutral,TransitionPathwayTracking,0.446,0.4245,0.412,0.4104,0.4068,0.4144,0.112,TRANSITION-DEGRADING
24,Neutral,TransitionPathwayTracking,0.4108,0.3859,0.3758,0.3783,0.3622,0.379,0.1059,TRANSITION-FAILED
32,Neutral,TransitionPathwayTracking,0.343,0.3209,0.32,0.322,0.3009,0.3193,0.0878,TRANSITION-FAILED
40,Neutral,TransitionPathwayTracking,0.2978,0.2851,0.2773,0.2706,0.2727,0.2731,0.0773,TRANSITION-FAILED
48,Neutral,TransitionPathwayTracking,0.2601,0.2539,0.2377,0.2433,0.2347,0.2465,0.0661,TRANSITION-FAILED
64,Neutral,TransitionPathwayTracking,0.2078,0.2047,0.1924,0.1998,0.1866,0.2001,0.0609,TRANSITION-FAILED
80,Neutral,TransitionPathwayTracking,0.1758,0.1676,0.1669,0.1694,0.1581,0.1681,0.0465,TRANSITION-FAILED
96,Neutral,TransitionPathwayTracking,0.1556,0.1463,0.1388,0.1454,0.135,0.1421,0.0397,TRANSITION-FAILED
1,Neutral,ClassBifurcationAnalysis,0.8475,0.822,0.8145,0.7724,0.7842,0.7898,0.2487,TRANSITION-STABLE
2,Neutral,ClassBifurcationAnalysis,0.8038,0.7607,0.7733,0.7671,0.7265,0.7498,0.2136,TRANSITION-BOUNDED
4,Neutral,ClassBifurcationAnalysis,0.7434,0.6908,0.7011,0.6747,0.6873,0.6693,0.2181,TRANSITION-BOUNDED
6,Neutral,ClassBifurcationAnalysis,0.6855,0.657,0.6516,0.6385,0.6117,0.6201,0.2015,TRANSITION-PARTIAL
8,Neutral,ClassBifurcationAnalysis,0.6392,0.6054,0.6163,0.5785,0.5928,0.5745,0.1843,TRANSITION-PARTIAL
12,Neutral,ClassBifurcationAnalysis,0.5437,0.5199,0.5206,0.5146,0.5201,0.5199,0.1493,TRANSITION-DEGRADING
16,Neutral,ClassBifurcationAnalysis,0.4798,0.4784,0.4606,0.453,0.4402,0.4608,0.1327,TRANSITION-DEGRADING
20,Neutral,ClassBifurcationAnalysis,0.4314,0.4306,0.4193,0.4076,0.3973,0.3962,0.1234,TRANSITION-DEGRADING
24,Neutral,ClassBifurcationAnalysis,0.4078,0.3807,0.3824,0.3715,0.3733,0.3617,0.1168,TRANSITION-FAILED
32,Neutral,ClassBifurcationAnalysis,0.3403,0.3266,0.3234,0.3152,0.3111,0.3141,0.0903,TRANSITION-FAILED
40,Neutral,ClassBifurcationAnalysis,0.2877,0.2801,0.2799,0.2749,0.2714,0.2667,0.0767,TRANSITION-FAILED
48,Neutral,ClassBifurcationAnalysis,0.2644,0.2474,0.2434,0.2433,0.2326,0.2336,0.0685,TRANSITION-FAILED
64,Neutral,ClassBifurcationAnalysis,0.213,0.2022,0.2039,0.1949,0.189,0.1893,0.0623,TRANSITION-FAILED
80,Neutral,ClassBifurcationAnalysis,0.1782,0.1644,0.1713,0.1599,0.1602,0.1628,0.0468,TRANSITION-FAILED
96,Neutral,ClassBifurcationAnalysis,0.1519,0.1459,0.1437,0.1429,0.1396,0.1388,0.045,TRANSITION-FAILED
1,Neutral,MergeSplitDynamics,0.8479,0.8037,0.782,0.8007,0.7586,0.7863,0.2433,TRANSITION-STABLE
2,Neutral,MergeSplitDynamics,0.7942,0.7829,0.7407,0.7513,0.7453,0.7653,0.2035,TRANSITION-STABLE
4,Neutral,MergeSplitDynamics,0.7607,0.7082,0.7018,0.6889,0.6635,0.6976,0.1935,TRANSITION-BOUNDED
6,Neutral,MergeSplitDynamics,0.6957,0.6537,0.6451,0.6589,0.6221,0.6389,0.1944,TRANSITION-PARTIAL
8,Neutral,MergeSplitDynamics,0.6508,0.6108,0.5905,0.6,0.5672,0.5797,0.1613,TRANSITION-PARTIAL
12,Neutral,MergeSplitDynamics,0.568,0.527,0.5074,0.525,0.4882,0.5245,0.147,TRANSITION-DEGRADING
16,Neutral,MergeSplitDynamics,0.4868,0.4805,0.4495,0.4776,0.4519,0.4596,0.1215,TRANSITION-DEGRADING
20,Neutral,MergeSplitDynamics,0.4368,0.4212,0.4162,0.4275,0.3975,0.4134,0.1166,TRANSITION-DEGRADING
24,Neutral,MergeSplitDynamics,0.4034,0.383,0.3711,0.3894,0.3685,0.3776,0.1021,TRANSITION-FAILED
32,Neutral,MergeSplitDynamics,0.34,0.3297,0.3209,0.3204,0.3056,0.3126,0.0925,TRANSITION-FAILED
40,Neutral,MergeSplitDynamics,0.2996,0.2846,0.2796,0.2828,0.2604,0.2736,0.0847,TRANSITION-FAILED
48,Neutral,MergeSplitDynamics,0.2649,0.2549,0.2468,0.2417,0.2315,0.2463,0.0738,TRANSITION-FAILED
64,Neutral,MergeSplitDynamics,0.2153,0.2027,0.1971,0.2014,0.1936,0.1916,0.0591,TRANSITION-FAILED
80,Neutral,MergeSplitDynamics,0.1807,0.174,0.167,0.1687,0.1603,0.164,0.0492,TRANSITION-FAILED
96,Neutral,MergeSplitDynamics,0.1514,0.1454,0.1425,0.1472,0.1359,0.1438,0.0427,TRANSITION-FAILED
1,Neutral,RecursiveClassEvolution,0.8172,0.7877,0.7594,0.7865,0.7421,0.8105,0.226,TRANSITION-STABLE
2,Neutral,RecursiveClassEvolution,0.8142,0.7663,0.7293,0.7413,0.7203,0.7697,0.2249,TRANSITION-BOUNDED
4,Neutral,RecursiveClassEvolution,0.7318,0.6891,0.6924,0.6752,0.666,0.7031,0.2094,TRANSITION-BOUNDED
6,Neutral,RecursiveClassEvolution,0.6626,0.6583,0.61,0.6294,0.602,0.6523,0.1868,TRANSITION-PARTIAL
8,Neutral,RecursiveClassEvolution,0.625,0.6176,0.5932,0.6013,0.5688,0.6096,0.1704,TRANSITION-PARTIAL
12,Neutral,RecursiveClassEvolution,0.559,0.5321,0.506,0.5043,0.5026,0.5145,0.1663,TRANSITION-DEGRADING
16,Neutral,RecursiveClassEvolution,0.4861,0.4779,0.4615,0.4627,0.4373,0.4709,0.1297,TRANSITION-DEGRADING
20,Neutral,RecursiveClassEvolution,0.4299,0.421,0.4073,0.4007,0.3956,0.4259,0.1225,TRANSITION-DEGRADING
24,Neutral,RecursiveClassEvolution,0.3989,0.3908,0.3667,0.3687,0.3674,0.3701,0.1113,TRANSITION-FAILED
32,Neutral,RecursiveClassEvolution,0.3418,0.3229,0.3061,0.3174,0.2967,0.324,0.0922,TRANSITION-FAILED
40,Neutral,RecursiveClassEvolution,0.286,0.2811,0.2731,0.2704,0.2625,0.2739,0.0805,TRANSITION-FAILED
48,Neutral,RecursiveClassEvolution,0.2532,0.2486,0.2401,0.2357,0.2289,0.2504,0.0709,TRANSITION-FAILED
64,Neutral,RecursiveClassEvolution,0.2043,0.2033,0.1976,0.1998,0.1911,0.2018,0.0616,TRANSITION-FAILED
80,Neutral,RecursiveClassEvolution,0.1758,0.1708,0.158,0.1621,0.1591,0.1693,0.0506,TRANSITION-FAILED
96,Neutral,RecursiveClassEvolution,0.1498,0.1441,0.1418,0.1436,0.1368,0.1408,0.0434,TRANSITION-FAILED
1,Neutral,CollapseTransitionMapping,0.8173,0.8127,0.799,0.7928,0.7956,0.7738,0.2488,TRANSITION-STABLE
2,Neutral,CollapseTransitionMapping,0.7773,0.7417,0.7636,0.7265,0.7393,0.7296,0.2214,TRANSITION-BOUNDED
4,Neutral,CollapseTransitionMapping,0.7373,0.7028,0.6909,0.6928,0.7033,0.6758,0.2141,TRANSITION-BOUNDED
6,Neutral,CollapseTransitionMapping,0.6686,0.6531,0.6383,0.6253,0.6279,0.6133,0.2041,TRANSITION-PARTIAL
8,Neutral,CollapseTransitionMapping,0.6091,0.5844,0.6004,0.5761,0.5972,0.5663,0.1757,TRANSITION-PARTIAL
12,Neutral,CollapseTransitionMapping,0.5362,0.5238,0.5229,0.5193,0.5103,0.4901,0.1598,TRANSITION-DEGRADING
16,Neutral,CollapseTransitionMapping,0.4856,0.4718,0.4518,0.4623,0.4636,0.4347,0.1369,TRANSITION-DEGRADING
20,Neutral,CollapseTransitionMapping,0.4349,0.4206,0.4163,0.4068,0.4014,0.4002,0.1293,TRANSITION-DEGRADING
24,Neutral,CollapseTransitionMapping,0.4003,0.3704,0.3721,0.3692,0.3667,0.3615,0.1101,TRANSITION-FAILED
32,Neutral,CollapseTransitionMapping,0.3415,0.3207,0.3129,0.3151,0.3178,0.3104,0.1013,TRANSITION-FAILED
40,Neutral,CollapseTransitionMapping,0.2899,0.2754,0.2759,0.2759,0.269,0.2681,0.0857,TRANSITION-FAILED
48,Neutral,CollapseTransitionMapping,0.2534,0.2504,0.2504,0.2378,0.2463,0.2408,0.0702,TRANSITION-FAILED
64,Neutral,CollapseTransitionMapping,0.2019,0.2002,0.202,0.1955,0.1947,0.1853,0.0586,TRANSITION-FAILED
80,Neutral,CollapseTransitionMapping,0.1719,0.1638,0.1633,0.1581,0.1619,0.1623,0.0523,TRANSITION-FAILED
96,Neutral,CollapseTransitionMapping,0.1487,0.1462,0.1435,0.1384,0.1405,0.1396,0.0432,TRANSITION-FAILED
1,Neutral,PerturbationDrivenMigration,0.8419,0.7815,0.8027,0.7797,0.7644,0.7556,0.2337,TRANSITION-STABLE
2,Neutral,PerturbationDrivenMigration,0.793,0.7649,0.7503,0.7456,0.7431,0.7326,0.2422,TRANSITION-BOUNDED
4,Neutral,PerturbationDrivenMigration,0.7174,0.6967,0.703,0.6806,0.6546,0.678,0.2124,TRANSITION-BOUNDED
6,Neutral,PerturbationDrivenMigration,0.6542,0.6371,0.6396,0.6334,0.6244,0.6358,0.185,TRANSITION-PARTIAL
8,Neutral,PerturbationDrivenMigration,0.6159,0.6022,0.5854,0.5832,0.5871,0.5856,0.1746,TRANSITION-PARTIAL
12,Neutral,PerturbationDrivenMigration,0.5464,0.5128,0.5043,0.5054,0.49,0.5043,0.151,TRANSITION-DEGRADING
16,Neutral,PerturbationDrivenMigration,0.4764,0.4562,0.449,0.4489,0.4473,0.4401,0.1451,TRANSITION-DEGRADING
20,Neutral,PerturbationDrivenMigration,0.4352,0.4223,0.414,0.413,0.4066,0.4123,0.1384,TRANSITION-DEGRADING
24,Neutral,PerturbationDrivenMigration,0.3963,0.3866,0.3727,0.3668,0.3633,0.3662,0.1189,TRANSITION-FAILED
32,Neutral,PerturbationDrivenMigration,0.3331,0.3143,0.3178,0.3186,0.3034,0.3056,0.0967,TRANSITION-FAILED
40,Neutral,PerturbationDrivenMigration,0.2941,0.2791,0.2739,0.2697,0.2726,0.2641,0.0911,TRANSITION-FAILED
48,Neutral,PerturbationDrivenMigration,0.2557,0.2471,0.2396,0.2348,0.2395,0.2424,0.0779,TRANSITION-FAILED
64,Neutral,PerturbationDrivenMigration,0.2088,0.2008,0.1941,0.1956,0.1891,0.1961,0.062,TRANSITION-FAILED
80,Neutral,PerturbationDrivenMigration,0.1738,0.1684,0.1621,0.1582,0.1569,0.1644,0.05,TRANSITION-FAILED
96,Neutral,PerturbationDrivenMigration,0.1517,0.144,0.1408,0.143,0.1345,0.1415,0.0434,TRANSITION-FAILED
1,Neutral,NullTransitionControl,0.6597,0.6253,0.6317,0.6029,0.619,0.6057,0.3278,TRANSITION-PARTIAL
2,Neutral,NullTransitionControl,0.6153,0.6027,0.59,0.587,0.602,0.5798,0.3191,TRANSITION-PARTIAL
4,Neutral,NullTransitionControl,0.5438,0.5663,0.5694,0.5237,0.5473,0.5169,0.3047,TRANSITION-DEGRADING
6,Neutral,NullTransitionControl,0.5243,0.5106,0.5047,0.4954,0.4905,0.4758,0.2807,TRANSITION-DEGRADING
8,Neutral,NullTransitionControl,0.4737,0.4898,0.4689,0.4476,0.4664,0.4557,0.2592,TRANSITION-DEGRADING
12,Neutral,NullTransitionControl,0.4298,0.429,0.4217,0.3978,0.4015,0.3845,0.2253,TRANSITION-DEGRADING
16,Neutral,NullTransitionControl,0.3621,0.3779,0.3639,0.3464,0.3607,0.3477,0.1878,TRANSITION-FAILED
20,Neutral,NullTransitionControl,0.3435,0.3335,0.3408,0.3178,0.3187,0.3264,0.1727,TRANSITION-FAILED
24,Neutral,NullTransitionControl,0.2953,0.3084,0.3109,0.2836,0.2962,0.2808,0.1544,TRANSITION-FAILED
32,Neutral,NullTransitionControl,0.2541,0.2626,0.2621,0.2527,0.2445,0.2442,0.1406,TRANSITION-FAILED
40,Neutral,NullTransitionControl,0.2179,0.2208,0.2201,0.2113,0.2095,0.2109,0.1103,TRANSITION-FAILED
48,Neutral,NullTransitionControl,0.2022,0.1953,0.2007,0.1832,0.1839,0.1873,0.1025,TRANSITION-FAILED
64,Neutral,NullTransitionControl,0.1639,0.1572,0.1542,0.1502,0.149,0.1551,0.0829,TRANSITION-FAILED
80,Neutral,NullTransitionControl,0.1378,0.1318,0.133,0.13,0.1273,0.1239,0.0719,TRANSITION-FAILED
96,Neutral,NullTransitionControl,0.1117,0.1143,0.1108,0.1143,0.1108,0.1064,0.0618,TRANSITION-FAILED
1,Projection-Antisymmetry,TransitionPathwayTracking,0.8648,0.824,0.7788,0.8107,0.7635,0.7825,0.2426,TRANSITION-STABLE
2,Projection-Antisymmetry,TransitionPathwayTracking,0.8217,0.7798,0.7362,0.7401,0.7296,0.7468,0.2341,TRANSITION-BOUNDED
4,Projection-Antisymmetry,TransitionPathwayTracking,0.7571,0.7213,0.6834,0.7041,0.6535,0.6884,0.2072,TRANSITION-BOUNDED
6,Projection-Antisymmetry,TransitionPathwayTracking,0.6755,0.643,0.6324,0.6348,0.6073,0.6391,0.1805,TRANSITION-PARTIAL
8,Projection-Antisymmetry,TransitionPathwayTracking,0.6439,0.6252,0.5739,0.603,0.5774,0.5912,0.1616,TRANSITION-PARTIAL
12,Projection-Antisymmetry,TransitionPathwayTracking,0.5602,0.5422,0.5039,0.5253,0.5026,0.5027,0.151,TRANSITION-DEGRADING
16,Projection-Antisymmetry,TransitionPathwayTracking,0.4826,0.4724,0.4547,0.4549,0.4526,0.4532,0.141,TRANSITION-DEGRADING
20,Projection-Antisymmetry,TransitionPathwayTracking,0.4485,0.4302,0.4131,0.4076,0.3989,0.4032,0.1258,TRANSITION-DEGRADING
24,Projection-Antisymmetry,TransitionPathwayTracking,0.3999,0.381,0.3678,0.3858,0.3581,0.3639,0.1152,TRANSITION-FAILED
32,Projection-Antisymmetry,TransitionPathwayTracking,0.344,0.32,0.3194,0.319,0.3005,0.3144,0.0929,TRANSITION-FAILED
40,Projection-Antisymmetry,TransitionPathwayTracking,0.2993,0.2893,0.2777,0.2816,0.2669,0.2761,0.074,TRANSITION-FAILED
48,Projection-Antisymmetry,TransitionPathwayTracking,0.2595,0.2493,0.2408,0.2484,0.2352,0.2373,0.0737,TRANSITION-FAILED
64,Projection-Antisymmetry,TransitionPathwayTracking,0.2095,0.2058,0.1946,0.1934,0.1907,0.198,0.06,TRANSITION-FAILED
80,Projection-Antisymmetry,TransitionPathwayTracking,0.1743,0.1703,0.164,0.1643,0.1562,0.1615,0.0458,TRANSITION-FAILED
96,Projection-Antisymmetry,TransitionPathwayTracking,0.1555,0.1468,0.1438,0.1426,0.1348,0.1448,0.0429,TRANSITION-FAILED
1,Projection-Antisymmetry,ClassBifurcationAnalysis,0.8481,0.8085,0.8222,0.7664,0.7946,0.7596,0.2442,TRANSITION-STABLE
2,Projection-Antisymmetry,ClassBifurcationAnalysis,0.8097,0.7501,0.785,0.7446,0.7546,0.7501,0.2304,TRANSITION-BOUNDED
4,Projection-Antisymmetry,ClassBifurcationAnalysis,0.7524,0.7141,0.7089,0.6894,0.6839,0.6808,0.2133,TRANSITION-BOUNDED
6,Projection-Antisymmetry,ClassBifurcationAnalysis,0.6759,0.6561,0.6375,0.634,0.6323,0.6158,0.1918,TRANSITION-PARTIAL
8,Projection-Antisymmetry,ClassBifurcationAnalysis,0.6383,0.5887,0.6153,0.5853,0.5836,0.5831,0.1766,TRANSITION-PARTIAL
12,Projection-Antisymmetry,ClassBifurcationAnalysis,0.5613,0.5346,0.5289,0.5109,0.5123,0.5094,0.1579,TRANSITION-DEGRADING
16,Projection-Antisymmetry,ClassBifurcationAnalysis,0.4902,0.4626,0.4711,0.4566,0.4519,0.4615,0.1395,TRANSITION-DEGRADING
20,Projection-Antisymmetry,ClassBifurcationAnalysis,0.4474,0.4316,0.431,0.4166,0.3998,0.3957,0.1229,TRANSITION-DEGRADING
24,Projection-Antisymmetry,ClassBifurcationAnalysis,0.4036,0.3856,0.3869,0.3682,0.3776,0.3687,0.1087,TRANSITION-FAILED
32,Projection-Antisymmetry,ClassBifurcationAnalysis,0.3411,0.3249,0.3201,0.3237,0.3108,0.3166,0.0951,TRANSITION-FAILED
40,Projection-Antisymmetry,ClassBifurcationAnalysis,0.2934,0.2757,0.2806,0.2706,0.266,0.2728,0.0764,TRANSITION-FAILED
48,Projection-Antisymmetry,ClassBifurcationAnalysis,0.2577,0.249,0.2465,0.2368,0.2398,0.2404,0.0773,TRANSITION-FAILED
64,Projection-Antisymmetry,ClassBifurcationAnalysis,0.2049,0.199,0.2001,0.1941,0.1947,0.194,0.0548,TRANSITION-FAILED
80,Projection-Antisymmetry,ClassBifurcationAnalysis,0.1716,0.1644,0.1669,0.1617,0.1621,0.1642,0.0487,TRANSITION-FAILED
96,Projection-Antisymmetry,ClassBifurcationAnalysis,0.149,0.1449,0.1453,0.1414,0.1426,0.1411,0.0412,TRANSITION-FAILED
1,Projection-Antisymmetry,MergeSplitDynamics,0.8357,0.8029,0.7983,0.8082,0.7752,0.7693,0.2248,TRANSITION-STABLE
2,Projection-Antisymmetry,MergeSplitDynamics,0.7933,0.7814,0.7529,0.7556,0.7259,0.7653,0.2073,TRANSITION-STABLE
4,Projection-Antisymmetry,MergeSplitDynamics,0.7481,0.6995,0.6971,0.7103,0.6849,0.7026,0.2003,TRANSITION-BOUNDED
6,Projection-Antisymmetry,MergeSplitDynamics,0.7011,0.6615,0.6259,0.6519,0.6037,0.6406,0.1956,TRANSITION-PARTIAL
8,Projection-Antisymmetry,MergeSplitDynamics,0.65,0.6094,0.5883,0.5896,0.5737,0.5868,0.1687,TRANSITION-PARTIAL
12,Projection-Antisymmetry,MergeSplitDynamics,0.5571,0.5366,0.5243,0.5391,0.4953,0.5244,0.1423,TRANSITION-DEGRADING
16,Projection-Antisymmetry,MergeSplitDynamics,0.504,0.4716,0.4605,0.4727,0.4338,0.467,0.1346,TRANSITION-DEGRADING
20,Projection-Antisymmetry,MergeSplitDynamics,0.454,0.4267,0.4193,0.4117,0.409,0.4072,0.1212,TRANSITION-DEGRADING
24,Projection-Antisymmetry,MergeSplitDynamics,0.4085,0.3851,0.364,0.3745,0.3615,0.3694,0.1002,TRANSITION-FAILED
32,Projection-Antisymmetry,MergeSplitDynamics,0.3403,0.3284,0.3154,0.3232,0.3083,0.3089,0.0946,TRANSITION-FAILED
40,Projection-Antisymmetry,MergeSplitDynamics,0.3016,0.2844,0.2702,0.2802,0.2674,0.2781,0.0849,TRANSITION-FAILED
48,Projection-Antisymmetry,MergeSplitDynamics,0.2602,0.2519,0.2355,0.2482,0.2329,0.2382,0.075,TRANSITION-FAILED
64,Projection-Antisymmetry,MergeSplitDynamics,0.2151,0.2074,0.1923,0.1955,0.1879,0.1973,0.0516,TRANSITION-FAILED
80,Projection-Antisymmetry,MergeSplitDynamics,0.1784,0.1685,0.1613,0.1651,0.1601,0.1669,0.0444,TRANSITION-FAILED
96,Projection-Antisymmetry,MergeSplitDynamics,0.155,0.1486,0.1399,0.1455,0.1401,0.1438,0.0419,TRANSITION-FAILED
1,Projection-Antisymmetry,RecursiveClassEvolution,0.8494,0.8078,0.7718,0.7885,0.7651,0.8107,0.2226,TRANSITION-STABLE
2,Projection-Antisymmetry,RecursiveClassEvolution,0.8056,0.7585,0.749,0.7433,0.7377,0.7625,0.2261,TRANSITION-BOUNDED
4,Projection-Antisymmetry,RecursiveClassEvolution,0.7441,0.7206,0.6648,0.6747,0.6693,0.7044,0.1962,TRANSITION-BOUNDED
6,Projection-Antisymmetry,RecursiveClassEvolution,0.6879,0.6651,0.629,0.6402,0.6013,0.6332,0.1745,TRANSITION-PARTIAL
8,Projection-Antisymmetry,RecursiveClassEvolution,0.6391,0.5947,0.5838,0.6024,0.5765,0.5962,0.1627,TRANSITION-PARTIAL
12,Projection-Antisymmetry,RecursiveClassEvolution,0.5473,0.5276,0.516,0.5137,0.4914,0.5289,0.1485,TRANSITION-DEGRADING
16,Projection-Antisymmetry,RecursiveClassEvolution,0.4953,0.4623,0.4497,0.4617,0.435,0.4724,0.1478,TRANSITION-DEGRADING
20,Projection-Antisymmetry,RecursiveClassEvolution,0.4407,0.4186,0.4003,0.4037,0.3908,0.4236,0.1312,TRANSITION-DEGRADING
24,Projection-Antisymmetry,RecursiveClassEvolution,0.3985,0.38,0.3646,0.3797,0.3512,0.3761,0.1041,TRANSITION-FAILED
32,Projection-Antisymmetry,RecursiveClassEvolution,0.34,0.3274,0.3046,0.314,0.3042,0.3176,0.0997,TRANSITION-FAILED
40,Projection-Antisymmetry,RecursiveClassEvolution,0.29,0.2807,0.2699,0.2795,0.2682,0.2728,0.0839,TRANSITION-FAILED
48,Projection-Antisymmetry,RecursiveClassEvolution,0.2598,0.2454,0.2408,0.239,0.2261,0.2432,0.0697,TRANSITION-FAILED
64,Projection-Antisymmetry,RecursiveClassEvolution,0.2067,0.2038,0.1956,0.1991,0.1848,0.1977,0.0568,TRANSITION-FAILED
80,Projection-Antisymmetry,RecursiveClassEvolution,0.1706,0.1689,0.1612,0.1672,0.1616,0.1675,0.0457,TRANSITION-FAILED
96,Projection-Antisymmetry,RecursiveClassEvolution,0.1507,0.1453,0.1419,0.1438,0.1343,0.1435,0.0391,TRANSITION-FAILED
1,Projection-Antisymmetry,CollapseTransitionMapping,0.8157,0.7808,0.8141,0.7849,0.7958,0.764,0.2283,TRANSITION-STABLE
2,Projection-Antisymmetry,CollapseTransitionMapping,0.7817,0.7664,0.7728,0.7566,0.7483,0.7217,0.2252,TRANSITION-BOUNDED
4,Projection-Antisymmetry,CollapseTransitionMapping,0.715,0.7128,0.6929,0.6685,0.6786,0.6762,0.219,TRANSITION-BOUNDED
6,Projection-Antisymmetry,CollapseTransitionMapping,0.6843,0.637,0.6395,0.6333,0.6303,0.6092,0.1993,TRANSITION-PARTIAL
8,Projection-Antisymmetry,CollapseTransitionMapping,0.6072,0.6063,0.5996,0.5813,0.5798,0.566,0.1834,TRANSITION-PARTIAL
12,Projection-Antisymmetry,CollapseTransitionMapping,0.5457,0.5308,0.5122,0.4991,0.5034,0.4894,0.1512,TRANSITION-DEGRADING
16,Projection-Antisymmetry,CollapseTransitionMapping,0.4941,0.455,0.4533,0.4468,0.4514,0.4441,0.1341,TRANSITION-DEGRADING
20,Projection-Antisymmetry,CollapseTransitionMapping,0.4364,0.423,0.4162,0.4043,0.4068,0.3954,0.1159,TRANSITION-DEGRADING
24,Projection-Antisymmetry,CollapseTransitionMapping,0.4017,0.3845,0.3738,0.3772,0.3782,0.3549,0.1137,TRANSITION-FAILED
32,Projection-Antisymmetry,CollapseTransitionMapping,0.3402,0.3247,0.3176,0.3174,0.3153,0.3077,0.0913,TRANSITION-FAILED
40,Projection-Antisymmetry,CollapseTransitionMapping,0.2949,0.2721,0.2783,0.2645,0.2766,0.2602,0.0802,TRANSITION-FAILED
48,Projection-Antisymmetry,CollapseTransitionMapping,0.2575,0.2473,0.242,0.2365,0.2384,0.2395,0.0721,TRANSITION-FAILED
64,Projection-Antisymmetry,CollapseTransitionMapping,0.2019,0.1953,0.1945,0.1964,0.1986,0.1888,0.0618,TRANSITION-FAILED
80,Projection-Antisymmetry,CollapseTransitionMapping,0.1759,0.1675,0.1694,0.1622,0.167,0.1592,0.0511,TRANSITION-FAILED
96,Projection-Antisymmetry,CollapseTransitionMapping,0.1515,0.1431,0.1419,0.1419,0.1399,0.1383,0.0454,TRANSITION-FAILED
1,Projection-Antisymmetry,PerturbationDrivenMigration,0.8333,0.7774,0.8029,0.7896,0.7752,0.7868,0.238,TRANSITION-STABLE
2,Projection-Antisymmetry,PerturbationDrivenMigration,0.7726,0.7723,0.7501,0.7449,0.722,0.7534,0.2226,TRANSITION-BOUNDED
4,Projection-Antisymmetry,PerturbationDrivenMigration,0.7252,0.7003,0.6886,0.6741,0.6585,0.6865,0.2186,TRANSITION-BOUNDED
6,Projection-Antisymmetry,PerturbationDrivenMigration,0.6636,0.6299,0.6366,0.6272,0.6098,0.6234,0.1875,TRANSITION-PARTIAL
8,Projection-Antisymmetry,PerturbationDrivenMigration,0.617,0.6001,0.5782,0.5675,0.5733,0.5931,0.1704,TRANSITION-PARTIAL
12,Projection-Antisymmetry,PerturbationDrivenMigration,0.5439,0.531,0.5046,0.4955,0.492,0.5145,0.1582,TRANSITION-DEGRADING
16,Projection-Antisymmetry,PerturbationDrivenMigration,0.4901,0.4593,0.4545,0.4581,0.4339,0.4395,0.1388,TRANSITION-DEGRADING
20,Projection-Antisymmetry,PerturbationDrivenMigration,0.4354,0.42,0.4051,0.3991,0.392,0.4025,0.1317,TRANSITION-DEGRADING
24,Projection-Antisymmetry,PerturbationDrivenMigration,0.3983,0.3866,0.3794,0.3597,0.3698,0.3646,0.1194,TRANSITION-FAILED
32,Projection-Antisymmetry,PerturbationDrivenMigration,0.3336,0.3221,0.3196,0.319,0.3085,0.3087,0.0918,TRANSITION-FAILED
40,Projection-Antisymmetry,PerturbationDrivenMigration,0.2899,0.2806,0.2674,0.2663,0.2712,0.2682,0.0819,TRANSITION-FAILED
48,Projection-Antisymmetry,PerturbationDrivenMigration,0.2512,0.2383,0.2412,0.2429,0.2319,0.2361,0.0721,TRANSITION-FAILED
64,Projection-Antisymmetry,PerturbationDrivenMigration,0.201,0.1966,0.1919,0.19,0.1865,0.1934,0.0573,TRANSITION-FAILED
80,Projection-Antisymmetry,PerturbationDrivenMigration,0.1705,0.163,0.1613,0.1611,0.1639,0.1658,0.0546,TRANSITION-FAILED
96,Projection-Antisymmetry,PerturbationDrivenMigration,0.1493,0.14,0.1431,0.1411,0.1411,0.1408,0.0469,TRANSITION-FAILED
1,Projection-Antisymmetry,NullTransitionControl,0.6524,0.6189,0.6282,0.6233,0.6212,0.6161,0.3286,TRANSITION-PARTIAL
