chain,domain_A,domain_B,domain_C,operator_A,operator_B,chain_identity_similarity,chain_cg_rate,chain_cg_retention,identity_preserved,cg_preserved
gray_scott→replicator→branching,gray_scott,replicator,branching,multiplicative,competitive_exclusion,0.9994,0.198,0.5657,1,0
gray_scott→replicator→cellular_automata,gray_scott,replicator,cellular_automata,multiplicative,competitive_exclusion,0.9987,0.1167,0.3333,1,0
gray_scott→replicator→coupled_map_lattice,gray_scott,replicator,coupled_map_lattice,multiplicative,competitive_exclusion,0.9999,0.1727,0.4933,1,0
gray_scott→replicator→graph_diffusion,gray_scott,replicator,graph_diffusion,multiplicative,competitive_exclusion,0.9979,0.1167,0.3333,1,0
gray_scott→replicator→kuramoto,gray_scott,replicator,kuramoto,multiplicative,competitive_exclusion,0.9996,0.236,0.6592,1,0
gray_scott→replicator→lotka_volterra,gray_scott,replicator,lotka_volterra,multiplicative,competitive_exclusion,0.9989,0.1167,0.3333,1,0
gray_scott→replicator→nonlinear_oscillator,gray_scott,replicator,nonlinear_oscillator,multiplicative,competitive_exclusion,0.9995,0.29,0.5577,1,0
gray_scott→replicator→population,gray_scott,replicator,population,multiplicative,competitive_exclusion,1.0,0.196,0.56,1,0
graph_diffusion→replicator→branching,graph_diffusion,replicator,branching,multiplicative,competitive_exclusion,0.9969,0.0813,0.3333,1,0
graph_diffusion→replicator→cellular_automata,graph_diffusion,replicator,cellular_automata,multiplicative,competitive_exclusion,0.9999,0.0,0.0,1,0
graph_diffusion→replicator→coupled_map_lattice,graph_diffusion,replicator,coupled_map_lattice,multiplicative,competitive_exclusion,0.9988,0.056,0.3333,1,0
graph_diffusion→replicator→gray_scott,graph_diffusion,replicator,gray_scott,multiplicative,competitive_exclusion,0.9929,0.1167,0.3333,1,0
graph_diffusion→replicator→kuramoto,graph_diffusion,replicator,kuramoto,multiplicative,competitive_exclusion,0.9954,0.1193,0.3333,1,0
graph_diffusion→replicator→lotka_volterra,graph_diffusion,replicator,lotka_volterra,multiplicative,competitive_exclusion,0.9997,0.0,0.0,1,0
graph_diffusion→replicator→nonlinear_oscillator,graph_diffusion,replicator,nonlinear_oscillator,multiplicative,competitive_exclusion,0.9994,0.1733,0.3333,1,0
graph_diffusion→replicator→population,graph_diffusion,replicator,population,multiplicative,competitive_exclusion,0.9978,0.0793,0.3333,1,0
gray_scott→cellular_automata→branching,gray_scott,cellular_automata,branching,multiplicative,diffusion,0.9994,0.198,0.5657,1,0
gray_scott→cellular_automata→coupled_map_lattice,gray_scott,cellular_automata,coupled_map_lattice,multiplicative,diffusion,0.9998,0.1727,0.4933,1,0
gray_scott→cellular_automata→graph_diffusion,gray_scott,cellular_automata,graph_diffusion,multiplicative,diffusion,0.9975,0.1167,0.3333,1,0
gray_scott→cellular_automata→kuramoto,gray_scott,cellular_automata,kuramoto,multiplicative,diffusion,0.9997,0.236,0.6592,1,0
gray_scott→cellular_automata→lotka_volterra,gray_scott,cellular_automata,lotka_volterra,multiplicative,diffusion,0.9987,0.1167,0.3333,1,0
gray_scott→cellular_automata→nonlinear_oscillator,gray_scott,cellular_automata,nonlinear_oscillator,multiplicative,diffusion,0.9994,0.29,0.5577,1,0
gray_scott→cellular_automata→population,gray_scott,cellular_automata,population,multiplicative,diffusion,1.0,0.196,0.56,1,0
gray_scott→cellular_automata→replicator,gray_scott,cellular_automata,replicator,multiplicative,diffusion,0.9978,0.1167,0.3333,1,0
gray_scott→coupled_map_lattice→branching,gray_scott,coupled_map_lattice,branching,multiplicative,diffusion,0.9994,0.254,0.7257,1,0
gray_scott→coupled_map_lattice→cellular_automata,gray_scott,coupled_map_lattice,cellular_automata,multiplicative,diffusion,0.9974,0.1727,0.4933,1,0
gray_scott→coupled_map_lattice→graph_diffusion,gray_scott,coupled_map_lattice,graph_diffusion,multiplicative,diffusion,0.9961,0.1727,0.4933,1,0
gray_scott→coupled_map_lattice→kuramoto,gray_scott,coupled_map_lattice,kuramoto,multiplicative,diffusion,1.0,0.292,0.8156,1,1
gray_scott→coupled_map_lattice→lotka_volterra,gray_scott,coupled_map_lattice,lotka_volterra,multiplicative,diffusion,0.9977,0.1727,0.4933,1,0
gray_scott→coupled_map_lattice→nonlinear_oscillator,gray_scott,coupled_map_lattice,nonlinear_oscillator,multiplicative,diffusion,0.9987,0.346,0.6654,1,0
gray_scott→coupled_map_lattice→population,gray_scott,coupled_map_lattice,population,multiplicative,diffusion,0.9998,0.252,0.72,1,0
gray_scott→coupled_map_lattice→replicator,gray_scott,coupled_map_lattice,replicator,multiplicative,diffusion,0.9965,0.1727,0.4933,1,0
graph_diffusion→cellular_automata→branching,graph_diffusion,cellular_automata,branching,multiplicative,diffusion,0.9973,0.0813,0.3333,1,0
graph_diffusion→cellular_automata→coupled_map_lattice,graph_diffusion,cellular_automata,coupled_map_lattice,multiplicative,diffusion,0.999,0.056,0.3333,1,0
graph_diffusion→cellular_automata→gray_scott,graph_diffusion,cellular_automata,gray_scott,multiplicative,diffusion,0.9937,0.1167,0.3333,1,0
graph_diffusion→cellular_automata→kuramoto,graph_diffusion,cellular_automata,kuramoto,multiplicative,diffusion,0.996,0.1193,0.3333,1,0
graph_diffusion→cellular_automata→lotka_volterra,graph_diffusion,cellular_automata,lotka_volterra,multiplicative,diffusion,0.9998,0.0,0.0,1,0
graph_diffusion→cellular_automata→nonlinear_oscillator,graph_diffusion,cellular_automata,nonlinear_oscillator,multiplicative,diffusion,0.9996,0.1733,0.3333,1,0
graph_diffusion→cellular_automata→population,graph_diffusion,cellular_automata,population,multiplicative,diffusion,0.9982,0.0793,0.3333,1,0
graph_diffusion→cellular_automata→replicator,graph_diffusion,cellular_automata,replicator,multiplicative,diffusion,1.0,0.0,0.0,1,0
graph_diffusion→coupled_map_lattice→branching,graph_diffusion,coupled_map_lattice,branching,multiplicative,diffusion,0.9984,0.1373,0.5628,1,0
graph_diffusion→coupled_map_lattice→cellular_automata,graph_diffusion,coupled_map_lattice,cellular_automata,multiplicative,diffusion,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→gray_scott,graph_diffusion,coupled_map_lattice,gray_scott,multiplicative,diffusion,0.9956,0.1727,0.4933,1,0
graph_diffusion→coupled_map_lattice→kuramoto,graph_diffusion,coupled_map_lattice,kuramoto,multiplicative,diffusion,0.9974,0.1753,0.4898,1,0
graph_diffusion→coupled_map_lattice→lotka_volterra,graph_diffusion,coupled_map_lattice,lotka_volterra,multiplicative,diffusion,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→nonlinear_oscillator,graph_diffusion,coupled_map_lattice,nonlinear_oscillator,multiplicative,diffusion,0.9999,0.2293,0.441,1,0
graph_diffusion→coupled_map_lattice→population,graph_diffusion,coupled_map_lattice,population,multiplicative,diffusion,0.999,0.1353,0.5686,1,0
graph_diffusion→coupled_map_lattice→replicator,graph_diffusion,coupled_map_lattice,replicator,multiplicative,diffusion,0.9998,0.056,0.3333,1,0
gray_scott→population→branching,gray_scott,population,branching,multiplicative,hierarchical_nesting,0.9992,0.2773,0.7924,1,0
gray_scott→population→cellular_automata,gray_scott,population,cellular_automata,multiplicative,hierarchical_nesting,0.9969,0.196,0.56,1,0
gray_scott→population→coupled_map_lattice,gray_scott,population,coupled_map_lattice,multiplicative,hierarchical_nesting,0.9991,0.252,0.72,1,0
gray_scott→population→graph_diffusion,gray_scott,population,graph_diffusion,multiplicative,hierarchical_nesting,0.9955,0.196,0.56,1,0
gray_scott→population→kuramoto,gray_scott,population,kuramoto,multiplicative,hierarchical_nesting,1.0,0.3153,0.8808,1,1
gray_scott→population→lotka_volterra,gray_scott,population,lotka_volterra,multiplicative,hierarchical_nesting,0.9972,0.196,0.56,1,0
gray_scott→population→nonlinear_oscillator,gray_scott,population,nonlinear_oscillator,multiplicative,hierarchical_nesting,0.9984,0.3693,0.7103,1,0
gray_scott→population→replicator,gray_scott,population,replicator,multiplicative,hierarchical_nesting,0.996,0.196,0.56,1,0
gray_scott→coupled_map_lattice→branching,gray_scott,coupled_map_lattice,branching,multiplicative,hierarchical_nesting,0.9994,0.254,0.7257,1,0
gray_scott→coupled_map_lattice→cellular_automata,gray_scott,coupled_map_lattice,cellular_automata,multiplicative,hierarchical_nesting,0.9974,0.1727,0.4933,1,0
gray_scott→coupled_map_lattice→graph_diffusion,gray_scott,coupled_map_lattice,graph_diffusion,multiplicative,hierarchical_nesting,0.9961,0.1727,0.4933,1,0
gray_scott→coupled_map_lattice→kuramoto,gray_scott,coupled_map_lattice,kuramoto,multiplicative,hierarchical_nesting,1.0,0.292,0.8156,1,1
gray_scott→coupled_map_lattice→lotka_volterra,gray_scott,coupled_map_lattice,lotka_volterra,multiplicative,hierarchical_nesting,0.9977,0.1727,0.4933,1,0
gray_scott→coupled_map_lattice→nonlinear_oscillator,gray_scott,coupled_map_lattice,nonlinear_oscillator,multiplicative,hierarchical_nesting,0.9987,0.346,0.6654,1,0
gray_scott→coupled_map_lattice→population,gray_scott,coupled_map_lattice,population,multiplicative,hierarchical_nesting,0.9998,0.252,0.72,1,0
gray_scott→coupled_map_lattice→replicator,gray_scott,coupled_map_lattice,replicator,multiplicative,hierarchical_nesting,0.9965,0.1727,0.4933,1,0
graph_diffusion→population→branching,graph_diffusion,population,branching,multiplicative,hierarchical_nesting,0.9987,0.1607,0.6585,1,0
graph_diffusion→population→cellular_automata,graph_diffusion,population,cellular_automata,multiplicative,hierarchical_nesting,0.9998,0.0793,0.3333,1,0
graph_diffusion→population→coupled_map_lattice,graph_diffusion,population,coupled_map_lattice,multiplicative,hierarchical_nesting,0.9998,0.1353,0.5686,1,0
graph_diffusion→population→gray_scott,graph_diffusion,population,gray_scott,multiplicative,hierarchical_nesting,0.9964,0.196,0.56,1,0
graph_diffusion→population→kuramoto,graph_diffusion,population,kuramoto,multiplicative,hierarchical_nesting,0.998,0.1987,0.5549,1,0
graph_diffusion→population→lotka_volterra,graph_diffusion,population,lotka_volterra,multiplicative,hierarchical_nesting,0.9998,0.0793,0.3333,1,0
graph_diffusion→population→nonlinear_oscillator,graph_diffusion,population,nonlinear_oscillator,multiplicative,hierarchical_nesting,1.0,0.2527,0.4859,1,0
graph_diffusion→population→replicator,graph_diffusion,population,replicator,multiplicative,hierarchical_nesting,0.9996,0.0793,0.3333,1,0
graph_diffusion→coupled_map_lattice→branching,graph_diffusion,coupled_map_lattice,branching,multiplicative,hierarchical_nesting,0.9984,0.1373,0.5628,1,0
graph_diffusion→coupled_map_lattice→cellular_automata,graph_diffusion,coupled_map_lattice,cellular_automata,multiplicative,hierarchical_nesting,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→gray_scott,graph_diffusion,coupled_map_lattice,gray_scott,multiplicative,hierarchical_nesting,0.9956,0.1727,0.4933,1,0
graph_diffusion→coupled_map_lattice→kuramoto,graph_diffusion,coupled_map_lattice,kuramoto,multiplicative,hierarchical_nesting,0.9974,0.1753,0.4898,1,0
graph_diffusion→coupled_map_lattice→lotka_volterra,graph_diffusion,coupled_map_lattice,lotka_volterra,multiplicative,hierarchical_nesting,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→nonlinear_oscillator,graph_diffusion,coupled_map_lattice,nonlinear_oscillator,multiplicative,hierarchical_nesting,0.9999,0.2293,0.441,1,0
graph_diffusion→coupled_map_lattice→population,graph_diffusion,coupled_map_lattice,population,multiplicative,hierarchical_nesting,0.999,0.1353,0.5686,1,0
graph_diffusion→coupled_map_lattice→replicator,graph_diffusion,coupled_map_lattice,replicator,multiplicative,hierarchical_nesting,0.9998,0.056,0.3333,1,0
gray_scott→coupled_map_lattice→branching,gray_scott,coupled_map_lattice,branching,multiplicative,constraint_propagation,0.9994,0.254,0.7257,1,0
gray_scott→coupled_map_lattice→cellular_automata,gray_scott,coupled_map_lattice,cellular_automata,multiplicative,constraint_propagation,0.9974,0.1727,0.4933,1,0
gray_scott→coupled_map_lattice→graph_diffusion,gray_scott,coupled_map_lattice,graph_diffusion,multiplicative,constraint_propagation,0.9961,0.1727,0.4933,1,0
gray_scott→coupled_map_lattice→kuramoto,gray_scott,coupled_map_lattice,kuramoto,multiplicative,constraint_propagation,1.0,0.292,0.8156,1,1
gray_scott→coupled_map_lattice→lotka_volterra,gray_scott,coupled_map_lattice,lotka_volterra,multiplicative,constraint_propagation,0.9977,0.1727,0.4933,1,0
gray_scott→coupled_map_lattice→nonlinear_oscillator,gray_scott,coupled_map_lattice,nonlinear_oscillator,multiplicative,constraint_propagation,0.9987,0.346,0.6654,1,0
gray_scott→coupled_map_lattice→population,gray_scott,coupled_map_lattice,population,multiplicative,constraint_propagation,0.9998,0.252,0.72,1,0
gray_scott→coupled_map_lattice→replicator,gray_scott,coupled_map_lattice,replicator,multiplicative,constraint_propagation,0.9965,0.1727,0.4933,1,0
gray_scott→cellular_automata→branching,gray_scott,cellular_automata,branching,multiplicative,constraint_propagation,0.9994,0.198,0.5657,1,0
gray_scott→cellular_automata→coupled_map_lattice,gray_scott,cellular_automata,coupled_map_lattice,multiplicative,constraint_propagation,0.9998,0.1727,0.4933,1,0
gray_scott→cellular_automata→graph_diffusion,gray_scott,cellular_automata,graph_diffusion,multiplicative,constraint_propagation,0.9975,0.1167,0.3333,1,0
gray_scott→cellular_automata→kuramoto,gray_scott,cellular_automata,kuramoto,multiplicative,constraint_propagation,0.9997,0.236,0.6592,1,0
gray_scott→cellular_automata→lotka_volterra,gray_scott,cellular_automata,lotka_volterra,multiplicative,constraint_propagation,0.9987,0.1167,0.3333,1,0
gray_scott→cellular_automata→nonlinear_oscillator,gray_scott,cellular_automata,nonlinear_oscillator,multiplicative,constraint_propagation,0.9994,0.29,0.5577,1,0
gray_scott→cellular_automata→population,gray_scott,cellular_automata,population,multiplicative,constraint_propagation,1.0,0.196,0.56,1,0
gray_scott→cellular_automata→replicator,gray_scott,cellular_automata,replicator,multiplicative,constraint_propagation,0.9978,0.1167,0.3333,1,0
graph_diffusion→coupled_map_lattice→branching,graph_diffusion,coupled_map_lattice,branching,multiplicative,constraint_propagation,0.9984,0.1373,0.5628,1,0
graph_diffusion→coupled_map_lattice→cellular_automata,graph_diffusion,coupled_map_lattice,cellular_automata,multiplicative,constraint_propagation,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→gray_scott,graph_diffusion,coupled_map_lattice,gray_scott,multiplicative,constraint_propagation,0.9956,0.1727,0.4933,1,0
graph_diffusion→coupled_map_lattice→kuramoto,graph_diffusion,coupled_map_lattice,kuramoto,multiplicative,constraint_propagation,0.9974,0.1753,0.4898,1,0
graph_diffusion→coupled_map_lattice→lotka_volterra,graph_diffusion,coupled_map_lattice,lotka_volterra,multiplicative,constraint_propagation,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→nonlinear_oscillator,graph_diffusion,coupled_map_lattice,nonlinear_oscillator,multiplicative,constraint_propagation,0.9999,0.2293,0.441,1,0
graph_diffusion→coupled_map_lattice→population,graph_diffusion,coupled_map_lattice,population,multiplicative,constraint_propagation,0.999,0.1353,0.5686,1,0
graph_diffusion→coupled_map_lattice→replicator,graph_diffusion,coupled_map_lattice,replicator,multiplicative,constraint_propagation,0.9998,0.056,0.3333,1,0
graph_diffusion→cellular_automata→branching,graph_diffusion,cellular_automata,branching,multiplicative,constraint_propagation,0.9973,0.0813,0.3333,1,0
graph_diffusion→cellular_automata→coupled_map_lattice,graph_diffusion,cellular_automata,coupled_map_lattice,multiplicative,constraint_propagation,0.999,0.056,0.3333,1,0
graph_diffusion→cellular_automata→gray_scott,graph_diffusion,cellular_automata,gray_scott,multiplicative,constraint_propagation,0.9937,0.1167,0.3333,1,0
graph_diffusion→cellular_automata→kuramoto,graph_diffusion,cellular_automata,kuramoto,multiplicative,constraint_propagation,0.996,0.1193,0.3333,1,0
graph_diffusion→cellular_automata→lotka_volterra,graph_diffusion,cellular_automata,lotka_volterra,multiplicative,constraint_propagation,0.9998,0.0,0.0,1,0
graph_diffusion→cellular_automata→nonlinear_oscillator,graph_diffusion,cellular_automata,nonlinear_oscillator,multiplicative,constraint_propagation,0.9996,0.1733,0.3333,1,0
graph_diffusion→cellular_automata→population,graph_diffusion,cellular_automata,population,multiplicative,constraint_propagation,0.9982,0.0793,0.3333,1,0
graph_diffusion→cellular_automata→replicator,graph_diffusion,cellular_automata,replicator,multiplicative,constraint_propagation,1.0,0.0,0.0,1,0
gray_scott→kuramoto→branching,gray_scott,kuramoto,branching,multiplicative,resonance_locking,0.999,0.3173,0.8864,1,1
gray_scott→kuramoto→cellular_automata,gray_scott,kuramoto,cellular_automata,multiplicative,resonance_locking,0.9962,0.236,0.6592,1,0
gray_scott→kuramoto→coupled_map_lattice,gray_scott,kuramoto,coupled_map_lattice,multiplicative,resonance_locking,0.9988,0.292,0.8156,1,1
gray_scott→kuramoto→graph_diffusion,gray_scott,kuramoto,graph_diffusion,multiplicative,resonance_locking,0.9947,0.236,0.6592,1,0
gray_scott→kuramoto→lotka_volterra,gray_scott,kuramoto,lotka_volterra,multiplicative,resonance_locking,0.9966,0.236,0.6592,1,0
gray_scott→kuramoto→nonlinear_oscillator,gray_scott,kuramoto,nonlinear_oscillator,multiplicative,resonance_locking,0.9979,0.4093,0.7872,1,0
gray_scott→kuramoto→population,gray_scott,kuramoto,population,multiplicative,resonance_locking,0.9994,0.3153,0.8808,1,1
gray_scott→kuramoto→replicator,gray_scott,kuramoto,replicator,multiplicative,resonance_locking,0.9952,0.236,0.6592,1,0
graph_diffusion→gray_scott→branching,graph_diffusion,gray_scott,branching,multiplicative,resonance_locking,0.9994,0.198,0.5657,1,0
graph_diffusion→gray_scott→cellular_automata,graph_diffusion,gray_scott,cellular_automata,multiplicative,resonance_locking,0.9989,0.1167,0.3333,1,0
graph_diffusion→gray_scott→coupled_map_lattice,graph_diffusion,gray_scott,coupled_map_lattice,multiplicative,resonance_locking,0.9999,0.1727,0.4933,1,0
graph_diffusion→gray_scott→kuramoto,graph_diffusion,gray_scott,kuramoto,multiplicative,resonance_locking,0.9995,0.236,0.6592,1,0
graph_diffusion→gray_scott→lotka_volterra,graph_diffusion,gray_scott,lotka_volterra,multiplicative,resonance_locking,0.999,0.1167,0.3333,1,0
graph_diffusion→gray_scott→nonlinear_oscillator,graph_diffusion,gray_scott,nonlinear_oscillator,multiplicative,resonance_locking,0.9996,0.29,0.5577,1,0
graph_diffusion→gray_scott→population,graph_diffusion,gray_scott,population,multiplicative,resonance_locking,1.0,0.196,0.56,1,0
graph_diffusion→gray_scott→replicator,graph_diffusion,gray_scott,replicator,multiplicative,resonance_locking,0.9983,0.1167,0.3333,1,0
graph_diffusion→kuramoto→branching,graph_diffusion,kuramoto,branching,multiplicative,resonance_locking,0.9993,0.2007,0.5605,1,0
graph_diffusion→kuramoto→cellular_automata,graph_diffusion,kuramoto,cellular_automata,multiplicative,resonance_locking,0.9994,0.1193,0.3333,1,0
graph_diffusion→kuramoto→coupled_map_lattice,graph_diffusion,kuramoto,coupled_map_lattice,multiplicative,resonance_locking,1.0,0.1753,0.4898,1,0
graph_diffusion→kuramoto→gray_scott,graph_diffusion,kuramoto,gray_scott,multiplicative,resonance_locking,0.9978,0.236,0.6592,1,0
graph_diffusion→kuramoto→lotka_volterra,graph_diffusion,kuramoto,lotka_volterra,multiplicative,resonance_locking,0.9995,0.1193,0.3333,1,0
graph_diffusion→kuramoto→nonlinear_oscillator,graph_diffusion,kuramoto,nonlinear_oscillator,multiplicative,resonance_locking,0.9999,0.2927,0.5628,1,0
graph_diffusion→kuramoto→population,graph_diffusion,kuramoto,population,multiplicative,resonance_locking,0.9998,0.1987,0.5549,1,0
graph_diffusion→kuramoto→replicator,graph_diffusion,kuramoto,replicator,multiplicative,resonance_locking,0.999,0.1193,0.3333,1,0
lotka_volterra→graph_diffusion→branching,lotka_volterra,graph_diffusion,branching,branching,synchronization,0.9977,0.0813,0.3333,1,0
lotka_volterra→graph_diffusion→cellular_automata,lotka_volterra,graph_diffusion,cellular_automata,branching,synchronization,0.9999,0.0,0.0,1,0
lotka_volterra→graph_diffusion→coupled_map_lattice,lotka_volterra,graph_diffusion,coupled_map_lattice,branching,synchronization,0.9992,0.056,0.3333,1,0
lotka_volterra→graph_diffusion→gray_scott,lotka_volterra,graph_diffusion,gray_scott,branching,synchronization,0.994,0.1167,0.3333,1,0
lotka_volterra→graph_diffusion→kuramoto,lotka_volterra,graph_diffusion,kuramoto,branching,synchronization,0.9963,0.1193,0.3333,1,0
lotka_volterra→graph_diffusion→nonlinear_oscillator,lotka_volterra,graph_diffusion,nonlinear_oscillator,branching,synchronization,0.9997,0.1733,0.3333,1,0
lotka_volterra→graph_diffusion→population,lotka_volterra,graph_diffusion,population,branching,synchronization,0.9983,0.0793,0.3333,1,0
lotka_volterra→graph_diffusion→replicator,lotka_volterra,graph_diffusion,replicator,branching,synchronization,1.0,0.0,0.0,1,0
lotka_volterra→coupled_map_lattice→branching,lotka_volterra,coupled_map_lattice,branching,branching,synchronization,0.9991,0.1373,0.5628,1,0
lotka_volterra→coupled_map_lattice→cellular_automata,lotka_volterra,coupled_map_lattice,cellular_automata,branching,synchronization,0.9997,0.056,0.3333,1,0
lotka_volterra→coupled_map_lattice→graph_diffusion,lotka_volterra,coupled_map_lattice,graph_diffusion,branching,synchronization,0.9993,0.056,0.3333,1,0
lotka_volterra→coupled_map_lattice→gray_scott,lotka_volterra,coupled_map_lattice,gray_scott,branching,synchronization,0.9965,0.1727,0.4933,1,0
lotka_volterra→coupled_map_lattice→kuramoto,lotka_volterra,coupled_map_lattice,kuramoto,branching,synchronization,0.9982,0.1753,0.4898,1,0
lotka_volterra→coupled_map_lattice→nonlinear_oscillator,lotka_volterra,coupled_map_lattice,nonlinear_oscillator,branching,synchronization,1.0,0.2293,0.441,1,0
lotka_volterra→coupled_map_lattice→population,lotka_volterra,coupled_map_lattice,population,branching,synchronization,0.9994,0.1353,0.5686,1,0
lotka_volterra→coupled_map_lattice→replicator,lotka_volterra,coupled_map_lattice,replicator,branching,synchronization,0.9995,0.056,0.3333,1,0
cellular_automata→graph_diffusion→branching,cellular_automata,graph_diffusion,branching,branching,synchronization,0.9973,0.0813,0.3333,1,0
cellular_automata→graph_diffusion→coupled_map_lattice,cellular_automata,graph_diffusion,coupled_map_lattice,branching,synchronization,0.999,0.056,0.3333,1,0
cellular_automata→graph_diffusion→gray_scott,cellular_automata,graph_diffusion,gray_scott,branching,synchronization,0.9937,0.1167,0.3333,1,0
cellular_automata→graph_diffusion→kuramoto,cellular_automata,graph_diffusion,kuramoto,branching,synchronization,0.996,0.1193,0.3333,1,0
cellular_automata→graph_diffusion→lotka_volterra,cellular_automata,graph_diffusion,lotka_volterra,branching,synchronization,0.9998,0.0,0.0,1,0
cellular_automata→graph_diffusion→nonlinear_oscillator,cellular_automata,graph_diffusion,nonlinear_oscillator,branching,synchronization,0.9996,0.1733,0.3333,1,0
cellular_automata→graph_diffusion→population,cellular_automata,graph_diffusion,population,branching,synchronization,0.9982,0.0793,0.3333,1,0
cellular_automata→graph_diffusion→replicator,cellular_automata,graph_diffusion,replicator,branching,synchronization,1.0,0.0,0.0,1,0
cellular_automata→coupled_map_lattice→branching,cellular_automata,coupled_map_lattice,branching,branching,synchronization,0.9987,0.1373,0.5628,1,0
cellular_automata→coupled_map_lattice→graph_diffusion,cellular_automata,coupled_map_lattice,graph_diffusion,branching,synchronization,0.9995,0.056,0.3333,1,0
cellular_automata→coupled_map_lattice→gray_scott,cellular_automata,coupled_map_lattice,gray_scott,branching,synchronization,0.9963,0.1727,0.4933,1,0
cellular_automata→coupled_map_lattice→kuramoto,cellular_automata,coupled_map_lattice,kuramoto,branching,synchronization,0.998,0.1753,0.4898,1,0
cellular_automata→coupled_map_lattice→lotka_volterra,cellular_automata,coupled_map_lattice,lotka_volterra,branching,synchronization,0.9998,0.056,0.3333,1,0
cellular_automata→coupled_map_lattice→nonlinear_oscillator,cellular_automata,coupled_map_lattice,nonlinear_oscillator,branching,synchronization,1.0,0.2293,0.441,1,0
cellular_automata→coupled_map_lattice→population,cellular_automata,coupled_map_lattice,population,branching,synchronization,0.9994,0.1353,0.5686,1,0
cellular_automata→coupled_map_lattice→replicator,cellular_automata,coupled_map_lattice,replicator,branching,synchronization,0.9996,0.056,0.3333,1,0
lotka_volterra→gray_scott→branching,lotka_volterra,gray_scott,branching,branching,recursive_feedback,0.9996,0.198,0.5657,1,0
lotka_volterra→gray_scott→cellular_automata,lotka_volterra,gray_scott,cellular_automata,branching,recursive_feedback,0.9984,0.1167,0.3333,1,0
lotka_volterra→gray_scott→coupled_map_lattice,lotka_volterra,gray_scott,coupled_map_lattice,branching,recursive_feedback,0.9998,0.1727,0.4933,1,0
lotka_volterra→gray_scott→graph_diffusion,lotka_volterra,gray_scott,graph_diffusion,branching,recursive_feedback,0.9974,0.1167,0.3333,1,0
lotka_volterra→gray_scott→kuramoto,lotka_volterra,gray_scott,kuramoto,branching,recursive_feedback,0.9998,0.236,0.6592,1,0
lotka_volterra→gray_scott→nonlinear_oscillator,lotka_volterra,gray_scott,nonlinear_oscillator,branching,recursive_feedback,0.9994,0.29,0.5577,1,0
lotka_volterra→gray_scott→population,lotka_volterra,gray_scott,population,branching,recursive_feedback,1.0,0.196,0.56,1,0
lotka_volterra→gray_scott→replicator,lotka_volterra,gray_scott,replicator,branching,recursive_feedback,0.9977,0.1167,0.3333,1,0
lotka_volterra→kuramoto→branching,lotka_volterra,kuramoto,branching,branching,recursive_feedback,0.9997,0.2007,0.5605,1,0
lotka_volterra→kuramoto→cellular_automata,lotka_volterra,kuramoto,cellular_automata,branching,recursive_feedback,0.9989,0.1193,0.3333,1,0
lotka_volterra→kuramoto→coupled_map_lattice,lotka_volterra,kuramoto,coupled_map_lattice,branching,recursive_feedback,1.0,0.1753,0.4898,1,0
lotka_volterra→kuramoto→graph_diffusion,lotka_volterra,kuramoto,graph_diffusion,branching,recursive_feedback,0.9981,0.1193,0.3333,1,0
lotka_volterra→kuramoto→gray_scott,lotka_volterra,kuramoto,gray_scott,branching,recursive_feedback,0.9984,0.236,0.6592,1,0
lotka_volterra→kuramoto→nonlinear_oscillator,lotka_volterra,kuramoto,nonlinear_oscillator,branching,recursive_feedback,0.9997,0.2927,0.5628,1,0
lotka_volterra→kuramoto→population,lotka_volterra,kuramoto,population,branching,recursive_feedback,0.9999,0.1987,0.5549,1,0
lotka_volterra→kuramoto→replicator,lotka_volterra,kuramoto,replicator,branching,recursive_feedback,0.9984,0.1193,0.3333,1,0
cellular_automata→gray_scott→branching,cellular_automata,gray_scott,branching,branching,recursive_feedback,0.9994,0.198,0.5657,1,0
cellular_automata→gray_scott→coupled_map_lattice,cellular_automata,gray_scott,coupled_map_lattice,branching,recursive_feedback,0.9998,0.1727,0.4933,1,0
cellular_automata→gray_scott→graph_diffusion,cellular_automata,gray_scott,graph_diffusion,branching,recursive_feedback,0.9975,0.1167,0.3333,1,0
cellular_automata→gray_scott→kuramoto,cellular_automata,gray_scott,kuramoto,branching,recursive_feedback,0.9997,0.236,0.6592,1,0
cellular_automata→gray_scott→lotka_volterra,cellular_automata,gray_scott,lotka_volterra,branching,recursive_feedback,0.9987,0.1167,0.3333,1,0
cellular_automata→gray_scott→nonlinear_oscillator,cellular_automata,gray_scott,nonlinear_oscillator,branching,recursive_feedback,0.9994,0.29,0.5577,1,0
cellular_automata→gray_scott→population,cellular_automata,gray_scott,population,branching,recursive_feedback,1.0,0.196,0.56,1,0
cellular_automata→gray_scott→replicator,cellular_automata,gray_scott,replicator,branching,recursive_feedback,0.9978,0.1167,0.3333,1,0
cellular_automata→kuramoto→branching,cellular_automata,kuramoto,branching,branching,recursive_feedback,0.9994,0.2007,0.5605,1,0
