depth,sector,condition,rg_similarity,equilibrium_stability,transport_balance_index,bottleneck_equalization,recursive_flow_coherence,asymptotic_decay_suppression,equilibrium_persistence,classification
1,Antisymmetry,SourceSinkSelfCorrection,0.9266,0.9004,0.9007,0.8711,0.8677,0.8901,0.8998,EQUILIBRIUM-STABLE
2,Antisymmetry,SourceSinkSelfCorrection,0.9044,0.8701,0.894,0.8544,0.837,0.8466,0.842,EQUILIBRIUM-STABLE
4,Antisymmetry,SourceSinkSelfCorrection,0.8551,0.8369,0.8348,0.7981,0.7961,0.8026,0.8174,EQUILIBRIUM-STABLE
6,Antisymmetry,SourceSinkSelfCorrection,0.8305,0.7927,0.7953,0.7464,0.769,0.7543,0.7727,EQUILIBRIUM-STABLE
8,Antisymmetry,SourceSinkSelfCorrection,0.7725,0.7472,0.7375,0.7276,0.731,0.7199,0.7072,EQUILIBRIUM-BOUNDED
12,Antisymmetry,SourceSinkSelfCorrection,0.7005,0.6754,0.6907,0.6634,0.6365,0.6557,0.6685,EQUILIBRIUM-BOUNDED
16,Antisymmetry,SourceSinkSelfCorrection,0.6438,0.601,0.6288,0.5892,0.6003,0.5801,0.6094,EQUILIBRIUM-PARTIAL
20,Antisymmetry,SourceSinkSelfCorrection,0.5896,0.5654,0.5633,0.5605,0.5387,0.5404,0.5427,EQUILIBRIUM-PARTIAL
24,Antisymmetry,SourceSinkSelfCorrection,0.5495,0.5207,0.5361,0.5202,0.5118,0.5013,0.5113,EQUILIBRIUM-DEGRADING
32,Antisymmetry,SourceSinkSelfCorrection,0.4796,0.4567,0.4577,0.4416,0.4375,0.4365,0.4437,EQUILIBRIUM-DEGRADING
40,Antisymmetry,SourceSinkSelfCorrection,0.4239,0.4041,0.4041,0.3995,0.3816,0.3981,0.4024,EQUILIBRIUM-DEGRADING
48,Antisymmetry,SourceSinkSelfCorrection,0.3812,0.3676,0.3633,0.3594,0.3567,0.3418,0.3563,EQUILIBRIUM-FAILED
64,Antisymmetry,SourceSinkSelfCorrection,0.3089,0.294,0.3067,0.2879,0.2946,0.2947,0.2932,EQUILIBRIUM-FAILED
80,Antisymmetry,SourceSinkSelfCorrection,0.2689,0.2609,0.2574,0.2471,0.2468,0.2466,0.2475,EQUILIBRIUM-FAILED
96,Antisymmetry,SourceSinkSelfCorrection,0.2315,0.228,0.2261,0.2219,0.2141,0.2207,0.2168,EQUILIBRIUM-FAILED
128,Antisymmetry,SourceSinkSelfCorrection,0.187,0.1767,0.1844,0.1783,0.1741,0.1723,0.1765,EQUILIBRIUM-FAILED
160,Antisymmetry,SourceSinkSelfCorrection,0.1564,0.1497,0.1513,0.143,0.1455,0.141,0.147,EQUILIBRIUM-FAILED
192,Antisymmetry,SourceSinkSelfCorrection,0.1318,0.1298,0.1299,0.1219,0.1239,0.1243,0.1256,EQUILIBRIUM-FAILED
256,Antisymmetry,SourceSinkSelfCorrection,0.1036,0.0995,0.0979,0.0972,0.0971,0.0938,0.0988,EQUILIBRIUM-FAILED
1,Antisymmetry,TransportLoadEqualization,0.9526,0.886,0.9017,0.8866,0.8656,0.8923,0.9038,EQUILIBRIUM-STABLE
2,Antisymmetry,TransportLoadEqualization,0.8975,0.8908,0.8789,0.8829,0.8671,0.8536,0.8469,EQUILIBRIUM-STABLE
4,Antisymmetry,TransportLoadEqualization,0.8576,0.8255,0.8419,0.8105,0.814,0.7937,0.8185,EQUILIBRIUM-STABLE
6,Antisymmetry,TransportLoadEqualization,0.824,0.7829,0.7689,0.7874,0.747,0.7745,0.7511,EQUILIBRIUM-STABLE
8,Antisymmetry,TransportLoadEqualization,0.7826,0.7435,0.7296,0.718,0.7343,0.7186,0.7228,EQUILIBRIUM-BOUNDED
12,Antisymmetry,TransportLoadEqualization,0.6996,0.6798,0.6842,0.6694,0.6485,0.6418,0.6573,EQUILIBRIUM-BOUNDED
16,Antisymmetry,TransportLoadEqualization,0.6298,0.6105,0.6247,0.6101,0.5949,0.6092,0.6014,EQUILIBRIUM-PARTIAL
20,Antisymmetry,TransportLoadEqualization,0.5761,0.5542,0.5717,0.558,0.5622,0.5631,0.5604,EQUILIBRIUM-PARTIAL
24,Antisymmetry,TransportLoadEqualization,0.5535,0.5208,0.5259,0.519,0.5081,0.5065,0.5154,EQUILIBRIUM-DEGRADING
32,Antisymmetry,TransportLoadEqualization,0.4819,0.4511,0.4536,0.4483,0.4511,0.4497,0.4405,EQUILIBRIUM-DEGRADING
40,Antisymmetry,TransportLoadEqualization,0.4256,0.4061,0.3986,0.4022,0.3949,0.3978,0.3866,EQUILIBRIUM-DEGRADING
48,Antisymmetry,TransportLoadEqualization,0.3792,0.356,0.3642,0.3507,0.3547,0.3577,0.3537,EQUILIBRIUM-FAILED
64,Antisymmetry,TransportLoadEqualization,0.311,0.2982,0.296,0.3032,0.2933,0.2878,0.2908,EQUILIBRIUM-FAILED
80,Antisymmetry,TransportLoadEqualization,0.2625,0.2603,0.2539,0.2542,0.2468,0.2509,0.2556,EQUILIBRIUM-FAILED
96,Antisymmetry,TransportLoadEqualization,0.2356,0.2289,0.2236,0.2236,0.2229,0.221,0.2232,EQUILIBRIUM-FAILED
128,Antisymmetry,TransportLoadEqualization,0.183,0.1766,0.1787,0.1772,0.1748,0.1782,0.1742,EQUILIBRIUM-FAILED
160,Antisymmetry,TransportLoadEqualization,0.1532,0.1517,0.1459,0.1487,0.1463,0.1433,0.1438,EQUILIBRIUM-FAILED
192,Antisymmetry,TransportLoadEqualization,0.1303,0.1292,0.1264,0.1278,0.1219,0.124,0.1231,EQUILIBRIUM-FAILED
256,Antisymmetry,TransportLoadEqualization,0.1047,0.0972,0.0985,0.0968,0.0962,0.0954,0.0988,EQUILIBRIUM-FAILED
1,Antisymmetry,PerturbationEquilibriumRecovery,0.9339,0.899,0.9007,0.8865,0.8628,0.8576,0.905,EQUILIBRIUM-STABLE
2,Antisymmetry,PerturbationEquilibriumRecovery,0.8896,0.8621,0.8706,0.8587,0.8484,0.8313,0.8788,EQUILIBRIUM-STABLE
4,Antisymmetry,PerturbationEquilibriumRecovery,0.844,0.833,0.8125,0.7925,0.8097,0.799,0.8033,EQUILIBRIUM-STABLE
6,Antisymmetry,PerturbationEquilibriumRecovery,0.7915,0.757,0.7568,0.7602,0.7702,0.7392,0.7722,EQUILIBRIUM-STABLE
8,Antisymmetry,PerturbationEquilibriumRecovery,0.7513,0.7218,0.7295,0.7072,0.7162,0.6972,0.7411,EQUILIBRIUM-BOUNDED
12,Antisymmetry,PerturbationEquilibriumRecovery,0.697,0.6551,0.6755,0.6548,0.6528,0.6502,0.6602,EQUILIBRIUM-BOUNDED
16,Antisymmetry,PerturbationEquilibriumRecovery,0.6226,0.5925,0.6147,0.6106,0.5982,0.5969,0.6085,EQUILIBRIUM-PARTIAL
20,Antisymmetry,PerturbationEquilibriumRecovery,0.594,0.5616,0.5507,0.5443,0.5415,0.5336,0.5606,EQUILIBRIUM-PARTIAL
24,Antisymmetry,PerturbationEquilibriumRecovery,0.5317,0.5226,0.5124,0.51,0.4986,0.5042,0.5044,EQUILIBRIUM-DEGRADING
32,Antisymmetry,PerturbationEquilibriumRecovery,0.4664,0.4449,0.4397,0.446,0.4473,0.4282,0.4429,EQUILIBRIUM-DEGRADING
40,Antisymmetry,PerturbationEquilibriumRecovery,0.4172,0.3901,0.3922,0.3891,0.3815,0.3803,0.3988,EQUILIBRIUM-FAILED
48,Antisymmetry,PerturbationEquilibriumRecovery,0.3718,0.3656,0.3611,0.3511,0.3556,0.345,0.3612,EQUILIBRIUM-FAILED
64,Antisymmetry,PerturbationEquilibriumRecovery,0.3088,0.2993,0.2903,0.295,0.2958,0.2874,0.2945,EQUILIBRIUM-FAILED
80,Antisymmetry,PerturbationEquilibriumRecovery,0.2659,0.2543,0.2549,0.2566,0.25,0.2497,0.254,EQUILIBRIUM-FAILED
96,Antisymmetry,PerturbationEquilibriumRecovery,0.2273,0.2207,0.2249,0.2207,0.2207,0.2127,0.2239,EQUILIBRIUM-FAILED
128,Antisymmetry,PerturbationEquilibriumRecovery,0.1884,0.1793,0.1779,0.1777,0.1697,0.167,0.1753,EQUILIBRIUM-FAILED
160,Antisymmetry,PerturbationEquilibriumRecovery,0.1506,0.1491,0.1478,0.148,0.1446,0.1427,0.1467,EQUILIBRIUM-FAILED
192,Antisymmetry,PerturbationEquilibriumRecovery,0.1308,0.1253,0.1259,0.1273,0.1218,0.1194,0.1241,EQUILIBRIUM-FAILED
256,Antisymmetry,PerturbationEquilibriumRecovery,0.1007,0.0998,0.0974,0.0984,0.0947,0.0943,0.0977,EQUILIBRIUM-FAILED
1,Antisymmetry,NullEquilibriumControl,0.7324,0.7172,0.7309,0.7395,0.692,0.6927,0.7027,EQUILIBRIUM-BOUNDED
2,Antisymmetry,NullEquilibriumControl,0.7158,0.7083,0.7155,0.7156,0.6845,0.6872,0.678,EQUILIBRIUM-BOUNDED
4,Antisymmetry,NullEquilibriumControl,0.6832,0.6555,0.6734,0.6826,0.6592,0.6444,0.6634,EQUILIBRIUM-BOUNDED
6,Antisymmetry,NullEquilibriumControl,0.6648,0.6483,0.6394,0.6401,0.6084,0.611,0.6144,EQUILIBRIUM-PARTIAL
8,Antisymmetry,NullEquilibriumControl,0.6187,0.593,0.6049,0.6046,0.589,0.5842,0.5984,EQUILIBRIUM-PARTIAL
12,Antisymmetry,NullEquilibriumControl,0.5457,0.5415,0.543,0.5452,0.5327,0.5062,0.5259,EQUILIBRIUM-DEGRADING
16,Antisymmetry,NullEquilibriumControl,0.5121,0.5048,0.4975,0.4886,0.4649,0.4696,0.4903,EQUILIBRIUM-DEGRADING
20,Antisymmetry,NullEquilibriumControl,0.4569,0.4588,0.4541,0.4505,0.43,0.4285,0.4418,EQUILIBRIUM-DEGRADING
24,Antisymmetry,NullEquilibriumControl,0.4334,0.4319,0.4186,0.419,0.4088,0.391,0.4143,EQUILIBRIUM-DEGRADING
32,Antisymmetry,NullEquilibriumControl,0.3845,0.3738,0.3733,0.3679,0.3583,0.3546,0.3502,EQUILIBRIUM-FAILED
40,Antisymmetry,NullEquilibriumControl,0.3373,0.3264,0.3243,0.3188,0.3059,0.3162,0.3098,EQUILIBRIUM-FAILED
48,Antisymmetry,NullEquilibriumControl,0.3068,0.2949,0.2955,0.2918,0.2771,0.2826,0.2843,EQUILIBRIUM-FAILED
64,Antisymmetry,NullEquilibriumControl,0.2493,0.2454,0.2457,0.2399,0.2302,0.2329,0.2357,EQUILIBRIUM-FAILED
80,Antisymmetry,NullEquilibriumControl,0.2127,0.2107,0.2027,0.2043,0.2,0.2018,0.1972,EQUILIBRIUM-FAILED
96,Antisymmetry,NullEquilibriumControl,0.1854,0.1815,0.1778,0.1797,0.1773,0.177,0.179,EQUILIBRIUM-FAILED
128,Antisymmetry,NullEquilibriumControl,0.1466,0.1456,0.1399,0.1458,0.1385,0.1356,0.1421,EQUILIBRIUM-FAILED
160,Antisymmetry,NullEquilibriumControl,0.1243,0.1213,0.1171,0.1224,0.1147,0.1125,0.1162,EQUILIBRIUM-FAILED
192,Antisymmetry,NullEquilibriumControl,0.1042,0.1017,0.101,0.1025,0.0966,0.0964,0.1032,EQUILIBRIUM-FAILED
256,Antisymmetry,NullEquilibriumControl,0.0826,0.0806,0.08,0.0798,0.0764,0.0765,0.0779,EQUILIBRIUM-FAILED
1,Neutral,EquilibriumConvergenceAnalysis,0.8963,0.8503,0.8425,0.8329,0.8179,0.8063,0.8068,EQUILIBRIUM-STABLE
2,Neutral,EquilibriumConvergenceAnalysis,0.8421,0.845,0.8033,0.819,0.7723,0.7719,0.8191,EQUILIBRIUM-STABLE
4,Neutral,EquilibriumConvergenceAnalysis,0.825,0.7732,0.7645,0.7446,0.7395,0.7507,0.7569,EQUILIBRIUM-STABLE
6,Neutral,EquilibriumConvergenceAnalysis,0.7798,0.7441,0.7272,0.7012,0.7058,0.7189,0.7121,EQUILIBRIUM-BOUNDED
8,Neutral,EquilibriumConvergenceAnalysis,0.7134,0.6891,0.6992,0.6868,0.6663,0.6694,0.6599,EQUILIBRIUM-BOUNDED
12,Neutral,EquilibriumConvergenceAnalysis,0.642,0.6389,0.6197,0.6057,0.6156,0.6115,0.6223,EQUILIBRIUM-PARTIAL
16,Neutral,EquilibriumConvergenceAnalysis,0.6116,0.5871,0.5618,0.5703,0.5429,0.5556,0.5633,EQUILIBRIUM-PARTIAL
20,Neutral,EquilibriumConvergenceAnalysis,0.562,0.5314,0.5366,0.5083,0.516,0.5126,0.5068,EQUILIBRIUM-DEGRADING
24,Neutral,EquilibriumConvergenceAnalysis,0.5148,0.4922,0.4906,0.474,0.4735,0.4771,0.4751,EQUILIBRIUM-DEGRADING
32,Neutral,EquilibriumConvergenceAnalysis,0.4547,0.4313,0.4336,0.4166,0.4106,0.4183,0.4131,EQUILIBRIUM-DEGRADING
40,Neutral,EquilibriumConvergenceAnalysis,0.4015,0.3811,0.3762,0.3728,0.3547,0.3567,0.3717,EQUILIBRIUM-FAILED
48,Neutral,EquilibriumConvergenceAnalysis,0.3522,0.3478,0.3396,0.3252,0.3272,0.3184,0.3233,EQUILIBRIUM-FAILED
64,Neutral,EquilibriumConvergenceAnalysis,0.2912,0.2881,0.2868,0.2734,0.2741,0.2643,0.273,EQUILIBRIUM-FAILED
80,Neutral,EquilibriumConvergenceAnalysis,0.2521,0.2387,0.2419,0.2302,0.2306,0.2262,0.2311,EQUILIBRIUM-FAILED
96,Neutral,EquilibriumConvergenceAnalysis,0.2173,0.2158,0.2065,0.2005,0.2027,0.2065,0.2025,EQUILIBRIUM-FAILED
128,Neutral,EquilibriumConvergenceAnalysis,0.1782,0.1672,0.1631,0.166,0.1579,0.1606,0.1623,EQUILIBRIUM-FAILED
160,Neutral,EquilibriumConvergenceAnalysis,0.1474,0.1432,0.141,0.1335,0.1363,0.1334,0.1362,EQUILIBRIUM-FAILED
192,Neutral,EquilibriumConvergenceAnalysis,0.1267,0.123,0.1173,0.1148,0.1119,0.1153,0.1178,EQUILIBRIUM-FAILED
256,Neutral,EquilibriumConvergenceAnalysis,0.0979,0.0939,0.0916,0.0923,0.0903,0.0911,0.0922,EQUILIBRIUM-FAILED
1,Neutral,AdaptiveBottleneckBalancing,0.8746,0.8699,0.8607,0.841,0.8085,0.8139,0.8441,EQUILIBRIUM-STABLE
2,Neutral,AdaptiveBottleneckBalancing,0.8668,0.8455,0.8102,0.8001,0.8079,0.8021,0.796,EQUILIBRIUM-STABLE
4,Neutral,AdaptiveBottleneckBalancing,0.8031,0.799,0.7602,0.7664,0.7587,0.7335,0.7639,EQUILIBRIUM-STABLE
6,Neutral,AdaptiveBottleneckBalancing,0.782,0.7563,0.7441,0.7413,0.7109,0.7121,0.7081,EQUILIBRIUM-BOUNDED
8,Neutral,AdaptiveBottleneckBalancing,0.7263,0.7187,0.6969,0.6853,0.6689,0.6501,0.6853,EQUILIBRIUM-BOUNDED
12,Neutral,AdaptiveBottleneckBalancing,0.6666,0.6477,0.6359,0.6319,0.6098,0.5988,0.6316,EQUILIBRIUM-PARTIAL
16,Neutral,AdaptiveBottleneckBalancing,0.6054,0.587,0.5625,0.5641,0.5589,0.5456,0.5765,EQUILIBRIUM-PARTIAL
20,Neutral,AdaptiveBottleneckBalancing,0.5628,0.5409,0.5266,0.5149,0.525,0.5147,0.5098,EQUILIBRIUM-DEGRADING
24,Neutral,AdaptiveBottleneckBalancing,0.5151,0.4972,0.4908,0.4886,0.4759,0.4673,0.4733,EQUILIBRIUM-DEGRADING
32,Neutral,AdaptiveBottleneckBalancing,0.446,0.4382,0.4245,0.4287,0.4167,0.4022,0.4286,EQUILIBRIUM-DEGRADING
40,Neutral,AdaptiveBottleneckBalancing,0.3975,0.3916,0.3797,0.3838,0.363,0.3638,0.3751,EQUILIBRIUM-FAILED
48,Neutral,AdaptiveBottleneckBalancing,0.3582,0.3451,0.3363,0.3383,0.3268,0.3229,0.3375,EQUILIBRIUM-FAILED
64,Neutral,AdaptiveBottleneckBalancing,0.2913,0.2857,0.2775,0.2754,0.2749,0.2745,0.2778,EQUILIBRIUM-FAILED
80,Neutral,AdaptiveBottleneckBalancing,0.2501,0.2455,0.2341,0.2424,0.2349,0.228,0.2347,EQUILIBRIUM-FAILED
96,Neutral,AdaptiveBottleneckBalancing,0.2176,0.2117,0.2105,0.2134,0.2055,0.2027,0.2084,EQUILIBRIUM-FAILED
128,Neutral,AdaptiveBottleneckBalancing,0.1794,0.1695,0.1634,0.1695,0.1611,0.1637,0.1687,EQUILIBRIUM-FAILED
160,Neutral,AdaptiveBottleneckBalancing,0.1448,0.139,0.1413,0.142,0.1377,0.134,0.1352,EQUILIBRIUM-FAILED
192,Neutral,AdaptiveBottleneckBalancing,0.1245,0.1243,0.1164,0.1173,0.1145,0.1126,0.1183,EQUILIBRIUM-FAILED
256,Neutral,AdaptiveBottleneckBalancing,0.0965,0.0961,0.0929,0.0919,0.0901,0.0898,0.0922,EQUILIBRIUM-FAILED
1,Neutral,RecursiveFlowRedistribution,0.888,0.841,0.8599,0.8471,0.8541,0.813,0.8227,EQUILIBRIUM-STABLE
2,Neutral,RecursiveFlowRedistribution,0.8547,0.8374,0.8167,0.8164,0.7907,0.7712,0.8213,EQUILIBRIUM-STABLE
4,Neutral,RecursiveFlowRedistribution,0.8017,0.7677,0.7797,0.7479,0.7692,0.7304,0.7619,EQUILIBRIUM-STABLE
6,Neutral,RecursiveFlowRedistribution,0.7759,0.7365,0.7343,0.729,0.7365,0.6888,0.7309,EQUILIBRIUM-BOUNDED
8,Neutral,RecursiveFlowRedistribution,0.7336,0.6937,0.7038,0.6967,0.6736,0.6492,0.6704,EQUILIBRIUM-BOUNDED
12,Neutral,RecursiveFlowRedistribution,0.6519,0.6267,0.6363,0.6101,0.6272,0.6099,0.6079,EQUILIBRIUM-PARTIAL
16,Neutral,RecursiveFlowRedistribution,0.5874,0.5746,0.563,0.5664,0.5643,0.5412,0.5698,EQUILIBRIUM-PARTIAL
20,Neutral,RecursiveFlowRedistribution,0.5498,0.5335,0.5335,0.5204,0.5158,0.4991,0.5162,EQUILIBRIUM-DEGRADING
24,Neutral,RecursiveFlowRedistribution,0.5108,0.4994,0.4969,0.4757,0.4727,0.4606,0.471,EQUILIBRIUM-DEGRADING
32,Neutral,RecursiveFlowRedistribution,0.4501,0.436,0.4185,0.4269,0.4283,0.4138,0.4182,EQUILIBRIUM-DEGRADING
40,Neutral,RecursiveFlowRedistribution,0.4006,0.3877,0.3844,0.3705,0.3724,0.3623,0.3788,EQUILIBRIUM-FAILED
48,Neutral,RecursiveFlowRedistribution,0.3473,0.3379,0.3371,0.3386,0.3306,0.3201,0.3284,EQUILIBRIUM-FAILED
64,Neutral,RecursiveFlowRedistribution,0.298,0.2826,0.2822,0.2799,0.2773,0.272,0.2785,EQUILIBRIUM-FAILED
80,Neutral,RecursiveFlowRedistribution,0.2512,0.2387,0.2408,0.2413,0.2347,0.2228,0.2315,EQUILIBRIUM-FAILED
96,Neutral,RecursiveFlowRedistribution,0.2136,0.2073,0.2116,0.207,0.2108,0.1958,0.2024,EQUILIBRIUM-FAILED
128,Neutral,RecursiveFlowRedistribution,0.1701,0.1698,0.1707,0.1646,0.1687,0.1575,0.1639,EQUILIBRIUM-FAILED
160,Neutral,RecursiveFlowRedistribution,0.142,0.1395,0.1406,0.1394,0.1354,0.1302,0.1382,EQUILIBRIUM-FAILED
192,Neutral,RecursiveFlowRedistribution,0.1211,0.1227,0.1161,0.1154,0.1154,0.1116,0.1171,EQUILIBRIUM-FAILED
256,Neutral,RecursiveFlowRedistribution,0.0959,0.0922,0.0939,0.092,0.0906,0.0898,0.0926,EQUILIBRIUM-FAILED
1,Neutral,SourceSinkSelfCorrection,0.8871,0.841,0.8563,0.8298,0.8175,0.8157,0.8316,EQUILIBRIUM-STABLE
2,Neutral,SourceSinkSelfCorrection,0.8384,0.811,0.8113,0.7881,0.7987,0.7811,0.818,EQUILIBRIUM-STABLE
4,Neutral,SourceSinkSelfCorrection,0.7866,0.7762,0.7688,0.7478,0.7424,0.7262,0.7389,EQUILIBRIUM-STABLE
6,Neutral,SourceSinkSelfCorrection,0.7708,0.7211,0.7204,0.6968,0.7122,0.699,0.727,EQUILIBRIUM-BOUNDED
8,Neutral,SourceSinkSelfCorrection,0.7068,0.7024,0.7133,0.6898,0.6685,0.6672,0.6628,EQUILIBRIUM-BOUNDED
12,Neutral,SourceSinkSelfCorrection,0.6422,0.6385,0.637,0.6242,0.6016,0.6139,0.6129,EQUILIBRIUM-PARTIAL
16,Neutral,SourceSinkSelfCorrection,0.5792,0.5739,0.5868,0.5575,0.5582,0.5521,0.5569,EQUILIBRIUM-PARTIAL
20,Neutral,SourceSinkSelfCorrection,0.5541,0.5224,0.5251,0.5212,0.4984,0.5155,0.5166,EQUILIBRIUM-DEGRADING
24,Neutral,SourceSinkSelfCorrection,0.4951,0.4823,0.4913,0.4847,0.4586,0.4703,0.4697,EQUILIBRIUM-DEGRADING
32,Neutral,SourceSinkSelfCorrection,0.4308,0.4272,0.4344,0.4215,0.4139,0.4181,0.4102,EQUILIBRIUM-DEGRADING
40,Neutral,SourceSinkSelfCorrection,0.3815,0.3786,0.3777,0.3668,0.3662,0.3599,0.3623,EQUILIBRIUM-FAILED
48,Neutral,SourceSinkSelfCorrection,0.3498,0.3393,0.3462,0.3294,0.3277,0.3276,0.3242,EQUILIBRIUM-FAILED
64,Neutral,SourceSinkSelfCorrection,0.2958,0.2808,0.279,0.2693,0.2707,0.2703,0.2718,EQUILIBRIUM-FAILED
80,Neutral,SourceSinkSelfCorrection,0.2442,0.244,0.2375,0.2346,0.2299,0.2368,0.2289,EQUILIBRIUM-FAILED
96,Neutral,SourceSinkSelfCorrection,0.2212,0.2114,0.2104,0.201,0.2009,0.2056,0.2065,EQUILIBRIUM-FAILED
128,Neutral,SourceSinkSelfCorrection,0.1694,0.1656,0.1693,0.1624,0.1588,0.1637,0.1647,EQUILIBRIUM-FAILED
160,Neutral,SourceSinkSelfCorrection,0.1436,0.1409,0.1402,0.1359,0.1333,0.1372,0.1384,EQUILIBRIUM-FAILED
192,Neutral,SourceSinkSelfCorrection,0.1221,0.1204,0.1175,0.1175,0.1173,0.1166,0.1152,EQUILIBRIUM-FAILED
256,Neutral,SourceSinkSelfCorrection,0.0956,0.0922,0.0921,0.0906,0.0899,0.0881,0.0902,EQUILIBRIUM-FAILED
1,Neutral,TransportLoadEqualization,0.89,0.8278,0.8563,0.8486,0.8148,0.8057,0.8337,EQUILIBRIUM-STABLE
2,Neutral,TransportLoadEqualization,0.837,0.8354,0.8205,0.7984,0.7875,0.7865,0.7897,EQUILIBRIUM-STABLE
4,Neutral,TransportLoadEqualization,0.7896,0.7827,0.7784,0.7621,0.7623,0.7453,0.7354,EQUILIBRIUM-STABLE
6,Neutral,TransportLoadEqualization,0.7453,0.7434,0.7203,0.7264,0.7038,0.718,0.7089,EQUILIBRIUM-BOUNDED
8,Neutral,TransportLoadEqualization,0.7264,0.7006,0.7066,0.6868,0.6618,0.6781,0.6667,EQUILIBRIUM-BOUNDED
12,Neutral,TransportLoadEqualization,0.6408,0.625,0.63,0.6184,0.6184,0.6097,0.6181,EQUILIBRIUM-PARTIAL
16,Neutral,TransportLoadEqualization,0.5915,0.5668,0.568,0.5541,0.5482,0.5574,0.5675,EQUILIBRIUM-PARTIAL
20,Neutral,TransportLoadEqualization,0.5402,0.5286,0.5184,0.5285,0.5041,0.5238,0.5149,EQUILIBRIUM-DEGRADING
24,Neutral,TransportLoadEqualization,0.4914,0.4899,0.4928,0.4819,0.4692,0.4663,0.4777,EQUILIBRIUM-DEGRADING
32,Neutral,TransportLoadEqualization,0.4433,0.4202,0.4226,0.4097,0.4222,0.4211,0.4058,EQUILIBRIUM-DEGRADING
40,Neutral,TransportLoadEqualization,0.3859,0.373,0.3824,0.3649,0.3611,0.3622,0.3594,EQUILIBRIUM-FAILED
48,Neutral,TransportLoadEqualization,0.3405,0.34,0.3306,0.3321,0.3266,0.3349,0.3291,EQUILIBRIUM-FAILED
64,Neutral,TransportLoadEqualization,0.295,0.2821,0.2819,0.2813,0.2769,0.2732,0.277,EQUILIBRIUM-FAILED
80,Neutral,TransportLoadEqualization,0.2469,0.2389,0.2387,0.2373,0.2391,0.2384,0.2292,EQUILIBRIUM-FAILED
96,Neutral,TransportLoadEqualization,0.2202,0.2056,0.208,0.2082,0.2089,0.2004,0.2065,EQUILIBRIUM-FAILED
128,Neutral,TransportLoadEqualization,0.1684,0.1635,0.169,0.1644,0.1643,0.1617,0.16,EQUILIBRIUM-FAILED
160,Neutral,TransportLoadEqualization,0.1445,0.1414,0.1397,0.1396,0.1379,0.137,0.1353,EQUILIBRIUM-FAILED
192,Neutral,TransportLoadEqualization,0.1227,0.1164,0.1204,0.1185,0.1173,0.1158,0.1138,EQUILIBRIUM-FAILED
256,Neutral,TransportLoadEqualization,0.0965,0.0928,0.0918,0.0931,0.0893,0.0918,0.0905,EQUILIBRIUM-FAILED
1,Neutral,PerturbationEquilibriumRecovery,0.88,0.8186,0.821,0.8213,0.823,0.8109,0.8299,EQUILIBRIUM-STABLE
2,Neutral,PerturbationEquilibriumRecovery,0.8463,0.8162,0.8183,0.7895,0.7726,0.775,0.8286,EQUILIBRIUM-STABLE
4,Neutral,PerturbationEquilibriumRecovery,0.7847,0.7723,0.766,0.7618,0.7353,0.7481,0.7646,EQUILIBRIUM-STABLE
6,Neutral,PerturbationEquilibriumRecovery,0.7514,0.7042,0.7116,0.7056,0.6943,0.687,0.7163,EQUILIBRIUM-BOUNDED
8,Neutral,PerturbationEquilibriumRecovery,0.6994,0.6854,0.678,0.6889,0.673,0.6655,0.684,EQUILIBRIUM-BOUNDED
12,Neutral,PerturbationEquilibriumRecovery,0.6282,0.6037,0.6066,0.6116,0.595,0.6051,0.6328,EQUILIBRIUM-PARTIAL
16,Neutral,PerturbationEquilibriumRecovery,0.585,0.568,0.5686,0.5662,0.5592,0.5516,0.5748,EQUILIBRIUM-PARTIAL
20,Neutral,PerturbationEquilibriumRecovery,0.5485,0.5269,0.5161,0.5163,0.5025,0.4893,0.5285,EQUILIBRIUM-DEGRADING
24,Neutral,PerturbationEquilibriumRecovery,0.508,0.472,0.4823,0.4786,0.4679,0.4622,0.4702,EQUILIBRIUM-DEGRADING
32,Neutral,PerturbationEquilibriumRecovery,0.4339,0.4252,0.4136,0.406,0.4028,0.412,0.4269,EQUILIBRIUM-DEGRADING
40,Neutral,PerturbationEquilibriumRecovery,0.3872,0.3778,0.3775,0.3655,0.3541,0.3504,0.3804,EQUILIBRIUM-FAILED
48,Neutral,PerturbationEquilibriumRecovery,0.3515,0.3319,0.3415,0.3336,0.3182,0.3281,0.3329,EQUILIBRIUM-FAILED
64,Neutral,PerturbationEquilibriumRecovery,0.2873,0.2825,0.282,0.2734,0.2644,0.2726,0.281,EQUILIBRIUM-FAILED
80,Neutral,PerturbationEquilibriumRecovery,0.244,0.2366,0.2333,0.2297,0.2297,0.2284,0.2341,EQUILIBRIUM-FAILED
96,Neutral,PerturbationEquilibriumRecovery,0.2103,0.2081,0.2068,0.2044,0.2007,0.1955,0.2051,EQUILIBRIUM-FAILED
128,Neutral,PerturbationEquilibriumRecovery,0.174,0.1669,0.1674,0.1653,0.1646,0.1593,0.1658,EQUILIBRIUM-FAILED
160,Neutral,PerturbationEquilibriumRecovery,0.1419,0.1346,0.1352,0.1346,0.1361,0.1352,0.1396,EQUILIBRIUM-FAILED
192,Neutral,PerturbationEquilibriumRecovery,0.1244,0.1195,0.1183,0.114,0.1126,0.1112,0.1202,EQUILIBRIUM-FAILED
256,Neutral,PerturbationEquilibriumRecovery,0.0932,0.0895,0.093,0.092,0.0877,0.0868,0.0932,EQUILIBRIUM-FAILED
