depth,sector,condition,rg_similarity,abstraction_coherence,meta_model_fidelity,cross_model_integration,recursive_abstraction_persistence,predictive_abstraction_gain,higher_order_stabilization_strength,classification
1024,Projection,NullAbstractionControl,0.2077,0.2098,0.2104,0.2063,0.2006,0.2037,0.2035,ABSTRACTION-FAILED
1536,Projection,NullAbstractionControl,0.1534,0.1513,0.1543,0.1529,0.1485,0.1489,0.1517,ABSTRACTION-FAILED
2048,Projection,NullAbstractionControl,0.1179,0.1207,0.1208,0.1205,0.1135,0.1135,0.1151,ABSTRACTION-FAILED
3072,Projection,NullAbstractionControl,0.0836,0.0841,0.0841,0.0832,0.0792,0.0786,0.0804,ABSTRACTION-FAILED
4096,Projection,NullAbstractionControl,0.0663,0.0634,0.0644,0.0659,0.0634,0.0627,0.0622,ABSTRACTION-FAILED
6144,Projection,NullAbstractionControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
8192,Projection,NullAbstractionControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Projection,NullAbstractionControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Projection,NullAbstractionControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Antisymmetry,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Antisymmetry,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Antisymmetry,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Antisymmetry,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Antisymmetry,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Antisymmetry,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Antisymmetry,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Antisymmetry,MetaModelExtraction,0.96,0.937,0.93,0.9186,0.9022,0.9,0.92,ABSTRACTION-STABLE
24,Antisymmetry,MetaModelExtraction,0.96,0.94,0.93,0.919,0.91,0.9,0.9015,ABSTRACTION-STABLE
32,Antisymmetry,MetaModelExtraction,0.9336,0.9024,0.8982,0.9084,0.8929,0.9,0.8848,ABSTRACTION-BOUNDED
40,Antisymmetry,MetaModelExtraction,0.913,0.9155,0.8984,0.8635,0.8514,0.8636,0.8645,ABSTRACTION-BOUNDED
48,Antisymmetry,MetaModelExtraction,0.9061,0.8647,0.8854,0.855,0.8416,0.8476,0.8667,ABSTRACTION-BOUNDED
64,Antisymmetry,MetaModelExtraction,0.8863,0.8448,0.8312,0.8039,0.7995,0.8061,0.8296,ABSTRACTION-BOUNDED
80,Antisymmetry,MetaModelExtraction,0.8534,0.8274,0.7958,0.7898,0.7937,0.769,0.7855,ABSTRACTION-PARTIAL
96,Antisymmetry,MetaModelExtraction,0.7918,0.7758,0.7882,0.7647,0.7433,0.7456,0.7445,ABSTRACTION-PARTIAL
128,Antisymmetry,MetaModelExtraction,0.7388,0.7192,0.7282,0.7185,0.6912,0.6946,0.7201,ABSTRACTION-PARTIAL
160,Antisymmetry,MetaModelExtraction,0.7027,0.6696,0.682,0.6584,0.6464,0.6608,0.6632,ABSTRACTION-DEGRADING
192,Antisymmetry,MetaModelExtraction,0.6615,0.6269,0.6309,0.6104,0.6127,0.6254,0.6225,ABSTRACTION-DEGRADING
256,Antisymmetry,MetaModelExtraction,0.5957,0.5723,0.5552,0.5442,0.5399,0.5579,0.5628,ABSTRACTION-DEGRADING
320,Antisymmetry,MetaModelExtraction,0.5275,0.5091,0.5027,0.4909,0.4892,0.5003,0.5064,ABSTRACTION-FAILED
512,Antisymmetry,MetaModelExtraction,0.4026,0.4007,0.3852,0.3809,0.3838,0.3833,0.3863,ABSTRACTION-FAILED
768,Antisymmetry,MetaModelExtraction,0.311,0.3093,0.3039,0.2973,0.2957,0.2874,0.2973,ABSTRACTION-FAILED
1024,Antisymmetry,MetaModelExtraction,0.255,0.2466,0.248,0.2375,0.2335,0.2414,0.238,ABSTRACTION-FAILED
1536,Antisymmetry,MetaModelExtraction,0.185,0.1784,0.1767,0.1711,0.1721,0.1722,0.1752,ABSTRACTION-FAILED
2048,Antisymmetry,MetaModelExtraction,0.1446,0.1406,0.1396,0.1361,0.1356,0.1368,0.1381,ABSTRACTION-FAILED
3072,Antisymmetry,MetaModelExtraction,0.1014,0.0972,0.099,0.0961,0.095,0.0942,0.0945,ABSTRACTION-FAILED
4096,Antisymmetry,MetaModelExtraction,0.0794,0.0761,0.0749,0.0741,0.0738,0.0722,0.0729,ABSTRACTION-FAILED
6144,Antisymmetry,MetaModelExtraction,0.0524,0.051,0.052,0.051,0.05,0.0504,0.05,ABSTRACTION-FAILED
8192,Antisymmetry,MetaModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Antisymmetry,MetaModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Antisymmetry,MetaModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Antisymmetry,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Antisymmetry,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Antisymmetry,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Antisymmetry,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Antisymmetry,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Antisymmetry,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Antisymmetry,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Antisymmetry,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.9137,ABSTRACTION-STABLE
24,Antisymmetry,AbstractionCoherenceAnalysis,0.96,0.9327,0.93,0.92,0.9082,0.8988,0.92,ABSTRACTION-STABLE
32,Antisymmetry,AbstractionCoherenceAnalysis,0.9534,0.9328,0.928,0.8891,0.8789,0.8946,0.8865,ABSTRACTION-STABLE
40,Antisymmetry,AbstractionCoherenceAnalysis,0.9228,0.8996,0.8797,0.8949,0.8798,0.8516,0.878,ABSTRACTION-BOUNDED
48,Antisymmetry,AbstractionCoherenceAnalysis,0.92,0.9015,0.881,0.8748,0.8533,0.8399,0.8682,ABSTRACTION-BOUNDED
64,Antisymmetry,AbstractionCoherenceAnalysis,0.8691,0.8586,0.8312,0.8314,0.8327,0.7985,0.834,ABSTRACTION-BOUNDED
80,Antisymmetry,AbstractionCoherenceAnalysis,0.8372,0.8275,0.796,0.8073,0.7777,0.7669,0.8123,ABSTRACTION-PARTIAL
96,Antisymmetry,AbstractionCoherenceAnalysis,0.816,0.798,0.7864,0.7593,0.7475,0.764,0.7553,ABSTRACTION-PARTIAL
128,Antisymmetry,AbstractionCoherenceAnalysis,0.742,0.7261,0.7135,0.7241,0.7009,0.7124,0.7146,ABSTRACTION-PARTIAL
160,Antisymmetry,AbstractionCoherenceAnalysis,0.701,0.6786,0.6809,0.6732,0.6669,0.654,0.6651,ABSTRACTION-DEGRADING
192,Antisymmetry,AbstractionCoherenceAnalysis,0.6677,0.6473,0.6305,0.6157,0.6212,0.6241,0.6314,ABSTRACTION-DEGRADING
256,Antisymmetry,AbstractionCoherenceAnalysis,0.5915,0.5693,0.5747,0.5586,0.546,0.5382,0.5648,ABSTRACTION-DEGRADING
320,Antisymmetry,AbstractionCoherenceAnalysis,0.5253,0.5253,0.4996,0.5047,0.507,0.4913,0.5095,ABSTRACTION-FAILED
512,Antisymmetry,AbstractionCoherenceAnalysis,0.4074,0.3953,0.3859,0.3929,0.3918,0.3753,0.3915,ABSTRACTION-FAILED
768,Antisymmetry,AbstractionCoherenceAnalysis,0.3169,0.3039,0.2982,0.2944,0.2989,0.2877,0.3014,ABSTRACTION-FAILED
1024,Antisymmetry,AbstractionCoherenceAnalysis,0.2573,0.2449,0.2462,0.2396,0.2406,0.2371,0.241,ABSTRACTION-FAILED
1536,Antisymmetry,AbstractionCoherenceAnalysis,0.1861,0.1778,0.1803,0.1787,0.1734,0.1741,0.1726,ABSTRACTION-FAILED
2048,Antisymmetry,AbstractionCoherenceAnalysis,0.1439,0.1399,0.1384,0.1396,0.1372,0.1342,0.1354,ABSTRACTION-FAILED
3072,Antisymmetry,AbstractionCoherenceAnalysis,0.102,0.0999,0.0972,0.0957,0.0946,0.0951,0.0976,ABSTRACTION-FAILED
4096,Antisymmetry,AbstractionCoherenceAnalysis,0.0774,0.0775,0.0737,0.073,0.0748,0.072,0.0747,ABSTRACTION-FAILED
6144,Antisymmetry,AbstractionCoherenceAnalysis,0.0526,0.0528,0.0506,0.05,0.0511,0.05,0.0501,ABSTRACTION-FAILED
8192,Antisymmetry,AbstractionCoherenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Antisymmetry,AbstractionCoherenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Antisymmetry,AbstractionCoherenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Antisymmetry,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Antisymmetry,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Antisymmetry,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Antisymmetry,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Antisymmetry,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Antisymmetry,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Antisymmetry,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Antisymmetry,CrossModelIntegrationMapping,0.9581,0.9333,0.9221,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
24,Antisymmetry,CrossModelIntegrationMapping,0.955,0.9287,0.9121,0.92,0.91,0.8754,0.92,ABSTRACTION-STABLE
32,Antisymmetry,CrossModelIntegrationMapping,0.9311,0.9272,0.9191,0.9065,0.8871,0.8827,0.8935,ABSTRACTION-STABLE
40,Antisymmetry,CrossModelIntegrationMapping,0.9236,0.8827,0.8932,0.8864,0.8718,0.8723,0.8708,ABSTRACTION-BOUNDED
48,Antisymmetry,CrossModelIntegrationMapping,0.8914,0.8839,0.8575,0.8676,0.8511,0.8474,0.8555,ABSTRACTION-BOUNDED
64,Antisymmetry,CrossModelIntegrationMapping,0.8644,0.8327,0.8278,0.8497,0.8092,0.7976,0.8143,ABSTRACTION-BOUNDED
80,Antisymmetry,CrossModelIntegrationMapping,0.8413,0.7993,0.8128,0.8161,0.7688,0.7883,0.7858,ABSTRACTION-PARTIAL
96,Antisymmetry,CrossModelIntegrationMapping,0.8008,0.7756,0.7641,0.7616,0.7403,0.7427,0.7681,ABSTRACTION-PARTIAL
128,Antisymmetry,CrossModelIntegrationMapping,0.7481,0.7348,0.7043,0.7107,0.6847,0.6792,0.7069,ABSTRACTION-PARTIAL
160,Antisymmetry,CrossModelIntegrationMapping,0.6944,0.6865,0.6692,0.6797,0.6667,0.6545,0.6493,ABSTRACTION-DEGRADING
192,Antisymmetry,CrossModelIntegrationMapping,0.6588,0.6423,0.6214,0.6288,0.6161,0.6088,0.6296,ABSTRACTION-DEGRADING
256,Antisymmetry,CrossModelIntegrationMapping,0.5817,0.567,0.5629,0.5548,0.5495,0.5491,0.562,ABSTRACTION-DEGRADING
320,Antisymmetry,CrossModelIntegrationMapping,0.5181,0.5096,0.5107,0.5143,0.494,0.4967,0.497,ABSTRACTION-FAILED
512,Antisymmetry,CrossModelIntegrationMapping,0.4113,0.4028,0.3832,0.3856,0.3882,0.3778,0.3926,ABSTRACTION-FAILED
768,Antisymmetry,CrossModelIntegrationMapping,0.3145,0.308,0.2979,0.2982,0.2886,0.295,0.2959,ABSTRACTION-FAILED
1024,Antisymmetry,CrossModelIntegrationMapping,0.2548,0.2486,0.2395,0.2451,0.2368,0.237,0.2354,ABSTRACTION-FAILED
1536,Antisymmetry,CrossModelIntegrationMapping,0.1818,0.1825,0.1785,0.1758,0.1712,0.1705,0.1709,ABSTRACTION-FAILED
2048,Antisymmetry,CrossModelIntegrationMapping,0.1468,0.1396,0.1376,0.1401,0.1329,0.1365,0.1352,ABSTRACTION-FAILED
3072,Antisymmetry,CrossModelIntegrationMapping,0.1021,0.0974,0.0964,0.0966,0.093,0.0945,0.0936,ABSTRACTION-FAILED
4096,Antisymmetry,CrossModelIntegrationMapping,0.0772,0.0758,0.0733,0.0736,0.0741,0.0715,0.0729,ABSTRACTION-FAILED
6144,Antisymmetry,CrossModelIntegrationMapping,0.0532,0.0512,0.0505,0.0522,0.05,0.05,0.0509,ABSTRACTION-FAILED
8192,Antisymmetry,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Antisymmetry,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Antisymmetry,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Antisymmetry,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Antisymmetry,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Antisymmetry,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Antisymmetry,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Antisymmetry,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Antisymmetry,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Antisymmetry,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.9189,0.91,0.8995,0.92,ABSTRACTION-STABLE
20,Antisymmetry,RecursiveAbstractionPersistence,0.96,0.9283,0.9215,0.92,0.91,0.8983,0.92,ABSTRACTION-STABLE
24,Antisymmetry,RecursiveAbstractionPersistence,0.9535,0.9295,0.906,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
32,Antisymmetry,RecursiveAbstractionPersistence,0.9473,0.9119,0.892,0.8882,0.9078,0.8867,0.8895,ABSTRACTION-BOUNDED
40,Antisymmetry,RecursiveAbstractionPersistence,0.9347,0.8958,0.8925,0.8789,0.875,0.8587,0.8788,ABSTRACTION-BOUNDED
48,Antisymmetry,RecursiveAbstractionPersistence,0.9155,0.8774,0.8808,0.8398,0.8702,0.849,0.8612,ABSTRACTION-BOUNDED
64,Antisymmetry,RecursiveAbstractionPersistence,0.8754,0.8407,0.8209,0.8283,0.8432,0.7994,0.8251,ABSTRACTION-BOUNDED
80,Antisymmetry,RecursiveAbstractionPersistence,0.8248,0.808,0.7903,0.7969,0.7815,0.7602,0.7953,ABSTRACTION-PARTIAL
96,Antisymmetry,RecursiveAbstractionPersistence,0.7998,0.7632,0.7616,0.772,0.7732,0.7483,0.7524,ABSTRACTION-PARTIAL
128,Antisymmetry,RecursiveAbstractionPersistence,0.7395,0.7217,0.711,0.699,0.7193,0.6986,0.7174,ABSTRACTION-PARTIAL
160,Antisymmetry,RecursiveAbstractionPersistence,0.6906,0.6684,0.6749,0.6549,0.6548,0.6352,0.6582,ABSTRACTION-DEGRADING
192,Antisymmetry,RecursiveAbstractionPersistence,0.6638,0.6454,0.6248,0.6137,0.6144,0.6095,0.6155,ABSTRACTION-DEGRADING
256,Antisymmetry,RecursiveAbstractionPersistence,0.5896,0.5571,0.5491,0.5433,0.5674,0.5301,0.5564,ABSTRACTION-DEGRADING
320,Antisymmetry,RecursiveAbstractionPersistence,0.5339,0.5005,0.4935,0.4971,0.5058,0.4861,0.4956,ABSTRACTION-FAILED
512,Antisymmetry,RecursiveAbstractionPersistence,0.3991,0.3978,0.3855,0.3774,0.3856,0.3717,0.3831,ABSTRACTION-FAILED
768,Antisymmetry,RecursiveAbstractionPersistence,0.3056,0.3046,0.3037,0.2997,0.2954,0.2924,0.2941,ABSTRACTION-FAILED
1024,Antisymmetry,RecursiveAbstractionPersistence,0.2518,0.2405,0.2454,0.2405,0.2457,0.2313,0.2363,ABSTRACTION-FAILED
1536,Antisymmetry,RecursiveAbstractionPersistence,0.1801,0.1782,0.1723,0.1729,0.1776,0.1688,0.1758,ABSTRACTION-FAILED
2048,Antisymmetry,RecursiveAbstractionPersistence,0.142,0.1389,0.1384,0.1371,0.1389,0.1349,0.1381,ABSTRACTION-FAILED
3072,Antisymmetry,RecursiveAbstractionPersistence,0.1013,0.0989,0.0947,0.0939,0.0966,0.0933,0.0957,ABSTRACTION-FAILED
4096,Antisymmetry,RecursiveAbstractionPersistence,0.077,0.0754,0.0728,0.0745,0.0741,0.0726,0.072,ABSTRACTION-FAILED
6144,Antisymmetry,RecursiveAbstractionPersistence,0.0522,0.0504,0.0511,0.05,0.0514,0.05,0.0511,ABSTRACTION-FAILED
8192,Antisymmetry,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Antisymmetry,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Antisymmetry,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Antisymmetry,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Antisymmetry,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Antisymmetry,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Antisymmetry,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Antisymmetry,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Antisymmetry,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Antisymmetry,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Antisymmetry,PredictiveAbstractionGain,0.96,0.94,0.9184,0.9108,0.9009,0.9,0.92,ABSTRACTION-STABLE
24,Antisymmetry,PredictiveAbstractionGain,0.96,0.9318,0.9298,0.9,0.91,0.9,0.9086,ABSTRACTION-STABLE
32,Antisymmetry,PredictiveAbstractionGain,0.9388,0.9136,0.9079,0.8951,0.8693,0.9,0.8972,ABSTRACTION-STABLE
40,Antisymmetry,PredictiveAbstractionGain,0.926,0.8873,0.8738,0.8814,0.8592,0.8564,0.8585,ABSTRACTION-BOUNDED
48,Antisymmetry,PredictiveAbstractionGain,0.9029,0.8629,0.8549,0.8546,0.8332,0.8387,0.8468,ABSTRACTION-BOUNDED
64,Antisymmetry,PredictiveAbstractionGain,0.8601,0.8234,0.8337,0.8211,0.7959,0.8326,0.8337,ABSTRACTION-BOUNDED
80,Antisymmetry,PredictiveAbstractionGain,0.8372,0.7938,0.7965,0.7802,0.7648,0.7876,0.8009,ABSTRACTION-PARTIAL
96,Antisymmetry,PredictiveAbstractionGain,0.803,0.7717,0.7556,0.7517,0.7537,0.7658,0.7563,ABSTRACTION-PARTIAL
128,Antisymmetry,PredictiveAbstractionGain,0.7309,0.7305,0.7054,0.7046,0.6988,0.6939,0.7022,ABSTRACTION-PARTIAL
160,Antisymmetry,PredictiveAbstractionGain,0.6895,0.6824,0.6734,0.6629,0.6585,0.6572,0.6549,ABSTRACTION-DEGRADING
192,Antisymmetry,PredictiveAbstractionGain,0.6371,0.6261,0.6257,0.6084,0.617,0.6086,0.6232,ABSTRACTION-DEGRADING
256,Antisymmetry,PredictiveAbstractionGain,0.5694,0.5619,0.5533,0.5486,0.5469,0.5473,0.5497,ABSTRACTION-DEGRADING
320,Antisymmetry,PredictiveAbstractionGain,0.519,0.5015,0.5127,0.5029,0.4837,0.49,0.491,ABSTRACTION-FAILED
512,Antisymmetry,PredictiveAbstractionGain,0.4013,0.3885,0.382,0.3913,0.3833,0.3804,0.3817,ABSTRACTION-FAILED
768,Antisymmetry,PredictiveAbstractionGain,0.3117,0.3032,0.2964,0.2985,0.2878,0.296,0.301,ABSTRACTION-FAILED
1024,Antisymmetry,PredictiveAbstractionGain,0.2468,0.2492,0.2461,0.2424,0.2351,0.2387,0.2351,ABSTRACTION-FAILED
1536,Antisymmetry,PredictiveAbstractionGain,0.1831,0.1773,0.178,0.1745,0.1757,0.1707,0.175,ABSTRACTION-FAILED
2048,Antisymmetry,PredictiveAbstractionGain,0.1405,0.1381,0.1359,0.1387,0.1326,0.1344,0.1377,ABSTRACTION-FAILED
3072,Antisymmetry,PredictiveAbstractionGain,0.0992,0.0975,0.0977,0.0958,0.0931,0.0954,0.096,ABSTRACTION-FAILED
4096,Antisymmetry,PredictiveAbstractionGain,0.0782,0.074,0.0754,0.0735,0.0723,0.073,0.0749,ABSTRACTION-FAILED
6144,Antisymmetry,PredictiveAbstractionGain,0.0516,0.0512,0.05,0.05,0.05,0.05,0.0508,ABSTRACTION-FAILED
8192,Antisymmetry,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Antisymmetry,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Antisymmetry,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Antisymmetry,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Antisymmetry,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Antisymmetry,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Antisymmetry,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Antisymmetry,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Antisymmetry,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Antisymmetry,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Antisymmetry,HigherOrderStabilizationTracking,0.9583,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
24,Antisymmetry,HigherOrderStabilizationTracking,0.9515,0.9363,0.9191,0.92,0.91,0.8979,0.92,ABSTRACTION-STABLE
32,Antisymmetry,HigherOrderStabilizationTracking,0.9117,0.9153,0.92,0.9099,0.9026,0.877,0.9026,ABSTRACTION-STABLE
40,Antisymmetry,HigherOrderStabilizationTracking,0.9188,0.9003,0.9059,0.8732,0.864,0.8733,0.879,ABSTRACTION-STABLE
48,Antisymmetry,HigherOrderStabilizationTracking,0.8792,0.8553,0.8875,0.8631,0.8662,0.8541,0.8644,ABSTRACTION-BOUNDED
64,Antisymmetry,HigherOrderStabilizationTracking,0.8557,0.8366,0.8395,0.8107,0.8246,0.8035,0.8451,ABSTRACTION-BOUNDED
80,Antisymmetry,HigherOrderStabilizationTracking,0.8061,0.8161,0.8022,0.7804,0.7867,0.7786,0.7948,ABSTRACTION-BOUNDED
96,Antisymmetry,HigherOrderStabilizationTracking,0.8011,0.7622,0.7786,0.7732,0.7712,0.7421,0.7709,ABSTRACTION-PARTIAL
128,Antisymmetry,HigherOrderStabilizationTracking,0.7389,0.7281,0.7199,0.7157,0.7075,0.7026,0.7291,ABSTRACTION-PARTIAL
160,Antisymmetry,HigherOrderStabilizationTracking,0.6998,0.6724,0.6612,0.6656,0.6531,0.6417,0.6746,ABSTRACTION-DEGRADING
192,Antisymmetry,HigherOrderStabilizationTracking,0.6474,0.64,0.6313,0.6324,0.6172,0.6169,0.6382,ABSTRACTION-DEGRADING
256,Antisymmetry,HigherOrderStabilizationTracking,0.5769,0.5537,0.575,0.5491,0.5601,0.5476,0.5592,ABSTRACTION-DEGRADING
320,Antisymmetry,HigherOrderStabilizationTracking,0.5205,0.5035,0.4999,0.4963,0.5012,0.4832,0.5084,ABSTRACTION-FAILED
512,Antisymmetry,HigherOrderStabilizationTracking,0.3988,0.3976,0.3934,0.3844,0.3912,0.3782,0.397,ABSTRACTION-FAILED
768,Antisymmetry,HigherOrderStabilizationTracking,0.3118,0.2959,0.2963,0.2977,0.2975,0.2896,0.3051,ABSTRACTION-FAILED
1024,Antisymmetry,HigherOrderStabilizationTracking,0.2471,0.2417,0.2445,0.2365,0.2419,0.2325,0.2454,ABSTRACTION-FAILED
1536,Antisymmetry,HigherOrderStabilizationTracking,0.1789,0.1764,0.1749,0.1762,0.1749,0.1735,0.176,ABSTRACTION-FAILED
2048,Antisymmetry,HigherOrderStabilizationTracking,0.1439,0.138,0.1419,0.137,0.1376,0.1336,0.1385,ABSTRACTION-FAILED
3072,Antisymmetry,HigherOrderStabilizationTracking,0.0988,0.0968,0.0962,0.0946,0.0942,0.0926,0.0968,ABSTRACTION-FAILED
4096,Antisymmetry,HigherOrderStabilizationTracking,0.0778,0.0763,0.0745,0.0724,0.0723,0.0732,0.0749,ABSTRACTION-FAILED
6144,Antisymmetry,HigherOrderStabilizationTracking,0.0526,0.0522,0.0503,0.05,0.05,0.05,0.051,ABSTRACTION-FAILED
8192,Antisymmetry,HigherOrderStabilizationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Antisymmetry,HigherOrderStabilizationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Antisymmetry,HigherOrderStabilizationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Antisymmetry,NullAbstractionControl,0.8384,0.8152,0.8313,0.8155,0.8018,0.7787,0.7927,ABSTRACTION-BOUNDED
2,Antisymmetry,NullAbstractionControl,0.8194,0.8202,0.7958,0.8382,0.7785,0.7825,0.7967,ABSTRACTION-PARTIAL
