depth,sector,condition,rg_similarity,shock_absorption_index,cascade_suppression,recovery_coherence,redistribution_efficiency,equilibrium_resilience,self_healing_persistence,classification
1,Antisymmetry,AdaptiveRedistributionResponse,0.9386,0.929,0.9229,0.9034,0.91,0.8638,0.8787,RESILIENCE-STABLE
2,Antisymmetry,AdaptiveRedistributionResponse,0.9325,0.8907,0.8921,0.8875,0.861,0.8631,0.8618,RESILIENCE-STABLE
4,Antisymmetry,AdaptiveRedistributionResponse,0.8786,0.8518,0.8563,0.8389,0.839,0.8205,0.8312,RESILIENCE-STABLE
6,Antisymmetry,AdaptiveRedistributionResponse,0.847,0.7971,0.789,0.7868,0.7866,0.7636,0.7874,RESILIENCE-STABLE
8,Antisymmetry,AdaptiveRedistributionResponse,0.8062,0.768,0.755,0.7436,0.7377,0.7312,0.7377,RESILIENCE-STABLE
12,Antisymmetry,AdaptiveRedistributionResponse,0.7138,0.7071,0.6885,0.6772,0.6755,0.649,0.6858,RESILIENCE-BOUNDED
16,Antisymmetry,AdaptiveRedistributionResponse,0.6785,0.6466,0.6412,0.6359,0.6393,0.621,0.6276,RESILIENCE-PARTIAL
20,Antisymmetry,AdaptiveRedistributionResponse,0.6251,0.5854,0.5949,0.5664,0.5731,0.5707,0.5673,RESILIENCE-PARTIAL
24,Antisymmetry,AdaptiveRedistributionResponse,0.5741,0.5567,0.5534,0.5354,0.5504,0.5242,0.537,RESILIENCE-PARTIAL
32,Antisymmetry,AdaptiveRedistributionResponse,0.4982,0.4814,0.4795,0.4666,0.4746,0.4581,0.4622,RESILIENCE-DEGRADING
40,Antisymmetry,AdaptiveRedistributionResponse,0.444,0.442,0.425,0.4158,0.4224,0.4068,0.4123,RESILIENCE-DEGRADING
48,Antisymmetry,AdaptiveRedistributionResponse,0.4123,0.3917,0.3835,0.373,0.3872,0.3755,0.3831,RESILIENCE-FAILED
64,Antisymmetry,AdaptiveRedistributionResponse,0.3313,0.3229,0.3198,0.3189,0.3252,0.3117,0.3148,RESILIENCE-FAILED
80,Antisymmetry,AdaptiveRedistributionResponse,0.296,0.2835,0.2769,0.2699,0.275,0.2678,0.2671,RESILIENCE-FAILED
96,Antisymmetry,AdaptiveRedistributionResponse,0.2551,0.2444,0.2406,0.2412,0.2437,0.232,0.234,RESILIENCE-FAILED
128,Antisymmetry,AdaptiveRedistributionResponse,0.203,0.196,0.1989,0.1924,0.1908,0.1902,0.1872,RESILIENCE-FAILED
160,Antisymmetry,AdaptiveRedistributionResponse,0.169,0.1667,0.1641,0.1561,0.1603,0.1534,0.1615,RESILIENCE-FAILED
192,Antisymmetry,AdaptiveRedistributionResponse,0.144,0.1435,0.1402,0.1366,0.1404,0.135,0.1347,RESILIENCE-FAILED
256,Antisymmetry,AdaptiveRedistributionResponse,0.1141,0.1082,0.1099,0.1075,0.1093,0.1027,0.1051,RESILIENCE-FAILED
320,Antisymmetry,AdaptiveRedistributionResponse,0.0929,0.09,0.089,0.0875,0.0864,0.086,0.0879,RESILIENCE-FAILED
1,Antisymmetry,ShockAbsorptionBasinMapping,0.957,0.94,0.8871,0.8922,0.8928,0.9,0.9117,RESILIENCE-STABLE
2,Antisymmetry,ShockAbsorptionBasinMapping,0.9329,0.8984,0.8758,0.8858,0.8788,0.847,0.8587,RESILIENCE-STABLE
4,Antisymmetry,ShockAbsorptionBasinMapping,0.8698,0.8639,0.8333,0.8254,0.8279,0.8097,0.8129,RESILIENCE-STABLE
6,Antisymmetry,ShockAbsorptionBasinMapping,0.8312,0.8085,0.7804,0.7728,0.7793,0.7566,0.7783,RESILIENCE-STABLE
8,Antisymmetry,ShockAbsorptionBasinMapping,0.792,0.7665,0.7685,0.7437,0.7347,0.7463,0.7511,RESILIENCE-STABLE
12,Antisymmetry,ShockAbsorptionBasinMapping,0.7268,0.6944,0.6995,0.6746,0.6638,0.6816,0.6914,RESILIENCE-BOUNDED
16,Antisymmetry,ShockAbsorptionBasinMapping,0.6658,0.6647,0.6223,0.6258,0.6208,0.6083,0.6199,RESILIENCE-PARTIAL
20,Antisymmetry,ShockAbsorptionBasinMapping,0.6148,0.6108,0.5727,0.5721,0.5606,0.5765,0.5708,RESILIENCE-PARTIAL
24,Antisymmetry,ShockAbsorptionBasinMapping,0.575,0.5638,0.5452,0.5381,0.5225,0.5368,0.5274,RESILIENCE-DEGRADING
32,Antisymmetry,ShockAbsorptionBasinMapping,0.4968,0.4902,0.4727,0.4612,0.467,0.4725,0.4613,RESILIENCE-DEGRADING
40,Antisymmetry,ShockAbsorptionBasinMapping,0.4401,0.4404,0.4274,0.4279,0.4129,0.4164,0.4116,RESILIENCE-DEGRADING
48,Antisymmetry,ShockAbsorptionBasinMapping,0.4021,0.3947,0.3816,0.3762,0.3779,0.381,0.3854,RESILIENCE-FAILED
64,Antisymmetry,ShockAbsorptionBasinMapping,0.338,0.3305,0.3206,0.3098,0.3126,0.3147,0.3226,RESILIENCE-FAILED
80,Antisymmetry,ShockAbsorptionBasinMapping,0.2844,0.2826,0.2782,0.2723,0.2709,0.2748,0.2694,RESILIENCE-FAILED
96,Antisymmetry,ShockAbsorptionBasinMapping,0.2497,0.2503,0.2461,0.2416,0.2364,0.2374,0.2357,RESILIENCE-FAILED
128,Antisymmetry,ShockAbsorptionBasinMapping,0.2064,0.1956,0.1937,0.1903,0.1901,0.1906,0.1951,RESILIENCE-FAILED
160,Antisymmetry,ShockAbsorptionBasinMapping,0.1695,0.1643,0.16,0.1609,0.1593,0.1572,0.1569,RESILIENCE-FAILED
192,Antisymmetry,ShockAbsorptionBasinMapping,0.1442,0.146,0.1393,0.1396,0.1364,0.1366,0.1362,RESILIENCE-FAILED
256,Antisymmetry,ShockAbsorptionBasinMapping,0.1138,0.1117,0.1066,0.1059,0.1067,0.1054,0.1082,RESILIENCE-FAILED
320,Antisymmetry,ShockAbsorptionBasinMapping,0.0942,0.0911,0.0898,0.0881,0.0865,0.0882,0.0856,RESILIENCE-FAILED
1,Antisymmetry,RecursiveSelfHealingDynamics,0.96,0.9354,0.9037,0.8996,0.8665,0.8762,0.92,RESILIENCE-STABLE
2,Antisymmetry,RecursiveSelfHealingDynamics,0.9263,0.8796,0.8681,0.893,0.856,0.8441,0.9075,RESILIENCE-STABLE
4,Antisymmetry,RecursiveSelfHealingDynamics,0.8635,0.8368,0.823,0.8155,0.8254,0.813,0.8481,RESILIENCE-STABLE
6,Antisymmetry,RecursiveSelfHealingDynamics,0.839,0.8015,0.7791,0.789,0.788,0.772,0.8103,RESILIENCE-STABLE
8,Antisymmetry,RecursiveSelfHealingDynamics,0.7898,0.7644,0.7526,0.7591,0.7223,0.7382,0.7715,RESILIENCE-STABLE
12,Antisymmetry,RecursiveSelfHealingDynamics,0.7317,0.7007,0.6919,0.6895,0.6807,0.6581,0.7082,RESILIENCE-BOUNDED
16,Antisymmetry,RecursiveSelfHealingDynamics,0.6639,0.6465,0.6294,0.6357,0.6262,0.6055,0.63,RESILIENCE-PARTIAL
20,Antisymmetry,RecursiveSelfHealingDynamics,0.6015,0.5802,0.5718,0.573,0.5702,0.5643,0.602,RESILIENCE-PARTIAL
24,Antisymmetry,RecursiveSelfHealingDynamics,0.5598,0.5506,0.5324,0.5527,0.5302,0.5288,0.5605,RESILIENCE-DEGRADING
32,Antisymmetry,RecursiveSelfHealingDynamics,0.4888,0.4914,0.4675,0.4737,0.4598,0.4573,0.4889,RESILIENCE-DEGRADING
40,Antisymmetry,RecursiveSelfHealingDynamics,0.4444,0.4385,0.431,0.4272,0.4086,0.4093,0.4299,RESILIENCE-DEGRADING
48,Antisymmetry,RecursiveSelfHealingDynamics,0.3935,0.3931,0.386,0.3846,0.3737,0.378,0.3881,RESILIENCE-FAILED
64,Antisymmetry,RecursiveSelfHealingDynamics,0.3366,0.3194,0.3236,0.321,0.3171,0.3129,0.322,RESILIENCE-FAILED
80,Antisymmetry,RecursiveSelfHealingDynamics,0.2885,0.2746,0.2763,0.2811,0.2657,0.271,0.2748,RESILIENCE-FAILED
96,Antisymmetry,RecursiveSelfHealingDynamics,0.2517,0.2469,0.2408,0.2414,0.2342,0.2382,0.2457,RESILIENCE-FAILED
128,Antisymmetry,RecursiveSelfHealingDynamics,0.2015,0.1925,0.1912,0.1959,0.1915,0.1881,0.1993,RESILIENCE-FAILED
160,Antisymmetry,RecursiveSelfHealingDynamics,0.1709,0.1605,0.1605,0.1613,0.1545,0.1568,0.1664,RESILIENCE-FAILED
192,Antisymmetry,RecursiveSelfHealingDynamics,0.1456,0.141,0.1367,0.1397,0.1354,0.1335,0.138,RESILIENCE-FAILED
256,Antisymmetry,RecursiveSelfHealingDynamics,0.1132,0.1085,0.1094,0.1099,0.1048,0.1056,0.1109,RESILIENCE-FAILED
320,Antisymmetry,RecursiveSelfHealingDynamics,0.0913,0.0892,0.0886,0.0866,0.0858,0.0848,0.0909,RESILIENCE-FAILED
1,Antisymmetry,NullResilienceControl,0.7518,0.7547,0.7535,0.7411,0.7191,0.691,0.7238,RESILIENCE-STABLE
2,Antisymmetry,NullResilienceControl,0.758,0.7085,0.7305,0.7119,0.679,0.7004,0.7125,RESILIENCE-BOUNDED
4,Antisymmetry,NullResilienceControl,0.6831,0.6957,0.6837,0.7035,0.6656,0.6419,0.6704,RESILIENCE-BOUNDED
6,Antisymmetry,NullResilienceControl,0.6669,0.6572,0.6282,0.6538,0.6195,0.6072,0.6302,RESILIENCE-PARTIAL
8,Antisymmetry,NullResilienceControl,0.6493,0.6113,0.6078,0.6131,0.6054,0.5957,0.5944,RESILIENCE-PARTIAL
12,Antisymmetry,NullResilienceControl,0.5712,0.5601,0.5576,0.5694,0.538,0.5249,0.5489,RESILIENCE-PARTIAL
16,Antisymmetry,NullResilienceControl,0.5401,0.5295,0.5106,0.5191,0.5025,0.5024,0.5061,RESILIENCE-DEGRADING
20,Antisymmetry,NullResilienceControl,0.4966,0.4924,0.474,0.4851,0.4595,0.4521,0.4596,RESILIENCE-DEGRADING
24,Antisymmetry,NullResilienceControl,0.4601,0.4505,0.4394,0.4458,0.4377,0.4164,0.4392,RESILIENCE-DEGRADING
32,Antisymmetry,NullResilienceControl,0.4047,0.4016,0.3802,0.3982,0.3794,0.3712,0.3788,RESILIENCE-DEGRADING
40,Antisymmetry,NullResilienceControl,0.3625,0.3523,0.3405,0.3579,0.3327,0.3272,0.3398,RESILIENCE-FAILED
48,Antisymmetry,NullResilienceControl,0.3255,0.3196,0.3038,0.3128,0.2957,0.2916,0.3129,RESILIENCE-FAILED
64,Antisymmetry,NullResilienceControl,0.2758,0.2677,0.2561,0.2662,0.2551,0.2501,0.2526,RESILIENCE-FAILED
80,Antisymmetry,NullResilienceControl,0.2302,0.2281,0.2193,0.2216,0.2132,0.2181,0.2189,RESILIENCE-FAILED
96,Antisymmetry,NullResilienceControl,0.2077,0.2028,0.1915,0.2029,0.1936,0.1872,0.1905,RESILIENCE-FAILED
128,Antisymmetry,NullResilienceControl,0.1596,0.1567,0.1588,0.1633,0.15,0.1479,0.1566,RESILIENCE-FAILED
160,Antisymmetry,NullResilienceControl,0.1338,0.1324,0.1292,0.1337,0.1283,0.1263,0.1285,RESILIENCE-FAILED
192,Antisymmetry,NullResilienceControl,0.1165,0.1118,0.1114,0.1124,0.1122,0.1053,0.1106,RESILIENCE-FAILED
256,Antisymmetry,NullResilienceControl,0.0886,0.0866,0.089,0.0872,0.0864,0.0853,0.0849,RESILIENCE-FAILED
320,Antisymmetry,NullResilienceControl,0.0749,0.0717,0.0722,0.0735,0.0706,0.0694,0.0711,RESILIENCE-FAILED
1,Neutral,LargeScalePerturbationInjection,0.9093,0.8678,0.8385,0.8284,0.8454,0.8381,0.8553,RESILIENCE-STABLE
2,Neutral,LargeScalePerturbationInjection,0.8846,0.8342,0.848,0.8205,0.79,0.7979,0.7987,RESILIENCE-STABLE
4,Neutral,LargeScalePerturbationInjection,0.8318,0.7886,0.7781,0.757,0.761,0.7663,0.7725,RESILIENCE-STABLE
6,Neutral,LargeScalePerturbationInjection,0.792,0.7703,0.7322,0.7193,0.7243,0.7168,0.7338,RESILIENCE-BOUNDED
8,Neutral,LargeScalePerturbationInjection,0.7424,0.7213,0.7155,0.6972,0.6951,0.6751,0.6973,RESILIENCE-BOUNDED
12,Neutral,LargeScalePerturbationInjection,0.6814,0.6655,0.6351,0.6278,0.6388,0.6342,0.6447,RESILIENCE-PARTIAL
16,Neutral,LargeScalePerturbationInjection,0.6256,0.5898,0.5879,0.5788,0.5806,0.5637,0.5711,RESILIENCE-PARTIAL
20,Neutral,LargeScalePerturbationInjection,0.5817,0.5615,0.5466,0.5427,0.5211,0.5221,0.5502,RESILIENCE-DEGRADING
24,Neutral,LargeScalePerturbationInjection,0.548,0.5175,0.5059,0.5025,0.501,0.4862,0.4903,RESILIENCE-DEGRADING
32,Neutral,LargeScalePerturbationInjection,0.4771,0.4568,0.4595,0.4472,0.4432,0.4423,0.4477,RESILIENCE-DEGRADING
40,Neutral,LargeScalePerturbationInjection,0.4286,0.4077,0.3956,0.3936,0.3958,0.3932,0.3911,RESILIENCE-DEGRADING
48,Neutral,LargeScalePerturbationInjection,0.3787,0.3723,0.354,0.3533,0.3552,0.3561,0.3548,RESILIENCE-FAILED
64,Neutral,LargeScalePerturbationInjection,0.3231,0.3035,0.2973,0.2907,0.2896,0.2867,0.2903,RESILIENCE-FAILED
80,Neutral,LargeScalePerturbationInjection,0.2678,0.2584,0.2589,0.2596,0.248,0.2536,0.2542,RESILIENCE-FAILED
96,Neutral,LargeScalePerturbationInjection,0.2396,0.2335,0.2324,0.2234,0.2208,0.2226,0.2246,RESILIENCE-FAILED
128,Neutral,LargeScalePerturbationInjection,0.1918,0.1889,0.1801,0.1801,0.1724,0.1769,0.1767,RESILIENCE-FAILED
160,Neutral,LargeScalePerturbationInjection,0.1601,0.1536,0.1528,0.1519,0.1438,0.1505,0.1471,RESILIENCE-FAILED
192,Neutral,LargeScalePerturbationInjection,0.1362,0.1354,0.1328,0.1294,0.1241,0.1269,0.127,RESILIENCE-FAILED
256,Neutral,LargeScalePerturbationInjection,0.109,0.1031,0.1024,0.1005,0.0997,0.0992,0.0989,RESILIENCE-FAILED
320,Neutral,LargeScalePerturbationInjection,0.0856,0.0831,0.0831,0.0834,0.08,0.0811,0.0818,RESILIENCE-FAILED
1,Neutral,CascadePropagationAnalysis,0.9095,0.8444,0.8644,0.8372,0.8263,0.8389,0.8198,RESILIENCE-STABLE
2,Neutral,CascadePropagationAnalysis,0.8724,0.8422,0.8403,0.8074,0.8,0.7917,0.7947,RESILIENCE-STABLE
4,Neutral,CascadePropagationAnalysis,0.8158,0.8008,0.7833,0.7698,0.7659,0.7662,0.7859,RESILIENCE-STABLE
6,Neutral,CascadePropagationAnalysis,0.779,0.7416,0.7632,0.7253,0.7193,0.7173,0.746,RESILIENCE-BOUNDED
8,Neutral,CascadePropagationAnalysis,0.7337,0.7218,0.7163,0.6874,0.6837,0.679,0.6785,RESILIENCE-BOUNDED
12,Neutral,CascadePropagationAnalysis,0.6769,0.6581,0.6684,0.6286,0.6134,0.6326,0.6445,RESILIENCE-BOUNDED
16,Neutral,CascadePropagationAnalysis,0.621,0.5866,0.5937,0.5902,0.5814,0.5845,0.5731,RESILIENCE-PARTIAL
20,Neutral,CascadePropagationAnalysis,0.5649,0.5624,0.5518,0.557,0.5207,0.5409,0.5451,RESILIENCE-PARTIAL
24,Neutral,CascadePropagationAnalysis,0.5253,0.5128,0.522,0.5051,0.5029,0.4955,0.5049,RESILIENCE-DEGRADING
32,Neutral,CascadePropagationAnalysis,0.4607,0.4551,0.4587,0.4545,0.4356,0.4444,0.4342,RESILIENCE-DEGRADING
40,Neutral,CascadePropagationAnalysis,0.4125,0.4101,0.4113,0.3962,0.3881,0.3782,0.3946,RESILIENCE-DEGRADING
48,Neutral,CascadePropagationAnalysis,0.3734,0.3703,0.3727,0.3548,0.3432,0.3523,0.3533,RESILIENCE-FAILED
64,Neutral,CascadePropagationAnalysis,0.3104,0.3053,0.303,0.3005,0.2908,0.296,0.2946,RESILIENCE-FAILED
80,Neutral,CascadePropagationAnalysis,0.2732,0.257,0.2655,0.2517,0.2528,0.245,0.2585,RESILIENCE-FAILED
96,Neutral,CascadePropagationAnalysis,0.2415,0.2311,0.2329,0.2282,0.2219,0.2158,0.2231,RESILIENCE-FAILED
128,Neutral,CascadePropagationAnalysis,0.1868,0.182,0.1865,0.1802,0.1789,0.1751,0.1818,RESILIENCE-FAILED
160,Neutral,CascadePropagationAnalysis,0.1602,0.1554,0.1519,0.152,0.1499,0.1498,0.1484,RESILIENCE-FAILED
192,Neutral,CascadePropagationAnalysis,0.1376,0.1317,0.1316,0.1273,0.1237,0.1273,0.1284,RESILIENCE-FAILED
256,Neutral,CascadePropagationAnalysis,0.1054,0.1042,0.1014,0.1005,0.097,0.0969,0.1006,RESILIENCE-FAILED
320,Neutral,CascadePropagationAnalysis,0.0873,0.0828,0.0846,0.0838,0.0791,0.0798,0.0817,RESILIENCE-FAILED
1,Neutral,EquilibriumRecoveryTracking,0.8858,0.8505,0.8408,0.8395,0.8337,0.8445,0.8652,RESILIENCE-STABLE
2,Neutral,EquilibriumRecoveryTracking,0.8694,0.8579,0.841,0.84,0.8212,0.8204,0.8228,RESILIENCE-STABLE
4,Neutral,EquilibriumRecoveryTracking,0.8229,0.7842,0.7598,0.7901,0.7776,0.7614,0.7801,RESILIENCE-STABLE
6,Neutral,EquilibriumRecoveryTracking,0.7777,0.7615,0.7519,0.7336,0.734,0.722,0.7457,RESILIENCE-STABLE
8,Neutral,EquilibriumRecoveryTracking,0.7485,0.7263,0.6975,0.7195,0.6832,0.6837,0.7164,RESILIENCE-BOUNDED
12,Neutral,EquilibriumRecoveryTracking,0.6846,0.6469,0.6392,0.653,0.6296,0.632,0.6329,RESILIENCE-PARTIAL
16,Neutral,EquilibriumRecoveryTracking,0.6203,0.6118,0.6026,0.5894,0.5757,0.5629,0.5989,RESILIENCE-PARTIAL
20,Neutral,EquilibriumRecoveryTracking,0.5873,0.5499,0.5355,0.5469,0.5381,0.5283,0.5428,RESILIENCE-DEGRADING
24,Neutral,EquilibriumRecoveryTracking,0.5401,0.5182,0.5037,0.5119,0.5047,0.4995,0.5122,RESILIENCE-DEGRADING
32,Neutral,EquilibriumRecoveryTracking,0.483,0.4476,0.4558,0.4438,0.4351,0.4376,0.4442,RESILIENCE-DEGRADING
40,Neutral,EquilibriumRecoveryTracking,0.4267,0.4033,0.3953,0.3976,0.399,0.3836,0.3916,RESILIENCE-DEGRADING
48,Neutral,EquilibriumRecoveryTracking,0.3759,0.3651,0.3625,0.3609,0.3595,0.3559,0.3608,RESILIENCE-FAILED
64,Neutral,EquilibriumRecoveryTracking,0.3137,0.3081,0.2986,0.2982,0.2894,0.2945,0.293,RESILIENCE-FAILED
80,Neutral,EquilibriumRecoveryTracking,0.2741,0.2685,0.2627,0.2641,0.2483,0.2484,0.2524,RESILIENCE-FAILED
96,Neutral,EquilibriumRecoveryTracking,0.2451,0.2258,0.2218,0.2239,0.2196,0.2231,0.2236,RESILIENCE-FAILED
128,Neutral,EquilibriumRecoveryTracking,0.1885,0.1829,0.1846,0.1867,0.1755,0.1749,0.1809,RESILIENCE-FAILED
160,Neutral,EquilibriumRecoveryTracking,0.1591,0.1555,0.1489,0.1494,0.1457,0.1478,0.1495,RESILIENCE-FAILED
192,Neutral,EquilibriumRecoveryTracking,0.1353,0.1298,0.1282,0.133,0.1306,0.1288,0.1273,RESILIENCE-FAILED
256,Neutral,EquilibriumRecoveryTracking,0.1088,0.1041,0.1009,0.1039,0.0983,0.0986,0.0996,RESILIENCE-FAILED
320,Neutral,EquilibriumRecoveryTracking,0.0888,0.0837,0.0844,0.0854,0.0798,0.0787,0.0828,RESILIENCE-FAILED
1,Neutral,AdaptiveRedistributionResponse,0.8724,0.8497,0.8437,0.8258,0.8611,0.8288,0.8212,RESILIENCE-STABLE
2,Neutral,AdaptiveRedistributionResponse,0.8428,0.8363,0.8224,0.7948,0.8043,0.7794,0.7952,RESILIENCE-STABLE
4,Neutral,AdaptiveRedistributionResponse,0.8284,0.7975,0.7706,0.7624,0.7894,0.7413,0.782,RESILIENCE-STABLE
6,Neutral,AdaptiveRedistributionResponse,0.7864,0.7396,0.7401,0.7315,0.7531,0.7174,0.7161,RESILIENCE-BOUNDED
8,Neutral,AdaptiveRedistributionResponse,0.7479,0.7298,0.6976,0.6835,0.7153,0.6721,0.6833,RESILIENCE-BOUNDED
12,Neutral,AdaptiveRedistributionResponse,0.6735,0.6425,0.6401,0.6225,0.6535,0.606,0.6369,RESILIENCE-PARTIAL
16,Neutral,AdaptiveRedistributionResponse,0.6068,0.5979,0.6004,0.576,0.5807,0.5561,0.5891,RESILIENCE-PARTIAL
20,Neutral,AdaptiveRedistributionResponse,0.5651,0.5548,0.5407,0.5367,0.5417,0.5369,0.5336,RESILIENCE-DEGRADING
24,Neutral,AdaptiveRedistributionResponse,0.5348,0.5208,0.5252,0.495,0.5078,0.4982,0.4963,RESILIENCE-DEGRADING
32,Neutral,AdaptiveRedistributionResponse,0.4604,0.4599,0.4449,0.4327,0.4454,0.4213,0.4356,RESILIENCE-DEGRADING
40,Neutral,AdaptiveRedistributionResponse,0.4213,0.4019,0.4109,0.3976,0.3907,0.3799,0.3913,RESILIENCE-DEGRADING
48,Neutral,AdaptiveRedistributionResponse,0.3721,0.367,0.3674,0.3514,0.3589,0.3425,0.3456,RESILIENCE-FAILED
64,Neutral,AdaptiveRedistributionResponse,0.313,0.312,0.308,0.2981,0.2981,0.294,0.2954,RESILIENCE-FAILED
80,Neutral,AdaptiveRedistributionResponse,0.2712,0.2607,0.2569,0.2528,0.2512,0.2501,0.2561,RESILIENCE-FAILED
96,Neutral,AdaptiveRedistributionResponse,0.2403,0.2308,0.2321,0.2174,0.2258,0.2147,0.2246,RESILIENCE-FAILED
128,Neutral,AdaptiveRedistributionResponse,0.1851,0.1818,0.1816,0.1814,0.1811,0.1707,0.1813,RESILIENCE-FAILED
160,Neutral,AdaptiveRedistributionResponse,0.1603,0.153,0.1523,0.1514,0.1496,0.1429,0.1476,RESILIENCE-FAILED
192,Neutral,AdaptiveRedistributionResponse,0.1337,0.1319,0.1307,0.1251,0.1309,0.1276,0.1266,RESILIENCE-FAILED
256,Neutral,AdaptiveRedistributionResponse,0.1037,0.101,0.1004,0.1,0.1007,0.0971,0.1005,RESILIENCE-FAILED
320,Neutral,AdaptiveRedistributionResponse,0.0856,0.0854,0.0829,0.0827,0.0824,0.079,0.0806,RESILIENCE-FAILED
1,Neutral,ShockAbsorptionBasinMapping,0.8717,0.86,0.8353,0.8364,0.8133,0.8133,0.8345,RESILIENCE-STABLE
2,Neutral,ShockAbsorptionBasinMapping,0.8443,0.865,0.8187,0.8011,0.8093,0.8178,0.8193,RESILIENCE-STABLE
4,Neutral,ShockAbsorptionBasinMapping,0.8072,0.8225,0.7732,0.7618,0.7769,0.7708,0.7724,RESILIENCE-STABLE
6,Neutral,ShockAbsorptionBasinMapping,0.7665,0.7474,0.7557,0.7186,0.7108,0.7331,0.7384,RESILIENCE-BOUNDED
8,Neutral,ShockAbsorptionBasinMapping,0.7209,0.7238,0.7,0.7001,0.6955,0.6978,0.7066,RESILIENCE-BOUNDED
12,Neutral,ShockAbsorptionBasinMapping,0.6793,0.657,0.6332,0.6222,0.6126,0.6323,0.6236,RESILIENCE-PARTIAL
16,Neutral,ShockAbsorptionBasinMapping,0.6184,0.604,0.5859,0.5687,0.5843,0.571,0.5863,RESILIENCE-PARTIAL
20,Neutral,ShockAbsorptionBasinMapping,0.576,0.5537,0.5494,0.534,0.5446,0.5349,0.5276,RESILIENCE-DEGRADING
24,Neutral,ShockAbsorptionBasinMapping,0.5379,0.5203,0.5068,0.5089,0.4917,0.4883,0.5049,RESILIENCE-DEGRADING
32,Neutral,ShockAbsorptionBasinMapping,0.4727,0.4659,0.4521,0.4354,0.4439,0.43,0.4432,RESILIENCE-DEGRADING
40,Neutral,ShockAbsorptionBasinMapping,0.4126,0.4084,0.395,0.3835,0.3865,0.3925,0.3946,RESILIENCE-DEGRADING
48,Neutral,ShockAbsorptionBasinMapping,0.3797,0.366,0.3499,0.3574,0.3455,0.3463,0.349,RESILIENCE-FAILED
64,Neutral,ShockAbsorptionBasinMapping,0.3098,0.3135,0.2956,0.2991,0.2952,0.2854,0.2995,RESILIENCE-FAILED
80,Neutral,ShockAbsorptionBasinMapping,0.2677,0.2633,0.261,0.2545,0.2483,0.2459,0.2484,RESILIENCE-FAILED
96,Neutral,ShockAbsorptionBasinMapping,0.2329,0.2311,0.2277,0.2266,0.2181,0.2223,0.2275,RESILIENCE-FAILED
128,Neutral,ShockAbsorptionBasinMapping,0.1876,0.1867,0.1774,0.1776,0.1744,0.1773,0.1769,RESILIENCE-FAILED
160,Neutral,ShockAbsorptionBasinMapping,0.1551,0.1573,0.1491,0.1461,0.1447,0.1444,0.1473,RESILIENCE-FAILED
192,Neutral,ShockAbsorptionBasinMapping,0.133,0.1344,0.1323,0.129,0.1242,0.1291,0.1279,RESILIENCE-FAILED
256,Neutral,ShockAbsorptionBasinMapping,0.1062,0.1062,0.1007,0.1016,0.1007,0.0978,0.101,RESILIENCE-FAILED
320,Neutral,ShockAbsorptionBasinMapping,0.0854,0.0866,0.0837,0.0822,0.08,0.0807,0.0815,RESILIENCE-FAILED
1,Neutral,RecursiveSelfHealingDynamics,0.8879,0.8523,0.8271,0.8427,0.8401,0.8188,0.8706,RESILIENCE-STABLE
2,Neutral,RecursiveSelfHealingDynamics,0.8529,0.8368,0.8231,0.8234,0.7875,0.79,0.8345,RESILIENCE-STABLE
4,Neutral,RecursiveSelfHealingDynamics,0.7889,0.7939,0.7596,0.7728,0.7693,0.7534,0.7705,RESILIENCE-STABLE
6,Neutral,RecursiveSelfHealingDynamics,0.7802,0.7554,0.7278,0.7406,0.7134,0.7072,0.7488,RESILIENCE-BOUNDED
8,Neutral,RecursiveSelfHealingDynamics,0.713,0.6985,0.7191,0.7132,0.7015,0.6736,0.7226,RESILIENCE-BOUNDED
12,Neutral,RecursiveSelfHealingDynamics,0.6697,0.651,0.6394,0.6274,0.6143,0.6149,0.6609,RESILIENCE-PARTIAL
16,Neutral,RecursiveSelfHealingDynamics,0.6202,0.5932,0.5976,0.5972,0.5729,0.5573,0.6086,RESILIENCE-PARTIAL
20,Neutral,RecursiveSelfHealingDynamics,0.5553,0.5612,0.5457,0.5396,0.5369,0.528,0.5634,RESILIENCE-DEGRADING
24,Neutral,RecursiveSelfHealingDynamics,0.5339,0.5032,0.5178,0.517,0.5025,0.493,0.5086,RESILIENCE-DEGRADING
32,Neutral,RecursiveSelfHealingDynamics,0.4615,0.4451,0.4423,0.4528,0.4444,0.4357,0.4431,RESILIENCE-DEGRADING
40,Neutral,RecursiveSelfHealingDynamics,0.4173,0.4052,0.401,0.3952,0.3909,0.3857,0.3958,RESILIENCE-DEGRADING
48,Neutral,RecursiveSelfHealingDynamics,0.3638,0.3586,0.351,0.3588,0.3444,0.3502,0.3647,RESILIENCE-FAILED
64,Neutral,RecursiveSelfHealingDynamics,0.3095,0.2964,0.3031,0.3021,0.2866,0.2892,0.3071,RESILIENCE-FAILED
80,Neutral,RecursiveSelfHealingDynamics,0.2664,0.2566,0.2514,0.2572,0.2546,0.2432,0.2583,RESILIENCE-FAILED
96,Neutral,RecursiveSelfHealingDynamics,0.2351,0.223,0.2233,0.2207,0.2237,0.2145,0.2235,RESILIENCE-FAILED
128,Neutral,RecursiveSelfHealingDynamics,0.1836,0.1809,0.1838,0.1768,0.1743,0.1712,0.1803,RESILIENCE-FAILED
