X,Y,model,family,family_r2
temporal_corr,abl_no_m2_pc1,linear,rbn,1.0
temporal_corr,abl_no_m3_pc1,linear,branching,1.0
temporal_corr,abl_no_m3_pc1,linear,ca,1.0
temporal_corr,abl_no_m3_pc1,linear,gbm,1.0
temporal_corr,abl_no_m3_pc1,linear,henon,1.0
temporal_corr,abl_no_m3_pc1,linear,ising,1.0
temporal_corr,abl_no_m3_pc1,linear,kuramoto,1.0
temporal_corr,abl_no_m3_pc1,linear,logistic,1.0
temporal_corr,abl_no_m3_pc1,linear,lorenz,1.0
temporal_corr,abl_no_m3_pc1,linear,lotka,1.0
temporal_corr,abl_no_m3_pc1,linear,markov,1.0
temporal_corr,abl_no_m3_pc1,linear,rbn,1.0
temporal_corr,abl_no_m4_pc1,linear,branching,1.0
temporal_corr,abl_no_m4_pc1,linear,ca,1.0
temporal_corr,abl_no_m4_pc1,linear,gbm,1.0
temporal_corr,abl_no_m4_pc1,linear,henon,1.0
temporal_corr,abl_no_m4_pc1,linear,ising,1.0
temporal_corr,abl_no_m4_pc1,linear,kuramoto,1.0
temporal_corr,abl_no_m4_pc1,linear,logistic,1.0
temporal_corr,abl_no_m4_pc1,linear,lorenz,1.0
temporal_corr,abl_no_m4_pc1,linear,lotka,1.0
temporal_corr,abl_no_m4_pc1,linear,markov,1.0
temporal_corr,abl_no_m4_pc1,linear,rbn,1.0
