depth,sector,condition,rg_similarity,invariant_class_stability,motif_persistence,cross_operator_similarity,recursive_relational_coherence,collapse_path_dependence,invariant_survival_rate,classification
32,Neutral,RelationalMotifExtraction,0.3054,0.2979,0.2837,0.2875,0.2746,0.2743,0.2845,RELATIONAL-FAILED
40,Neutral,RelationalMotifExtraction,0.2605,0.2514,0.2418,0.2558,0.2352,0.2339,0.2398,RELATIONAL-FAILED
48,Neutral,RelationalMotifExtraction,0.2372,0.2259,0.2202,0.2192,0.2074,0.2098,0.2143,RELATIONAL-FAILED
64,Neutral,RelationalMotifExtraction,0.1833,0.1824,0.1771,0.1753,0.1729,0.1626,0.1701,RELATIONAL-FAILED
80,Neutral,RelationalMotifExtraction,0.158,0.1509,0.1419,0.1515,0.1417,0.1355,0.1468,RELATIONAL-FAILED
1,Neutral,InvariantClassClustering,0.8393,0.8266,0.7808,0.7772,0.7577,0.7591,0.7788,INVARIANT-CLASS
2,Neutral,InvariantClassClustering,0.7852,0.7803,0.7358,0.7419,0.7402,0.7164,0.7189,RELATIONAL-STABLE
4,Neutral,InvariantClassClustering,0.7208,0.7048,0.6902,0.6666,0.6478,0.6262,0.6518,RELATIONAL-STABLE
6,Neutral,InvariantClassClustering,0.6451,0.6474,0.6123,0.6011,0.6081,0.5747,0.6237,RELATIONAL-PARTIAL
8,Neutral,InvariantClassClustering,0.6007,0.5862,0.5764,0.5651,0.5544,0.5345,0.5551,RELATIONAL-PARTIAL
12,Neutral,InvariantClassClustering,0.5294,0.5012,0.4775,0.499,0.4805,0.476,0.4815,RELATIONAL-DEGRADING
16,Neutral,InvariantClassClustering,0.4686,0.4522,0.4211,0.4405,0.4153,0.409,0.4286,RELATIONAL-DEGRADING
20,Neutral,InvariantClassClustering,0.3998,0.396,0.3903,0.3852,0.3778,0.357,0.3748,RELATIONAL-FAILED
24,Neutral,InvariantClassClustering,0.3646,0.3553,0.3459,0.3504,0.3418,0.3331,0.3466,RELATIONAL-FAILED
32,Neutral,InvariantClassClustering,0.307,0.2974,0.29,0.2873,0.2878,0.2708,0.2849,RELATIONAL-FAILED
40,Neutral,InvariantClassClustering,0.2717,0.2536,0.2477,0.2464,0.2429,0.2321,0.2406,RELATIONAL-FAILED
48,Neutral,InvariantClassClustering,0.2333,0.2317,0.2155,0.22,0.208,0.2041,0.2137,RELATIONAL-FAILED
64,Neutral,InvariantClassClustering,0.1852,0.1862,0.1794,0.1752,0.1735,0.1696,0.176,RELATIONAL-FAILED
80,Neutral,InvariantClassClustering,0.1548,0.1561,0.1484,0.1494,0.1438,0.1403,0.1459,RELATIONAL-FAILED
1,Neutral,OperatorIndependentPattern,0.8422,0.8152,0.7798,0.802,0.7856,0.7602,0.784,INVARIANT-CLASS
2,Neutral,OperatorIndependentPattern,0.8051,0.7644,0.7578,0.7818,0.726,0.7238,0.7299,RELATIONAL-STABLE
4,Neutral,OperatorIndependentPattern,0.7301,0.7042,0.6738,0.6801,0.6465,0.6438,0.6759,RELATIONAL-STABLE
6,Neutral,OperatorIndependentPattern,0.6597,0.6529,0.6039,0.6393,0.5909,0.5783,0.6099,RELATIONAL-PARTIAL
8,Neutral,OperatorIndependentPattern,0.61,0.5933,0.5656,0.5762,0.5416,0.5281,0.5682,RELATIONAL-PARTIAL
12,Neutral,OperatorIndependentPattern,0.5314,0.5032,0.4946,0.4922,0.4822,0.4635,0.492,RELATIONAL-DEGRADING
16,Neutral,OperatorIndependentPattern,0.4608,0.4553,0.4251,0.4438,0.4233,0.4116,0.4193,RELATIONAL-DEGRADING
20,Neutral,OperatorIndependentPattern,0.4144,0.3921,0.3747,0.386,0.375,0.3567,0.3734,RELATIONAL-FAILED
24,Neutral,OperatorIndependentPattern,0.3692,0.3562,0.3454,0.3535,0.3316,0.3275,0.3438,RELATIONAL-FAILED
32,Neutral,OperatorIndependentPattern,0.3097,0.2958,0.2847,0.2926,0.2875,0.2761,0.2814,RELATIONAL-FAILED
40,Neutral,OperatorIndependentPattern,0.2626,0.2633,0.2549,0.2566,0.2497,0.238,0.2473,RELATIONAL-FAILED
48,Neutral,OperatorIndependentPattern,0.2362,0.2278,0.215,0.2239,0.2162,0.2126,0.2193,RELATIONAL-FAILED
64,Neutral,OperatorIndependentPattern,0.1916,0.1833,0.1744,0.1763,0.1712,0.1698,0.1709,RELATIONAL-FAILED
80,Neutral,OperatorIndependentPattern,0.1573,0.1518,0.1453,0.1512,0.1456,0.1424,0.1462,RELATIONAL-FAILED
1,Neutral,RecursiveMotifPersistence,0.8129,0.8109,0.7967,0.7924,0.7723,0.7258,0.7616,INVARIANT-CLASS
2,Neutral,RecursiveMotifPersistence,0.7723,0.7708,0.7597,0.7384,0.7346,0.6906,0.7208,RELATIONAL-STABLE
4,Neutral,RecursiveMotifPersistence,0.7037,0.6846,0.6669,0.6726,0.6637,0.6252,0.6484,RELATIONAL-PARTIAL
6,Neutral,RecursiveMotifPersistence,0.6492,0.6364,0.6228,0.5999,0.6091,0.5655,0.5998,RELATIONAL-PARTIAL
8,Neutral,RecursiveMotifPersistence,0.599,0.5746,0.5659,0.5716,0.5487,0.5172,0.55,RELATIONAL-PARTIAL
12,Neutral,RecursiveMotifPersistence,0.5091,0.4995,0.5023,0.4842,0.4815,0.4563,0.4872,RELATIONAL-DEGRADING
16,Neutral,RecursiveMotifPersistence,0.4475,0.4367,0.432,0.4357,0.4143,0.4022,0.4168,RELATIONAL-DEGRADING
20,Neutral,RecursiveMotifPersistence,0.4037,0.3899,0.3913,0.3708,0.3865,0.3521,0.3828,RELATIONAL-FAILED
24,Neutral,RecursiveMotifPersistence,0.3589,0.3462,0.3467,0.3439,0.3489,0.3214,0.3378,RELATIONAL-FAILED
32,Neutral,RecursiveMotifPersistence,0.3095,0.2953,0.2931,0.283,0.2931,0.2723,0.2766,RELATIONAL-FAILED
40,Neutral,RecursiveMotifPersistence,0.2586,0.2473,0.2513,0.2506,0.2479,0.2288,0.2432,RELATIONAL-FAILED
48,Neutral,RecursiveMotifPersistence,0.2314,0.2257,0.226,0.2193,0.2213,0.2044,0.2186,RELATIONAL-FAILED
64,Neutral,RecursiveMotifPersistence,0.1881,0.1824,0.1792,0.1692,0.1693,0.169,0.1674,RELATIONAL-FAILED
80,Neutral,RecursiveMotifPersistence,0.1511,0.1486,0.1488,0.1464,0.1464,0.139,0.1432,RELATIONAL-FAILED
1,Neutral,PerturbationSurvivalTesting,0.8177,0.8152,0.7559,0.7645,0.7684,0.7523,0.7745,INVARIANT-CLASS
2,Neutral,PerturbationSurvivalTesting,0.7951,0.7658,0.7383,0.7254,0.7162,0.7133,0.7248,RELATIONAL-STABLE
4,Neutral,PerturbationSurvivalTesting,0.718,0.6807,0.6633,0.6579,0.6331,0.6655,0.6631,RELATIONAL-STABLE
6,Neutral,PerturbationSurvivalTesting,0.629,0.6167,0.6116,0.6142,0.5974,0.5781,0.5817,RELATIONAL-PARTIAL
8,Neutral,PerturbationSurvivalTesting,0.5885,0.5736,0.5582,0.5531,0.5383,0.5433,0.5402,RELATIONAL-DEGRADING
12,Neutral,PerturbationSurvivalTesting,0.5024,0.4935,0.4933,0.4764,0.4693,0.4586,0.4798,RELATIONAL-DEGRADING
16,Neutral,PerturbationSurvivalTesting,0.4599,0.4465,0.4239,0.4296,0.4212,0.4213,0.4122,RELATIONAL-DEGRADING
20,Neutral,PerturbationSurvivalTesting,0.4076,0.3881,0.3702,0.3825,0.3719,0.361,0.3642,RELATIONAL-FAILED
24,Neutral,PerturbationSurvivalTesting,0.3563,0.3592,0.3422,0.3379,0.3409,0.3307,0.3324,RELATIONAL-FAILED
32,Neutral,PerturbationSurvivalTesting,0.3,0.2991,0.2824,0.2917,0.2791,0.2808,0.2802,RELATIONAL-FAILED
40,Neutral,PerturbationSurvivalTesting,0.2616,0.2551,0.2479,0.2528,0.2372,0.2352,0.2389,RELATIONAL-FAILED
48,Neutral,PerturbationSurvivalTesting,0.2326,0.2204,0.212,0.2168,0.2142,0.209,0.2127,RELATIONAL-FAILED
64,Neutral,PerturbationSurvivalTesting,0.1856,0.1743,0.1724,0.1757,0.1695,0.1656,0.1668,RELATIONAL-FAILED
80,Neutral,PerturbationSurvivalTesting,0.1564,0.1512,0.1465,0.1454,0.1382,0.1438,0.1409,RELATIONAL-FAILED
1,Neutral,CollapsePathwayClassification,0.8197,0.7994,0.7487,0.7815,0.7594,0.7678,0.774,INVARIANT-CLASS
2,Neutral,CollapsePathwayClassification,0.7805,0.7295,0.739,0.7097,0.6886,0.7381,0.7096,RELATIONAL-STABLE
4,Neutral,CollapsePathwayClassification,0.7065,0.6577,0.6646,0.6709,0.6442,0.6666,0.6464,RELATIONAL-PARTIAL
6,Neutral,CollapsePathwayClassification,0.6417,0.6105,0.613,0.5969,0.5863,0.6027,0.5782,RELATIONAL-PARTIAL
8,Neutral,CollapsePathwayClassification,0.5841,0.5802,0.5612,0.5444,0.5402,0.5614,0.5442,RELATIONAL-DEGRADING
12,Neutral,CollapsePathwayClassification,0.5006,0.4984,0.4789,0.4721,0.4584,0.4798,0.4758,RELATIONAL-DEGRADING
16,Neutral,CollapsePathwayClassification,0.4403,0.4386,0.4292,0.4182,0.4193,0.4287,0.422,RELATIONAL-DEGRADING
20,Neutral,CollapsePathwayClassification,0.4085,0.392,0.3802,0.3744,0.3627,0.3791,0.3641,RELATIONAL-FAILED
24,Neutral,CollapsePathwayClassification,0.3675,0.3425,0.3365,0.344,0.3329,0.3392,0.3252,RELATIONAL-FAILED
32,Neutral,CollapsePathwayClassification,0.3059,0.2914,0.2837,0.2829,0.2719,0.2869,0.2824,RELATIONAL-FAILED
40,Neutral,CollapsePathwayClassification,0.2618,0.2483,0.2465,0.2482,0.2336,0.2402,0.2386,RELATIONAL-FAILED
48,Neutral,CollapsePathwayClassification,0.2307,0.2226,0.2135,0.2091,0.2036,0.2103,0.2125,RELATIONAL-FAILED
64,Neutral,CollapsePathwayClassification,0.1797,0.1778,0.1744,0.175,0.1676,0.1694,0.1722,RELATIONAL-FAILED
80,Neutral,CollapsePathwayClassification,0.1502,0.1477,0.1398,0.147,0.1428,0.1467,0.1412,RELATIONAL-FAILED
1,Neutral,NullInvariantControl,0.6346,0.6162,0.636,0.6228,0.5894,0.6354,0.5927,RELATIONAL-PARTIAL
2,Neutral,NullInvariantControl,0.592,0.6071,0.5766,0.5815,0.5585,0.5963,0.578,RELATIONAL-PARTIAL
4,Neutral,NullInvariantControl,0.5251,0.5439,0.5302,0.5058,0.5063,0.5377,0.5092,RELATIONAL-DEGRADING
6,Neutral,NullInvariantControl,0.4856,0.4947,0.4896,0.4743,0.4831,0.4725,0.4817,RELATIONAL-DEGRADING
8,Neutral,NullInvariantControl,0.4603,0.4454,0.4624,0.4398,0.4407,0.4579,0.4265,RELATIONAL-DEGRADING
12,Neutral,NullInvariantControl,0.3926,0.3879,0.3947,0.3754,0.3845,0.3941,0.3792,RELATIONAL-FAILED
16,Neutral,NullInvariantControl,0.3541,0.3413,0.342,0.338,0.3423,0.3387,0.3206,RELATIONAL-FAILED
20,Neutral,NullInvariantControl,0.3163,0.2971,0.3022,0.3053,0.2982,0.2978,0.2858,RELATIONAL-FAILED
24,Neutral,NullInvariantControl,0.2811,0.2758,0.2773,0.271,0.2624,0.2761,0.2624,RELATIONAL-FAILED
32,Neutral,NullInvariantControl,0.234,0.235,0.2269,0.2298,0.2261,0.2317,0.222,RELATIONAL-FAILED
40,Neutral,NullInvariantControl,0.2003,0.1981,0.2024,0.1923,0.1937,0.1986,0.1891,RELATIONAL-FAILED
48,Neutral,NullInvariantControl,0.1792,0.1788,0.1732,0.1683,0.1721,0.172,0.1699,RELATIONAL-FAILED
64,Neutral,NullInvariantControl,0.1393,0.1362,0.1411,0.1317,0.1343,0.1394,0.1332,RELATIONAL-FAILED
80,Neutral,NullInvariantControl,0.1185,0.1161,0.1192,0.1103,0.1115,0.1147,0.1102,RELATIONAL-FAILED
1,Projection-Antisymmetry,RelationalMotifExtraction,0.8345,0.8012,0.7884,0.8152,0.7745,0.7236,0.7816,INVARIANT-CLASS
2,Projection-Antisymmetry,RelationalMotifExtraction,0.8062,0.7804,0.7286,0.7723,0.7081,0.6821,0.7129,RELATIONAL-STABLE
4,Projection-Antisymmetry,RelationalMotifExtraction,0.697,0.6851,0.6751,0.678,0.6439,0.6301,0.6406,RELATIONAL-PARTIAL
6,Projection-Antisymmetry,RelationalMotifExtraction,0.6529,0.6426,0.6214,0.6291,0.5931,0.5653,0.6116,RELATIONAL-PARTIAL
8,Projection-Antisymmetry,RelationalMotifExtraction,0.6009,0.5734,0.5733,0.5857,0.558,0.5207,0.5553,RELATIONAL-PARTIAL
12,Projection-Antisymmetry,RelationalMotifExtraction,0.5173,0.4976,0.494,0.4959,0.4819,0.4648,0.4658,RELATIONAL-DEGRADING
16,Projection-Antisymmetry,RelationalMotifExtraction,0.4658,0.4416,0.4248,0.4459,0.418,0.4097,0.415,RELATIONAL-DEGRADING
20,Projection-Antisymmetry,RelationalMotifExtraction,0.4035,0.4031,0.3816,0.3954,0.3677,0.368,0.3708,RELATIONAL-DEGRADING
24,Projection-Antisymmetry,RelationalMotifExtraction,0.3583,0.3494,0.3507,0.3538,0.3412,0.3319,0.3406,RELATIONAL-FAILED
32,Projection-Antisymmetry,RelationalMotifExtraction,0.3078,0.2988,0.2927,0.2999,0.2828,0.267,0.2842,RELATIONAL-FAILED
40,Projection-Antisymmetry,RelationalMotifExtraction,0.2698,0.2609,0.2488,0.2504,0.2404,0.2326,0.2432,RELATIONAL-FAILED
48,Projection-Antisymmetry,RelationalMotifExtraction,0.2287,0.2198,0.2186,0.2168,0.2062,0.2069,0.2107,RELATIONAL-FAILED
64,Projection-Antisymmetry,RelationalMotifExtraction,0.1871,0.1821,0.1752,0.1822,0.1703,0.1628,0.1721,RELATIONAL-FAILED
80,Projection-Antisymmetry,RelationalMotifExtraction,0.1535,0.1506,0.1414,0.1501,0.1397,0.1355,0.1414,RELATIONAL-FAILED
1,Projection-Antisymmetry,InvariantClassClustering,0.8202,0.7971,0.7999,0.7775,0.7663,0.7549,0.7843,INVARIANT-CLASS
2,Projection-Antisymmetry,InvariantClassClustering,0.792,0.782,0.7338,0.7423,0.7194,0.7223,0.7394,RELATIONAL-STABLE
4,Projection-Antisymmetry,InvariantClassClustering,0.7239,0.7074,0.6777,0.6593,0.6416,0.626,0.655,RELATIONAL-STABLE
6,Projection-Antisymmetry,InvariantClassClustering,0.6691,0.6507,0.63,0.6206,0.6013,0.5801,0.5937,RELATIONAL-PARTIAL
8,Projection-Antisymmetry,InvariantClassClustering,0.5899,0.5774,0.5697,0.5816,0.564,0.5263,0.5683,RELATIONAL-PARTIAL
12,Projection-Antisymmetry,InvariantClassClustering,0.533,0.5134,0.4776,0.4845,0.4865,0.4612,0.4923,RELATIONAL-DEGRADING
16,Projection-Antisymmetry,InvariantClassClustering,0.4535,0.4492,0.4201,0.4303,0.4133,0.4037,0.4252,RELATIONAL-DEGRADING
20,Projection-Antisymmetry,InvariantClassClustering,0.403,0.3982,0.3747,0.3835,0.37,0.3609,0.3706,RELATIONAL-FAILED
24,Projection-Antisymmetry,InvariantClassClustering,0.3701,0.3625,0.3442,0.3513,0.34,0.3357,0.3352,RELATIONAL-FAILED
32,Projection-Antisymmetry,InvariantClassClustering,0.309,0.3026,0.2935,0.2861,0.2759,0.2744,0.2921,RELATIONAL-FAILED
40,Projection-Antisymmetry,InvariantClassClustering,0.2623,0.2635,0.2436,0.2525,0.2485,0.2413,0.2423,RELATIONAL-FAILED
48,Projection-Antisymmetry,InvariantClassClustering,0.2365,0.2313,0.2163,0.2141,0.212,0.2099,0.2185,RELATIONAL-FAILED
64,Projection-Antisymmetry,InvariantClassClustering,0.1885,0.1828,0.1759,0.1776,0.172,0.1697,0.1778,RELATIONAL-FAILED
80,Projection-Antisymmetry,InvariantClassClustering,0.1564,0.1497,0.1496,0.1434,0.1452,0.1402,0.1465,RELATIONAL-FAILED
1,Projection-Antisymmetry,OperatorIndependentPattern,0.8324,0.8002,0.7677,0.7948,0.7849,0.7259,0.7682,INVARIANT-CLASS
2,Projection-Antisymmetry,OperatorIndependentPattern,0.8161,0.7701,0.7289,0.7572,0.7079,0.7211,0.73,RELATIONAL-STABLE
4,Projection-Antisymmetry,OperatorIndependentPattern,0.731,0.7083,0.6835,0.6949,0.6524,0.6274,0.6539,RELATIONAL-STABLE
6,Projection-Antisymmetry,OperatorIndependentPattern,0.666,0.6433,0.6173,0.6368,0.591,0.5734,0.5961,RELATIONAL-PARTIAL
8,Projection-Antisymmetry,OperatorIndependentPattern,0.6067,0.5772,0.5748,0.5804,0.5539,0.5277,0.5529,RELATIONAL-PARTIAL
12,Projection-Antisymmetry,OperatorIndependentPattern,0.5162,0.5098,0.4802,0.5018,0.4847,0.4523,0.4743,RELATIONAL-DEGRADING
16,Projection-Antisymmetry,OperatorIndependentPattern,0.4541,0.4433,0.4372,0.4481,0.4267,0.4091,0.4307,RELATIONAL-DEGRADING
20,Projection-Antisymmetry,OperatorIndependentPattern,0.4045,0.3918,0.3843,0.4026,0.3671,0.3667,0.3827,RELATIONAL-FAILED
24,Projection-Antisymmetry,OperatorIndependentPattern,0.3678,0.3531,0.3451,0.3478,0.3373,0.3263,0.3415,RELATIONAL-FAILED
32,Projection-Antisymmetry,OperatorIndependentPattern,0.3179,0.2953,0.2936,0.3001,0.2876,0.2696,0.2873,RELATIONAL-FAILED
40,Projection-Antisymmetry,OperatorIndependentPattern,0.2711,0.2575,0.2472,0.2604,0.2497,0.2391,0.252,RELATIONAL-FAILED
48,Projection-Antisymmetry,OperatorIndependentPattern,0.2341,0.2277,0.2218,0.2245,0.2165,0.2046,0.2153,RELATIONAL-FAILED
64,Projection-Antisymmetry,OperatorIndependentPattern,0.1862,0.1785,0.1766,0.1762,0.1706,0.1682,0.1745,RELATIONAL-FAILED
80,Projection-Antisymmetry,OperatorIndependentPattern,0.1545,0.1489,0.1506,0.1527,0.1457,0.1412,0.1439,RELATIONAL-FAILED
1,Projection-Antisymmetry,RecursiveMotifPersistence,0.8298,0.8038,0.7846,0.7945,0.7923,0.7402,0.7459,RELATIONAL-STABLE
2,Projection-Antisymmetry,RecursiveMotifPersistence,0.7943,0.7502,0.7656,0.7293,0.7349,0.6962,0.7174,RELATIONAL-STABLE
4,Projection-Antisymmetry,RecursiveMotifPersistence,0.7073,0.6862,0.6959,0.6578,0.6792,0.6432,0.6634,RELATIONAL-STABLE
6,Projection-Antisymmetry,RecursiveMotifPersistence,0.6535,0.6312,0.6193,0.5942,0.6063,0.5903,0.6004,RELATIONAL-PARTIAL
8,Projection-Antisymmetry,RecursiveMotifPersistence,0.6078,0.5668,0.5726,0.5466,0.5647,0.5184,0.5433,RELATIONAL-DEGRADING
12,Projection-Antisymmetry,RecursiveMotifPersistence,0.5035,0.5056,0.4874,0.4817,0.4729,0.4618,0.4749,RELATIONAL-DEGRADING
16,Projection-Antisymmetry,RecursiveMotifPersistence,0.4513,0.4265,0.4354,0.4165,0.4187,0.3993,0.4221,RELATIONAL-DEGRADING
20,Projection-Antisymmetry,RecursiveMotifPersistence,0.3974,0.3883,0.3984,0.3856,0.3764,0.3622,0.3715,RELATIONAL-FAILED
24,Projection-Antisymmetry,RecursiveMotifPersistence,0.364,0.3494,0.3578,0.3365,0.3444,0.3312,0.3341,RELATIONAL-FAILED
32,Projection-Antisymmetry,RecursiveMotifPersistence,0.3008,0.2974,0.2956,0.2903,0.288,0.269,0.2807,RELATIONAL-FAILED
40,Projection-Antisymmetry,RecursiveMotifPersistence,0.2639,0.255,0.2557,0.2427,0.2427,0.2315,0.2452,RELATIONAL-FAILED
48,Projection-Antisymmetry,RecursiveMotifPersistence,0.2352,0.2212,0.2194,0.2186,0.2154,0.2104,0.2098,RELATIONAL-FAILED
64,Projection-Antisymmetry,RecursiveMotifPersistence,0.1818,0.1748,0.1749,0.1752,0.1708,0.1603,0.1683,RELATIONAL-FAILED
80,Projection-Antisymmetry,RecursiveMotifPersistence,0.1567,0.1492,0.1472,0.1455,0.143,0.1395,0.1468,RELATIONAL-FAILED
1,Projection-Antisymmetry,PerturbationSurvivalTesting,0.8302,0.7881,0.7703,0.7585,0.7538,0.7376,0.7518,INVARIANT-CLASS
2,Projection-Antisymmetry,PerturbationSurvivalTesting,0.7653,0.7518,0.7195,0.732,0.7027,0.7092,0.7183,RELATIONAL-STABLE
4,Projection-Antisymmetry,PerturbationSurvivalTesting,0.7115,0.6678,0.6696,0.6709,0.6353,0.6585,0.6376,RELATIONAL-PARTIAL
6,Projection-Antisymmetry,PerturbationSurvivalTesting,0.6508,0.6369,0.5942,0.6168,0.5986,0.5889,0.5824,RELATIONAL-PARTIAL
8,Projection-Antisymmetry,PerturbationSurvivalTesting,0.5906,0.5871,0.5471,0.5541,0.5351,0.544,0.543,RELATIONAL-DEGRADING
12,Projection-Antisymmetry,PerturbationSurvivalTesting,0.5116,0.4969,0.4787,0.4843,0.4699,0.4677,0.4768,RELATIONAL-DEGRADING
16,Projection-Antisymmetry,PerturbationSurvivalTesting,0.4439,0.4319,0.4145,0.4328,0.4191,0.4195,0.4191,RELATIONAL-DEGRADING
20,Projection-Antisymmetry,PerturbationSurvivalTesting,0.4067,0.386,0.3749,0.3853,0.379,0.3763,0.3762,RELATIONAL-FAILED
24,Projection-Antisymmetry,PerturbationSurvivalTesting,0.3683,0.3536,0.3392,0.349,0.3255,0.3424,0.3326,RELATIONAL-FAILED
32,Projection-Antisymmetry,PerturbationSurvivalTesting,0.2971,0.2917,0.2931,0.2939,0.2797,0.2823,0.279,RELATIONAL-FAILED
40,Projection-Antisymmetry,PerturbationSurvivalTesting,0.2586,0.2473,0.2515,0.2471,0.2421,0.2343,0.2384,RELATIONAL-FAILED
48,Projection-Antisymmetry,PerturbationSurvivalTesting,0.2345,0.2183,0.2117,0.2132,0.2065,0.2145,0.2106,RELATIONAL-FAILED
64,Projection-Antisymmetry,PerturbationSurvivalTesting,0.1852,0.1764,0.1716,0.1758,0.167,0.172,0.1718,RELATIONAL-FAILED
80,Projection-Antisymmetry,PerturbationSurvivalTesting,0.1569,0.1457,0.146,0.1445,0.1432,0.1416,0.1417,RELATIONAL-FAILED
1,Projection-Antisymmetry,CollapsePathwayClassification,0.82,0.7985,0.7735,0.7586,0.7362,0.7592,0.7532,INVARIANT-CLASS
2,Projection-Antisymmetry,CollapsePathwayClassification,0.7684,0.7318,0.7407,0.7357,0.7136,0.7201,0.7147,RELATIONAL-STABLE
4,Projection-Antisymmetry,CollapsePathwayClassification,0.6944,0.689,0.6485,0.642,0.6339,0.6737,0.6401,RELATIONAL-PARTIAL
6,Projection-Antisymmetry,CollapsePathwayClassification,0.6423,0.6131,0.603,0.6026,0.5833,0.6062,0.5898,RELATIONAL-PARTIAL
8,Projection-Antisymmetry,CollapsePathwayClassification,0.5898,0.5652,0.5499,0.5528,0.5415,0.5502,0.5348,RELATIONAL-DEGRADING
12,Projection-Antisymmetry,CollapsePathwayClassification,0.5147,0.501,0.482,0.4881,0.464,0.4758,0.4781,RELATIONAL-DEGRADING
16,Projection-Antisymmetry,CollapsePathwayClassification,0.4375,0.4302,0.4262,0.4169,0.419,0.4249,0.415,RELATIONAL-DEGRADING
20,Projection-Antisymmetry,CollapsePathwayClassification,0.4021,0.3813,0.3682,0.3665,0.3594,0.3824,0.376,RELATIONAL-FAILED
24,Projection-Antisymmetry,CollapsePathwayClassification,0.3667,0.3501,0.342,0.3367,0.3331,0.3333,0.3412,RELATIONAL-FAILED
32,Projection-Antisymmetry,CollapsePathwayClassification,0.2947,0.2912,0.2846,0.2832,0.2721,0.2875,0.2746,RELATIONAL-FAILED
40,Projection-Antisymmetry,CollapsePathwayClassification,0.2566,0.2473,0.245,0.2409,0.2308,0.2407,0.2442,RELATIONAL-FAILED
48,Projection-Antisymmetry,CollapsePathwayClassification,0.224,0.2231,0.2084,0.2165,0.2024,0.21,0.2154,RELATIONAL-FAILED
64,Projection-Antisymmetry,CollapsePathwayClassification,0.1854,0.1789,0.1717,0.1729,0.1645,0.1746,0.1671,RELATIONAL-FAILED
80,Projection-Antisymmetry,CollapsePathwayClassification,0.1518,0.1467,0.1403,0.1448,0.1358,0.1429,0.1425,RELATIONAL-FAILED
1,Projection-Antisymmetry,NullInvariantControl,0.6386,0.6059,0.622,0.6252,0.6048,0.6196,0.6049,RELATIONAL-PARTIAL
2,Projection-Antisymmetry,NullInvariantControl,0.6165,0.604,0.59,0.5652,0.5767,0.5993,0.5517,RELATIONAL-PARTIAL
4,Projection-Antisymmetry,NullInvariantControl,0.5286,0.5236,0.542,0.506,0.5357,0.5442,0.4949,RELATIONAL-DEGRADING
6,Projection-Antisymmetry,NullInvariantControl,0.494,0.4843,0.4803,0.464,0.4896,0.4899,0.4659,RELATIONAL-DEGRADING
8,Projection-Antisymmetry,NullInvariantControl,0.463,0.4471,0.4421,0.4493,0.425,0.4479,0.4171,RELATIONAL-DEGRADING
12,Projection-Antisymmetry,NullInvariantControl,0.4006,0.3897,0.3842,0.3685,0.3854,0.3838,0.3728,RELATIONAL-FAILED
16,Projection-Antisymmetry,NullInvariantControl,0.3524,0.3422,0.3356,0.3231,0.3344,0.3356,0.321,RELATIONAL-FAILED
20,Projection-Antisymmetry,NullInvariantControl,0.3157,0.3038,0.3049,0.3037,0.2917,0.2977,0.2869,RELATIONAL-FAILED
24,Projection-Antisymmetry,NullInvariantControl,0.2745,0.2714,0.2703,0.2632,0.2641,0.2783,0.2652,RELATIONAL-FAILED
32,Projection-Antisymmetry,NullInvariantControl,0.2322,0.2362,0.2321,0.2196,0.2303,0.2205,0.2218,RELATIONAL-FAILED
40,Projection-Antisymmetry,NullInvariantControl,0.2014,0.203,0.1954,0.1892,0.1893,0.1929,0.1906,RELATIONAL-FAILED
48,Projection-Antisymmetry,NullInvariantControl,0.175,0.1777,0.1757,0.1701,0.1706,0.1736,0.1627,RELATIONAL-FAILED
64,Projection-Antisymmetry,NullInvariantControl,0.1438,0.1445,0.1433,0.1372,0.1356,0.137,0.1325,RELATIONAL-FAILED
80,Projection-Antisymmetry,NullInvariantControl,0.1194,0.1134,0.1147,0.1098,0.1144,0.114,0.1103,RELATIONAL-FAILED
1,Projection-Neutral,RelationalMotifExtraction,0.824,0.7898,0.7908,0.7933,0.7709,0.7169,0.7682,INVARIANT-CLASS
2,Projection-Neutral,RelationalMotifExtraction,0.7732,0.7794,0.7356,0.7573,0.7016,0.6799,0.7315,RELATIONAL-STABLE
4,Projection-Neutral,RelationalMotifExtraction,0.7245,0.7058,0.6625,0.6846,0.6427,0.639,0.6552,RELATIONAL-STABLE
6,Projection-Neutral,RelationalMotifExtraction,0.6452,0.62,0.6236,0.6297,0.6025,0.5713,0.6103,RELATIONAL-PARTIAL
8,Projection-Neutral,RelationalMotifExtraction,0.5932,0.5674,0.5567,0.5876,0.5364,0.5225,0.5417,RELATIONAL-DEGRADING
12,Projection-Neutral,RelationalMotifExtraction,0.5303,0.513,0.4793,0.4931,0.4831,0.4554,0.4751,RELATIONAL-DEGRADING
16,Projection-Neutral,RelationalMotifExtraction,0.4596,0.4322,0.4274,0.4277,0.4083,0.4071,0.4173,RELATIONAL-DEGRADING
20,Projection-Neutral,RelationalMotifExtraction,0.4065,0.3958,0.387,0.3831,0.3697,0.3535,0.3763,RELATIONAL-FAILED
24,Projection-Neutral,RelationalMotifExtraction,0.3712,0.3602,0.3418,0.3574,0.3261,0.3265,0.3465,RELATIONAL-FAILED
32,Projection-Neutral,RelationalMotifExtraction,0.3046,0.3037,0.2804,0.2874,0.285,0.2665,0.2902,RELATIONAL-FAILED
