depth,sector,condition,rg_similarity,interaction_coherence,collision_reproducibility,identity_retention_post_collision,recursive_exchange_stability,bounded_interaction_drift,interaction_gain,classification
96,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
128,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
160,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
192,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
256,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
320,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
512,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
768,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1024,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1536,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2048,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
3072,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4096,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6144,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8192,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12288,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16384,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24576,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32768,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
65536,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
131072,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
262144,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
524288,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1048576,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.9576,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2097152,Antisymmetry,RecursiveInteractionReproducibility,0.96,0.9595,0.94,0.93,0.92,0.91,0.9257,INTERACTION-STABLE
4194304,Antisymmetry,RecursiveInteractionReproducibility,0.9445,0.9198,0.922,0.9203,0.9083,0.91,0.9061,INTERACTION-STABLE
8388608,Antisymmetry,RecursiveInteractionReproducibility,0.8862,0.8672,0.8789,0.837,0.8541,0.8488,0.8522,INTERACTION-BOUNDED
16777216,Antisymmetry,RecursiveInteractionReproducibility,0.8004,0.7829,0.7913,0.7582,0.7457,0.7595,0.7634,INTERACTION-PARTIAL
1,Antisymmetry,NullInteractionControl,0.7184,0.6975,0.682,0.6703,0.6523,0.6619,0.6924,INTERACTION-DEGRADING
2,Antisymmetry,NullInteractionControl,0.756,0.6847,0.6814,0.6926,0.6562,0.642,0.6942,INTERACTION-DEGRADING
4,Antisymmetry,NullInteractionControl,0.7505,0.7011,0.6659,0.6593,0.6721,0.6668,0.6796,INTERACTION-PARTIAL
6,Antisymmetry,NullInteractionControl,0.7283,0.7057,0.6661,0.6708,0.6626,0.6492,0.6812,INTERACTION-PARTIAL
8,Antisymmetry,NullInteractionControl,0.7468,0.7138,0.6796,0.6561,0.6625,0.6476,0.6571,INTERACTION-PARTIAL
12,Antisymmetry,NullInteractionControl,0.7358,0.7129,0.685,0.6641,0.6812,0.6693,0.6666,INTERACTION-PARTIAL
16,Antisymmetry,NullInteractionControl,0.74,0.6878,0.6834,0.6653,0.6697,0.6493,0.6871,INTERACTION-DEGRADING
20,Antisymmetry,NullInteractionControl,0.7471,0.6797,0.6736,0.6877,0.6616,0.6626,0.6912,INTERACTION-DEGRADING
24,Antisymmetry,NullInteractionControl,0.7239,0.6893,0.6798,0.6805,0.646,0.647,0.6782,INTERACTION-DEGRADING
32,Antisymmetry,NullInteractionControl,0.7516,0.6895,0.7023,0.658,0.6467,0.6667,0.6567,INTERACTION-DEGRADING
40,Antisymmetry,NullInteractionControl,0.7191,0.6907,0.6682,0.6874,0.6494,0.6501,0.6872,INTERACTION-DEGRADING
48,Antisymmetry,NullInteractionControl,0.7539,0.7023,0.7003,0.6769,0.6671,0.6641,0.6653,INTERACTION-PARTIAL
64,Antisymmetry,NullInteractionControl,0.7174,0.71,0.6826,0.6781,0.6764,0.6627,0.6677,INTERACTION-PARTIAL
80,Antisymmetry,NullInteractionControl,0.7246,0.6961,0.6891,0.6933,0.6663,0.6629,0.6821,INTERACTION-DEGRADING
96,Antisymmetry,NullInteractionControl,0.7517,0.6839,0.6974,0.6578,0.6784,0.6538,0.672,INTERACTION-DEGRADING
128,Antisymmetry,NullInteractionControl,0.7403,0.7056,0.691,0.682,0.6555,0.6622,0.6841,INTERACTION-PARTIAL
160,Antisymmetry,NullInteractionControl,0.7191,0.6951,0.685,0.6784,0.6467,0.6432,0.6914,INTERACTION-DEGRADING
192,Antisymmetry,NullInteractionControl,0.7377,0.7084,0.6735,0.688,0.677,0.6469,0.676,INTERACTION-PARTIAL
256,Antisymmetry,NullInteractionControl,0.7325,0.6781,0.7038,0.6864,0.6572,0.6605,0.693,INTERACTION-DEGRADING
320,Antisymmetry,NullInteractionControl,0.717,0.7084,0.6872,0.6762,0.6503,0.6631,0.6772,INTERACTION-PARTIAL
512,Antisymmetry,NullInteractionControl,0.7186,0.6959,0.6667,0.6867,0.6502,0.6373,0.6638,INTERACTION-DEGRADING
768,Antisymmetry,NullInteractionControl,0.7208,0.6932,0.6885,0.6839,0.6783,0.6649,0.657,INTERACTION-DEGRADING
1024,Antisymmetry,NullInteractionControl,0.723,0.6813,0.6942,0.6935,0.6612,0.6604,0.6822,INTERACTION-DEGRADING
1536,Antisymmetry,NullInteractionControl,0.7551,0.6988,0.6963,0.6659,0.674,0.6381,0.6711,INTERACTION-DEGRADING
2048,Antisymmetry,NullInteractionControl,0.7368,0.6798,0.667,0.6787,0.6799,0.6704,0.6679,INTERACTION-DEGRADING
3072,Antisymmetry,NullInteractionControl,0.7414,0.6974,0.7023,0.686,0.6713,0.638,0.6599,INTERACTION-DEGRADING
4096,Antisymmetry,NullInteractionControl,0.7342,0.7131,0.6691,0.6746,0.6845,0.6577,0.6813,INTERACTION-PARTIAL
6144,Antisymmetry,NullInteractionControl,0.7547,0.6998,0.6904,0.6765,0.657,0.651,0.6896,INTERACTION-DEGRADING
8192,Antisymmetry,NullInteractionControl,0.724,0.6926,0.6833,0.6729,0.6791,0.6712,0.676,INTERACTION-DEGRADING
12288,Antisymmetry,NullInteractionControl,0.7169,0.7146,0.6981,0.666,0.678,0.6623,0.6634,INTERACTION-PARTIAL
16384,Antisymmetry,NullInteractionControl,0.7369,0.6954,0.6947,0.6934,0.654,0.6533,0.6818,INTERACTION-DEGRADING
24576,Antisymmetry,NullInteractionControl,0.7391,0.7041,0.6696,0.6574,0.6795,0.6433,0.6774,INTERACTION-PARTIAL
32768,Antisymmetry,NullInteractionControl,0.7467,0.7125,0.6995,0.6893,0.685,0.6607,0.6928,INTERACTION-PARTIAL
65536,Antisymmetry,NullInteractionControl,0.7481,0.6935,0.681,0.6571,0.6744,0.6547,0.6663,INTERACTION-DEGRADING
131072,Antisymmetry,NullInteractionControl,0.7406,0.7004,0.6831,0.6764,0.6644,0.6385,0.6851,INTERACTION-PARTIAL
262144,Antisymmetry,NullInteractionControl,0.7207,0.6988,0.7022,0.6871,0.6478,0.6459,0.6538,INTERACTION-DEGRADING
524288,Antisymmetry,NullInteractionControl,0.734,0.7011,0.6789,0.6869,0.675,0.6527,0.6574,INTERACTION-PARTIAL
1048576,Antisymmetry,NullInteractionControl,0.7182,0.6872,0.6838,0.6811,0.6491,0.6275,0.6788,INTERACTION-DEGRADING
2097152,Antisymmetry,NullInteractionControl,0.706,0.6686,0.6624,0.641,0.627,0.6499,0.6438,INTERACTION-DEGRADING
4194304,Antisymmetry,NullInteractionControl,0.6737,0.6512,0.6256,0.6527,0.6326,0.6237,0.6438,INTERACTION-DEGRADING
8388608,Antisymmetry,NullInteractionControl,0.6344,0.624,0.5966,0.5833,0.592,0.5886,0.5913,INTERACTION-DEGRADING
16777216,Antisymmetry,NullInteractionControl,0.5821,0.552,0.5462,0.5387,0.5151,0.5302,0.5256,INTERACTION-DEGRADING
1,Neutral,PacketCollisionDynamics,0.96,0.9591,0.9346,0.8976,0.8878,0.8786,0.9295,INTERACTION-STABLE
2,Neutral,PacketCollisionDynamics,0.96,0.96,0.94,0.902,0.8893,0.8728,0.9165,INTERACTION-STABLE
4,Neutral,PacketCollisionDynamics,0.9588,0.9403,0.9295,0.8971,0.8877,0.8824,0.9103,INTERACTION-STABLE
6,Neutral,PacketCollisionDynamics,0.96,0.96,0.94,0.9103,0.9072,0.8705,0.9042,INTERACTION-STABLE
8,Neutral,PacketCollisionDynamics,0.9583,0.9365,0.931,0.9017,0.8992,0.8671,0.9098,INTERACTION-STABLE
12,Neutral,PacketCollisionDynamics,0.96,0.9419,0.91,0.9037,0.896,0.8979,0.9226,INTERACTION-STABLE
16,Neutral,PacketCollisionDynamics,0.96,0.96,0.94,0.926,0.8842,0.9046,0.9149,INTERACTION-STABLE
20,Neutral,PacketCollisionDynamics,0.96,0.9574,0.9282,0.9254,0.892,0.9005,0.9,INTERACTION-STABLE
24,Neutral,PacketCollisionDynamics,0.96,0.9537,0.9238,0.9216,0.8787,0.8675,0.9107,INTERACTION-STABLE
32,Neutral,PacketCollisionDynamics,0.9461,0.9435,0.9197,0.9068,0.8872,0.8692,0.93,INTERACTION-STABLE
40,Neutral,PacketCollisionDynamics,0.96,0.9418,0.9378,0.9085,0.9132,0.9,0.9031,INTERACTION-STABLE
48,Neutral,PacketCollisionDynamics,0.945,0.9327,0.94,0.8998,0.9052,0.8776,0.93,INTERACTION-STABLE
64,Neutral,PacketCollisionDynamics,0.96,0.9301,0.9282,0.8978,0.8953,0.9015,0.9253,INTERACTION-STABLE
80,Neutral,PacketCollisionDynamics,0.9422,0.96,0.9215,0.9233,0.8901,0.8905,0.9184,INTERACTION-STABLE
96,Neutral,PacketCollisionDynamics,0.9432,0.9594,0.937,0.9283,0.8789,0.8931,0.8981,INTERACTION-STABLE
128,Neutral,PacketCollisionDynamics,0.96,0.9418,0.9205,0.93,0.8811,0.871,0.9046,INTERACTION-STABLE
160,Neutral,PacketCollisionDynamics,0.96,0.9559,0.94,0.93,0.8969,0.8855,0.9049,INTERACTION-STABLE
192,Neutral,PacketCollisionDynamics,0.9471,0.9278,0.9105,0.908,0.891,0.8911,0.8967,INTERACTION-STABLE
256,Neutral,PacketCollisionDynamics,0.9562,0.9349,0.937,0.9062,0.9092,0.8811,0.9232,INTERACTION-STABLE
320,Neutral,PacketCollisionDynamics,0.9443,0.95,0.9281,0.93,0.8948,0.8716,0.912,INTERACTION-STABLE
512,Neutral,PacketCollisionDynamics,0.96,0.9389,0.9384,0.9148,0.8839,0.8718,0.8971,INTERACTION-STABLE
768,Neutral,PacketCollisionDynamics,0.96,0.9433,0.9319,0.92,0.9056,0.8872,0.9164,INTERACTION-STABLE
1024,Neutral,PacketCollisionDynamics,0.96,0.9325,0.9227,0.9089,0.8934,0.88,0.93,INTERACTION-STABLE
1536,Neutral,PacketCollisionDynamics,0.9478,0.96,0.9234,0.903,0.9053,0.8871,0.9076,INTERACTION-STABLE
2048,Neutral,PacketCollisionDynamics,0.96,0.9439,0.9105,0.8999,0.9,0.8868,0.93,INTERACTION-STABLE
3072,Neutral,PacketCollisionDynamics,0.96,0.96,0.9069,0.9074,0.9001,0.8954,0.9267,INTERACTION-STABLE
4096,Neutral,PacketCollisionDynamics,0.9504,0.9259,0.94,0.9117,0.9062,0.8757,0.93,INTERACTION-STABLE
6144,Neutral,PacketCollisionDynamics,0.948,0.9295,0.9263,0.9258,0.8828,0.8802,0.8984,INTERACTION-STABLE
8192,Neutral,PacketCollisionDynamics,0.957,0.96,0.94,0.9027,0.8778,0.8856,0.9207,INTERACTION-STABLE
12288,Neutral,PacketCollisionDynamics,0.96,0.9449,0.9271,0.9259,0.8982,0.8909,0.9056,INTERACTION-STABLE
16384,Neutral,PacketCollisionDynamics,0.942,0.9443,0.9188,0.9069,0.8943,0.8746,0.9036,INTERACTION-STABLE
24576,Neutral,PacketCollisionDynamics,0.96,0.9267,0.94,0.9178,0.8956,0.8907,0.9252,INTERACTION-STABLE
32768,Neutral,PacketCollisionDynamics,0.96,0.9349,0.9383,0.9248,0.9131,0.8844,0.8957,INTERACTION-STABLE
65536,Neutral,PacketCollisionDynamics,0.96,0.96,0.9221,0.9162,0.887,0.8835,0.9068,INTERACTION-STABLE
131072,Neutral,PacketCollisionDynamics,0.96,0.9334,0.931,0.9195,0.8968,0.874,0.9255,INTERACTION-STABLE
262144,Neutral,PacketCollisionDynamics,0.9514,0.9225,0.9372,0.9136,0.878,0.8957,0.8991,INTERACTION-STABLE
524288,Neutral,PacketCollisionDynamics,0.9355,0.9284,0.9049,0.9265,0.8958,0.8821,0.8917,INTERACTION-STABLE
1048576,Neutral,PacketCollisionDynamics,0.9441,0.926,0.904,0.8996,0.8826,0.8712,0.9123,INTERACTION-STABLE
2097152,Neutral,PacketCollisionDynamics,0.9444,0.9303,0.914,0.8951,0.873,0.8702,0.8942,INTERACTION-STABLE
4194304,Neutral,PacketCollisionDynamics,0.9137,0.9019,0.8798,0.8648,0.8286,0.8272,0.875,INTERACTION-STABLE
8388608,Neutral,PacketCollisionDynamics,0.8586,0.8308,0.8332,0.8255,0.8082,0.7962,0.8198,INTERACTION-BOUNDED
16777216,Neutral,PacketCollisionDynamics,0.747,0.7543,0.7202,0.729,0.7139,0.7126,0.7332,INTERACTION-PARTIAL
1,Neutral,RecursiveInteractionPersistence,0.9538,0.9348,0.9353,0.8876,0.92,0.895,0.8892,INTERACTION-STABLE
2,Neutral,RecursiveInteractionPersistence,0.96,0.9183,0.94,0.9161,0.8904,0.9048,0.9255,INTERACTION-STABLE
4,Neutral,RecursiveInteractionPersistence,0.96,0.9075,0.94,0.9129,0.9005,0.8839,0.8868,INTERACTION-STABLE
6,Neutral,RecursiveInteractionPersistence,0.9483,0.9439,0.94,0.9146,0.9055,0.8934,0.9106,INTERACTION-STABLE
8,Neutral,RecursiveInteractionPersistence,0.96,0.9439,0.94,0.917,0.8919,0.8724,0.891,INTERACTION-STABLE
12,Neutral,RecursiveInteractionPersistence,0.9579,0.9231,0.9363,0.9159,0.9132,0.8717,0.9253,INTERACTION-STABLE
16,Neutral,RecursiveInteractionPersistence,0.96,0.9077,0.94,0.9096,0.9088,0.9048,0.9067,INTERACTION-STABLE
20,Neutral,RecursiveInteractionPersistence,0.96,0.9297,0.94,0.8892,0.9111,0.8843,0.9134,INTERACTION-STABLE
24,Neutral,RecursiveInteractionPersistence,0.9585,0.9291,0.94,0.9237,0.886,0.8956,0.9134,INTERACTION-STABLE
32,Neutral,RecursiveInteractionPersistence,0.9504,0.9208,0.94,0.8995,0.9041,0.9023,0.9227,INTERACTION-STABLE
40,Neutral,RecursiveInteractionPersistence,0.96,0.9304,0.94,0.9038,0.8962,0.8713,0.8902,INTERACTION-STABLE
48,Neutral,RecursiveInteractionPersistence,0.96,0.9431,0.94,0.8934,0.8868,0.8989,0.9208,INTERACTION-STABLE
64,Neutral,RecursiveInteractionPersistence,0.96,0.929,0.94,0.9061,0.9137,0.8923,0.9015,INTERACTION-STABLE
80,Neutral,RecursiveInteractionPersistence,0.96,0.9316,0.94,0.8963,0.892,0.8897,0.909,INTERACTION-STABLE
96,Neutral,RecursiveInteractionPersistence,0.96,0.9217,0.94,0.9209,0.9008,0.8833,0.9094,INTERACTION-STABLE
128,Neutral,RecursiveInteractionPersistence,0.9488,0.9137,0.9283,0.9079,0.9021,0.8966,0.9057,INTERACTION-STABLE
160,Neutral,RecursiveInteractionPersistence,0.96,0.9226,0.94,0.9051,0.92,0.8682,0.8993,INTERACTION-STABLE
192,Neutral,RecursiveInteractionPersistence,0.96,0.9262,0.94,0.9131,0.92,0.8931,0.8927,INTERACTION-STABLE
256,Neutral,RecursiveInteractionPersistence,0.96,0.9227,0.9314,0.9125,0.894,0.8656,0.9151,INTERACTION-STABLE
320,Neutral,RecursiveInteractionPersistence,0.96,0.9414,0.94,0.8943,0.89,0.8672,0.903,INTERACTION-STABLE
512,Neutral,RecursiveInteractionPersistence,0.9527,0.928,0.94,0.8945,0.8864,0.8881,0.9192,INTERACTION-STABLE
768,Neutral,RecursiveInteractionPersistence,0.96,0.9119,0.9305,0.9006,0.9133,0.8823,0.9191,INTERACTION-STABLE
1024,Neutral,RecursiveInteractionPersistence,0.96,0.9392,0.94,0.9167,0.8965,0.8827,0.8952,INTERACTION-STABLE
1536,Neutral,RecursiveInteractionPersistence,0.96,0.9361,0.929,0.9168,0.9062,0.8822,0.9003,INTERACTION-STABLE
2048,Neutral,RecursiveInteractionPersistence,0.96,0.9257,0.94,0.9046,0.9159,0.9014,0.9118,INTERACTION-STABLE
3072,Neutral,RecursiveInteractionPersistence,0.96,0.9385,0.94,0.9136,0.9168,0.8662,0.8892,INTERACTION-STABLE
4096,Neutral,RecursiveInteractionPersistence,0.96,0.912,0.94,0.9041,0.8896,0.8822,0.9232,INTERACTION-STABLE
6144,Neutral,RecursiveInteractionPersistence,0.9468,0.9435,0.94,0.8991,0.8905,0.8793,0.9099,INTERACTION-STABLE
8192,Neutral,RecursiveInteractionPersistence,0.9528,0.9309,0.94,0.9125,0.8896,0.9004,0.8961,INTERACTION-STABLE
12288,Neutral,RecursiveInteractionPersistence,0.9551,0.9382,0.94,0.9138,0.8988,0.899,0.915,INTERACTION-STABLE
16384,Neutral,RecursiveInteractionPersistence,0.96,0.9063,0.94,0.8882,0.9046,0.8846,0.9116,INTERACTION-STABLE
24576,Neutral,RecursiveInteractionPersistence,0.9568,0.9102,0.94,0.9154,0.9081,0.885,0.8941,INTERACTION-STABLE
32768,Neutral,RecursiveInteractionPersistence,0.96,0.9388,0.9258,0.9054,0.9122,0.8957,0.9177,INTERACTION-STABLE
65536,Neutral,RecursiveInteractionPersistence,0.96,0.9305,0.94,0.9024,0.8972,0.8927,0.9041,INTERACTION-STABLE
131072,Neutral,RecursiveInteractionPersistence,0.9593,0.9377,0.94,0.915,0.9084,0.8671,0.9119,INTERACTION-STABLE
262144,Neutral,RecursiveInteractionPersistence,0.9478,0.9179,0.9265,0.8972,0.9161,0.8736,0.8837,INTERACTION-STABLE
524288,Neutral,RecursiveInteractionPersistence,0.9423,0.9098,0.9281,0.9002,0.9039,0.8732,0.887,INTERACTION-STABLE
1048576,Neutral,RecursiveInteractionPersistence,0.9348,0.9201,0.9167,0.9038,0.9037,0.8765,0.9069,INTERACTION-STABLE
2097152,Neutral,RecursiveInteractionPersistence,0.9203,0.8906,0.9117,0.8653,0.8612,0.8577,0.8731,INTERACTION-BOUNDED
4194304,Neutral,RecursiveInteractionPersistence,0.9163,0.8619,0.9021,0.8471,0.8633,0.8429,0.8461,INTERACTION-BOUNDED
8388608,Neutral,RecursiveInteractionPersistence,0.8598,0.8047,0.8273,0.7832,0.7879,0.7757,0.796,INTERACTION-BOUNDED
16777216,Neutral,RecursiveInteractionPersistence,0.7575,0.7436,0.7389,0.7059,0.7103,0.714,0.7246,INTERACTION-PARTIAL
1,Neutral,IdentityRetentionAfterCollision,0.96,0.9171,0.9169,0.917,0.919,0.9049,0.8928,INTERACTION-STABLE
2,Neutral,IdentityRetentionAfterCollision,0.96,0.9204,0.9161,0.93,0.92,0.8813,0.9117,INTERACTION-STABLE
4,Neutral,IdentityRetentionAfterCollision,0.9453,0.9265,0.9152,0.93,0.9142,0.91,0.9084,INTERACTION-STABLE
6,Neutral,IdentityRetentionAfterCollision,0.96,0.9259,0.911,0.93,0.914,0.8983,0.9054,INTERACTION-STABLE
8,Neutral,IdentityRetentionAfterCollision,0.96,0.9134,0.8985,0.9187,0.8924,0.906,0.9213,INTERACTION-STABLE
12,Neutral,IdentityRetentionAfterCollision,0.9509,0.9106,0.9155,0.93,0.9045,0.8865,0.9196,INTERACTION-STABLE
16,Neutral,IdentityRetentionAfterCollision,0.96,0.9067,0.9105,0.93,0.8999,0.8926,0.9043,INTERACTION-STABLE
20,Neutral,IdentityRetentionAfterCollision,0.9436,0.9277,0.9229,0.93,0.8871,0.8794,0.9056,INTERACTION-STABLE
24,Neutral,IdentityRetentionAfterCollision,0.9477,0.9324,0.9171,0.9166,0.9189,0.8938,0.8986,INTERACTION-STABLE
32,Neutral,IdentityRetentionAfterCollision,0.96,0.9445,0.9344,0.93,0.8963,0.8887,0.8941,INTERACTION-STABLE
40,Neutral,IdentityRetentionAfterCollision,0.96,0.9208,0.9207,0.9255,0.92,0.9069,0.8968,INTERACTION-STABLE
48,Neutral,IdentityRetentionAfterCollision,0.96,0.9124,0.9342,0.93,0.9108,0.91,0.9234,INTERACTION-STABLE
64,Neutral,IdentityRetentionAfterCollision,0.96,0.9197,0.9173,0.9181,0.8941,0.8989,0.8977,INTERACTION-STABLE
80,Neutral,IdentityRetentionAfterCollision,0.9589,0.9162,0.9128,0.927,0.8861,0.8784,0.9007,INTERACTION-STABLE
96,Neutral,IdentityRetentionAfterCollision,0.96,0.9129,0.9241,0.93,0.901,0.8857,0.9008,INTERACTION-STABLE
128,Neutral,IdentityRetentionAfterCollision,0.9537,0.9151,0.9266,0.93,0.8979,0.9085,0.8916,INTERACTION-STABLE
160,Neutral,IdentityRetentionAfterCollision,0.942,0.9258,0.8982,0.9244,0.8928,0.8936,0.8857,INTERACTION-STABLE
192,Neutral,IdentityRetentionAfterCollision,0.947,0.9444,0.9329,0.9233,0.9004,0.8885,0.916,INTERACTION-STABLE
256,Neutral,IdentityRetentionAfterCollision,0.9485,0.934,0.9149,0.93,0.9053,0.91,0.8999,INTERACTION-STABLE
320,Neutral,IdentityRetentionAfterCollision,0.9585,0.914,0.908,0.93,0.8949,0.8906,0.899,INTERACTION-STABLE
512,Neutral,IdentityRetentionAfterCollision,0.96,0.9445,0.9154,0.93,0.916,0.9005,0.9134,INTERACTION-STABLE
768,Neutral,IdentityRetentionAfterCollision,0.9426,0.938,0.9185,0.93,0.9059,0.9009,0.9128,INTERACTION-STABLE
1024,Neutral,IdentityRetentionAfterCollision,0.96,0.9247,0.9211,0.9191,0.9133,0.879,0.8886,INTERACTION-STABLE
1536,Neutral,IdentityRetentionAfterCollision,0.9498,0.9365,0.8975,0.93,0.9193,0.8792,0.9209,INTERACTION-STABLE
2048,Neutral,IdentityRetentionAfterCollision,0.9576,0.9131,0.9003,0.93,0.9033,0.8952,0.9018,INTERACTION-STABLE
3072,Neutral,IdentityRetentionAfterCollision,0.96,0.93,0.8978,0.93,0.9055,0.9099,0.8966,INTERACTION-STABLE
4096,Neutral,IdentityRetentionAfterCollision,0.9545,0.9357,0.9145,0.93,0.92,0.9088,0.9226,INTERACTION-STABLE
6144,Neutral,IdentityRetentionAfterCollision,0.96,0.9371,0.9085,0.93,0.9031,0.9037,0.8883,INTERACTION-STABLE
8192,Neutral,IdentityRetentionAfterCollision,0.96,0.9228,0.9078,0.93,0.9159,0.8991,0.9117,INTERACTION-STABLE
12288,Neutral,IdentityRetentionAfterCollision,0.96,0.9335,0.9214,0.93,0.8867,0.9043,0.9137,INTERACTION-STABLE
16384,Neutral,IdentityRetentionAfterCollision,0.9528,0.9271,0.9061,0.93,0.9137,0.8846,0.914,INTERACTION-STABLE
24576,Neutral,IdentityRetentionAfterCollision,0.9491,0.9312,0.9126,0.93,0.9027,0.8838,0.8916,INTERACTION-STABLE
32768,Neutral,IdentityRetentionAfterCollision,0.96,0.9412,0.9184,0.9244,0.8982,0.8752,0.9085,INTERACTION-STABLE
65536,Neutral,IdentityRetentionAfterCollision,0.9491,0.9096,0.9311,0.9263,0.9144,0.8943,0.9173,INTERACTION-STABLE
131072,Neutral,IdentityRetentionAfterCollision,0.96,0.9186,0.8996,0.93,0.9106,0.8867,0.9174,INTERACTION-STABLE
262144,Neutral,IdentityRetentionAfterCollision,0.9588,0.9238,0.923,0.9145,0.9057,0.9016,0.8896,INTERACTION-STABLE
524288,Neutral,IdentityRetentionAfterCollision,0.96,0.9324,0.8999,0.93,0.9147,0.895,0.9092,INTERACTION-STABLE
1048576,Neutral,IdentityRetentionAfterCollision,0.96,0.9176,0.9172,0.93,0.8818,0.8787,0.9009,INTERACTION-STABLE
2097152,Neutral,IdentityRetentionAfterCollision,0.9349,0.8823,0.8771,0.9136,0.8783,0.8835,0.8779,INTERACTION-BOUNDED
4194304,Neutral,IdentityRetentionAfterCollision,0.8842,0.871,0.8678,0.8625,0.8448,0.8557,0.8411,INTERACTION-BOUNDED
8388608,Neutral,IdentityRetentionAfterCollision,0.8445,0.8314,0.8072,0.8282,0.7904,0.7896,0.8162,INTERACTION-BOUNDED
16777216,Neutral,IdentityRetentionAfterCollision,0.7745,0.7234,0.7225,0.7274,0.7242,0.7217,0.7184,INTERACTION-PARTIAL
1,Neutral,ExchangeConservationTracking,0.9374,0.936,0.8995,0.9127,0.92,0.8904,0.9104,INTERACTION-STABLE
2,Neutral,ExchangeConservationTracking,0.96,0.95,0.9082,0.9078,0.92,0.8773,0.9059,INTERACTION-STABLE
4,Neutral,ExchangeConservationTracking,0.95,0.9284,0.9276,0.9275,0.9167,0.8711,0.93,INTERACTION-STABLE
6,Neutral,ExchangeConservationTracking,0.9421,0.9404,0.9035,0.93,0.92,0.9029,0.9205,INTERACTION-STABLE
8,Neutral,ExchangeConservationTracking,0.9588,0.9525,0.8965,0.9284,0.92,0.8956,0.8997,INTERACTION-STABLE
12,Neutral,ExchangeConservationTracking,0.96,0.9411,0.9112,0.9179,0.92,0.8876,0.9102,INTERACTION-STABLE
16,Neutral,ExchangeConservationTracking,0.9404,0.9526,0.934,0.898,0.92,0.8854,0.93,INTERACTION-STABLE
20,Neutral,ExchangeConservationTracking,0.9407,0.9532,0.9323,0.9266,0.92,0.8669,0.8999,INTERACTION-STABLE
24,Neutral,ExchangeConservationTracking,0.96,0.947,0.9119,0.9056,0.9146,0.8973,0.9125,INTERACTION-STABLE
32,Neutral,ExchangeConservationTracking,0.96,0.9193,0.9041,0.9068,0.92,0.9035,0.93,INTERACTION-STABLE
40,Neutral,ExchangeConservationTracking,0.96,0.9351,0.8974,0.9034,0.92,0.905,0.93,INTERACTION-STABLE
48,Neutral,ExchangeConservationTracking,0.9375,0.9199,0.9141,0.8971,0.9087,0.9053,0.9267,INTERACTION-STABLE
