depth,sector,condition,rg_similarity,emergent_mode_stability,independent_mode_coherence,recursive_mode_persistence,composite_mode_gain,mode_reproduction_index,transport_mode_alignment,classification
1,Antisymmetry,IndependentTransportTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Antisymmetry,IndependentTransportTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
4,Antisymmetry,IndependentTransportTracking,0.96,0.9287,0.9215,0.9042,0.8948,0.8746,0.92,MODE-STABLE
6,Antisymmetry,IndependentTransportTracking,0.923,0.9214,0.9087,0.8811,0.8719,0.8588,0.8846,MODE-STABLE
8,Antisymmetry,IndependentTransportTracking,0.9059,0.8941,0.9005,0.8826,0.8374,0.8369,0.8871,MODE-BOUNDED
12,Antisymmetry,IndependentTransportTracking,0.8751,0.8426,0.8357,0.8292,0.8164,0.7817,0.8445,MODE-BOUNDED
16,Antisymmetry,IndependentTransportTracking,0.8103,0.7829,0.7938,0.7928,0.75,0.7677,0.7796,MODE-PARTIAL
20,Antisymmetry,IndependentTransportTracking,0.7798,0.7596,0.7486,0.7407,0.7341,0.7191,0.7517,MODE-PARTIAL
24,Antisymmetry,IndependentTransportTracking,0.7395,0.7314,0.737,0.6986,0.6842,0.6956,0.7065,MODE-PARTIAL
32,Antisymmetry,IndependentTransportTracking,0.6917,0.6536,0.6574,0.654,0.6447,0.6256,0.6703,MODE-DEGRADING
40,Antisymmetry,IndependentTransportTracking,0.6476,0.6095,0.6029,0.5974,0.5961,0.5751,0.6166,MODE-DEGRADING
48,Antisymmetry,IndependentTransportTracking,0.5819,0.5664,0.5673,0.5526,0.5392,0.5356,0.561,MODE-DEGRADING
64,Antisymmetry,IndependentTransportTracking,0.5275,0.495,0.5092,0.4966,0.489,0.4731,0.4879,MODE-FAILED
80,Antisymmetry,IndependentTransportTracking,0.4604,0.4406,0.4493,0.4418,0.4234,0.4225,0.4487,MODE-FAILED
96,Antisymmetry,IndependentTransportTracking,0.4191,0.4076,0.4034,0.3882,0.3809,0.3795,0.3907,MODE-FAILED
128,Antisymmetry,IndependentTransportTracking,0.3496,0.3371,0.3348,0.3298,0.3165,0.314,0.3342,MODE-FAILED
160,Antisymmetry,IndependentTransportTracking,0.301,0.2929,0.2903,0.278,0.2822,0.2722,0.2829,MODE-FAILED
192,Antisymmetry,IndependentTransportTracking,0.257,0.2545,0.2487,0.2502,0.2425,0.2359,0.2454,MODE-FAILED
256,Antisymmetry,IndependentTransportTracking,0.2074,0.2054,0.2019,0.2015,0.1906,0.1927,0.2042,MODE-FAILED
320,Antisymmetry,IndependentTransportTracking,0.1766,0.1702,0.1685,0.1675,0.1638,0.1575,0.1679,MODE-FAILED
512,Antisymmetry,IndependentTransportTracking,0.1159,0.1121,0.1122,0.1109,0.1087,0.1086,0.1111,MODE-FAILED
768,Antisymmetry,IndependentTransportTracking,0.0808,0.0784,0.0776,0.0776,0.0745,0.0741,0.0761,MODE-FAILED
1024,Antisymmetry,IndependentTransportTracking,0.0611,0.0599,0.059,0.0583,0.0573,0.057,0.0595,MODE-FAILED
1536,Antisymmetry,IndependentTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Antisymmetry,IndependentTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Antisymmetry,RecursiveModeStabilization,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Antisymmetry,RecursiveModeStabilization,0.96,0.94,0.9265,0.92,0.91,0.9,0.92,MODE-STABLE
4,Antisymmetry,RecursiveModeStabilization,0.9486,0.94,0.9013,0.9188,0.91,0.9,0.8871,MODE-STABLE
6,Antisymmetry,RecursiveModeStabilization,0.9441,0.9096,0.9005,0.8827,0.8645,0.883,0.8931,MODE-STABLE
8,Antisymmetry,RecursiveModeStabilization,0.8949,0.8713,0.8705,0.8853,0.8673,0.8615,0.8384,MODE-BOUNDED
12,Antisymmetry,RecursiveModeStabilization,0.8741,0.8349,0.8216,0.8363,0.8136,0.7864,0.8,MODE-BOUNDED
16,Antisymmetry,RecursiveModeStabilization,0.8311,0.8031,0.7907,0.7798,0.7736,0.779,0.7815,MODE-PARTIAL
20,Antisymmetry,RecursiveModeStabilization,0.7974,0.7679,0.7511,0.7541,0.7212,0.7406,0.7499,MODE-PARTIAL
24,Antisymmetry,RecursiveModeStabilization,0.7361,0.7384,0.7174,0.731,0.6908,0.6916,0.7155,MODE-PARTIAL
32,Antisymmetry,RecursiveModeStabilization,0.6985,0.6728,0.6436,0.6548,0.648,0.6475,0.6378,MODE-DEGRADING
40,Antisymmetry,RecursiveModeStabilization,0.6266,0.6173,0.5931,0.6068,0.5888,0.5919,0.598,MODE-DEGRADING
48,Antisymmetry,RecursiveModeStabilization,0.5838,0.5634,0.5679,0.57,0.5512,0.5456,0.555,MODE-DEGRADING
64,Antisymmetry,RecursiveModeStabilization,0.5133,0.4927,0.497,0.4948,0.4851,0.4868,0.476,MODE-FAILED
80,Antisymmetry,RecursiveModeStabilization,0.4623,0.449,0.4441,0.4431,0.4399,0.4204,0.4366,MODE-FAILED
96,Antisymmetry,RecursiveModeStabilization,0.4149,0.4066,0.3922,0.393,0.3831,0.3848,0.3906,MODE-FAILED
128,Antisymmetry,RecursiveModeStabilization,0.3479,0.3313,0.3261,0.3311,0.3205,0.3234,0.3324,MODE-FAILED
160,Antisymmetry,RecursiveModeStabilization,0.2914,0.2925,0.2832,0.2854,0.2749,0.279,0.2764,MODE-FAILED
192,Antisymmetry,RecursiveModeStabilization,0.26,0.2506,0.2477,0.2549,0.2401,0.2437,0.2426,MODE-FAILED
256,Antisymmetry,RecursiveModeStabilization,0.21,0.2047,0.1942,0.1982,0.1919,0.1954,0.1989,MODE-FAILED
320,Antisymmetry,RecursiveModeStabilization,0.1765,0.1686,0.1684,0.1643,0.1623,0.1603,0.1657,MODE-FAILED
512,Antisymmetry,RecursiveModeStabilization,0.118,0.1105,0.1115,0.1112,0.1088,0.1093,0.1097,MODE-FAILED
768,Antisymmetry,RecursiveModeStabilization,0.0799,0.0784,0.0762,0.0784,0.0744,0.0739,0.0769,MODE-FAILED
1024,Antisymmetry,RecursiveModeStabilization,0.0627,0.0604,0.0586,0.0588,0.057,0.0563,0.057,MODE-FAILED
1536,Antisymmetry,RecursiveModeStabilization,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Antisymmetry,RecursiveModeStabilization,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Antisymmetry,CompositeModeInteractionMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Antisymmetry,CompositeModeInteractionMapping,0.96,0.9345,0.93,0.9161,0.91,0.9,0.92,MODE-STABLE
4,Antisymmetry,CompositeModeInteractionMapping,0.9523,0.94,0.9295,0.9177,0.91,0.8686,0.9102,MODE-STABLE
6,Antisymmetry,CompositeModeInteractionMapping,0.9323,0.9061,0.8998,0.8946,0.8733,0.8431,0.8804,MODE-BOUNDED
8,Antisymmetry,CompositeModeInteractionMapping,0.9213,0.8598,0.8776,0.8599,0.8618,0.8422,0.8483,MODE-BOUNDED
12,Antisymmetry,CompositeModeInteractionMapping,0.8528,0.8125,0.8249,0.8107,0.8199,0.8027,0.7978,MODE-BOUNDED
16,Antisymmetry,CompositeModeInteractionMapping,0.833,0.794,0.7962,0.7819,0.7692,0.7432,0.7697,MODE-PARTIAL
20,Antisymmetry,CompositeModeInteractionMapping,0.7778,0.7509,0.7444,0.7403,0.7574,0.7075,0.7208,MODE-PARTIAL
24,Antisymmetry,CompositeModeInteractionMapping,0.7355,0.7181,0.701,0.7068,0.706,0.6983,0.7102,MODE-PARTIAL
32,Antisymmetry,CompositeModeInteractionMapping,0.6926,0.6531,0.647,0.6432,0.6578,0.6231,0.6339,MODE-DEGRADING
40,Antisymmetry,CompositeModeInteractionMapping,0.63,0.6004,0.595,0.5862,0.5998,0.5717,0.5967,MODE-DEGRADING
48,Antisymmetry,CompositeModeInteractionMapping,0.5908,0.5771,0.5694,0.5621,0.557,0.5501,0.5658,MODE-DEGRADING
64,Antisymmetry,CompositeModeInteractionMapping,0.5085,0.4933,0.4923,0.4802,0.4861,0.4721,0.4958,MODE-FAILED
80,Antisymmetry,CompositeModeInteractionMapping,0.457,0.4413,0.4421,0.4334,0.4296,0.4305,0.437,MODE-FAILED
96,Antisymmetry,CompositeModeInteractionMapping,0.4048,0.3997,0.3888,0.3925,0.3933,0.3796,0.3943,MODE-FAILED
128,Antisymmetry,CompositeModeInteractionMapping,0.3443,0.3299,0.3343,0.3254,0.333,0.3252,0.3318,MODE-FAILED
160,Antisymmetry,CompositeModeInteractionMapping,0.3013,0.2872,0.2792,0.2806,0.2794,0.2763,0.2842,MODE-FAILED
192,Antisymmetry,CompositeModeInteractionMapping,0.2583,0.2526,0.2459,0.2481,0.2474,0.2416,0.245,MODE-FAILED
256,Antisymmetry,CompositeModeInteractionMapping,0.2057,0.199,0.1992,0.1963,0.1983,0.1894,0.1982,MODE-FAILED
320,Antisymmetry,CompositeModeInteractionMapping,0.1737,0.1646,0.1642,0.1663,0.1645,0.1625,0.1615,MODE-FAILED
512,Antisymmetry,CompositeModeInteractionMapping,0.1133,0.1136,0.109,0.1097,0.1125,0.106,0.1078,MODE-FAILED
768,Antisymmetry,CompositeModeInteractionMapping,0.0787,0.0756,0.0754,0.0768,0.0779,0.0726,0.0764,MODE-FAILED
1024,Antisymmetry,CompositeModeInteractionMapping,0.062,0.0601,0.0589,0.0587,0.0576,0.0565,0.0579,MODE-FAILED
1536,Antisymmetry,CompositeModeInteractionMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Antisymmetry,CompositeModeInteractionMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Antisymmetry,ModeReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Antisymmetry,ModeReproductionDynamics,0.96,0.94,0.93,0.92,0.904,0.9,0.92,MODE-STABLE
4,Antisymmetry,ModeReproductionDynamics,0.9586,0.9391,0.92,0.9015,0.8789,0.9,0.9024,MODE-STABLE
6,Antisymmetry,ModeReproductionDynamics,0.9112,0.9167,0.9027,0.898,0.8734,0.8972,0.8809,MODE-STABLE
8,Antisymmetry,ModeReproductionDynamics,0.8911,0.8867,0.8491,0.8644,0.8582,0.8523,0.8527,MODE-BOUNDED
12,Antisymmetry,ModeReproductionDynamics,0.8616,0.8308,0.8184,0.8313,0.8034,0.8128,0.8112,MODE-BOUNDED
16,Antisymmetry,ModeReproductionDynamics,0.8292,0.7735,0.7816,0.7695,0.7798,0.7616,0.7743,MODE-PARTIAL
20,Antisymmetry,ModeReproductionDynamics,0.7615,0.7433,0.7422,0.7445,0.7194,0.7204,0.7491,MODE-PARTIAL
24,Antisymmetry,ModeReproductionDynamics,0.7523,0.7167,0.6987,0.7015,0.7076,0.6937,0.7017,MODE-DEGRADING
32,Antisymmetry,ModeReproductionDynamics,0.6833,0.6528,0.6597,0.6467,0.641,0.6339,0.6349,MODE-DEGRADING
40,Antisymmetry,ModeReproductionDynamics,0.6161,0.6067,0.615,0.5964,0.6014,0.5888,0.592,MODE-DEGRADING
48,Antisymmetry,ModeReproductionDynamics,0.5792,0.5687,0.5529,0.5623,0.539,0.5485,0.5607,MODE-DEGRADING
64,Antisymmetry,ModeReproductionDynamics,0.5105,0.5002,0.4868,0.4838,0.4911,0.4821,0.4762,MODE-FAILED
80,Antisymmetry,ModeReproductionDynamics,0.4613,0.4414,0.4452,0.4334,0.4222,0.4413,0.427,MODE-FAILED
96,Antisymmetry,ModeReproductionDynamics,0.414,0.3986,0.3946,0.4002,0.3837,0.3829,0.3914,MODE-FAILED
128,Antisymmetry,ModeReproductionDynamics,0.3429,0.3299,0.3337,0.325,0.3177,0.3194,0.3245,MODE-FAILED
160,Antisymmetry,ModeReproductionDynamics,0.295,0.2869,0.2768,0.2876,0.2815,0.276,0.2808,MODE-FAILED
192,Antisymmetry,ModeReproductionDynamics,0.2569,0.2456,0.2503,0.2446,0.2453,0.2459,0.241,MODE-FAILED
256,Antisymmetry,ModeReproductionDynamics,0.2035,0.2011,0.1978,0.1951,0.1908,0.1937,0.1931,MODE-FAILED
320,Antisymmetry,ModeReproductionDynamics,0.1735,0.1702,0.1647,0.1637,0.1651,0.1667,0.1659,MODE-FAILED
512,Antisymmetry,ModeReproductionDynamics,0.1131,0.111,0.1085,0.1091,0.1071,0.1072,0.1069,MODE-FAILED
768,Antisymmetry,ModeReproductionDynamics,0.0793,0.0768,0.0764,0.0779,0.0749,0.0746,0.0763,MODE-FAILED
1024,Antisymmetry,ModeReproductionDynamics,0.0621,0.0585,0.0577,0.0573,0.0564,0.0575,0.0586,MODE-FAILED
1536,Antisymmetry,ModeReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Antisymmetry,ModeReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Antisymmetry,NullModeControl,0.824,0.7985,0.7708,0.8149,0.7644,0.7616,0.7596,MODE-PARTIAL
2,Antisymmetry,NullModeControl,0.8139,0.7995,0.7734,0.7732,0.7593,0.753,0.7523,MODE-PARTIAL
4,Antisymmetry,NullModeControl,0.7842,0.7522,0.7613,0.7712,0.7377,0.724,0.74,MODE-PARTIAL
6,Antisymmetry,NullModeControl,0.7449,0.731,0.7193,0.7327,0.71,0.6901,0.7288,MODE-PARTIAL
8,Antisymmetry,NullModeControl,0.7286,0.7067,0.6938,0.7303,0.7096,0.6996,0.6942,MODE-DEGRADING
12,Antisymmetry,NullModeControl,0.6838,0.6799,0.6818,0.6804,0.6595,0.6554,0.6698,MODE-DEGRADING
16,Antisymmetry,NullModeControl,0.6711,0.6453,0.651,0.6432,0.6195,0.6167,0.646,MODE-DEGRADING
20,Antisymmetry,NullModeControl,0.6185,0.6226,0.6114,0.6345,0.6036,0.5993,0.5956,MODE-DEGRADING
24,Antisymmetry,NullModeControl,0.6038,0.6063,0.5943,0.5821,0.5681,0.5521,0.5734,MODE-DEGRADING
32,Antisymmetry,NullModeControl,0.547,0.5334,0.535,0.5516,0.5283,0.5173,0.5305,MODE-FAILED
40,Antisymmetry,NullModeControl,0.5225,0.4897,0.4939,0.4933,0.4728,0.4844,0.4806,MODE-FAILED
48,Antisymmetry,NullModeControl,0.4767,0.4704,0.4593,0.4677,0.4424,0.4534,0.4602,MODE-FAILED
64,Antisymmetry,NullModeControl,0.418,0.4113,0.4023,0.4175,0.4004,0.3948,0.3966,MODE-FAILED
80,Antisymmetry,NullModeControl,0.3739,0.3733,0.3568,0.3713,0.3564,0.3446,0.3625,MODE-FAILED
96,Antisymmetry,NullModeControl,0.3313,0.3241,0.3182,0.3243,0.3218,0.3131,0.3259,MODE-FAILED
128,Antisymmetry,NullModeControl,0.284,0.2784,0.2649,0.2708,0.2605,0.2541,0.2627,MODE-FAILED
160,Antisymmetry,NullModeControl,0.2404,0.235,0.2325,0.2352,0.2217,0.2241,0.226,MODE-FAILED
192,Antisymmetry,NullModeControl,0.2097,0.2088,0.2051,0.2019,0.2001,0.1949,0.1986,MODE-FAILED
256,Antisymmetry,NullModeControl,0.1661,0.1655,0.1604,0.1624,0.1564,0.1588,0.161,MODE-FAILED
320,Antisymmetry,NullModeControl,0.1372,0.1363,0.1333,0.1382,0.1352,0.1309,0.1324,MODE-FAILED
512,Antisymmetry,NullModeControl,0.093,0.0935,0.0887,0.0916,0.0875,0.0876,0.0883,MODE-FAILED
768,Antisymmetry,NullModeControl,0.065,0.0633,0.0613,0.0633,0.0615,0.0597,0.0605,MODE-FAILED
1024,Antisymmetry,NullModeControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1536,Antisymmetry,NullModeControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Antisymmetry,NullModeControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Neutral,EmergentModeExtraction,0.9549,0.8981,0.908,0.901,0.8619,0.8619,0.8693,MODE-BOUNDED
2,Neutral,EmergentModeExtraction,0.9311,0.8899,0.9109,0.8707,0.8646,0.8657,0.8628,MODE-BOUNDED
4,Neutral,EmergentModeExtraction,0.9196,0.8884,0.8555,0.8646,0.8442,0.8554,0.8309,MODE-BOUNDED
6,Neutral,EmergentModeExtraction,0.8919,0.8536,0.8556,0.8206,0.8145,0.7972,0.8241,MODE-BOUNDED
8,Neutral,EmergentModeExtraction,0.8434,0.8272,0.8041,0.7911,0.8062,0.7822,0.8178,MODE-BOUNDED
12,Neutral,EmergentModeExtraction,0.821,0.7729,0.7769,0.7443,0.7528,0.7627,0.7642,MODE-PARTIAL
16,Neutral,EmergentModeExtraction,0.7665,0.7325,0.7396,0.7256,0.7039,0.7209,0.7084,MODE-PARTIAL
20,Neutral,EmergentModeExtraction,0.7482,0.727,0.7015,0.6763,0.6798,0.6858,0.6971,MODE-PARTIAL
24,Neutral,EmergentModeExtraction,0.7164,0.6707,0.6839,0.6533,0.647,0.6456,0.6527,MODE-DEGRADING
32,Neutral,EmergentModeExtraction,0.6356,0.6168,0.6192,0.5928,0.6072,0.6106,0.6057,MODE-DEGRADING
40,Neutral,EmergentModeExtraction,0.5979,0.5746,0.5738,0.551,0.5472,0.5474,0.5615,MODE-DEGRADING
48,Neutral,EmergentModeExtraction,0.561,0.5272,0.5304,0.5132,0.5117,0.5218,0.5227,MODE-FAILED
64,Neutral,EmergentModeExtraction,0.4922,0.469,0.4637,0.4622,0.458,0.4491,0.4648,MODE-FAILED
80,Neutral,EmergentModeExtraction,0.4292,0.4191,0.4191,0.4133,0.4067,0.4021,0.3969,MODE-FAILED
96,Neutral,EmergentModeExtraction,0.3907,0.3741,0.3781,0.3694,0.3676,0.3566,0.3679,MODE-FAILED
128,Neutral,EmergentModeExtraction,0.3275,0.318,0.311,0.3108,0.2996,0.3078,0.2997,MODE-FAILED
160,Neutral,EmergentModeExtraction,0.2796,0.2658,0.263,0.2673,0.2547,0.26,0.2622,MODE-FAILED
192,Neutral,EmergentModeExtraction,0.2419,0.2399,0.2393,0.2337,0.2222,0.2269,0.2301,MODE-FAILED
256,Neutral,EmergentModeExtraction,0.197,0.1876,0.1881,0.1799,0.184,0.1793,0.1865,MODE-FAILED
320,Neutral,EmergentModeExtraction,0.1655,0.1609,0.1535,0.1499,0.1529,0.1548,0.1527,MODE-FAILED
512,Neutral,EmergentModeExtraction,0.1074,0.1076,0.1048,0.1033,0.1028,0.1002,0.1038,MODE-FAILED
768,Neutral,EmergentModeExtraction,0.0758,0.0726,0.0723,0.0697,0.0708,0.0696,0.0711,MODE-FAILED
1024,Neutral,EmergentModeExtraction,0.0585,0.0557,0.056,0.0545,0.0531,0.0525,0.0549,MODE-FAILED
1536,Neutral,EmergentModeExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Neutral,EmergentModeExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Neutral,ModePersistenceAnalysis,0.9512,0.94,0.9023,0.8893,0.8923,0.8565,0.9154,MODE-STABLE
2,Neutral,ModePersistenceAnalysis,0.9182,0.9282,0.8843,0.9015,0.8899,0.8533,0.8799,MODE-BOUNDED
4,Neutral,ModePersistenceAnalysis,0.9279,0.8947,0.8476,0.8631,0.8404,0.8414,0.8692,MODE-BOUNDED
6,Neutral,ModePersistenceAnalysis,0.8938,0.8731,0.8528,0.8285,0.8212,0.8327,0.8294,MODE-BOUNDED
8,Neutral,ModePersistenceAnalysis,0.8496,0.8466,0.8024,0.8155,0.8094,0.7902,0.8277,MODE-BOUNDED
12,Neutral,ModePersistenceAnalysis,0.8317,0.8036,0.7639,0.7715,0.7654,0.744,0.7702,MODE-PARTIAL
16,Neutral,ModePersistenceAnalysis,0.7893,0.7715,0.7231,0.7327,0.7252,0.7095,0.7367,MODE-PARTIAL
20,Neutral,ModePersistenceAnalysis,0.7281,0.725,0.7026,0.6919,0.6997,0.6792,0.7051,MODE-PARTIAL
24,Neutral,ModePersistenceAnalysis,0.7059,0.6828,0.6798,0.6641,0.6717,0.6404,0.6801,MODE-DEGRADING
32,Neutral,ModePersistenceAnalysis,0.6543,0.6238,0.6121,0.617,0.6002,0.5902,0.6014,MODE-DEGRADING
40,Neutral,ModePersistenceAnalysis,0.6115,0.5904,0.5739,0.5807,0.557,0.5461,0.5774,MODE-DEGRADING
48,Neutral,ModePersistenceAnalysis,0.5602,0.5515,0.527,0.5231,0.5103,0.5166,0.5146,MODE-DEGRADING
64,Neutral,ModePersistenceAnalysis,0.4804,0.4748,0.4554,0.4701,0.4473,0.4514,0.4558,MODE-FAILED
80,Neutral,ModePersistenceAnalysis,0.4276,0.4273,0.4117,0.4127,0.4105,0.4061,0.4105,MODE-FAILED
96,Neutral,ModePersistenceAnalysis,0.3988,0.3821,0.376,0.3723,0.3675,0.3628,0.3707,MODE-FAILED
128,Neutral,ModePersistenceAnalysis,0.3246,0.3157,0.3145,0.3122,0.3048,0.307,0.3032,MODE-FAILED
160,Neutral,ModePersistenceAnalysis,0.2834,0.2715,0.2657,0.263,0.2598,0.2578,0.2682,MODE-FAILED
192,Neutral,ModePersistenceAnalysis,0.2485,0.2437,0.232,0.2354,0.2241,0.2273,0.2274,MODE-FAILED
256,Neutral,ModePersistenceAnalysis,0.1932,0.1947,0.1903,0.1914,0.1818,0.1777,0.1893,MODE-FAILED
320,Neutral,ModePersistenceAnalysis,0.1661,0.1587,0.155,0.1586,0.1526,0.1517,0.1553,MODE-FAILED
512,Neutral,ModePersistenceAnalysis,0.1119,0.1054,0.1045,0.1059,0.1032,0.0998,0.1035,MODE-FAILED
768,Neutral,ModePersistenceAnalysis,0.0756,0.0749,0.073,0.071,0.0722,0.071,0.0701,MODE-FAILED
1024,Neutral,ModePersistenceAnalysis,0.0593,0.0578,0.0552,0.0552,0.0545,0.0536,0.0536,MODE-FAILED
1536,Neutral,ModePersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Neutral,ModePersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Neutral,IndependentTransportTracking,0.9402,0.9068,0.9298,0.8848,0.8825,0.8457,0.8905,MODE-STABLE
2,Neutral,IndependentTransportTracking,0.9385,0.9046,0.8908,0.8929,0.8526,0.8557,0.8892,MODE-BOUNDED
4,Neutral,IndependentTransportTracking,0.9048,0.8685,0.8807,0.851,0.8548,0.8227,0.8833,MODE-BOUNDED
6,Neutral,IndependentTransportTracking,0.8847,0.8364,0.8486,0.8173,0.8304,0.8178,0.8582,MODE-BOUNDED
8,Neutral,IndependentTransportTracking,0.8438,0.8453,0.8401,0.7991,0.7798,0.7925,0.8218,MODE-BOUNDED
12,Neutral,IndependentTransportTracking,0.7998,0.7808,0.795,0.7579,0.763,0.7539,0.7782,MODE-PARTIAL
16,Neutral,IndependentTransportTracking,0.7545,0.736,0.7499,0.7203,0.704,0.7015,0.7336,MODE-PARTIAL
20,Neutral,IndependentTransportTracking,0.7329,0.7028,0.7224,0.6819,0.6676,0.6823,0.6993,MODE-PARTIAL
24,Neutral,IndependentTransportTracking,0.7044,0.6797,0.6674,0.6577,0.6621,0.6583,0.6667,MODE-DEGRADING
32,Neutral,IndependentTransportTracking,0.6375,0.6274,0.6376,0.6147,0.6017,0.5989,0.6259,MODE-DEGRADING
40,Neutral,IndependentTransportTracking,0.601,0.5724,0.5775,0.5595,0.5427,0.5551,0.565,MODE-DEGRADING
48,Neutral,IndependentTransportTracking,0.5575,0.5388,0.5369,0.5213,0.5219,0.4994,0.5248,MODE-FAILED
64,Neutral,IndependentTransportTracking,0.4915,0.4746,0.4786,0.4697,0.4548,0.4548,0.4617,MODE-FAILED
80,Neutral,IndependentTransportTracking,0.4317,0.4245,0.4243,0.4045,0.4009,0.4011,0.4059,MODE-FAILED
96,Neutral,IndependentTransportTracking,0.3854,0.3839,0.3761,0.3674,0.3631,0.36,0.3681,MODE-FAILED
128,Neutral,IndependentTransportTracking,0.321,0.322,0.3083,0.3141,0.3019,0.2943,0.3124,MODE-FAILED
160,Neutral,IndependentTransportTracking,0.2812,0.2725,0.2737,0.2669,0.262,0.2595,0.2711,MODE-FAILED
192,Neutral,IndependentTransportTracking,0.2462,0.2335,0.2345,0.2336,0.2273,0.2199,0.2307,MODE-FAILED
256,Neutral,IndependentTransportTracking,0.198,0.1919,0.1874,0.1869,0.1851,0.1829,0.1899,MODE-FAILED
320,Neutral,IndependentTransportTracking,0.1653,0.158,0.1603,0.1516,0.1482,0.1474,0.1555,MODE-FAILED
512,Neutral,IndependentTransportTracking,0.1077,0.1074,0.1068,0.104,0.1022,0.0985,0.1067,MODE-FAILED
768,Neutral,IndependentTransportTracking,0.0753,0.0733,0.0748,0.0717,0.0687,0.0692,0.0726,MODE-FAILED
1024,Neutral,IndependentTransportTracking,0.0568,0.0553,0.0563,0.0554,0.0528,0.054,0.0557,MODE-FAILED
1536,Neutral,IndependentTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Neutral,IndependentTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Neutral,RecursiveModeStabilization,0.9548,0.9024,0.8803,0.9194,0.8961,0.8588,0.8659,MODE-BOUNDED
2,Neutral,RecursiveModeStabilization,0.9374,0.8934,0.8983,0.8865,0.8561,0.8734,0.8818,MODE-BOUNDED
4,Neutral,RecursiveModeStabilization,0.8988,0.876,0.8509,0.8584,0.8658,0.8211,0.8396,MODE-BOUNDED
6,Neutral,RecursiveModeStabilization,0.8723,0.8605,0.8504,0.8474,0.8355,0.83,0.8289,MODE-BOUNDED
8,Neutral,RecursiveModeStabilization,0.8475,0.8263,0.8004,0.8182,0.7836,0.7864,0.8078,MODE-BOUNDED
12,Neutral,RecursiveModeStabilization,0.8129,0.7959,0.7595,0.7759,0.7637,0.7517,0.7465,MODE-PARTIAL
16,Neutral,RecursiveModeStabilization,0.7534,0.7574,0.7213,0.7452,0.7228,0.7109,0.724,MODE-PARTIAL
20,Neutral,RecursiveModeStabilization,0.7131,0.7159,0.682,0.7121,0.7042,0.6967,0.6829,MODE-DEGRADING
24,Neutral,RecursiveModeStabilization,0.7003,0.6869,0.6711,0.6878,0.6511,0.6373,0.6685,MODE-DEGRADING
32,Neutral,RecursiveModeStabilization,0.6373,0.6188,0.6023,0.6315,0.6077,0.5958,0.5991,MODE-DEGRADING
40,Neutral,RecursiveModeStabilization,0.5783,0.5805,0.5592,0.5797,0.5623,0.5544,0.5486,MODE-DEGRADING
48,Neutral,RecursiveModeStabilization,0.5421,0.5411,0.5207,0.5289,0.5162,0.5129,0.5195,MODE-FAILED
64,Neutral,RecursiveModeStabilization,0.4872,0.4783,0.4617,0.4734,0.4624,0.454,0.4545,MODE-FAILED
80,Neutral,RecursiveModeStabilization,0.431,0.4197,0.4019,0.4061,0.4136,0.4082,0.4013,MODE-FAILED
96,Neutral,RecursiveModeStabilization,0.3848,0.3739,0.3642,0.3793,0.3692,0.3665,0.364,MODE-FAILED
128,Neutral,RecursiveModeStabilization,0.3239,0.3217,0.3035,0.3133,0.3021,0.2997,0.3043,MODE-FAILED
160,Neutral,RecursiveModeStabilization,0.2799,0.2699,0.2634,0.2697,0.2558,0.2591,0.2669,MODE-FAILED
192,Neutral,RecursiveModeStabilization,0.2422,0.2356,0.2289,0.2383,0.2335,0.2246,0.2246,MODE-FAILED
