depth,sector,condition,rg_similarity,universality_stability,scale_invariant_coherence,recursive_rescaling_similarity,attractor_universality,resilience_scaling_index,universality_persistence,classification
32,Antisymmetry,RecursiveRenormalizationAnalysis,0.5339,0.5095,0.5125,0.5032,0.4999,0.492,0.5133,UNIVERSALITY-DEGRADING
40,Antisymmetry,RecursiveRenormalizationAnalysis,0.4754,0.4742,0.4659,0.4643,0.446,0.4467,0.4475,UNIVERSALITY-DEGRADING
48,Antisymmetry,RecursiveRenormalizationAnalysis,0.4411,0.4152,0.4292,0.4083,0.399,0.4044,0.4089,UNIVERSALITY-FAILED
64,Antisymmetry,RecursiveRenormalizationAnalysis,0.375,0.3571,0.3605,0.3519,0.3466,0.3295,0.3425,UNIVERSALITY-FAILED
80,Antisymmetry,RecursiveRenormalizationAnalysis,0.3231,0.3064,0.311,0.2986,0.2922,0.2868,0.2979,UNIVERSALITY-FAILED
96,Antisymmetry,RecursiveRenormalizationAnalysis,0.2854,0.2746,0.266,0.2638,0.2595,0.2598,0.2611,UNIVERSALITY-FAILED
128,Antisymmetry,RecursiveRenormalizationAnalysis,0.228,0.2177,0.2169,0.2163,0.2098,0.2034,0.2101,UNIVERSALITY-FAILED
160,Antisymmetry,RecursiveRenormalizationAnalysis,0.1925,0.1787,0.181,0.1782,0.1744,0.1709,0.1791,UNIVERSALITY-FAILED
192,Antisymmetry,RecursiveRenormalizationAnalysis,0.1614,0.155,0.1577,0.155,0.1469,0.1476,0.1558,UNIVERSALITY-FAILED
256,Antisymmetry,RecursiveRenormalizationAnalysis,0.1298,0.1225,0.1218,0.1222,0.1152,0.1144,0.1191,UNIVERSALITY-FAILED
320,Antisymmetry,RecursiveRenormalizationAnalysis,0.106,0.0996,0.1014,0.0978,0.0953,0.0953,0.0992,UNIVERSALITY-FAILED
512,Antisymmetry,RecursiveRenormalizationAnalysis,0.0677,0.0662,0.0667,0.0653,0.0633,0.062,0.0638,UNIVERSALITY-FAILED
1,Antisymmetry,AttractorTopologyScaling,0.9525,0.9132,0.9035,0.8956,0.8973,0.8993,0.92,UNIVERSALITY-STABLE
2,Antisymmetry,AttractorTopologyScaling,0.9264,0.8827,0.8983,0.8766,0.9007,0.8661,0.8743,UNIVERSALITY-STABLE
4,Antisymmetry,AttractorTopologyScaling,0.8984,0.8769,0.8347,0.8242,0.8521,0.8319,0.8474,UNIVERSALITY-STABLE
6,Antisymmetry,AttractorTopologyScaling,0.8507,0.8305,0.793,0.7857,0.8052,0.768,0.8039,UNIVERSALITY-BOUNDED
8,Antisymmetry,AttractorTopologyScaling,0.8314,0.7963,0.7833,0.7646,0.7581,0.7469,0.7601,UNIVERSALITY-BOUNDED
12,Antisymmetry,AttractorTopologyScaling,0.7588,0.7353,0.7128,0.6908,0.7098,0.6845,0.6966,UNIVERSALITY-BOUNDED
16,Antisymmetry,AttractorTopologyScaling,0.6814,0.6645,0.6541,0.6486,0.668,0.6483,0.645,UNIVERSALITY-PARTIAL
20,Antisymmetry,AttractorTopologyScaling,0.6456,0.6145,0.6024,0.6171,0.6132,0.5907,0.6019,UNIVERSALITY-PARTIAL
24,Antisymmetry,AttractorTopologyScaling,0.6116,0.5913,0.5629,0.5679,0.5649,0.5561,0.5591,UNIVERSALITY-DEGRADING
32,Antisymmetry,AttractorTopologyScaling,0.5322,0.5201,0.5153,0.5108,0.5159,0.4796,0.4957,UNIVERSALITY-DEGRADING
40,Antisymmetry,AttractorTopologyScaling,0.4743,0.4598,0.4612,0.4405,0.4509,0.4328,0.4585,UNIVERSALITY-DEGRADING
48,Antisymmetry,AttractorTopologyScaling,0.4432,0.4237,0.4194,0.4086,0.4135,0.3968,0.4064,UNIVERSALITY-FAILED
64,Antisymmetry,AttractorTopologyScaling,0.3644,0.3538,0.3484,0.3492,0.3518,0.3427,0.3371,UNIVERSALITY-FAILED
80,Antisymmetry,AttractorTopologyScaling,0.3204,0.3073,0.3054,0.2993,0.3005,0.2953,0.2998,UNIVERSALITY-FAILED
96,Antisymmetry,AttractorTopologyScaling,0.2773,0.2658,0.2647,0.2617,0.2609,0.2537,0.2601,UNIVERSALITY-FAILED
128,Antisymmetry,AttractorTopologyScaling,0.2236,0.2108,0.2152,0.2144,0.2106,0.2034,0.2062,UNIVERSALITY-FAILED
160,Antisymmetry,AttractorTopologyScaling,0.1845,0.1841,0.1776,0.1758,0.1807,0.1713,0.18,UNIVERSALITY-FAILED
192,Antisymmetry,AttractorTopologyScaling,0.1608,0.1583,0.1532,0.1542,0.1514,0.1474,0.1489,UNIVERSALITY-FAILED
256,Antisymmetry,AttractorTopologyScaling,0.1261,0.1231,0.1195,0.1208,0.1206,0.1147,0.1168,UNIVERSALITY-FAILED
320,Antisymmetry,AttractorTopologyScaling,0.1045,0.0986,0.0975,0.0977,0.0981,0.0947,0.0976,UNIVERSALITY-FAILED
512,Antisymmetry,AttractorTopologyScaling,0.067,0.0646,0.0644,0.0621,0.0636,0.0616,0.0622,UNIVERSALITY-FAILED
1,Antisymmetry,PerturbationUniversalityTesting,0.9492,0.9257,0.9205,0.9062,0.89,0.8877,0.9144,UNIVERSALITY-STABLE
2,Antisymmetry,PerturbationUniversalityTesting,0.9344,0.9199,0.9028,0.8712,0.8854,0.8783,0.8955,UNIVERSALITY-STABLE
4,Antisymmetry,PerturbationUniversalityTesting,0.9084,0.8641,0.8465,0.8219,0.8291,0.8319,0.856,UNIVERSALITY-STABLE
6,Antisymmetry,PerturbationUniversalityTesting,0.8532,0.8195,0.8081,0.7852,0.8007,0.7848,0.8019,UNIVERSALITY-STABLE
8,Antisymmetry,PerturbationUniversalityTesting,0.8238,0.7701,0.7905,0.7701,0.7455,0.7737,0.7727,UNIVERSALITY-BOUNDED
12,Antisymmetry,PerturbationUniversalityTesting,0.7467,0.7188,0.6979,0.7087,0.7077,0.6979,0.7108,UNIVERSALITY-PARTIAL
16,Antisymmetry,PerturbationUniversalityTesting,0.7009,0.6599,0.6484,0.643,0.6524,0.6438,0.6637,UNIVERSALITY-PARTIAL
20,Antisymmetry,PerturbationUniversalityTesting,0.632,0.6295,0.6118,0.6047,0.6006,0.6095,0.6008,UNIVERSALITY-PARTIAL
24,Antisymmetry,PerturbationUniversalityTesting,0.6115,0.5796,0.5635,0.5718,0.5507,0.5711,0.5736,UNIVERSALITY-DEGRADING
32,Antisymmetry,PerturbationUniversalityTesting,0.5383,0.517,0.4975,0.5082,0.4932,0.4913,0.4959,UNIVERSALITY-DEGRADING
40,Antisymmetry,PerturbationUniversalityTesting,0.4695,0.4555,0.4558,0.4514,0.4531,0.4534,0.4516,UNIVERSALITY-DEGRADING
48,Antisymmetry,PerturbationUniversalityTesting,0.4271,0.4247,0.4078,0.408,0.4109,0.398,0.401,UNIVERSALITY-FAILED
64,Antisymmetry,PerturbationUniversalityTesting,0.3701,0.3443,0.3448,0.3505,0.3398,0.3341,0.3392,UNIVERSALITY-FAILED
80,Antisymmetry,PerturbationUniversalityTesting,0.3111,0.306,0.2984,0.301,0.2876,0.2959,0.2954,UNIVERSALITY-FAILED
96,Antisymmetry,PerturbationUniversalityTesting,0.2815,0.2669,0.2618,0.2563,0.2602,0.2581,0.2614,UNIVERSALITY-FAILED
128,Antisymmetry,PerturbationUniversalityTesting,0.2211,0.2145,0.2106,0.2067,0.2114,0.2071,0.2072,UNIVERSALITY-FAILED
160,Antisymmetry,PerturbationUniversalityTesting,0.1868,0.1829,0.1794,0.1765,0.1728,0.1729,0.1757,UNIVERSALITY-FAILED
192,Antisymmetry,PerturbationUniversalityTesting,0.1626,0.1552,0.1547,0.1547,0.1476,0.1483,0.1541,UNIVERSALITY-FAILED
256,Antisymmetry,PerturbationUniversalityTesting,0.124,0.1237,0.119,0.1197,0.1198,0.1165,0.1192,UNIVERSALITY-FAILED
320,Antisymmetry,PerturbationUniversalityTesting,0.1054,0.1015,0.0987,0.0972,0.0954,0.0954,0.0973,UNIVERSALITY-FAILED
512,Antisymmetry,PerturbationUniversalityTesting,0.0672,0.0657,0.0639,0.0625,0.0625,0.063,0.0646,UNIVERSALITY-FAILED
1,Antisymmetry,ResilienceScalingPersistence,0.96,0.94,0.9045,0.9092,0.878,0.8966,0.8994,UNIVERSALITY-STABLE
2,Antisymmetry,ResilienceScalingPersistence,0.9415,0.8834,0.8946,0.8884,0.8856,0.8757,0.8905,UNIVERSALITY-STABLE
4,Antisymmetry,ResilienceScalingPersistence,0.8972,0.8433,0.8481,0.8454,0.8318,0.8497,0.8673,UNIVERSALITY-STABLE
6,Antisymmetry,ResilienceScalingPersistence,0.8538,0.8261,0.8125,0.8017,0.7818,0.7933,0.8151,UNIVERSALITY-STABLE
8,Antisymmetry,ResilienceScalingPersistence,0.8231,0.7942,0.7894,0.7767,0.7658,0.7704,0.7855,UNIVERSALITY-BOUNDED
12,Antisymmetry,ResilienceScalingPersistence,0.7374,0.7051,0.7063,0.7122,0.6879,0.6922,0.6968,UNIVERSALITY-BOUNDED
16,Antisymmetry,ResilienceScalingPersistence,0.6863,0.6774,0.665,0.6574,0.6438,0.6378,0.6657,UNIVERSALITY-PARTIAL
20,Antisymmetry,ResilienceScalingPersistence,0.6403,0.6162,0.6053,0.6009,0.6029,0.6035,0.6041,UNIVERSALITY-PARTIAL
24,Antisymmetry,ResilienceScalingPersistence,0.606,0.5749,0.5697,0.5638,0.5527,0.5567,0.5688,UNIVERSALITY-DEGRADING
32,Antisymmetry,ResilienceScalingPersistence,0.52,0.5167,0.4997,0.4997,0.4977,0.505,0.5068,UNIVERSALITY-DEGRADING
40,Antisymmetry,ResilienceScalingPersistence,0.4737,0.4634,0.4595,0.4442,0.446,0.4425,0.4493,UNIVERSALITY-DEGRADING
48,Antisymmetry,ResilienceScalingPersistence,0.4287,0.4085,0.4146,0.4087,0.4118,0.4107,0.4153,UNIVERSALITY-FAILED
64,Antisymmetry,ResilienceScalingPersistence,0.3642,0.3465,0.3485,0.3382,0.3466,0.3457,0.3515,UNIVERSALITY-FAILED
80,Antisymmetry,ResilienceScalingPersistence,0.3182,0.3067,0.2984,0.3014,0.2995,0.3021,0.3008,UNIVERSALITY-FAILED
96,Antisymmetry,ResilienceScalingPersistence,0.2745,0.2671,0.2607,0.2607,0.2638,0.2614,0.2593,UNIVERSALITY-FAILED
128,Antisymmetry,ResilienceScalingPersistence,0.2267,0.211,0.2144,0.2079,0.2062,0.2072,0.2086,UNIVERSALITY-FAILED
160,Antisymmetry,ResilienceScalingPersistence,0.1884,0.1766,0.1813,0.1766,0.1723,0.1785,0.1792,UNIVERSALITY-FAILED
192,Antisymmetry,ResilienceScalingPersistence,0.1578,0.1527,0.1506,0.155,0.1513,0.1521,0.1524,UNIVERSALITY-FAILED
256,Antisymmetry,ResilienceScalingPersistence,0.1276,0.1214,0.1214,0.1212,0.1195,0.1191,0.12,UNIVERSALITY-FAILED
320,Antisymmetry,ResilienceScalingPersistence,0.1044,0.1008,0.0991,0.099,0.096,0.0955,0.0977,UNIVERSALITY-FAILED
512,Antisymmetry,ResilienceScalingPersistence,0.066,0.0649,0.0637,0.0635,0.0625,0.0631,0.0643,UNIVERSALITY-FAILED
1,Antisymmetry,NullUniversalityControl,0.7682,0.7385,0.7403,0.7677,0.7398,0.7148,0.7531,UNIVERSALITY-BOUNDED
2,Antisymmetry,NullUniversalityControl,0.7545,0.7543,0.7119,0.7337,0.6991,0.678,0.7044,UNIVERSALITY-BOUNDED
4,Antisymmetry,NullUniversalityControl,0.7157,0.7129,0.7034,0.7105,0.6902,0.6469,0.6913,UNIVERSALITY-BOUNDED
6,Antisymmetry,NullUniversalityControl,0.6782,0.6543,0.6736,0.6601,0.6552,0.6161,0.6634,UNIVERSALITY-PARTIAL
8,Antisymmetry,NullUniversalityControl,0.6583,0.6333,0.6397,0.6262,0.6075,0.6073,0.6348,UNIVERSALITY-PARTIAL
12,Antisymmetry,NullUniversalityControl,0.6148,0.5981,0.5849,0.5818,0.5765,0.5699,0.5752,UNIVERSALITY-DEGRADING
16,Antisymmetry,NullUniversalityControl,0.5512,0.5378,0.5333,0.53,0.5234,0.5186,0.5257,UNIVERSALITY-DEGRADING
20,Antisymmetry,NullUniversalityControl,0.507,0.4995,0.5053,0.508,0.4749,0.4682,0.4821,UNIVERSALITY-DEGRADING
24,Antisymmetry,NullUniversalityControl,0.4783,0.4737,0.4781,0.4788,0.4487,0.4379,0.4545,UNIVERSALITY-DEGRADING
32,Antisymmetry,NullUniversalityControl,0.4328,0.4208,0.4153,0.4096,0.4036,0.4034,0.4168,UNIVERSALITY-FAILED
40,Antisymmetry,NullUniversalityControl,0.388,0.3687,0.3611,0.3801,0.3635,0.3644,0.36,UNIVERSALITY-FAILED
48,Antisymmetry,NullUniversalityControl,0.3412,0.3312,0.3286,0.3483,0.3289,0.3184,0.3333,UNIVERSALITY-FAILED
64,Antisymmetry,NullUniversalityControl,0.29,0.2875,0.2894,0.2857,0.2682,0.277,0.2796,UNIVERSALITY-FAILED
80,Antisymmetry,NullUniversalityControl,0.2477,0.2437,0.2433,0.252,0.2437,0.2348,0.24,UNIVERSALITY-FAILED
96,Antisymmetry,NullUniversalityControl,0.2179,0.2205,0.2096,0.2185,0.2133,0.2119,0.2111,UNIVERSALITY-FAILED
128,Antisymmetry,NullUniversalityControl,0.1838,0.1719,0.1719,0.1793,0.1697,0.1681,0.1717,UNIVERSALITY-FAILED
160,Antisymmetry,NullUniversalityControl,0.1469,0.1501,0.1479,0.1458,0.1399,0.141,0.1411,UNIVERSALITY-FAILED
192,Antisymmetry,NullUniversalityControl,0.1259,0.1241,0.1232,0.1248,0.1213,0.1177,0.124,UNIVERSALITY-FAILED
256,Antisymmetry,NullUniversalityControl,0.1033,0.101,0.0961,0.1012,0.0947,0.0918,0.0981,UNIVERSALITY-FAILED
320,Antisymmetry,NullUniversalityControl,0.0842,0.0801,0.0818,0.0821,0.0761,0.0769,0.0771,UNIVERSALITY-FAILED
512,Antisymmetry,NullUniversalityControl,0.0527,0.054,0.0523,0.0526,0.05,0.0501,0.0518,UNIVERSALITY-FAILED
1,Neutral,ScaleRescalingInvariance,0.9043,0.8858,0.8481,0.8609,0.8401,0.8319,0.8341,UNIVERSALITY-STABLE
2,Neutral,ScaleRescalingInvariance,0.8691,0.8705,0.8344,0.8361,0.8248,0.8176,0.8431,UNIVERSALITY-STABLE
4,Neutral,ScaleRescalingInvariance,0.8478,0.7994,0.8104,0.7807,0.7733,0.7699,0.7921,UNIVERSALITY-BOUNDED
6,Neutral,ScaleRescalingInvariance,0.7863,0.7579,0.7745,0.76,0.7399,0.7538,0.7502,UNIVERSALITY-BOUNDED
8,Neutral,ScaleRescalingInvariance,0.7536,0.7285,0.7405,0.7102,0.709,0.7233,0.7068,UNIVERSALITY-BOUNDED
12,Neutral,ScaleRescalingInvariance,0.7158,0.6676,0.6837,0.6626,0.6609,0.6613,0.6446,UNIVERSALITY-PARTIAL
16,Neutral,ScaleRescalingInvariance,0.645,0.6347,0.6202,0.6001,0.6109,0.5988,0.6063,UNIVERSALITY-PARTIAL
20,Neutral,ScaleRescalingInvariance,0.6055,0.5859,0.583,0.5754,0.5607,0.5509,0.5781,UNIVERSALITY-DEGRADING
24,Neutral,ScaleRescalingInvariance,0.5773,0.5545,0.5534,0.5412,0.5133,0.5323,0.541,UNIVERSALITY-DEGRADING
32,Neutral,ScaleRescalingInvariance,0.4988,0.4765,0.4901,0.473,0.4646,0.4676,0.4633,UNIVERSALITY-DEGRADING
40,Neutral,ScaleRescalingInvariance,0.4421,0.4308,0.4299,0.4205,0.4055,0.4155,0.4131,UNIVERSALITY-FAILED
48,Neutral,ScaleRescalingInvariance,0.4039,0.39,0.3884,0.3801,0.375,0.3806,0.3767,UNIVERSALITY-FAILED
64,Neutral,ScaleRescalingInvariance,0.3469,0.3269,0.3255,0.3236,0.3158,0.3117,0.3168,UNIVERSALITY-FAILED
80,Neutral,ScaleRescalingInvariance,0.2961,0.2863,0.2804,0.2803,0.27,0.2776,0.2775,UNIVERSALITY-FAILED
96,Neutral,ScaleRescalingInvariance,0.2646,0.258,0.2519,0.2421,0.2371,0.2427,0.2453,UNIVERSALITY-FAILED
128,Neutral,ScaleRescalingInvariance,0.2098,0.2006,0.2037,0.1984,0.1964,0.192,0.1923,UNIVERSALITY-FAILED
160,Neutral,ScaleRescalingInvariance,0.1796,0.1739,0.1656,0.1665,0.1625,0.1617,0.1659,UNIVERSALITY-FAILED
192,Neutral,ScaleRescalingInvariance,0.1536,0.1443,0.1428,0.1419,0.1368,0.1425,0.1421,UNIVERSALITY-FAILED
256,Neutral,ScaleRescalingInvariance,0.1201,0.1134,0.1136,0.1134,0.112,0.1119,0.111,UNIVERSALITY-FAILED
320,Neutral,ScaleRescalingInvariance,0.0984,0.0925,0.0942,0.0925,0.0886,0.0898,0.0917,UNIVERSALITY-FAILED
512,Neutral,ScaleRescalingInvariance,0.0622,0.0622,0.0606,0.0587,0.0593,0.0583,0.0582,UNIVERSALITY-FAILED
1,Neutral,UniversalityClassExtraction,0.9238,0.8934,0.8855,0.8461,0.832,0.8317,0.8728,UNIVERSALITY-STABLE
2,Neutral,UniversalityClassExtraction,0.902,0.866,0.8479,0.8225,0.8048,0.8025,0.8402,UNIVERSALITY-STABLE
4,Neutral,UniversalityClassExtraction,0.839,0.8142,0.8147,0.8021,0.7662,0.7859,0.8058,UNIVERSALITY-STABLE
6,Neutral,UniversalityClassExtraction,0.7917,0.7918,0.7719,0.7444,0.7507,0.7376,0.756,UNIVERSALITY-BOUNDED
8,Neutral,UniversalityClassExtraction,0.7795,0.75,0.7315,0.72,0.7109,0.7161,0.7354,UNIVERSALITY-BOUNDED
12,Neutral,UniversalityClassExtraction,0.6962,0.6828,0.6645,0.6565,0.6693,0.6442,0.6557,UNIVERSALITY-PARTIAL
16,Neutral,UniversalityClassExtraction,0.667,0.6319,0.6163,0.6048,0.6075,0.609,0.6249,UNIVERSALITY-PARTIAL
20,Neutral,UniversalityClassExtraction,0.6087,0.5971,0.5713,0.5763,0.5752,0.5481,0.5791,UNIVERSALITY-DEGRADING
24,Neutral,UniversalityClassExtraction,0.5629,0.5482,0.551,0.5267,0.5257,0.5252,0.5443,UNIVERSALITY-DEGRADING
32,Neutral,UniversalityClassExtraction,0.5027,0.4873,0.4846,0.4686,0.4665,0.4541,0.4749,UNIVERSALITY-DEGRADING
40,Neutral,UniversalityClassExtraction,0.4436,0.4455,0.4346,0.4343,0.41,0.4235,0.4239,UNIVERSALITY-FAILED
48,Neutral,UniversalityClassExtraction,0.4134,0.3947,0.3939,0.3786,0.3881,0.3772,0.3915,UNIVERSALITY-FAILED
64,Neutral,UniversalityClassExtraction,0.3518,0.3425,0.331,0.3319,0.3226,0.3223,0.329,UNIVERSALITY-FAILED
80,Neutral,UniversalityClassExtraction,0.2969,0.2955,0.2862,0.2815,0.2716,0.2677,0.2787,UNIVERSALITY-FAILED
96,Neutral,UniversalityClassExtraction,0.2633,0.2584,0.2455,0.2434,0.2393,0.2369,0.2458,UNIVERSALITY-FAILED
128,Neutral,UniversalityClassExtraction,0.2086,0.2018,0.1982,0.2005,0.1996,0.1896,0.1992,UNIVERSALITY-FAILED
160,Neutral,UniversalityClassExtraction,0.1787,0.1692,0.167,0.1675,0.1657,0.1599,0.1675,UNIVERSALITY-FAILED
192,Neutral,UniversalityClassExtraction,0.1528,0.1501,0.1443,0.141,0.1428,0.1427,0.1414,UNIVERSALITY-FAILED
256,Neutral,UniversalityClassExtraction,0.1204,0.1135,0.1155,0.1129,0.1117,0.1071,0.1136,UNIVERSALITY-FAILED
320,Neutral,UniversalityClassExtraction,0.0994,0.094,0.0911,0.0926,0.091,0.0912,0.0909,UNIVERSALITY-FAILED
512,Neutral,UniversalityClassExtraction,0.0638,0.061,0.0618,0.0609,0.0589,0.0595,0.0595,UNIVERSALITY-FAILED
1,Neutral,RecursiveRenormalizationAnalysis,0.8887,0.8587,0.8854,0.8484,0.8457,0.8438,0.8716,UNIVERSALITY-STABLE
2,Neutral,RecursiveRenormalizationAnalysis,0.8886,0.8642,0.8615,0.8296,0.7957,0.7974,0.837,UNIVERSALITY-STABLE
4,Neutral,RecursiveRenormalizationAnalysis,0.8345,0.8044,0.8135,0.819,0.7876,0.7579,0.7842,UNIVERSALITY-STABLE
6,Neutral,RecursiveRenormalizationAnalysis,0.7953,0.7656,0.7714,0.7551,0.7241,0.7197,0.7428,UNIVERSALITY-BOUNDED
8,Neutral,RecursiveRenormalizationAnalysis,0.7719,0.7306,0.7576,0.7458,0.6963,0.6905,0.7407,UNIVERSALITY-BOUNDED
12,Neutral,RecursiveRenormalizationAnalysis,0.6887,0.6785,0.6817,0.6856,0.6421,0.652,0.6717,UNIVERSALITY-PARTIAL
16,Neutral,RecursiveRenormalizationAnalysis,0.6459,0.6285,0.6259,0.61,0.6122,0.5841,0.6153,UNIVERSALITY-PARTIAL
20,Neutral,RecursiveRenormalizationAnalysis,0.593,0.5734,0.595,0.5718,0.5607,0.5424,0.567,UNIVERSALITY-DEGRADING
24,Neutral,RecursiveRenormalizationAnalysis,0.5738,0.5509,0.5577,0.5433,0.5354,0.5166,0.5438,UNIVERSALITY-DEGRADING
32,Neutral,RecursiveRenormalizationAnalysis,0.5056,0.4807,0.4808,0.4807,0.452,0.4647,0.4805,UNIVERSALITY-DEGRADING
40,Neutral,RecursiveRenormalizationAnalysis,0.4535,0.4334,0.4444,0.4332,0.4247,0.4178,0.4186,UNIVERSALITY-FAILED
48,Neutral,RecursiveRenormalizationAnalysis,0.3999,0.3862,0.3987,0.3866,0.3728,0.3653,0.3767,UNIVERSALITY-FAILED
64,Neutral,RecursiveRenormalizationAnalysis,0.3465,0.336,0.3384,0.3351,0.3233,0.3201,0.3301,UNIVERSALITY-FAILED
80,Neutral,RecursiveRenormalizationAnalysis,0.292,0.2819,0.2903,0.2808,0.277,0.2659,0.277,UNIVERSALITY-FAILED
96,Neutral,RecursiveRenormalizationAnalysis,0.2618,0.2491,0.2556,0.2462,0.2437,0.2401,0.2475,UNIVERSALITY-FAILED
128,Neutral,RecursiveRenormalizationAnalysis,0.2126,0.2023,0.207,0.2038,0.1909,0.1889,0.1945,UNIVERSALITY-FAILED
160,Neutral,RecursiveRenormalizationAnalysis,0.1749,0.1669,0.1682,0.1683,0.1645,0.1614,0.1662,UNIVERSALITY-FAILED
192,Neutral,RecursiveRenormalizationAnalysis,0.1527,0.1447,0.1498,0.1464,0.1413,0.1361,0.141,UNIVERSALITY-FAILED
256,Neutral,RecursiveRenormalizationAnalysis,0.119,0.1171,0.1133,0.1146,0.109,0.1087,0.1135,UNIVERSALITY-FAILED
320,Neutral,RecursiveRenormalizationAnalysis,0.0958,0.0948,0.0959,0.0921,0.0911,0.0874,0.0941,UNIVERSALITY-FAILED
512,Neutral,RecursiveRenormalizationAnalysis,0.063,0.0612,0.0619,0.0602,0.0585,0.0582,0.0594,UNIVERSALITY-FAILED
1,Neutral,AttractorTopologyScaling,0.8801,0.8459,0.8488,0.8279,0.8563,0.812,0.8482,UNIVERSALITY-STABLE
2,Neutral,AttractorTopologyScaling,0.8828,0.8522,0.8228,0.8132,0.8252,0.8239,0.8149,UNIVERSALITY-STABLE
4,Neutral,AttractorTopologyScaling,0.8467,0.7943,0.8107,0.7776,0.7983,0.7735,0.7758,UNIVERSALITY-BOUNDED
6,Neutral,AttractorTopologyScaling,0.7761,0.7696,0.7647,0.7582,0.7677,0.7388,0.7414,UNIVERSALITY-BOUNDED
8,Neutral,AttractorTopologyScaling,0.7637,0.7156,0.7142,0.7169,0.735,0.7131,0.7194,UNIVERSALITY-BOUNDED
12,Neutral,AttractorTopologyScaling,0.6928,0.687,0.6661,0.6622,0.6771,0.656,0.6614,UNIVERSALITY-PARTIAL
16,Neutral,AttractorTopologyScaling,0.6457,0.6248,0.6172,0.6128,0.6015,0.607,0.6116,UNIVERSALITY-PARTIAL
20,Neutral,AttractorTopologyScaling,0.5906,0.5671,0.5607,0.5535,0.5617,0.5569,0.5743,UNIVERSALITY-DEGRADING
24,Neutral,AttractorTopologyScaling,0.5582,0.5329,0.5377,0.5298,0.5329,0.5255,0.5362,UNIVERSALITY-DEGRADING
32,Neutral,AttractorTopologyScaling,0.4919,0.4825,0.4633,0.4657,0.4841,0.4587,0.4782,UNIVERSALITY-DEGRADING
40,Neutral,AttractorTopologyScaling,0.4457,0.4326,0.4292,0.4111,0.4343,0.4151,0.4141,UNIVERSALITY-FAILED
48,Neutral,AttractorTopologyScaling,0.3972,0.3817,0.3859,0.3886,0.3771,0.3655,0.387,UNIVERSALITY-FAILED
64,Neutral,AttractorTopologyScaling,0.339,0.3208,0.3172,0.3215,0.3187,0.3084,0.3226,UNIVERSALITY-FAILED
80,Neutral,AttractorTopologyScaling,0.2924,0.2781,0.277,0.2774,0.2842,0.2671,0.2774,UNIVERSALITY-FAILED
96,Neutral,AttractorTopologyScaling,0.2593,0.2533,0.2461,0.2487,0.2501,0.2341,0.2411,UNIVERSALITY-FAILED
128,Neutral,AttractorTopologyScaling,0.2052,0.2037,0.1982,0.1989,0.2,0.1877,0.1935,UNIVERSALITY-FAILED
160,Neutral,AttractorTopologyScaling,0.1719,0.1705,0.1688,0.1638,0.1668,0.1624,0.1624,UNIVERSALITY-FAILED
192,Neutral,AttractorTopologyScaling,0.1508,0.1465,0.1416,0.1433,0.1419,0.1387,0.1415,UNIVERSALITY-FAILED
256,Neutral,AttractorTopologyScaling,0.1149,0.1112,0.1139,0.1116,0.1145,0.1064,0.1084,UNIVERSALITY-FAILED
320,Neutral,AttractorTopologyScaling,0.0984,0.0952,0.091,0.0892,0.0917,0.0885,0.0924,UNIVERSALITY-FAILED
512,Neutral,AttractorTopologyScaling,0.0622,0.061,0.0587,0.0587,0.0606,0.0586,0.058,UNIVERSALITY-FAILED
1,Neutral,PerturbationUniversalityTesting,0.8982,0.859,0.8593,0.8319,0.8394,0.8428,0.8563,UNIVERSALITY-STABLE
2,Neutral,PerturbationUniversalityTesting,0.8829,0.8625,0.8193,0.8139,0.8143,0.8042,0.826,UNIVERSALITY-STABLE
4,Neutral,PerturbationUniversalityTesting,0.8402,0.8117,0.7805,0.7761,0.7583,0.7804,0.7722,UNIVERSALITY-BOUNDED
6,Neutral,PerturbationUniversalityTesting,0.8055,0.773,0.7411,0.7593,0.7489,0.7304,0.7498,UNIVERSALITY-BOUNDED
8,Neutral,PerturbationUniversalityTesting,0.7505,0.7373,0.7276,0.7048,0.7046,0.722,0.7191,UNIVERSALITY-BOUNDED
12,Neutral,PerturbationUniversalityTesting,0.692,0.6607,0.6528,0.6509,0.664,0.6467,0.6425,UNIVERSALITY-PARTIAL
16,Neutral,PerturbationUniversalityTesting,0.6398,0.6206,0.6152,0.5993,0.6,0.5998,0.6197,UNIVERSALITY-PARTIAL
20,Neutral,PerturbationUniversalityTesting,0.5969,0.5914,0.578,0.5594,0.5514,0.5475,0.5563,UNIVERSALITY-DEGRADING
24,Neutral,PerturbationUniversalityTesting,0.5513,0.5536,0.5454,0.5334,0.5243,0.5216,0.5198,UNIVERSALITY-DEGRADING
32,Neutral,PerturbationUniversalityTesting,0.4953,0.4697,0.4628,0.4716,0.4558,0.4693,0.4685,UNIVERSALITY-DEGRADING
40,Neutral,PerturbationUniversalityTesting,0.439,0.4306,0.4274,0.4185,0.4138,0.4185,0.4195,UNIVERSALITY-FAILED
48,Neutral,PerturbationUniversalityTesting,0.4036,0.3871,0.3804,0.38,0.3744,0.3797,0.3774,UNIVERSALITY-FAILED
64,Neutral,PerturbationUniversalityTesting,0.3403,0.329,0.3307,0.3178,0.323,0.318,0.3188,UNIVERSALITY-FAILED
80,Neutral,PerturbationUniversalityTesting,0.295,0.2826,0.2767,0.2828,0.2765,0.2715,0.2832,UNIVERSALITY-FAILED
