depth,sector,condition,rg_similarity,degradation_slope,stability_half_life,drift_accumulation,fragmentation_index,operator_saturation,horizon_extension_gain,classification
2,Projection-Antisymmetry,BaselineHorizon,0.769,0.0452,0.7478,0.0515,0.06,0.0523,0.0546,HORIZON-DEGRADING
4,Projection-Antisymmetry,BaselineHorizon,0.731,0.0456,0.6939,0.0462,0.0499,0.0336,0.0343,HORIZON-DEGRADING
6,Projection-Antisymmetry,BaselineHorizon,0.6888,0.0632,0.6637,0.0374,0.0542,0.0452,0.0463,HORIZON-DEGRADING
8,Projection-Antisymmetry,BaselineHorizon,0.6412,0.0682,0.6279,0.0422,0.069,0.0461,0.0284,HORIZON-WEAK
12,Projection-Antisymmetry,BaselineHorizon,0.5763,0.0627,0.5692,0.0497,0.0714,0.047,0.0284,HORIZON-WEAK
16,Projection-Antisymmetry,BaselineHorizon,0.5411,0.0549,0.5285,0.0589,0.0714,0.0606,0.0298,HORIZON-WEAK
20,Projection-Antisymmetry,BaselineHorizon,0.5029,0.0769,0.4833,0.0506,0.0787,0.0478,0.0364,HORIZON-WEAK
24,Projection-Antisymmetry,BaselineHorizon,0.4571,0.0595,0.4561,0.0586,0.0869,0.041,0.0192,HORIZON-COLLAPSING
28,Projection-Antisymmetry,BaselineHorizon,0.4281,0.0691,0.4295,0.0623,0.0657,0.0622,0.0206,HORIZON-COLLAPSING
32,Projection-Antisymmetry,BaselineHorizon,0.401,0.0767,0.3982,0.0716,0.0813,0.0586,0.0233,HORIZON-COLLAPSING
40,Projection-Antisymmetry,BaselineHorizon,0.3625,0.073,0.3517,0.0828,0.0835,0.0743,0.025,HORIZON-COLLAPSING
1,Projection-Antisymmetry,DriftAccumulation,0.7735,0.0689,0.7236,0.082,0.072,0.044,0.0292,HORIZON-DEGRADING
2,Projection-Antisymmetry,DriftAccumulation,0.7517,0.0771,0.7177,0.0772,0.0729,0.0523,0.0486,HORIZON-DEGRADING
4,Projection-Antisymmetry,DriftAccumulation,0.6967,0.0736,0.6923,0.0952,0.0862,0.0576,0.0453,HORIZON-WEAK
6,Projection-Antisymmetry,DriftAccumulation,0.6551,0.0623,0.627,0.0915,0.0701,0.0641,0.0466,HORIZON-DEGRADING
8,Projection-Antisymmetry,DriftAccumulation,0.6287,0.0778,0.599,0.0985,0.0844,0.0459,0.0257,HORIZON-WEAK
12,Projection-Antisymmetry,DriftAccumulation,0.5582,0.0714,0.548,0.1054,0.0974,0.0698,0.037,HORIZON-WEAK
16,Projection-Antisymmetry,DriftAccumulation,0.5246,0.0864,0.51,0.0944,0.092,0.0563,0.0319,HORIZON-WEAK
20,Projection-Antisymmetry,DriftAccumulation,0.4766,0.0796,0.4721,0.1064,0.0855,0.0565,0.0268,HORIZON-COLLAPSING
24,Projection-Antisymmetry,DriftAccumulation,0.4501,0.0781,0.4407,0.1194,0.11,0.0677,0.0278,HORIZON-COLLAPSING
28,Projection-Antisymmetry,DriftAccumulation,0.4119,0.1051,0.4174,0.1407,0.0981,0.0745,0.0319,HORIZON-COLLAPSING
32,Projection-Antisymmetry,DriftAccumulation,0.3856,0.0871,0.3822,0.1265,0.1269,0.0711,0.0235,HORIZON-COLLAPSING
40,Projection-Antisymmetry,DriftAccumulation,0.3526,0.1088,0.3476,0.1354,0.12,0.0681,0.0243,HORIZON-COLLAPSING
1,Projection-Antisymmetry,OperatorSaturation,0.7613,0.0752,0.7201,0.0716,0.0606,0.0876,0.0315,HORIZON-DEGRADING
2,Projection-Antisymmetry,OperatorSaturation,0.7415,0.0764,0.7222,0.0645,0.0574,0.1031,0.0395,HORIZON-DEGRADING
4,Projection-Antisymmetry,OperatorSaturation,0.7002,0.0791,0.6593,0.0726,0.0735,0.1007,0.046,HORIZON-DEGRADING
6,Projection-Antisymmetry,OperatorSaturation,0.6644,0.0688,0.6448,0.0621,0.0705,0.1018,0.0404,HORIZON-DEGRADING
8,Projection-Antisymmetry,OperatorSaturation,0.6051,0.073,0.5856,0.069,0.0718,0.0992,0.0255,HORIZON-WEAK
12,Projection-Antisymmetry,OperatorSaturation,0.5516,0.0915,0.5539,0.0797,0.0735,0.097,0.0338,HORIZON-WEAK
16,Projection-Antisymmetry,OperatorSaturation,0.5154,0.0854,0.5114,0.0712,0.083,0.1012,0.0263,HORIZON-WEAK
20,Projection-Antisymmetry,OperatorSaturation,0.4842,0.092,0.4619,0.0911,0.0701,0.1044,0.0205,HORIZON-COLLAPSING
24,Projection-Antisymmetry,OperatorSaturation,0.4522,0.1027,0.4296,0.0982,0.099,0.1122,0.0184,HORIZON-COLLAPSING
28,Projection-Antisymmetry,OperatorSaturation,0.4113,0.1023,0.4032,0.1033,0.0798,0.1134,0.0262,HORIZON-COLLAPSING
32,Projection-Antisymmetry,OperatorSaturation,0.3797,0.1033,0.372,0.1108,0.1089,0.1391,0.0158,HORIZON-COLLAPSING
40,Projection-Antisymmetry,OperatorSaturation,0.3526,0.1104,0.3424,0.1225,0.1095,0.1434,0.0178,HORIZON-COLLAPSING
1,Projection-Antisymmetry,ScaleFragmentation,0.7401,0.0806,0.7201,0.0659,0.1187,0.0638,0.0492,HORIZON-WEAK
2,Projection-Antisymmetry,ScaleFragmentation,0.7118,0.0759,0.6762,0.0665,0.1046,0.0687,0.0387,HORIZON-WEAK
4,Projection-Antisymmetry,ScaleFragmentation,0.6695,0.088,0.6445,0.0715,0.1144,0.0631,0.0421,HORIZON-WEAK
6,Projection-Antisymmetry,ScaleFragmentation,0.6614,0.0922,0.6341,0.0901,0.1181,0.0694,0.0434,HORIZON-WEAK
8,Projection-Antisymmetry,ScaleFragmentation,0.6105,0.0848,0.5882,0.0914,0.1242,0.0757,0.0289,HORIZON-COLLAPSING
12,Projection-Antisymmetry,ScaleFragmentation,0.5671,0.0917,0.5291,0.0981,0.1363,0.0599,0.0413,HORIZON-COLLAPSING
16,Projection-Antisymmetry,ScaleFragmentation,0.5021,0.0923,0.4927,0.1009,0.1352,0.0716,0.0208,HORIZON-COLLAPSING
20,Projection-Antisymmetry,ScaleFragmentation,0.48,0.0945,0.4682,0.0857,0.1612,0.0679,0.0266,HORIZON-COLLAPSING
24,Projection-Antisymmetry,ScaleFragmentation,0.4529,0.1025,0.4203,0.1024,0.1485,0.078,0.0236,HORIZON-COLLAPSING
28,Projection-Antisymmetry,ScaleFragmentation,0.4068,0.0955,0.3999,0.1123,0.1523,0.076,0.0175,HORIZON-COLLAPSING
32,Projection-Antisymmetry,ScaleFragmentation,0.3774,0.0984,0.3783,0.1165,0.1731,0.0765,0.0257,HORIZON-COLLAPSING
40,Projection-Antisymmetry,ScaleFragmentation,0.3497,0.1246,0.3369,0.1401,0.2048,0.0938,0.022,HORIZON-FAILED
1,Projection-Antisymmetry,HorizonExtension,0.8052,0.0411,0.8048,0.0286,0.0294,0.0265,0.1573,HORIZON-STABLE
2,Projection-Antisymmetry,HorizonExtension,0.8021,0.0518,0.7799,0.02,0.0241,0.0153,0.1564,HORIZON-DEGRADING
4,Projection-Antisymmetry,HorizonExtension,0.7425,0.0341,0.7341,0.0238,0.0183,0.0268,0.1374,HORIZON-DEGRADING
6,Projection-Antisymmetry,HorizonExtension,0.7151,0.0351,0.6999,0.028,0.0176,0.0278,0.1524,HORIZON-DEGRADING
8,Projection-Antisymmetry,HorizonExtension,0.6634,0.0487,0.6852,0.0347,0.0192,0.0221,0.1456,HORIZON-DEGRADING
12,Projection-Antisymmetry,HorizonExtension,0.6209,0.0493,0.6063,0.0369,0.0308,0.0248,0.1236,HORIZON-WEAK
16,Projection-Antisymmetry,HorizonExtension,0.5686,0.0549,0.5748,0.0201,0.0377,0.0194,0.1086,HORIZON-WEAK
20,Projection-Antisymmetry,HorizonExtension,0.522,0.0616,0.5184,0.0373,0.0356,0.0335,0.1008,HORIZON-WEAK
24,Projection-Antisymmetry,HorizonExtension,0.4849,0.0464,0.4795,0.0263,0.025,0.0363,0.0988,HORIZON-COLLAPSING
28,Projection-Antisymmetry,HorizonExtension,0.4478,0.0614,0.4402,0.0232,0.028,0.0354,0.0836,HORIZON-COLLAPSING
32,Projection-Antisymmetry,HorizonExtension,0.4328,0.0733,0.4172,0.036,0.0238,0.0182,0.0819,HORIZON-COLLAPSING
40,Projection-Antisymmetry,HorizonExtension,0.3811,0.0565,0.3717,0.0237,0.0295,0.0265,0.0689,HORIZON-COLLAPSING
1,Projection-Antisymmetry,NullHorizonControl,0.5903,0.1425,0.6204,0.1828,0.2054,0.1439,0.0027,HORIZON-COLLAPSING
2,Projection-Antisymmetry,NullHorizonControl,0.572,0.1525,0.5842,0.1946,0.2089,0.1409,-0.0167,HORIZON-COLLAPSING
4,Projection-Antisymmetry,NullHorizonControl,0.5461,0.1514,0.5605,0.2098,0.2134,0.1434,0.0053,HORIZON-COLLAPSING
6,Projection-Antisymmetry,NullHorizonControl,0.5014,0.1549,0.5372,0.2187,0.2114,0.152,-0.0086,HORIZON-COLLAPSING
8,Projection-Antisymmetry,NullHorizonControl,0.4722,0.1715,0.5201,0.2101,0.2179,0.1543,-0.0075,HORIZON-COLLAPSING
12,Projection-Antisymmetry,NullHorizonControl,0.4348,0.1853,0.4532,0.2335,0.25,0.1663,0.0052,HORIZON-COLLAPSING
16,Projection-Antisymmetry,NullHorizonControl,0.3928,0.1774,0.4174,0.25,0.25,0.1571,-0.0051,HORIZON-COLLAPSING
20,Projection-Antisymmetry,NullHorizonControl,0.366,0.1876,0.3819,0.25,0.25,0.1782,-0.0072,HORIZON-COLLAPSING
24,Projection-Antisymmetry,NullHorizonControl,0.3424,0.2,0.3723,0.25,0.25,0.1903,-0.0008,HORIZON-FAILED
28,Projection-Antisymmetry,NullHorizonControl,0.3213,0.2,0.3298,0.25,0.25,0.1821,-0.0061,HORIZON-FAILED
32,Projection-Antisymmetry,NullHorizonControl,0.2987,0.2,0.3126,0.25,0.25,0.1818,-0.0028,HORIZON-FAILED
40,Projection-Antisymmetry,NullHorizonControl,0.2672,0.2,0.2754,0.25,0.25,0.2,-0.006,HORIZON-FAILED
1,Projection-Neutral,BaselineHorizon,0.7627,0.0546,0.7655,0.0465,0.0511,0.0384,0.0311,HORIZON-DEGRADING
2,Projection-Neutral,BaselineHorizon,0.7603,0.0495,0.745,0.0414,0.0602,0.0347,0.0539,HORIZON-DEGRADING
4,Projection-Neutral,BaselineHorizon,0.7163,0.0492,0.6876,0.0524,0.0562,0.0501,0.0509,HORIZON-DEGRADING
6,Projection-Neutral,BaselineHorizon,0.6901,0.0581,0.6498,0.0473,0.0625,0.04,0.0275,HORIZON-DEGRADING
8,Projection-Neutral,BaselineHorizon,0.6377,0.0515,0.6232,0.0408,0.051,0.0403,0.0233,HORIZON-WEAK
12,Projection-Neutral,BaselineHorizon,0.5997,0.0655,0.5854,0.0396,0.066,0.0589,0.0423,HORIZON-WEAK
16,Projection-Neutral,BaselineHorizon,0.5512,0.0629,0.5415,0.0585,0.0675,0.054,0.021,HORIZON-WEAK
20,Projection-Neutral,BaselineHorizon,0.4909,0.0562,0.4907,0.0552,0.0823,0.0516,0.0292,HORIZON-COLLAPSING
24,Projection-Neutral,BaselineHorizon,0.473,0.0767,0.4501,0.0604,0.0767,0.0597,0.03,HORIZON-COLLAPSING
28,Projection-Neutral,BaselineHorizon,0.4413,0.0756,0.4171,0.0673,0.0869,0.0511,0.0281,HORIZON-COLLAPSING
32,Projection-Neutral,BaselineHorizon,0.3961,0.0837,0.4047,0.0578,0.0687,0.0527,0.0284,HORIZON-COLLAPSING
40,Projection-Neutral,BaselineHorizon,0.3666,0.0975,0.3526,0.0774,0.1027,0.0664,0.0247,HORIZON-COLLAPSING
1,Projection-Neutral,DriftAccumulation,0.7666,0.0767,0.7357,0.0874,0.0657,0.0525,0.0288,HORIZON-DEGRADING
2,Projection-Neutral,DriftAccumulation,0.7566,0.0739,0.6982,0.0874,0.067,0.0453,0.042,HORIZON-DEGRADING
4,Projection-Neutral,DriftAccumulation,0.6881,0.0721,0.6581,0.0928,0.0806,0.0566,0.0402,HORIZON-WEAK
6,Projection-Neutral,DriftAccumulation,0.6728,0.0826,0.6561,0.0824,0.0789,0.047,0.0504,HORIZON-WEAK
8,Projection-Neutral,DriftAccumulation,0.6337,0.0735,0.5978,0.0894,0.0825,0.0608,0.0407,HORIZON-WEAK
12,Projection-Neutral,DriftAccumulation,0.5767,0.0677,0.5665,0.1102,0.0977,0.048,0.0298,HORIZON-WEAK
16,Projection-Neutral,DriftAccumulation,0.5239,0.0833,0.5066,0.1019,0.0887,0.0636,0.0253,HORIZON-WEAK
20,Projection-Neutral,DriftAccumulation,0.4883,0.0818,0.4793,0.1144,0.0899,0.0653,0.0291,HORIZON-COLLAPSING
24,Projection-Neutral,DriftAccumulation,0.44,0.0981,0.4459,0.1275,0.097,0.0642,0.0254,HORIZON-COLLAPSING
28,Projection-Neutral,DriftAccumulation,0.4218,0.0919,0.4171,0.1206,0.1148,0.0761,0.0222,HORIZON-COLLAPSING
32,Projection-Neutral,DriftAccumulation,0.3954,0.0885,0.3852,0.1413,0.0998,0.0829,0.0251,HORIZON-COLLAPSING
40,Projection-Neutral,DriftAccumulation,0.355,0.1134,0.3334,0.1581,0.1125,0.0735,0.0246,HORIZON-COLLAPSING
1,Projection-Neutral,OperatorSaturation,0.7602,0.0743,0.714,0.0684,0.0699,0.0874,0.0473,HORIZON-DEGRADING
2,Projection-Neutral,OperatorSaturation,0.7199,0.0791,0.6946,0.0585,0.0614,0.0872,0.0404,HORIZON-DEGRADING
4,Projection-Neutral,OperatorSaturation,0.6985,0.0827,0.656,0.0734,0.0759,0.1017,0.041,HORIZON-WEAK
6,Projection-Neutral,OperatorSaturation,0.6602,0.0672,0.6353,0.0718,0.0688,0.106,0.0477,HORIZON-DEGRADING
8,Projection-Neutral,OperatorSaturation,0.6128,0.0809,0.59,0.0624,0.0701,0.1041,0.0268,HORIZON-WEAK
12,Projection-Neutral,OperatorSaturation,0.5507,0.0842,0.5362,0.0783,0.0731,0.1101,0.041,HORIZON-WEAK
16,Projection-Neutral,OperatorSaturation,0.5241,0.094,0.5088,0.0732,0.0864,0.1011,0.0372,HORIZON-WEAK
20,Projection-Neutral,OperatorSaturation,0.4881,0.0814,0.4559,0.089,0.0941,0.1226,0.0278,HORIZON-COLLAPSING
24,Projection-Neutral,OperatorSaturation,0.4528,0.0849,0.4247,0.0969,0.077,0.123,0.0328,HORIZON-COLLAPSING
28,Projection-Neutral,OperatorSaturation,0.4247,0.1043,0.4025,0.0849,0.0832,0.1179,0.0307,HORIZON-COLLAPSING
32,Projection-Neutral,OperatorSaturation,0.3808,0.1098,0.3668,0.0952,0.0982,0.136,0.0173,HORIZON-COLLAPSING
40,Projection-Neutral,OperatorSaturation,0.3549,0.1205,0.3434,0.0982,0.1116,0.1439,0.0166,HORIZON-COLLAPSING
1,Projection-Neutral,ScaleFragmentation,0.7339,0.0744,0.724,0.0621,0.1123,0.0548,0.0446,HORIZON-WEAK
2,Projection-Neutral,ScaleFragmentation,0.7077,0.082,0.7116,0.0719,0.1092,0.0646,0.045,HORIZON-WEAK
4,Projection-Neutral,ScaleFragmentation,0.689,0.0721,0.6587,0.0709,0.1235,0.0578,0.0265,HORIZON-COLLAPSING
6,Projection-Neutral,ScaleFragmentation,0.6522,0.0775,0.6276,0.073,0.1312,0.0734,0.0303,HORIZON-COLLAPSING
8,Projection-Neutral,ScaleFragmentation,0.6163,0.0911,0.5933,0.0763,0.1374,0.0741,0.0254,HORIZON-COLLAPSING
12,Projection-Neutral,ScaleFragmentation,0.5632,0.0801,0.5397,0.0797,0.1311,0.0636,0.0355,HORIZON-COLLAPSING
16,Projection-Neutral,ScaleFragmentation,0.5275,0.0992,0.4836,0.096,0.1409,0.0718,0.0352,HORIZON-COLLAPSING
20,Projection-Neutral,ScaleFragmentation,0.4742,0.1115,0.4623,0.111,0.1486,0.0682,0.0246,HORIZON-COLLAPSING
24,Projection-Neutral,ScaleFragmentation,0.4507,0.1118,0.4279,0.1066,0.1674,0.0878,0.0258,HORIZON-COLLAPSING
28,Projection-Neutral,ScaleFragmentation,0.4028,0.1208,0.3868,0.122,0.1542,0.0931,0.0301,HORIZON-COLLAPSING
32,Projection-Neutral,ScaleFragmentation,0.3951,0.1026,0.3608,0.132,0.162,0.0835,0.0155,HORIZON-COLLAPSING
40,Projection-Neutral,ScaleFragmentation,0.3474,0.1173,0.3287,0.1233,0.1875,0.1047,0.0219,HORIZON-FAILED
1,Projection-Neutral,HorizonExtension,0.8129,0.0331,0.8005,0.0122,0.016,0.0256,0.1637,HORIZON-STABLE
2,Projection-Neutral,HorizonExtension,0.7831,0.0327,0.7769,0.0288,0.0188,0.0309,0.1526,HORIZON-DEGRADING
4,Projection-Neutral,HorizonExtension,0.7588,0.0514,0.757,0.0335,0.0218,0.0167,0.1466,HORIZON-DEGRADING
6,Projection-Neutral,HorizonExtension,0.7122,0.0423,0.7199,0.0209,0.0278,0.0165,0.1388,HORIZON-DEGRADING
8,Projection-Neutral,HorizonExtension,0.6882,0.0427,0.686,0.0324,0.0248,0.0322,0.1305,HORIZON-DEGRADING
12,Projection-Neutral,HorizonExtension,0.6036,0.0382,0.6143,0.0148,0.0355,0.0154,0.1198,HORIZON-WEAK
16,Projection-Neutral,HorizonExtension,0.5673,0.057,0.5488,0.0196,0.0405,0.0174,0.1042,HORIZON-WEAK
20,Projection-Neutral,HorizonExtension,0.5207,0.0496,0.5157,0.0313,0.0346,0.0259,0.1078,HORIZON-WEAK
24,Projection-Neutral,HorizonExtension,0.4864,0.0603,0.4889,0.0199,0.0187,0.0159,0.0942,HORIZON-COLLAPSING
28,Projection-Neutral,HorizonExtension,0.4507,0.0603,0.4548,0.0383,0.033,0.0173,0.0849,HORIZON-COLLAPSING
32,Projection-Neutral,HorizonExtension,0.4161,0.0572,0.4311,0.045,0.0462,0.031,0.0841,HORIZON-COLLAPSING
40,Projection-Neutral,HorizonExtension,0.3822,0.0517,0.3823,0.0562,0.0268,0.0379,0.0776,HORIZON-COLLAPSING
1,Projection-Neutral,NullHorizonControl,0.5907,0.1598,0.615,0.1854,0.2,0.1472,-0.0071,HORIZON-COLLAPSING
2,Projection-Neutral,NullHorizonControl,0.547,0.149,0.6002,0.1902,0.208,0.1407,-0.02,HORIZON-COLLAPSING
4,Projection-Neutral,NullHorizonControl,0.5439,0.1603,0.5758,0.2054,0.2109,0.1478,-0.0102,HORIZON-COLLAPSING
6,Projection-Neutral,NullHorizonControl,0.5083,0.1543,0.5409,0.2165,0.2241,0.151,-0.0035,HORIZON-COLLAPSING
8,Projection-Neutral,NullHorizonControl,0.4864,0.1659,0.5028,0.2144,0.2378,0.1568,-0.0073,HORIZON-COLLAPSING
12,Projection-Neutral,NullHorizonControl,0.4478,0.1818,0.4741,0.2459,0.2336,0.1508,0.0056,HORIZON-COLLAPSING
16,Projection-Neutral,NullHorizonControl,0.414,0.1785,0.4154,0.247,0.2452,0.1588,-0.0007,HORIZON-COLLAPSING
20,Projection-Neutral,NullHorizonControl,0.3668,0.1871,0.3979,0.25,0.25,0.182,-0.0026,HORIZON-COLLAPSING
24,Projection-Neutral,NullHorizonControl,0.3451,0.2,0.3628,0.25,0.25,0.1811,-0.006,HORIZON-FAILED
28,Projection-Neutral,NullHorizonControl,0.3107,0.2,0.343,0.25,0.25,0.1949,-0.007,HORIZON-FAILED
32,Projection-Neutral,NullHorizonControl,0.2952,0.2,0.3241,0.25,0.25,0.1824,0.0027,HORIZON-FAILED
40,Projection-Neutral,NullHorizonControl,0.2617,0.2,0.279,0.25,0.25,0.2,-0.0095,HORIZON-FAILED
1,Antisymmetry-Neutral,BaselineHorizon,0.7785,0.0607,0.7532,0.0366,0.0526,0.0351,0.042,HORIZON-DEGRADING
2,Antisymmetry-Neutral,BaselineHorizon,0.7658,0.0473,0.7607,0.0366,0.0575,0.051,0.0388,HORIZON-DEGRADING
4,Antisymmetry-Neutral,BaselineHorizon,0.7012,0.0642,0.7129,0.0533,0.0593,0.0414,0.0258,HORIZON-DEGRADING
6,Antisymmetry-Neutral,BaselineHorizon,0.6794,0.0465,0.6757,0.0568,0.0473,0.0433,0.0395,HORIZON-DEGRADING
8,Antisymmetry-Neutral,BaselineHorizon,0.6366,0.0551,0.6353,0.0424,0.0505,0.045,0.0282,HORIZON-WEAK
12,Antisymmetry-Neutral,BaselineHorizon,0.5988,0.0618,0.5813,0.0433,0.0635,0.0488,0.0297,HORIZON-WEAK
16,Antisymmetry-Neutral,BaselineHorizon,0.5438,0.0741,0.5198,0.0534,0.0728,0.0518,0.0212,HORIZON-WEAK
20,Antisymmetry-Neutral,BaselineHorizon,0.4973,0.0622,0.4896,0.0524,0.0795,0.0636,0.0235,HORIZON-COLLAPSING
24,Antisymmetry-Neutral,BaselineHorizon,0.4607,0.0732,0.4516,0.0638,0.0608,0.0541,0.0252,HORIZON-COLLAPSING
28,Antisymmetry-Neutral,BaselineHorizon,0.4359,0.0747,0.4338,0.0614,0.0811,0.049,0.026,HORIZON-COLLAPSING
32,Antisymmetry-Neutral,BaselineHorizon,0.4014,0.0632,0.4056,0.0811,0.0915,0.067,0.0156,HORIZON-COLLAPSING
40,Antisymmetry-Neutral,BaselineHorizon,0.3542,0.0935,0.3591,0.0677,0.101,0.0626,0.0158,HORIZON-COLLAPSING
1,Antisymmetry-Neutral,DriftAccumulation,0.7799,0.075,0.7369,0.0842,0.0687,0.0508,0.0532,HORIZON-DEGRADING
2,Antisymmetry-Neutral,DriftAccumulation,0.7196,0.071,0.7206,0.0865,0.0823,0.0475,0.0295,HORIZON-WEAK
4,Antisymmetry-Neutral,DriftAccumulation,0.716,0.0668,0.6841,0.0769,0.0676,0.0456,0.0498,HORIZON-DEGRADING
6,Antisymmetry-Neutral,DriftAccumulation,0.6674,0.0624,0.639,0.0979,0.071,0.0539,0.0464,HORIZON-DEGRADING
8,Antisymmetry-Neutral,DriftAccumulation,0.6144,0.0761,0.6164,0.0971,0.0762,0.0589,0.0341,HORIZON-WEAK
12,Antisymmetry-Neutral,DriftAccumulation,0.5755,0.0819,0.56,0.0991,0.0774,0.0589,0.0282,HORIZON-WEAK
16,Antisymmetry-Neutral,DriftAccumulation,0.5114,0.0796,0.5172,0.0958,0.0901,0.0728,0.0221,HORIZON-WEAK
20,Antisymmetry-Neutral,DriftAccumulation,0.4778,0.0847,0.4727,0.1068,0.0915,0.0618,0.0247,HORIZON-COLLAPSING
24,Antisymmetry-Neutral,DriftAccumulation,0.4419,0.0862,0.4389,0.1101,0.1145,0.0715,0.0313,HORIZON-COLLAPSING
28,Antisymmetry-Neutral,DriftAccumulation,0.4315,0.0999,0.4032,0.1257,0.102,0.0625,0.031,HORIZON-COLLAPSING
32,Antisymmetry-Neutral,DriftAccumulation,0.3899,0.1089,0.3783,0.1352,0.1123,0.0758,0.0227,HORIZON-COLLAPSING
40,Antisymmetry-Neutral,DriftAccumulation,0.346,0.096,0.3334,0.1424,0.1167,0.0661,0.0157,HORIZON-FAILED
1,Antisymmetry-Neutral,OperatorSaturation,0.7339,0.0656,0.7362,0.0532,0.0572,0.0848,0.045,HORIZON-DEGRADING
2,Antisymmetry-Neutral,OperatorSaturation,0.7376,0.0825,0.7126,0.0706,0.0629,0.0859,0.0313,HORIZON-WEAK
4,Antisymmetry-Neutral,OperatorSaturation,0.674,0.0784,0.6679,0.0704,0.0605,0.0968,0.0472,HORIZON-DEGRADING
6,Antisymmetry-Neutral,OperatorSaturation,0.6405,0.0852,0.6306,0.0592,0.064,0.0966,0.0381,HORIZON-WEAK
8,Antisymmetry-Neutral,OperatorSaturation,0.6242,0.0878,0.5894,0.0659,0.0645,0.0964,0.0318,HORIZON-WEAK
12,Antisymmetry-Neutral,OperatorSaturation,0.562,0.0832,0.5565,0.0765,0.082,0.0946,0.0407,HORIZON-WEAK
16,Antisymmetry-Neutral,OperatorSaturation,0.5132,0.0775,0.5048,0.0755,0.0826,0.1011,0.0351,HORIZON-WEAK
20,Antisymmetry-Neutral,OperatorSaturation,0.4855,0.0971,0.4543,0.0942,0.0796,0.1037,0.0245,HORIZON-COLLAPSING
24,Antisymmetry-Neutral,OperatorSaturation,0.4503,0.0895,0.4309,0.1017,0.0825,0.1223,0.0256,HORIZON-COLLAPSING
28,Antisymmetry-Neutral,OperatorSaturation,0.4185,0.0947,0.3981,0.0853,0.1024,0.1111,0.0174,HORIZON-COLLAPSING
32,Antisymmetry-Neutral,OperatorSaturation,0.3813,0.0919,0.3722,0.0885,0.1089,0.1254,0.0228,HORIZON-COLLAPSING
40,Antisymmetry-Neutral,OperatorSaturation,0.3548,0.1134,0.3374,0.1177,0.0989,0.1429,0.0134,HORIZON-COLLAPSING
1,Antisymmetry-Neutral,ScaleFragmentation,0.76,0.0677,0.71,0.0669,0.1137,0.0546,0.0433,HORIZON-WEAK
2,Antisymmetry-Neutral,ScaleFragmentation,0.7247,0.0722,0.6961,0.0754,0.111,0.0614,0.0459,HORIZON-WEAK
4,Antisymmetry-Neutral,ScaleFragmentation,0.6666,0.0822,0.6703,0.0822,0.1214,0.0609,0.0413,HORIZON-COLLAPSING
6,Antisymmetry-Neutral,ScaleFragmentation,0.6423,0.0896,0.6224,0.0725,0.1141,0.0717,0.046,HORIZON-WEAK
8,Antisymmetry-Neutral,ScaleFragmentation,0.6249,0.0902,0.6014,0.0899,0.1365,0.074,0.037,HORIZON-COLLAPSING
12,Antisymmetry-Neutral,ScaleFragmentation,0.5663,0.081,0.549,0.0882,0.1355,0.0746,0.0429,HORIZON-COLLAPSING
16,Antisymmetry-Neutral,ScaleFragmentation,0.5267,0.0969,0.4819,0.0902,0.1411,0.0749,0.0291,HORIZON-COLLAPSING
20,Antisymmetry-Neutral,ScaleFragmentation,0.488,0.1038,0.4559,0.1117,0.1545,0.0826,0.034,HORIZON-COLLAPSING
24,Antisymmetry-Neutral,ScaleFragmentation,0.4391,0.0947,0.4251,0.1185,0.1522,0.084,0.0193,HORIZON-COLLAPSING
28,Antisymmetry-Neutral,ScaleFragmentation,0.4023,0.1212,0.386,0.1191,0.1695,0.0739,0.0259,HORIZON-COLLAPSING
32,Antisymmetry-Neutral,ScaleFragmentation,0.394,0.109,0.362,0.1275,0.1597,0.0798,0.0259,HORIZON-COLLAPSING
40,Antisymmetry-Neutral,ScaleFragmentation,0.3511,0.1089,0.3271,0.1318,0.1739,0.0944,0.0135,HORIZON-COLLAPSING
1,Antisymmetry-Neutral,HorizonExtension,0.8199,0.0433,0.8313,0.0192,0.0156,0.0184,0.1709,HORIZON-STABLE
2,Antisymmetry-Neutral,HorizonExtension,0.7877,0.0434,0.7777,0.0269,0.014,0.0212,0.1508,HORIZON-DEGRADING
4,Antisymmetry-Neutral,HorizonExtension,0.759,0.0383,0.7447,0.0188,0.0323,0.0163,0.1391,HORIZON-DEGRADING
6,Antisymmetry-Neutral,HorizonExtension,0.7288,0.0366,0.7042,0.0324,0.0246,0.0134,0.1531,HORIZON-DEGRADING
8,Antisymmetry-Neutral,HorizonExtension,0.6883,0.0392,0.6631,0.0198,0.0336,0.0293,0.1418,HORIZON-DEGRADING
12,Antisymmetry-Neutral,HorizonExtension,0.611,0.0572,0.6271,0.0238,0.0359,0.0343,0.1306,HORIZON-WEAK
16,Antisymmetry-Neutral,HorizonExtension,0.5588,0.0493,0.5744,0.0174,0.0309,0.0232,0.1159,HORIZON-WEAK
20,Antisymmetry-Neutral,HorizonExtension,0.5188,0.0597,0.5271,0.0286,0.0403,0.0162,0.1098,HORIZON-WEAK
24,Antisymmetry-Neutral,HorizonExtension,0.4836,0.0467,0.4892,0.0435,0.0349,0.0334,0.1002,HORIZON-COLLAPSING
28,Antisymmetry-Neutral,HorizonExtension,0.4541,0.0464,0.4475,0.0331,0.0475,0.0246,0.0883,HORIZON-COLLAPSING
