domain,sys_idx,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score
coupled_map_lattice,320,15,1,2.76,1.0,0.0,1,CG,1.0,1.0,0.7883,0.197814,1.0,0.7883,0.1409,0.9724,0.02,0.7959
coupled_map_lattice,322,11,1,1.94,0.64,0.971,2,CG,0.4333,0.64,0.369,0.109141,0.9995,0.369,0.5924,0.6276,0.02,0.436
coupled_map_lattice,324,10,1,2.74,1.0,0.0,1,CG,1.0,1.0,0.9936,0.137309,1.0,0.9936,0.221,0.9726,0.04,0.8503
coupled_map_lattice,330,3,1,2.56,0.9,0.0,1,CG,0.9333,0.9,0.415,0.114097,0.9976,0.415,0.8366,0.877,0.04,0.653
coupled_map_lattice,335,4,1,6.12,0.625,0.0,1,CG,0.8333,0.625,0.445,0.110207,0.9987,0.445,0.9539,0.5867,0.06,0.5312
coupled_map_lattice,355,9,1,3.53,0.94,0.0,1,CG,1.0,0.94,0.235,0.076836,0.9998,0.235,0.4211,0.9068,0.04,0.6358
coupled_map_lattice,357,17,1,11.33,0.42,0.0,1,CG,0.9333,0.42,0.18,0.057085,0.9997,0.18,0.1471,0.3724,0.02,0.3955
coupled_map_lattice,358,18,1,6.58,1.0,0.0,1,CG,1.0,1.0,0.7738,0.222931,1.0,0.7738,0.4604,0.9342,0.02,0.7866
coupled_map_lattice,359,9,1,3.06,0.68,0.0,1,CG,1.0,0.68,0.355,0.10275,0.9985,0.355,0.4542,0.6592,0.04,0.5636
coupled_map_lattice,367,11,1,3.4,0.86,0.0,1,CG,1.0,0.86,0.22,0.067917,0.9998,0.22,0.4581,0.8308,0.02,0.5976
coupled_map_lattice,395,5,1,4.61,0.98,0.0,1,CG,1.0,0.98,0.32,0.09223,0.9995,0.32,0.637,0.9348,0.08,0.6772
coupled_map_lattice,401,20,1,6.5,0.08,0.0,1,CG,0.8333,0.08,0.165,0.051226,0.9998,0.165,0.0281,0.0748,0.02,0.2421
coupled_map_lattice,406,11,1,3.26,0.62,0.0,1,CG,1.0,0.62,0.21,0.054491,0.9998,0.21,0.227,0.5998,0.02,0.5005
coupled_map_lattice,411,10,1,3.74,1.0,0.0,1,CG,1.0,1.0,0.9962,0.253181,0.9999,0.9962,0.7521,0.9626,0.02,0.8464
coupled_map_lattice,412,16,1,5.46,1.0,0.0,1,CG,1.0,1.0,0.9805,0.207351,1.0,0.9805,0.5013,0.9454,0.02,0.8399
coupled_map_lattice,423,11,1,6.55,0.8,0.0,1,CG,1.0,0.8,0.245,0.066385,0.9998,0.245,0.3101,0.7476,0.02,0.5764
coupled_map_lattice,426,11,1,3.6,1.0,0.0,1,CG,1.0,1.0,0.764,0.193704,0.9994,0.764,0.8237,0.964,0.02,0.7886
coupled_map_lattice,429,19,1,7.57,0.42,0.0,1,CG,0.9333,0.42,0.1949,0.058429,0.9997,0.1949,0.1105,0.3882,0.02,0.4016
coupled_map_lattice,433,10,1,2.39,0.98,0.7219,2,CG,0.9667,0.98,0.6595,0.143201,0.9986,0.6595,0.3416,0.9566,0.02,0.7497
coupled_map_lattice,463,13,1,8.19,0.52,0.0,1,CG,0.8333,0.52,0.175,0.054346,0.9997,0.175,0.099,0.4774,0.02,0.415
coupled_map_lattice,469,18,1,6.16,1.0,0.0,1,CG,0.9667,1.0,0.5309,0.159929,0.9987,0.5309,1.3783,0.9384,0.02,0.7198
coupled_map_lattice,473,12,1,2.34,0.94,0.0,1,CG,0.8,0.94,0.5547,0.129284,0.9989,0.5547,0.2803,0.918,0.04,0.6774
coupled_map_lattice,477,10,1,6.69,0.58,0.0,1,CG,1.0,0.58,0.215,0.05653,0.9998,0.215,0.1685,0.5412,0.02,0.4829
coupled_map_lattice,497,10,1,3.16,1.0,0.0,1,CG,1.0,1.0,0.7961,0.170784,0.9999,0.7961,0.1548,0.9684,0.04,0.8003
coupled_map_lattice,499,4,1,3.74,0.775,0.0,1,CG,0.8667,0.775,0.41,0.101177,0.9977,0.41,0.9521,0.746,0.04,0.5875
gray_scott,3,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.9999,0.217174,0.9988,0.9999,0.0,0.0,0.06,0.459
gray_scott,4,5,1,2.1,1.0,1.5219,3,CG,0.8,1.0,0.7494,0.113265,0.9992,0.7494,0.8195,0.979,0.04,0.7502
gray_scott,7,1,1,1.6,1.0,0.0,1,CG,0.6,1.0,0.6493,0.106849,0.9997,0.6493,1.0338,0.984,0.06,0.6889
gray_scott,12,3,1,1.63,1.0,0.0,1,CG,0.9,1.0,0.8486,0.054507,0.9993,0.8486,0.643,0.9837,0.06,0.7987
gray_scott,13,7,1,2.78,1.0,0.0,1,CG,1.0,1.0,0.9603,0.153231,0.9994,0.9603,0.4342,0.9722,0.04,0.8419
gray_scott,15,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.9998,0.220535,0.9988,0.9998,0.0,0.0,0.08,0.4619
gray_scott,16,2,1,1.2,1.0,0.0,1,CG,0.5333,1.0,0.7,0.079906,0.9996,0.7,0.797,0.988,0.12,0.6979
gray_scott,17,3,1,1.17,1.0,0.0,1,CG,0.8333,1.0,0.8,0.091052,0.9994,0.8,1.23,0.9883,0.1,0.7799
gray_scott,19,18,1,5.96,1.0,0.0,1,CG,1.0,1.0,0.9499,0.124472,0.9999,0.9499,0.586,0.9404,0.02,0.8315
gray_scott,20,4,1,4.62,1.0,0.0,1,CG,1.0,1.0,0.9597,0.188017,0.9994,0.9597,0.7383,0.9538,0.06,0.842
gray_scott,21,8,1,11.2,0.9,0.0,1,CG,1.0,0.9,0.9999,0.055563,0.9989,0.9999,0.4585,0.7992,0.02,0.7979
gray_scott,26,3,1,1.23,1.0,0.9183,2,CG,0.8667,1.0,0.7484,0.092277,0.9993,0.7484,0.7357,0.9877,0.08,0.7706
gray_scott,29,14,1,4.02,1.0,0.0,1,CG,1.0,1.0,1.0,0.132045,0.9998,1.0,0.1069,0.9598,0.02,0.847
gray_scott,30,19,1,28.59,0.98,0.0,1,CG,1.0,0.98,0.5057,0.177065,0.9999,0.5057,0.5664,0.6998,0.02,0.6794
gray_scott,32,3,1,1.2,1.0,0.0,1,CG,0.5,1.0,0.65,0.074755,0.9996,0.65,0.7535,0.988,0.08,0.6727
gray_scott,34,10,1,10.04,0.96,0.0,1,CG,1.0,0.96,0.7372,0.187881,0.9994,0.7372,0.6735,0.8636,0.02,0.7568
gray_scott,37,18,1,9.38,1.0,0.0,1,CG,1.0,1.0,0.9965,0.116939,0.9998,0.9965,0.0846,0.9062,0.02,0.8381
gray_scott,40,3,1,1.3,1.0,0.0,1,CG,0.5,1.0,0.65,0.074167,0.9996,0.65,0.6984,0.987,0.08,0.6725
gray_scott,41,7,1,2.3,1.0,1.5219,3,CG,0.9,1.0,0.5319,0.051936,0.9992,0.5319,1.0737,0.977,0.06,0.7185
gray_scott,42,3,1,2.37,1.0,0.0,1,CG,0.8333,1.0,0.7999,0.146264,0.9994,0.7999,0.8407,0.9763,0.14,0.7841
gray_scott,45,5,1,2.62,1.0,0.971,2,CG,0.9333,1.0,0.8495,0.107853,0.9991,0.8495,1.1373,0.9738,0.04,0.8011
gray_scott,47,11,1,2.88,1.0,0.0,1,CG,1.0,1.0,0.639,0.173686,0.9999,0.639,0.3417,0.9712,0.04,0.7614
gray_scott,51,6,1,1.84,1.0,0.0,1,CG,0.7,1.0,0.6,0.086753,0.9996,0.6,1.1354,0.9816,0.06,0.6962
gray_scott,54,12,1,4.0,1.0,0.0,1,CG,1.0,1.0,0.9995,0.133419,0.9994,0.9995,0.0464,0.96,0.02,0.8469
gray_scott,65,1,1,1.7,1.0,0.0,1,CG,1.0,1.0,0.9999,0.21257,0.9989,0.9999,1.4321,0.983,0.08,0.8594
gray_scott,69,11,1,3.34,1.0,0.0,1,CG,1.0,1.0,0.6573,0.163163,0.9999,0.6573,0.2699,0.9666,0.02,0.7623
gray_scott,71,17,1,7.44,1.0,0.0,1,CG,1.0,1.0,1.0,0.132745,0.9998,1.0,0.1047,0.9256,0.02,0.8418
gray_scott,73,11,1,20.95,0.78,0.0,1,CG,1.0,0.78,1.0,0.204847,0.9993,1.0,0.4994,0.6166,0.02,0.7405
gray_scott,75,12,1,6.98,0.94,1.371,3,CG,1.0,0.94,0.7793,0.118098,0.9995,0.7793,0.3817,0.8744,0.02,0.764
gray_scott,77,20,1,13.0,0.72,0.0,1,CG,1.0,0.72,0.9494,0.113393,0.9999,0.9494,0.4482,0.6264,0.02,0.7143
gray_scott,81,5,1,4.39,0.98,0.0,1,CG,0.7333,0.98,0.8499,0.108555,0.9991,0.8499,0.9543,0.937,0.06,0.7537
gray_scott,86,5,1,1.9,1.0,1.5219,3,CG,0.8333,1.0,0.7901,0.099592,0.9992,0.7901,0.9578,0.981,0.08,0.7733
gray_scott,90,6,1,2.63,0.98,0.971,2,CG,0.9333,0.98,0.8441,0.109904,0.9993,0.8441,0.6754,0.9542,0.04,0.7918
gray_scott,92,13,1,3.6,1.0,0.0,1,CG,1.0,1.0,1.0,0.132522,0.9997,1.0,0.0876,0.964,0.02,0.8476
gray_scott,94,16,1,8.55,0.98,0.0,1,CG,1.0,0.98,0.9988,0.144307,0.9998,0.9988,0.0903,0.8962,0.02,0.8321
gray_scott,95,19,1,28.5,0.6,0.0,1,CG,1.0,0.6,0.9454,0.119051,0.9994,0.9454,0.1232,0.429,0.02,0.6537
gray_scott,96,2,1,1.2,1.0,0.0,1,CG,0.7,1.0,0.6,0.072021,0.9997,0.6,0.4721,0.988,0.08,0.7002
gray_scott,97,14,1,3.06,1.0,0.0,1,CG,1.0,1.0,0.4792,0.151152,0.9999,0.4792,0.133,0.9694,0.02,0.7182
gray_scott,99,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,1.0,0.221745,0.999,1.0,0.0,0.0,0.06,0.459
gray_scott,101,4,1,1.1,1.0,0.0,1,CG,0.7333,1.0,0.8498,0.097469,0.9993,0.8498,0.5806,0.989,0.04,0.7635
gray_scott,104,8,1,2.94,1.0,0.0,1,CG,0.9667,1.0,0.8621,0.176048,0.9998,0.8621,0.6787,0.9706,0.04,0.8105
gray_scott,106,13,1,21.17,0.72,0.0,1,CG,0.9333,0.72,0.9,0.137428,0.9995,0.9,0.6452,0.5676,0.04,0.6828
gray_scott,110,1,1,1.1,1.0,0.0,1,CG,0.6667,1.0,0.75,0.089256,0.9996,0.75,1.3641,0.989,0.12,0.7372
gray_scott,113,4,1,1.3,1.0,0.0,1,CG,0.5,1.0,0.65,0.118172,0.9997,0.65,0.6547,0.987,0.06,0.6695
gray_scott,114,3,1,4.93,1.0,0.0,1,CG,0.6667,1.0,0.8,0.094835,0.9995,0.8,1.4743,0.9507,0.1,0.7409
gray_scott,115,6,1,6.88,0.98,0.0,1,CG,1.0,0.98,0.9993,0.185214,0.9985,0.9993,0.7208,0.9126,0.04,0.8377
gray_scott,116,10,1,8.69,0.98,0.0,1,CG,1.0,0.98,0.9967,0.191418,0.9998,0.9967,1.2103,0.8948,0.02,0.8314
gray_scott,120,15,1,3.6,1.0,0.0,1,CG,0.8667,1.0,0.6385,0.171226,0.9997,0.6385,0.7324,0.964,0.02,0.7306
gray_scott,124,5,1,7.04,0.98,0.0,1,CG,1.0,0.98,0.9999,0.181126,0.9984,0.9999,0.8341,0.911,0.04,0.8376
gray_scott,126,0,-1,-1.0,-1.0,-1.0,-1,CG,0.9667,0.0,1.0,0.26736,0.999,1.0,0.0,0.0,0.12,0.4613
gray_scott,127,2,1,1.25,1.0,0.0,1,CG,0.5,1.0,0.7,0.055041,0.9997,0.7,0.6904,0.9875,0.08,0.6851
gray_scott,128,15,1,2.94,1.0,0.0,1,CG,1.0,1.0,0.4436,0.142469,0.9999,0.4436,0.2662,0.9706,0.02,0.7095
gray_scott,130,12,1,2.44,1.0,0.0,1,CG,1.0,1.0,0.6952,0.154079,0.9999,0.6952,0.2316,0.9756,0.04,0.7761
gray_scott,132,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,1.0,0.230985,0.9991,1.0,0.0,0.0,0.1,0.465
gray_scott,135,5,1,1.58,1.0,0.0,1,CG,0.6667,1.0,0.6,0.072877,0.9996,0.6,0.5567,0.9842,0.04,0.687
gray_scott,137,13,1,19.02,0.8,0.0,1,CG,1.0,0.8,1.0,0.052765,0.9988,1.0,0.2855,0.6478,0.02,0.7502
gray_scott,140,15,1,3.78,1.0,0.0,1,CG,0.9667,1.0,0.6239,0.157766,0.9998,0.6239,0.2551,0.9622,0.02,0.7466
gray_scott,141,12,1,15.07,0.86,0.0,1,CG,0.9667,0.86,0.9,0.10632,0.9996,0.9,0.7706,0.7304,0.02,0.7459
gray_scott,145,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,1.0,0.228127,0.9985,1.0,0.0,0.0,0.1,0.465
gray_scott,146,9,1,2.02,1.0,0.7219,2,CG,0.4667,1.0,0.5366,0.069931,0.9994,0.5366,0.9672,0.9798,0.02,0.6275
gray_scott,149,15,1,4.2,1.0,0.0,1,CG,1.0,1.0,0.9696,0.051095,0.9998,0.9696,0.005,0.958,0.02,0.8391
gray_scott,154,14,1,10.17,0.96,0.0,1,CG,1.0,0.96,0.5719,0.186154,0.9994,0.5719,0.5134,0.8624,0.02,0.7153
gray_scott,160,11,1,2.62,1.0,0.0,1,CG,1.0,1.0,0.4748,0.153711,0.9999,0.4748,0.1085,0.9738,0.02,0.7178
gray_scott,167,8,1,15.04,0.9,0.0,1,CG,1.0,0.9,0.9998,0.154029,0.9988,0.9998,0.3909,0.7646,0.04,0.7956
gray_scott,169,2,1,1.35,1.0,0.0,1,CG,0.7667,1.0,0.65,0.106655,0.9995,0.65,0.8889,0.9865,0.12,0.7318
gray_scott,170,12,1,3.12,1.0,0.0,1,CG,1.0,1.0,0.9832,0.054381,0.9994,0.9832,0.2612,0.9688,0.02,0.8441
gray_scott,171,13,1,2.82,1.0,0.0,1,CG,0.9667,1.0,0.4489,0.140712,0.9998,0.4489,0.1025,0.9718,0.02,0.7043
gray_scott,172,1,1,2.7,1.0,0.0,1,CG,0.6333,1.0,0.75,0.087826,0.9996,0.75,1.402,0.973,0.08,0.7221
gray_scott,178,2,1,1.15,1.0,0.0,1,CG,0.8,1.0,0.8,0.088852,0.9995,0.8,0.3361,0.9885,0.06,0.7673
gray_scott,182,3,1,1.07,1.0,0.0,1,CG,0.5,1.0,0.65,0.054181,0.9995,0.65,0.7165,0.9893,0.06,0.6699
gray_scott,184,1,1,45.67,0.9,0.0,1,CG,1.0,0.9,1.0,0.216915,0.9991,1.0,1.1694,0.489,0.06,0.7573
gray_scott,188,11,1,3.38,1.0,0.0,1,CG,1.0,1.0,0.5334,0.149955,0.9999,0.5334,0.2788,0.9662,0.02,0.7313
gray_scott,190,6,1,1.52,1.0,0.0,1,CG,0.6333,1.0,0.6,0.067789,0.9996,0.6,0.6198,0.9848,0.06,0.6834
gray_scott,191,3,1,2.13,1.0,0.9183,2,CG,0.8333,1.0,0.749,0.077232,0.9991,0.749,0.7323,0.9787,0.06,0.7597
gray_scott,193,6,1,1.5,1.0,0.0,1,CG,0.6333,1.0,0.6,0.06909,0.9996,0.6,0.5907,0.985,0.06,0.6834
gray_scott,197,11,1,3.2,1.0,0.0,1,CG,1.0,1.0,0.5056,0.14938,0.9999,0.5056,0.2385,0.968,0.04,0.7276
gray_scott,200,15,1,4.58,1.0,0.0,1,CG,1.0,1.0,0.9842,0.051699,0.9996,0.9842,0.1096,0.9542,0.02,0.8422
gray_scott,201,15,1,8.4,1.0,0.0,1,CG,1.0,1.0,1.0,0.146006,0.9991,1.0,0.1531,0.916,0.02,0.8404
gray_scott,205,7,1,5.96,1.0,0.0,1,CG,1.0,1.0,0.866,0.194388,0.9995,0.866,1.0003,0.9404,0.04,0.8136
gray_scott,209,12,1,2.8,1.0,0.0,1,CG,1.0,1.0,0.4755,0.142871,0.9999,0.4755,0.0787,0.972,0.04,0.7207
gray_scott,210,1,1,15.38,0.8,0.0,1,CG,0.9667,0.8,1.0,0.220999,0.9991,1.0,0.8879,0.677,0.08,0.7569
gray_scott,211,6,1,5.52,1.0,0.0,1,CG,1.0,1.0,0.8804,0.189907,0.9994,0.8804,1.0272,0.9448,0.04,0.8178
gray_scott,216,0,-1,-1.0,-1.0,-1.0,-1,CG,0.9667,0.0,1.0,0.227671,0.999,1.0,0.0,0.0,0.06,0.4523
gray_scott,219,14,1,5.68,0.94,0.0,1,CG,1.0,0.94,0.9998,0.102662,0.9997,0.9998,0.0536,0.8866,0.02,0.8209
gray_scott,220,19,1,39.67,0.78,0.0,1,CG,1.0,0.78,1.0,0.131612,0.9999,1.0,0.1058,0.4706,0.02,0.7186
gray_scott,221,3,1,31.85,0.6667,0.0,1,CG,0.9667,0.6667,1.0,0.250357,0.999,1.0,1.2335,0.4544,0.1,0.6932
gray_scott,222,2,1,1.1,1.0,0.0,1,CG,0.7667,1.0,0.7495,0.084457,0.9995,0.7495,0.8681,0.989,0.16,0.7631
gray_scott,227,12,1,19.84,0.76,0.0,1,CG,0.9667,0.76,0.9,0.113619,0.9996,0.9,0.446,0.6092,0.04,0.7057
gray_scott,229,12,1,3.98,1.0,0.0,1,CG,1.0,1.0,0.9833,0.051404,0.9991,0.9833,0.2453,0.9602,0.02,0.8429
gray_scott,231,8,1,9.13,0.92,0.0,1,CG,1.0,0.92,0.9499,0.052007,0.9989,0.9499,0.6311,0.836,0.04,0.7989
gray_scott,233,5,1,1.8,1.0,1.5219,3,CG,0.7667,1.0,0.7926,0.083522,0.9993,0.7926,1.1065,0.982,0.1,0.7638
gray_scott,234,9,1,43.58,0.66,0.0,1,CG,1.0,0.66,1.0,0.121482,0.999,1.0,0.3929,0.3724,0.04,0.6769
gray_scott,236,8,1,1.86,1.0,0.0,1,CG,0.5333,1.0,0.55,0.068562,0.9996,0.55,0.2581,0.9814,0.04,0.6474
gray_scott,238,3,1,1.2,1.0,0.0,1,CG,0.9,1.0,0.7996,0.097875,0.999,0.7996,0.5746,0.988,0.1,0.7931
gray_scott,240,4,1,1.9,1.0,0.8113,2,CG,0.5,1.0,0.5958,0.083919,0.9994,0.5958,0.8207,0.981,0.06,0.6551
gray_scott,242,3,1,1.5,1.0,0.0,1,CG,0.8333,1.0,0.8497,0.085067,0.9994,0.8497,0.3371,0.985,0.06,0.7858
gray_scott,246,18,1,5.34,1.0,0.0,1,CG,1.0,1.0,0.9991,0.143924,0.9998,0.9991,0.0954,0.9466,0.02,0.8448
gray_scott,249,3,1,4.6,1.0,0.0,1,CG,1.0,1.0,0.9998,0.20688,0.9983,0.9998,1.2339,0.954,0.06,0.852
gray_scott,253,16,1,4.2,1.0,0.0,1,CG,0.8,1.0,0.543,0.130703,0.9995,0.543,0.6409,0.958,0.02,0.6925
gray_scott,257,12,1,6.26,1.0,0.0,1,CG,1.0,1.0,0.9997,0.070194,0.999,0.9997,0.1953,0.9374,0.02,0.8435
gray_scott,264,3,1,1.8,1.0,0.0,1,CG,1.0,1.0,0.998,0.206901,0.9993,0.998,1.3135,0.982,0.08,0.8588
gray_scott,266,3,1,37.54,0.8,0.0,1,CG,0.9667,0.8,1.0,0.138787,0.999,1.0,0.8071,0.4997,0.06,0.7273
gray_scott,267,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.9998,0.211823,0.9989,0.9998,0.0,0.0,0.08,0.462
gray_scott,272,2,1,1.9,1.0,1.0,2,CG,0.6667,1.0,0.7,0.101637,0.9995,0.7,1.2551,0.981,0.1,0.7205
gray_scott,274,5,1,2.32,0.88,0.0,1,CG,0.7667,0.88,0.85,0.085536,0.9993,0.85,0.5295,0.8596,0.06,0.7238
gray_scott,279,2,1,1.35,1.0,0.0,1,CG,1.0,1.0,0.9991,0.19822,0.9992,0.9991,1.0327,0.9865,0.1,0.8627
gray_scott,281,16,1,25.08,0.76,0.0,1,CG,1.0,0.76,1.0,0.164504,0.9991,1.0,0.1942,0.5694,0.02,0.7284
gray_scott,282,8,1,3.32,1.0,0.971,2,CG,0.7,1.0,0.8499,0.158775,0.9996,0.8499,1.5499,0.9668,0.02,0.7505
gray_scott,284,1,1,1.5,1.0,0.0,1,CG,0.7333,1.0,0.6997,0.071386,0.9997,0.6997,1.2526,0.985,0.12,0.7373
gray_scott,287,8,1,8.44,1.0,0.0,1,CG,1.0,1.0,0.878,0.186015,0.9999,0.878,0.9614,0.9156,0.02,0.8098
gray_scott,289,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,1.0,0.234298,0.9988,1.0,0.0,0.0,0.12,0.468
gray_scott,290,18,1,25.08,0.8,0.0,1,CG,1.0,0.8,0.9977,0.122372,0.9998,0.9977,0.0415,0.5994,0.02,0.7423
gray_scott,293,9,1,7.04,0.98,0.0,1,CG,1.0,0.98,0.8003,0.17129,0.9996,0.8003,0.7955,0.911,0.02,0.7847
gray_scott,294,15,1,3.3,1.0,0.0,1,CG,0.9667,1.0,0.6014,0.153312,0.9998,0.6014,0.2003,0.967,0.02,0.7417
gray_scott,295,12,1,7.28,1.0,0.0,1,CG,1.0,1.0,0.9992,0.163558,0.9989,0.9992,0.2831,0.9272,0.02,0.8419
gray_scott,296,12,1,2.78,1.0,0.0,1,CG,0.9333,1.0,0.7776,0.177695,0.9998,0.7776,0.4487,0.9722,0.02,0.7799
gray_scott,297,9,1,1.46,1.0,0.0,1,CG,0.5,1.0,0.5499,0.059821,0.9996,0.5499,0.7128,0.9854,0.02,0.6383
gray_scott,298,10,1,1.86,1.0,0.0,1,CG,0.4,1.0,0.55,0.065979,0.9997,0.55,0.3551,0.9814,0.04,0.6207
gray_scott,299,18,1,31.94,0.68,0.0,1,CG,1.0,0.68,0.9998,0.1428,0.9995,0.9998,0.1271,0.4628,0.02,0.6924
gray_scott,300,0,-1,-1.0,-1.0,-1.0,-1,CG,0.9667,0.0,1.0,0.256557,0.9988,1.0,0.0,0.0,0.12,0.4613
gray_scott,303,11,1,2.82,1.0,0.0,1,CG,1.0,1.0,0.5814,0.172077,0.9999,0.5814,0.2786,0.9718,0.04,0.7471
gray_scott,305,4,1,1.48,1.0,0.0,1,CG,0.4667,1.0,0.65,0.06746,0.9997,0.65,0.525,0.9852,0.04,0.6596
gray_scott,306,15,1,3.16,1.0,0.0,1,CG,1.0,1.0,0.9987,0.15085,0.9999,0.9987,0.1251,0.9684,0.02,0.8479
gray_scott,307,14,1,1.98,1.0,0.0,1,CG,1.0,1.0,0.5043,0.154893,0.9999,0.5043,0.1491,0.9802,0.02,0.7261
gray_scott,311,18,1,8.76,0.98,0.0,1,CG,1.0,0.98,0.3697,0.15475,0.9996,0.3697,0.5132,0.8942,0.02,0.6745
gray_scott,327,10,1,1.88,1.0,0.0,1,CG,0.2667,1.0,0.55,0.078944,0.9998,0.55,0.9488,0.9812,0.04,0.594
gray_scott,330,3,1,1.33,1.0,0.0,1,CG,0.6667,1.0,0.65,0.078014,0.9997,0.65,1.1501,0.9867,0.1,0.7088
gray_scott,335,8,1,1.76,1.0,0.0,1,CG,0.4333,1.0,0.5495,0.05663,0.9996,0.5495,0.8937,0.9824,0.04,0.6274
gray_scott,341,19,1,32.15,0.68,0.0,1,CG,1.0,0.68,1.0,0.131859,0.9999,1.0,0.0275,0.4614,0.02,0.6922
gray_scott,344,4,1,4.1,0.975,0.0,1,CG,0.8333,0.975,0.8493,0.092778,0.9993,0.8493,0.9802,0.935,0.06,0.772
gray_scott,347,13,1,3.64,1.0,0.0,1,CG,1.0,1.0,0.796,0.155664,0.9995,0.796,0.2115,0.9636,0.02,0.7965
gray_scott,348,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,1.0,0.240719,0.999,1.0,0.0,0.0,0.1,0.465
gray_scott,352,0,-1,-1.0,-1.0,-1.0,-1,CG,0.6,0.0,0.7,0.08147,0.9997,0.7,0.0,0.0,0.12,0.313
gray_scott,353,5,1,1.36,1.0,0.0,1,CG,0.4667,1.0,0.65,0.060375,0.9997,0.65,0.2866,0.9864,0.08,0.6658
gray_scott,355,5,1,3.24,1.0,0.0,1,CG,1.0,1.0,0.909,0.19433,0.9999,0.909,0.7297,0.9676,0.06,0.8314
gray_scott,356,3,1,2.0,1.0,0.9183,2,CG,0.7,1.0,0.6481,0.101654,0.9996,0.6481,1.0694,0.98,0.06,0.708
gray_scott,360,1,1,1.2,1.0,0.0,1,CG,0.6,1.0,0.6999,0.069447,0.9997,0.6999,1.4389,0.988,0.1,0.7082
gray_scott,361,15,1,7.27,0.96,0.0,1,CG,1.0,0.96,0.9989,0.061168,0.9998,0.9989,0.0434,0.8902,0.02,0.8262
gray_scott,362,14,1,3.36,1.0,0.0,1,CG,1.0,1.0,0.9622,0.051242,0.9995,0.9622,0.0038,0.9664,0.02,0.8385
gray_scott,363,3,1,1.17,1.0,0.9183,2,CG,0.7333,1.0,0.6991,0.072954,0.9995,0.6991,1.1867,0.9883,0.1,0.7347
gray_scott,364,0,-1,-1.0,-1.0,-1.0,-1,CG,0.9667,0.0,1.0,0.232954,0.9991,1.0,0.0,0.0,0.1,0.4583
gray_scott,367,2,1,1.65,1.0,0.0,1,CG,1.0,1.0,0.9967,0.209775,0.9995,0.9967,1.2996,0.9835,0.06,0.8557
gray_scott,368,12,1,5.08,1.0,0.7219,2,CG,1.0,1.0,0.928,0.149557,0.9995,0.928,0.3634,0.9492,0.02,0.8274
gray_scott,372,13,1,30.12,0.66,0.971,2,CG,1.0,0.66,0.7874,0.132379,0.9994,0.7874,0.3547,0.4612,0.02,0.634
gray_scott,378,0,-1,-1.0,-1.0,-1.0,-1,CG,0.9667,0.0,1.0,0.254073,0.9987,1.0,0.0,0.0,0.12,0.4613
gray_scott,379,12,1,2.42,1.0,0.0,1,CG,1.0,1.0,0.9202,0.05801,0.9994,0.9202,0.0806,0.9758,0.04,0.8324
gray_scott,392,6,1,3.14,0.98,0.971,2,CG,0.7333,0.98,0.7998,0.10574,0.9993,0.7998,0.9989,0.9492,0.06,0.743
gray_scott,393,1,1,29.11,0.9,0.0,1,CG,0.9667,0.9,1.0,0.227987,0.9988,1.0,1.4809,0.638,0.08,0.776
gray_scott,399,1,1,1.0,1.0,0.0,1,CG,0.7333,1.0,0.6499,0.092968,0.9996,0.6499,0.6046,0.99,0.12,0.7256
gray_scott,401,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,1.0,0.225752,0.9986,1.0,0.0,0.0,0.08,0.462
gray_scott,403,1,1,2.2,1.0,0.0,1,CG,1.0,1.0,0.9985,0.217217,0.9989,0.9985,1.4748,0.978,0.08,0.8583
gray_scott,404,5,1,6.14,0.98,0.0,1,CG,1.0,0.98,0.9018,0.188769,0.9994,0.9018,0.9779,0.9198,0.08,0.8204
gray_scott,407,18,1,29.05,0.76,0.0,1,CG,1.0,0.76,1.0,0.119743,0.9997,1.0,0.0819,0.5392,0.02,0.7239
gray_scott,410,3,1,5.73,1.0,0.0,1,CG,0.6667,1.0,0.8,0.113389,0.9995,0.8,1.7722,0.9427,0.06,0.7337
gray_scott,411,2,1,1.75,1.0,1.0,2,CG,0.5,1.0,0.5645,0.072961,0.9995,0.5645,0.8139,0.9825,0.06,0.6475
gray_scott,413,8,1,30.81,0.84,0.0,1,CG,0.9667,0.84,1.0,0.126174,0.9989,1.0,0.3762,0.5812,0.04,0.7465
gray_scott,421,14,1,2.88,1.0,0.0,1,CG,1.0,1.0,0.5785,0.157363,0.9997,0.5785,0.407,0.9712,0.02,0.7433
