depth,sector,condition,rg_similarity,conservation_stability,invariant_preservation_index,redistribution_coherence,recursive_conservation_persistence,attractor_conservation_alignment,universality_conservation_score,classification
20,Antisymmetry,PerturbationConservationRecovery,0.6788,0.6641,0.6317,0.6534,0.6229,0.6213,0.6263,CONSERVATION-DEGRADING
24,Antisymmetry,PerturbationConservationRecovery,0.6437,0.6146,0.6061,0.6116,0.6039,0.5986,0.5938,CONSERVATION-DEGRADING
32,Antisymmetry,PerturbationConservationRecovery,0.5727,0.5475,0.5453,0.5505,0.5377,0.5331,0.5297,CONSERVATION-DEGRADING
40,Antisymmetry,PerturbationConservationRecovery,0.5107,0.4951,0.4967,0.489,0.4857,0.4653,0.4841,CONSERVATION-FAILED
48,Antisymmetry,PerturbationConservationRecovery,0.4697,0.4507,0.4458,0.4464,0.4415,0.434,0.438,CONSERVATION-FAILED
64,Antisymmetry,PerturbationConservationRecovery,0.3928,0.3821,0.374,0.3883,0.3696,0.3714,0.3692,CONSERVATION-FAILED
80,Antisymmetry,PerturbationConservationRecovery,0.3421,0.3311,0.3225,0.3389,0.3235,0.3181,0.3245,CONSERVATION-FAILED
96,Antisymmetry,PerturbationConservationRecovery,0.3068,0.2964,0.2914,0.298,0.2856,0.2784,0.2818,CONSERVATION-FAILED
128,Antisymmetry,PerturbationConservationRecovery,0.246,0.2362,0.2336,0.243,0.2294,0.2325,0.2312,CONSERVATION-FAILED
160,Antisymmetry,PerturbationConservationRecovery,0.2092,0.1981,0.199,0.1972,0.1949,0.1887,0.1977,CONSERVATION-FAILED
192,Antisymmetry,PerturbationConservationRecovery,0.1818,0.1712,0.174,0.1754,0.1672,0.167,0.1709,CONSERVATION-FAILED
256,Antisymmetry,PerturbationConservationRecovery,0.1401,0.1392,0.1336,0.1389,0.1308,0.1332,0.1323,CONSERVATION-FAILED
320,Antisymmetry,PerturbationConservationRecovery,0.1168,0.1099,0.1109,0.1118,0.1093,0.1091,0.1093,CONSERVATION-FAILED
512,Antisymmetry,PerturbationConservationRecovery,0.0776,0.0724,0.0712,0.0747,0.0718,0.0703,0.0711,CONSERVATION-FAILED
768,Antisymmetry,PerturbationConservationRecovery,0.0528,0.0506,0.05,0.0508,0.05,0.05,0.05,CONSERVATION-FAILED
1,Antisymmetry,TransportConservationPersistence,0.96,0.94,0.93,0.9179,0.91,0.9,0.9147,CONSERVATION-STABLE
2,Antisymmetry,TransportConservationPersistence,0.9533,0.9312,0.924,0.8828,0.9071,0.8714,0.8921,CONSERVATION-STABLE
4,Antisymmetry,TransportConservationPersistence,0.8998,0.9011,0.8754,0.8695,0.8831,0.831,0.8538,CONSERVATION-STABLE
6,Antisymmetry,TransportConservationPersistence,0.8693,0.8357,0.8445,0.8094,0.8128,0.7889,0.816,CONSERVATION-BOUNDED
8,Antisymmetry,TransportConservationPersistence,0.8363,0.8065,0.8097,0.795,0.7961,0.7856,0.7943,CONSERVATION-BOUNDED
12,Antisymmetry,TransportConservationPersistence,0.7733,0.7513,0.7426,0.7277,0.7484,0.6998,0.7288,CONSERVATION-PARTIAL
16,Antisymmetry,TransportConservationPersistence,0.7374,0.7055,0.6917,0.6812,0.6786,0.6718,0.6751,CONSERVATION-PARTIAL
20,Antisymmetry,TransportConservationPersistence,0.6694,0.6692,0.6555,0.6496,0.6419,0.6253,0.6314,CONSERVATION-PARTIAL
24,Antisymmetry,TransportConservationPersistence,0.6403,0.609,0.6142,0.5948,0.6018,0.5819,0.6103,CONSERVATION-DEGRADING
32,Antisymmetry,TransportConservationPersistence,0.5661,0.5406,0.5358,0.5405,0.5375,0.5293,0.5365,CONSERVATION-DEGRADING
40,Antisymmetry,TransportConservationPersistence,0.515,0.5056,0.4836,0.4738,0.4961,0.4626,0.4896,CONSERVATION-DEGRADING
48,Antisymmetry,TransportConservationPersistence,0.4782,0.4622,0.442,0.4439,0.4363,0.4397,0.452,CONSERVATION-FAILED
64,Antisymmetry,TransportConservationPersistence,0.4088,0.3873,0.3756,0.3814,0.3751,0.3655,0.3779,CONSERVATION-FAILED
80,Antisymmetry,TransportConservationPersistence,0.3499,0.3402,0.3328,0.3199,0.3242,0.3211,0.3257,CONSERVATION-FAILED
96,Antisymmetry,TransportConservationPersistence,0.309,0.302,0.2931,0.2904,0.2863,0.2781,0.2939,CONSERVATION-FAILED
128,Antisymmetry,TransportConservationPersistence,0.2544,0.2433,0.2389,0.2357,0.2384,0.2274,0.2343,CONSERVATION-FAILED
160,Antisymmetry,TransportConservationPersistence,0.2085,0.205,0.1991,0.1972,0.2016,0.1944,0.1967,CONSERVATION-FAILED
192,Antisymmetry,TransportConservationPersistence,0.1811,0.1768,0.1767,0.1728,0.1681,0.1648,0.1696,CONSERVATION-FAILED
256,Antisymmetry,TransportConservationPersistence,0.1448,0.1363,0.1346,0.1315,0.1327,0.13,0.1325,CONSERVATION-FAILED
320,Antisymmetry,TransportConservationPersistence,0.1173,0.1134,0.1107,0.1083,0.1095,0.109,0.1101,CONSERVATION-FAILED
512,Antisymmetry,TransportConservationPersistence,0.0763,0.0747,0.0744,0.0708,0.0738,0.0692,0.0736,CONSERVATION-FAILED
768,Antisymmetry,TransportConservationPersistence,0.052,0.0509,0.05,0.05,0.0506,0.05,0.05,CONSERVATION-FAILED
1,Antisymmetry,AttractorLinkedConservationMapping,0.96,0.9312,0.9068,0.9146,0.8961,0.9,0.92,CONSERVATION-STABLE
2,Antisymmetry,AttractorLinkedConservationMapping,0.9424,0.9282,0.9102,0.9127,0.899,0.883,0.8773,CONSERVATION-STABLE
4,Antisymmetry,AttractorLinkedConservationMapping,0.9094,0.8913,0.8617,0.8712,0.8541,0.8518,0.8716,CONSERVATION-STABLE
6,Antisymmetry,AttractorLinkedConservationMapping,0.8599,0.8302,0.8402,0.8103,0.8199,0.8088,0.8327,CONSERVATION-BOUNDED
8,Antisymmetry,AttractorLinkedConservationMapping,0.824,0.8032,0.7871,0.7758,0.7958,0.7908,0.7752,CONSERVATION-BOUNDED
12,Antisymmetry,AttractorLinkedConservationMapping,0.7628,0.7474,0.7542,0.7191,0.7085,0.7384,0.7459,CONSERVATION-PARTIAL
16,Antisymmetry,AttractorLinkedConservationMapping,0.7258,0.6823,0.6933,0.6777,0.6628,0.6716,0.6763,CONSERVATION-PARTIAL
20,Antisymmetry,AttractorLinkedConservationMapping,0.6648,0.6388,0.65,0.6234,0.6349,0.6376,0.6299,CONSERVATION-DEGRADING
24,Antisymmetry,AttractorLinkedConservationMapping,0.6222,0.5991,0.6038,0.5961,0.5841,0.5873,0.5858,CONSERVATION-DEGRADING
32,Antisymmetry,AttractorLinkedConservationMapping,0.5632,0.5452,0.5346,0.5393,0.5202,0.5388,0.524,CONSERVATION-DEGRADING
40,Antisymmetry,AttractorLinkedConservationMapping,0.5055,0.4959,0.4796,0.485,0.4869,0.477,0.4904,CONSERVATION-FAILED
48,Antisymmetry,AttractorLinkedConservationMapping,0.4582,0.4516,0.4492,0.4417,0.44,0.449,0.4325,CONSERVATION-FAILED
64,Antisymmetry,AttractorLinkedConservationMapping,0.4006,0.3784,0.3854,0.3753,0.3719,0.3711,0.3689,CONSERVATION-FAILED
80,Antisymmetry,AttractorLinkedConservationMapping,0.3456,0.3299,0.327,0.3227,0.327,0.3236,0.3234,CONSERVATION-FAILED
96,Antisymmetry,AttractorLinkedConservationMapping,0.3086,0.2958,0.2853,0.2813,0.2827,0.2871,0.288,CONSERVATION-FAILED
128,Antisymmetry,AttractorLinkedConservationMapping,0.246,0.2358,0.2382,0.2357,0.2351,0.2316,0.2328,CONSERVATION-FAILED
160,Antisymmetry,AttractorLinkedConservationMapping,0.2075,0.2009,0.1975,0.1954,0.1936,0.1964,0.1972,CONSERVATION-FAILED
192,Antisymmetry,AttractorLinkedConservationMapping,0.1836,0.1753,0.1699,0.1716,0.1695,0.1728,0.169,CONSERVATION-FAILED
256,Antisymmetry,AttractorLinkedConservationMapping,0.1421,0.1376,0.1343,0.1338,0.1312,0.1319,0.1335,CONSERVATION-FAILED
320,Antisymmetry,AttractorLinkedConservationMapping,0.1179,0.1131,0.1097,0.1092,0.1065,0.1118,0.1115,CONSERVATION-FAILED
512,Antisymmetry,AttractorLinkedConservationMapping,0.0746,0.0745,0.0725,0.0708,0.0715,0.0733,0.0731,CONSERVATION-FAILED
768,Antisymmetry,AttractorLinkedConservationMapping,0.0528,0.05,0.0502,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Antisymmetry,ScaleIndependentConservationTesting,0.96,0.94,0.93,0.9098,0.91,0.9,0.92,CONSERVATION-STABLE
2,Antisymmetry,ScaleIndependentConservationTesting,0.937,0.9008,0.8866,0.8856,0.8779,0.8652,0.9008,CONSERVATION-STABLE
4,Antisymmetry,ScaleIndependentConservationTesting,0.9108,0.8934,0.8833,0.863,0.8504,0.8407,0.8688,CONSERVATION-STABLE
6,Antisymmetry,ScaleIndependentConservationTesting,0.8802,0.8295,0.8318,0.8207,0.8384,0.7965,0.8496,CONSERVATION-BOUNDED
8,Antisymmetry,ScaleIndependentConservationTesting,0.8396,0.7972,0.7952,0.7952,0.7851,0.7643,0.7954,CONSERVATION-BOUNDED
12,Antisymmetry,ScaleIndependentConservationTesting,0.7864,0.7569,0.7251,0.7211,0.7241,0.7232,0.7421,CONSERVATION-PARTIAL
16,Antisymmetry,ScaleIndependentConservationTesting,0.7217,0.7036,0.6907,0.6785,0.6685,0.6517,0.6978,CONSERVATION-PARTIAL
20,Antisymmetry,ScaleIndependentConservationTesting,0.6622,0.6622,0.6558,0.6362,0.6245,0.6157,0.6577,CONSERVATION-PARTIAL
24,Antisymmetry,ScaleIndependentConservationTesting,0.6247,0.6108,0.6087,0.6064,0.6005,0.5941,0.6126,CONSERVATION-DEGRADING
32,Antisymmetry,ScaleIndependentConservationTesting,0.5588,0.5573,0.5349,0.5316,0.5386,0.5294,0.5551,CONSERVATION-DEGRADING
40,Antisymmetry,ScaleIndependentConservationTesting,0.5099,0.4929,0.483,0.4883,0.4789,0.4729,0.4882,CONSERVATION-FAILED
48,Antisymmetry,ScaleIndependentConservationTesting,0.4705,0.4457,0.4352,0.4408,0.4388,0.4354,0.4478,CONSERVATION-FAILED
64,Antisymmetry,ScaleIndependentConservationTesting,0.3907,0.3804,0.3835,0.3751,0.3679,0.3693,0.3772,CONSERVATION-FAILED
80,Antisymmetry,ScaleIndependentConservationTesting,0.3477,0.3368,0.3272,0.3182,0.3217,0.3192,0.3362,CONSERVATION-FAILED
96,Antisymmetry,ScaleIndependentConservationTesting,0.3012,0.2987,0.2853,0.2905,0.2886,0.2792,0.2891,CONSERVATION-FAILED
128,Antisymmetry,ScaleIndependentConservationTesting,0.249,0.2381,0.2366,0.231,0.2284,0.2251,0.2385,CONSERVATION-FAILED
160,Antisymmetry,ScaleIndependentConservationTesting,0.2037,0.2009,0.2025,0.1924,0.1975,0.1905,0.2039,CONSERVATION-FAILED
192,Antisymmetry,ScaleIndependentConservationTesting,0.1771,0.1714,0.1725,0.1734,0.1733,0.1665,0.172,CONSERVATION-FAILED
256,Antisymmetry,ScaleIndependentConservationTesting,0.1432,0.1388,0.1322,0.1324,0.1321,0.13,0.1338,CONSERVATION-FAILED
320,Antisymmetry,ScaleIndependentConservationTesting,0.1141,0.1145,0.1126,0.1095,0.1101,0.107,0.1134,CONSERVATION-FAILED
512,Antisymmetry,ScaleIndependentConservationTesting,0.075,0.0731,0.0717,0.0705,0.0715,0.0702,0.0747,CONSERVATION-FAILED
768,Antisymmetry,ScaleIndependentConservationTesting,0.051,0.05,0.0504,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Antisymmetry,NullConservationControl,0.7896,0.7694,0.7663,0.7534,0.7407,0.7387,0.7639,CONSERVATION-BOUNDED
2,Antisymmetry,NullConservationControl,0.7686,0.7361,0.753,0.7374,0.7352,0.7026,0.7265,CONSERVATION-PARTIAL
4,Antisymmetry,NullConservationControl,0.7401,0.708,0.7074,0.704,0.6827,0.6792,0.6972,CONSERVATION-PARTIAL
6,Antisymmetry,NullConservationControl,0.6908,0.683,0.6728,0.6729,0.6528,0.654,0.6783,CONSERVATION-PARTIAL
8,Antisymmetry,NullConservationControl,0.6741,0.6525,0.6474,0.6679,0.6356,0.6173,0.6428,CONSERVATION-DEGRADING
12,Antisymmetry,NullConservationControl,0.6364,0.6239,0.6126,0.6132,0.5898,0.5928,0.6033,CONSERVATION-DEGRADING
16,Antisymmetry,NullConservationControl,0.5761,0.5767,0.5599,0.5596,0.557,0.5298,0.5599,CONSERVATION-DEGRADING
20,Antisymmetry,NullConservationControl,0.5298,0.5388,0.536,0.5399,0.5058,0.5068,0.5232,CONSERVATION-DEGRADING
24,Antisymmetry,NullConservationControl,0.5184,0.4881,0.4898,0.4973,0.4746,0.4701,0.4946,CONSERVATION-FAILED
32,Antisymmetry,NullConservationControl,0.4462,0.4507,0.4423,0.4388,0.4281,0.43,0.4364,CONSERVATION-FAILED
40,Antisymmetry,NullConservationControl,0.4172,0.3966,0.4062,0.4008,0.39,0.392,0.3874,CONSERVATION-FAILED
48,Antisymmetry,NullConservationControl,0.3704,0.3696,0.3654,0.3704,0.3462,0.3479,0.3506,CONSERVATION-FAILED
64,Antisymmetry,NullConservationControl,0.3236,0.3204,0.307,0.3119,0.2928,0.3026,0.3095,CONSERVATION-FAILED
80,Antisymmetry,NullConservationControl,0.274,0.2658,0.267,0.271,0.2619,0.2634,0.2623,CONSERVATION-FAILED
96,Antisymmetry,NullConservationControl,0.2432,0.2353,0.2407,0.2361,0.2286,0.2244,0.2403,CONSERVATION-FAILED
128,Antisymmetry,NullConservationControl,0.1942,0.1902,0.1894,0.1966,0.1865,0.1888,0.1882,CONSERVATION-FAILED
160,Antisymmetry,NullConservationControl,0.1662,0.1685,0.1592,0.1647,0.1615,0.1594,0.1561,CONSERVATION-FAILED
192,Antisymmetry,NullConservationControl,0.1421,0.1422,0.1383,0.1394,0.1344,0.1315,0.1379,CONSERVATION-FAILED
256,Antisymmetry,NullConservationControl,0.1159,0.1122,0.1087,0.1131,0.1094,0.1062,0.1097,CONSERVATION-FAILED
320,Antisymmetry,NullConservationControl,0.0958,0.0903,0.0905,0.0919,0.0893,0.0878,0.088,CONSERVATION-FAILED
512,Antisymmetry,NullConservationControl,0.061,0.0588,0.0599,0.06,0.0585,0.0566,0.0569,CONSERVATION-FAILED
768,Antisymmetry,NullConservationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Neutral,RecursiveConservationTracking,0.898,0.8666,0.8689,0.8445,0.8393,0.8517,0.8534,CONSERVATION-STABLE
2,Neutral,RecursiveConservationTracking,0.879,0.8664,0.8559,0.8401,0.8162,0.841,0.8501,CONSERVATION-STABLE
4,Neutral,RecursiveConservationTracking,0.8633,0.8273,0.8356,0.8024,0.7807,0.8076,0.8148,CONSERVATION-BOUNDED
6,Neutral,RecursiveConservationTracking,0.832,0.7836,0.7917,0.7628,0.7721,0.7483,0.7768,CONSERVATION-BOUNDED
8,Neutral,RecursiveConservationTracking,0.8015,0.7712,0.755,0.7377,0.736,0.7454,0.752,CONSERVATION-BOUNDED
12,Neutral,RecursiveConservationTracking,0.7165,0.7035,0.7037,0.6818,0.6869,0.6838,0.6886,CONSERVATION-PARTIAL
16,Neutral,RecursiveConservationTracking,0.669,0.6638,0.6496,0.639,0.6302,0.6262,0.6492,CONSERVATION-DEGRADING
20,Neutral,RecursiveConservationTracking,0.6276,0.6082,0.6232,0.5833,0.591,0.5992,0.582,CONSERVATION-DEGRADING
24,Neutral,RecursiveConservationTracking,0.5972,0.5856,0.5673,0.5647,0.5403,0.5404,0.5567,CONSERVATION-DEGRADING
32,Neutral,RecursiveConservationTracking,0.5432,0.5229,0.5224,0.5079,0.5018,0.4923,0.5051,CONSERVATION-DEGRADING
40,Neutral,RecursiveConservationTracking,0.4861,0.4613,0.4585,0.4591,0.4379,0.4441,0.455,CONSERVATION-FAILED
48,Neutral,RecursiveConservationTracking,0.4411,0.42,0.4128,0.4202,0.3984,0.3989,0.4152,CONSERVATION-FAILED
64,Neutral,RecursiveConservationTracking,0.3705,0.3568,0.3626,0.3457,0.3429,0.3426,0.3552,CONSERVATION-FAILED
80,Neutral,RecursiveConservationTracking,0.3277,0.3092,0.3058,0.3053,0.2942,0.2941,0.306,CONSERVATION-FAILED
96,Neutral,RecursiveConservationTracking,0.2825,0.2785,0.2705,0.2742,0.2687,0.2594,0.271,CONSERVATION-FAILED
128,Neutral,RecursiveConservationTracking,0.2337,0.2289,0.2242,0.2207,0.2143,0.2166,0.2209,CONSERVATION-FAILED
160,Neutral,RecursiveConservationTracking,0.1931,0.1876,0.1911,0.1863,0.1775,0.183,0.1867,CONSERVATION-FAILED
192,Neutral,RecursiveConservationTracking,0.1669,0.1674,0.1636,0.1608,0.1545,0.1596,0.1589,CONSERVATION-FAILED
256,Neutral,RecursiveConservationTracking,0.1311,0.1291,0.1253,0.1262,0.1254,0.1207,0.1225,CONSERVATION-FAILED
320,Neutral,RecursiveConservationTracking,0.108,0.1081,0.1032,0.1022,0.0992,0.0998,0.1029,CONSERVATION-FAILED
512,Neutral,RecursiveConservationTracking,0.0725,0.0701,0.0693,0.0682,0.0652,0.0678,0.0682,CONSERVATION-FAILED
768,Neutral,RecursiveConservationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Neutral,InvariantRedistributionAnalysis,0.938,0.8902,0.8765,0.8709,0.8671,0.8384,0.8784,CONSERVATION-STABLE
2,Neutral,InvariantRedistributionAnalysis,0.8894,0.8654,0.855,0.8274,0.85,0.8398,0.8348,CONSERVATION-STABLE
4,Neutral,InvariantRedistributionAnalysis,0.8651,0.822,0.8359,0.8223,0.805,0.8054,0.8217,CONSERVATION-BOUNDED
6,Neutral,InvariantRedistributionAnalysis,0.8208,0.8019,0.8088,0.7857,0.7701,0.7641,0.7864,CONSERVATION-BOUNDED
8,Neutral,InvariantRedistributionAnalysis,0.7817,0.7739,0.7765,0.7593,0.746,0.7346,0.7509,CONSERVATION-BOUNDED
12,Neutral,InvariantRedistributionAnalysis,0.7392,0.7148,0.6961,0.6846,0.6724,0.6835,0.6772,CONSERVATION-PARTIAL
16,Neutral,InvariantRedistributionAnalysis,0.6777,0.673,0.6487,0.6385,0.6312,0.6189,0.6323,CONSERVATION-DEGRADING
20,Neutral,InvariantRedistributionAnalysis,0.6372,0.6183,0.6088,0.6064,0.5938,0.5909,0.5991,CONSERVATION-DEGRADING
24,Neutral,InvariantRedistributionAnalysis,0.6109,0.5828,0.5664,0.5704,0.5682,0.5433,0.5642,CONSERVATION-DEGRADING
32,Neutral,InvariantRedistributionAnalysis,0.5447,0.5164,0.5256,0.507,0.4921,0.4974,0.5088,CONSERVATION-DEGRADING
40,Neutral,InvariantRedistributionAnalysis,0.4765,0.4687,0.4595,0.4568,0.4411,0.4562,0.4579,CONSERVATION-FAILED
48,Neutral,InvariantRedistributionAnalysis,0.438,0.4197,0.4252,0.4161,0.4203,0.4096,0.4092,CONSERVATION-FAILED
64,Neutral,InvariantRedistributionAnalysis,0.3793,0.3608,0.3603,0.3605,0.3559,0.3419,0.3567,CONSERVATION-FAILED
80,Neutral,InvariantRedistributionAnalysis,0.325,0.3093,0.3086,0.3087,0.3007,0.3006,0.3029,CONSERVATION-FAILED
96,Neutral,InvariantRedistributionAnalysis,0.2853,0.2803,0.2757,0.2662,0.269,0.264,0.2741,CONSERVATION-FAILED
128,Neutral,InvariantRedistributionAnalysis,0.2301,0.2292,0.2224,0.2172,0.2206,0.2127,0.225,CONSERVATION-FAILED
160,Neutral,InvariantRedistributionAnalysis,0.1985,0.1902,0.1944,0.1897,0.1823,0.1838,0.1828,CONSERVATION-FAILED
192,Neutral,InvariantRedistributionAnalysis,0.1725,0.1628,0.1633,0.1617,0.1611,0.1572,0.1592,CONSERVATION-FAILED
256,Neutral,InvariantRedistributionAnalysis,0.1322,0.1275,0.1304,0.1286,0.1234,0.1223,0.1239,CONSERVATION-FAILED
320,Neutral,InvariantRedistributionAnalysis,0.1097,0.1058,0.104,0.1062,0.1042,0.1037,0.1034,CONSERVATION-FAILED
512,Neutral,InvariantRedistributionAnalysis,0.0726,0.0708,0.0706,0.0692,0.0655,0.0677,0.0689,CONSERVATION-FAILED
768,Neutral,InvariantRedistributionAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Neutral,PerturbationConservationRecovery,0.912,0.8869,0.8691,0.8725,0.8406,0.8252,0.8747,CONSERVATION-STABLE
2,Neutral,PerturbationConservationRecovery,0.8822,0.8705,0.8561,0.8734,0.8256,0.8177,0.8505,CONSERVATION-STABLE
4,Neutral,PerturbationConservationRecovery,0.8393,0.8322,0.804,0.8095,0.773,0.7839,0.7835,CONSERVATION-BOUNDED
6,Neutral,PerturbationConservationRecovery,0.8293,0.7802,0.7904,0.7686,0.7455,0.7595,0.7776,CONSERVATION-BOUNDED
8,Neutral,PerturbationConservationRecovery,0.7654,0.7385,0.7371,0.7564,0.7399,0.7062,0.7342,CONSERVATION-PARTIAL
12,Neutral,PerturbationConservationRecovery,0.7265,0.7028,0.7053,0.6867,0.6606,0.679,0.6874,CONSERVATION-PARTIAL
16,Neutral,PerturbationConservationRecovery,0.6761,0.6596,0.6525,0.6597,0.6254,0.617,0.6383,CONSERVATION-PARTIAL
20,Neutral,PerturbationConservationRecovery,0.641,0.5975,0.6142,0.6131,0.5968,0.5753,0.6038,CONSERVATION-DEGRADING
24,Neutral,PerturbationConservationRecovery,0.5968,0.5733,0.5546,0.5785,0.5473,0.5567,0.5554,CONSERVATION-DEGRADING
32,Neutral,PerturbationConservationRecovery,0.5178,0.5049,0.4976,0.5049,0.489,0.48,0.5054,CONSERVATION-DEGRADING
40,Neutral,PerturbationConservationRecovery,0.4683,0.4555,0.4594,0.4577,0.4389,0.4358,0.4416,CONSERVATION-FAILED
48,Neutral,PerturbationConservationRecovery,0.4345,0.4128,0.412,0.429,0.4144,0.4085,0.4052,CONSERVATION-FAILED
64,Neutral,PerturbationConservationRecovery,0.3665,0.3577,0.3457,0.3533,0.3404,0.3364,0.3471,CONSERVATION-FAILED
80,Neutral,PerturbationConservationRecovery,0.3202,0.3075,0.3037,0.3155,0.2946,0.2943,0.3077,CONSERVATION-FAILED
96,Neutral,PerturbationConservationRecovery,0.2839,0.2779,0.2694,0.2726,0.2662,0.259,0.274,CONSERVATION-FAILED
128,Neutral,PerturbationConservationRecovery,0.2298,0.2267,0.2184,0.224,0.2148,0.2086,0.2219,CONSERVATION-FAILED
160,Neutral,PerturbationConservationRecovery,0.1967,0.1853,0.1897,0.1912,0.1856,0.18,0.1826,CONSERVATION-FAILED
192,Neutral,PerturbationConservationRecovery,0.1653,0.1616,0.1623,0.1655,0.158,0.1576,0.1571,CONSERVATION-FAILED
256,Neutral,PerturbationConservationRecovery,0.1341,0.1274,0.1267,0.13,0.1243,0.1197,0.1271,CONSERVATION-FAILED
320,Neutral,PerturbationConservationRecovery,0.1097,0.1029,0.1044,0.1043,0.1024,0.1018,0.1023,CONSERVATION-FAILED
512,Neutral,PerturbationConservationRecovery,0.0715,0.0695,0.0676,0.0698,0.0677,0.0663,0.0671,CONSERVATION-FAILED
768,Neutral,PerturbationConservationRecovery,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Neutral,TransportConservationPersistence,0.9082,0.8747,0.888,0.8684,0.8657,0.8253,0.8788,CONSERVATION-STABLE
2,Neutral,TransportConservationPersistence,0.9069,0.8569,0.8749,0.8557,0.856,0.8346,0.859,CONSERVATION-STABLE
4,Neutral,TransportConservationPersistence,0.8682,0.8435,0.8173,0.7919,0.7951,0.7862,0.7937,CONSERVATION-BOUNDED
6,Neutral,TransportConservationPersistence,0.8189,0.7994,0.7876,0.7841,0.7661,0.7586,0.7877,CONSERVATION-BOUNDED
8,Neutral,TransportConservationPersistence,0.7979,0.7643,0.7643,0.7216,0.7331,0.7072,0.745,CONSERVATION-BOUNDED
12,Neutral,TransportConservationPersistence,0.7355,0.7031,0.703,0.6814,0.6756,0.6711,0.6818,CONSERVATION-PARTIAL
16,Neutral,TransportConservationPersistence,0.6631,0.6654,0.6639,0.6268,0.6336,0.6319,0.6319,CONSERVATION-PARTIAL
20,Neutral,TransportConservationPersistence,0.6427,0.62,0.6184,0.6026,0.6013,0.5937,0.6114,CONSERVATION-DEGRADING
24,Neutral,TransportConservationPersistence,0.5877,0.5716,0.5634,0.5642,0.5629,0.5589,0.5691,CONSERVATION-DEGRADING
32,Neutral,TransportConservationPersistence,0.5373,0.507,0.5193,0.5051,0.5037,0.4832,0.5046,CONSERVATION-DEGRADING
40,Neutral,TransportConservationPersistence,0.4767,0.4576,0.4587,0.4425,0.4498,0.4394,0.4496,CONSERVATION-FAILED
48,Neutral,TransportConservationPersistence,0.4442,0.4208,0.4266,0.4103,0.4227,0.3929,0.4137,CONSERVATION-FAILED
64,Neutral,TransportConservationPersistence,0.3661,0.3542,0.3611,0.348,0.3612,0.3408,0.3586,CONSERVATION-FAILED
80,Neutral,TransportConservationPersistence,0.3189,0.3092,0.3046,0.3093,0.3126,0.2911,0.3131,CONSERVATION-FAILED
96,Neutral,TransportConservationPersistence,0.2835,0.2729,0.274,0.2635,0.2739,0.262,0.2684,CONSERVATION-FAILED
128,Neutral,TransportConservationPersistence,0.2306,0.2301,0.2234,0.218,0.2243,0.2145,0.2207,CONSERVATION-FAILED
160,Neutral,TransportConservationPersistence,0.1992,0.1898,0.1896,0.1823,0.1854,0.1811,0.1896,CONSERVATION-FAILED
192,Neutral,TransportConservationPersistence,0.1724,0.1618,0.1655,0.1615,0.1609,0.1549,0.1629,CONSERVATION-FAILED
256,Neutral,TransportConservationPersistence,0.1318,0.1296,0.1281,0.1265,0.1282,0.1189,0.1256,CONSERVATION-FAILED
320,Neutral,TransportConservationPersistence,0.1082,0.108,0.1034,0.1047,0.1036,0.0986,0.1031,CONSERVATION-FAILED
512,Neutral,TransportConservationPersistence,0.0716,0.068,0.0672,0.068,0.0687,0.0652,0.068,CONSERVATION-FAILED
768,Neutral,TransportConservationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Neutral,AttractorLinkedConservationMapping,0.8904,0.8641,0.851,0.8681,0.847,0.8516,0.8441,CONSERVATION-STABLE
2,Neutral,AttractorLinkedConservationMapping,0.8852,0.8426,0.8497,0.8299,0.8147,0.8397,0.8452,CONSERVATION-BOUNDED
4,Neutral,AttractorLinkedConservationMapping,0.8428,0.8177,0.8119,0.7864,0.789,0.7974,0.7996,CONSERVATION-BOUNDED
6,Neutral,AttractorLinkedConservationMapping,0.8166,0.7817,0.7873,0.7803,0.7709,0.7682,0.7727,CONSERVATION-BOUNDED
8,Neutral,AttractorLinkedConservationMapping,0.7698,0.7493,0.7596,0.7388,0.7441,0.7509,0.7293,CONSERVATION-PARTIAL
12,Neutral,AttractorLinkedConservationMapping,0.7108,0.7125,0.6961,0.6871,0.6871,0.6801,0.6697,CONSERVATION-PARTIAL
16,Neutral,AttractorLinkedConservationMapping,0.6791,0.6504,0.6396,0.6273,0.6345,0.6341,0.6501,CONSERVATION-DEGRADING
20,Neutral,AttractorLinkedConservationMapping,0.6212,0.6183,0.5913,0.6013,0.575,0.604,0.6023,CONSERVATION-DEGRADING
24,Neutral,AttractorLinkedConservationMapping,0.5927,0.58,0.5637,0.5493,0.5625,0.569,0.5708,CONSERVATION-DEGRADING
32,Neutral,AttractorLinkedConservationMapping,0.5167,0.5158,0.5079,0.5047,0.4997,0.4898,0.5079,CONSERVATION-DEGRADING
