depth,sector,condition,artifact_reproduction_score,hierarchy_spoof_success,leakage_dependence_index,adversarial_false_positive_rate,universality_authenticity_score,recursive_bias_sensitivity,structural_nonrandomness_index,adversarial_emergence,authentic_emergence,classification
65536,P-A,RecursiveOrderInversion,0.7927,1.0,0.7693,0.0,0.7927,0.2073,0.7927,0.7578,0.956,ARTIFACT-STABLE
131072,P-A,RecursiveOrderInversion,0.793,1.0,0.7695,0.0,0.793,0.207,0.793,0.7579,0.9557,ARTIFACT-STABLE
262144,P-A,RecursiveOrderInversion,0.7938,1.0,0.7698,0.0,0.7938,0.2062,0.7938,0.7582,0.9552,ARTIFACT-STABLE
524288,P-A,RecursiveOrderInversion,0.7952,1.0,0.7705,0.0,0.7952,0.2048,0.7952,0.7588,0.9542,ARTIFACT-STABLE
1048576,P-A,RecursiveOrderInversion,0.7981,1.0,0.7718,0.0,0.7981,0.2019,0.7981,0.7601,0.9523,ARTIFACT-STABLE
2097152,P-A,RecursiveOrderInversion,0.804,1.0,0.7745,1.0,0.804,0.196,0.804,0.7625,0.9484,ARTIFACT-STABLE
4194304,P-A,RecursiveOrderInversion,0.8159,1.0,0.78,1.0,0.8159,0.1841,0.8159,0.7676,0.9408,ARTIFACT-STABLE
8388608,P-A,RecursiveOrderInversion,0.8401,1.0,0.7911,1.0,0.8401,0.1599,0.8401,0.7778,0.9259,ARTIFACT-STABLE
16777216,P-A,RecursiveOrderInversion,0.8905,1.0,0.8142,1.0,0.8905,0.1095,0.8905,0.7991,0.8974,ARTIFACT-STABLE
33554432,P-A,RecursiveOrderInversion,1.0,1.0,0.8646,1.0,1.0,0.0,1.0,0.8454,0.8454,ARTIFACT-STABLE
67108864,P-A,RecursiveOrderInversion,0.7379,1.0,0.985,0.0,0.7379,0.2621,0.7379,0.9562,0.7576,ARTIFACT-BOUNDED
1,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
2,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
4,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
6,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
8,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
12,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
16,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
20,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
24,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
32,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
40,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
48,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
64,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
80,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
96,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
128,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
160,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
192,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
256,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
320,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
512,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9707,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
768,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
1024,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
1536,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
2048,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
3072,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
4096,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
6144,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
8192,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
12288,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.943,0.9562,ARTIFACT-STABLE
16384,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.9429,0.9561,ARTIFACT-STABLE
24576,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9706,1.0,0.9862,0.0138,0.9862,0.9429,0.9561,ARTIFACT-STABLE
32768,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9705,1.0,0.9862,0.0138,0.9862,0.9429,0.9561,ARTIFACT-STABLE
65536,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9704,1.0,0.9862,0.0138,0.9862,0.9428,0.956,ARTIFACT-STABLE
131072,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9701,1.0,0.9862,0.0138,0.9862,0.9425,0.9557,ARTIFACT-STABLE
262144,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9696,1.0,0.9862,0.0138,0.9862,0.942,0.9552,ARTIFACT-STABLE
524288,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9686,1.0,0.9862,0.0138,0.9862,0.9411,0.9542,ARTIFACT-STABLE
1048576,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9665,1.0,0.9862,0.0138,0.9862,0.9392,0.9523,ARTIFACT-STABLE
2097152,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9623,1.0,0.9862,0.0138,0.9862,0.9353,0.9484,ARTIFACT-STABLE
4194304,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9541,1.0,0.9862,0.0138,0.9862,0.9278,0.9408,ARTIFACT-STABLE
8388608,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9381,1.0,0.9862,0.0138,0.9862,0.9131,0.9259,ARTIFACT-STABLE
16777216,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.9076,1.0,0.9862,0.0138,0.9862,0.885,0.8974,ARTIFACT-STABLE
33554432,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.8519,1.0,0.9862,0.0138,0.9862,0.8337,0.8454,ARTIFACT-STABLE
67108864,P-A,AdversarialHierarchySpoofing,0.9862,1.0,0.7578,1.0,0.9862,0.0138,0.9862,0.7471,0.7576,ARTIFACT-STABLE
1,P-A,CorrelatedRandomNoiseSystems,0.9856,1.0,1.0,1.0,0.9856,0.0144,0.9856,0.97,0.9562,ARTIFACT-STABLE
2,P-A,CorrelatedRandomNoiseSystems,0.9897,1.0,0.9743,1.0,0.9897,0.0103,0.9897,0.9464,0.9562,ARTIFACT-STABLE
4,P-A,CorrelatedRandomNoiseSystems,0.9856,1.0,1.0,1.0,0.9856,0.0144,0.9856,0.97,0.9562,ARTIFACT-STABLE
6,P-A,CorrelatedRandomNoiseSystems,0.9874,1.0,0.9981,1.0,0.9874,0.0126,0.9874,0.9683,0.9562,ARTIFACT-STABLE
8,P-A,CorrelatedRandomNoiseSystems,0.956,1.0,0.9392,1.0,0.956,0.044,0.956,0.9141,0.9562,ARTIFACT-STABLE
12,P-A,CorrelatedRandomNoiseSystems,0.918,1.0,0.8998,1.0,0.918,0.082,0.918,0.8778,0.9562,ARTIFACT-STABLE
16,P-A,CorrelatedRandomNoiseSystems,0.9591,1.0,0.9424,1.0,0.9591,0.0409,0.9591,0.9171,0.9562,ARTIFACT-STABLE
20,P-A,CorrelatedRandomNoiseSystems,0.9711,1.0,0.955,1.0,0.9711,0.0289,0.9711,0.9286,0.9562,ARTIFACT-STABLE
24,P-A,CorrelatedRandomNoiseSystems,0.9985,1.0,0.9865,1.0,0.9985,0.0015,0.9985,0.9576,0.9562,ARTIFACT-STABLE
32,P-A,CorrelatedRandomNoiseSystems,0.9892,1.0,0.9738,1.0,0.9892,0.0108,0.9892,0.9459,0.9562,ARTIFACT-STABLE
40,P-A,CorrelatedRandomNoiseSystems,0.9878,1.0,0.9724,1.0,0.9878,0.0122,0.9878,0.9446,0.9562,ARTIFACT-STABLE
48,P-A,CorrelatedRandomNoiseSystems,0.9902,1.0,0.9952,1.0,0.9902,0.0098,0.9902,0.9656,0.9562,ARTIFACT-STABLE
64,P-A,CorrelatedRandomNoiseSystems,0.9552,1.0,0.9384,1.0,0.9552,0.0448,0.9552,0.9134,0.9562,ARTIFACT-STABLE
80,P-A,CorrelatedRandomNoiseSystems,0.9853,1.0,0.9697,1.0,0.9853,0.0147,0.9853,0.9421,0.9562,ARTIFACT-STABLE
96,P-A,CorrelatedRandomNoiseSystems,0.9871,1.0,0.9984,1.0,0.9871,0.0129,0.9871,0.9686,0.9562,ARTIFACT-STABLE
128,P-A,CorrelatedRandomNoiseSystems,0.9896,1.0,0.9742,1.0,0.9896,0.0104,0.9896,0.9463,0.9562,ARTIFACT-STABLE
160,P-A,CorrelatedRandomNoiseSystems,0.9396,1.0,0.9222,1.0,0.9396,0.0604,0.9396,0.8985,0.9562,ARTIFACT-STABLE
192,P-A,CorrelatedRandomNoiseSystems,0.9856,1.0,1.0,1.0,0.9856,0.0144,0.9856,0.97,0.9562,ARTIFACT-STABLE
256,P-A,CorrelatedRandomNoiseSystems,0.9792,1.0,0.9634,1.0,0.9792,0.0208,0.9792,0.9363,0.9562,ARTIFACT-STABLE
320,P-A,CorrelatedRandomNoiseSystems,0.9839,1.0,0.9682,1.0,0.9839,0.0161,0.9839,0.9408,0.9562,ARTIFACT-STABLE
512,P-A,CorrelatedRandomNoiseSystems,0.9856,1.0,1.0,1.0,0.9856,0.0144,0.9856,0.97,0.9562,ARTIFACT-STABLE
768,P-A,CorrelatedRandomNoiseSystems,0.9434,1.0,0.9262,1.0,0.9434,0.0566,0.9434,0.9021,0.9562,ARTIFACT-STABLE
1024,P-A,CorrelatedRandomNoiseSystems,0.9856,1.0,1.0,1.0,0.9856,0.0144,0.9856,0.97,0.9562,ARTIFACT-STABLE
1536,P-A,CorrelatedRandomNoiseSystems,0.9674,1.0,0.9511,1.0,0.9674,0.0326,0.9674,0.925,0.9562,ARTIFACT-STABLE
2048,P-A,CorrelatedRandomNoiseSystems,0.9431,1.0,0.9259,1.0,0.9431,0.0569,0.9431,0.9018,0.9562,ARTIFACT-STABLE
3072,P-A,CorrelatedRandomNoiseSystems,0.9659,1.0,0.9496,1.0,0.9659,0.0341,0.9659,0.9236,0.9562,ARTIFACT-STABLE
4096,P-A,CorrelatedRandomNoiseSystems,0.977,1.0,0.9611,1.0,0.977,0.023,0.977,0.9342,0.9562,ARTIFACT-STABLE
6144,P-A,CorrelatedRandomNoiseSystems,0.9853,1.0,0.9697,1.0,0.9853,0.0147,0.9853,0.9422,0.9562,ARTIFACT-STABLE
8192,P-A,CorrelatedRandomNoiseSystems,0.9317,1.0,0.9139,1.0,0.9317,0.0683,0.9317,0.8908,0.9562,ARTIFACT-STABLE
12288,P-A,CorrelatedRandomNoiseSystems,0.9805,1.0,0.9647,1.0,0.9805,0.0195,0.9805,0.9375,0.9562,ARTIFACT-STABLE
16384,P-A,CorrelatedRandomNoiseSystems,0.9577,1.0,0.941,1.0,0.9577,0.0423,0.9577,0.9157,0.9561,ARTIFACT-STABLE
24576,P-A,CorrelatedRandomNoiseSystems,0.9469,1.0,0.9297,1.0,0.9469,0.0531,0.9469,0.9054,0.9561,ARTIFACT-STABLE
32768,P-A,CorrelatedRandomNoiseSystems,0.9939,1.0,0.9912,1.0,0.9939,0.0061,0.9939,0.9619,0.9561,ARTIFACT-STABLE
65536,P-A,CorrelatedRandomNoiseSystems,0.9821,1.0,0.9662,1.0,0.9821,0.0179,0.9821,0.9389,0.956,ARTIFACT-STABLE
131072,P-A,CorrelatedRandomNoiseSystems,0.9864,1.0,0.9703,1.0,0.9864,0.0136,0.9864,0.9427,0.9557,ARTIFACT-STABLE
262144,P-A,CorrelatedRandomNoiseSystems,0.9769,1.0,0.96,1.0,0.9769,0.0231,0.9769,0.9332,0.9552,ARTIFACT-STABLE
524288,P-A,CorrelatedRandomNoiseSystems,0.9716,1.0,0.9535,1.0,0.9716,0.0284,0.9716,0.9272,0.9542,ARTIFACT-STABLE
1048576,P-A,CorrelatedRandomNoiseSystems,0.9775,1.0,0.9575,1.0,0.9775,0.0225,0.9775,0.9309,0.9523,ARTIFACT-STABLE
2097152,P-A,CorrelatedRandomNoiseSystems,0.9722,1.0,0.9479,1.0,0.9722,0.0278,0.9722,0.9221,0.9484,ARTIFACT-STABLE
4194304,P-A,CorrelatedRandomNoiseSystems,0.9395,1.0,0.9064,1.0,0.9395,0.0605,0.9395,0.8839,0.9408,ARTIFACT-STABLE
8388608,P-A,CorrelatedRandomNoiseSystems,0.9882,1.0,0.9401,1.0,0.9882,0.0118,0.9882,0.9149,0.9259,ARTIFACT-STABLE
16777216,P-A,CorrelatedRandomNoiseSystems,0.9975,1.0,0.9187,1.0,0.9975,0.0025,0.9975,0.8952,0.8974,ARTIFACT-STABLE
33554432,P-A,CorrelatedRandomNoiseSystems,0.9851,1.0,0.8508,1.0,0.9851,0.0149,0.9851,0.8328,0.8454,ARTIFACT-STABLE
67108864,P-A,CorrelatedRandomNoiseSystems,0.9621,1.0,0.8003,1.0,0.9621,0.0379,0.9621,0.7863,0.7576,ARTIFACT-STABLE
1,P-A,BiasedInitializationInjection,0.9618,1.0,0.9453,1.0,0.9618,0.0382,0.9618,0.9197,0.9562,ARTIFACT-STABLE
2,P-A,BiasedInitializationInjection,0.8847,1.0,0.8652,1.0,0.8847,0.1153,0.8847,0.846,0.9562,ARTIFACT-STABLE
4,P-A,BiasedInitializationInjection,0.5728,1.0,0.541,0.0,0.5728,0.4272,0.5728,0.5477,0.9562,ARTIFACT-BOUNDED
6,P-A,BiasedInitializationInjection,0.8027,1.0,0.7799,1.0,0.8027,0.1973,0.8027,0.7675,0.9562,ARTIFACT-STABLE
8,P-A,BiasedInitializationInjection,0.9857,1.0,0.9701,1.0,0.9857,0.0143,0.9857,0.9425,0.9562,ARTIFACT-STABLE
12,P-A,BiasedInitializationInjection,0.4743,1.0,0.4386,0.0,0.4743,0.5257,0.4743,0.4535,0.9562,ARTIFACT-DEGRADING
16,P-A,BiasedInitializationInjection,0.479,1.0,0.4435,0.0,0.479,0.521,0.479,0.458,0.9562,ARTIFACT-DEGRADING
20,P-A,BiasedInitializationInjection,0.7472,1.0,0.7222,0.0,0.7472,0.2528,0.7472,0.7144,0.9562,ARTIFACT-BOUNDED
24,P-A,BiasedInitializationInjection,0.6603,1.0,0.632,0.0,0.6603,0.3397,0.6603,0.6314,0.9562,ARTIFACT-BOUNDED
32,P-A,BiasedInitializationInjection,0.9933,1.0,0.978,1.0,0.9933,0.0067,0.9933,0.9498,0.9562,ARTIFACT-STABLE
40,P-A,BiasedInitializationInjection,0.8181,1.0,0.796,1.0,0.8181,0.1819,0.8181,0.7823,0.9562,ARTIFACT-STABLE
48,P-A,BiasedInitializationInjection,0.484,1.0,0.4487,0.0,0.484,0.516,0.484,0.4628,0.9562,ARTIFACT-DEGRADING
64,P-A,BiasedInitializationInjection,0.9971,1.0,0.988,1.0,0.9971,0.0029,0.9971,0.959,0.9562,ARTIFACT-STABLE
80,P-A,BiasedInitializationInjection,0.6823,1.0,0.6548,0.0,0.6823,0.3177,0.6823,0.6524,0.9562,ARTIFACT-BOUNDED
96,P-A,BiasedInitializationInjection,0.6009,1.0,0.5702,0.0,0.6009,0.3991,0.6009,0.5746,0.9562,ARTIFACT-BOUNDED
128,P-A,BiasedInitializationInjection,0.9102,1.0,0.8916,1.0,0.9102,0.0898,0.9102,0.8703,0.9562,ARTIFACT-STABLE
160,P-A,BiasedInitializationInjection,0.599,1.0,0.5682,0.0,0.599,0.401,0.599,0.5728,0.9562,ARTIFACT-BOUNDED
192,P-A,BiasedInitializationInjection,0.4704,1.0,0.4345,0.0,0.4704,0.5296,0.4704,0.4498,0.9562,ARTIFACT-DEGRADING
256,P-A,BiasedInitializationInjection,0.5871,1.0,0.5559,0.0,0.5871,0.4129,0.5871,0.5614,0.9562,ARTIFACT-BOUNDED
320,P-A,BiasedInitializationInjection,0.7847,1.0,0.7613,0.0,0.7847,0.2153,0.7847,0.7504,0.9562,ARTIFACT-STABLE
512,P-A,BiasedInitializationInjection,0.7323,1.0,0.7067,0.0,0.7323,0.2677,0.7323,0.7002,0.9562,ARTIFACT-BOUNDED
768,P-A,BiasedInitializationInjection,0.9945,1.0,0.9907,1.0,0.9945,0.0055,0.9945,0.9614,0.9562,ARTIFACT-STABLE
1024,P-A,BiasedInitializationInjection,0.8617,1.0,0.8412,1.0,0.8617,0.1383,0.8617,0.8239,0.9562,ARTIFACT-STABLE
1536,P-A,BiasedInitializationInjection,0.9836,1.0,0.9679,1.0,0.9836,0.0164,0.9836,0.9405,0.9562,ARTIFACT-STABLE
2048,P-A,BiasedInitializationInjection,0.9937,1.0,0.9784,1.0,0.9937,0.0063,0.9937,0.9502,0.9562,ARTIFACT-STABLE
3072,P-A,BiasedInitializationInjection,0.852,1.0,0.8312,1.0,0.852,0.148,0.852,0.8147,0.9562,ARTIFACT-STABLE
4096,P-A,BiasedInitializationInjection,0.9865,1.0,0.999,1.0,0.9865,0.0135,0.9865,0.9691,0.9562,ARTIFACT-STABLE
6144,P-A,BiasedInitializationInjection,0.9802,1.0,0.9644,1.0,0.9802,0.0198,0.9802,0.9373,0.9562,ARTIFACT-STABLE
8192,P-A,BiasedInitializationInjection,0.849,1.0,0.828,1.0,0.849,0.151,0.849,0.8118,0.9562,ARTIFACT-STABLE
12288,P-A,BiasedInitializationInjection,0.9807,1.0,0.9649,1.0,0.9807,0.0193,0.9807,0.9377,0.9562,ARTIFACT-STABLE
16384,P-A,BiasedInitializationInjection,0.9059,1.0,0.8871,1.0,0.9059,0.0941,0.9059,0.8661,0.9561,ARTIFACT-STABLE
24576,P-A,BiasedInitializationInjection,0.5418,1.0,0.5087,0.0,0.5418,0.4582,0.5418,0.518,0.9561,ARTIFACT-DEGRADING
32768,P-A,BiasedInitializationInjection,0.7916,1.0,0.7683,0.0,0.7916,0.2084,0.7916,0.7568,0.9561,ARTIFACT-STABLE
65536,P-A,BiasedInitializationInjection,0.4921,1.0,0.457,0.0,0.4921,0.5079,0.4921,0.4704,0.956,ARTIFACT-DEGRADING
131072,P-A,BiasedInitializationInjection,0.8339,1.0,0.8119,1.0,0.8339,0.1661,0.8339,0.7969,0.9557,ARTIFACT-STABLE
262144,P-A,BiasedInitializationInjection,0.9229,1.0,0.9039,1.0,0.9229,0.0771,0.9229,0.8816,0.9552,ARTIFACT-STABLE
524288,P-A,BiasedInitializationInjection,0.8663,1.0,0.8442,1.0,0.8663,0.1337,0.8663,0.8267,0.9542,ARTIFACT-STABLE
1048576,P-A,BiasedInitializationInjection,0.6077,1.0,0.5747,0.0,0.6077,0.3923,0.6077,0.5787,0.9523,ARTIFACT-BOUNDED
2097152,P-A,BiasedInitializationInjection,0.8442,1.0,0.8159,1.0,0.8442,0.1558,0.8442,0.8006,0.9484,ARTIFACT-STABLE
4194304,P-A,BiasedInitializationInjection,0.6449,1.0,0.6051,0.0,0.6449,0.3551,0.6449,0.6067,0.9408,ARTIFACT-BOUNDED
8388608,P-A,BiasedInitializationInjection,0.9896,1.0,0.9415,1.0,0.9896,0.0104,0.9896,0.9162,0.9259,ARTIFACT-STABLE
16777216,P-A,BiasedInitializationInjection,0.4729,1.0,0.407,0.0,0.4729,0.5271,0.4729,0.4244,0.8974,ARTIFACT-DEGRADING
33554432,P-A,BiasedInitializationInjection,0.8309,1.0,0.7092,1.0,0.8309,0.1691,0.8309,0.7024,0.8454,ARTIFACT-STABLE
67108864,P-A,BiasedInitializationInjection,0.7041,1.0,0.5255,0.0,0.7041,0.2959,0.7041,0.5334,0.7576,ARTIFACT-BOUNDED
1,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
2,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
4,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
6,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
8,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
12,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
16,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
20,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
24,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
32,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
40,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
48,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
64,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
80,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
96,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
128,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
160,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
192,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
256,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
320,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
512,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
768,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
1024,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
1536,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
2048,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
3072,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
4096,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
6144,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
8192,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
12288,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.9,0.9562,ARTIFACT-STABLE
16384,P-A,MetricLeakageSimulation,0.9412,1.0,0.9239,1.0,0.9412,0.0588,0.9412,0.8999,0.9561,ARTIFACT-STABLE
24576,P-A,MetricLeakageSimulation,0.9412,1.0,0.9238,1.0,0.9412,0.0588,0.9412,0.8999,0.9561,ARTIFACT-STABLE
32768,P-A,MetricLeakageSimulation,0.9412,1.0,0.9238,1.0,0.9412,0.0588,0.9412,0.8999,0.9561,ARTIFACT-STABLE
65536,P-A,MetricLeakageSimulation,0.9412,1.0,0.9237,1.0,0.9412,0.0588,0.9412,0.8998,0.956,ARTIFACT-STABLE
131072,P-A,MetricLeakageSimulation,0.9412,1.0,0.9234,1.0,0.9412,0.0588,0.9412,0.8995,0.9557,ARTIFACT-STABLE
262144,P-A,MetricLeakageSimulation,0.9412,1.0,0.9229,1.0,0.9412,0.0588,0.9412,0.8991,0.9552,ARTIFACT-STABLE
524288,P-A,MetricLeakageSimulation,0.9412,1.0,0.9219,1.0,0.9412,0.0588,0.9412,0.8982,0.9542,ARTIFACT-STABLE
1048576,P-A,MetricLeakageSimulation,0.9412,1.0,0.9199,1.0,0.9412,0.0588,0.9412,0.8963,0.9523,ARTIFACT-STABLE
2097152,P-A,MetricLeakageSimulation,0.9412,1.0,0.916,1.0,0.9412,0.0588,0.9412,0.8927,0.9484,ARTIFACT-STABLE
