depth,sector,condition,compression_survival_fraction,emergence_reconstruction_fidelity,minimal_architecture_score,generalization_consistency,recursive_information_efficiency,compression_degradation_bound,structural_redundancy_index,compression_ratio,base_emergence,compressed_emergence,classification
524288,P-A,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9542,0.9542,COMPRESSION-STABLE
1048576,P-A,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9523,0.9523,COMPRESSION-STABLE
2097152,P-A,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9484,0.9484,COMPRESSION-STABLE
4194304,P-A,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9408,0.9408,COMPRESSION-STABLE
8388608,P-A,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9259,0.9259,COMPRESSION-STABLE
16777216,P-A,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8974,0.8974,COMPRESSION-STABLE
33554432,P-A,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8454,0.8454,COMPRESSION-STABLE
67108864,P-A,FullBaselineArchitecture,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7576,0.7576,COMPRESSION-STABLE
1,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
2,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
4,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
6,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
8,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
12,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
16,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
20,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
24,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
32,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
40,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
48,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
64,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
80,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
96,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
128,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
160,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
192,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
256,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
320,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
512,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
768,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
1024,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
1536,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
2048,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
3072,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
4096,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
6144,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
8192,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
12288,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9562,0.951,COMPRESSION-STABLE
16384,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9561,0.951,COMPRESSION-STABLE
24576,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9561,0.9509,COMPRESSION-STABLE
32768,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9561,0.9509,COMPRESSION-STABLE
65536,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.956,0.9508,COMPRESSION-STABLE
131072,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9557,0.9505,COMPRESSION-STABLE
262144,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9552,0.9501,COMPRESSION-STABLE
524288,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9542,0.9491,COMPRESSION-STABLE
1048576,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9523,0.9472,COMPRESSION-STABLE
2097152,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9484,0.9433,COMPRESSION-STABLE
4194304,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9408,0.9357,COMPRESSION-STABLE
8388608,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.9259,0.9209,COMPRESSION-STABLE
16777216,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.8974,0.8925,COMPRESSION-STABLE
33554432,P-A,ReducedSectorCount,0.9946,0.9943,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.8454,0.8408,COMPRESSION-STABLE
67108864,P-A,ReducedSectorCount,0.9946,0.9942,0.9946,1.0,1.6577,0.0054,1.0,0.6,0.7576,0.7535,COMPRESSION-STABLE
1,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
2,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
4,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
6,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
8,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
12,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
16,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
20,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
24,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
32,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
40,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
48,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
64,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
80,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
96,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
128,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
160,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
192,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
256,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
320,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
512,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
768,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
1024,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
1536,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
2048,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
3072,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
4096,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
6144,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
8192,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
12288,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9658,COMPRESSION-STABLE
16384,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9561,0.9658,COMPRESSION-STABLE
24576,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9561,0.9658,COMPRESSION-STABLE
32768,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9561,0.9658,COMPRESSION-STABLE
65536,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.956,0.9658,COMPRESSION-STABLE
131072,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9557,0.9657,COMPRESSION-STABLE
262144,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9552,0.9656,COMPRESSION-STABLE
524288,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9542,0.9653,COMPRESSION-STABLE
1048576,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9523,0.9647,COMPRESSION-STABLE
2097152,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9484,0.9635,COMPRESSION-STABLE
4194304,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9408,0.9612,COMPRESSION-STABLE
8388608,P-A,CompressedOperatorBasis,0.948,0.9451,1.0,1.0,1.3544,0.052,1.0,0.7,0.9259,0.8778,COMPRESSION-STABLE
16777216,P-A,CompressedOperatorBasis,0.9686,0.9668,1.0,1.0,1.3837,0.0314,1.0,0.7,0.8974,0.8692,COMPRESSION-STABLE
33554432,P-A,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.8454,0.8536,COMPRESSION-STABLE
67108864,P-A,CompressedOperatorBasis,0.96,0.9572,1.0,1.0,1.3714,0.04,1.0,0.7,0.7576,0.7273,COMPRESSION-STABLE
1,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
2,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
4,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
6,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
8,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
12,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
16,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
20,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
24,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
32,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
40,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
48,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
64,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
80,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
96,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
128,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
160,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
192,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
256,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
320,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
512,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
768,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
1024,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
1536,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
2048,P-A,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
3072,P-A,LowPrecisionRecursion,0.9125,0.9076,0.9125,1.0,1.8249,0.0875,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
4096,P-A,LowPrecisionRecursion,0.9125,0.9076,0.9125,1.0,1.8249,0.0875,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
6144,P-A,LowPrecisionRecursion,0.9125,0.9076,0.9125,1.0,1.8249,0.0875,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
8192,P-A,LowPrecisionRecursion,0.9125,0.9076,0.9125,1.0,1.8249,0.0875,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
12288,P-A,LowPrecisionRecursion,0.9125,0.9076,0.9125,1.0,1.8249,0.0875,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
16384,P-A,LowPrecisionRecursion,0.9125,0.9076,0.9125,1.0,1.825,0.0875,1.0,0.5,0.9561,0.8725,COMPRESSION-STABLE
24576,P-A,LowPrecisionRecursion,0.9125,0.9077,0.9125,1.0,1.825,0.0875,1.0,0.5,0.9561,0.8724,COMPRESSION-STABLE
32768,P-A,LowPrecisionRecursion,0.9125,0.9077,0.9125,1.0,1.825,0.0875,1.0,0.5,0.9561,0.8724,COMPRESSION-STABLE
65536,P-A,LowPrecisionRecursion,0.9126,0.9078,0.9126,1.0,1.8252,0.0874,1.0,0.5,0.956,0.8724,COMPRESSION-STABLE
131072,P-A,LowPrecisionRecursion,0.9127,0.9079,0.9127,1.0,1.8254,0.0873,1.0,0.5,0.9557,0.8723,COMPRESSION-STABLE
262144,P-A,LowPrecisionRecursion,0.913,0.9082,0.913,1.0,1.8259,0.087,1.0,0.5,0.9552,0.8721,COMPRESSION-STABLE
524288,P-A,LowPrecisionRecursion,0.9135,0.9087,0.9135,1.0,1.827,0.0865,1.0,0.5,0.9542,0.8717,COMPRESSION-STABLE
1048576,P-A,LowPrecisionRecursion,0.9145,0.9098,0.9145,1.0,1.8291,0.0855,1.0,0.5,0.9523,0.8709,COMPRESSION-STABLE
2097152,P-A,LowPrecisionRecursion,0.9166,0.912,0.9166,1.0,1.8333,0.0834,1.0,0.5,0.9484,0.8694,COMPRESSION-STABLE
4194304,P-A,LowPrecisionRecursion,0.9208,0.9164,0.9208,1.0,1.8417,0.0792,1.0,0.5,0.9408,0.8663,COMPRESSION-STABLE
8388608,P-A,LowPrecisionRecursion,0.9292,0.9252,0.9292,1.0,1.8585,0.0708,1.0,0.5,0.9259,0.8603,COMPRESSION-STABLE
16777216,P-A,LowPrecisionRecursion,0.946,0.9428,0.946,1.0,1.8921,0.054,1.0,0.5,0.8974,0.849,COMPRESSION-STABLE
33554432,P-A,LowPrecisionRecursion,0.9796,0.9783,0.9796,1.0,1.9592,0.0204,1.0,0.5,0.8454,0.8282,COMPRESSION-STABLE
67108864,P-A,LowPrecisionRecursion,0.8466,0.8357,0.8466,1.0,1.6932,0.1534,1.0,0.5,0.7576,0.6414,COMPRESSION-STABLE
1,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
2,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
4,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
6,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
8,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
12,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
16,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
20,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
24,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
32,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
40,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
48,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
64,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
80,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
96,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
128,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
160,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
192,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
256,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
320,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
512,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
768,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
1024,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
1536,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
2048,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
3072,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
4096,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
6144,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
8192,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
12288,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9562,0.5937,COMPRESSION-DEGRADING
16384,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9561,0.5937,COMPRESSION-DEGRADING
24576,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9561,0.5937,COMPRESSION-DEGRADING
32768,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9561,0.5936,COMPRESSION-DEGRADING
65536,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.956,0.5936,COMPRESSION-DEGRADING
131072,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9557,0.5934,COMPRESSION-DEGRADING
262144,P-A,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0349,0.3791,1.0,0.6,0.9552,0.5931,COMPRESSION-DEGRADING
524288,P-A,SparseRecursiveConnectivity,0.621,0.6,0.621,1.0,1.0349,0.379,1.0,0.6,0.9542,0.5925,COMPRESSION-DEGRADING
1048576,P-A,SparseRecursiveConnectivity,0.621,0.6,0.621,1.0,1.035,0.379,1.0,0.6,0.9523,0.5914,COMPRESSION-DEGRADING
2097152,P-A,SparseRecursiveConnectivity,0.6211,0.6,0.6211,1.0,1.0351,0.3789,1.0,0.6,0.9484,0.5891,COMPRESSION-DEGRADING
