depth,sector,condition,rg_similarity,causal_coherence,temporal_order_stability,propagation_directionality,causal_chain_persistence,recursive_temporal_alignment,temporal_emergence_gain,classification
24576,Antisymmetry,TransportDirectionCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
32768,Antisymmetry,TransportDirectionCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
65536,Antisymmetry,TransportDirectionCoherence,0.96,0.96,0.94,0.93,0.92,0.8988,0.93,CAUSAL-TEMPORAL-STABLE
131072,Antisymmetry,TransportDirectionCoherence,0.9475,0.9223,0.923,0.9122,0.8926,0.8822,0.93,CAUSAL-TEMPORAL-STABLE
262144,Antisymmetry,TransportDirectionCoherence,0.9105,0.8828,0.8801,0.8704,0.8415,0.8448,0.8767,CAUSAL-TEMPORAL-BOUNDED
524288,Antisymmetry,TransportDirectionCoherence,0.809,0.7768,0.7818,0.7702,0.7417,0.7446,0.7739,CAUSAL-TEMPORAL-PARTIAL
1,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
2,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
4,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
6,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
8,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
12,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
16,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
20,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
24,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
32,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
40,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
48,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
64,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
80,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
96,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
128,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
160,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
192,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
256,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
320,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
512,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
768,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
1024,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
1536,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
2048,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
3072,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
4096,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
6144,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
8192,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
12288,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
16384,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
24576,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
32768,Antisymmetry,RecursiveTemporalStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
65536,Antisymmetry,RecursiveTemporalStabilization,0.96,0.9394,0.94,0.93,0.9196,0.91,0.93,CAUSAL-TEMPORAL-STABLE
131072,Antisymmetry,RecursiveTemporalStabilization,0.96,0.9209,0.9245,0.915,0.9015,0.91,0.9172,CAUSAL-TEMPORAL-STABLE
262144,Antisymmetry,RecursiveTemporalStabilization,0.903,0.8817,0.8777,0.8546,0.8442,0.8524,0.8567,CAUSAL-TEMPORAL-BOUNDED
524288,Antisymmetry,RecursiveTemporalStabilization,0.8249,0.7809,0.7846,0.7763,0.7522,0.7633,0.7704,CAUSAL-TEMPORAL-PARTIAL
1,Antisymmetry,NullCausalControl,0.7421,0.7107,0.6964,0.6796,0.6523,0.6418,0.657,CAUSAL-TEMPORAL-PARTIAL
2,Antisymmetry,NullCausalControl,0.7504,0.6757,0.6912,0.6591,0.6675,0.6429,0.6731,CAUSAL-TEMPORAL-DEGRADING
4,Antisymmetry,NullCausalControl,0.7403,0.6886,0.674,0.6823,0.6829,0.6706,0.6659,CAUSAL-TEMPORAL-DEGRADING
6,Antisymmetry,NullCausalControl,0.7379,0.6798,0.6717,0.6559,0.6481,0.6592,0.685,CAUSAL-TEMPORAL-DEGRADING
8,Antisymmetry,NullCausalControl,0.7373,0.698,0.6723,0.6954,0.6811,0.6585,0.656,CAUSAL-TEMPORAL-DEGRADING
12,Antisymmetry,NullCausalControl,0.7252,0.6815,0.6784,0.6894,0.6851,0.6487,0.6656,CAUSAL-TEMPORAL-DEGRADING
16,Antisymmetry,NullCausalControl,0.7342,0.71,0.7003,0.6757,0.6829,0.6563,0.6831,CAUSAL-TEMPORAL-PARTIAL
20,Antisymmetry,NullCausalControl,0.7357,0.712,0.7051,0.6886,0.6732,0.6653,0.6607,CAUSAL-TEMPORAL-PARTIAL
24,Antisymmetry,NullCausalControl,0.7371,0.6879,0.6874,0.6727,0.6764,0.6464,0.6734,CAUSAL-TEMPORAL-DEGRADING
32,Antisymmetry,NullCausalControl,0.7219,0.6784,0.6683,0.6828,0.6646,0.6503,0.693,CAUSAL-TEMPORAL-DEGRADING
40,Antisymmetry,NullCausalControl,0.7345,0.7136,0.6672,0.684,0.6707,0.6712,0.6657,CAUSAL-TEMPORAL-PARTIAL
48,Antisymmetry,NullCausalControl,0.7477,0.6848,0.6679,0.6609,0.6621,0.6584,0.6951,CAUSAL-TEMPORAL-DEGRADING
64,Antisymmetry,NullCausalControl,0.7487,0.6933,0.7025,0.6587,0.6729,0.6497,0.6757,CAUSAL-TEMPORAL-DEGRADING
80,Antisymmetry,NullCausalControl,0.7288,0.6832,0.6707,0.688,0.6846,0.6528,0.6655,CAUSAL-TEMPORAL-DEGRADING
96,Antisymmetry,NullCausalControl,0.7206,0.7098,0.6947,0.6718,0.6842,0.6362,0.6925,CAUSAL-TEMPORAL-PARTIAL
128,Antisymmetry,NullCausalControl,0.7372,0.7052,0.6984,0.6661,0.6754,0.6612,0.6591,CAUSAL-TEMPORAL-PARTIAL
160,Antisymmetry,NullCausalControl,0.7263,0.7025,0.6773,0.6571,0.6688,0.665,0.6702,CAUSAL-TEMPORAL-PARTIAL
192,Antisymmetry,NullCausalControl,0.7203,0.7042,0.7024,0.6684,0.6732,0.6561,0.6618,CAUSAL-TEMPORAL-PARTIAL
256,Antisymmetry,NullCausalControl,0.7284,0.6773,0.6945,0.6888,0.6503,0.6645,0.6826,CAUSAL-TEMPORAL-DEGRADING
320,Antisymmetry,NullCausalControl,0.749,0.7086,0.6939,0.6684,0.6628,0.675,0.6742,CAUSAL-TEMPORAL-PARTIAL
512,Antisymmetry,NullCausalControl,0.7401,0.6809,0.6762,0.6843,0.6783,0.6523,0.6692,CAUSAL-TEMPORAL-DEGRADING
768,Antisymmetry,NullCausalControl,0.736,0.6808,0.6828,0.6877,0.6728,0.6743,0.6749,CAUSAL-TEMPORAL-DEGRADING
1024,Antisymmetry,NullCausalControl,0.74,0.6922,0.6976,0.6865,0.6633,0.6589,0.6902,CAUSAL-TEMPORAL-DEGRADING
1536,Antisymmetry,NullCausalControl,0.7478,0.7012,0.6883,0.6754,0.6627,0.6444,0.6833,CAUSAL-TEMPORAL-PARTIAL
2048,Antisymmetry,NullCausalControl,0.7289,0.6958,0.6965,0.6883,0.6743,0.6695,0.6586,CAUSAL-TEMPORAL-DEGRADING
3072,Antisymmetry,NullCausalControl,0.7548,0.6754,0.6929,0.6906,0.6599,0.6393,0.6817,CAUSAL-TEMPORAL-DEGRADING
4096,Antisymmetry,NullCausalControl,0.7432,0.7093,0.6724,0.6659,0.6615,0.6646,0.6654,CAUSAL-TEMPORAL-PARTIAL
6144,Antisymmetry,NullCausalControl,0.7245,0.6993,0.694,0.679,0.6476,0.6476,0.6612,CAUSAL-TEMPORAL-DEGRADING
8192,Antisymmetry,NullCausalControl,0.7159,0.6924,0.6801,0.667,0.6737,0.6673,0.6609,CAUSAL-TEMPORAL-DEGRADING
12288,Antisymmetry,NullCausalControl,0.7234,0.6719,0.6879,0.6775,0.6637,0.6434,0.6801,CAUSAL-TEMPORAL-DEGRADING
16384,Antisymmetry,NullCausalControl,0.7465,0.7019,0.6618,0.6782,0.6602,0.6551,0.6746,CAUSAL-TEMPORAL-PARTIAL
24576,Antisymmetry,NullCausalControl,0.7424,0.6958,0.6657,0.6764,0.6707,0.6665,0.6757,CAUSAL-TEMPORAL-DEGRADING
32768,Antisymmetry,NullCausalControl,0.7155,0.6834,0.6739,0.6802,0.643,0.6505,0.6526,CAUSAL-TEMPORAL-DEGRADING
65536,Antisymmetry,NullCausalControl,0.7137,0.6604,0.6795,0.6504,0.6318,0.6481,0.6632,CAUSAL-TEMPORAL-DEGRADING
131072,Antisymmetry,NullCausalControl,0.7006,0.6652,0.6435,0.6502,0.6183,0.6305,0.6159,CAUSAL-TEMPORAL-DEGRADING
262144,Antisymmetry,NullCausalControl,0.6483,0.6057,0.6159,0.6009,0.5719,0.5903,0.5813,CAUSAL-TEMPORAL-DEGRADING
524288,Antisymmetry,NullCausalControl,0.5851,0.5507,0.5575,0.5368,0.5216,0.5333,0.5448,CAUSAL-TEMPORAL-DEGRADING
1,Neutral,CausalOrderingExtraction,0.96,0.96,0.9012,0.9217,0.9139,0.8853,0.9191,CAUSAL-TEMPORAL-STABLE
2,Neutral,CausalOrderingExtraction,0.96,0.9525,0.9325,0.9108,0.8968,0.8869,0.8985,CAUSAL-TEMPORAL-STABLE
4,Neutral,CausalOrderingExtraction,0.9422,0.9513,0.9147,0.8957,0.903,0.8778,0.8986,CAUSAL-TEMPORAL-STABLE
6,Neutral,CausalOrderingExtraction,0.96,0.96,0.914,0.8977,0.9126,0.8856,0.9224,CAUSAL-TEMPORAL-STABLE
8,Neutral,CausalOrderingExtraction,0.96,0.9464,0.9177,0.93,0.8859,0.8976,0.9183,CAUSAL-TEMPORAL-STABLE
12,Neutral,CausalOrderingExtraction,0.9523,0.9534,0.9137,0.915,0.9149,0.8837,0.9273,CAUSAL-TEMPORAL-STABLE
16,Neutral,CausalOrderingExtraction,0.96,0.96,0.926,0.9152,0.8922,0.8883,0.9178,CAUSAL-TEMPORAL-STABLE
20,Neutral,CausalOrderingExtraction,0.96,0.9594,0.9204,0.93,0.9018,0.8895,0.9009,CAUSAL-TEMPORAL-STABLE
24,Neutral,CausalOrderingExtraction,0.96,0.9383,0.9023,0.9088,0.92,0.8816,0.9192,CAUSAL-TEMPORAL-STABLE
32,Neutral,CausalOrderingExtraction,0.9571,0.9558,0.9195,0.9025,0.9056,0.8778,0.9155,CAUSAL-TEMPORAL-STABLE
40,Neutral,CausalOrderingExtraction,0.96,0.9373,0.9327,0.9205,0.8973,0.8887,0.9112,CAUSAL-TEMPORAL-STABLE
48,Neutral,CausalOrderingExtraction,0.96,0.926,0.9145,0.9185,0.8995,0.9046,0.9054,CAUSAL-TEMPORAL-STABLE
64,Neutral,CausalOrderingExtraction,0.9459,0.9403,0.9164,0.9274,0.9133,0.8712,0.9186,CAUSAL-TEMPORAL-STABLE
80,Neutral,CausalOrderingExtraction,0.96,0.9459,0.9289,0.9254,0.9156,0.8913,0.93,CAUSAL-TEMPORAL-STABLE
96,Neutral,CausalOrderingExtraction,0.9556,0.96,0.9288,0.9129,0.92,0.8745,0.9292,CAUSAL-TEMPORAL-STABLE
128,Neutral,CausalOrderingExtraction,0.96,0.9397,0.9226,0.902,0.9003,0.8852,0.9014,CAUSAL-TEMPORAL-STABLE
160,Neutral,CausalOrderingExtraction,0.9506,0.96,0.9034,0.9126,0.9066,0.9017,0.9276,CAUSAL-TEMPORAL-STABLE
192,Neutral,CausalOrderingExtraction,0.96,0.9564,0.9289,0.9095,0.889,0.8764,0.93,CAUSAL-TEMPORAL-STABLE
256,Neutral,CausalOrderingExtraction,0.96,0.9509,0.906,0.9176,0.9041,0.8818,0.9065,CAUSAL-TEMPORAL-STABLE
320,Neutral,CausalOrderingExtraction,0.96,0.935,0.9343,0.9137,0.9137,0.8991,0.9054,CAUSAL-TEMPORAL-STABLE
512,Neutral,CausalOrderingExtraction,0.96,0.9303,0.8985,0.8972,0.8945,0.8988,0.9279,CAUSAL-TEMPORAL-STABLE
768,Neutral,CausalOrderingExtraction,0.96,0.9321,0.9229,0.9166,0.8965,0.8871,0.9182,CAUSAL-TEMPORAL-STABLE
1024,Neutral,CausalOrderingExtraction,0.9591,0.9485,0.9246,0.9148,0.9028,0.8964,0.9222,CAUSAL-TEMPORAL-STABLE
1536,Neutral,CausalOrderingExtraction,0.954,0.9441,0.9326,0.9105,0.8903,0.9048,0.93,CAUSAL-TEMPORAL-STABLE
2048,Neutral,CausalOrderingExtraction,0.96,0.96,0.9242,0.9234,0.92,0.8948,0.9128,CAUSAL-TEMPORAL-STABLE
3072,Neutral,CausalOrderingExtraction,0.96,0.9331,0.9269,0.8948,0.9191,0.8984,0.9299,CAUSAL-TEMPORAL-STABLE
4096,Neutral,CausalOrderingExtraction,0.9452,0.9248,0.9093,0.9135,0.9053,0.8903,0.9091,CAUSAL-TEMPORAL-STABLE
6144,Neutral,CausalOrderingExtraction,0.9437,0.9452,0.9047,0.903,0.8912,0.8895,0.9222,CAUSAL-TEMPORAL-STABLE
8192,Neutral,CausalOrderingExtraction,0.943,0.9324,0.8943,0.8965,0.9158,0.875,0.9008,CAUSAL-TEMPORAL-STABLE
12288,Neutral,CausalOrderingExtraction,0.9448,0.9314,0.8938,0.9091,0.9085,0.8795,0.9049,CAUSAL-TEMPORAL-STABLE
16384,Neutral,CausalOrderingExtraction,0.9411,0.939,0.8956,0.9034,0.8799,0.877,0.9069,CAUSAL-TEMPORAL-STABLE
24576,Neutral,CausalOrderingExtraction,0.9544,0.9223,0.8968,0.9176,0.9053,0.8876,0.9094,CAUSAL-TEMPORAL-STABLE
32768,Neutral,CausalOrderingExtraction,0.9507,0.9291,0.8842,0.8854,0.8805,0.8792,0.917,CAUSAL-TEMPORAL-STABLE
65536,Neutral,CausalOrderingExtraction,0.9211,0.9255,0.8689,0.8931,0.8909,0.8731,0.8972,CAUSAL-TEMPORAL-STABLE
131072,Neutral,CausalOrderingExtraction,0.9133,0.8976,0.8456,0.8629,0.8665,0.8472,0.8768,CAUSAL-TEMPORAL-BOUNDED
262144,Neutral,CausalOrderingExtraction,0.8384,0.8494,0.7958,0.8052,0.788,0.8006,0.814,CAUSAL-TEMPORAL-BOUNDED
524288,Neutral,CausalOrderingExtraction,0.7539,0.7414,0.7171,0.7381,0.7175,0.7044,0.7361,CAUSAL-TEMPORAL-PARTIAL
1,Neutral,RecursiveTemporalConsistency,0.96,0.9409,0.9392,0.8959,0.8882,0.9061,0.9213,CAUSAL-TEMPORAL-STABLE
2,Neutral,RecursiveTemporalConsistency,0.9501,0.9452,0.94,0.922,0.9079,0.9018,0.8918,CAUSAL-TEMPORAL-STABLE
4,Neutral,RecursiveTemporalConsistency,0.96,0.906,0.94,0.9059,0.92,0.91,0.8881,CAUSAL-TEMPORAL-STABLE
6,Neutral,RecursiveTemporalConsistency,0.96,0.9368,0.94,0.911,0.9016,0.91,0.8945,CAUSAL-TEMPORAL-STABLE
8,Neutral,RecursiveTemporalConsistency,0.9529,0.9349,0.94,0.8991,0.9019,0.8964,0.8897,CAUSAL-TEMPORAL-STABLE
12,Neutral,RecursiveTemporalConsistency,0.9484,0.9118,0.9386,0.9039,0.9142,0.8968,0.9075,CAUSAL-TEMPORAL-STABLE
16,Neutral,RecursiveTemporalConsistency,0.96,0.915,0.94,0.9152,0.8881,0.8981,0.911,CAUSAL-TEMPORAL-STABLE
20,Neutral,RecursiveTemporalConsistency,0.96,0.9449,0.9373,0.9217,0.9129,0.8909,0.9036,CAUSAL-TEMPORAL-STABLE
24,Neutral,RecursiveTemporalConsistency,0.96,0.9132,0.9317,0.8984,0.888,0.8996,0.8988,CAUSAL-TEMPORAL-STABLE
32,Neutral,RecursiveTemporalConsistency,0.96,0.9306,0.935,0.9089,0.8946,0.91,0.8895,CAUSAL-TEMPORAL-STABLE
40,Neutral,RecursiveTemporalConsistency,0.96,0.916,0.94,0.8935,0.9108,0.8876,0.9226,CAUSAL-TEMPORAL-STABLE
48,Neutral,RecursiveTemporalConsistency,0.96,0.9064,0.94,0.923,0.903,0.9084,0.8952,CAUSAL-TEMPORAL-STABLE
64,Neutral,RecursiveTemporalConsistency,0.96,0.908,0.9283,0.9057,0.891,0.91,0.924,CAUSAL-TEMPORAL-STABLE
80,Neutral,RecursiveTemporalConsistency,0.96,0.9265,0.94,0.9031,0.9011,0.91,0.8896,CAUSAL-TEMPORAL-STABLE
96,Neutral,RecursiveTemporalConsistency,0.9499,0.9325,0.94,0.9024,0.9194,0.9045,0.8919,CAUSAL-TEMPORAL-STABLE
128,Neutral,RecursiveTemporalConsistency,0.96,0.9203,0.94,0.9222,0.891,0.9072,0.9158,CAUSAL-TEMPORAL-STABLE
160,Neutral,RecursiveTemporalConsistency,0.956,0.941,0.9319,0.9115,0.8892,0.9002,0.8925,CAUSAL-TEMPORAL-STABLE
192,Neutral,RecursiveTemporalConsistency,0.96,0.9111,0.9396,0.8975,0.9174,0.91,0.8936,CAUSAL-TEMPORAL-STABLE
256,Neutral,RecursiveTemporalConsistency,0.96,0.9078,0.94,0.9,0.8974,0.91,0.9178,CAUSAL-TEMPORAL-STABLE
320,Neutral,RecursiveTemporalConsistency,0.9547,0.94,0.94,0.8908,0.892,0.8868,0.8989,CAUSAL-TEMPORAL-STABLE
512,Neutral,RecursiveTemporalConsistency,0.96,0.9343,0.93,0.904,0.9065,0.91,0.9117,CAUSAL-TEMPORAL-STABLE
768,Neutral,RecursiveTemporalConsistency,0.96,0.9057,0.94,0.9221,0.8867,0.91,0.9109,CAUSAL-TEMPORAL-STABLE
1024,Neutral,RecursiveTemporalConsistency,0.96,0.9129,0.94,0.9208,0.9001,0.8976,0.91,CAUSAL-TEMPORAL-STABLE
1536,Neutral,RecursiveTemporalConsistency,0.96,0.9287,0.94,0.8923,0.9029,0.91,0.8875,CAUSAL-TEMPORAL-STABLE
2048,Neutral,RecursiveTemporalConsistency,0.96,0.9165,0.94,0.9226,0.92,0.9021,0.9048,CAUSAL-TEMPORAL-STABLE
3072,Neutral,RecursiveTemporalConsistency,0.96,0.9147,0.94,0.9071,0.9136,0.91,0.8858,CAUSAL-TEMPORAL-STABLE
4096,Neutral,RecursiveTemporalConsistency,0.9542,0.9184,0.94,0.9198,0.9122,0.8966,0.8934,CAUSAL-TEMPORAL-STABLE
6144,Neutral,RecursiveTemporalConsistency,0.96,0.935,0.94,0.8891,0.9072,0.91,0.9162,CAUSAL-TEMPORAL-STABLE
8192,Neutral,RecursiveTemporalConsistency,0.9546,0.9301,0.94,0.9023,0.883,0.8907,0.9062,CAUSAL-TEMPORAL-STABLE
12288,Neutral,RecursiveTemporalConsistency,0.96,0.9311,0.94,0.9047,0.9098,0.91,0.8841,CAUSAL-TEMPORAL-STABLE
16384,Neutral,RecursiveTemporalConsistency,0.9481,0.909,0.9338,0.9154,0.9083,0.9038,0.8945,CAUSAL-TEMPORAL-STABLE
24576,Neutral,RecursiveTemporalConsistency,0.9464,0.9261,0.9237,0.8922,0.9053,0.8864,0.8939,CAUSAL-TEMPORAL-STABLE
32768,Neutral,RecursiveTemporalConsistency,0.9519,0.9052,0.9358,0.8912,0.8796,0.8998,0.9047,CAUSAL-TEMPORAL-STABLE
65536,Neutral,RecursiveTemporalConsistency,0.9426,0.9135,0.9115,0.8742,0.8661,0.8811,0.8931,CAUSAL-TEMPORAL-STABLE
131072,Neutral,RecursiveTemporalConsistency,0.9083,0.8602,0.8972,0.8623,0.8315,0.8315,0.8653,CAUSAL-TEMPORAL-BOUNDED
262144,Neutral,RecursiveTemporalConsistency,0.8427,0.8093,0.8306,0.8067,0.8079,0.7913,0.7919,CAUSAL-TEMPORAL-BOUNDED
524288,Neutral,RecursiveTemporalConsistency,0.7577,0.731,0.7363,0.7291,0.724,0.7217,0.7279,CAUSAL-TEMPORAL-PARTIAL
1,Neutral,PropagationAsymmetryTracking,0.9488,0.9549,0.9318,0.93,0.8966,0.8973,0.898,CAUSAL-TEMPORAL-STABLE
2,Neutral,PropagationAsymmetryTracking,0.96,0.9308,0.9259,0.93,0.92,0.8748,0.8892,CAUSAL-TEMPORAL-STABLE
4,Neutral,PropagationAsymmetryTracking,0.96,0.9163,0.9338,0.93,0.9097,0.8927,0.8937,CAUSAL-TEMPORAL-STABLE
6,Neutral,PropagationAsymmetryTracking,0.96,0.9295,0.9351,0.9278,0.8965,0.8657,0.9021,CAUSAL-TEMPORAL-STABLE
8,Neutral,PropagationAsymmetryTracking,0.96,0.9514,0.8961,0.93,0.92,0.8989,0.9251,CAUSAL-TEMPORAL-STABLE
12,Neutral,PropagationAsymmetryTracking,0.96,0.9325,0.9043,0.93,0.92,0.8988,0.9069,CAUSAL-TEMPORAL-STABLE
16,Neutral,PropagationAsymmetryTracking,0.9467,0.9417,0.9014,0.9186,0.92,0.8866,0.8938,CAUSAL-TEMPORAL-STABLE
20,Neutral,PropagationAsymmetryTracking,0.96,0.9269,0.924,0.9231,0.9024,0.8658,0.8913,CAUSAL-TEMPORAL-STABLE
24,Neutral,PropagationAsymmetryTracking,0.96,0.9183,0.9301,0.9279,0.92,0.8946,0.8978,CAUSAL-TEMPORAL-STABLE
32,Neutral,PropagationAsymmetryTracking,0.96,0.9348,0.9352,0.93,0.9126,0.8684,0.904,CAUSAL-TEMPORAL-STABLE
40,Neutral,PropagationAsymmetryTracking,0.96,0.9175,0.9038,0.93,0.8991,0.8993,0.9033,CAUSAL-TEMPORAL-STABLE
48,Neutral,PropagationAsymmetryTracking,0.9563,0.943,0.907,0.9165,0.9054,0.8656,0.904,CAUSAL-TEMPORAL-STABLE
64,Neutral,PropagationAsymmetryTracking,0.96,0.9204,0.9288,0.93,0.9133,0.8693,0.9188,CAUSAL-TEMPORAL-STABLE
80,Neutral,PropagationAsymmetryTracking,0.9451,0.9287,0.9214,0.9232,0.9089,0.9002,0.905,CAUSAL-TEMPORAL-STABLE
96,Neutral,PropagationAsymmetryTracking,0.9422,0.95,0.9086,0.93,0.92,0.8699,0.9227,CAUSAL-TEMPORAL-STABLE
128,Neutral,PropagationAsymmetryTracking,0.96,0.9546,0.9338,0.9265,0.9157,0.8761,0.8883,CAUSAL-TEMPORAL-STABLE
160,Neutral,PropagationAsymmetryTracking,0.9443,0.9293,0.9211,0.93,0.9002,0.9032,0.9057,CAUSAL-TEMPORAL-STABLE
192,Neutral,PropagationAsymmetryTracking,0.9529,0.9546,0.9021,0.9244,0.9052,0.8926,0.897,CAUSAL-TEMPORAL-STABLE
256,Neutral,PropagationAsymmetryTracking,0.96,0.9294,0.9275,0.9236,0.92,0.8861,0.8953,CAUSAL-TEMPORAL-STABLE
320,Neutral,PropagationAsymmetryTracking,0.96,0.9414,0.9307,0.9215,0.9155,0.8738,0.9239,CAUSAL-TEMPORAL-STABLE
512,Neutral,PropagationAsymmetryTracking,0.96,0.9305,0.9153,0.93,0.92,0.868,0.9231,CAUSAL-TEMPORAL-STABLE
768,Neutral,PropagationAsymmetryTracking,0.9513,0.932,0.9196,0.93,0.9139,0.8981,0.8886,CAUSAL-TEMPORAL-STABLE
1024,Neutral,PropagationAsymmetryTracking,0.96,0.9214,0.9199,0.9179,0.92,0.8678,0.9121,CAUSAL-TEMPORAL-STABLE
1536,Neutral,PropagationAsymmetryTracking,0.95,0.9316,0.9086,0.9219,0.92,0.9048,0.9046,CAUSAL-TEMPORAL-STABLE
2048,Neutral,PropagationAsymmetryTracking,0.96,0.9155,0.9102,0.93,0.9109,0.8704,0.9102,CAUSAL-TEMPORAL-STABLE
3072,Neutral,PropagationAsymmetryTracking,0.9479,0.9519,0.9268,0.9151,0.92,0.8739,0.9181,CAUSAL-TEMPORAL-STABLE
4096,Neutral,PropagationAsymmetryTracking,0.96,0.9339,0.9249,0.9259,0.9183,0.8665,0.8902,CAUSAL-TEMPORAL-STABLE
6144,Neutral,PropagationAsymmetryTracking,0.96,0.922,0.8933,0.93,0.9147,0.9007,0.9167,CAUSAL-TEMPORAL-STABLE
8192,Neutral,PropagationAsymmetryTracking,0.9561,0.9347,0.8951,0.93,0.9021,0.8878,0.9196,CAUSAL-TEMPORAL-STABLE
12288,Neutral,PropagationAsymmetryTracking,0.9428,0.9192,0.9217,0.9247,0.92,0.8964,0.8855,CAUSAL-TEMPORAL-STABLE
16384,Neutral,PropagationAsymmetryTracking,0.9367,0.9093,0.892,0.9252,0.904,0.8774,0.8981,CAUSAL-TEMPORAL-STABLE
24576,Neutral,PropagationAsymmetryTracking,0.9534,0.9098,0.9162,0.9251,0.9076,0.8768,0.881,CAUSAL-TEMPORAL-STABLE
32768,Neutral,PropagationAsymmetryTracking,0.96,0.9262,0.9179,0.9067,0.8973,0.8587,0.9088,CAUSAL-TEMPORAL-STABLE
65536,Neutral,PropagationAsymmetryTracking,0.9498,0.8916,0.8812,0.9172,0.8965,0.8471,0.8727,CAUSAL-TEMPORAL-BOUNDED
