depth,sector,condition,rg_similarity,circulation_stability,flow_persistence,bottleneck_resilience,source_sink_balance,recursive_transport_coherence,circulation_hierarchy_index,classification
96,Antisymmetry,RecursiveTransportStability,0.2175,0.2028,0.2073,0.206,0.1979,0.1982,0.204,FLOW-FAILED
128,Antisymmetry,RecursiveTransportStability,0.1736,0.1635,0.1644,0.1601,0.1576,0.163,0.1583,FLOW-FAILED
160,Antisymmetry,RecursiveTransportStability,0.143,0.1358,0.1351,0.1316,0.1305,0.1308,0.1329,FLOW-FAILED
192,Antisymmetry,RecursiveTransportStability,0.1216,0.1143,0.1171,0.1138,0.1112,0.1146,0.1148,FLOW-FAILED
1,Antisymmetry,PerturbationFlowRecovery,0.9302,0.8783,0.8854,0.8646,0.8589,0.8358,0.8664,FLOW-STABLE
2,Antisymmetry,PerturbationFlowRecovery,0.8877,0.8718,0.8466,0.8555,0.8348,0.8335,0.8364,FLOW-STABLE
4,Antisymmetry,PerturbationFlowRecovery,0.8339,0.7976,0.7904,0.8002,0.7801,0.7872,0.7921,FLOW-STABLE
6,Antisymmetry,PerturbationFlowRecovery,0.8044,0.7644,0.7563,0.7418,0.7226,0.7449,0.739,FLOW-STABLE
8,Antisymmetry,PerturbationFlowRecovery,0.7399,0.7166,0.7001,0.7153,0.6782,0.6999,0.7016,FLOW-BOUNDED
12,Antisymmetry,PerturbationFlowRecovery,0.67,0.6473,0.6388,0.6359,0.611,0.6212,0.6339,FLOW-PARTIAL
16,Antisymmetry,PerturbationFlowRecovery,0.5968,0.5839,0.5767,0.5614,0.5657,0.5573,0.5559,FLOW-PARTIAL
20,Antisymmetry,PerturbationFlowRecovery,0.5633,0.5328,0.5269,0.5178,0.5169,0.5097,0.53,FLOW-DEGRADING
24,Antisymmetry,PerturbationFlowRecovery,0.5124,0.4959,0.4802,0.4904,0.472,0.4718,0.4827,FLOW-DEGRADING
32,Antisymmetry,PerturbationFlowRecovery,0.4416,0.4203,0.4194,0.4293,0.4173,0.4076,0.4159,FLOW-DEGRADING
40,Antisymmetry,PerturbationFlowRecovery,0.3848,0.3671,0.3673,0.3749,0.3625,0.364,0.359,FLOW-FAILED
48,Antisymmetry,PerturbationFlowRecovery,0.3467,0.3394,0.3334,0.3271,0.3217,0.3257,0.3295,FLOW-FAILED
64,Antisymmetry,PerturbationFlowRecovery,0.2866,0.2762,0.2774,0.2688,0.2696,0.2644,0.2726,FLOW-FAILED
80,Antisymmetry,PerturbationFlowRecovery,0.2492,0.2359,0.2401,0.2362,0.2315,0.222,0.2305,FLOW-FAILED
96,Antisymmetry,PerturbationFlowRecovery,0.2141,0.2035,0.2094,0.2044,0.1934,0.2015,0.1975,FLOW-FAILED
128,Antisymmetry,PerturbationFlowRecovery,0.1723,0.1656,0.1614,0.1592,0.154,0.1592,0.1572,FLOW-FAILED
160,Antisymmetry,PerturbationFlowRecovery,0.1432,0.1365,0.1337,0.133,0.1317,0.132,0.1325,FLOW-FAILED
192,Antisymmetry,PerturbationFlowRecovery,0.1213,0.1176,0.1144,0.1138,0.1129,0.1126,0.1123,FLOW-FAILED
1,Antisymmetry,NullCirculationControl,0.7292,0.7212,0.7173,0.7243,0.7015,0.6985,0.7013,FLOW-BOUNDED
2,Antisymmetry,NullCirculationControl,0.7195,0.7161,0.673,0.7178,0.6647,0.658,0.6778,FLOW-BOUNDED
4,Antisymmetry,NullCirculationControl,0.655,0.6543,0.6307,0.6535,0.6128,0.6084,0.6221,FLOW-PARTIAL
6,Antisymmetry,NullCirculationControl,0.6316,0.6034,0.6164,0.6216,0.5913,0.5877,0.6142,FLOW-PARTIAL
8,Antisymmetry,NullCirculationControl,0.5939,0.5849,0.5626,0.5775,0.5555,0.5481,0.5634,FLOW-PARTIAL
12,Antisymmetry,NullCirculationControl,0.5234,0.5222,0.5059,0.5355,0.512,0.4841,0.4986,FLOW-DEGRADING
16,Antisymmetry,NullCirculationControl,0.496,0.4725,0.4679,0.4833,0.4663,0.4573,0.4681,FLOW-DEGRADING
20,Antisymmetry,NullCirculationControl,0.4475,0.4332,0.4406,0.4387,0.4101,0.4116,0.4352,FLOW-DEGRADING
24,Antisymmetry,NullCirculationControl,0.4082,0.3994,0.3927,0.4111,0.388,0.3784,0.3905,FLOW-FAILED
32,Antisymmetry,NullCirculationControl,0.3613,0.3544,0.338,0.3511,0.3307,0.3199,0.341,FLOW-FAILED
40,Antisymmetry,NullCirculationControl,0.3166,0.3114,0.2958,0.3138,0.3016,0.2922,0.2973,FLOW-FAILED
48,Antisymmetry,NullCirculationControl,0.2847,0.273,0.269,0.2752,0.2685,0.2635,0.2738,FLOW-FAILED
64,Antisymmetry,NullCirculationControl,0.2287,0.2272,0.2188,0.2227,0.2138,0.2137,0.2198,FLOW-FAILED
80,Antisymmetry,NullCirculationControl,0.1954,0.189,0.1947,0.196,0.1849,0.1827,0.1923,FLOW-FAILED
96,Antisymmetry,NullCirculationControl,0.1679,0.1644,0.1617,0.1681,0.1583,0.1608,0.1645,FLOW-FAILED
128,Antisymmetry,NullCirculationControl,0.1365,0.1298,0.1313,0.135,0.1308,0.1235,0.1324,FLOW-FAILED
160,Antisymmetry,NullCirculationControl,0.1112,0.1092,0.109,0.111,0.1078,0.106,0.1053,FLOW-FAILED
192,Antisymmetry,NullCirculationControl,0.0987,0.0954,0.0931,0.0925,0.0883,0.0918,0.0921,FLOW-FAILED
1,Neutral,TopologicalFlowMapping,0.8724,0.8653,0.8406,0.8183,0.8036,0.7959,0.8057,FLOW-STABLE
2,Neutral,TopologicalFlowMapping,0.857,0.8296,0.824,0.7869,0.7674,0.77,0.7703,FLOW-STABLE
4,Neutral,TopologicalFlowMapping,0.7966,0.7763,0.7396,0.7379,0.7424,0.7357,0.732,FLOW-BOUNDED
6,Neutral,TopologicalFlowMapping,0.7321,0.7088,0.7005,0.7106,0.6753,0.6727,0.6943,FLOW-BOUNDED
8,Neutral,TopologicalFlowMapping,0.7053,0.6875,0.6556,0.6622,0.6603,0.6449,0.6502,FLOW-BOUNDED
12,Neutral,TopologicalFlowMapping,0.6352,0.6095,0.6076,0.5884,0.5921,0.5815,0.5905,FLOW-PARTIAL
16,Neutral,TopologicalFlowMapping,0.5748,0.5675,0.5558,0.5332,0.5194,0.5087,0.5476,FLOW-PARTIAL
20,Neutral,TopologicalFlowMapping,0.526,0.5162,0.4927,0.4851,0.486,0.4829,0.4919,FLOW-DEGRADING
24,Neutral,TopologicalFlowMapping,0.4958,0.4783,0.4576,0.4496,0.4448,0.4327,0.4522,FLOW-DEGRADING
32,Neutral,TopologicalFlowMapping,0.4236,0.4004,0.4063,0.3892,0.3825,0.3895,0.3822,FLOW-DEGRADING
40,Neutral,TopologicalFlowMapping,0.3699,0.3561,0.3599,0.3421,0.346,0.333,0.3463,FLOW-FAILED
48,Neutral,TopologicalFlowMapping,0.3377,0.314,0.3106,0.3119,0.3004,0.2946,0.3105,FLOW-FAILED
64,Neutral,TopologicalFlowMapping,0.2738,0.2621,0.2608,0.2517,0.2533,0.2474,0.2543,FLOW-FAILED
80,Neutral,TopologicalFlowMapping,0.2299,0.2291,0.2234,0.2179,0.2107,0.2099,0.2117,FLOW-FAILED
96,Neutral,TopologicalFlowMapping,0.2049,0.1912,0.1955,0.1903,0.1819,0.183,0.1917,FLOW-FAILED
128,Neutral,TopologicalFlowMapping,0.1597,0.1553,0.1539,0.1521,0.148,0.145,0.1467,FLOW-FAILED
160,Neutral,TopologicalFlowMapping,0.1355,0.1301,0.1278,0.1241,0.1224,0.121,0.122,FLOW-FAILED
192,Neutral,TopologicalFlowMapping,0.1162,0.1103,0.1062,0.1062,0.1072,0.1051,0.1071,FLOW-FAILED
1,Neutral,CirculationLoopDetection,0.8985,0.8682,0.8355,0.8072,0.7954,0.792,0.8444,FLOW-STABLE
2,Neutral,CirculationLoopDetection,0.8583,0.8079,0.8237,0.7841,0.7768,0.7861,0.794,FLOW-STABLE
4,Neutral,CirculationLoopDetection,0.8145,0.7754,0.7715,0.7353,0.7345,0.7349,0.7381,FLOW-STABLE
6,Neutral,CirculationLoopDetection,0.7392,0.7298,0.6946,0.6969,0.691,0.6856,0.686,FLOW-BOUNDED
8,Neutral,CirculationLoopDetection,0.7053,0.6856,0.6619,0.6544,0.6446,0.6622,0.6582,FLOW-BOUNDED
12,Neutral,CirculationLoopDetection,0.6454,0.6168,0.6067,0.6027,0.5804,0.5858,0.5904,FLOW-PARTIAL
16,Neutral,CirculationLoopDetection,0.5733,0.5718,0.555,0.5466,0.5161,0.5283,0.5304,FLOW-PARTIAL
20,Neutral,CirculationLoopDetection,0.5289,0.521,0.5001,0.4999,0.4919,0.487,0.5052,FLOW-DEGRADING
24,Neutral,CirculationLoopDetection,0.4976,0.4733,0.4619,0.4518,0.4425,0.4542,0.4472,FLOW-DEGRADING
32,Neutral,CirculationLoopDetection,0.4159,0.4063,0.4094,0.3993,0.3783,0.3792,0.4005,FLOW-DEGRADING
40,Neutral,CirculationLoopDetection,0.3642,0.3608,0.3534,0.3546,0.3454,0.3346,0.3478,FLOW-FAILED
48,Neutral,CirculationLoopDetection,0.33,0.3295,0.3202,0.3135,0.2999,0.3044,0.3066,FLOW-FAILED
64,Neutral,CirculationLoopDetection,0.2721,0.2691,0.2629,0.2591,0.2523,0.2484,0.2526,FLOW-FAILED
80,Neutral,CirculationLoopDetection,0.229,0.224,0.2203,0.2199,0.2103,0.2089,0.2162,FLOW-FAILED
96,Neutral,CirculationLoopDetection,0.1998,0.1995,0.1916,0.1884,0.1881,0.1851,0.1867,FLOW-FAILED
128,Neutral,CirculationLoopDetection,0.16,0.1558,0.154,0.1507,0.1494,0.1474,0.1494,FLOW-FAILED
160,Neutral,CirculationLoopDetection,0.1346,0.1325,0.1299,0.1256,0.1221,0.1208,0.1278,FLOW-FAILED
192,Neutral,CirculationLoopDetection,0.1123,0.1093,0.1069,0.1065,0.1045,0.1023,0.1085,FLOW-FAILED
1,Neutral,FlowBottleneckAnalysis,0.8672,0.8302,0.8163,0.8237,0.7919,0.7772,0.8054,FLOW-STABLE
2,Neutral,FlowBottleneckAnalysis,0.8208,0.8124,0.786,0.816,0.7734,0.777,0.7906,FLOW-STABLE
4,Neutral,FlowBottleneckAnalysis,0.7866,0.7614,0.7438,0.7393,0.7374,0.7199,0.7507,FLOW-BOUNDED
6,Neutral,FlowBottleneckAnalysis,0.7495,0.7128,0.6993,0.6996,0.6774,0.6735,0.6867,FLOW-BOUNDED
8,Neutral,FlowBottleneckAnalysis,0.68,0.6738,0.6742,0.6674,0.6437,0.6253,0.6446,FLOW-BOUNDED
12,Neutral,FlowBottleneckAnalysis,0.6315,0.6091,0.6041,0.5899,0.5916,0.5838,0.5984,FLOW-PARTIAL
16,Neutral,FlowBottleneckAnalysis,0.5605,0.5379,0.5343,0.5521,0.5245,0.5237,0.5307,FLOW-DEGRADING
20,Neutral,FlowBottleneckAnalysis,0.518,0.5109,0.4901,0.508,0.4931,0.4682,0.4827,FLOW-DEGRADING
24,Neutral,FlowBottleneckAnalysis,0.4778,0.4704,0.4655,0.4529,0.4414,0.4384,0.4614,FLOW-DEGRADING
32,Neutral,FlowBottleneckAnalysis,0.4149,0.3952,0.3885,0.4034,0.3824,0.3882,0.3945,FLOW-FAILED
40,Neutral,FlowBottleneckAnalysis,0.3636,0.3564,0.3574,0.3452,0.336,0.3411,0.3505,FLOW-FAILED
48,Neutral,FlowBottleneckAnalysis,0.3229,0.3154,0.3084,0.3235,0.3001,0.3077,0.3061,FLOW-FAILED
64,Neutral,FlowBottleneckAnalysis,0.2689,0.266,0.2612,0.2625,0.2537,0.2465,0.2597,FLOW-FAILED
80,Neutral,FlowBottleneckAnalysis,0.2254,0.2226,0.2235,0.2247,0.2106,0.2084,0.2159,FLOW-FAILED
96,Neutral,FlowBottleneckAnalysis,0.2016,0.1908,0.187,0.1967,0.186,0.1843,0.1897,FLOW-FAILED
128,Neutral,FlowBottleneckAnalysis,0.1577,0.1509,0.1494,0.1519,0.1479,0.1455,0.1526,FLOW-FAILED
160,Neutral,FlowBottleneckAnalysis,0.1315,0.1288,0.123,0.1302,0.1201,0.1202,0.1258,FLOW-FAILED
192,Neutral,FlowBottleneckAnalysis,0.1115,0.1072,0.1061,0.1112,0.1032,0.1031,0.108,FLOW-FAILED
1,Neutral,AttractorSourceSinkCharacterization,0.8735,0.8387,0.829,0.7965,0.8453,0.7955,0.8273,FLOW-STABLE
2,Neutral,AttractorSourceSinkCharacterization,0.8376,0.7895,0.7786,0.7923,0.7891,0.7754,0.786,FLOW-STABLE
4,Neutral,AttractorSourceSinkCharacterization,0.7997,0.7427,0.7551,0.7487,0.7573,0.7346,0.7434,FLOW-BOUNDED
6,Neutral,AttractorSourceSinkCharacterization,0.7316,0.7029,0.7061,0.692,0.7056,0.6842,0.7097,FLOW-BOUNDED
8,Neutral,AttractorSourceSinkCharacterization,0.6962,0.6623,0.6513,0.6644,0.6537,0.6321,0.653,FLOW-BOUNDED
12,Neutral,AttractorSourceSinkCharacterization,0.6425,0.6101,0.5957,0.5945,0.5953,0.5736,0.5946,FLOW-PARTIAL
16,Neutral,AttractorSourceSinkCharacterization,0.583,0.5512,0.541,0.5417,0.5358,0.5191,0.5474,FLOW-DEGRADING
20,Neutral,AttractorSourceSinkCharacterization,0.5118,0.4976,0.5036,0.4935,0.5008,0.4794,0.4885,FLOW-DEGRADING
24,Neutral,AttractorSourceSinkCharacterization,0.4798,0.4581,0.4599,0.4527,0.4651,0.4299,0.4582,FLOW-DEGRADING
32,Neutral,AttractorSourceSinkCharacterization,0.4189,0.4065,0.3937,0.3995,0.4023,0.3853,0.3988,FLOW-DEGRADING
40,Neutral,AttractorSourceSinkCharacterization,0.3667,0.358,0.3439,0.3398,0.3437,0.3417,0.3493,FLOW-FAILED
48,Neutral,AttractorSourceSinkCharacterization,0.3301,0.3112,0.3128,0.3087,0.3191,0.295,0.3063,FLOW-FAILED
64,Neutral,AttractorSourceSinkCharacterization,0.2656,0.255,0.2628,0.2573,0.258,0.2483,0.2581,FLOW-FAILED
80,Neutral,AttractorSourceSinkCharacterization,0.233,0.2204,0.2153,0.2176,0.2193,0.21,0.2163,FLOW-FAILED
96,Neutral,AttractorSourceSinkCharacterization,0.1974,0.1964,0.1894,0.1864,0.1927,0.1878,0.1863,FLOW-FAILED
128,Neutral,AttractorSourceSinkCharacterization,0.1616,0.1533,0.1543,0.1478,0.1551,0.1468,0.1493,FLOW-FAILED
160,Neutral,AttractorSourceSinkCharacterization,0.1326,0.1277,0.1261,0.1229,0.124,0.1237,0.1259,FLOW-FAILED
192,Neutral,AttractorSourceSinkCharacterization,0.1119,0.1085,0.109,0.1073,0.1093,0.1034,0.1096,FLOW-FAILED
1,Neutral,RecursiveTransportStability,0.8806,0.8266,0.8356,0.8286,0.8115,0.8238,0.8333,FLOW-STABLE
2,Neutral,RecursiveTransportStability,0.837,0.8219,0.793,0.7999,0.7701,0.78,0.7781,FLOW-STABLE
4,Neutral,RecursiveTransportStability,0.7881,0.7581,0.7487,0.7487,0.7268,0.7391,0.7274,FLOW-BOUNDED
6,Neutral,RecursiveTransportStability,0.7263,0.7259,0.7206,0.6986,0.6786,0.6856,0.7,FLOW-BOUNDED
8,Neutral,RecursiveTransportStability,0.6967,0.6835,0.6812,0.6654,0.6554,0.6463,0.6409,FLOW-BOUNDED
12,Neutral,RecursiveTransportStability,0.6341,0.5952,0.6008,0.591,0.5932,0.6022,0.5965,FLOW-PARTIAL
16,Neutral,RecursiveTransportStability,0.5601,0.5566,0.5569,0.5389,0.5272,0.5403,0.5335,FLOW-PARTIAL
20,Neutral,RecursiveTransportStability,0.521,0.4914,0.5008,0.4801,0.4878,0.4943,0.4817,FLOW-DEGRADING
24,Neutral,RecursiveTransportStability,0.4854,0.4623,0.4726,0.4558,0.4373,0.461,0.4468,FLOW-DEGRADING
32,Neutral,RecursiveTransportStability,0.4051,0.4068,0.4102,0.386,0.3818,0.3867,0.3868,FLOW-DEGRADING
40,Neutral,RecursiveTransportStability,0.3559,0.3587,0.3557,0.3523,0.3364,0.3467,0.3495,FLOW-FAILED
48,Neutral,RecursiveTransportStability,0.3188,0.3217,0.3167,0.3092,0.3028,0.3076,0.3155,FLOW-FAILED
64,Neutral,RecursiveTransportStability,0.2688,0.2662,0.2577,0.2572,0.2456,0.2492,0.2525,FLOW-FAILED
80,Neutral,RecursiveTransportStability,0.2272,0.2167,0.2177,0.2194,0.2115,0.212,0.2166,FLOW-FAILED
96,Neutral,RecursiveTransportStability,0.1998,0.1927,0.1933,0.1906,0.1853,0.1845,0.188,FLOW-FAILED
128,Neutral,RecursiveTransportStability,0.156,0.1544,0.1554,0.1502,0.1501,0.1534,0.1519,FLOW-FAILED
160,Neutral,RecursiveTransportStability,0.1335,0.1287,0.1289,0.1216,0.1237,0.1251,0.1231,FLOW-FAILED
192,Neutral,RecursiveTransportStability,0.112,0.1064,0.1072,0.1052,0.1073,0.1073,0.1083,FLOW-FAILED
1,Neutral,PerturbationFlowRecovery,0.838,0.8202,0.8138,0.83,0.7835,0.778,0.8162,FLOW-STABLE
2,Neutral,PerturbationFlowRecovery,0.8307,0.8145,0.7901,0.7704,0.7564,0.7537,0.7657,FLOW-STABLE
4,Neutral,PerturbationFlowRecovery,0.7695,0.7397,0.7422,0.7261,0.7301,0.7085,0.7339,FLOW-BOUNDED
6,Neutral,PerturbationFlowRecovery,0.7265,0.7009,0.6858,0.6875,0.6855,0.6728,0.6835,FLOW-BOUNDED
8,Neutral,PerturbationFlowRecovery,0.6951,0.6526,0.6511,0.6657,0.6279,0.6435,0.6606,FLOW-BOUNDED
12,Neutral,PerturbationFlowRecovery,0.6043,0.583,0.583,0.5766,0.5713,0.5775,0.572,FLOW-PARTIAL
16,Neutral,PerturbationFlowRecovery,0.5569,0.5453,0.5378,0.5359,0.5246,0.5119,0.5217,FLOW-DEGRADING
20,Neutral,PerturbationFlowRecovery,0.5134,0.4999,0.5018,0.4781,0.4874,0.4777,0.481,FLOW-DEGRADING
24,Neutral,PerturbationFlowRecovery,0.4698,0.4617,0.4578,0.4588,0.4376,0.4449,0.4363,FLOW-DEGRADING
32,Neutral,PerturbationFlowRecovery,0.4094,0.3961,0.4002,0.3888,0.3788,0.3828,0.3942,FLOW-FAILED
40,Neutral,PerturbationFlowRecovery,0.3639,0.3544,0.3523,0.3519,0.333,0.3432,0.3412,FLOW-FAILED
48,Neutral,PerturbationFlowRecovery,0.3238,0.3119,0.3122,0.3015,0.3004,0.303,0.3006,FLOW-FAILED
64,Neutral,PerturbationFlowRecovery,0.2659,0.2619,0.2612,0.2601,0.2504,0.2435,0.2485,FLOW-FAILED
80,Neutral,PerturbationFlowRecovery,0.2245,0.2162,0.2241,0.2167,0.2074,0.2138,0.2148,FLOW-FAILED
96,Neutral,PerturbationFlowRecovery,0.1934,0.1868,0.1932,0.1856,0.1871,0.1875,0.1822,FLOW-FAILED
128,Neutral,PerturbationFlowRecovery,0.1563,0.1499,0.1488,0.1532,0.1484,0.1475,0.1457,FLOW-FAILED
160,Neutral,PerturbationFlowRecovery,0.131,0.1261,0.1273,0.1264,0.1209,0.1192,0.1222,FLOW-FAILED
192,Neutral,PerturbationFlowRecovery,0.1118,0.108,0.105,0.1078,0.103,0.1012,0.1061,FLOW-FAILED
1,Neutral,NullCirculationControl,0.662,0.6493,0.6699,0.6851,0.6519,0.6194,0.6345,FLOW-PARTIAL
2,Neutral,NullCirculationControl,0.6572,0.6575,0.6224,0.6293,0.6047,0.5983,0.6334,FLOW-PARTIAL
4,Neutral,NullCirculationControl,0.6131,0.5936,0.5941,0.6066,0.5605,0.5726,0.597,FLOW-PARTIAL
6,Neutral,NullCirculationControl,0.5812,0.5551,0.553,0.5679,0.5239,0.547,0.55,FLOW-PARTIAL
8,Neutral,NullCirculationControl,0.5454,0.5292,0.5243,0.5299,0.5134,0.507,0.5083,FLOW-DEGRADING
12,Neutral,NullCirculationControl,0.4919,0.4707,0.4668,0.4797,0.4633,0.4376,0.4601,FLOW-DEGRADING
16,Neutral,NullCirculationControl,0.4478,0.4431,0.4417,0.4328,0.4152,0.404,0.4131,FLOW-DEGRADING
20,Neutral,NullCirculationControl,0.4011,0.3911,0.4038,0.4102,0.3768,0.3768,0.3854,FLOW-FAILED
24,Neutral,NullCirculationControl,0.3672,0.374,0.3712,0.3612,0.3627,0.354,0.3584,FLOW-FAILED
32,Neutral,NullCirculationControl,0.3292,0.3256,0.3052,0.3166,0.3116,0.3035,0.3138,FLOW-FAILED
40,Neutral,NullCirculationControl,0.2891,0.2787,0.2724,0.2803,0.277,0.265,0.2766,FLOW-FAILED
48,Neutral,NullCirculationControl,0.2577,0.2452,0.2416,0.2576,0.242,0.2315,0.249,FLOW-FAILED
64,Neutral,NullCirculationControl,0.21,0.2066,0.2067,0.202,0.2006,0.1929,0.2046,FLOW-FAILED
80,Neutral,NullCirculationControl,0.1799,0.1811,0.1794,0.173,0.1735,0.1683,0.1708,FLOW-FAILED
96,Neutral,NullCirculationControl,0.1555,0.1583,0.1482,0.1551,0.1454,0.1418,0.1537,FLOW-FAILED
128,Neutral,NullCirculationControl,0.1232,0.124,0.1214,0.1253,0.1154,0.1119,0.1207,FLOW-FAILED
160,Neutral,NullCirculationControl,0.1053,0.1039,0.0971,0.1024,0.0996,0.0931,0.0986,FLOW-FAILED
192,Neutral,NullCirculationControl,0.0864,0.0842,0.0864,0.0844,0.0841,0.0824,0.0853,FLOW-FAILED
1,Projection-Antisymmetry,TopologicalFlowMapping,0.8842,0.864,0.8215,0.8208,0.7914,0.7938,0.8223,FLOW-STABLE
2,Projection-Antisymmetry,TopologicalFlowMapping,0.8526,0.8047,0.8052,0.773,0.7705,0.7865,0.7745,FLOW-STABLE
4,Projection-Antisymmetry,TopologicalFlowMapping,0.7899,0.7627,0.7683,0.7403,0.744,0.7371,0.7252,FLOW-STABLE
6,Projection-Antisymmetry,TopologicalFlowMapping,0.7308,0.7318,0.7143,0.7035,0.681,0.6858,0.7014,FLOW-BOUNDED
8,Projection-Antisymmetry,TopologicalFlowMapping,0.698,0.6715,0.6807,0.6408,0.6545,0.6504,0.6583,FLOW-BOUNDED
12,Projection-Antisymmetry,TopologicalFlowMapping,0.6276,0.6078,0.6089,0.5834,0.5942,0.5848,0.5905,FLOW-PARTIAL
16,Projection-Antisymmetry,TopologicalFlowMapping,0.5782,0.5584,0.5385,0.5414,0.5274,0.5236,0.5382,FLOW-DEGRADING
20,Projection-Antisymmetry,TopologicalFlowMapping,0.5147,0.5179,0.507,0.4803,0.4769,0.4871,0.4962,FLOW-DEGRADING
24,Projection-Antisymmetry,TopologicalFlowMapping,0.4839,0.4618,0.4535,0.4593,0.4553,0.45,0.4453,FLOW-DEGRADING
32,Projection-Antisymmetry,TopologicalFlowMapping,0.4259,0.4074,0.4079,0.3848,0.3878,0.3893,0.3847,FLOW-DEGRADING
40,Projection-Antisymmetry,TopologicalFlowMapping,0.3718,0.3611,0.3612,0.3497,0.333,0.3359,0.3391,FLOW-FAILED
48,Projection-Antisymmetry,TopologicalFlowMapping,0.3307,0.3165,0.3183,0.3084,0.3072,0.3038,0.3111,FLOW-FAILED
64,Projection-Antisymmetry,TopologicalFlowMapping,0.2691,0.2611,0.261,0.2521,0.2575,0.2517,0.2489,FLOW-FAILED
80,Projection-Antisymmetry,TopologicalFlowMapping,0.2318,0.2293,0.2266,0.218,0.2131,0.2123,0.2189,FLOW-FAILED
96,Projection-Antisymmetry,TopologicalFlowMapping,0.2066,0.1968,0.1918,0.1848,0.1837,0.1808,0.193,FLOW-FAILED
128,Projection-Antisymmetry,TopologicalFlowMapping,0.1597,0.1553,0.1548,0.1488,0.1457,0.1459,0.1518,FLOW-FAILED
160,Projection-Antisymmetry,TopologicalFlowMapping,0.1342,0.1318,0.1263,0.1221,0.125,0.1212,0.1269,FLOW-FAILED
192,Projection-Antisymmetry,TopologicalFlowMapping,0.1135,0.1084,0.1088,0.1063,0.1043,0.1011,0.1052,FLOW-FAILED
1,Projection-Antisymmetry,CirculationLoopDetection,0.869,0.8707,0.8312,0.8337,0.7906,0.8011,0.8382,FLOW-STABLE
2,Projection-Antisymmetry,CirculationLoopDetection,0.8397,0.8153,0.8094,0.8114,0.7782,0.7967,0.7798,FLOW-STABLE
4,Projection-Antisymmetry,CirculationLoopDetection,0.8003,0.7883,0.7605,0.7539,0.7149,0.7338,0.7332,FLOW-STABLE
6,Projection-Antisymmetry,CirculationLoopDetection,0.7343,0.7301,0.6992,0.6993,0.6833,0.6777,0.7193,FLOW-BOUNDED
8,Projection-Antisymmetry,CirculationLoopDetection,0.7084,0.6959,0.6574,0.6569,0.6475,0.6344,0.6703,FLOW-BOUNDED
12,Projection-Antisymmetry,CirculationLoopDetection,0.6381,0.6172,0.6014,0.5897,0.595,0.5789,0.6057,FLOW-PARTIAL
16,Projection-Antisymmetry,CirculationLoopDetection,0.5742,0.5566,0.5453,0.5289,0.5343,0.5175,0.5346,FLOW-DEGRADING
20,Projection-Antisymmetry,CirculationLoopDetection,0.5261,0.5063,0.4961,0.4865,0.4855,0.4928,0.5032,FLOW-DEGRADING
24,Projection-Antisymmetry,CirculationLoopDetection,0.4843,0.4764,0.4632,0.4569,0.4533,0.4469,0.4605,FLOW-DEGRADING
32,Projection-Antisymmetry,CirculationLoopDetection,0.4205,0.4064,0.4081,0.3903,0.3919,0.3895,0.4028,FLOW-DEGRADING
40,Projection-Antisymmetry,CirculationLoopDetection,0.3732,0.3579,0.3454,0.3412,0.3405,0.3332,0.3524,FLOW-FAILED
48,Projection-Antisymmetry,CirculationLoopDetection,0.3321,0.3198,0.3216,0.3109,0.2981,0.3044,0.3126,FLOW-FAILED
64,Projection-Antisymmetry,CirculationLoopDetection,0.276,0.2609,0.2581,0.2616,0.2549,0.2572,0.2535,FLOW-FAILED
80,Projection-Antisymmetry,CirculationLoopDetection,0.2351,0.2288,0.2185,0.2143,0.2182,0.21,0.2146,FLOW-FAILED
96,Projection-Antisymmetry,CirculationLoopDetection,0.2044,0.196,0.1888,0.1881,0.1868,0.1841,0.1902,FLOW-FAILED
128,Projection-Antisymmetry,CirculationLoopDetection,0.1596,0.1558,0.1558,0.1482,0.1476,0.1473,0.1498,FLOW-FAILED
160,Projection-Antisymmetry,CirculationLoopDetection,0.135,0.132,0.1259,0.1257,0.1244,0.1245,0.1239,FLOW-FAILED
192,Projection-Antisymmetry,CirculationLoopDetection,0.1139,0.1132,0.1068,0.1094,0.1025,0.1037,0.1051,FLOW-FAILED
1,Projection-Antisymmetry,FlowBottleneckAnalysis,0.8463,0.8513,0.8241,0.8406,0.7878,0.8114,0.8094,FLOW-STABLE
2,Projection-Antisymmetry,FlowBottleneckAnalysis,0.8555,0.8251,0.7789,0.7909,0.7848,0.7743,0.7758,FLOW-STABLE
4,Projection-Antisymmetry,FlowBottleneckAnalysis,0.7816,0.7653,0.7294,0.771,0.7468,0.7177,0.7462,FLOW-BOUNDED
6,Projection-Antisymmetry,FlowBottleneckAnalysis,0.7297,0.7038,0.6979,0.7141,0.7024,0.6629,0.69,FLOW-BOUNDED
8,Projection-Antisymmetry,FlowBottleneckAnalysis,0.7106,0.6682,0.6664,0.6857,0.6508,0.6352,0.6534,FLOW-BOUNDED
12,Projection-Antisymmetry,FlowBottleneckAnalysis,0.6252,0.5947,0.5849,0.6051,0.5792,0.5756,0.5919,FLOW-PARTIAL
16,Projection-Antisymmetry,FlowBottleneckAnalysis,0.5755,0.5462,0.5506,0.5395,0.5315,0.5214,0.5351,FLOW-DEGRADING
20,Projection-Antisymmetry,FlowBottleneckAnalysis,0.5095,0.5073,0.5057,0.4947,0.4934,0.4686,0.4912,FLOW-DEGRADING
