depth,sector,condition,rg_similarity,field_coherence,distributed_influence_index,stabilization_gradient_strength,recursive_field_persistence,transport_field_alignment,attractor_field_coupling,classification
24,Antisymmetry,FieldMediatedTransportTracking,0.6677,0.6485,0.6519,0.6433,0.6432,0.6262,0.6288,FIELD-DEGRADING
32,Antisymmetry,FieldMediatedTransportTracking,0.6119,0.5815,0.5717,0.5741,0.5667,0.5772,0.5773,FIELD-DEGRADING
40,Antisymmetry,FieldMediatedTransportTracking,0.5497,0.5364,0.5366,0.517,0.5184,0.5173,0.5135,FIELD-DEGRADING
48,Antisymmetry,FieldMediatedTransportTracking,0.5023,0.4978,0.4917,0.4871,0.486,0.4729,0.4696,FIELD-FAILED
64,Antisymmetry,FieldMediatedTransportTracking,0.444,0.425,0.4117,0.4027,0.4114,0.4099,0.4011,FIELD-FAILED
80,Antisymmetry,FieldMediatedTransportTracking,0.3898,0.3744,0.3735,0.3651,0.3562,0.3613,0.3585,FIELD-FAILED
96,Antisymmetry,FieldMediatedTransportTracking,0.335,0.3231,0.323,0.3131,0.324,0.3164,0.3242,FIELD-FAILED
128,Antisymmetry,FieldMediatedTransportTracking,0.2852,0.2715,0.2675,0.2558,0.2568,0.2593,0.2659,FIELD-FAILED
160,Antisymmetry,FieldMediatedTransportTracking,0.2405,0.224,0.2274,0.2258,0.2246,0.225,0.2215,FIELD-FAILED
192,Antisymmetry,FieldMediatedTransportTracking,0.2041,0.1968,0.1924,0.1912,0.1907,0.1908,0.1912,FIELD-FAILED
256,Antisymmetry,FieldMediatedTransportTracking,0.1624,0.1575,0.1519,0.1538,0.155,0.1502,0.1504,FIELD-FAILED
320,Antisymmetry,FieldMediatedTransportTracking,0.1336,0.1302,0.1279,0.1261,0.1237,0.1268,0.1252,FIELD-FAILED
512,Antisymmetry,FieldMediatedTransportTracking,0.0889,0.0857,0.0842,0.0824,0.0824,0.0813,0.0817,FIELD-FAILED
768,Antisymmetry,FieldMediatedTransportTracking,0.061,0.058,0.0574,0.0571,0.0579,0.0578,0.0575,FIELD-FAILED
1024,Antisymmetry,FieldMediatedTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Antisymmetry,PerturbationPropagationGeometry,0.96,0.94,0.9238,0.92,0.9009,0.8959,0.92,FIELD-STABLE
2,Antisymmetry,PerturbationPropagationGeometry,0.96,0.9216,0.93,0.8992,0.91,0.9,0.8988,FIELD-STABLE
4,Antisymmetry,PerturbationPropagationGeometry,0.9146,0.879,0.8743,0.8824,0.8727,0.8586,0.8798,FIELD-STABLE
6,Antisymmetry,PerturbationPropagationGeometry,0.8836,0.846,0.8669,0.8666,0.82,0.8392,0.8305,FIELD-BOUNDED
8,Antisymmetry,PerturbationPropagationGeometry,0.8583,0.8187,0.8178,0.8184,0.8076,0.81,0.8082,FIELD-BOUNDED
12,Antisymmetry,PerturbationPropagationGeometry,0.7986,0.7728,0.7514,0.755,0.7411,0.7299,0.7673,FIELD-BOUNDED
16,Antisymmetry,PerturbationPropagationGeometry,0.7562,0.7342,0.7047,0.7227,0.7116,0.6896,0.7165,FIELD-PARTIAL
20,Antisymmetry,PerturbationPropagationGeometry,0.7007,0.6747,0.6858,0.6671,0.6611,0.6464,0.6721,FIELD-PARTIAL
24,Antisymmetry,PerturbationPropagationGeometry,0.665,0.6587,0.6361,0.6484,0.6321,0.6171,0.6439,FIELD-DEGRADING
32,Antisymmetry,PerturbationPropagationGeometry,0.6013,0.5903,0.5761,0.5723,0.5726,0.5656,0.5683,FIELD-DEGRADING
40,Antisymmetry,PerturbationPropagationGeometry,0.5507,0.5353,0.5251,0.5315,0.5138,0.5149,0.5171,FIELD-DEGRADING
48,Antisymmetry,PerturbationPropagationGeometry,0.5018,0.482,0.4846,0.4735,0.4766,0.4625,0.4685,FIELD-FAILED
64,Antisymmetry,PerturbationPropagationGeometry,0.4394,0.4108,0.4054,0.4129,0.4034,0.3968,0.4126,FIELD-FAILED
80,Antisymmetry,PerturbationPropagationGeometry,0.3848,0.3632,0.36,0.3686,0.3564,0.347,0.3558,FIELD-FAILED
96,Antisymmetry,PerturbationPropagationGeometry,0.3458,0.3192,0.3288,0.3273,0.3175,0.3136,0.3138,FIELD-FAILED
128,Antisymmetry,PerturbationPropagationGeometry,0.2739,0.2685,0.2615,0.2661,0.261,0.2571,0.2574,FIELD-FAILED
160,Antisymmetry,PerturbationPropagationGeometry,0.2329,0.2293,0.223,0.2247,0.2187,0.22,0.2206,FIELD-FAILED
192,Antisymmetry,PerturbationPropagationGeometry,0.207,0.1986,0.1911,0.1956,0.186,0.188,0.1946,FIELD-FAILED
256,Antisymmetry,PerturbationPropagationGeometry,0.1643,0.1568,0.1542,0.1556,0.1473,0.1461,0.1486,FIELD-FAILED
320,Antisymmetry,PerturbationPropagationGeometry,0.1343,0.1269,0.1242,0.1273,0.122,0.1215,0.1278,FIELD-FAILED
512,Antisymmetry,PerturbationPropagationGeometry,0.0881,0.0831,0.0832,0.082,0.0828,0.0796,0.0825,FIELD-FAILED
768,Antisymmetry,PerturbationPropagationGeometry,0.0605,0.058,0.0573,0.0583,0.0553,0.0553,0.0579,FIELD-FAILED
1024,Antisymmetry,PerturbationPropagationGeometry,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Antisymmetry,AttractorFieldCoupling,0.96,0.94,0.93,0.92,0.91,0.8976,0.92,FIELD-STABLE
2,Antisymmetry,AttractorFieldCoupling,0.96,0.9274,0.93,0.8977,0.8909,0.9,0.92,FIELD-STABLE
4,Antisymmetry,AttractorFieldCoupling,0.9144,0.8794,0.8845,0.8918,0.88,0.8483,0.8888,FIELD-STABLE
6,Antisymmetry,AttractorFieldCoupling,0.8754,0.8528,0.8455,0.8363,0.849,0.8402,0.8458,FIELD-BOUNDED
8,Antisymmetry,AttractorFieldCoupling,0.8572,0.8325,0.8099,0.8077,0.8007,0.7803,0.8141,FIELD-BOUNDED
12,Antisymmetry,AttractorFieldCoupling,0.7946,0.7832,0.7664,0.7558,0.7534,0.7553,0.7866,FIELD-BOUNDED
16,Antisymmetry,AttractorFieldCoupling,0.7506,0.7409,0.7236,0.7041,0.699,0.7007,0.7326,FIELD-PARTIAL
20,Antisymmetry,AttractorFieldCoupling,0.7085,0.6769,0.6709,0.6737,0.654,0.6665,0.6887,FIELD-PARTIAL
24,Antisymmetry,AttractorFieldCoupling,0.6624,0.6343,0.6348,0.6255,0.6176,0.6115,0.6346,FIELD-DEGRADING
32,Antisymmetry,AttractorFieldCoupling,0.5981,0.5901,0.5825,0.5796,0.563,0.547,0.5832,FIELD-DEGRADING
40,Antisymmetry,AttractorFieldCoupling,0.5575,0.5255,0.526,0.5205,0.5247,0.5065,0.5238,FIELD-DEGRADING
48,Antisymmetry,AttractorFieldCoupling,0.4983,0.4864,0.4861,0.4799,0.4642,0.4586,0.4786,FIELD-FAILED
64,Antisymmetry,AttractorFieldCoupling,0.4317,0.4171,0.4105,0.4021,0.3983,0.4083,0.4124,FIELD-FAILED
80,Antisymmetry,AttractorFieldCoupling,0.3842,0.3699,0.3597,0.3588,0.3603,0.3505,0.3675,FIELD-FAILED
96,Antisymmetry,AttractorFieldCoupling,0.3382,0.3251,0.3277,0.3179,0.3157,0.3068,0.3263,FIELD-FAILED
128,Antisymmetry,AttractorFieldCoupling,0.2794,0.2706,0.2697,0.2609,0.2625,0.2598,0.2687,FIELD-FAILED
160,Antisymmetry,AttractorFieldCoupling,0.2307,0.2292,0.2262,0.2217,0.2144,0.2199,0.228,FIELD-FAILED
192,Antisymmetry,AttractorFieldCoupling,0.202,0.1995,0.1916,0.1918,0.1871,0.1896,0.1985,FIELD-FAILED
256,Antisymmetry,AttractorFieldCoupling,0.1576,0.1558,0.1559,0.1547,0.1504,0.15,0.1541,FIELD-FAILED
320,Antisymmetry,AttractorFieldCoupling,0.1356,0.1273,0.127,0.1268,0.1224,0.121,0.1296,FIELD-FAILED
512,Antisymmetry,AttractorFieldCoupling,0.0859,0.0852,0.0847,0.0838,0.0812,0.0803,0.0825,FIELD-FAILED
768,Antisymmetry,AttractorFieldCoupling,0.0592,0.0575,0.0582,0.0575,0.0567,0.0553,0.0583,FIELD-FAILED
1024,Antisymmetry,AttractorFieldCoupling,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Antisymmetry,RecursiveFieldCoherencePersistence,0.96,0.9396,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Antisymmetry,RecursiveFieldCoherencePersistence,0.9582,0.94,0.9177,0.8996,0.91,0.9,0.92,FIELD-STABLE
4,Antisymmetry,RecursiveFieldCoherencePersistence,0.9075,0.892,0.8803,0.8883,0.8902,0.8669,0.8566,FIELD-STABLE
6,Antisymmetry,RecursiveFieldCoherencePersistence,0.8849,0.877,0.859,0.8541,0.8393,0.8136,0.8497,FIELD-STABLE
8,Antisymmetry,RecursiveFieldCoherencePersistence,0.858,0.8326,0.8255,0.826,0.8295,0.7878,0.8164,FIELD-BOUNDED
12,Antisymmetry,RecursiveFieldCoherencePersistence,0.7935,0.7819,0.7631,0.7693,0.7638,0.7381,0.7648,FIELD-BOUNDED
16,Antisymmetry,RecursiveFieldCoherencePersistence,0.7459,0.7254,0.7068,0.7069,0.7075,0.6819,0.7059,FIELD-PARTIAL
20,Antisymmetry,RecursiveFieldCoherencePersistence,0.7081,0.6826,0.6842,0.6636,0.6773,0.6498,0.6701,FIELD-PARTIAL
24,Antisymmetry,RecursiveFieldCoherencePersistence,0.6705,0.6445,0.6455,0.6369,0.6491,0.6245,0.6306,FIELD-DEGRADING
32,Antisymmetry,RecursiveFieldCoherencePersistence,0.5909,0.5872,0.5694,0.5757,0.5826,0.5607,0.5681,FIELD-DEGRADING
40,Antisymmetry,RecursiveFieldCoherencePersistence,0.5412,0.53,0.5249,0.5302,0.5164,0.5141,0.5307,FIELD-DEGRADING
48,Antisymmetry,RecursiveFieldCoherencePersistence,0.4995,0.4875,0.4913,0.473,0.474,0.4691,0.4758,FIELD-FAILED
64,Antisymmetry,RecursiveFieldCoherencePersistence,0.434,0.4228,0.4204,0.4098,0.416,0.3992,0.4034,FIELD-FAILED
80,Antisymmetry,RecursiveFieldCoherencePersistence,0.3763,0.3706,0.3676,0.3639,0.3591,0.3563,0.3656,FIELD-FAILED
96,Antisymmetry,RecursiveFieldCoherencePersistence,0.336,0.3287,0.3246,0.3199,0.3169,0.3191,0.324,FIELD-FAILED
128,Antisymmetry,RecursiveFieldCoherencePersistence,0.2746,0.2672,0.2665,0.2639,0.2612,0.2508,0.2611,FIELD-FAILED
160,Antisymmetry,RecursiveFieldCoherencePersistence,0.2292,0.2316,0.2268,0.2244,0.2209,0.2123,0.2173,FIELD-FAILED
192,Antisymmetry,RecursiveFieldCoherencePersistence,0.2045,0.1995,0.1909,0.1947,0.1942,0.1904,0.1919,FIELD-FAILED
256,Antisymmetry,RecursiveFieldCoherencePersistence,0.1632,0.1591,0.1524,0.1489,0.1519,0.1472,0.1536,FIELD-FAILED
320,Antisymmetry,RecursiveFieldCoherencePersistence,0.1313,0.1321,0.128,0.1237,0.1278,0.1202,0.1245,FIELD-FAILED
512,Antisymmetry,RecursiveFieldCoherencePersistence,0.087,0.0841,0.0818,0.0807,0.0825,0.0794,0.0811,FIELD-FAILED
768,Antisymmetry,RecursiveFieldCoherencePersistence,0.0598,0.0576,0.058,0.0555,0.057,0.0543,0.0575,FIELD-FAILED
1024,Antisymmetry,RecursiveFieldCoherencePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Antisymmetry,NullFieldControl,0.7797,0.7812,0.7716,0.7853,0.7551,0.7507,0.7381,FIELD-BOUNDED
2,Antisymmetry,NullFieldControl,0.766,0.7419,0.7327,0.7498,0.7461,0.7182,0.7543,FIELD-PARTIAL
4,Antisymmetry,NullFieldControl,0.7507,0.7295,0.7276,0.7336,0.6846,0.6888,0.7136,FIELD-PARTIAL
6,Antisymmetry,NullFieldControl,0.7075,0.7055,0.6789,0.6993,0.6731,0.6739,0.6991,FIELD-PARTIAL
8,Antisymmetry,NullFieldControl,0.6796,0.6969,0.6806,0.6681,0.654,0.6626,0.6774,FIELD-PARTIAL
12,Antisymmetry,NullFieldControl,0.6331,0.6488,0.6173,0.6356,0.5971,0.5869,0.6184,FIELD-DEGRADING
16,Antisymmetry,NullFieldControl,0.6115,0.5876,0.5775,0.5873,0.588,0.5793,0.5925,FIELD-DEGRADING
20,Antisymmetry,NullFieldControl,0.5682,0.5519,0.5439,0.5669,0.551,0.5446,0.5367,FIELD-DEGRADING
24,Antisymmetry,NullFieldControl,0.5526,0.533,0.5197,0.5222,0.5203,0.5083,0.506,FIELD-DEGRADING
32,Antisymmetry,NullFieldControl,0.4784,0.4864,0.4644,0.4873,0.4643,0.4502,0.4614,FIELD-FAILED
40,Antisymmetry,NullFieldControl,0.4463,0.426,0.4343,0.4384,0.4275,0.4151,0.4196,FIELD-FAILED
48,Antisymmetry,NullFieldControl,0.4164,0.3936,0.3939,0.3958,0.3901,0.3837,0.3797,FIELD-FAILED
64,Antisymmetry,NullFieldControl,0.3546,0.3441,0.3362,0.3417,0.3322,0.323,0.3266,FIELD-FAILED
80,Antisymmetry,NullFieldControl,0.3088,0.3074,0.2977,0.2961,0.2861,0.2882,0.2855,FIELD-FAILED
96,Antisymmetry,NullFieldControl,0.2793,0.2734,0.2659,0.2632,0.2548,0.2486,0.2629,FIELD-FAILED
128,Antisymmetry,NullFieldControl,0.2181,0.2159,0.2173,0.2186,0.2147,0.2061,0.2149,FIELD-FAILED
160,Antisymmetry,NullFieldControl,0.1922,0.1853,0.1794,0.19,0.1763,0.1786,0.1763,FIELD-FAILED
192,Antisymmetry,NullFieldControl,0.1664,0.1606,0.1557,0.1629,0.1527,0.1501,0.1589,FIELD-FAILED
256,Antisymmetry,NullFieldControl,0.1308,0.1248,0.1253,0.13,0.1239,0.1195,0.1262,FIELD-FAILED
320,Antisymmetry,NullFieldControl,0.1068,0.1077,0.1045,0.1036,0.1002,0.1013,0.1027,FIELD-FAILED
512,Antisymmetry,NullFieldControl,0.0689,0.0679,0.0673,0.0704,0.0669,0.064,0.0683,FIELD-FAILED
768,Antisymmetry,NullFieldControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1024,Antisymmetry,NullFieldControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Neutral,DistributedInfluenceMapping,0.9379,0.9113,0.9041,0.8638,0.8735,0.8382,0.8561,FIELD-STABLE
2,Neutral,DistributedInfluenceMapping,0.8937,0.8621,0.859,0.8578,0.8398,0.8559,0.8446,FIELD-STABLE
4,Neutral,DistributedInfluenceMapping,0.8669,0.8279,0.8281,0.8099,0.7999,0.8238,0.8304,FIELD-BOUNDED
6,Neutral,DistributedInfluenceMapping,0.8239,0.8238,0.8077,0.789,0.7853,0.7824,0.7826,FIELD-BOUNDED
8,Neutral,DistributedInfluenceMapping,0.7977,0.787,0.7679,0.7582,0.7636,0.7378,0.76,FIELD-BOUNDED
12,Neutral,DistributedInfluenceMapping,0.746,0.7342,0.73,0.7159,0.7057,0.7081,0.7145,FIELD-PARTIAL
16,Neutral,DistributedInfluenceMapping,0.7187,0.6882,0.6827,0.666,0.656,0.6701,0.6557,FIELD-PARTIAL
20,Neutral,DistributedInfluenceMapping,0.6771,0.652,0.6518,0.636,0.6095,0.6123,0.6307,FIELD-PARTIAL
24,Neutral,DistributedInfluenceMapping,0.6436,0.6108,0.618,0.6057,0.5954,0.5866,0.6061,FIELD-DEGRADING
32,Neutral,DistributedInfluenceMapping,0.5831,0.5512,0.5405,0.5308,0.5247,0.526,0.5243,FIELD-DEGRADING
40,Neutral,DistributedInfluenceMapping,0.5275,0.5028,0.5069,0.4869,0.4759,0.4724,0.4838,FIELD-DEGRADING
48,Neutral,DistributedInfluenceMapping,0.4673,0.4702,0.4598,0.4373,0.4446,0.434,0.4422,FIELD-FAILED
64,Neutral,DistributedInfluenceMapping,0.4031,0.3895,0.3871,0.3774,0.3791,0.3765,0.3743,FIELD-FAILED
80,Neutral,DistributedInfluenceMapping,0.3624,0.3534,0.3359,0.3354,0.325,0.3349,0.3314,FIELD-FAILED
96,Neutral,DistributedInfluenceMapping,0.3129,0.3093,0.3106,0.304,0.3015,0.2928,0.2927,FIELD-FAILED
128,Neutral,DistributedInfluenceMapping,0.2664,0.2512,0.2499,0.2447,0.2441,0.2435,0.2465,FIELD-FAILED
160,Neutral,DistributedInfluenceMapping,0.2245,0.2096,0.214,0.2085,0.2022,0.2027,0.2105,FIELD-FAILED
192,Neutral,DistributedInfluenceMapping,0.1941,0.1882,0.1804,0.1809,0.1793,0.1809,0.1803,FIELD-FAILED
256,Neutral,DistributedInfluenceMapping,0.1518,0.1464,0.144,0.1415,0.1388,0.1378,0.1414,FIELD-FAILED
320,Neutral,DistributedInfluenceMapping,0.1261,0.1191,0.1184,0.1155,0.1177,0.1142,0.1183,FIELD-FAILED
512,Neutral,DistributedInfluenceMapping,0.0817,0.0809,0.0792,0.0774,0.0762,0.0775,0.077,FIELD-FAILED
768,Neutral,DistributedInfluenceMapping,0.0578,0.0551,0.0552,0.0539,0.0525,0.0526,0.0542,FIELD-FAILED
1024,Neutral,DistributedInfluenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Neutral,StabilizationGradientAnalysis,0.9145,0.898,0.9015,0.895,0.8699,0.8492,0.8716,FIELD-STABLE
2,Neutral,StabilizationGradientAnalysis,0.9256,0.8719,0.883,0.8818,0.8555,0.8278,0.8756,FIELD-STABLE
4,Neutral,StabilizationGradientAnalysis,0.8672,0.8454,0.8458,0.8285,0.8257,0.811,0.8303,FIELD-BOUNDED
6,Neutral,StabilizationGradientAnalysis,0.8587,0.818,0.7889,0.8023,0.7855,0.7764,0.7871,FIELD-BOUNDED
8,Neutral,StabilizationGradientAnalysis,0.8116,0.8095,0.7922,0.7843,0.7551,0.7595,0.7754,FIELD-BOUNDED
12,Neutral,StabilizationGradientAnalysis,0.7711,0.7426,0.7158,0.7253,0.6962,0.7127,0.7324,FIELD-PARTIAL
16,Neutral,StabilizationGradientAnalysis,0.7107,0.6821,0.6915,0.6782,0.6774,0.6513,0.6798,FIELD-PARTIAL
20,Neutral,StabilizationGradientAnalysis,0.669,0.6607,0.6369,0.6531,0.6168,0.625,0.6431,FIELD-DEGRADING
24,Neutral,StabilizationGradientAnalysis,0.6505,0.6289,0.5947,0.6085,0.5846,0.5977,0.6032,FIELD-DEGRADING
32,Neutral,StabilizationGradientAnalysis,0.5639,0.552,0.5366,0.5431,0.5416,0.5172,0.5391,FIELD-DEGRADING
40,Neutral,StabilizationGradientAnalysis,0.5248,0.5044,0.4887,0.5035,0.4766,0.4837,0.4914,FIELD-DEGRADING
48,Neutral,StabilizationGradientAnalysis,0.4837,0.4751,0.4515,0.4628,0.452,0.4357,0.4497,FIELD-FAILED
64,Neutral,StabilizationGradientAnalysis,0.4162,0.3985,0.3885,0.3979,0.3753,0.3767,0.3953,FIELD-FAILED
80,Neutral,StabilizationGradientAnalysis,0.3608,0.3519,0.349,0.3398,0.3322,0.3375,0.3446,FIELD-FAILED
96,Neutral,StabilizationGradientAnalysis,0.318,0.309,0.3085,0.3101,0.3025,0.3014,0.2958,FIELD-FAILED
128,Neutral,StabilizationGradientAnalysis,0.2591,0.2525,0.255,0.2495,0.2427,0.2441,0.2496,FIELD-FAILED
160,Neutral,StabilizationGradientAnalysis,0.2266,0.2206,0.213,0.2105,0.2088,0.2044,0.2086,FIELD-FAILED
192,Neutral,StabilizationGradientAnalysis,0.1962,0.1861,0.1877,0.1876,0.1828,0.1748,0.1804,FIELD-FAILED
256,Neutral,StabilizationGradientAnalysis,0.1545,0.1462,0.1442,0.1455,0.1438,0.142,0.1465,FIELD-FAILED
320,Neutral,StabilizationGradientAnalysis,0.1237,0.1238,0.1224,0.1202,0.1153,0.1139,0.1181,FIELD-FAILED
512,Neutral,StabilizationGradientAnalysis,0.082,0.0798,0.0792,0.078,0.0762,0.0768,0.0789,FIELD-FAILED
768,Neutral,StabilizationGradientAnalysis,0.0567,0.0558,0.0553,0.0542,0.0538,0.0525,0.0547,FIELD-FAILED
1024,Neutral,StabilizationGradientAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Neutral,FieldMediatedTransportTracking,0.9092,0.896,0.8735,0.868,0.8484,0.8643,0.8617,FIELD-STABLE
2,Neutral,FieldMediatedTransportTracking,0.9172,0.8592,0.852,0.8293,0.8353,0.8388,0.8559,FIELD-STABLE
4,Neutral,FieldMediatedTransportTracking,0.8767,0.8307,0.8504,0.8154,0.8333,0.8249,0.7987,FIELD-BOUNDED
6,Neutral,FieldMediatedTransportTracking,0.8266,0.8295,0.821,0.7822,0.7917,0.803,0.8015,FIELD-BOUNDED
8,Neutral,FieldMediatedTransportTracking,0.8214,0.7704,0.7638,0.7604,0.7558,0.7501,0.7689,FIELD-BOUNDED
12,Neutral,FieldMediatedTransportTracking,0.7621,0.739,0.7218,0.7203,0.7062,0.7003,0.709,FIELD-PARTIAL
16,Neutral,FieldMediatedTransportTracking,0.703,0.6938,0.6888,0.664,0.6731,0.6736,0.6679,FIELD-PARTIAL
20,Neutral,FieldMediatedTransportTracking,0.6614,0.6485,0.6463,0.6145,0.6158,0.6378,0.6297,FIELD-DEGRADING
24,Neutral,FieldMediatedTransportTracking,0.6385,0.6093,0.6007,0.5973,0.5896,0.5949,0.5939,FIELD-DEGRADING
32,Neutral,FieldMediatedTransportTracking,0.5615,0.5411,0.5509,0.5282,0.5248,0.5366,0.5247,FIELD-DEGRADING
40,Neutral,FieldMediatedTransportTracking,0.5177,0.5099,0.5076,0.4961,0.4837,0.481,0.4753,FIELD-DEGRADING
48,Neutral,FieldMediatedTransportTracking,0.4819,0.4674,0.4658,0.4519,0.4494,0.447,0.455,FIELD-FAILED
64,Neutral,FieldMediatedTransportTracking,0.4098,0.3961,0.3833,0.3801,0.3762,0.376,0.3809,FIELD-FAILED
80,Neutral,FieldMediatedTransportTracking,0.364,0.3428,0.348,0.3407,0.3378,0.3338,0.332,FIELD-FAILED
96,Neutral,FieldMediatedTransportTracking,0.3159,0.3063,0.3034,0.2928,0.297,0.2961,0.2963,FIELD-FAILED
128,Neutral,FieldMediatedTransportTracking,0.2564,0.251,0.2547,0.2455,0.2494,0.2493,0.2405,FIELD-FAILED
160,Neutral,FieldMediatedTransportTracking,0.222,0.2148,0.2134,0.2043,0.2115,0.2091,0.2089,FIELD-FAILED
192,Neutral,FieldMediatedTransportTracking,0.1877,0.1822,0.181,0.1805,0.1792,0.1786,0.176,FIELD-FAILED
256,Neutral,FieldMediatedTransportTracking,0.1536,0.1483,0.1476,0.1424,0.1432,0.1409,0.1445,FIELD-FAILED
320,Neutral,FieldMediatedTransportTracking,0.1273,0.1208,0.1182,0.1151,0.1173,0.1188,0.1159,FIELD-FAILED
512,Neutral,FieldMediatedTransportTracking,0.0818,0.0781,0.0789,0.0756,0.0761,0.0778,0.0788,FIELD-FAILED
768,Neutral,FieldMediatedTransportTracking,0.0561,0.055,0.0541,0.0533,0.0519,0.0532,0.0528,FIELD-FAILED
1024,Neutral,FieldMediatedTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Neutral,PerturbationPropagationGeometry,0.9175,0.9036,0.8784,0.8737,0.8552,0.851,0.873,FIELD-STABLE
2,Neutral,PerturbationPropagationGeometry,0.881,0.8739,0.8694,0.8647,0.8354,0.8465,0.8442,FIELD-STABLE
4,Neutral,PerturbationPropagationGeometry,0.8637,0.8429,0.8308,0.8254,0.822,0.7886,0.8151,FIELD-BOUNDED
6,Neutral,PerturbationPropagationGeometry,0.8307,0.7892,0.7921,0.804,0.7789,0.7808,0.8007,FIELD-BOUNDED
8,Neutral,PerturbationPropagationGeometry,0.7999,0.783,0.7699,0.7555,0.7332,0.7345,0.7546,FIELD-BOUNDED
12,Neutral,PerturbationPropagationGeometry,0.7545,0.7197,0.7087,0.7226,0.6916,0.702,0.7247,FIELD-PARTIAL
16,Neutral,PerturbationPropagationGeometry,0.691,0.6945,0.681,0.6757,0.6603,0.6647,0.6809,FIELD-PARTIAL
20,Neutral,PerturbationPropagationGeometry,0.6713,0.652,0.6462,0.6299,0.6294,0.6029,0.6386,FIELD-DEGRADING
24,Neutral,PerturbationPropagationGeometry,0.6229,0.6132,0.5889,0.5956,0.5742,0.578,0.6014,FIELD-DEGRADING
32,Neutral,PerturbationPropagationGeometry,0.567,0.5374,0.5509,0.5484,0.534,0.5235,0.5225,FIELD-DEGRADING
40,Neutral,PerturbationPropagationGeometry,0.5231,0.5002,0.4965,0.4935,0.4789,0.4664,0.4924,FIELD-DEGRADING
48,Neutral,PerturbationPropagationGeometry,0.471,0.4575,0.4535,0.4428,0.4312,0.4348,0.4362,FIELD-FAILED
64,Neutral,PerturbationPropagationGeometry,0.4019,0.3886,0.391,0.387,0.3718,0.3686,0.3882,FIELD-FAILED
80,Neutral,PerturbationPropagationGeometry,0.352,0.3365,0.3409,0.3344,0.3285,0.3231,0.3412,FIELD-FAILED
96,Neutral,PerturbationPropagationGeometry,0.3218,0.3122,0.3044,0.3007,0.2969,0.2899,0.3052,FIELD-FAILED
128,Neutral,PerturbationPropagationGeometry,0.2589,0.2557,0.2484,0.251,0.2377,0.2383,0.2428,FIELD-FAILED
160,Neutral,PerturbationPropagationGeometry,0.2228,0.2156,0.2142,0.2117,0.2049,0.2062,0.211,FIELD-FAILED
192,Neutral,PerturbationPropagationGeometry,0.1882,0.1837,0.1787,0.1784,0.1737,0.1781,0.1788,FIELD-FAILED
256,Neutral,PerturbationPropagationGeometry,0.15,0.1444,0.1451,0.1422,0.1424,0.1414,0.1442,FIELD-FAILED
320,Neutral,PerturbationPropagationGeometry,0.123,0.1206,0.1171,0.1163,0.1139,0.1129,0.1195,FIELD-FAILED
512,Neutral,PerturbationPropagationGeometry,0.0829,0.0778,0.0779,0.0792,0.0759,0.0746,0.0771,FIELD-FAILED
768,Neutral,PerturbationPropagationGeometry,0.0556,0.0545,0.0538,0.0543,0.0529,0.0524,0.0528,FIELD-FAILED
1024,Neutral,PerturbationPropagationGeometry,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Neutral,AttractorFieldCoupling,0.9123,0.8876,0.8889,0.8575,0.8457,0.8585,0.874,FIELD-STABLE
2,Neutral,AttractorFieldCoupling,0.882,0.8755,0.8658,0.8296,0.8529,0.8102,0.8737,FIELD-STABLE
4,Neutral,AttractorFieldCoupling,0.8479,0.8356,0.8301,0.7998,0.8209,0.8044,0.8395,FIELD-BOUNDED
6,Neutral,AttractorFieldCoupling,0.8115,0.7996,0.8064,0.789,0.7757,0.7618,0.7985,FIELD-BOUNDED
8,Neutral,AttractorFieldCoupling,0.8001,0.7913,0.7802,0.7473,0.7538,0.7531,0.7729,FIELD-BOUNDED
12,Neutral,AttractorFieldCoupling,0.7398,0.7365,0.7198,0.6992,0.696,0.699,0.7379,FIELD-PARTIAL
16,Neutral,AttractorFieldCoupling,0.6958,0.6913,0.6668,0.6763,0.6643,0.6582,0.675,FIELD-PARTIAL
20,Neutral,AttractorFieldCoupling,0.6526,0.6353,0.6366,0.6265,0.6176,0.6169,0.6293,FIELD-DEGRADING
24,Neutral,AttractorFieldCoupling,0.633,0.6089,0.5947,0.5993,0.5931,0.5891,0.6062,FIELD-DEGRADING
32,Neutral,AttractorFieldCoupling,0.5657,0.5397,0.5352,0.5372,0.5275,0.5143,0.5456,FIELD-DEGRADING
